# _root_ ... Focalizza cosa è possibile migliorare e cosa , invece , è fisiologico e immutabile .
#goldHeads=2,0,6,2,4,4,4,12,8,12,10,4,12,13,13,15,
#predictedHeads=2,0,2,2,4,4,6,6,8,12,10,4,12,13,13,15,
(12,6),-1.18994 # DEPENDENCYPART_ARC
(12,7),-1.03854 # DEPENDENCYPART_ARC
(12,8),0.581381 # DEPENDENCYPART_ARC
(12,9),-1.74066 # DEPENDENCYPART_ARC
(12,10),0.696728 # DEPENDENCYPART_ARC
(12,11),-0.115385 # DEPENDENCYPART_ARC
(12,13),2.34697 # DEPENDENCYPART_ARC
(12,14),1.20552 # DEPENDENCYPART_ARC
(12,15),0.56229 # DEPENDENCYPART_ARC
(12,16),0.204987 # DEPENDENCYPART_ARC
(13,1),-1.20783 # DEPENDENCYPART_ARC
(13,2),-1.95393 # DEPENDENCYPART_ARC
(13,3),-1.97357 # DEPENDENCYPART_ARC
(13,4),-1.48222 # DEPENDENCYPART_ARC
(13,5),-1.04558 # DEPENDENCYPART_ARC
(13,6),-1.49764 # DEPENDENCYPART_ARC
(13,7),-0.834895 # DEPENDENCYPART_ARC
(13,8),-1.52442 # DEPENDENCYPART_ARC
(13,9),-0.784896 # DEPENDENCYPART_ARC
(13,10),-0.0566754 # DEPENDENCYPART_ARC
(13,11),0.11736 # DEPENDENCYPART_ARC
(13,12),1.0352 # DEPENDENCYPART_ARC
(13,14),1.97662 # DEPENDENCYPART_ARC
(13,15),2.35216 # DEPENDENCYPART_ARC
(13,16),0.746683 # DEPENDENCYPART_ARC
(14,1),-1.88094 # DEPENDENCYPART_ARC
(14,2),-2.80306 # DEPENDENCYPART_ARC
(14,3),-2.84307 # DEPENDENCYPART_ARC
(14,4),-2.75115 # DEPENDENCYPART_ARC
(14,5),-2.37129 # DEPENDENCYPART_ARC
(14,6),-2.74919 # DEPENDENCYPART_ARC
(14,7),-1.58267 # DEPENDENCYPART_ARC
(14,8),-2.42014 # DEPENDENCYPART_ARC
(14,9),-1.7727 # DEPENDENCYPART_ARC
(14,10),-1.4604 # DEPENDENCYPART_ARC
(14,11),-1.28843 # DEPENDENCYPART_ARC
(14,12),-1.34475 # DEPENDENCYPART_ARC
(14,13),-0.440365 # DEPENDENCYPART_ARC
(14,15),-0.133062 # DEPENDENCYPART_ARC
(14,16),-0.634119 # DEPENDENCYPART_ARC
(15,1),-2.87769 # DEPENDENCYPART_ARC
(15,2),-4.11784 # DEPENDENCYPART_ARC
(15,3),-3.46022 # DEPENDENCYPART_ARC
(15,4),-4.1951 # DEPENDENCYPART_ARC
(15,5),-2.46524 # DEPENDENCYPART_ARC
(15,6),-3.28864 # DEPENDENCYPART_ARC
(15,7),-2.35708 # DEPENDENCYPART_ARC
(15,8),-3.20268 # DEPENDENCYPART_ARC
(15,9),-2.67839 # DEPENDENCYPART_ARC
(15,10),-1.91193 # DEPENDENCYPART_ARC
(15,11),-2.26142 # DEPENDENCYPART_ARC
(15,12),-3.09705 # DEPENDENCYPART_ARC
(15,13),-1.54123 # DEPENDENCYPART_ARC
(15,14),-0.130158 # DEPENDENCYPART_ARC
(15,16),2.60417 # DEPENDENCYPART_ARC
(16,1),-1.91186 # DEPENDENCYPART_ARC
(16,9),-1.59155 # DEPENDENCYPART_ARC
(16,11),-1.47938 # DEPENDENCYPART_ARC
