# _root_ Lui , circondato da una truppa di fan incantate , si rassegna a firmare autografi su autografi .
#goldHeads=12,1,12,3,6,4,6,7,8,9,12,0,12,13,14,15,16,17,
#predictedHeads=3,1,0,3,6,4,6,7,8,9,12,6,12,13,14,14,16,17,
(4,11),0.222871 # DEPENDENCYPART_ARC
(4,12),-0.617171 # DEPENDENCYPART_ARC
(4,13),-0.0755996 # DEPENDENCYPART_ARC
(4,14),-0.444021 # DEPENDENCYPART_ARC
(4,15),-2.2991 # DEPENDENCYPART_ARC
(4,16),-1.01211 # DEPENDENCYPART_ARC
(4,17),-2.72464 # DEPENDENCYPART_ARC
(4,18),-1.03379 # DEPENDENCYPART_ARC
(5,1),-2.18015 # DEPENDENCYPART_ARC
(5,2),-1.88339 # DEPENDENCYPART_ARC
(5,3),-2.6393 # DEPENDENCYPART_ARC
(5,4),-0.645343 # DEPENDENCYPART_ARC
(5,6),1.26113 # DEPENDENCYPART_ARC
(5,7),0.188995 # DEPENDENCYPART_ARC
(5,8),-0.0570392 # DEPENDENCYPART_ARC
(5,9),-0.99458 # DEPENDENCYPART_ARC
(5,10),-0.362545 # DEPENDENCYPART_ARC
(5,11),-1.54967 # DEPENDENCYPART_ARC
(5,12),-0.627418 # DEPENDENCYPART_ARC
(5,13),-0.80191 # DEPENDENCYPART_ARC
(5,14),-1.25087 # DEPENDENCYPART_ARC
(5,15),-1.12517 # DEPENDENCYPART_ARC
(5,16),-0.972979 # DEPENDENCYPART_ARC
(5,17),-1.1538 # DEPENDENCYPART_ARC
(5,18),-1.02372 # DEPENDENCYPART_ARC
(6,1),-0.371654 # DEPENDENCYPART_ARC
(6,2),-1.93502 # DEPENDENCYPART_ARC
(6,3),-0.250876 # DEPENDENCYPART_ARC
(6,4),0.763206 # DEPENDENCYPART_ARC
(6,5),3.51249 # DEPENDENCYPART_ARC
(6,7),2.79405 # DEPENDENCYPART_ARC
(6,8),1.27197 # DEPENDENCYPART_ARC
(6,9),1.153 # DEPENDENCYPART_ARC
(6,10),0.22654 # DEPENDENCYPART_ARC
(6,11),-1.00882 # DEPENDENCYPART_ARC
(6,12),1.19662 # DEPENDENCYPART_ARC
(6,13),-0.4539 # DEPENDENCYPART_ARC
(6,14),0.107741 # DEPENDENCYPART_ARC
(6,15),-0.660759 # DEPENDENCYPART_ARC
(6,16),0.0290671 # DEPENDENCYPART_ARC
(6,17),-1.06898 # DEPENDENCYPART_ARC
(6,18),-1.96602 # DEPENDENCYPART_ARC
(7,1),-1.77224 # DEPENDENCYPART_ARC
(7,2),-1.85294 # DEPENDENCYPART_ARC
(7,3),-2.07662 # DEPENDENCYPART_ARC
(7,4),-0.598407 # DEPENDENCYPART_ARC
(7,5),-0.528108 # DEPENDENCYPART_ARC
(7,6),-0.3204 # DEPENDENCYPART_ARC
(7,8),4.04364 # DEPENDENCYPART_ARC
(7,9),0.808362 # DEPENDENCYPART_ARC
(7,10),0.0464143 # DEPENDENCYPART_ARC
(7,11),-0.370771 # DEPENDENCYPART_ARC
(7,12),-0.582211 # DEPENDENCYPART_ARC
(7,13),-0.958012 # DEPENDENCYPART_ARC
(7,14),-0.694285 # DEPENDENCYPART_ARC
(7,15),-2.08952 # DEPENDENCYPART_ARC
(7,16),-1.50901 # DEPENDENCYPART_ARC
(7,17),-1.92016 # DEPENDENCYPART_ARC
(7,18),-1.19571 # DEPENDENCYPART_ARC
(8,1),-2.0438 # DEPENDENCYPART_ARC
(8,2),-3.13417 # DEPENDENCYPART_ARC
(8,3),-1.48301 # DEPENDENCYPART_ARC
(8,4),-1.00087 # DEPENDENCYPART_ARC
(8,5),0.399685 # DEPENDENCYPART_ARC
(8,6),-2.23299 # DEPENDENCYPART_ARC
(8,7),0.680726 # DEPENDENCYPART_ARC
(8,9),2.2372 # DEPENDENCYPART_ARC
(8,10),-0.129004 # DEPENDENCYPART_ARC
(8,11),-1.14817 # DEPENDENCYPART_ARC
(8,12),0.309506 # DEPENDENCYPART_ARC
(8,13),-1.14643 # DEPENDENCYPART_ARC
(8,14),-0.449293 # DEPENDENCYPART_ARC
(8,15),-1.19271 # DEPENDENCYPART_ARC
(8,16),-0.600356 # DEPENDENCYPART_ARC
(8,17),-1.13953 # DEPENDENCYPART_ARC
(8,18),-1.80691 # DEPENDENCYPART_ARC
(9,1),-1.13815 # DEPENDENCYPART_ARC
(9,2),-1.28807 # DEPENDENCYPART_ARC
(9,3),-2.67414 # DEPENDENCYPART_ARC
(9,4),-0.357664 # DEPENDENCYPART_ARC
(9,5),-0.65308 # DEPENDENCYPART_ARC
(9,6),-0.75603 # DEPENDENCYPART_ARC
(9,7),0.665378 # DEPENDENCYPART_ARC
(9,8),0.568854 # DEPENDENCYPART_ARC
(9,10),1.91977 # DEPENDENCYPART_ARC
(9,11),-0.807639 # DEPENDENCYPART_ARC
(9,12),-0.778205 # DEPENDENCYPART_ARC
(9,13),-0.304334 # DEPENDENCYPART_ARC
(9,14),-1.16245 # DEPENDENCYPART_ARC
(9,15),-0.68554 # DEPENDENCYPART_ARC
(9,16),-1.17384 # DEPENDENCYPART_ARC
(9,17),-0.641448 # DEPENDENCYPART_ARC
(9,18),-0.783558 # DEPENDENCYPART_ARC
(10,1),-2.33747 # DEPENDENCYPART_ARC
(10,2),-2.34644 # DEPENDENCYPART_ARC
(10,3),-2.78863 # DEPENDENCYPART_ARC
(10,4),-1.87142 # DEPENDENCYPART_ARC
(10,5),-1.75688 # DEPENDENCYPART_ARC
(10,6),-2.19263 # DEPENDENCYPART_ARC
(10,7),-1.28427 # DEPENDENCYPART_ARC
(10,8),-1.67488 # DEPENDENCYPART_ARC
(10,9),-0.681297 # DEPENDENCYPART_ARC
(10,11),-1.02588 # DEPENDENCYPART_ARC
(10,12),-1.55098 # DEPENDENCYPART_ARC
(10,13),-2.20608 # DEPENDENCYPART_ARC
(10,14),-2.07363 # DEPENDENCYPART_ARC
(10,15),-2.48295 # DEPENDENCYPART_ARC
(10,16),-2.62388 # DEPENDENCYPART_ARC
(10,17),-2.64752 # DEPENDENCYPART_ARC
(10,18),-1.55526 # DEPENDENCYPART_ARC
(11,1),-2.60989 # DEPENDENCYPART_ARC
(11,2),-2.20595 # DEPENDENCYPART_ARC
(11,3),-3.45712 # DEPENDENCYPART_ARC
(11,4),-1.67092 # DEPENDENCYPART_ARC
(11,5),-0.788468 # DEPENDENCYPART_ARC
(11,6),-2.38531 # DEPENDENCYPART_ARC
(11,7),-1.41477 # DEPENDENCYPART_ARC
(11,8),-1.55321 # DEPENDENCYPART_ARC
(11,9),-1.43107 # DEPENDENCYPART_ARC
(11,10),0.0540689 # DEPENDENCYPART_ARC
(11,12),-0.593404 # DEPENDENCYPART_ARC
(11,13),-1.47911 # DEPENDENCYPART_ARC
(11,14),-1.43461 # DEPENDENCYPART_ARC
(11,15),-1.24069 # DEPENDENCYPART_ARC
(11,16),-2.00813 # DEPENDENCYPART_ARC
(11,17),-1.42838 # DEPENDENCYPART_ARC
(11,18),-1.45285 # DEPENDENCYPART_ARC
(12,1),0.407832 # DEPENDENCYPART_ARC
(12,2),-1.83381 # DEPENDENCYPART_ARC
(12,3),-0.154527 # DEPENDENCYPART_ARC
(12,4),0.648675 # DEPENDENCYPART_ARC
(12,5),-0.501883 # DEPENDENCYPART_ARC
(12,6),1.35188 # DEPENDENCYPART_ARC
(12,7),-0.315757 # DEPENDENCYPART_ARC
(12,8),0.615658 # DEPENDENCYPART_ARC
(12,9),0.141245 # DEPENDENCYPART_ARC
(12,10),-0.476915 # DEPENDENCYPART_ARC
(12,11),4.54782 # DEPENDENCYPART_ARC
(12,13),3.19926 # DEPENDENCYPART_ARC
(12,14),1.19189 # DEPENDENCYPART_ARC
(12,15),0.714981 # DEPENDENCYPART_ARC
(12,16),0.828615 # DEPENDENCYPART_ARC
(12,17),-0.276547 # DEPENDENCYPART_ARC
(12,18),-0.33679 # DEPENDENCYPART_ARC
(13,1),-1.71125 # DEPENDENCYPART_ARC
(13,2),-1.92412 # DEPENDENCYPART_ARC
(13,3),-2.35545 # DEPENDENCYPART_ARC
(13,4),-1.31464 # DEPENDENCYPART_ARC
(13,5),-1.6418 # DEPENDENCYPART_ARC
(13,6),-1.84842 # DEPENDENCYPART_ARC
(13,7),-1.21817 # DEPENDENCYPART_ARC
(13,8),-1.62127 # DEPENDENCYPART_ARC
(13,9),-1.65012 # DEPENDENCYPART_ARC
(13,10),-1.1323 # DEPENDENCYPART_ARC
(13,11),-0.633749 # DEPENDENCYPART_ARC
(13,12),-0.0453782 # DEPENDENCYPART_ARC
(13,14),3.39047 # DEPENDENCYPART_ARC
(13,15),1.79068 # DEPENDENCYPART_ARC
(13,16),-0.0517017 # DEPENDENCYPART_ARC
(13,17),-0.0829 # DEPENDENCYPART_ARC
(13,18),-0.512335 # DEPENDENCYPART_ARC
(14,1),-1.26117 # DEPENDENCYPART_ARC
(14,2),-3.15174 # DEPENDENCYPART_ARC
(14,3),-2.14374 # DEPENDENCYPART_ARC
(14,4),-0.754761 # DEPENDENCYPART_ARC
(14,5),-1.19361 # DEPENDENCYPART_ARC
(14,6),-0.818206 # DEPENDENCYPART_ARC
(14,7),-1.68804 # DEPENDENCYPART_ARC
(14,8),-0.867094 # DEPENDENCYPART_ARC
(14,9),-0.934296 # DEPENDENCYPART_ARC
(14,10),-2.55324 # DEPENDENCYPART_ARC
(14,11),0.80322 # DEPENDENCYPART_ARC
(14,12),0.915559 # DEPENDENCYPART_ARC
(14,13),1.33488 # DEPENDENCYPART_ARC
(14,15),3.42698 # DEPENDENCYPART_ARC
(14,16),2.08076 # DEPENDENCYPART_ARC
(14,17),1.11261 # DEPENDENCYPART_ARC
(14,18),-0.355095 # DEPENDENCYPART_ARC
(15,1),-2.01786 # DEPENDENCYPART_ARC
(15,2),-2.76831 # DEPENDENCYPART_ARC
(15,3),-1.7283 # DEPENDENCYPART_ARC
(15,4),-1.48915 # DEPENDENCYPART_ARC
(15,5),-2.23253 # DEPENDENCYPART_ARC
(15,6),-2.90393 # DEPENDENCYPART_ARC
(15,7),-1.25652 # DEPENDENCYPART_ARC
(15,8),-1.3754 # DEPENDENCYPART_ARC
(15,9),-0.880374 # DEPENDENCYPART_ARC
(15,10),-1.9136 # DEPENDENCYPART_ARC
(15,11),-0.873453 # DEPENDENCYPART_ARC
(15,12),-1.9851 # DEPENDENCYPART_ARC
(15,13),0.285048 # DEPENDENCYPART_ARC
(15,14),0.499929 # DEPENDENCYPART_ARC
(15,16),1.69027 # DEPENDENCYPART_ARC
(15,17),1.41375 # DEPENDENCYPART_ARC
(15,18),0.034466 # DEPENDENCYPART_ARC
(16,1),-2.06838 # DEPENDENCYPART_ARC
(16,2),-2.19402 # DEPENDENCYPART_ARC
(16,3),-2.39861 # DEPENDENCYPART_ARC
(16,4),-1.47386 # DEPENDENCYPART_ARC
(16,5),-1.8739 # DEPENDENCYPART_ARC
(16,6),-2.17993 # DEPENDENCYPART_ARC
(16,7),-1.42507 # DEPENDENCYPART_ARC
(16,8),-1.99739 # DEPENDENCYPART_ARC
(16,9),-1.97494 # DEPENDENCYPART_ARC
(16,10),-1.84305 # DEPENDENCYPART_ARC
(16,11),-1.5222 # DEPENDENCYPART_ARC
(16,12),-2.04697 # DEPENDENCYPART_ARC
(16,13),-0.612845 # DEPENDENCYPART_ARC
(16,14),-0.995034 # DEPENDENCYPART_ARC
(16,15),-0.213415 # DEPENDENCYPART_ARC
(16,17),4.46438 # DEPENDENCYPART_ARC
(16,18),-0.145778 # DEPENDENCYPART_ARC
(17,1),-2.61083 # DEPENDENCYPART_ARC
(17,2),-3.61319 # DEPENDENCYPART_ARC
(17,3),-2.57924 # DEPENDENCYPART_ARC
(17,4),-2.41334 # DEPENDENCYPART_ARC
(17,5),-3.44072 # DEPENDENCYPART_ARC
(17,6),-3.75809 # DEPENDENCYPART_ARC
(17,7),-2.36059 # DEPENDENCYPART_ARC
(17,8),-2.0835 # DEPENDENCYPART_ARC
(17,9),-1.92056 # DEPENDENCYPART_ARC
(17,10),-2.87523 # DEPENDENCYPART_ARC
(17,11),-1.82137 # DEPENDENCYPART_ARC
(17,12),-3.11306 # DEPENDENCYPART_ARC
(17,13),-1.15623 # DEPENDENCYPART_ARC
(17,14),-1.89294 # DEPENDENCYPART_ARC
(17,15),0.420422 # DEPENDENCYPART_ARC
(17,16),0.832212 # DEPENDENCYPART_ARC
(17,18),2.85448 # DEPENDENCYPART_ARC
(18,1),-2.55425 # DEPENDENCYPART_ARC
(18,2),-2.53757 # DEPENDENCYPART_ARC
(18,3),-3.04928 # DEPENDENCYPART_ARC
(18,4),-2.29022 # DEPENDENCYPART_ARC
(18,5),-2.15367 # DEPENDENCYPART_ARC
(18,6),-2.69846 # DEPENDENCYPART_ARC
(18,7),-2.2259 # DEPENDENCYPART_ARC
(18,8),-2.6398 # DEPENDENCYPART_ARC
(18,9),-2.566 # DEPENDENCYPART_ARC
(18,10),-2.29013 # DEPENDENCYPART_ARC
(18,11),-2.17051 # DEPENDENCYPART_ARC
(18,12),-2.80245 # DEPENDENCYPART_ARC
(18,13),-1.8032 # DEPENDENCYPART_ARC
(18,14),-2.54371 # DEPENDENCYPART_ARC
(18,15),-1.83463 # DEPENDENCYPART_ARC
(18,16),-1.09975 # DEPENDENCYPART_ARC
(18,17),-0.818931 # DEPENDENCYPART_ARC
