# _root_ Tutto qui è smisurato , inverosimile : 14 mila impiegati , 800 medici e 300 mila pazienti ogni anno provenienti da ogni parte del mondo .
#goldHeads=3,3,0,3,4,4,6,10,8,0,10,13,10,10,17,15,10,19,20,10,20,23,21,23,24,25,
#predictedHeads=3,3,0,3,4,4,6,10,8,4,10,13,10,13,17,15,13,19,17,17,20,23,21,23,24,25,
(1,8),-0.631083 # DEPENDENCYPART_ARC
(1,9),-0.726871 # DEPENDENCYPART_ARC
(1,10),-0.678496 # DEPENDENCYPART_ARC
(1,11),-0.66104 # DEPENDENCYPART_ARC
(1,12),-0.823376 # DEPENDENCYPART_ARC
(1,13),-0.874913 # DEPENDENCYPART_ARC
(1,14),-0.457832 # DEPENDENCYPART_ARC
(1,15),-0.79066 # DEPENDENCYPART_ARC
(1,16),-0.965942 # DEPENDENCYPART_ARC
(1,17),-0.648667 # DEPENDENCYPART_ARC
(1,18),-0.684181 # DEPENDENCYPART_ARC
(1,19),-0.574126 # DEPENDENCYPART_ARC
(1,20),-1.61671 # DEPENDENCYPART_ARC
(1,21),-2.14305 # DEPENDENCYPART_ARC
(1,22),-0.976015 # DEPENDENCYPART_ARC
(1,23),-1.16174 # DEPENDENCYPART_ARC
(1,24),-1.76456 # DEPENDENCYPART_ARC
(1,25),-1.00101 # DEPENDENCYPART_ARC
(1,26),-1.71665 # DEPENDENCYPART_ARC
(2,1),0.0242288 # DEPENDENCYPART_ARC
(2,3),0.411987 # DEPENDENCYPART_ARC
(2,4),-0.522745 # DEPENDENCYPART_ARC
(2,5),-0.457066 # DEPENDENCYPART_ARC
(2,6),-1.06151 # DEPENDENCYPART_ARC
(2,7),-1.03672 # DEPENDENCYPART_ARC
(2,8),-1.39936 # DEPENDENCYPART_ARC
(2,9),-1.44428 # DEPENDENCYPART_ARC
(2,10),-1.63844 # DEPENDENCYPART_ARC
(2,11),-1.16017 # DEPENDENCYPART_ARC
(2,12),-1.49942 # DEPENDENCYPART_ARC
(2,13),-1.87338 # DEPENDENCYPART_ARC
(2,14),-1.06772 # DEPENDENCYPART_ARC
(2,15),-1.67512 # DEPENDENCYPART_ARC
(2,16),-1.61102 # DEPENDENCYPART_ARC
(2,17),-2.12798 # DEPENDENCYPART_ARC
(2,18),-1.56052 # DEPENDENCYPART_ARC
(2,19),-2.21044 # DEPENDENCYPART_ARC
(2,20),-1.68464 # DEPENDENCYPART_ARC
(2,21),-2.02208 # DEPENDENCYPART_ARC
(2,22),-1.78644 # DEPENDENCYPART_ARC
(2,23),-2.51623 # DEPENDENCYPART_ARC
(2,24),-2.16555 # DEPENDENCYPART_ARC
(2,25),-2.43579 # DEPENDENCYPART_ARC
(2,26),-2.74494 # DEPENDENCYPART_ARC
(3,1),1.2002 # DEPENDENCYPART_ARC
(3,2),1.9028 # DEPENDENCYPART_ARC
(3,4),2.37082 # DEPENDENCYPART_ARC
(3,5),1.34757 # DEPENDENCYPART_ARC
(3,6),0.488641 # DEPENDENCYPART_ARC
(3,7),-0.00923674 # DEPENDENCYPART_ARC
(3,8),-0.0779761 # DEPENDENCYPART_ARC
(3,9),-0.096846 # DEPENDENCYPART_ARC
(3,10),-0.36551 # DEPENDENCYPART_ARC
(3,11),0.868526 # DEPENDENCYPART_ARC
(3,12),-0.235443 # DEPENDENCYPART_ARC
(3,13),-0.845383 # DEPENDENCYPART_ARC
(3,14),1.00009 # DEPENDENCYPART_ARC
(3,15),-0.344996 # DEPENDENCYPART_ARC
(3,16),-0.214196 # DEPENDENCYPART_ARC
(3,17),-1.4015 # DEPENDENCYPART_ARC
(3,18),-0.51965 # DEPENDENCYPART_ARC
(3,19),-1.98025 # DEPENDENCYPART_ARC
(3,20),0.0868319 # DEPENDENCYPART_ARC
(3,21),-1.50606 # DEPENDENCYPART_ARC
(3,22),-0.876463 # DEPENDENCYPART_ARC
(3,23),-2.74313 # DEPENDENCYPART_ARC
(3,24),-4.07279 # DEPENDENCYPART_ARC
(3,25),-3.37501 # DEPENDENCYPART_ARC
(3,26),-2.92433 # DEPENDENCYPART_ARC
(4,1),0.0572401 # DEPENDENCYPART_ARC
(4,2),0.827903 # DEPENDENCYPART_ARC
(4,3),1.33751 # DEPENDENCYPART_ARC
(4,5),2.11266 # DEPENDENCYPART_ARC
(4,6),1.35192 # DEPENDENCYPART_ARC
(4,7),1.08214 # DEPENDENCYPART_ARC
(4,8),-0.14821 # DEPENDENCYPART_ARC
(4,9),-0.235742 # DEPENDENCYPART_ARC
(4,10),0.0476305 # DEPENDENCYPART_ARC
(4,11),0.71508 # DEPENDENCYPART_ARC
(4,12),-0.428847 # DEPENDENCYPART_ARC
(4,13),0.0381239 # DEPENDENCYPART_ARC
(4,14),0.516303 # DEPENDENCYPART_ARC
(4,15),-0.485181 # DEPENDENCYPART_ARC
(4,16),-0.534688 # DEPENDENCYPART_ARC
(4,17),0.0825835 # DEPENDENCYPART_ARC
(4,18),0.353967 # DEPENDENCYPART_ARC
(4,19),0.0255624 # DEPENDENCYPART_ARC
(4,20),-1.0107 # DEPENDENCYPART_ARC
(4,21),-0.904439 # DEPENDENCYPART_ARC
(4,22),0.0697106 # DEPENDENCYPART_ARC
(4,23),-0.841858 # DEPENDENCYPART_ARC
(4,24),-0.750321 # DEPENDENCYPART_ARC
(4,25),-0.604266 # DEPENDENCYPART_ARC
(4,26),-1.54704 # DEPENDENCYPART_ARC
(5,1),-1.79241 # DEPENDENCYPART_ARC
(5,2),-1.45589 # DEPENDENCYPART_ARC
(5,3),-1.441 # DEPENDENCYPART_ARC
(5,4),-0.434133 # DEPENDENCYPART_ARC
(5,6),-0.71641 # DEPENDENCYPART_ARC
(5,7),-0.47338 # DEPENDENCYPART_ARC
(5,8),-1.42893 # DEPENDENCYPART_ARC
(5,9),-1.58034 # DEPENDENCYPART_ARC
(5,10),-1.9035 # DEPENDENCYPART_ARC
(5,11),-0.714212 # DEPENDENCYPART_ARC
(5,12),-1.79968 # DEPENDENCYPART_ARC
(5,13),-2.0924 # DEPENDENCYPART_ARC
(5,14),-1.90574 # DEPENDENCYPART_ARC
(5,15),-1.83664 # DEPENDENCYPART_ARC
(5,16),-1.90623 # DEPENDENCYPART_ARC
(5,17),-2.185 # DEPENDENCYPART_ARC
(5,18),-1.89985 # DEPENDENCYPART_ARC
(5,19),-2.16811 # DEPENDENCYPART_ARC
(5,20),-2.12877 # DEPENDENCYPART_ARC
(5,21),-2.4718 # DEPENDENCYPART_ARC
(5,22),-2.17153 # DEPENDENCYPART_ARC
(5,23),-2.48683 # DEPENDENCYPART_ARC
(5,24),-2.68608 # DEPENDENCYPART_ARC
(5,25),-2.56219 # DEPENDENCYPART_ARC
(5,26),-1.93667 # DEPENDENCYPART_ARC
(6,1),-1.48461 # DEPENDENCYPART_ARC
(6,2),-0.667438 # DEPENDENCYPART_ARC
(6,3),-1.87458 # DEPENDENCYPART_ARC
(6,4),-0.576731 # DEPENDENCYPART_ARC
(6,5),0.694271 # DEPENDENCYPART_ARC
(6,7),1.93898 # DEPENDENCYPART_ARC
(6,8),-0.285691 # DEPENDENCYPART_ARC
(6,9),-0.410343 # DEPENDENCYPART_ARC
(6,10),-0.31605 # DEPENDENCYPART_ARC
(6,11),0.109571 # DEPENDENCYPART_ARC
(6,12),-0.782014 # DEPENDENCYPART_ARC
(6,13),-0.415392 # DEPENDENCYPART_ARC
(6,14),0.120272 # DEPENDENCYPART_ARC
(6,15),-0.883888 # DEPENDENCYPART_ARC
(6,16),-0.863832 # DEPENDENCYPART_ARC
(6,17),-0.71539 # DEPENDENCYPART_ARC
(6,18),-0.28674 # DEPENDENCYPART_ARC
(6,19),-0.320928 # DEPENDENCYPART_ARC
(6,20),-1.39764 # DEPENDENCYPART_ARC
(6,21),-1.23788 # DEPENDENCYPART_ARC
(6,22),-0.481859 # DEPENDENCYPART_ARC
(6,23),-1.17658 # DEPENDENCYPART_ARC
(6,24),-1.1826 # DEPENDENCYPART_ARC
(6,25),-0.965249 # DEPENDENCYPART_ARC
(6,26),-1.57409 # DEPENDENCYPART_ARC
(7,1),-1.97726 # DEPENDENCYPART_ARC
(7,2),-1.87462 # DEPENDENCYPART_ARC
(7,3),-2.38121 # DEPENDENCYPART_ARC
(7,4),-1.67407 # DEPENDENCYPART_ARC
(7,5),-1.00584 # DEPENDENCYPART_ARC
(7,6),-0.405914 # DEPENDENCYPART_ARC
(7,8),-0.298117 # DEPENDENCYPART_ARC
(7,9),-1.07122 # DEPENDENCYPART_ARC
(7,10),-1.39291 # DEPENDENCYPART_ARC
(7,11),-0.595116 # DEPENDENCYPART_ARC
(7,12),-1.49846 # DEPENDENCYPART_ARC
(7,13),-1.76037 # DEPENDENCYPART_ARC
(7,14),-1.56864 # DEPENDENCYPART_ARC
(7,15),-1.61355 # DEPENDENCYPART_ARC
(7,16),-1.66405 # DEPENDENCYPART_ARC
(7,17),-1.85941 # DEPENDENCYPART_ARC
(7,18),-1.61246 # DEPENDENCYPART_ARC
(7,19),-1.93715 # DEPENDENCYPART_ARC
(7,20),-1.83125 # DEPENDENCYPART_ARC
(7,21),-2.18602 # DEPENDENCYPART_ARC
(7,22),-1.97627 # DEPENDENCYPART_ARC
(7,23),-2.16673 # DEPENDENCYPART_ARC
(7,24),-2.2984 # DEPENDENCYPART_ARC
(7,25),-2.23878 # DEPENDENCYPART_ARC
(7,26),-1.62255 # DEPENDENCYPART_ARC
(8,1),-2.01347 # DEPENDENCYPART_ARC
(8,2),-1.77568 # DEPENDENCYPART_ARC
(8,3),-2.47892 # DEPENDENCYPART_ARC
(8,4),-1.63949 # DEPENDENCYPART_ARC
(8,5),-1.41598 # DEPENDENCYPART_ARC
(8,6),-0.872872 # DEPENDENCYPART_ARC
(8,7),0.110304 # DEPENDENCYPART_ARC
(8,9),3.11825 # DEPENDENCYPART_ARC
(8,10),0.809722 # DEPENDENCYPART_ARC
(8,11),1.10011 # DEPENDENCYPART_ARC
(8,12),1.14767 # DEPENDENCYPART_ARC
(8,13),0.0614007 # DEPENDENCYPART_ARC
(8,14),0.723967 # DEPENDENCYPART_ARC
(8,15),0.810713 # DEPENDENCYPART_ARC
(8,16),1.44326 # DEPENDENCYPART_ARC
(8,17),-0.103344 # DEPENDENCYPART_ARC
(8,18),0.187379 # DEPENDENCYPART_ARC
(8,19),-0.0872573 # DEPENDENCYPART_ARC
(8,20),-0.242359 # DEPENDENCYPART_ARC
(8,21),-0.805263 # DEPENDENCYPART_ARC
(8,22),-0.114876 # DEPENDENCYPART_ARC
(8,23),-0.33598 # DEPENDENCYPART_ARC
(8,24),-0.558912 # DEPENDENCYPART_ARC
(8,25),-0.342483 # DEPENDENCYPART_ARC
(8,26),-0.632393 # DEPENDENCYPART_ARC
(9,1),-1.02363 # DEPENDENCYPART_ARC
(9,2),-0.741638 # DEPENDENCYPART_ARC
(9,3),-1.51637 # DEPENDENCYPART_ARC
(9,4),-0.665236 # DEPENDENCYPART_ARC
(9,5),-0.727095 # DEPENDENCYPART_ARC
(9,6),-0.221602 # DEPENDENCYPART_ARC
(9,7),0.149601 # DEPENDENCYPART_ARC
(9,8),0.84422 # DEPENDENCYPART_ARC
(9,10),0.634664 # DEPENDENCYPART_ARC
(9,11),0.111587 # DEPENDENCYPART_ARC
(9,12),0.251879 # DEPENDENCYPART_ARC
(9,13),-0.786643 # DEPENDENCYPART_ARC
(9,14),-0.0857516 # DEPENDENCYPART_ARC
(9,15),-0.115247 # DEPENDENCYPART_ARC
(9,16),0.518336 # DEPENDENCYPART_ARC
(9,17),-0.960943 # DEPENDENCYPART_ARC
(9,18),-0.739202 # DEPENDENCYPART_ARC
(9,19),-0.951263 # DEPENDENCYPART_ARC
(9,20),-1.19861 # DEPENDENCYPART_ARC
(9,21),-1.66965 # DEPENDENCYPART_ARC
(9,22),-1.05727 # DEPENDENCYPART_ARC
(9,23),-1.1735 # DEPENDENCYPART_ARC
(9,24),-1.52307 # DEPENDENCYPART_ARC
(9,25),-1.19933 # DEPENDENCYPART_ARC
(9,26),-1.44805 # DEPENDENCYPART_ARC
(10,1),-0.862963 # DEPENDENCYPART_ARC
(10,2),-0.161812 # DEPENDENCYPART_ARC
(10,3),-2.49513 # DEPENDENCYPART_ARC
(10,4),-0.0128109 # DEPENDENCYPART_ARC
(10,5),-1.43539 # DEPENDENCYPART_ARC
(10,6),-0.0189037 # DEPENDENCYPART_ARC
(10,7),-0.622711 # DEPENDENCYPART_ARC
(10,8),1.86724 # DEPENDENCYPART_ARC
(10,9),1.90109 # DEPENDENCYPART_ARC
(10,11),2.70243 # DEPENDENCYPART_ARC
(10,12),0.885886 # DEPENDENCYPART_ARC
(10,13),2.00056 # DEPENDENCYPART_ARC
(10,14),1.59409 # DEPENDENCYPART_ARC
(10,15),0.600678 # DEPENDENCYPART_ARC
(10,16),0.311989 # DEPENDENCYPART_ARC
(10,17),1.26382 # DEPENDENCYPART_ARC
(10,18),0.629598 # DEPENDENCYPART_ARC
(10,19),0.258833 # DEPENDENCYPART_ARC
(10,20),2.00999 # DEPENDENCYPART_ARC
(10,21),-0.0372776 # DEPENDENCYPART_ARC
(10,22),0.00995392 # DEPENDENCYPART_ARC
(10,23),-0.34065 # DEPENDENCYPART_ARC
(10,24),-0.318611 # DEPENDENCYPART_ARC
(10,25),-0.200907 # DEPENDENCYPART_ARC
(10,26),-1.79169 # DEPENDENCYPART_ARC
(11,1),-2.5212 # DEPENDENCYPART_ARC
(11,2),-2.54773 # DEPENDENCYPART_ARC
(11,3),-3.05517 # DEPENDENCYPART_ARC
(11,4),-2.60268 # DEPENDENCYPART_ARC
(11,5),-2.30335 # DEPENDENCYPART_ARC
(11,6),-2.46958 # DEPENDENCYPART_ARC
(11,7),-2.10036 # DEPENDENCYPART_ARC
(11,8),-1.69569 # DEPENDENCYPART_ARC
(11,9),-1.45214 # DEPENDENCYPART_ARC
(11,10),-1.0062 # DEPENDENCYPART_ARC
(11,12),-0.573606 # DEPENDENCYPART_ARC
(11,13),-1.28246 # DEPENDENCYPART_ARC
(11,14),-1.69395 # DEPENDENCYPART_ARC
(11,15),-1.6495 # DEPENDENCYPART_ARC
(11,16),-1.74483 # DEPENDENCYPART_ARC
(11,17),-2.07323 # DEPENDENCYPART_ARC
(11,18),-1.79289 # DEPENDENCYPART_ARC
(11,19),-2.15741 # DEPENDENCYPART_ARC
(11,20),-1.93674 # DEPENDENCYPART_ARC
(11,21),-2.37193 # DEPENDENCYPART_ARC
(11,22),-2.11125 # DEPENDENCYPART_ARC
(11,23),-2.45576 # DEPENDENCYPART_ARC
(11,24),-2.54424 # DEPENDENCYPART_ARC
(11,25),-2.44189 # DEPENDENCYPART_ARC
(11,26),-1.56054 # DEPENDENCYPART_ARC
(12,1),-1.57977 # DEPENDENCYPART_ARC
(12,2),-1.33195 # DEPENDENCYPART_ARC
(12,3),-2.02733 # DEPENDENCYPART_ARC
(12,4),-1.30452 # DEPENDENCYPART_ARC
(12,5),-1.35799 # DEPENDENCYPART_ARC
(12,6),-1.19897 # DEPENDENCYPART_ARC
(12,7),-1.11912 # DEPENDENCYPART_ARC
(12,8),-0.968287 # DEPENDENCYPART_ARC
(12,9),-0.458016 # DEPENDENCYPART_ARC
(12,10),-0.972515 # DEPENDENCYPART_ARC
(12,11),0.823617 # DEPENDENCYPART_ARC
(12,13),0.662447 # DEPENDENCYPART_ARC
(12,14),0.162135 # DEPENDENCYPART_ARC
(12,15),0.21729 # DEPENDENCYPART_ARC
(12,16),0.497222 # DEPENDENCYPART_ARC
(12,17),-0.727911 # DEPENDENCYPART_ARC
(12,18),-0.61378 # DEPENDENCYPART_ARC
(12,19),-0.803797 # DEPENDENCYPART_ARC
(12,20),-0.945745 # DEPENDENCYPART_ARC
(12,21),-1.33933 # DEPENDENCYPART_ARC
(12,22),-0.935295 # DEPENDENCYPART_ARC
(12,23),-1.03158 # DEPENDENCYPART_ARC
(12,24),-1.1769 # DEPENDENCYPART_ARC
(12,25),-1.11411 # DEPENDENCYPART_ARC
(12,26),-1.27748 # DEPENDENCYPART_ARC
(13,1),-1.24732 # DEPENDENCYPART_ARC
(13,2),-0.790912 # DEPENDENCYPART_ARC
(13,3),-2.75731 # DEPENDENCYPART_ARC
(13,4),-0.595245 # DEPENDENCYPART_ARC
(13,5),-2.27622 # DEPENDENCYPART_ARC
(13,6),-0.916741 # DEPENDENCYPART_ARC
(13,7),-1.81807 # DEPENDENCYPART_ARC
(13,8),0.715776 # DEPENDENCYPART_ARC
(13,9),0.226345 # DEPENDENCYPART_ARC
(13,10),0.527658 # DEPENDENCYPART_ARC
(13,11),-0.529546 # DEPENDENCYPART_ARC
(13,12),2.31256 # DEPENDENCYPART_ARC
(13,14),2.31459 # DEPENDENCYPART_ARC
(13,15),1.15665 # DEPENDENCYPART_ARC
(13,16),0.655195 # DEPENDENCYPART_ARC
(13,17),1.78767 # DEPENDENCYPART_ARC
(13,18),0.683542 # DEPENDENCYPART_ARC
(13,19),0.968831 # DEPENDENCYPART_ARC
(13,20),1.86648 # DEPENDENCYPART_ARC
(13,21),0.0408005 # DEPENDENCYPART_ARC
(13,22),0.0729203 # DEPENDENCYPART_ARC
(13,23),0.199958 # DEPENDENCYPART_ARC
(13,24),-0.131108 # DEPENDENCYPART_ARC
(13,25),0.129704 # DEPENDENCYPART_ARC
(13,26),-1.64968 # DEPENDENCYPART_ARC
(14,1),-1.64759 # DEPENDENCYPART_ARC
(14,2),-1.95212 # DEPENDENCYPART_ARC
(14,3),-2.79263 # DEPENDENCYPART_ARC
(14,4),-2.41901 # DEPENDENCYPART_ARC
(14,5),-2.0028 # DEPENDENCYPART_ARC
(14,6),-2.34921 # DEPENDENCYPART_ARC
(14,7),-1.79056 # DEPENDENCYPART_ARC
(14,8),-1.82447 # DEPENDENCYPART_ARC
(14,9),-1.65997 # DEPENDENCYPART_ARC
(14,10),-2.10764 # DEPENDENCYPART_ARC
(14,11),-1.34766 # DEPENDENCYPART_ARC
(14,12),-0.994581 # DEPENDENCYPART_ARC
(14,13),-0.608952 # DEPENDENCYPART_ARC
(14,15),0.130886 # DEPENDENCYPART_ARC
(14,16),-0.734657 # DEPENDENCYPART_ARC
(14,17),-0.922703 # DEPENDENCYPART_ARC
(14,18),-1.13881 # DEPENDENCYPART_ARC
(14,19),-1.18214 # DEPENDENCYPART_ARC
(14,20),-0.621905 # DEPENDENCYPART_ARC
(14,21),-1.76544 # DEPENDENCYPART_ARC
(14,22),-1.55589 # DEPENDENCYPART_ARC
(14,23),-1.64842 # DEPENDENCYPART_ARC
(14,24),-1.8844 # DEPENDENCYPART_ARC
(14,25),-1.57985 # DEPENDENCYPART_ARC
(14,26),-1.26805 # DEPENDENCYPART_ARC
(15,1),-2.39841 # DEPENDENCYPART_ARC
(15,2),-2.07484 # DEPENDENCYPART_ARC
(15,3),-2.79739 # DEPENDENCYPART_ARC
(15,4),-2.19596 # DEPENDENCYPART_ARC
(15,5),-2.24253 # DEPENDENCYPART_ARC
(15,6),-2.08561 # DEPENDENCYPART_ARC
(15,7),-2.093 # DEPENDENCYPART_ARC
(15,8),-1.99845 # DEPENDENCYPART_ARC
(15,9),-1.88257 # DEPENDENCYPART_ARC
(15,10),-2.42295 # DEPENDENCYPART_ARC
(15,11),-1.71969 # DEPENDENCYPART_ARC
(15,12),-1.30382 # DEPENDENCYPART_ARC
(15,13),-1.61332 # DEPENDENCYPART_ARC
(15,14),-0.0559875 # DEPENDENCYPART_ARC
(15,16),2.82715 # DEPENDENCYPART_ARC
(15,17),0.553773 # DEPENDENCYPART_ARC
(15,18),0.24241 # DEPENDENCYPART_ARC
(15,19),0.0131377 # DEPENDENCYPART_ARC
(15,20),-0.13675 # DEPENDENCYPART_ARC
(15,21),-0.453833 # DEPENDENCYPART_ARC
(15,22),-0.274178 # DEPENDENCYPART_ARC
(15,23),-0.349923 # DEPENDENCYPART_ARC
(15,24),-0.38082 # DEPENDENCYPART_ARC
(15,25),-0.366544 # DEPENDENCYPART_ARC
(15,26),-0.461177 # DEPENDENCYPART_ARC
(16,1),-1.09093 # DEPENDENCYPART_ARC
(16,2),-0.931124 # DEPENDENCYPART_ARC
(16,3),-1.50971 # DEPENDENCYPART_ARC
(16,4),-0.838685 # DEPENDENCYPART_ARC
(16,5),-1.08569 # DEPENDENCYPART_ARC
(16,6),-0.834423 # DEPENDENCYPART_ARC
(16,7),-0.888517 # DEPENDENCYPART_ARC
(16,8),-0.951737 # DEPENDENCYPART_ARC
(16,9),-0.620745 # DEPENDENCYPART_ARC
(16,10),-1.31491 # DEPENDENCYPART_ARC
(16,11),-0.614424 # DEPENDENCYPART_ARC
(16,12),-0.434604 # DEPENDENCYPART_ARC
(16,13),-0.632451 # DEPENDENCYPART_ARC
(16,14),0.292535 # DEPENDENCYPART_ARC
(16,15),1.18787 # DEPENDENCYPART_ARC
(16,17),0.89007 # DEPENDENCYPART_ARC
(16,18),0.0183815 # DEPENDENCYPART_ARC
(16,19),-0.290587 # DEPENDENCYPART_ARC
(16,20),-0.554924 # DEPENDENCYPART_ARC
(16,21),-0.837866 # DEPENDENCYPART_ARC
(16,22),-0.650302 # DEPENDENCYPART_ARC
(16,23),-0.784679 # DEPENDENCYPART_ARC
(16,24),-0.778294 # DEPENDENCYPART_ARC
(16,25),-0.849688 # DEPENDENCYPART_ARC
(16,26),-0.74408 # DEPENDENCYPART_ARC
(17,1),-1.72523 # DEPENDENCYPART_ARC
(17,2),-0.832849 # DEPENDENCYPART_ARC
(17,3),-3.20657 # DEPENDENCYPART_ARC
(17,4),-0.734389 # DEPENDENCYPART_ARC
(17,5),-2.39576 # DEPENDENCYPART_ARC
(17,6),-0.775297 # DEPENDENCYPART_ARC
(17,7),-2.0338 # DEPENDENCYPART_ARC
(17,8),0.518167 # DEPENDENCYPART_ARC
(17,9),-0.115435 # DEPENDENCYPART_ARC
(17,10),-0.67127 # DEPENDENCYPART_ARC
(17,11),-1.95537 # DEPENDENCYPART_ARC
(17,12),0.697133 # DEPENDENCYPART_ARC
(17,13),0.0874495 # DEPENDENCYPART_ARC
(17,14),-0.111803 # DEPENDENCYPART_ARC
(17,15),1.48005 # DEPENDENCYPART_ARC
(17,16),1.88966 # DEPENDENCYPART_ARC
(17,18),1.58296 # DEPENDENCYPART_ARC
(17,19),1.02646 # DEPENDENCYPART_ARC
(17,20),2.40019 # DEPENDENCYPART_ARC
(17,21),-0.224222 # DEPENDENCYPART_ARC
(17,22),-0.00623078 # DEPENDENCYPART_ARC
(17,23),-0.247162 # DEPENDENCYPART_ARC
(17,24),-0.387554 # DEPENDENCYPART_ARC
(17,25),-0.158803 # DEPENDENCYPART_ARC
(17,26),-1.32964 # DEPENDENCYPART_ARC
(18,1),-2.14374 # DEPENDENCYPART_ARC
(18,2),-1.78664 # DEPENDENCYPART_ARC
(18,3),-3.26503 # DEPENDENCYPART_ARC
(18,4),-2.07814 # DEPENDENCYPART_ARC
(18,5),-1.72111 # DEPENDENCYPART_ARC
(18,6),-1.71672 # DEPENDENCYPART_ARC
(18,7),-1.7887 # DEPENDENCYPART_ARC
(18,8),-1.65261 # DEPENDENCYPART_ARC
(18,9),-1.61373 # DEPENDENCYPART_ARC
(18,10),-2.69064 # DEPENDENCYPART_ARC
(18,11),-1.60426 # DEPENDENCYPART_ARC
(18,12),-1.4838 # DEPENDENCYPART_ARC
(18,13),-2.42088 # DEPENDENCYPART_ARC
(18,14),-1.21746 # DEPENDENCYPART_ARC
(18,15),-0.885295 # DEPENDENCYPART_ARC
(18,16),-0.630407 # DEPENDENCYPART_ARC
(18,17),-0.549544 # DEPENDENCYPART_ARC
(18,19),0.81845 # DEPENDENCYPART_ARC
(18,20),0.00449203 # DEPENDENCYPART_ARC
(18,21),-0.447543 # DEPENDENCYPART_ARC
(18,22),-0.447476 # DEPENDENCYPART_ARC
(18,23),-1.0035 # DEPENDENCYPART_ARC
(18,24),-1.10634 # DEPENDENCYPART_ARC
(18,25),-0.824112 # DEPENDENCYPART_ARC
(18,26),-0.759442 # DEPENDENCYPART_ARC
(19,1),-1.0267 # DEPENDENCYPART_ARC
(19,2),-1.32308 # DEPENDENCYPART_ARC
(19,3),-2.16109 # DEPENDENCYPART_ARC
(19,4),-0.183915 # DEPENDENCYPART_ARC
(19,5),-2.96171 # DEPENDENCYPART_ARC
(19,6),-0.412107 # DEPENDENCYPART_ARC
(19,7),-2.46823 # DEPENDENCYPART_ARC
(19,8),-0.156217 # DEPENDENCYPART_ARC
(19,9),-0.699605 # DEPENDENCYPART_ARC
(19,10),-1.78675 # DEPENDENCYPART_ARC
(19,11),-2.46864 # DEPENDENCYPART_ARC
(19,12),-0.197068 # DEPENDENCYPART_ARC
(19,13),-1.45521 # DEPENDENCYPART_ARC
(19,14),-0.928402 # DEPENDENCYPART_ARC
(19,15),0.143531 # DEPENDENCYPART_ARC
(19,16),0.019501 # DEPENDENCYPART_ARC
(19,17),-0.201162 # DEPENDENCYPART_ARC
(19,18),3.66691 # DEPENDENCYPART_ARC
(19,20),1.48538 # DEPENDENCYPART_ARC
(19,21),-0.0793559 # DEPENDENCYPART_ARC
(19,22),0.317095 # DEPENDENCYPART_ARC
(19,23),-0.401619 # DEPENDENCYPART_ARC
(19,24),0.0745085 # DEPENDENCYPART_ARC
(19,25),-0.34998 # DEPENDENCYPART_ARC
(19,26),-1.05915 # DEPENDENCYPART_ARC
(20,1),-2.0779 # DEPENDENCYPART_ARC
(20,2),-0.0689342 # DEPENDENCYPART_ARC
(20,3),-4.80439 # DEPENDENCYPART_ARC
(20,4),-2.01694 # DEPENDENCYPART_ARC
(20,5),-2.19386 # DEPENDENCYPART_ARC
(20,6),-2.14524 # DEPENDENCYPART_ARC
