# _root_ Piccolo mondo antico quello della marcia , un clan di fatica che sta nell' ombra , costretto dalla popolarità di una disciplina che è buona per le medaglie ma non per l' audience .
#goldHeads=2,0,2,2,4,5,6,9,2,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,24,28,26,28,31,24,33,31,33,
#predictedHeads=2,0,2,2,4,5,6,9,4,9,10,13,11,13,14,15,9,17,18,19,22,20,24,22,24,25,28,26,24,31,26,33,31,33,
(8,25),-2.41243 # DEPENDENCYPART_ARC
(8,26),-1.30818 # DEPENDENCYPART_ARC
(8,27),-2.17363 # DEPENDENCYPART_ARC
(8,28),-1.50983 # DEPENDENCYPART_ARC
(8,29),-1.26735 # DEPENDENCYPART_ARC
(8,30),-1.74606 # DEPENDENCYPART_ARC
(8,31),-1.51007 # DEPENDENCYPART_ARC
(8,32),-2.27275 # DEPENDENCYPART_ARC
(8,33),-1.49484 # DEPENDENCYPART_ARC
(8,34),-1.52866 # DEPENDENCYPART_ARC
(9,1),0.227788 # DEPENDENCYPART_ARC
(9,2),-1.99853 # DEPENDENCYPART_ARC
(9,3),-0.356432 # DEPENDENCYPART_ARC
(9,4),-0.214359 # DEPENDENCYPART_ARC
(9,5),0.342313 # DEPENDENCYPART_ARC
(9,6),-1.46243 # DEPENDENCYPART_ARC
(9,7),-0.752106 # DEPENDENCYPART_ARC
(9,8),3.72746 # DEPENDENCYPART_ARC
(9,10),3.0704 # DEPENDENCYPART_ARC
(9,11),1.32821 # DEPENDENCYPART_ARC
(9,12),-0.586964 # DEPENDENCYPART_ARC
(9,13),1.51836 # DEPENDENCYPART_ARC
(9,14),0.381906 # DEPENDENCYPART_ARC
(9,15),0.0223055 # DEPENDENCYPART_ARC
(9,16),0.278444 # DEPENDENCYPART_ARC
(9,17),1.31123 # DEPENDENCYPART_ARC
(9,18),-0.243509 # DEPENDENCYPART_ARC
(9,19),-0.160946 # DEPENDENCYPART_ARC
(9,20),-0.350919 # DEPENDENCYPART_ARC
(9,21),-0.746843 # DEPENDENCYPART_ARC
(9,22),-0.820306 # DEPENDENCYPART_ARC
(9,23),-2.21208 # DEPENDENCYPART_ARC
(9,24),0.20976 # DEPENDENCYPART_ARC
(9,25),-1.234 # DEPENDENCYPART_ARC
(9,26),-0.189837 # DEPENDENCYPART_ARC
(9,27),-1.1463 # DEPENDENCYPART_ARC
(9,28),-1.66059 # DEPENDENCYPART_ARC
(9,29),0.0480254 # DEPENDENCYPART_ARC
(9,30),-1.8693 # DEPENDENCYPART_ARC
(9,31),-1.22958 # DEPENDENCYPART_ARC
(9,32),-0.976296 # DEPENDENCYPART_ARC
(9,33),-1.64938 # DEPENDENCYPART_ARC
(9,34),-3.98968 # DEPENDENCYPART_ARC
(10,1),-2.14219 # DEPENDENCYPART_ARC
(10,2),-2.03331 # DEPENDENCYPART_ARC
(10,3),-2.02379 # DEPENDENCYPART_ARC
(10,4),-1.70834 # DEPENDENCYPART_ARC
(10,5),-1.13401 # DEPENDENCYPART_ARC
(10,6),-1.55306 # DEPENDENCYPART_ARC
(10,7),-1.34894 # DEPENDENCYPART_ARC
(10,8),-0.499499 # DEPENDENCYPART_ARC
(10,9),-0.332035 # DEPENDENCYPART_ARC
(10,11),4.11305 # DEPENDENCYPART_ARC
(10,12),0.120412 # DEPENDENCYPART_ARC
(10,13),-0.353263 # DEPENDENCYPART_ARC
(10,14),-0.617936 # DEPENDENCYPART_ARC
(10,15),-0.274701 # DEPENDENCYPART_ARC
(10,16),-0.204439 # DEPENDENCYPART_ARC
(10,17),-1.14738 # DEPENDENCYPART_ARC
(10,18),-1.17213 # DEPENDENCYPART_ARC
(10,19),-2.4605 # DEPENDENCYPART_ARC
(10,20),-1.15701 # DEPENDENCYPART_ARC
(10,21),-1.91449 # DEPENDENCYPART_ARC
(10,22),-4.35008 # DEPENDENCYPART_ARC
(10,23),-3.33776 # DEPENDENCYPART_ARC
(10,24),-3.52072 # DEPENDENCYPART_ARC
(10,25),-1.56217 # DEPENDENCYPART_ARC
(10,26),-2.92127 # DEPENDENCYPART_ARC
(10,27),-1.99573 # DEPENDENCYPART_ARC
(10,28),-6.77438 # DEPENDENCYPART_ARC
(10,29),-1.03878 # DEPENDENCYPART_ARC
(10,30),-2.6897 # DEPENDENCYPART_ARC
(10,31),-3.1423 # DEPENDENCYPART_ARC
(10,32),-2.39581 # DEPENDENCYPART_ARC
(10,33),-8.18 # DEPENDENCYPART_ARC
(10,34),-3.00479 # DEPENDENCYPART_ARC
(11,1),-1.75145 # DEPENDENCYPART_ARC
(11,2),-3.59309 # DEPENDENCYPART_ARC
(11,3),-2.2227 # DEPENDENCYPART_ARC
(11,4),-1.65608 # DEPENDENCYPART_ARC
(11,5),-1.38198 # DEPENDENCYPART_ARC
(11,6),-2.40368 # DEPENDENCYPART_ARC
(11,7),-2.61062 # DEPENDENCYPART_ARC
(11,8),0.0787768 # DEPENDENCYPART_ARC
(11,9),-1.77056 # DEPENDENCYPART_ARC
(11,10),0.728316 # DEPENDENCYPART_ARC
(11,12),0.0750591 # DEPENDENCYPART_ARC
(11,13),1.63104 # DEPENDENCYPART_ARC
(11,14),0.43802 # DEPENDENCYPART_ARC
(11,15),0.236024 # DEPENDENCYPART_ARC
(11,16),0.0683329 # DEPENDENCYPART_ARC
(11,17),0.607476 # DEPENDENCYPART_ARC
(11,18),-0.32738 # DEPENDENCYPART_ARC
(11,19),-0.5278 # DEPENDENCYPART_ARC
(11,20),-0.577329 # DEPENDENCYPART_ARC
(11,21),-0.515333 # DEPENDENCYPART_ARC
(11,22),-1.16879 # DEPENDENCYPART_ARC
(11,23),-2.51027 # DEPENDENCYPART_ARC
(11,24),0.180019 # DEPENDENCYPART_ARC
(11,25),-0.794323 # DEPENDENCYPART_ARC
(11,26),-0.726791 # DEPENDENCYPART_ARC
(11,27),-1.01893 # DEPENDENCYPART_ARC
(11,28),-2.24922 # DEPENDENCYPART_ARC
(11,29),-0.528278 # DEPENDENCYPART_ARC
(11,30),-1.8306 # DEPENDENCYPART_ARC
(11,31),-1.31155 # DEPENDENCYPART_ARC
(11,32),-1.35191 # DEPENDENCYPART_ARC
(11,33),-2.22215 # DEPENDENCYPART_ARC
(11,34),-3.57686 # DEPENDENCYPART_ARC
(12,1),-2.54189 # DEPENDENCYPART_ARC
(12,2),-2.59703 # DEPENDENCYPART_ARC
(12,3),-2.42962 # DEPENDENCYPART_ARC
(12,4),-2.16516 # DEPENDENCYPART_ARC
(12,5),-1.51206 # DEPENDENCYPART_ARC
(12,6),-2.17261 # DEPENDENCYPART_ARC
(12,7),-1.55447 # DEPENDENCYPART_ARC
(12,8),-0.788732 # DEPENDENCYPART_ARC
(12,9),-1.82862 # DEPENDENCYPART_ARC
(12,10),-0.551188 # DEPENDENCYPART_ARC
(12,11),-0.569397 # DEPENDENCYPART_ARC
(12,13),0.917292 # DEPENDENCYPART_ARC
(12,14),-1.70651 # DEPENDENCYPART_ARC
(12,15),-0.655058 # DEPENDENCYPART_ARC
(12,16),-0.259111 # DEPENDENCYPART_ARC
(12,17),-1.14524 # DEPENDENCYPART_ARC
(12,18),-2.68469 # DEPENDENCYPART_ARC
(12,19),-1.72493 # DEPENDENCYPART_ARC
(12,20),-1.54363 # DEPENDENCYPART_ARC
(12,21),-1.76816 # DEPENDENCYPART_ARC
(12,22),-1.56661 # DEPENDENCYPART_ARC
(12,23),-1.43548 # DEPENDENCYPART_ARC
(12,24),-1.82884 # DEPENDENCYPART_ARC
(12,25),-1.10544 # DEPENDENCYPART_ARC
(12,26),-2.56919 # DEPENDENCYPART_ARC
(12,27),-1.88013 # DEPENDENCYPART_ARC
(12,28),-2.04474 # DEPENDENCYPART_ARC
(12,29),-1.41141 # DEPENDENCYPART_ARC
(12,30),-2.01876 # DEPENDENCYPART_ARC
(12,31),-3.09021 # DEPENDENCYPART_ARC
(12,32),-1.86711 # DEPENDENCYPART_ARC
(12,33),-2.28364 # DEPENDENCYPART_ARC
(12,34),-2.3279 # DEPENDENCYPART_ARC
(13,1),-2.43619 # DEPENDENCYPART_ARC
(13,2),-2.47559 # DEPENDENCYPART_ARC
(13,3),-2.30591 # DEPENDENCYPART_ARC
(13,4),-1.85375 # DEPENDENCYPART_ARC
(13,5),-1.47904 # DEPENDENCYPART_ARC
(13,6),-1.62201 # DEPENDENCYPART_ARC
(13,7),-3.41196 # DEPENDENCYPART_ARC
(13,8),-2.36079 # DEPENDENCYPART_ARC
(13,9),-0.594307 # DEPENDENCYPART_ARC
(13,10),-1.47802 # DEPENDENCYPART_ARC
(13,11),-0.598881 # DEPENDENCYPART_ARC
(13,12),2.82082 # DEPENDENCYPART_ARC
(13,14),2.16724 # DEPENDENCYPART_ARC
(13,15),1.15375 # DEPENDENCYPART_ARC
(13,16),0.391243 # DEPENDENCYPART_ARC
(13,17),-0.726088 # DEPENDENCYPART_ARC
(13,18),-0.0372321 # DEPENDENCYPART_ARC
(13,19),-1.16951 # DEPENDENCYPART_ARC
(13,20),-1.12487 # DEPENDENCYPART_ARC
(13,21),-2.64605 # DEPENDENCYPART_ARC
(13,22),-1.00628 # DEPENDENCYPART_ARC
(13,23),-2.16217 # DEPENDENCYPART_ARC
(13,24),-0.356753 # DEPENDENCYPART_ARC
(13,25),-1.49335 # DEPENDENCYPART_ARC
(13,26),-0.77831 # DEPENDENCYPART_ARC
(13,27),-2.38767 # DEPENDENCYPART_ARC
(13,28),-1.23461 # DEPENDENCYPART_ARC
(13,29),-0.188939 # DEPENDENCYPART_ARC
(13,30),-1.88767 # DEPENDENCYPART_ARC
(13,31),-1.1576 # DEPENDENCYPART_ARC
(13,32),-2.70124 # DEPENDENCYPART_ARC
(13,33),-2.31395 # DEPENDENCYPART_ARC
(13,34),-3.46597 # DEPENDENCYPART_ARC
(14,1),-1.61899 # DEPENDENCYPART_ARC
(14,2),-1.90595 # DEPENDENCYPART_ARC
(14,3),-1.69752 # DEPENDENCYPART_ARC
(14,4),-1.13133 # DEPENDENCYPART_ARC
(14,5),-1.05793 # DEPENDENCYPART_ARC
(14,6),-1.54595 # DEPENDENCYPART_ARC
(14,7),-1.15067 # DEPENDENCYPART_ARC
(14,8),-0.936314 # DEPENDENCYPART_ARC
(14,9),-1.52559 # DEPENDENCYPART_ARC
(14,10),-0.348558 # DEPENDENCYPART_ARC
(14,11),-0.822617 # DEPENDENCYPART_ARC
(14,12),-0.133672 # DEPENDENCYPART_ARC
(14,13),0.395452 # DEPENDENCYPART_ARC
(14,15),4.96206 # DEPENDENCYPART_ARC
(14,16),0.586451 # DEPENDENCYPART_ARC
(14,17),-0.701706 # DEPENDENCYPART_ARC
(14,18),0.350531 # DEPENDENCYPART_ARC
(14,19),0.184925 # DEPENDENCYPART_ARC
(14,20),-0.807721 # DEPENDENCYPART_ARC
(14,21),-1.36662 # DEPENDENCYPART_ARC
(14,22),-2.28419 # DEPENDENCYPART_ARC
(14,23),-2.3775 # DEPENDENCYPART_ARC
(14,24),-2.70759 # DEPENDENCYPART_ARC
(14,25),-1.5327 # DEPENDENCYPART_ARC
(14,26),-1.47451 # DEPENDENCYPART_ARC
(14,27),-1.8879 # DEPENDENCYPART_ARC
(14,28),-4.58766 # DEPENDENCYPART_ARC
(14,29),-0.916427 # DEPENDENCYPART_ARC
(14,30),-1.65792 # DEPENDENCYPART_ARC
(14,31),-1.08059 # DEPENDENCYPART_ARC
(14,32),-2.08 # DEPENDENCYPART_ARC
(14,33),-6.40879 # DEPENDENCYPART_ARC
(14,34),-1.58754 # DEPENDENCYPART_ARC
(15,1),-2.39495 # DEPENDENCYPART_ARC
(15,2),-4.08687 # DEPENDENCYPART_ARC
(15,3),-2.97788 # DEPENDENCYPART_ARC
(15,4),-2.11485 # DEPENDENCYPART_ARC
(15,5),-1.97548 # DEPENDENCYPART_ARC
(15,6),-3.41347 # DEPENDENCYPART_ARC
(15,7),-3.37517 # DEPENDENCYPART_ARC
(15,8),-2.04215 # DEPENDENCYPART_ARC
