# _root_ Il dramma di Gabriella F. , 20 anni , ha mobilitato nella mattinata i carabinieri di tutto il Nord .
#goldHeads=2,11,2,5,3,5,8,5,8,11,0,11,12,15,11,15,19,19,16,19,
#predictedHeads=2,11,2,5,3,5,8,11,8,11,0,11,12,15,11,15,19,19,16,19,
(5,16),-0.97836 # DEPENDENCYPART_ARC
(5,17),-0.443265 # DEPENDENCYPART_ARC
(5,18),-0.96882 # DEPENDENCYPART_ARC
(5,19),-0.910773 # DEPENDENCYPART_ARC
(5,20),-1.85839 # DEPENDENCYPART_ARC
(6,1),-1.54123 # DEPENDENCYPART_ARC
(6,2),-2.07442 # DEPENDENCYPART_ARC
(6,3),-1.12935 # DEPENDENCYPART_ARC
(6,4),-1.54862 # DEPENDENCYPART_ARC
(6,5),-0.682889 # DEPENDENCYPART_ARC
(6,7),-0.383951 # DEPENDENCYPART_ARC
(6,8),-1.10643 # DEPENDENCYPART_ARC
(6,9),-0.275225 # DEPENDENCYPART_ARC
(6,10),-1.47695 # DEPENDENCYPART_ARC
(6,11),-1.72295 # DEPENDENCYPART_ARC
(6,12),-2.17381 # DEPENDENCYPART_ARC
(6,13),-2.20237 # DEPENDENCYPART_ARC
(6,14),-2.10836 # DEPENDENCYPART_ARC
(6,15),-2.32485 # DEPENDENCYPART_ARC
(6,16),-2.26241 # DEPENDENCYPART_ARC
(6,17),-1.99969 # DEPENDENCYPART_ARC
(6,18),-2.21423 # DEPENDENCYPART_ARC
(6,19),-2.41743 # DEPENDENCYPART_ARC
(6,20),-1.35875 # DEPENDENCYPART_ARC
(7,1),-0.504502 # DEPENDENCYPART_ARC
(7,2),-1.76934 # DEPENDENCYPART_ARC
(7,3),-0.865536 # DEPENDENCYPART_ARC
(7,4),-1.26054 # DEPENDENCYPART_ARC
(7,5),-1.00069 # DEPENDENCYPART_ARC
(7,6),0.797794 # DEPENDENCYPART_ARC
(7,8),0.232815 # DEPENDENCYPART_ARC
(7,9),-0.24835 # DEPENDENCYPART_ARC
(7,10),-0.838729 # DEPENDENCYPART_ARC
(7,11),-1.22823 # DEPENDENCYPART_ARC
(7,12),-1.07209 # DEPENDENCYPART_ARC
(7,13),-1.31027 # DEPENDENCYPART_ARC
(7,14),-1.37247 # DEPENDENCYPART_ARC
(7,15),-1.44959 # DEPENDENCYPART_ARC
(7,16),-1.41102 # DEPENDENCYPART_ARC
(7,17),-1.26509 # DEPENDENCYPART_ARC
(7,18),-1.50654 # DEPENDENCYPART_ARC
(7,19),-1.52164 # DEPENDENCYPART_ARC
(7,20),-1.53069 # DEPENDENCYPART_ARC
(8,1),-1.29619 # DEPENDENCYPART_ARC
(8,2),-1.46432 # DEPENDENCYPART_ARC
(8,3),-0.61017 # DEPENDENCYPART_ARC
(8,4),0.271553 # DEPENDENCYPART_ARC
(8,5),-0.688111 # DEPENDENCYPART_ARC
(8,6),-0.635937 # DEPENDENCYPART_ARC
(8,7),2.35645 # DEPENDENCYPART_ARC
(8,9),2.3361 # DEPENDENCYPART_ARC
(8,10),-0.836149 # DEPENDENCYPART_ARC
(8,11),-0.915154 # DEPENDENCYPART_ARC
(8,12),-0.639161 # DEPENDENCYPART_ARC
(8,13),-0.906665 # DEPENDENCYPART_ARC
(8,14),-0.449687 # DEPENDENCYPART_ARC
(8,15),-0.814871 # DEPENDENCYPART_ARC
(8,16),-0.925765 # DEPENDENCYPART_ARC
(8,17),-0.549072 # DEPENDENCYPART_ARC
(8,18),-1.30415 # DEPENDENCYPART_ARC
(8,19),-1.60862 # DEPENDENCYPART_ARC
(8,20),-1.74559 # DEPENDENCYPART_ARC
(9,1),-1.92185 # DEPENDENCYPART_ARC
(9,2),-2.43554 # DEPENDENCYPART_ARC
(9,3),-1.8154 # DEPENDENCYPART_ARC
(9,4),-2.27247 # DEPENDENCYPART_ARC
(9,5),-2.20598 # DEPENDENCYPART_ARC
(9,6),-1.50663 # DEPENDENCYPART_ARC
(9,7),-1.22722 # DEPENDENCYPART_ARC
(9,8),-0.786258 # DEPENDENCYPART_ARC
(9,10),-1.05489 # DEPENDENCYPART_ARC
(9,11),-1.97818 # DEPENDENCYPART_ARC
(9,12),-2.50538 # DEPENDENCYPART_ARC
(9,13),-2.59559 # DEPENDENCYPART_ARC
(9,14),-2.66601 # DEPENDENCYPART_ARC
(9,15),-2.84348 # DEPENDENCYPART_ARC
(9,16),-2.86276 # DEPENDENCYPART_ARC
(9,17),-2.59294 # DEPENDENCYPART_ARC
(9,18),-2.82513 # DEPENDENCYPART_ARC
(9,19),-2.96152 # DEPENDENCYPART_ARC
(9,20),-1.90268 # DEPENDENCYPART_ARC
(10,1),-2.47083 # DEPENDENCYPART_ARC
(10,2),-0.516208 # DEPENDENCYPART_ARC
(10,3),-2.17067 # DEPENDENCYPART_ARC
(10,4),-0.577291 # DEPENDENCYPART_ARC
(10,5),-0.61352 # DEPENDENCYPART_ARC
(10,6),-2.50023 # DEPENDENCYPART_ARC
(10,7),-0.888103 # DEPENDENCYPART_ARC
(10,8),-1.5356 # DEPENDENCYPART_ARC
(10,9),-0.337976 # DEPENDENCYPART_ARC
(10,11),1.11846 # DEPENDENCYPART_ARC
(10,12),0.835829 # DEPENDENCYPART_ARC
(10,13),0.0535536 # DEPENDENCYPART_ARC
(10,14),-1.95487 # DEPENDENCYPART_ARC
(10,15),0.0399585 # DEPENDENCYPART_ARC
(10,16),-1.50805 # DEPENDENCYPART_ARC
(10,17),-1.10383 # DEPENDENCYPART_ARC
(10,18),-2.63772 # DEPENDENCYPART_ARC
(10,19),-0.546314 # DEPENDENCYPART_ARC
(10,20),-1.2694 # DEPENDENCYPART_ARC
(11,1),-0.234841 # DEPENDENCYPART_ARC
(11,2),1.15708 # DEPENDENCYPART_ARC
(11,3),-0.881705 # DEPENDENCYPART_ARC
(11,4),0.986881 # DEPENDENCYPART_ARC
(11,5),0.933435 # DEPENDENCYPART_ARC
(11,6),-1.41305 # DEPENDENCYPART_ARC
(11,7),0.370624 # DEPENDENCYPART_ARC
(11,8),1.09908 # DEPENDENCYPART_ARC
(11,9),-0.469798 # DEPENDENCYPART_ARC
(11,10),4.67613 # DEPENDENCYPART_ARC
(11,12),3.22692 # DEPENDENCYPART_ARC
(11,13),1.75533 # DEPENDENCYPART_ARC
(11,14),-0.930097 # DEPENDENCYPART_ARC
(11,15),1.49284 # DEPENDENCYPART_ARC
(11,16),0.253547 # DEPENDENCYPART_ARC
(11,17),-0.587999 # DEPENDENCYPART_ARC
(11,18),-1.58439 # DEPENDENCYPART_ARC
(11,19),0.419176 # DEPENDENCYPART_ARC
(11,20),-0.59094 # DEPENDENCYPART_ARC
(12,1),-1.98519 # DEPENDENCYPART_ARC
(12,2),-2.6243 # DEPENDENCYPART_ARC
(12,3),-1.56676 # DEPENDENCYPART_ARC
(12,4),-2.66918 # DEPENDENCYPART_ARC
(12,5),-2.5334 # DEPENDENCYPART_ARC
(12,6),-1.93427 # DEPENDENCYPART_ARC
(12,7),-1.65233 # DEPENDENCYPART_ARC
(12,8),-2.31249 # DEPENDENCYPART_ARC
(12,9),-1.3647 # DEPENDENCYPART_ARC
(12,10),-1.30028 # DEPENDENCYPART_ARC
(12,11),-1.01956 # DEPENDENCYPART_ARC
(12,13),4.36695 # DEPENDENCYPART_ARC
(12,14),-1.11777 # DEPENDENCYPART_ARC
(12,15),-1.14102 # DEPENDENCYPART_ARC
(12,16),-0.812664 # DEPENDENCYPART_ARC
(12,17),-0.67177 # DEPENDENCYPART_ARC
(12,18),-1.60961 # DEPENDENCYPART_ARC
(12,19),-2.16352 # DEPENDENCYPART_ARC
(12,20),-0.644197 # DEPENDENCYPART_ARC
(13,1),-3.50654 # DEPENDENCYPART_ARC
(13,2),-4.20962 # DEPENDENCYPART_ARC
(13,3),-2.62163 # DEPENDENCYPART_ARC
(13,4),-2.86676 # DEPENDENCYPART_ARC
(13,5),-3.59926 # DEPENDENCYPART_ARC
(13,6),-3.21346 # DEPENDENCYPART_ARC
(13,7),-1.81368 # DEPENDENCYPART_ARC
(13,8),-2.86831 # DEPENDENCYPART_ARC
(13,9),-2.65958 # DEPENDENCYPART_ARC
(13,10),-1.46279 # DEPENDENCYPART_ARC
(13,11),-0.767629 # DEPENDENCYPART_ARC
(13,12),0.76437 # DEPENDENCYPART_ARC
(13,14),0.0192911 # DEPENDENCYPART_ARC
(13,15),-0.379492 # DEPENDENCYPART_ARC
(13,16),0.620471 # DEPENDENCYPART_ARC
(13,17),0.0157411 # DEPENDENCYPART_ARC
(13,18),-0.985223 # DEPENDENCYPART_ARC
(13,19),-0.436362 # DEPENDENCYPART_ARC
(13,20),-0.630802 # DEPENDENCYPART_ARC
(14,1),-2.03063 # DEPENDENCYPART_ARC
(14,2),-2.79521 # DEPENDENCYPART_ARC
(14,3),-2.30607 # DEPENDENCYPART_ARC
(14,4),-2.85465 # DEPENDENCYPART_ARC
(14,5),-2.82607 # DEPENDENCYPART_ARC
(14,6),-1.92738 # DEPENDENCYPART_ARC
(14,7),-1.92195 # DEPENDENCYPART_ARC
(14,8),-2.0661 # DEPENDENCYPART_ARC
(14,9),-1.73012 # DEPENDENCYPART_ARC
(14,10),-3.15852 # DEPENDENCYPART_ARC
(14,11),-2.43908 # DEPENDENCYPART_ARC
(14,12),-1.35547 # DEPENDENCYPART_ARC
(14,13),-1.25177 # DEPENDENCYPART_ARC
(14,15),0.78187 # DEPENDENCYPART_ARC
(14,16),-0.204715 # DEPENDENCYPART_ARC
(14,17),-1.03314 # DEPENDENCYPART_ARC
(14,18),-1.47041 # DEPENDENCYPART_ARC
(14,19),-0.747731 # DEPENDENCYPART_ARC
(14,20),-0.729034 # DEPENDENCYPART_ARC
(15,1),-3.33859 # DEPENDENCYPART_ARC
(15,2),-2.70897 # DEPENDENCYPART_ARC
(15,3),-1.82654 # DEPENDENCYPART_ARC
(15,4),-1.7756 # DEPENDENCYPART_ARC
(15,5),-2.39298 # DEPENDENCYPART_ARC
(15,6),-2.69675 # DEPENDENCYPART_ARC
(15,7),-1.19965 # DEPENDENCYPART_ARC
(15,8),-0.770137 # DEPENDENCYPART_ARC
(15,9),-2.42125 # DEPENDENCYPART_ARC
(15,10),-2.31843 # DEPENDENCYPART_ARC
(15,11),-1.57222 # DEPENDENCYPART_ARC
(15,12),0.220932 # DEPENDENCYPART_ARC
(15,13),-0.767299 # DEPENDENCYPART_ARC
(15,14),4.14346 # DEPENDENCYPART_ARC
(15,16),2.16374 # DEPENDENCYPART_ARC
(15,17),0.980486 # DEPENDENCYPART_ARC
(15,18),0.0362149 # DEPENDENCYPART_ARC
(15,19),0.824818 # DEPENDENCYPART_ARC
(15,20),-0.0965644 # DEPENDENCYPART_ARC
(16,1),-1.81374 # DEPENDENCYPART_ARC
(16,2),-2.18671 # DEPENDENCYPART_ARC
(16,3),-1.55158 # DEPENDENCYPART_ARC
(16,4),-1.94782 # DEPENDENCYPART_ARC
(16,5),-1.99874 # DEPENDENCYPART_ARC
(16,6),-2.04589 # DEPENDENCYPART_ARC
(16,7),-1.76401 # DEPENDENCYPART_ARC
(16,8),-1.84072 # DEPENDENCYPART_ARC
(16,9),-1.89103 # DEPENDENCYPART_ARC
(16,10),-2.14229 # DEPENDENCYPART_ARC
(16,11),-2.01227 # DEPENDENCYPART_ARC
(16,12),-0.836413 # DEPENDENCYPART_ARC
(16,13),-1.06695 # DEPENDENCYPART_ARC
(16,14),-0.352048 # DEPENDENCYPART_ARC
(16,15),-0.0738265 # DEPENDENCYPART_ARC
(16,17),1.42637 # DEPENDENCYPART_ARC
(16,18),0.528739 # DEPENDENCYPART_ARC
(16,19),2.35065 # DEPENDENCYPART_ARC
(16,20),0.014405 # DEPENDENCYPART_ARC
(17,1),-2.04489 # DEPENDENCYPART_ARC
(17,2),-2.86609 # DEPENDENCYPART_ARC
(17,3),-2.2951 # DEPENDENCYPART_ARC
(17,4),-2.77286 # DEPENDENCYPART_ARC
(17,5),-2.8027 # DEPENDENCYPART_ARC
(17,6),-2.38806 # DEPENDENCYPART_ARC
(17,7),-2.23174 # DEPENDENCYPART_ARC
(17,8),-2.7908 # DEPENDENCYPART_ARC
(17,9),-2.25845 # DEPENDENCYPART_ARC
(17,10),-3.03152 # DEPENDENCYPART_ARC
(17,11),-3.3471 # DEPENDENCYPART_ARC
(17,12),-2.02875 # DEPENDENCYPART_ARC
(17,13),-2.57598 # DEPENDENCYPART_ARC
(17,14),-1.05341 # DEPENDENCYPART_ARC
(17,15),-1.80897 # DEPENDENCYPART_ARC
(17,16),-0.189599 # DEPENDENCYPART_ARC
(17,18),0.271973 # DEPENDENCYPART_ARC
(17,19),0.306486 # DEPENDENCYPART_ARC
(17,20),-0.0330087 # DEPENDENCYPART_ARC
(18,1),-1.56898 # DEPENDENCYPART_ARC
(18,2),-2.34296 # DEPENDENCYPART_ARC
(18,3),-2.33749 # DEPENDENCYPART_ARC
(18,4),-2.56113 # DEPENDENCYPART_ARC
(18,5),-2.41545 # DEPENDENCYPART_ARC
(18,6),-1.70123 # DEPENDENCYPART_ARC
(18,7),-1.85361 # DEPENDENCYPART_ARC
(18,8),-2.25599 # DEPENDENCYPART_ARC
(18,9),-1.65367 # DEPENDENCYPART_ARC
(18,10),-2.76687 # DEPENDENCYPART_ARC
(18,11),-2.79804 # DEPENDENCYPART_ARC
(18,12),-1.92696 # DEPENDENCYPART_ARC
(18,13),-2.21527 # DEPENDENCYPART_ARC
(18,14),-0.95387 # DEPENDENCYPART_ARC
(18,15),-1.43247 # DEPENDENCYPART_ARC
(18,16),-0.636656 # DEPENDENCYPART_ARC
(18,17),0.586383 # DEPENDENCYPART_ARC
(18,19),1.30958 # DEPENDENCYPART_ARC
(18,20),-0.384472 # DEPENDENCYPART_ARC
(19,1),-3.74511 # DEPENDENCYPART_ARC
(19,2),-3.29811 # DEPENDENCYPART_ARC
(19,3),-2.15262 # DEPENDENCYPART_ARC
(19,4),-0.915565 # DEPENDENCYPART_ARC
(19,5),-2.26924 # DEPENDENCYPART_ARC
(19,6),-2.71331 # DEPENDENCYPART_ARC
(19,7),-1.48414 # DEPENDENCYPART_ARC
(19,8),-2.25465 # DEPENDENCYPART_ARC
(19,9),-2.56215 # DEPENDENCYPART_ARC
(19,10),-1.70229 # DEPENDENCYPART_ARC
(19,11),-1.02534 # DEPENDENCYPART_ARC
(19,12),0.0502935 # DEPENDENCYPART_ARC
(19,13),-2.12434 # DEPENDENCYPART_ARC
(19,14),0.651442 # DEPENDENCYPART_ARC
(19,15),-1.1046 # DEPENDENCYPART_ARC
(19,16),0.380247 # DEPENDENCYPART_ARC
(19,17),2.64885 # DEPENDENCYPART_ARC
(19,18),3.00681 # DEPENDENCYPART_ARC
(19,20),2.45384 # DEPENDENCYPART_ARC
(20,1),-2.15994 # DEPENDENCYPART_ARC
(20,2),-2.79198 # DEPENDENCYPART_ARC
(20,3),-2.23676 # DEPENDENCYPART_ARC
(20,4),-2.77236 # DEPENDENCYPART_ARC
(20,5),-2.82929 # DEPENDENCYPART_ARC
(20,6),-2.45056 # DEPENDENCYPART_ARC
(20,7),-2.33537 # DEPENDENCYPART_ARC
(20,8),-2.72284 # DEPENDENCYPART_ARC
(20,9),-2.38624 # DEPENDENCYPART_ARC
(20,10),-2.95335 # DEPENDENCYPART_ARC
(20,11),-2.86351 # DEPENDENCYPART_ARC
(20,12),-1.94988 # DEPENDENCYPART_ARC
(20,13),-2.43022 # DEPENDENCYPART_ARC
(20,14),-1.88652 # DEPENDENCYPART_ARC
(20,15),-2.30288 # DEPENDENCYPART_ARC
(20,16),-1.58663 # DEPENDENCYPART_ARC
(20,17),-1.43232 # DEPENDENCYPART_ARC
(20,18),-0.742635 # DEPENDENCYPART_ARC
(20,19),-0.843509 # DEPENDENCYPART_ARC
