# _root_ Di certe verità " , ha scritto Analysis , " è meglio discutere , che negar- le " " .
#goldHeads=13,3,1,3,4,7,0,7,8,11,7,11,11,13,11,15,16,17,18,19,
#predictedHeads=7,3,1,3,4,7,0,7,8,11,0,13,11,13,13,15,16,17,18,19,
(2,6),-0.917361 # DEPENDENCYPART_ARC
(2,7),-0.927398 # DEPENDENCYPART_ARC
(2,8),-1.20437 # DEPENDENCYPART_ARC
(2,9),-1.06345 # DEPENDENCYPART_ARC
(2,10),-1.03933 # DEPENDENCYPART_ARC
(2,11),-1.72029 # DEPENDENCYPART_ARC
(2,12),-1.70045 # DEPENDENCYPART_ARC
(2,13),-1.58527 # DEPENDENCYPART_ARC
(2,14),-1.30832 # DEPENDENCYPART_ARC
(2,15),-1.23438 # DEPENDENCYPART_ARC
(2,16),-1.606 # DEPENDENCYPART_ARC
(2,17),-1.79244 # DEPENDENCYPART_ARC
(2,18),-1.36122 # DEPENDENCYPART_ARC
(2,19),-1.42753 # DEPENDENCYPART_ARC
(2,20),-1.44094 # DEPENDENCYPART_ARC
(3,1),0.552225 # DEPENDENCYPART_ARC
(3,2),3.66139 # DEPENDENCYPART_ARC
(3,4),1.90006 # DEPENDENCYPART_ARC
(3,5),0.239223 # DEPENDENCYPART_ARC
(3,6),-0.0491431 # DEPENDENCYPART_ARC
(3,7),-0.986281 # DEPENDENCYPART_ARC
(3,8),-0.0800843 # DEPENDENCYPART_ARC
(3,9),0.811901 # DEPENDENCYPART_ARC
(3,10),-1.76363 # DEPENDENCYPART_ARC
(3,11),-1.65312 # DEPENDENCYPART_ARC
(3,12),-0.992049 # DEPENDENCYPART_ARC
(3,13),-2.05905 # DEPENDENCYPART_ARC
(3,14),-0.423017 # DEPENDENCYPART_ARC
(3,15),-1.77412 # DEPENDENCYPART_ARC
(3,16),-3.544 # DEPENDENCYPART_ARC
(3,17),-1.09485 # DEPENDENCYPART_ARC
(3,18),-2.66412 # DEPENDENCYPART_ARC
(3,19),-3.00374 # DEPENDENCYPART_ARC
(3,20),-2.80184 # DEPENDENCYPART_ARC
(4,1),-0.706716 # DEPENDENCYPART_ARC
(4,2),-0.536305 # DEPENDENCYPART_ARC
(4,3),-0.280837 # DEPENDENCYPART_ARC
(4,5),2.32841 # DEPENDENCYPART_ARC
(4,6),-0.74746 # DEPENDENCYPART_ARC
(4,7),-1.06339 # DEPENDENCYPART_ARC
(4,8),-1.54653 # DEPENDENCYPART_ARC
(4,9),0.163529 # DEPENDENCYPART_ARC
(4,10),-0.291586 # DEPENDENCYPART_ARC
(4,11),-1.56836 # DEPENDENCYPART_ARC
(4,12),-1.99342 # DEPENDENCYPART_ARC
(4,13),-1.71016 # DEPENDENCYPART_ARC
(4,14),-0.672178 # DEPENDENCYPART_ARC
(4,15),-1.64158 # DEPENDENCYPART_ARC
(4,16),-1.79762 # DEPENDENCYPART_ARC
(4,17),-2.08961 # DEPENDENCYPART_ARC
(4,18),-1.19673 # DEPENDENCYPART_ARC
(4,19),-1.11467 # DEPENDENCYPART_ARC
(4,20),-0.690105 # DEPENDENCYPART_ARC
(5,1),-0.77672 # DEPENDENCYPART_ARC
(5,2),-0.622406 # DEPENDENCYPART_ARC
(5,3),-0.858137 # DEPENDENCYPART_ARC
(5,4),0.555263 # DEPENDENCYPART_ARC
(5,6),-0.659597 # DEPENDENCYPART_ARC
(5,7),-1.56322 # DEPENDENCYPART_ARC
(5,8),-2.01404 # DEPENDENCYPART_ARC
(5,9),-1.09393 # DEPENDENCYPART_ARC
(5,10),-1.81866 # DEPENDENCYPART_ARC
(5,11),-2.22914 # DEPENDENCYPART_ARC
(5,12),-2.63479 # DEPENDENCYPART_ARC
(5,13),-2.34248 # DEPENDENCYPART_ARC
(5,14),-1.61965 # DEPENDENCYPART_ARC
(5,15),-2.26444 # DEPENDENCYPART_ARC
(5,16),-2.44143 # DEPENDENCYPART_ARC
(5,17),-2.73085 # DEPENDENCYPART_ARC
(5,18),-2.40137 # DEPENDENCYPART_ARC
(5,19),-2.26951 # DEPENDENCYPART_ARC
(5,20),-1.86286 # DEPENDENCYPART_ARC
(6,1),-1.0793 # DEPENDENCYPART_ARC
(6,2),-0.943512 # DEPENDENCYPART_ARC
(6,3),0.219496 # DEPENDENCYPART_ARC
(6,4),-0.729459 # DEPENDENCYPART_ARC
(6,5),0.267609 # DEPENDENCYPART_ARC
(6,7),0.605182 # DEPENDENCYPART_ARC
(6,8),1.06733 # DEPENDENCYPART_ARC
(6,9),0.50856 # DEPENDENCYPART_ARC
(6,10),-0.998196 # DEPENDENCYPART_ARC
(6,11),-0.452461 # DEPENDENCYPART_ARC
(6,12),-1.51384 # DEPENDENCYPART_ARC
(6,13),-0.371605 # DEPENDENCYPART_ARC
(6,14),0.418651 # DEPENDENCYPART_ARC
(6,15),-0.603849 # DEPENDENCYPART_ARC
(6,16),-0.28023 # DEPENDENCYPART_ARC
(6,17),-1.8626 # DEPENDENCYPART_ARC
(6,18),-2.51964 # DEPENDENCYPART_ARC
(6,19),-2.67067 # DEPENDENCYPART_ARC
(6,20),-2.07029 # DEPENDENCYPART_ARC
(7,1),0.289744 # DEPENDENCYPART_ARC
(7,2),-0.937723 # DEPENDENCYPART_ARC
(7,3),0.231638 # DEPENDENCYPART_ARC
(7,4),-0.566299 # DEPENDENCYPART_ARC
(7,5),-0.825801 # DEPENDENCYPART_ARC
(7,6),4.61522 # DEPENDENCYPART_ARC
(7,8),3.42487 # DEPENDENCYPART_ARC
(7,9),1.04258 # DEPENDENCYPART_ARC
(7,10),0.0483574 # DEPENDENCYPART_ARC
(7,11),0.84014 # DEPENDENCYPART_ARC
(7,12),-0.330733 # DEPENDENCYPART_ARC
(7,13),0.444704 # DEPENDENCYPART_ARC
(7,14),1.22637 # DEPENDENCYPART_ARC
(7,15),1.09928 # DEPENDENCYPART_ARC
(7,16),0.648421 # DEPENDENCYPART_ARC
(7,17),-1.85905 # DEPENDENCYPART_ARC
(7,18),-1.51675 # DEPENDENCYPART_ARC
(7,19),-1.63075 # DEPENDENCYPART_ARC
(7,20),-1.04748 # DEPENDENCYPART_ARC
(8,1),-1.51676 # DEPENDENCYPART_ARC
(8,2),-0.01596 # DEPENDENCYPART_ARC
(8,3),-1.43571 # DEPENDENCYPART_ARC
(8,4),-0.81651 # DEPENDENCYPART_ARC
(8,5),-1.69233 # DEPENDENCYPART_ARC
(8,6),-0.859228 # DEPENDENCYPART_ARC
(8,7),0.722863 # DEPENDENCYPART_ARC
(8,9),2.51989 # DEPENDENCYPART_ARC
(8,10),-0.222299 # DEPENDENCYPART_ARC
(8,11),-0.0123378 # DEPENDENCYPART_ARC
(8,12),-0.444829 # DEPENDENCYPART_ARC
(8,13),-0.602845 # DEPENDENCYPART_ARC
(8,14),0.201983 # DEPENDENCYPART_ARC
(8,15),-0.899589 # DEPENDENCYPART_ARC
(8,16),-1.84111 # DEPENDENCYPART_ARC
(8,17),-1.44957 # DEPENDENCYPART_ARC
(8,18),-1.206 # DEPENDENCYPART_ARC
(8,19),-1.76609 # DEPENDENCYPART_ARC
(8,20),-1.76034 # DEPENDENCYPART_ARC
(9,1),-1.6895 # DEPENDENCYPART_ARC
(9,2),-1.74491 # DEPENDENCYPART_ARC
(9,3),-2.19745 # DEPENDENCYPART_ARC
(9,4),-1.85881 # DEPENDENCYPART_ARC
(9,5),-1.6548 # DEPENDENCYPART_ARC
(9,6),-1.93825 # DEPENDENCYPART_ARC
(9,7),-1.276 # DEPENDENCYPART_ARC
(9,8),-0.478228 # DEPENDENCYPART_ARC
(9,10),0.856429 # DEPENDENCYPART_ARC
(9,11),-0.954912 # DEPENDENCYPART_ARC
(9,12),-1.6857 # DEPENDENCYPART_ARC
(9,13),-1.45744 # DEPENDENCYPART_ARC
(9,14),-1.14159 # DEPENDENCYPART_ARC
(9,15),-1.73561 # DEPENDENCYPART_ARC
(9,16),-1.75219 # DEPENDENCYPART_ARC
(9,17),-2.15279 # DEPENDENCYPART_ARC
(9,18),-1.43961 # DEPENDENCYPART_ARC
(9,19),-1.16818 # DEPENDENCYPART_ARC
(9,20),-0.821764 # DEPENDENCYPART_ARC
(10,1),-1.80943 # DEPENDENCYPART_ARC
(10,2),-1.95084 # DEPENDENCYPART_ARC
(10,3),-2.25923 # DEPENDENCYPART_ARC
(10,4),-1.8174 # DEPENDENCYPART_ARC
(10,5),-1.72181 # DEPENDENCYPART_ARC
(10,6),-2.36688 # DEPENDENCYPART_ARC
(10,7),-1.97221 # DEPENDENCYPART_ARC
(10,8),-1.43261 # DEPENDENCYPART_ARC
(10,9),0.224963 # DEPENDENCYPART_ARC
(10,11),-0.935747 # DEPENDENCYPART_ARC
(10,12),-2.13233 # DEPENDENCYPART_ARC
(10,13),-2.04154 # DEPENDENCYPART_ARC
(10,14),-1.00566 # DEPENDENCYPART_ARC
(10,15),-2.49492 # DEPENDENCYPART_ARC
(10,16),-2.45254 # DEPENDENCYPART_ARC
(10,17),-2.75825 # DEPENDENCYPART_ARC
(10,18),-1.84674 # DEPENDENCYPART_ARC
(10,19),-1.85014 # DEPENDENCYPART_ARC
(10,20),-1.39543 # DEPENDENCYPART_ARC
(11,1),0.230436 # DEPENDENCYPART_ARC
(11,2),-0.0821166 # DEPENDENCYPART_ARC
(11,3),0.822904 # DEPENDENCYPART_ARC
(11,4),-1.04966 # DEPENDENCYPART_ARC
(11,5),-1.34001 # DEPENDENCYPART_ARC
(11,6),0.416019 # DEPENDENCYPART_ARC
(11,7),0.286907 # DEPENDENCYPART_ARC
(11,8),1.28593 # DEPENDENCYPART_ARC
(11,9),-0.470977 # DEPENDENCYPART_ARC
(11,10),1.8307 # DEPENDENCYPART_ARC
(11,12),1.79231 # DEPENDENCYPART_ARC
(11,13),2.06447 # DEPENDENCYPART_ARC
(11,14),1.56114 # DEPENDENCYPART_ARC
(11,15),1.69725 # DEPENDENCYPART_ARC
(11,16),1.30922 # DEPENDENCYPART_ARC
(11,17),0.0953702 # DEPENDENCYPART_ARC
(11,18),-0.938367 # DEPENDENCYPART_ARC
(11,19),-1.02683 # DEPENDENCYPART_ARC
(11,20),-0.572458 # DEPENDENCYPART_ARC
(12,1),-1.12781 # DEPENDENCYPART_ARC
(12,2),-1.13563 # DEPENDENCYPART_ARC
(12,3),-1.89651 # DEPENDENCYPART_ARC
(12,4),-1.10507 # DEPENDENCYPART_ARC
(12,5),-1.28054 # DEPENDENCYPART_ARC
(12,6),-1.80755 # DEPENDENCYPART_ARC
(12,7),-1.74257 # DEPENDENCYPART_ARC
(12,8),-1.33693 # DEPENDENCYPART_ARC
(12,9),-0.693683 # DEPENDENCYPART_ARC
(12,10),0.223946 # DEPENDENCYPART_ARC
(12,11),0.221975 # DEPENDENCYPART_ARC
(12,13),0.598737 # DEPENDENCYPART_ARC
(12,14),0.101247 # DEPENDENCYPART_ARC
(12,15),-0.154468 # DEPENDENCYPART_ARC
(12,16),-0.242861 # DEPENDENCYPART_ARC
(12,17),-1.13695 # DEPENDENCYPART_ARC
(12,18),-0.956087 # DEPENDENCYPART_ARC
(12,19),-1.18371 # DEPENDENCYPART_ARC
(12,20),-1.17635 # DEPENDENCYPART_ARC
(13,1),-1.21474 # DEPENDENCYPART_ARC
(13,2),-0.447946 # DEPENDENCYPART_ARC
(13,3),-0.233024 # DEPENDENCYPART_ARC
(13,4),-1.27348 # DEPENDENCYPART_ARC
(13,5),-1.69522 # DEPENDENCYPART_ARC
(13,6),-0.226944 # DEPENDENCYPART_ARC
(13,7),-1.43536 # DEPENDENCYPART_ARC
(13,8),0.505798 # DEPENDENCYPART_ARC
(13,9),-1.2862 # DEPENDENCYPART_ARC
(13,10),0.0398625 # DEPENDENCYPART_ARC
(13,11),1.92698 # DEPENDENCYPART_ARC
(13,12),2.8389 # DEPENDENCYPART_ARC
(13,14),2.41639 # DEPENDENCYPART_ARC
(13,15),1.98912 # DEPENDENCYPART_ARC
(13,16),2.006 # DEPENDENCYPART_ARC
(13,17),0.698846 # DEPENDENCYPART_ARC
(13,18),-0.290131 # DEPENDENCYPART_ARC
(13,19),-0.299057 # DEPENDENCYPART_ARC
(13,20),-0.167499 # DEPENDENCYPART_ARC
(14,1),-2.22567 # DEPENDENCYPART_ARC
(14,2),-2.34458 # DEPENDENCYPART_ARC
(14,3),-2.85092 # DEPENDENCYPART_ARC
(14,4),-2.53655 # DEPENDENCYPART_ARC
(14,5),-2.41536 # DEPENDENCYPART_ARC
(14,6),-3.02158 # DEPENDENCYPART_ARC
(14,7),-2.86682 # DEPENDENCYPART_ARC
(14,8),-2.48352 # DEPENDENCYPART_ARC
(14,9),-2.07864 # DEPENDENCYPART_ARC
(14,10),-2.11267 # DEPENDENCYPART_ARC
(14,11),-2.31743 # DEPENDENCYPART_ARC
(14,12),-1.40751 # DEPENDENCYPART_ARC
(14,13),-0.832171 # DEPENDENCYPART_ARC
(14,15),-0.954296 # DEPENDENCYPART_ARC
(14,16),-1.21604 # DEPENDENCYPART_ARC
(14,17),-1.88038 # DEPENDENCYPART_ARC
(14,18),-1.52041 # DEPENDENCYPART_ARC
(14,19),-1.53461 # DEPENDENCYPART_ARC
(14,20),-0.94816 # DEPENDENCYPART_ARC
(15,1),-2.59646 # DEPENDENCYPART_ARC
(15,2),-2.21919 # DEPENDENCYPART_ARC
(15,3),-2.85837 # DEPENDENCYPART_ARC
(15,4),-2.4046 # DEPENDENCYPART_ARC
(15,5),-2.22134 # DEPENDENCYPART_ARC
(15,6),-2.94976 # DEPENDENCYPART_ARC
(15,7),-2.86321 # DEPENDENCYPART_ARC
(15,8),-2.46257 # DEPENDENCYPART_ARC
(15,9),-2.14002 # DEPENDENCYPART_ARC
(15,10),-1.74568 # DEPENDENCYPART_ARC
(15,11),-2.56841 # DEPENDENCYPART_ARC
(15,12),-1.14473 # DEPENDENCYPART_ARC
(15,13),-1.59406 # DEPENDENCYPART_ARC
(15,14),-0.0267975 # DEPENDENCYPART_ARC
(15,16),2.30862 # DEPENDENCYPART_ARC
(15,17),-0.148083 # DEPENDENCYPART_ARC
(15,18),-0.283288 # DEPENDENCYPART_ARC
(15,19),-0.668351 # DEPENDENCYPART_ARC
(15,20),-0.516756 # DEPENDENCYPART_ARC
(16,1),-3.97345 # DEPENDENCYPART_ARC
(16,2),-2.40231 # DEPENDENCYPART_ARC
(16,3),-2.68024 # DEPENDENCYPART_ARC
(16,4),-3.61208 # DEPENDENCYPART_ARC
(16,5),-4.02955 # DEPENDENCYPART_ARC
(16,6),-2.40816 # DEPENDENCYPART_ARC
(16,7),-3.39283 # DEPENDENCYPART_ARC
(16,8),-2.03939 # DEPENDENCYPART_ARC
(16,9),-3.55579 # DEPENDENCYPART_ARC
(16,10),-2.60935 # DEPENDENCYPART_ARC
(16,11),-2.23945 # DEPENDENCYPART_ARC
(16,12),-1.0122 # DEPENDENCYPART_ARC
(16,13),-1.33763 # DEPENDENCYPART_ARC
(16,14),-2.12102 # DEPENDENCYPART_ARC
(16,15),0.309111 # DEPENDENCYPART_ARC
(16,17),3.33701 # DEPENDENCYPART_ARC
(16,18),-0.226304 # DEPENDENCYPART_ARC
(16,19),-0.441725 # DEPENDENCYPART_ARC
(16,20),-0.3213 # DEPENDENCYPART_ARC
(17,1),-1.6307 # DEPENDENCYPART_ARC
(17,2),-1.03605 # DEPENDENCYPART_ARC
(17,3),-2.0349 # DEPENDENCYPART_ARC
(17,4),-1.60631 # DEPENDENCYPART_ARC
(17,5),-1.79128 # DEPENDENCYPART_ARC
(17,6),-2.37182 # DEPENDENCYPART_ARC
(17,7),-2.57752 # DEPENDENCYPART_ARC
(17,8),-2.04379 # DEPENDENCYPART_ARC
(17,9),-1.86058 # DEPENDENCYPART_ARC
(17,10),-1.3283 # DEPENDENCYPART_ARC
(17,11),-2.05448 # DEPENDENCYPART_ARC
(17,12),-0.940703 # DEPENDENCYPART_ARC
(17,13),-1.86972 # DEPENDENCYPART_ARC
(17,14),-1.03526 # DEPENDENCYPART_ARC
(17,15),-0.418415 # DEPENDENCYPART_ARC
(17,16),0.0488945 # DEPENDENCYPART_ARC
(17,18),1.87307 # DEPENDENCYPART_ARC
(17,19),0.296212 # DEPENDENCYPART_ARC
(17,20),0.124556 # DEPENDENCYPART_ARC
(18,1),-1.46376 # DEPENDENCYPART_ARC
(18,2),-1.57578 # DEPENDENCYPART_ARC
(18,3),-2.0212 # DEPENDENCYPART_ARC
(18,4),-1.66205 # DEPENDENCYPART_ARC
(18,5),-1.44511 # DEPENDENCYPART_ARC
(18,6),-2.21462 # DEPENDENCYPART_ARC
(18,7),-2.28196 # DEPENDENCYPART_ARC
(18,8),-1.91396 # DEPENDENCYPART_ARC
(18,9),-1.43466 # DEPENDENCYPART_ARC
(18,10),-1.53845 # DEPENDENCYPART_ARC
(18,11),-1.98755 # DEPENDENCYPART_ARC
(18,12),-1.36781 # DEPENDENCYPART_ARC
(18,13),-1.95059 # DEPENDENCYPART_ARC
(18,14),-1.0714 # DEPENDENCYPART_ARC
(18,15),-0.764957 # DEPENDENCYPART_ARC
(18,16),-0.778021 # DEPENDENCYPART_ARC
(18,17),0.428233 # DEPENDENCYPART_ARC
(18,19),2.1468 # DEPENDENCYPART_ARC
(18,20),1.49848 # DEPENDENCYPART_ARC
(19,1),-1.07 # DEPENDENCYPART_ARC
(19,2),-1.15317 # DEPENDENCYPART_ARC
(19,3),-1.61045 # DEPENDENCYPART_ARC
(19,4),-1.1896 # DEPENDENCYPART_ARC
(19,5),-1.1801 # DEPENDENCYPART_ARC
(19,6),-1.78512 # DEPENDENCYPART_ARC
(19,7),-1.80657 # DEPENDENCYPART_ARC
(19,8),-1.61512 # DEPENDENCYPART_ARC
(19,9),-1.02422 # DEPENDENCYPART_ARC
(19,10),-1.1318 # DEPENDENCYPART_ARC
(19,11),-1.67657 # DEPENDENCYPART_ARC
(19,12),-0.977825 # DEPENDENCYPART_ARC
(19,13),-1.61637 # DEPENDENCYPART_ARC
(19,14),-0.769928 # DEPENDENCYPART_ARC
(19,15),-0.696064 # DEPENDENCYPART_ARC
(19,16),-0.981608 # DEPENDENCYPART_ARC
(19,17),-0.0511235 # DEPENDENCYPART_ARC
(19,18),0.975133 # DEPENDENCYPART_ARC
(19,20),3.01345 # DEPENDENCYPART_ARC
(20,1),-1.41681 # DEPENDENCYPART_ARC
(20,2),-1.57301 # DEPENDENCYPART_ARC
(20,3),-1.99131 # DEPENDENCYPART_ARC
(20,4),-1.68322 # DEPENDENCYPART_ARC
(20,5),-1.66527 # DEPENDENCYPART_ARC
(20,6),-2.34426 # DEPENDENCYPART_ARC
(20,7),-2.19107 # DEPENDENCYPART_ARC
(20,8),-1.9432 # DEPENDENCYPART_ARC
(20,9),-1.60304 # DEPENDENCYPART_ARC
(20,10),-1.67899 # DEPENDENCYPART_ARC
(20,11),-2.09407 # DEPENDENCYPART_ARC
(20,12),-1.51547 # DEPENDENCYPART_ARC
(20,13),-2.0382 # DEPENDENCYPART_ARC
(20,14),-1.36704 # DEPENDENCYPART_ARC
(20,15),-1.21261 # DEPENDENCYPART_ARC
(20,16),-1.72719 # DEPENDENCYPART_ARC
(20,17),-0.741567 # DEPENDENCYPART_ARC
(20,18),-0.427697 # DEPENDENCYPART_ARC
(20,19),0.499563 # DEPENDENCYPART_ARC
