# _root_ Per questo sono invidiosi quando vedono che qualcuno , che si trovava al loro stesso livello , li supera .
#goldHeads=3,1,0,3,3,5,6,19,8,12,12,8,12,16,16,13,16,19,7,19,
#predictedHeads=3,1,0,3,3,5,6,6,8,12,12,7,12,16,16,13,16,19,16,19,
(3,14),-0.931204 # DEPENDENCYPART_ARC
(3,15),-1.22057 # DEPENDENCYPART_ARC
(3,16),-2.12357 # DEPENDENCYPART_ARC
(3,17),0.467574 # DEPENDENCYPART_ARC
(3,18),-0.566974 # DEPENDENCYPART_ARC
(3,19),0.451289 # DEPENDENCYPART_ARC
(3,20),-1.55434 # DEPENDENCYPART_ARC
(4,1),0.793209 # DEPENDENCYPART_ARC
(4,2),0.10949 # DEPENDENCYPART_ARC
(4,3),0.6634 # DEPENDENCYPART_ARC
(4,5),0.594783 # DEPENDENCYPART_ARC
(4,6),-0.192331 # DEPENDENCYPART_ARC
(4,7),-0.49862 # DEPENDENCYPART_ARC
(4,8),-1.07271 # DEPENDENCYPART_ARC
(4,9),-0.5692 # DEPENDENCYPART_ARC
(4,10),-2.07657 # DEPENDENCYPART_ARC
(4,11),-2.25611 # DEPENDENCYPART_ARC
(4,12),-1.52545 # DEPENDENCYPART_ARC
(4,13),-0.331512 # DEPENDENCYPART_ARC
(4,14),0.236904 # DEPENDENCYPART_ARC
(4,15),-0.206083 # DEPENDENCYPART_ARC
(4,16),-1.39431 # DEPENDENCYPART_ARC
(4,17),-0.751931 # DEPENDENCYPART_ARC
(4,18),-1.27156 # DEPENDENCYPART_ARC
(4,19),-1.84512 # DEPENDENCYPART_ARC
(4,20),-1.60572 # DEPENDENCYPART_ARC
(5,1),-1.18302 # DEPENDENCYPART_ARC
(5,2),-0.730059 # DEPENDENCYPART_ARC
(5,3),-1.06222 # DEPENDENCYPART_ARC
(5,4),-0.0614809 # DEPENDENCYPART_ARC
(5,6),2.51613 # DEPENDENCYPART_ARC
(5,7),0.272489 # DEPENDENCYPART_ARC
(5,9),0.422682 # DEPENDENCYPART_ARC
(5,10),-0.330117 # DEPENDENCYPART_ARC
(5,11),-0.564341 # DEPENDENCYPART_ARC
(5,12),0.719964 # DEPENDENCYPART_ARC
(5,13),-0.680432 # DEPENDENCYPART_ARC
(5,15),-0.706785 # DEPENDENCYPART_ARC
(5,16),-0.825468 # DEPENDENCYPART_ARC
(5,17),-0.0630696 # DEPENDENCYPART_ARC
(5,18),-0.849216 # DEPENDENCYPART_ARC
(5,19),-0.524026 # DEPENDENCYPART_ARC
(5,20),-0.811458 # DEPENDENCYPART_ARC
(6,1),0.653182 # DEPENDENCYPART_ARC
(6,2),-0.420521 # DEPENDENCYPART_ARC
(6,3),-0.497202 # DEPENDENCYPART_ARC
(6,4),0.230432 # DEPENDENCYPART_ARC
(6,5),1.45798 # DEPENDENCYPART_ARC
(6,7),2.62597 # DEPENDENCYPART_ARC
(6,8),1.29953 # DEPENDENCYPART_ARC
(6,9),1.15704 # DEPENDENCYPART_ARC
(6,10),-0.102273 # DEPENDENCYPART_ARC
(6,11),-0.000905148 # DEPENDENCYPART_ARC
(6,12),0.654087 # DEPENDENCYPART_ARC
(6,13),0.355882 # DEPENDENCYPART_ARC
(6,14),-0.172683 # DEPENDENCYPART_ARC
(6,15),-0.396602 # DEPENDENCYPART_ARC
(6,16),-0.663798 # DEPENDENCYPART_ARC
(6,17),0.848842 # DEPENDENCYPART_ARC
(6,18),0.0157563 # DEPENDENCYPART_ARC
(6,19),0.478194 # DEPENDENCYPART_ARC
(6,20),-0.651855 # DEPENDENCYPART_ARC
(7,1),-2.07217 # DEPENDENCYPART_ARC
(7,2),-1.73842 # DEPENDENCYPART_ARC
(7,3),-2.7181 # DEPENDENCYPART_ARC
(7,4),-1.93946 # DEPENDENCYPART_ARC
(7,5),-1.15168 # DEPENDENCYPART_ARC
(7,6),-0.850674 # DEPENDENCYPART_ARC
(7,9),1.09456 # DEPENDENCYPART_ARC
(7,10),0.257967 # DEPENDENCYPART_ARC
(7,11),-0.292767 # DEPENDENCYPART_ARC
(7,12),1.85408 # DEPENDENCYPART_ARC
(7,13),-0.670611 # DEPENDENCYPART_ARC
(7,15),-0.632302 # DEPENDENCYPART_ARC
(7,16),-0.667524 # DEPENDENCYPART_ARC
(7,17),0.324854 # DEPENDENCYPART_ARC
(7,18),-0.678907 # DEPENDENCYPART_ARC
(7,19),0.24224 # DEPENDENCYPART_ARC
(7,20),-0.703636 # DEPENDENCYPART_ARC
(8,1),-1.74256 # DEPENDENCYPART_ARC
(8,3),-3.19996 # DEPENDENCYPART_ARC
(8,4),-1.85441 # DEPENDENCYPART_ARC
(8,5),-1.17173 # DEPENDENCYPART_ARC
(8,6),-2.0126 # DEPENDENCYPART_ARC
(8,7),0.390348 # DEPENDENCYPART_ARC
(8,9),1.86029 # DEPENDENCYPART_ARC
(8,11),-1.63574 # DEPENDENCYPART_ARC
(8,12),0.538967 # DEPENDENCYPART_ARC
(8,13),-0.0230248 # DEPENDENCYPART_ARC
(8,15),-0.139001 # DEPENDENCYPART_ARC
(8,16),-0.421551 # DEPENDENCYPART_ARC
(8,17),-0.4426 # DEPENDENCYPART_ARC
(8,18),-0.73143 # DEPENDENCYPART_ARC
(8,19),-0.407243 # DEPENDENCYPART_ARC
(8,20),-0.818168 # DEPENDENCYPART_ARC
(9,17),-0.249436 # DEPENDENCYPART_ARC
(9,20),-0.424763 # DEPENDENCYPART_ARC
(10,1),-1.74044 # DEPENDENCYPART_ARC
(10,3),-3.45175 # DEPENDENCYPART_ARC
(10,5),-1.5371 # DEPENDENCYPART_ARC
(10,6),-3.09806 # DEPENDENCYPART_ARC
(10,7),-0.854848 # DEPENDENCYPART_ARC
(10,9),0.21695 # DEPENDENCYPART_ARC
(10,12),-0.171547 # DEPENDENCYPART_ARC
(10,13),-1.92072 # DEPENDENCYPART_ARC
(10,16),-1.40955 # DEPENDENCYPART_ARC
(10,17),-0.871419 # DEPENDENCYPART_ARC
(10,19),-1.47231 # DEPENDENCYPART_ARC
(10,20),-1.7069 # DEPENDENCYPART_ARC
(11,1),-2.9104 # DEPENDENCYPART_ARC
(11,3),-4.80438 # DEPENDENCYPART_ARC
(11,4),-3.88058 # DEPENDENCYPART_ARC
(11,5),-2.65771 # DEPENDENCYPART_ARC
(11,6),-4.50698 # DEPENDENCYPART_ARC
(11,7),-2.27807 # DEPENDENCYPART_ARC
(11,8),-2.68322 # DEPENDENCYPART_ARC
(11,9),-1.83608 # DEPENDENCYPART_ARC
(11,12),-1.32568 # DEPENDENCYPART_ARC
(11,13),-2.06464 # DEPENDENCYPART_ARC
(11,15),-0.816923 # DEPENDENCYPART_ARC
(11,16),-1.61001 # DEPENDENCYPART_ARC
(11,17),-0.977097 # DEPENDENCYPART_ARC
(11,18),-1.01216 # DEPENDENCYPART_ARC
(11,19),-3.19492 # DEPENDENCYPART_ARC
(11,20),-1.59188 # DEPENDENCYPART_ARC
(12,1),0.0518485 # DEPENDENCYPART_ARC
(12,2),-0.574452 # DEPENDENCYPART_ARC
(12,3),-1.42535 # DEPENDENCYPART_ARC
(12,4),-1.17453 # DEPENDENCYPART_ARC
(12,5),0.101147 # DEPENDENCYPART_ARC
(12,6),-0.411878 # DEPENDENCYPART_ARC
(12,7),-0.399881 # DEPENDENCYPART_ARC
(12,8),0.732484 # DEPENDENCYPART_ARC
(12,9),-1.19573 # DEPENDENCYPART_ARC
(12,10),2.66525 # DEPENDENCYPART_ARC
(12,11),4.32536 # DEPENDENCYPART_ARC
(12,13),2.79736 # DEPENDENCYPART_ARC
(12,14),1.11932 # DEPENDENCYPART_ARC
(12,15),0.368986 # DEPENDENCYPART_ARC
(12,16),1.01017 # DEPENDENCYPART_ARC
(12,17),0.805721 # DEPENDENCYPART_ARC
(12,18),-0.0992395 # DEPENDENCYPART_ARC
(12,19),0.785222 # DEPENDENCYPART_ARC
(12,20),-0.316733 # DEPENDENCYPART_ARC
(13,1),-1.76272 # DEPENDENCYPART_ARC
(13,2),-2.05946 # DEPENDENCYPART_ARC
(13,3),-2.84526 # DEPENDENCYPART_ARC
(13,4),-1.93644 # DEPENDENCYPART_ARC
(13,5),-1.02079 # DEPENDENCYPART_ARC
(13,6),-2.73302 # DEPENDENCYPART_ARC
(13,7),-0.971334 # DEPENDENCYPART_ARC
(13,8),-1.63826 # DEPENDENCYPART_ARC
(13,9),-1.34607 # DEPENDENCYPART_ARC
(13,10),-1.39721 # DEPENDENCYPART_ARC
(13,11),-1.07621 # DEPENDENCYPART_ARC
(13,12),-0.411634 # DEPENDENCYPART_ARC
(13,14),1.04672 # DEPENDENCYPART_ARC
(13,15),0.409067 # DEPENDENCYPART_ARC
(13,16),1.53484 # DEPENDENCYPART_ARC
(13,17),0.472177 # DEPENDENCYPART_ARC
(13,18),-0.494873 # DEPENDENCYPART_ARC
(13,19),-1.20846 # DEPENDENCYPART_ARC
(13,20),-0.217753 # DEPENDENCYPART_ARC
(14,3),-4.77533 # DEPENDENCYPART_ARC
(14,5),-2.10888 # DEPENDENCYPART_ARC
(14,6),-4.60953 # DEPENDENCYPART_ARC
(14,7),-1.84325 # DEPENDENCYPART_ARC
(14,9),-2.25112 # DEPENDENCYPART_ARC
(14,12),-3.06156 # DEPENDENCYPART_ARC
(14,17),0.0510934 # DEPENDENCYPART_ARC
(14,19),-0.615253 # DEPENDENCYPART_ARC
(14,20),-0.717872 # DEPENDENCYPART_ARC
(15,1),-1.44664 # DEPENDENCYPART_ARC
(15,2),-1.8965 # DEPENDENCYPART_ARC
(15,3),-2.41968 # DEPENDENCYPART_ARC
(15,4),-2.06197 # DEPENDENCYPART_ARC
(15,5),-1.49522 # DEPENDENCYPART_ARC
(15,6),-2.36513 # DEPENDENCYPART_ARC
(15,7),-1.26547 # DEPENDENCYPART_ARC
(15,8),-1.66333 # DEPENDENCYPART_ARC
(15,9),-1.64254 # DEPENDENCYPART_ARC
(15,10),-0.584151 # DEPENDENCYPART_ARC
(15,11),-0.10341 # DEPENDENCYPART_ARC
(15,12),-1.31152 # DEPENDENCYPART_ARC
(15,13),-0.218463 # DEPENDENCYPART_ARC
(15,14),0.858667 # DEPENDENCYPART_ARC
(15,16),0.824982 # DEPENDENCYPART_ARC
(15,17),-0.338931 # DEPENDENCYPART_ARC
(15,18),-1.61006 # DEPENDENCYPART_ARC
(15,19),-1.50322 # DEPENDENCYPART_ARC
(15,20),-1.18688 # DEPENDENCYPART_ARC
(16,1),-0.703437 # DEPENDENCYPART_ARC
(16,2),-0.584986 # DEPENDENCYPART_ARC
(16,3),-2.1593 # DEPENDENCYPART_ARC
(16,4),0.50713 # DEPENDENCYPART_ARC
(16,5),-0.854751 # DEPENDENCYPART_ARC
(16,6),-1.97938 # DEPENDENCYPART_ARC
(16,7),-0.604859 # DEPENDENCYPART_ARC
(16,8),-0.496946 # DEPENDENCYPART_ARC
(16,9),-1.79002 # DEPENDENCYPART_ARC
(16,10),-0.587251 # DEPENDENCYPART_ARC
(16,11),0.182491 # DEPENDENCYPART_ARC
(16,12),-1.36356 # DEPENDENCYPART_ARC
(16,13),0.581063 # DEPENDENCYPART_ARC
(16,14),2.85826 # DEPENDENCYPART_ARC
(16,15),3.59055 # DEPENDENCYPART_ARC
(16,17),2.19974 # DEPENDENCYPART_ARC
(16,18),0.118003 # DEPENDENCYPART_ARC
(16,19),0.950604 # DEPENDENCYPART_ARC
(16,20),0.102323 # DEPENDENCYPART_ARC
(17,9),-1.86706 # DEPENDENCYPART_ARC
(17,20),-1.09987 # DEPENDENCYPART_ARC
(18,1),-2.10538 # DEPENDENCYPART_ARC
(18,3),-3.60277 # DEPENDENCYPART_ARC
(18,4),-2.03783 # DEPENDENCYPART_ARC
(18,5),-1.64464 # DEPENDENCYPART_ARC
(18,6),-3.50933 # DEPENDENCYPART_ARC
(18,7),-1.64139 # DEPENDENCYPART_ARC
(18,8),-2.33843 # DEPENDENCYPART_ARC
(18,9),-1.78759 # DEPENDENCYPART_ARC
(18,11),-1.36498 # DEPENDENCYPART_ARC
(18,12),-3.52782 # DEPENDENCYPART_ARC
(18,13),-1.57907 # DEPENDENCYPART_ARC
(18,15),-1.53601 # DEPENDENCYPART_ARC
(18,16),-1.49257 # DEPENDENCYPART_ARC
(18,17),0.102069 # DEPENDENCYPART_ARC
(18,19),-0.0633632 # DEPENDENCYPART_ARC
(18,20),-0.740915 # DEPENDENCYPART_ARC
(19,1),-0.224092 # DEPENDENCYPART_ARC
(19,2),-1.34173 # DEPENDENCYPART_ARC
(19,3),-1.50562 # DEPENDENCYPART_ARC
(19,4),-1.1733 # DEPENDENCYPART_ARC
(19,5),0.747485 # DEPENDENCYPART_ARC
(19,6),-1.03588 # DEPENDENCYPART_ARC
(19,7),-0.324845 # DEPENDENCYPART_ARC
(19,8),0.00507618 # DEPENDENCYPART_ARC
(19,9),-1.71088 # DEPENDENCYPART_ARC
(19,10),1.49895 # DEPENDENCYPART_ARC
(19,11),1.92321 # DEPENDENCYPART_ARC
(19,12),-0.542188 # DEPENDENCYPART_ARC
(19,13),0.630109 # DEPENDENCYPART_ARC
(19,14),-0.780136 # DEPENDENCYPART_ARC
(19,15),-0.0481043 # DEPENDENCYPART_ARC
(19,16),0.709106 # DEPENDENCYPART_ARC
(19,17),-0.177061 # DEPENDENCYPART_ARC
(19,18),3.0419 # DEPENDENCYPART_ARC
(19,20),2.59631 # DEPENDENCYPART_ARC
(20,9),-2.08272 # DEPENDENCYPART_ARC
(20,17),-1.27593 # DEPENDENCYPART_ARC
