# _root_ Nella camera d' albergo il cameriere vi porterà , su semplice richiesta , un clistere .
#goldHeads=8,1,2,3,6,8,8,0,8,8,12,10,12,15,8,15,
#predictedHeads=8,1,2,3,6,8,8,0,8,8,12,10,12,15,12,15,
(8,9),2.28691 # DEPENDENCYPART_ARC
(8,10),1.48678 # DEPENDENCYPART_ARC
(8,11),0.0360318 # DEPENDENCYPART_ARC
(8,12),1.11734 # DEPENDENCYPART_ARC
(8,13),0.522985 # DEPENDENCYPART_ARC
(8,14),-1.49701 # DEPENDENCYPART_ARC
(8,15),0.0706512 # DEPENDENCYPART_ARC
(8,16),-0.511698 # DEPENDENCYPART_ARC
(9,5),-1.15636 # DEPENDENCYPART_ARC
(9,13),-0.766132 # DEPENDENCYPART_ARC
(9,14),-1.18001 # DEPENDENCYPART_ARC
(9,16),-0.777036 # DEPENDENCYPART_ARC
(10,1),-1.94735 # DEPENDENCYPART_ARC
(10,2),-2.33865 # DEPENDENCYPART_ARC
(10,3),-1.71605 # DEPENDENCYPART_ARC
(10,4),-2.19844 # DEPENDENCYPART_ARC
(10,5),-1.69631 # DEPENDENCYPART_ARC
(10,6),-1.89435 # DEPENDENCYPART_ARC
(10,7),-1.47726 # DEPENDENCYPART_ARC
(10,8),-1.37442 # DEPENDENCYPART_ARC
(10,9),0.19516 # DEPENDENCYPART_ARC
(10,11),1.36596 # DEPENDENCYPART_ARC
(10,12),2.69027 # DEPENDENCYPART_ARC
(10,13),0.0792412 # DEPENDENCYPART_ARC
(10,14),-1.04739 # DEPENDENCYPART_ARC
(10,15),-0.378025 # DEPENDENCYPART_ARC
(10,16),-0.58085 # DEPENDENCYPART_ARC
(11,1),-3.17779 # DEPENDENCYPART_ARC
(11,2),-3.25159 # DEPENDENCYPART_ARC
(11,3),-2.05198 # DEPENDENCYPART_ARC
(11,4),-2.92886 # DEPENDENCYPART_ARC
(11,5),-2.27854 # DEPENDENCYPART_ARC
(11,6),-2.68239 # DEPENDENCYPART_ARC
(11,7),-2.11293 # DEPENDENCYPART_ARC
(11,8),-2.96221 # DEPENDENCYPART_ARC
(11,9),-1.08552 # DEPENDENCYPART_ARC
(11,10),0.247978 # DEPENDENCYPART_ARC
(11,12),1.28468 # DEPENDENCYPART_ARC
(11,13),-0.222223 # DEPENDENCYPART_ARC
(11,14),-1.07728 # DEPENDENCYPART_ARC
(11,15),-0.384915 # DEPENDENCYPART_ARC
(11,16),-0.854189 # DEPENDENCYPART_ARC
(12,1),-1.08425 # DEPENDENCYPART_ARC
(12,2),-2.08956 # DEPENDENCYPART_ARC
(12,3),-1.12172 # DEPENDENCYPART_ARC
(12,4),-2.31008 # DEPENDENCYPART_ARC
(12,5),-0.634029 # DEPENDENCYPART_ARC
(12,6),-2.61639 # DEPENDENCYPART_ARC
(12,7),-0.607249 # DEPENDENCYPART_ARC
(12,8),-1.51581 # DEPENDENCYPART_ARC
(12,9),-1.31279 # DEPENDENCYPART_ARC
(12,10),0.580742 # DEPENDENCYPART_ARC
(12,11),3.5572 # DEPENDENCYPART_ARC
(12,13),2.22839 # DEPENDENCYPART_ARC
(12,14),-0.138459 # DEPENDENCYPART_ARC
(12,15),0.908304 # DEPENDENCYPART_ARC
(12,16),0.655585 # DEPENDENCYPART_ARC
(13,5),-1.61434 # DEPENDENCYPART_ARC
(13,9),-1.48755 # DEPENDENCYPART_ARC
(13,14),-0.113526 # DEPENDENCYPART_ARC
(13,16),-0.501644 # DEPENDENCYPART_ARC
(14,1),-3.1171 # DEPENDENCYPART_ARC
(14,3),-2.61167 # DEPENDENCYPART_ARC
(14,9),-1.74015 # DEPENDENCYPART_ARC
(14,10),-1.70298 # DEPENDENCYPART_ARC
(14,13),0.125707 # DEPENDENCYPART_ARC
(14,16),0.0457017 # DEPENDENCYPART_ARC
(15,1),-1.03487 # DEPENDENCYPART_ARC
(15,2),-2.86413 # DEPENDENCYPART_ARC
(15,3),-1.19692 # DEPENDENCYPART_ARC
(15,4),-2.32986 # DEPENDENCYPART_ARC
(15,5),-0.994335 # DEPENDENCYPART_ARC
(15,6),-2.52888 # DEPENDENCYPART_ARC
(15,7),-1.02185 # DEPENDENCYPART_ARC
(15,8),-2.29019 # DEPENDENCYPART_ARC
(15,9),-2.28527 # DEPENDENCYPART_ARC
(15,10),0.0626973 # DEPENDENCYPART_ARC
(15,11),0.480019 # DEPENDENCYPART_ARC
(15,12),-1.91573 # DEPENDENCYPART_ARC
(15,13),-0.729416 # DEPENDENCYPART_ARC
(15,14),3.55448 # DEPENDENCYPART_ARC
(15,16),2.7064 # DEPENDENCYPART_ARC
(16,5),-1.7914 # DEPENDENCYPART_ARC
(16,9),-1.6879 # DEPENDENCYPART_ARC
(16,13),-1.09087 # DEPENDENCYPART_ARC
(16,14),-0.417809 # DEPENDENCYPART_ARC
