# _root_ Forse qualcuno di noi nasconde ancora , sotto l' attuale moquette , un piccolo tesoro che varrebbe la pena di valorizzare .
#goldHeads=5,5,2,3,0,5,6,5,11,11,8,11,15,15,5,17,15,19,17,17,20,21,
#predictedHeads=5,5,5,3,0,5,6,5,11,11,5,11,15,15,11,17,15,19,17,19,20,21,
(6,19),-1.69394 # DEPENDENCYPART_ARC
(6,20),-1.14439 # DEPENDENCYPART_ARC
(6,21),-1.31101 # DEPENDENCYPART_ARC
(6,22),-1.32289 # DEPENDENCYPART_ARC
(7,1),-2.08038 # DEPENDENCYPART_ARC
(7,2),-1.8485 # DEPENDENCYPART_ARC
(7,3),-1.45701 # DEPENDENCYPART_ARC
(7,4),-1.40719 # DEPENDENCYPART_ARC
(7,5),-1.37688 # DEPENDENCYPART_ARC
(7,6),-0.345812 # DEPENDENCYPART_ARC
(7,8),-0.845993 # DEPENDENCYPART_ARC
(7,9),-1.42131 # DEPENDENCYPART_ARC
(7,10),-1.63229 # DEPENDENCYPART_ARC
(7,11),-1.75354 # DEPENDENCYPART_ARC
(7,12),-0.708287 # DEPENDENCYPART_ARC
(7,13),-1.81377 # DEPENDENCYPART_ARC
(7,14),-2.13594 # DEPENDENCYPART_ARC
(7,15),-2.0476 # DEPENDENCYPART_ARC
(7,16),-2.12179 # DEPENDENCYPART_ARC
(7,17),-1.79114 # DEPENDENCYPART_ARC
(7,18),-2.15556 # DEPENDENCYPART_ARC
(7,19),-2.35886 # DEPENDENCYPART_ARC
(7,20),-2.41629 # DEPENDENCYPART_ARC
(7,21),-2.13408 # DEPENDENCYPART_ARC
(7,22),-1.54486 # DEPENDENCYPART_ARC
(8,1),-1.39149 # DEPENDENCYPART_ARC
(8,2),-1.65757 # DEPENDENCYPART_ARC
(8,3),-0.886339 # DEPENDENCYPART_ARC
(8,4),-1.46782 # DEPENDENCYPART_ARC
(8,5),-1.81281 # DEPENDENCYPART_ARC
(8,6),-0.0845443 # DEPENDENCYPART_ARC
(8,7),0.489959 # DEPENDENCYPART_ARC
(8,9),0.844214 # DEPENDENCYPART_ARC
(8,10),0.466609 # DEPENDENCYPART_ARC
(8,11),0.293386 # DEPENDENCYPART_ARC
(8,12),0.396537 # DEPENDENCYPART_ARC
(8,13),-0.25132 # DEPENDENCYPART_ARC
(8,14),-0.506502 # DEPENDENCYPART_ARC
(8,15),-0.389843 # DEPENDENCYPART_ARC
(8,16),-0.746677 # DEPENDENCYPART_ARC
(8,17),-0.414284 # DEPENDENCYPART_ARC
(8,18),-0.533851 # DEPENDENCYPART_ARC
(8,19),-1.02143 # DEPENDENCYPART_ARC
(8,20),-0.722305 # DEPENDENCYPART_ARC
(8,21),-0.695621 # DEPENDENCYPART_ARC
(8,22),-1.15558 # DEPENDENCYPART_ARC
(9,1),-1.95214 # DEPENDENCYPART_ARC
(9,2),-2.04175 # DEPENDENCYPART_ARC
(9,3),-1.61986 # DEPENDENCYPART_ARC
(9,4),-2.1375 # DEPENDENCYPART_ARC
(9,5),-3.01725 # DEPENDENCYPART_ARC
(9,6),-1.18874 # DEPENDENCYPART_ARC
(9,7),-0.471687 # DEPENDENCYPART_ARC
(9,8),-0.129294 # DEPENDENCYPART_ARC
(9,10),-0.0657744 # DEPENDENCYPART_ARC
(9,11),0.329789 # DEPENDENCYPART_ARC
(9,12),-0.250056 # DEPENDENCYPART_ARC
(9,13),-1.30405 # DEPENDENCYPART_ARC
(9,14),-1.50667 # DEPENDENCYPART_ARC
(9,15),-0.789646 # DEPENDENCYPART_ARC
(9,16),-1.53643 # DEPENDENCYPART_ARC
(9,17),-0.979688 # DEPENDENCYPART_ARC
(9,18),-1.63131 # DEPENDENCYPART_ARC
(9,19),-1.02846 # DEPENDENCYPART_ARC
(9,20),-0.917731 # DEPENDENCYPART_ARC
(9,21),-1.42542 # DEPENDENCYPART_ARC
(9,22),-1.05187 # DEPENDENCYPART_ARC
(10,1),-1.64054 # DEPENDENCYPART_ARC
(10,2),-1.71662 # DEPENDENCYPART_ARC
(10,3),-0.92855 # DEPENDENCYPART_ARC
(10,4),-1.5403 # DEPENDENCYPART_ARC
(10,5),-2.18616 # DEPENDENCYPART_ARC
(10,6),-0.312936 # DEPENDENCYPART_ARC
(10,7),-0.752728 # DEPENDENCYPART_ARC
(10,8),0.183862 # DEPENDENCYPART_ARC
(10,9),1.51602 # DEPENDENCYPART_ARC
(10,11),1.12393 # DEPENDENCYPART_ARC
(10,12),0.0158078 # DEPENDENCYPART_ARC
(10,13),-0.617113 # DEPENDENCYPART_ARC
(10,14),0.522681 # DEPENDENCYPART_ARC
(10,15),-0.32138 # DEPENDENCYPART_ARC
(10,16),-1.85835 # DEPENDENCYPART_ARC
(10,17),-0.785776 # DEPENDENCYPART_ARC
(10,18),-1.15139 # DEPENDENCYPART_ARC
(10,19),-1.2018 # DEPENDENCYPART_ARC
(10,20),-0.893858 # DEPENDENCYPART_ARC
(10,21),-2.02132 # DEPENDENCYPART_ARC
(10,22),-1.37317 # DEPENDENCYPART_ARC
(11,1),-0.183241 # DEPENDENCYPART_ARC
(11,2),-0.670572 # DEPENDENCYPART_ARC
(11,3),-0.33337 # DEPENDENCYPART_ARC
(11,4),-0.378418 # DEPENDENCYPART_ARC
(11,5),-1.25913 # DEPENDENCYPART_ARC
(11,6),0.522751 # DEPENDENCYPART_ARC
(11,7),-1.44789 # DEPENDENCYPART_ARC
(11,8),0.812427 # DEPENDENCYPART_ARC
(11,9),2.72237 # DEPENDENCYPART_ARC
(11,10),3.27814 # DEPENDENCYPART_ARC
(11,12),2.32344 # DEPENDENCYPART_ARC
(11,13),0.0894219 # DEPENDENCYPART_ARC
(11,14),0.037378 # DEPENDENCYPART_ARC
(11,15),0.652324 # DEPENDENCYPART_ARC
(11,16),-0.580842 # DEPENDENCYPART_ARC
(11,17),0.922083 # DEPENDENCYPART_ARC
(11,18),0.0939843 # DEPENDENCYPART_ARC
(11,19),-0.227663 # DEPENDENCYPART_ARC
(11,20),-0.0608301 # DEPENDENCYPART_ARC
(11,21),0.0115213 # DEPENDENCYPART_ARC
(11,22),-0.946 # DEPENDENCYPART_ARC
(12,1),-2.571 # DEPENDENCYPART_ARC
(12,2),-2.34397 # DEPENDENCYPART_ARC
(12,3),-2.07408 # DEPENDENCYPART_ARC
(12,4),-2.30605 # DEPENDENCYPART_ARC
(12,5),-2.78275 # DEPENDENCYPART_ARC
(12,6),-2.23344 # DEPENDENCYPART_ARC
(12,7),-2.0507 # DEPENDENCYPART_ARC
(12,8),-1.9304 # DEPENDENCYPART_ARC
(12,9),-1.26639 # DEPENDENCYPART_ARC
(12,10),-1.45848 # DEPENDENCYPART_ARC
(12,11),-0.836285 # DEPENDENCYPART_ARC
(12,13),-0.793352 # DEPENDENCYPART_ARC
(12,14),-1.41044 # DEPENDENCYPART_ARC
(12,15),-1.73217 # DEPENDENCYPART_ARC
(12,16),-2.01028 # DEPENDENCYPART_ARC
(12,17),-1.75242 # DEPENDENCYPART_ARC
(12,18),-2.16454 # DEPENDENCYPART_ARC
(12,19),-2.40756 # DEPENDENCYPART_ARC
(12,20),-2.37382 # DEPENDENCYPART_ARC
(12,21),-2.1472 # DEPENDENCYPART_ARC
(12,22),-1.3544 # DEPENDENCYPART_ARC
(13,1),-2.3185 # DEPENDENCYPART_ARC
(13,2),-2.33789 # DEPENDENCYPART_ARC
(13,3),-2.15228 # DEPENDENCYPART_ARC
(13,4),-2.11721 # DEPENDENCYPART_ARC
(13,5),-3.12819 # DEPENDENCYPART_ARC
(13,6),-2.05345 # DEPENDENCYPART_ARC
(13,7),-1.74822 # DEPENDENCYPART_ARC
(13,8),-1.92204 # DEPENDENCYPART_ARC
(13,9),-1.33554 # DEPENDENCYPART_ARC
(13,10),-1.53776 # DEPENDENCYPART_ARC
(13,11),-2.08064 # DEPENDENCYPART_ARC
(13,12),0.221007 # DEPENDENCYPART_ARC
(13,14),0.0059354 # DEPENDENCYPART_ARC
(13,15),0.0851612 # DEPENDENCYPART_ARC
(13,16),-1.08236 # DEPENDENCYPART_ARC
(13,17),-0.596441 # DEPENDENCYPART_ARC
(13,18),-1.53226 # DEPENDENCYPART_ARC
(13,19),-0.907278 # DEPENDENCYPART_ARC
(13,20),-0.636735 # DEPENDENCYPART_ARC
(13,21),-1.03132 # DEPENDENCYPART_ARC
(13,22),-0.679251 # DEPENDENCYPART_ARC
(14,1),-1.71756 # DEPENDENCYPART_ARC
(14,2),-1.38655 # DEPENDENCYPART_ARC
(14,3),-1.34808 # DEPENDENCYPART_ARC
(14,4),-0.762453 # DEPENDENCYPART_ARC
(14,5),-1.41745 # DEPENDENCYPART_ARC
(14,6),-0.725733 # DEPENDENCYPART_ARC
(14,7),-1.21319 # DEPENDENCYPART_ARC
(14,8),-0.852001 # DEPENDENCYPART_ARC
(14,9),-0.199854 # DEPENDENCYPART_ARC
(14,10),-0.673396 # DEPENDENCYPART_ARC
(14,11),-1.20863 # DEPENDENCYPART_ARC
(14,12),-0.0547536 # DEPENDENCYPART_ARC
(14,13),1.52138 # DEPENDENCYPART_ARC
(14,15),1.264 # DEPENDENCYPART_ARC
(14,16),-1.01246 # DEPENDENCYPART_ARC
(14,17),-0.663907 # DEPENDENCYPART_ARC
(14,18),-0.855729 # DEPENDENCYPART_ARC
(14,19),-0.848638 # DEPENDENCYPART_ARC
(14,20),-0.492487 # DEPENDENCYPART_ARC
(14,21),-1.57 # DEPENDENCYPART_ARC
(14,22),-0.770877 # DEPENDENCYPART_ARC
(15,1),-0.565854 # DEPENDENCYPART_ARC
(15,2),-0.495109 # DEPENDENCYPART_ARC
(15,3),-0.70137 # DEPENDENCYPART_ARC
(15,4),-0.698714 # DEPENDENCYPART_ARC
(15,5),-1.77021 # DEPENDENCYPART_ARC
(15,6),-0.113768 # DEPENDENCYPART_ARC
(15,7),-2.0752 # DEPENDENCYPART_ARC
(15,8),-0.293491 # DEPENDENCYPART_ARC
(15,9),0.654167 # DEPENDENCYPART_ARC
(15,10),1.14949 # DEPENDENCYPART_ARC
(15,11),-1.22671 # DEPENDENCYPART_ARC
(15,12),-1.05133 # DEPENDENCYPART_ARC
(15,13),3.22582 # DEPENDENCYPART_ARC
(15,14),3.77558 # DEPENDENCYPART_ARC
(15,16),0.553669 # DEPENDENCYPART_ARC
(15,17),1.79364 # DEPENDENCYPART_ARC
(15,18),0.181905 # DEPENDENCYPART_ARC
(15,19),0.331693 # DEPENDENCYPART_ARC
(15,20),0.823682 # DEPENDENCYPART_ARC
(15,21),0.793776 # DEPENDENCYPART_ARC
(15,22),0.0577428 # DEPENDENCYPART_ARC
(16,1),-2.04468 # DEPENDENCYPART_ARC
(16,2),-2.54572 # DEPENDENCYPART_ARC
(16,3),-1.82821 # DEPENDENCYPART_ARC
(16,4),-2.27665 # DEPENDENCYPART_ARC
(16,5),-3.09453 # DEPENDENCYPART_ARC
(16,6),-1.57976 # DEPENDENCYPART_ARC
(16,7),-1.85627 # DEPENDENCYPART_ARC
(16,8),-1.43482 # DEPENDENCYPART_ARC
(16,9),-0.786105 # DEPENDENCYPART_ARC
(16,10),-1.78355 # DEPENDENCYPART_ARC
(16,11),-1.85714 # DEPENDENCYPART_ARC
(16,12),-1.51786 # DEPENDENCYPART_ARC
(16,13),-0.499741 # DEPENDENCYPART_ARC
(16,14),-1.40355 # DEPENDENCYPART_ARC
(16,15),-0.973499 # DEPENDENCYPART_ARC
(16,17),1.24856 # DEPENDENCYPART_ARC
(16,18),-1.18385 # DEPENDENCYPART_ARC
(16,19),-0.826606 # DEPENDENCYPART_ARC
(16,20),-0.998766 # DEPENDENCYPART_ARC
(16,21),-0.4563 # DEPENDENCYPART_ARC
(16,22),-0.915723 # DEPENDENCYPART_ARC
(17,1),-1.13002 # DEPENDENCYPART_ARC
(17,2),-1.88714 # DEPENDENCYPART_ARC
(17,3),-1.72644 # DEPENDENCYPART_ARC
(17,4),-1.44895 # DEPENDENCYPART_ARC
(17,5),-1.04982 # DEPENDENCYPART_ARC
(17,6),-2.32287 # DEPENDENCYPART_ARC
(17,7),-3.04642 # DEPENDENCYPART_ARC
(17,8),-1.09899 # DEPENDENCYPART_ARC
(17,9),-2.16101 # DEPENDENCYPART_ARC
(17,10),-1.31138 # DEPENDENCYPART_ARC
(17,11),-0.963549 # DEPENDENCYPART_ARC
(17,12),-2.73554 # DEPENDENCYPART_ARC
(17,13),-1.76509 # DEPENDENCYPART_ARC
(17,14),-0.751329 # DEPENDENCYPART_ARC
(17,15),-0.715148 # DEPENDENCYPART_ARC
(17,16),3.16179 # DEPENDENCYPART_ARC
(17,18),-0.404569 # DEPENDENCYPART_ARC
(17,19),2.78394 # DEPENDENCYPART_ARC
(17,20),0.899875 # DEPENDENCYPART_ARC
(17,21),0.976053 # DEPENDENCYPART_ARC
(17,22),-0.183943 # DEPENDENCYPART_ARC
(18,1),-2.44291 # DEPENDENCYPART_ARC
(18,2),-2.37017 # DEPENDENCYPART_ARC
(18,3),-2.47091 # DEPENDENCYPART_ARC
(18,4),-2.55794 # DEPENDENCYPART_ARC
(18,5),-3.0258 # DEPENDENCYPART_ARC
(18,6),-2.38652 # DEPENDENCYPART_ARC
(18,7),-2.1907 # DEPENDENCYPART_ARC
(18,8),-2.38478 # DEPENDENCYPART_ARC
(18,9),-1.94263 # DEPENDENCYPART_ARC
(18,10),-2.26366 # DEPENDENCYPART_ARC
(18,11),-2.62132 # DEPENDENCYPART_ARC
(18,12),-1.87688 # DEPENDENCYPART_ARC
(18,13),-1.86208 # DEPENDENCYPART_ARC
(18,14),-2.13218 # DEPENDENCYPART_ARC
(18,15),-1.98062 # DEPENDENCYPART_ARC
(18,16),-1.2019 # DEPENDENCYPART_ARC
(18,17),-0.727911 # DEPENDENCYPART_ARC
(18,19),1.12391 # DEPENDENCYPART_ARC
(18,20),0.0231012 # DEPENDENCYPART_ARC
(18,21),-0.424899 # DEPENDENCYPART_ARC
(18,22),-0.664797 # DEPENDENCYPART_ARC
(19,1),-0.814462 # DEPENDENCYPART_ARC
(19,2),-1.53757 # DEPENDENCYPART_ARC
(19,3),-1.37486 # DEPENDENCYPART_ARC
(19,4),-1.56564 # DEPENDENCYPART_ARC
(19,5),-2.16003 # DEPENDENCYPART_ARC
(19,6),-0.83857 # DEPENDENCYPART_ARC
(19,7),-2.98876 # DEPENDENCYPART_ARC
(19,8),-1.19472 # DEPENDENCYPART_ARC
(19,9),-1.16542 # DEPENDENCYPART_ARC
(19,10),-0.633706 # DEPENDENCYPART_ARC
(19,11),-2.42983 # DEPENDENCYPART_ARC
(19,12),-2.7273 # DEPENDENCYPART_ARC
(19,13),-0.733379 # DEPENDENCYPART_ARC
(19,14),-0.257415 # DEPENDENCYPART_ARC
(19,15),-2.12808 # DEPENDENCYPART_ARC
(19,16),-0.348406 # DEPENDENCYPART_ARC
(19,17),-0.094322 # DEPENDENCYPART_ARC
(19,18),3.21579 # DEPENDENCYPART_ARC
(19,20),2.36418 # DEPENDENCYPART_ARC
(19,21),1.16575 # DEPENDENCYPART_ARC
(19,22),0.234537 # DEPENDENCYPART_ARC
(20,1),-1.99585 # DEPENDENCYPART_ARC
(20,2),-2.14619 # DEPENDENCYPART_ARC
(20,3),-1.98234 # DEPENDENCYPART_ARC
(20,4),-2.12388 # DEPENDENCYPART_ARC
(20,5),-2.67343 # DEPENDENCYPART_ARC
(20,6),-2.16491 # DEPENDENCYPART_ARC
(20,7),-2.20387 # DEPENDENCYPART_ARC
(20,8),-1.75663 # DEPENDENCYPART_ARC
(20,9),-2.053 # DEPENDENCYPART_ARC
(20,10),-2.30065 # DEPENDENCYPART_ARC
(20,11),-2.15204 # DEPENDENCYPART_ARC
(20,12),-2.19134 # DEPENDENCYPART_ARC
(20,13),-1.78595 # DEPENDENCYPART_ARC
(20,14),-2.13516 # DEPENDENCYPART_ARC
(20,15),-1.89729 # DEPENDENCYPART_ARC
(20,16),-1.58357 # DEPENDENCYPART_ARC
(20,17),-1.77706 # DEPENDENCYPART_ARC
(20,18),-0.623667 # DEPENDENCYPART_ARC
(20,19),-0.323544 # DEPENDENCYPART_ARC
(20,21),3.5725 # DEPENDENCYPART_ARC
(20,22),0.0479307 # DEPENDENCYPART_ARC
(21,1),-1.29411 # DEPENDENCYPART_ARC
(21,2),-1.93426 # DEPENDENCYPART_ARC
(21,3),-2.49249 # DEPENDENCYPART_ARC
(21,4),-1.08727 # DEPENDENCYPART_ARC
(21,5),-2.419 # DEPENDENCYPART_ARC
(21,6),-2.39164 # DEPENDENCYPART_ARC
(21,7),-3.32827 # DEPENDENCYPART_ARC
(21,8),-1.59627 # DEPENDENCYPART_ARC
(21,9),-1.27788 # DEPENDENCYPART_ARC
(21,10),-1.43276 # DEPENDENCYPART_ARC
(21,11),-1.59465 # DEPENDENCYPART_ARC
(21,12),-2.84388 # DEPENDENCYPART_ARC
(21,13),-1.45418 # DEPENDENCYPART_ARC
(21,14),-1.2171 # DEPENDENCYPART_ARC
(21,15),-1.1149 # DEPENDENCYPART_ARC
(21,16),0.759907 # DEPENDENCYPART_ARC
(21,17),-0.589756 # DEPENDENCYPART_ARC
(21,18),-0.435299 # DEPENDENCYPART_ARC
(21,19),-0.171768 # DEPENDENCYPART_ARC
(21,20),0.043768 # DEPENDENCYPART_ARC
(21,22),2.13532 # DEPENDENCYPART_ARC
(22,1),-2.81485 # DEPENDENCYPART_ARC
(22,2),-2.6051 # DEPENDENCYPART_ARC
(22,3),-2.33834 # DEPENDENCYPART_ARC
(22,4),-2.61157 # DEPENDENCYPART_ARC
(22,5),-3.12933 # DEPENDENCYPART_ARC
(22,6),-2.66552 # DEPENDENCYPART_ARC
(22,7),-2.52107 # DEPENDENCYPART_ARC
(22,8),-2.6465 # DEPENDENCYPART_ARC
(22,9),-2.19292 # DEPENDENCYPART_ARC
(22,10),-2.6389 # DEPENDENCYPART_ARC
(22,11),-2.8096 # DEPENDENCYPART_ARC
(22,12),-2.37708 # DEPENDENCYPART_ARC
(22,13),-2.2328 # DEPENDENCYPART_ARC
(22,14),-2.58242 # DEPENDENCYPART_ARC
(22,15),-2.52445 # DEPENDENCYPART_ARC
(22,16),-2.21246 # DEPENDENCYPART_ARC
(22,17),-2.82427 # DEPENDENCYPART_ARC
(22,18),-1.73839 # DEPENDENCYPART_ARC
(22,19),-1.94818 # DEPENDENCYPART_ARC
(22,20),-1.25206 # DEPENDENCYPART_ARC
(22,21),-0.834025 # DEPENDENCYPART_ARC
