# _root_ Ma solo la fedelissima Hrt , la tv di Stato , è riuscita ieri a filmare a lungo la vuota " felicità " di Petrinja e di Knin .
#goldHeads=13,5,5,5,13,5,8,5,8,9,10,13,0,13,13,15,16,17,22,22,22,16,22,22,24,25,22,27,28,
#predictedHeads=2,5,5,5,13,5,8,13,8,9,10,13,0,13,13,15,16,17,22,22,22,17,22,22,24,24,24,27,28,
(1,15),-2.16226 # DEPENDENCYPART_ARC
(1,16),-2.68053 # DEPENDENCYPART_ARC
(1,17),-2.34545 # DEPENDENCYPART_ARC
(1,18),-2.24067 # DEPENDENCYPART_ARC
(1,19),-2.40026 # DEPENDENCYPART_ARC
(1,20),-2.38702 # DEPENDENCYPART_ARC
(1,21),-2.91574 # DEPENDENCYPART_ARC
(1,22),-2.59914 # DEPENDENCYPART_ARC
(1,23),-3.49298 # DEPENDENCYPART_ARC
(1,24),-2.76887 # DEPENDENCYPART_ARC
(1,25),-2.78834 # DEPENDENCYPART_ARC
(1,26),-2.65347 # DEPENDENCYPART_ARC
(1,27),-2.99074 # DEPENDENCYPART_ARC
(1,28),-2.69176 # DEPENDENCYPART_ARC
(1,29),-3.71505 # DEPENDENCYPART_ARC
(2,1),0.433154 # DEPENDENCYPART_ARC
(2,3),0.501819 # DEPENDENCYPART_ARC
(2,4),0.123502 # DEPENDENCYPART_ARC
(2,5),-0.199275 # DEPENDENCYPART_ARC
(2,6),0.150044 # DEPENDENCYPART_ARC
(2,7),-0.534201 # DEPENDENCYPART_ARC
(2,8),-1.10308 # DEPENDENCYPART_ARC
(2,9),-0.806503 # DEPENDENCYPART_ARC
(2,10),-1.04672 # DEPENDENCYPART_ARC
(2,11),-0.424762 # DEPENDENCYPART_ARC
(2,12),-0.842793 # DEPENDENCYPART_ARC
(2,13),-0.962078 # DEPENDENCYPART_ARC
(2,14),-1.28681 # DEPENDENCYPART_ARC
(2,15),-1.58084 # DEPENDENCYPART_ARC
(2,16),-1.26728 # DEPENDENCYPART_ARC
(2,17),-1.73969 # DEPENDENCYPART_ARC
(2,18),-1.4975 # DEPENDENCYPART_ARC
(2,19),-1.24861 # DEPENDENCYPART_ARC
(2,20),-1.60465 # DEPENDENCYPART_ARC
(2,21),-2.45001 # DEPENDENCYPART_ARC
(2,22),-2.0041 # DEPENDENCYPART_ARC
(2,23),-2.68605 # DEPENDENCYPART_ARC
(2,24),-2.00658 # DEPENDENCYPART_ARC
(2,25),-2.09679 # DEPENDENCYPART_ARC
(2,26),-1.46781 # DEPENDENCYPART_ARC
(2,27),-2.11925 # DEPENDENCYPART_ARC
(2,28),-2.17805 # DEPENDENCYPART_ARC
(2,29),-2.85499 # DEPENDENCYPART_ARC
(3,1),-0.697297 # DEPENDENCYPART_ARC
(3,2),0.225046 # DEPENDENCYPART_ARC
(3,4),0.119042 # DEPENDENCYPART_ARC
(3,5),0.392866 # DEPENDENCYPART_ARC
(3,6),-0.102283 # DEPENDENCYPART_ARC
(3,7),-0.960626 # DEPENDENCYPART_ARC
(3,8),-0.462575 # DEPENDENCYPART_ARC
(3,9),-0.470499 # DEPENDENCYPART_ARC
(3,10),-0.959219 # DEPENDENCYPART_ARC
(3,11),-0.394714 # DEPENDENCYPART_ARC
(3,12),-0.345948 # DEPENDENCYPART_ARC
(3,13),-0.399935 # DEPENDENCYPART_ARC
(3,14),-1.32489 # DEPENDENCYPART_ARC
(3,15),-1.22259 # DEPENDENCYPART_ARC
(3,16),-1.11472 # DEPENDENCYPART_ARC
(3,17),-1.30225 # DEPENDENCYPART_ARC
(3,18),-2.66593 # DEPENDENCYPART_ARC
(3,19),-1.65771 # DEPENDENCYPART_ARC
(3,20),-2.00496 # DEPENDENCYPART_ARC
(3,21),-1.20657 # DEPENDENCYPART_ARC
(3,22),-0.666559 # DEPENDENCYPART_ARC
(3,23),-1.39889 # DEPENDENCYPART_ARC
(3,24),-1.77626 # DEPENDENCYPART_ARC
(3,25),-1.16539 # DEPENDENCYPART_ARC
(3,26),-1.36786 # DEPENDENCYPART_ARC
(3,27),-1.90456 # DEPENDENCYPART_ARC
(3,28),-1.24117 # DEPENDENCYPART_ARC
(3,29),-1.61152 # DEPENDENCYPART_ARC
(4,1),-0.731071 # DEPENDENCYPART_ARC
(4,2),-0.247647 # DEPENDENCYPART_ARC
(4,3),1.0137 # DEPENDENCYPART_ARC
(4,5),1.13903 # DEPENDENCYPART_ARC
(4,6),0.0132821 # DEPENDENCYPART_ARC
(4,7),-0.501946 # DEPENDENCYPART_ARC
(4,8),-0.980992 # DEPENDENCYPART_ARC
(4,9),-0.199814 # DEPENDENCYPART_ARC
(4,10),-0.891576 # DEPENDENCYPART_ARC
(4,11),-0.483884 # DEPENDENCYPART_ARC
(4,12),-2.12933 # DEPENDENCYPART_ARC
(4,13),-1.08393 # DEPENDENCYPART_ARC
(4,14),-1.25433 # DEPENDENCYPART_ARC
(4,15),-1.09533 # DEPENDENCYPART_ARC
(4,16),-2.44158 # DEPENDENCYPART_ARC
(4,17),-1.25959 # DEPENDENCYPART_ARC
(4,18),-1.8485 # DEPENDENCYPART_ARC
(4,19),-1.46257 # DEPENDENCYPART_ARC
(4,20),-1.31439 # DEPENDENCYPART_ARC
(4,21),-2.0717 # DEPENDENCYPART_ARC
(4,22),-1.49239 # DEPENDENCYPART_ARC
(4,23),-2.57241 # DEPENDENCYPART_ARC
(4,24),-1.91987 # DEPENDENCYPART_ARC
(4,25),-1.51007 # DEPENDENCYPART_ARC
(4,26),-1.22193 # DEPENDENCYPART_ARC
(4,27),-2.04843 # DEPENDENCYPART_ARC
(4,28),-1.73173 # DEPENDENCYPART_ARC
(4,29),-2.83438 # DEPENDENCYPART_ARC
(5,1),-0.558595 # DEPENDENCYPART_ARC
(5,2),1.11126 # DEPENDENCYPART_ARC
(5,3),2.908 # DEPENDENCYPART_ARC
(5,4),3.74426 # DEPENDENCYPART_ARC
(5,6),2.18106 # DEPENDENCYPART_ARC
(5,7),0.556232 # DEPENDENCYPART_ARC
(5,8),0.971192 # DEPENDENCYPART_ARC
(5,9),1.119 # DEPENDENCYPART_ARC
(5,10),0.992863 # DEPENDENCYPART_ARC
(5,11),1.2165 # DEPENDENCYPART_ARC
(5,12),0.24332 # DEPENDENCYPART_ARC
(5,13),0.0590084 # DEPENDENCYPART_ARC
(5,14),-0.914294 # DEPENDENCYPART_ARC
(5,15),-0.957434 # DEPENDENCYPART_ARC
(5,16),-1.06341 # DEPENDENCYPART_ARC
(5,17),-0.972591 # DEPENDENCYPART_ARC
(5,18),-1.7119 # DEPENDENCYPART_ARC
(5,19),-0.322327 # DEPENDENCYPART_ARC
(5,20),-1.79743 # DEPENDENCYPART_ARC
(5,21),-2.33381 # DEPENDENCYPART_ARC
(5,22),-1.21995 # DEPENDENCYPART_ARC
(5,23),-2.76739 # DEPENDENCYPART_ARC
(5,24),-1.6672 # DEPENDENCYPART_ARC
(5,25),-1.19935 # DEPENDENCYPART_ARC
(5,26),-1.08309 # DEPENDENCYPART_ARC
(5,27),-2.62676 # DEPENDENCYPART_ARC
(5,28),-1.13962 # DEPENDENCYPART_ARC
(5,29),-3.67381 # DEPENDENCYPART_ARC
(6,1),-1.69287 # DEPENDENCYPART_ARC
(6,2),-1.61649 # DEPENDENCYPART_ARC
(6,3),-0.963033 # DEPENDENCYPART_ARC
(6,4),-1.15041 # DEPENDENCYPART_ARC
(6,5),-0.528222 # DEPENDENCYPART_ARC
(6,7),-0.67966 # DEPENDENCYPART_ARC
(6,8),-1.26183 # DEPENDENCYPART_ARC
(6,9),-1.72153 # DEPENDENCYPART_ARC
(6,10),-1.81855 # DEPENDENCYPART_ARC
(6,11),-0.693331 # DEPENDENCYPART_ARC
(6,12),-1.74829 # DEPENDENCYPART_ARC
(6,13),-1.94954 # DEPENDENCYPART_ARC
(6,14),-2.45233 # DEPENDENCYPART_ARC
(6,15),-2.40259 # DEPENDENCYPART_ARC
(6,16),-2.0882 # DEPENDENCYPART_ARC
(6,17),-2.53465 # DEPENDENCYPART_ARC
(6,18),-2.66767 # DEPENDENCYPART_ARC
(6,19),-2.44179 # DEPENDENCYPART_ARC
(6,20),-2.67222 # DEPENDENCYPART_ARC
(6,21),-2.43835 # DEPENDENCYPART_ARC
(6,22),-2.63834 # DEPENDENCYPART_ARC
(6,23),-2.3932 # DEPENDENCYPART_ARC
(6,24),-2.76279 # DEPENDENCYPART_ARC
(6,25),-2.78363 # DEPENDENCYPART_ARC
(6,26),-2.44098 # DEPENDENCYPART_ARC
(6,27),-2.90488 # DEPENDENCYPART_ARC
(6,28),-2.84697 # DEPENDENCYPART_ARC
(6,29),-2.17305 # DEPENDENCYPART_ARC
(7,1),-2.09228 # DEPENDENCYPART_ARC
(7,2),-2.02576 # DEPENDENCYPART_ARC
(7,3),-1.44885 # DEPENDENCYPART_ARC
(7,4),-1.3969 # DEPENDENCYPART_ARC
(7,5),-1.83606 # DEPENDENCYPART_ARC
(7,6),0.247793 # DEPENDENCYPART_ARC
(7,8),1.1139 # DEPENDENCYPART_ARC
(7,9),0.00239072 # DEPENDENCYPART_ARC
(7,10),-0.518039 # DEPENDENCYPART_ARC
(7,11),-0.378685 # DEPENDENCYPART_ARC
(7,12),-0.263379 # DEPENDENCYPART_ARC
(7,13),-0.362687 # DEPENDENCYPART_ARC
(7,14),-1.3021 # DEPENDENCYPART_ARC
(7,15),-1.0297 # DEPENDENCYPART_ARC
(7,16),-0.999941 # DEPENDENCYPART_ARC
(7,17),-1.14419 # DEPENDENCYPART_ARC
(7,18),-2.56087 # DEPENDENCYPART_ARC
(7,19),-1.68282 # DEPENDENCYPART_ARC
(7,20),-1.96756 # DEPENDENCYPART_ARC
(7,21),-1.05255 # DEPENDENCYPART_ARC
(7,22),-0.523227 # DEPENDENCYPART_ARC
(7,23),-1.23358 # DEPENDENCYPART_ARC
(7,24),-1.56537 # DEPENDENCYPART_ARC
(7,25),-1.00238 # DEPENDENCYPART_ARC
(7,26),-1.27938 # DEPENDENCYPART_ARC
(7,27),-1.61479 # DEPENDENCYPART_ARC
(7,28),-1.1448 # DEPENDENCYPART_ARC
(7,29),-1.59716 # DEPENDENCYPART_ARC
(8,1),-1.31453 # DEPENDENCYPART_ARC
(8,2),0.0201411 # DEPENDENCYPART_ARC
(8,3),0.545293 # DEPENDENCYPART_ARC
(8,4),1.49589 # DEPENDENCYPART_ARC
(8,5),-1.2919 # DEPENDENCYPART_ARC
(8,6),-0.984675 # DEPENDENCYPART_ARC
(8,7),3.45997 # DEPENDENCYPART_ARC
(8,9),2.88866 # DEPENDENCYPART_ARC
(8,10),1.3644 # DEPENDENCYPART_ARC
(8,11),0.683855 # DEPENDENCYPART_ARC
(8,12),0.725105 # DEPENDENCYPART_ARC
(8,13),0.58298 # DEPENDENCYPART_ARC
(8,14),-0.511169 # DEPENDENCYPART_ARC
(8,15),-0.667852 # DEPENDENCYPART_ARC
(8,16),-0.757131 # DEPENDENCYPART_ARC
(8,17),-0.38602 # DEPENDENCYPART_ARC
(8,18),-1.735 # DEPENDENCYPART_ARC
(8,19),-0.478974 # DEPENDENCYPART_ARC
(8,20),-0.677706 # DEPENDENCYPART_ARC
(8,21),-2.01929 # DEPENDENCYPART_ARC
(8,22),-0.794446 # DEPENDENCYPART_ARC
(8,23),-2.74838 # DEPENDENCYPART_ARC
(8,24),-1.4387 # DEPENDENCYPART_ARC
(8,25),-1.12946 # DEPENDENCYPART_ARC
(8,26),-0.653819 # DEPENDENCYPART_ARC
(8,27),-2.30946 # DEPENDENCYPART_ARC
(8,28),-1.22598 # DEPENDENCYPART_ARC
(8,29),-3.60741 # DEPENDENCYPART_ARC
(9,1),-1.17043 # DEPENDENCYPART_ARC
(9,2),-1.01911 # DEPENDENCYPART_ARC
(9,3),-1.613 # DEPENDENCYPART_ARC
(9,4),-1.87312 # DEPENDENCYPART_ARC
(9,5),-1.60566 # DEPENDENCYPART_ARC
(9,6),-1.34519 # DEPENDENCYPART_ARC
(9,7),-0.495748 # DEPENDENCYPART_ARC
(9,8),-0.328284 # DEPENDENCYPART_ARC
(9,10),4.31518 # DEPENDENCYPART_ARC
(9,11),0.12564 # DEPENDENCYPART_ARC
(9,12),-0.2891 # DEPENDENCYPART_ARC
(9,13),-0.607145 # DEPENDENCYPART_ARC
(9,14),-0.937816 # DEPENDENCYPART_ARC
(9,15),-1.18097 # DEPENDENCYPART_ARC
(9,16),-1.0533 # DEPENDENCYPART_ARC
(9,17),-1.55339 # DEPENDENCYPART_ARC
(9,18),-1.15467 # DEPENDENCYPART_ARC
(9,19),-1.66861 # DEPENDENCYPART_ARC
(9,20),-1.5621 # DEPENDENCYPART_ARC
(9,21),-1.9428 # DEPENDENCYPART_ARC
(9,22),-3.08418 # DEPENDENCYPART_ARC
(9,23),-1.65776 # DEPENDENCYPART_ARC
(9,24),-1.5393 # DEPENDENCYPART_ARC
(9,25),-3.92495 # DEPENDENCYPART_ARC
(9,26),-0.666886 # DEPENDENCYPART_ARC
(9,27),-0.515385 # DEPENDENCYPART_ARC
(9,28),-4.82331 # DEPENDENCYPART_ARC
(9,29),-2.12209 # DEPENDENCYPART_ARC
(10,1),-1.95622 # DEPENDENCYPART_ARC
(10,2),-1.07156 # DEPENDENCYPART_ARC
(10,3),-1.58403 # DEPENDENCYPART_ARC
(10,4),-0.631241 # DEPENDENCYPART_ARC
(10,5),-2.65147 # DEPENDENCYPART_ARC
(10,6),-2.69885 # DEPENDENCYPART_ARC
(10,7),-0.231804 # DEPENDENCYPART_ARC
(10,8),-2.05798 # DEPENDENCYPART_ARC
(10,9),0.546596 # DEPENDENCYPART_ARC
(10,11),1.97221 # DEPENDENCYPART_ARC
(10,12),-0.527438 # DEPENDENCYPART_ARC
(10,13),-1.08385 # DEPENDENCYPART_ARC
(10,14),-1.07784 # DEPENDENCYPART_ARC
(10,15),-1.56223 # DEPENDENCYPART_ARC
(10,16),-1.88694 # DEPENDENCYPART_ARC
(10,17),-1.3199 # DEPENDENCYPART_ARC
(10,18),-1.40113 # DEPENDENCYPART_ARC
(10,19),-1.67239 # DEPENDENCYPART_ARC
(10,20),-2.04358 # DEPENDENCYPART_ARC
(10,21),-2.31843 # DEPENDENCYPART_ARC
(10,22),-1.79478 # DEPENDENCYPART_ARC
(10,23),-2.46138 # DEPENDENCYPART_ARC
(10,24),-1.95184 # DEPENDENCYPART_ARC
(10,25),-1.73972 # DEPENDENCYPART_ARC
(10,26),-1.10024 # DEPENDENCYPART_ARC
(10,27),-2.62637 # DEPENDENCYPART_ARC
(10,28),-1.51612 # DEPENDENCYPART_ARC
(10,29),-3.39382 # DEPENDENCYPART_ARC
(11,1),-2.14156 # DEPENDENCYPART_ARC
(11,2),-2.31106 # DEPENDENCYPART_ARC
(11,3),-1.99981 # DEPENDENCYPART_ARC
(11,4),-2.39329 # DEPENDENCYPART_ARC
(11,5),-2.49073 # DEPENDENCYPART_ARC
(11,6),-1.99353 # DEPENDENCYPART_ARC
(11,7),-1.63058 # DEPENDENCYPART_ARC
(11,8),-1.86746 # DEPENDENCYPART_ARC
(11,9),-1.10387 # DEPENDENCYPART_ARC
(11,10),-0.823223 # DEPENDENCYPART_ARC
(11,12),-1.31892 # DEPENDENCYPART_ARC
(11,13),-2.23944 # DEPENDENCYPART_ARC
(11,14),-2.86767 # DEPENDENCYPART_ARC
(11,15),-2.93317 # DEPENDENCYPART_ARC
(11,16),-2.76493 # DEPENDENCYPART_ARC
(11,17),-3.16388 # DEPENDENCYPART_ARC
(11,18),-3.34007 # DEPENDENCYPART_ARC
(11,19),-3.12184 # DEPENDENCYPART_ARC
(11,20),-3.44705 # DEPENDENCYPART_ARC
(11,21),-2.89791 # DEPENDENCYPART_ARC
(11,22),-3.37211 # DEPENDENCYPART_ARC
(11,23),-2.99455 # DEPENDENCYPART_ARC
(11,24),-3.51215 # DEPENDENCYPART_ARC
(11,25),-3.3388 # DEPENDENCYPART_ARC
(11,26),-3.18683 # DEPENDENCYPART_ARC
(11,27),-3.45311 # DEPENDENCYPART_ARC
(11,28),-3.44923 # DEPENDENCYPART_ARC
(11,29),-2.64858 # DEPENDENCYPART_ARC
(12,1),-0.927594 # DEPENDENCYPART_ARC
(12,2),-1.28058 # DEPENDENCYPART_ARC
(12,3),-1.89581 # DEPENDENCYPART_ARC
(12,4),-1.31785 # DEPENDENCYPART_ARC
(12,5),-0.737361 # DEPENDENCYPART_ARC
(12,6),-2.60519 # DEPENDENCYPART_ARC
(12,7),-1.55421 # DEPENDENCYPART_ARC
(12,8),0.431235 # DEPENDENCYPART_ARC
(12,9),-1.08391 # DEPENDENCYPART_ARC
(12,10),-0.281539 # DEPENDENCYPART_ARC
(12,11),-0.194126 # DEPENDENCYPART_ARC
(12,13),1.15712 # DEPENDENCYPART_ARC
(12,14),0.0981423 # DEPENDENCYPART_ARC
(12,15),0.779381 # DEPENDENCYPART_ARC
(12,16),0.147766 # DEPENDENCYPART_ARC
(12,17),0.614734 # DEPENDENCYPART_ARC
(12,18),-0.685312 # DEPENDENCYPART_ARC
(12,19),-2.71284 # DEPENDENCYPART_ARC
(12,20),-0.753853 # DEPENDENCYPART_ARC
(12,21),-1.79223 # DEPENDENCYPART_ARC
(12,22),-1.26904 # DEPENDENCYPART_ARC
(12,23),-2.0154 # DEPENDENCYPART_ARC
(12,24),-1.29865 # DEPENDENCYPART_ARC
(12,25),-2.18952 # DEPENDENCYPART_ARC
(12,26),0.0261715 # DEPENDENCYPART_ARC
(12,27),-1.81482 # DEPENDENCYPART_ARC
(12,28),-2.89332 # DEPENDENCYPART_ARC
(12,29),-2.20873 # DEPENDENCYPART_ARC
(13,1),-0.355167 # DEPENDENCYPART_ARC
(13,2),-0.225814 # DEPENDENCYPART_ARC
(13,3),-0.94962 # DEPENDENCYPART_ARC
(13,4),-0.0269171 # DEPENDENCYPART_ARC
(13,5),-0.0862043 # DEPENDENCYPART_ARC
(13,6),-1.79641 # DEPENDENCYPART_ARC
(13,7),-0.768461 # DEPENDENCYPART_ARC
(13,8),1.33746 # DEPENDENCYPART_ARC
(13,9),-0.408633 # DEPENDENCYPART_ARC
(13,10),0.141096 # DEPENDENCYPART_ARC
(13,11),-0.663731 # DEPENDENCYPART_ARC
(13,12),4.59656 # DEPENDENCYPART_ARC
(13,14),2.00779 # DEPENDENCYPART_ARC
(13,15),2.63084 # DEPENDENCYPART_ARC
(13,16),0.934484 # DEPENDENCYPART_ARC
(13,17),1.23127 # DEPENDENCYPART_ARC
(13,18),-0.229181 # DEPENDENCYPART_ARC
(13,19),-1.55525 # DEPENDENCYPART_ARC
(13,20),-0.00258572 # DEPENDENCYPART_ARC
(13,21),-0.582112 # DEPENDENCYPART_ARC
(13,22),-0.125726 # DEPENDENCYPART_ARC
(13,23),-1.09806 # DEPENDENCYPART_ARC
(13,24),-0.385533 # DEPENDENCYPART_ARC
(13,25),-1.19197 # DEPENDENCYPART_ARC
(13,26),0.931654 # DEPENDENCYPART_ARC
(13,27),-1.04059 # DEPENDENCYPART_ARC
(13,28),-1.77522 # DEPENDENCYPART_ARC
(13,29),-1.28902 # DEPENDENCYPART_ARC
(14,1),-1.31029 # DEPENDENCYPART_ARC
(14,2),-1.44039 # DEPENDENCYPART_ARC
(14,3),-1.52645 # DEPENDENCYPART_ARC
(14,4),-1.92541 # DEPENDENCYPART_ARC
(14,5),-2.35237 # DEPENDENCYPART_ARC
(14,6),-1.91849 # DEPENDENCYPART_ARC
(14,7),-1.29709 # DEPENDENCYPART_ARC
(14,8),-2.17675 # DEPENDENCYPART_ARC
(14,9),-1.02307 # DEPENDENCYPART_ARC
(14,10),-1.86446 # DEPENDENCYPART_ARC
(14,11),-1.22318 # DEPENDENCYPART_ARC
(14,12),-1.19847 # DEPENDENCYPART_ARC
(14,13),-0.359841 # DEPENDENCYPART_ARC
(14,15),0.474766 # DEPENDENCYPART_ARC
(14,16),0.234186 # DEPENDENCYPART_ARC
(14,17),-0.453275 # DEPENDENCYPART_ARC
(14,18),-0.536382 # DEPENDENCYPART_ARC
(14,19),-0.561251 # DEPENDENCYPART_ARC
(14,20),-0.994843 # DEPENDENCYPART_ARC
(14,21),-0.885891 # DEPENDENCYPART_ARC
(14,22),-0.666262 # DEPENDENCYPART_ARC
(14,23),-0.988638 # DEPENDENCYPART_ARC
(14,24),-1.07697 # DEPENDENCYPART_ARC
(14,25),-0.810122 # DEPENDENCYPART_ARC
(14,26),-0.626503 # DEPENDENCYPART_ARC
(14,27),-1.34953 # DEPENDENCYPART_ARC
(14,28),-0.81069 # DEPENDENCYPART_ARC
(14,29),-1.47997 # DEPENDENCYPART_ARC
(15,1),-1.60565 # DEPENDENCYPART_ARC
(15,2),-1.26047 # DEPENDENCYPART_ARC
(15,3),-1.8171 # DEPENDENCYPART_ARC
(15,4),-2.26171 # DEPENDENCYPART_ARC
(15,5),-2.08048 # DEPENDENCYPART_ARC
(15,6),-1.93643 # DEPENDENCYPART_ARC
(15,7),-1.71445 # DEPENDENCYPART_ARC
(15,8),-1.94343 # DEPENDENCYPART_ARC
(15,9),-1.3053 # DEPENDENCYPART_ARC
(15,10),-1.70621 # DEPENDENCYPART_ARC
(15,11),-1.57955 # DEPENDENCYPART_ARC
(15,12),-1.70964 # DEPENDENCYPART_ARC
(15,13),-1.02237 # DEPENDENCYPART_ARC
(15,14),0.386431 # DEPENDENCYPART_ARC
(15,16),3.08616 # DEPENDENCYPART_ARC
(15,17),0.838946 # DEPENDENCYPART_ARC
(15,18),0.454122 # DEPENDENCYPART_ARC
(15,19),-0.582538 # DEPENDENCYPART_ARC
(15,20),-0.0720109 # DEPENDENCYPART_ARC
(15,21),-0.496357 # DEPENDENCYPART_ARC
(15,22),-0.549087 # DEPENDENCYPART_ARC
(15,23),-0.538087 # DEPENDENCYPART_ARC
(15,24),-1.01316 # DEPENDENCYPART_ARC
(15,25),-1.84488 # DEPENDENCYPART_ARC
(15,26),0.300868 # DEPENDENCYPART_ARC
(15,27),-0.907505 # DEPENDENCYPART_ARC
(15,28),-3.39549 # DEPENDENCYPART_ARC
(15,29),-1.18529 # DEPENDENCYPART_ARC
(16,1),-1.58816 # DEPENDENCYPART_ARC
(16,2),-2.16082 # DEPENDENCYPART_ARC
(16,3),-1.77317 # DEPENDENCYPART_ARC
(16,4),-1.75637 # DEPENDENCYPART_ARC
(16,5),-1.50021 # DEPENDENCYPART_ARC
(16,6),-3.44769 # DEPENDENCYPART_ARC
(16,7),-1.65009 # DEPENDENCYPART_ARC
(16,8),-1.07533 # DEPENDENCYPART_ARC
(16,9),-2.12251 # DEPENDENCYPART_ARC
(16,10),-1.45677 # DEPENDENCYPART_ARC
(16,11),-3.08901 # DEPENDENCYPART_ARC
(16,12),-1.37629 # DEPENDENCYPART_ARC
(16,13),-0.907518 # DEPENDENCYPART_ARC
(16,14),-0.06319 # DEPENDENCYPART_ARC
(16,15),0.786103 # DEPENDENCYPART_ARC
(16,17),2.72371 # DEPENDENCYPART_ARC
(16,18),1.40597 # DEPENDENCYPART_ARC
(16,19),-0.128646 # DEPENDENCYPART_ARC
(16,20),0.424079 # DEPENDENCYPART_ARC
(16,21),-0.827736 # DEPENDENCYPART_ARC
(16,22),0.472202 # DEPENDENCYPART_ARC
(16,23),-0.949789 # DEPENDENCYPART_ARC
(16,24),0.0104989 # DEPENDENCYPART_ARC
(16,25),-0.508242 # DEPENDENCYPART_ARC
(16,26),0.668562 # DEPENDENCYPART_ARC
(16,27),-0.582552 # DEPENDENCYPART_ARC
(16,28),-1.0217 # DEPENDENCYPART_ARC
(16,29),-1.3641 # DEPENDENCYPART_ARC
(17,1),-1.65049 # DEPENDENCYPART_ARC
(17,2),-1.45599 # DEPENDENCYPART_ARC
(17,3),-1.91509 # DEPENDENCYPART_ARC
(17,4),-2.12931 # DEPENDENCYPART_ARC
(17,5),-2.1139 # DEPENDENCYPART_ARC
(17,6),-1.99608 # DEPENDENCYPART_ARC
(17,7),-1.731 # DEPENDENCYPART_ARC
(17,8),-2.02595 # DEPENDENCYPART_ARC
(17,9),-1.49073 # DEPENDENCYPART_ARC
(17,10),-1.84694 # DEPENDENCYPART_ARC
(17,11),-1.72354 # DEPENDENCYPART_ARC
(17,12),-2.06093 # DEPENDENCYPART_ARC
(17,13),-1.96284 # DEPENDENCYPART_ARC
(17,14),-0.580625 # DEPENDENCYPART_ARC
(17,15),-0.420692 # DEPENDENCYPART_ARC
(17,16),-0.0498712 # DEPENDENCYPART_ARC
(17,18),2.80281 # DEPENDENCYPART_ARC
(17,19),0.18637 # DEPENDENCYPART_ARC
(17,20),0.695861 # DEPENDENCYPART_ARC
(17,21),-0.420229 # DEPENDENCYPART_ARC
(17,22),1.21621 # DEPENDENCYPART_ARC
(17,23),-0.11576 # DEPENDENCYPART_ARC
(17,24),-0.663293 # DEPENDENCYPART_ARC
(17,25),-0.346474 # DEPENDENCYPART_ARC
(17,26),0.562112 # DEPENDENCYPART_ARC
(17,27),-0.419178 # DEPENDENCYPART_ARC
(17,28),-1.66541 # DEPENDENCYPART_ARC
(17,29),-0.981001 # DEPENDENCYPART_ARC
(18,1),-2.47883 # DEPENDENCYPART_ARC
