# _root_ Il biglietto , infatti , potrebbe essere stato venduto anche in un paese della provincia .
#goldHeads=2,9,2,9,4,9,8,9,0,11,9,13,11,13,14,15,
#predictedHeads=2,9,2,9,4,8,8,9,0,11,9,13,11,13,14,15,
(4,15),-1.28486 # DEPENDENCYPART_ARC
(4,16),-0.637318 # DEPENDENCYPART_ARC
(5,1),-1.50879 # DEPENDENCYPART_ARC
(5,2),-1.81817 # DEPENDENCYPART_ARC
(5,3),-1.12455 # DEPENDENCYPART_ARC
(5,4),-0.442456 # DEPENDENCYPART_ARC
(5,6),-0.73014 # DEPENDENCYPART_ARC
(5,7),-1.65747 # DEPENDENCYPART_ARC
(5,8),-1.90841 # DEPENDENCYPART_ARC
(5,9),-2.15866 # DEPENDENCYPART_ARC
(5,10),-2.30729 # DEPENDENCYPART_ARC
(5,11),-2.55859 # DEPENDENCYPART_ARC
(5,12),-2.45206 # DEPENDENCYPART_ARC
(5,13),-2.62484 # DEPENDENCYPART_ARC
(5,14),-2.70214 # DEPENDENCYPART_ARC
(5,15),-2.63999 # DEPENDENCYPART_ARC
(5,16),-1.66905 # DEPENDENCYPART_ARC
(6,1),-2.36466 # DEPENDENCYPART_ARC
(6,2),-1.78229 # DEPENDENCYPART_ARC
(6,3),-2.39451 # DEPENDENCYPART_ARC
(6,4),-0.170786 # DEPENDENCYPART_ARC
(6,5),-0.467891 # DEPENDENCYPART_ARC
(6,7),0.665596 # DEPENDENCYPART_ARC
(6,8),-1.59449 # DEPENDENCYPART_ARC
(6,9),-1.77862 # DEPENDENCYPART_ARC
(6,10),-1.69274 # DEPENDENCYPART_ARC
(6,11),-1.29779 # DEPENDENCYPART_ARC
(6,12),-3.49896 # DEPENDENCYPART_ARC
(6,13),-1.84545 # DEPENDENCYPART_ARC
(6,14),-2.47039 # DEPENDENCYPART_ARC
(6,15),-2.48414 # DEPENDENCYPART_ARC
(6,16),-2.14765 # DEPENDENCYPART_ARC
(7,1),-0.994956 # DEPENDENCYPART_ARC
(7,2),-0.65665 # DEPENDENCYPART_ARC
(7,3),-2.12027 # DEPENDENCYPART_ARC
(7,4),0.196191 # DEPENDENCYPART_ARC
(7,5),-1.03991 # DEPENDENCYPART_ARC
(7,6),2.69108 # DEPENDENCYPART_ARC
(7,8),1.14579 # DEPENDENCYPART_ARC
(7,9),0.176948 # DEPENDENCYPART_ARC
(7,10),-0.729201 # DEPENDENCYPART_ARC
(7,11),-0.284263 # DEPENDENCYPART_ARC
(7,12),-1.56087 # DEPENDENCYPART_ARC
(7,13),-0.699672 # DEPENDENCYPART_ARC
(7,14),-1.3029 # DEPENDENCYPART_ARC
(7,15),-1.59511 # DEPENDENCYPART_ARC
(7,16),-1.53349 # DEPENDENCYPART_ARC
(8,1),-0.391734 # DEPENDENCYPART_ARC
(8,2),-0.156757 # DEPENDENCYPART_ARC
(8,3),-1.4741 # DEPENDENCYPART_ARC
(8,4),0.538675 # DEPENDENCYPART_ARC
(8,5),-0.739151 # DEPENDENCYPART_ARC
(8,6),3.88855 # DEPENDENCYPART_ARC
(8,7),4.54004 # DEPENDENCYPART_ARC
(8,9),2.04195 # DEPENDENCYPART_ARC
(8,10),-0.123878 # DEPENDENCYPART_ARC
(8,11),0.203132 # DEPENDENCYPART_ARC
(8,12),-2.18701 # DEPENDENCYPART_ARC
(8,13),-0.076291 # DEPENDENCYPART_ARC
(8,14),-0.838219 # DEPENDENCYPART_ARC
(8,15),-1.21281 # DEPENDENCYPART_ARC
(8,16),-0.953835 # DEPENDENCYPART_ARC
(9,1),-0.203157 # DEPENDENCYPART_ARC
(9,2),0.552705 # DEPENDENCYPART_ARC
(9,3),-1.46841 # DEPENDENCYPART_ARC
(9,4),0.837463 # DEPENDENCYPART_ARC
(9,5),-1.13739 # DEPENDENCYPART_ARC
(9,6),3.17718 # DEPENDENCYPART_ARC
(9,7),3.142 # DEPENDENCYPART_ARC
(9,8),3.7954 # DEPENDENCYPART_ARC
(9,10),1.0942 # DEPENDENCYPART_ARC
(9,11),1.35179 # DEPENDENCYPART_ARC
(9,12),-1.55714 # DEPENDENCYPART_ARC
(9,13),0.81693 # DEPENDENCYPART_ARC
(9,14),0.217016 # DEPENDENCYPART_ARC
(9,15),-0.423811 # DEPENDENCYPART_ARC
(9,16),-0.605599 # DEPENDENCYPART_ARC
(10,1),-1.70799 # DEPENDENCYPART_ARC
(10,2),-2.2063 # DEPENDENCYPART_ARC
(10,3),-1.647 # DEPENDENCYPART_ARC
(10,4),-1.30487 # DEPENDENCYPART_ARC
(10,5),-1.58548 # DEPENDENCYPART_ARC
(10,6),-2.21304 # DEPENDENCYPART_ARC
(10,7),-1.79698 # DEPENDENCYPART_ARC
(10,8),-1.22589 # DEPENDENCYPART_ARC
(10,9),-0.347588 # DEPENDENCYPART_ARC
(10,11),-0.232743 # DEPENDENCYPART_ARC
(10,12),-0.836408 # DEPENDENCYPART_ARC
(10,13),-0.696076 # DEPENDENCYPART_ARC
(10,14),-1.19998 # DEPENDENCYPART_ARC
(10,15),-0.92672 # DEPENDENCYPART_ARC
(10,16),-0.704483 # DEPENDENCYPART_ARC
(11,1),-1.02328 # DEPENDENCYPART_ARC
(11,2),-1.23845 # DEPENDENCYPART_ARC
(11,3),-1.29396 # DEPENDENCYPART_ARC
(11,4),-0.551401 # DEPENDENCYPART_ARC
(11,5),-1.05973 # DEPENDENCYPART_ARC
(11,6),-1.38602 # DEPENDENCYPART_ARC
(11,7),-1.21092 # DEPENDENCYPART_ARC
(11,8),-0.885724 # DEPENDENCYPART_ARC
(11,9),-0.221463 # DEPENDENCYPART_ARC
(11,10),1.63613 # DEPENDENCYPART_ARC
(11,12),0.741099 # DEPENDENCYPART_ARC
(11,13),3.12578 # DEPENDENCYPART_ARC
(11,14),0.113821 # DEPENDENCYPART_ARC
(11,15),0.820891 # DEPENDENCYPART_ARC
(11,16),-0.41357 # DEPENDENCYPART_ARC
(12,1),-2.78133 # DEPENDENCYPART_ARC
(12,2),-3.42416 # DEPENDENCYPART_ARC
(12,3),-2.96329 # DEPENDENCYPART_ARC
(12,4),-3.0004 # DEPENDENCYPART_ARC
(12,5),-2.7398 # DEPENDENCYPART_ARC
(12,6),-3.82105 # DEPENDENCYPART_ARC
(12,7),-3.36423 # DEPENDENCYPART_ARC
(12,8),-3.81197 # DEPENDENCYPART_ARC
(12,9),-3.39698 # DEPENDENCYPART_ARC
(12,10),-2.14278 # DEPENDENCYPART_ARC
(12,11),-0.843673 # DEPENDENCYPART_ARC
(12,13),1.11394 # DEPENDENCYPART_ARC
(12,14),-0.0185484 # DEPENDENCYPART_ARC
(12,15),-0.362283 # DEPENDENCYPART_ARC
(12,16),-0.439876 # DEPENDENCYPART_ARC
(13,1),-1.68592 # DEPENDENCYPART_ARC
(13,2),-3.12751 # DEPENDENCYPART_ARC
(13,3),-2.77835 # DEPENDENCYPART_ARC
(13,4),-1.20132 # DEPENDENCYPART_ARC
(13,5),-2.664 # DEPENDENCYPART_ARC
(13,6),-1.7036 # DEPENDENCYPART_ARC
(13,7),-2.18157 # DEPENDENCYPART_ARC
(13,8),-1.11137 # DEPENDENCYPART_ARC
(13,9),-0.994837 # DEPENDENCYPART_ARC
(13,10),1.21022 # DEPENDENCYPART_ARC
(13,11),0.677475 # DEPENDENCYPART_ARC
(13,12),3.33793 # DEPENDENCYPART_ARC
(13,14),3.09315 # DEPENDENCYPART_ARC
(13,15),1.28244 # DEPENDENCYPART_ARC
(13,16),0.314399 # DEPENDENCYPART_ARC
(14,1),-2.05352 # DEPENDENCYPART_ARC
(14,2),-2.78241 # DEPENDENCYPART_ARC
(14,3),-2.37014 # DEPENDENCYPART_ARC
(14,4),-1.53633 # DEPENDENCYPART_ARC
(14,5),-2.08597 # DEPENDENCYPART_ARC
(14,6),-2.65603 # DEPENDENCYPART_ARC
(14,7),-2.48637 # DEPENDENCYPART_ARC
(14,8),-3.12353 # DEPENDENCYPART_ARC
(14,9),-2.97463 # DEPENDENCYPART_ARC
(14,10),-0.681199 # DEPENDENCYPART_ARC
(14,11),-0.741035 # DEPENDENCYPART_ARC
(14,12),-0.634164 # DEPENDENCYPART_ARC
(14,13),-0.867159 # DEPENDENCYPART_ARC
(14,15),4.86766 # DEPENDENCYPART_ARC
(14,16),0.0780679 # DEPENDENCYPART_ARC
(15,1),-3.73186 # DEPENDENCYPART_ARC
(15,2),-4.52232 # DEPENDENCYPART_ARC
(15,3),-3.56305 # DEPENDENCYPART_ARC
(15,4),-2.31653 # DEPENDENCYPART_ARC
(15,5),-3.51341 # DEPENDENCYPART_ARC
(15,6),-2.304 # DEPENDENCYPART_ARC
(15,7),-3.01756 # DEPENDENCYPART_ARC
(15,8),-2.2815 # DEPENDENCYPART_ARC
(15,9),-2.26741 # DEPENDENCYPART_ARC
(15,10),-0.37832 # DEPENDENCYPART_ARC
(15,11),-1.13465 # DEPENDENCYPART_ARC
(15,12),-0.162007 # DEPENDENCYPART_ARC
(15,13),-1.89538 # DEPENDENCYPART_ARC
(15,14),0.611388 # DEPENDENCYPART_ARC
(15,16),2.79026 # DEPENDENCYPART_ARC
(16,1),-2.31297 # DEPENDENCYPART_ARC
(16,2),-2.97953 # DEPENDENCYPART_ARC
(16,3),-2.39629 # DEPENDENCYPART_ARC
(16,4),-2.26712 # DEPENDENCYPART_ARC
(16,5),-2.51259 # DEPENDENCYPART_ARC
(16,6),-3.02488 # DEPENDENCYPART_ARC
(16,7),-2.92319 # DEPENDENCYPART_ARC
(16,8),-2.92607 # DEPENDENCYPART_ARC
(16,9),-2.76531 # DEPENDENCYPART_ARC
(16,10),-1.95901 # DEPENDENCYPART_ARC
(16,11),-1.71104 # DEPENDENCYPART_ARC
(16,12),-1.68606 # DEPENDENCYPART_ARC
(16,13),-1.85961 # DEPENDENCYPART_ARC
(16,14),-1.09975 # DEPENDENCYPART_ARC
(16,15),-0.818931 # DEPENDENCYPART_ARC
