# _root_ " Siamo piuttosto flessibili sulla questione del prezzo " , spiega Mark Brabes , il nuovo vicedirettore dell' equipe medica .
#goldHeads=2,11,2,2,4,5,6,7,8,9,0,13,11,13,17,17,13,17,18,19,20,
#predictedHeads=2,11,4,2,4,5,6,7,8,9,0,13,11,13,17,17,13,17,18,19,20,
(7,14),-0.244291 # DEPENDENCYPART_ARC
(7,15),-1.74952 # DEPENDENCYPART_ARC
(7,16),-1.74507 # DEPENDENCYPART_ARC
(7,17),-4.03683 # DEPENDENCYPART_ARC
(7,18),-1.5553 # DEPENDENCYPART_ARC
(7,19),-4.78861 # DEPENDENCYPART_ARC
(7,20),-2.30906 # DEPENDENCYPART_ARC
(7,21),-1.49524 # DEPENDENCYPART_ARC
(8,1),-2.04895 # DEPENDENCYPART_ARC
(8,2),-2.82808 # DEPENDENCYPART_ARC
(8,3),-1.04522 # DEPENDENCYPART_ARC
(8,4),-1.35279 # DEPENDENCYPART_ARC
(8,5),-0.623482 # DEPENDENCYPART_ARC
(8,6),-1.46607 # DEPENDENCYPART_ARC
(8,7),0.817588 # DEPENDENCYPART_ARC
(8,9),2.57403 # DEPENDENCYPART_ARC
(8,10),0.383926 # DEPENDENCYPART_ARC
(8,11),0.0832428 # DEPENDENCYPART_ARC
(8,12),-0.0305113 # DEPENDENCYPART_ARC
(8,13),0.483035 # DEPENDENCYPART_ARC
(8,14),1.08956 # DEPENDENCYPART_ARC
(8,15),-0.753096 # DEPENDENCYPART_ARC
(8,16),-0.314834 # DEPENDENCYPART_ARC
(8,17),-0.231352 # DEPENDENCYPART_ARC
(8,18),0.276111 # DEPENDENCYPART_ARC
(8,19),-0.567961 # DEPENDENCYPART_ARC
(8,20),-0.469316 # DEPENDENCYPART_ARC
(8,21),-2.27168 # DEPENDENCYPART_ARC
(9,1),-1.73088 # DEPENDENCYPART_ARC
(9,2),-2.19184 # DEPENDENCYPART_ARC
(9,3),-1.58417 # DEPENDENCYPART_ARC
(9,4),-1.70131 # DEPENDENCYPART_ARC
(9,5),-1.03685 # DEPENDENCYPART_ARC
(9,6),-1.29209 # DEPENDENCYPART_ARC
(9,7),-0.539748 # DEPENDENCYPART_ARC
(9,8),-0.279812 # DEPENDENCYPART_ARC
(9,10),2.37625 # DEPENDENCYPART_ARC
(9,11),-0.6906 # DEPENDENCYPART_ARC
(9,12),-1.23338 # DEPENDENCYPART_ARC
(9,13),-1.4206 # DEPENDENCYPART_ARC
(9,14),0.0731521 # DEPENDENCYPART_ARC
(9,15),-1.50713 # DEPENDENCYPART_ARC
(9,16),-1.79788 # DEPENDENCYPART_ARC
(9,17),-1.71919 # DEPENDENCYPART_ARC
(9,18),-1.81655 # DEPENDENCYPART_ARC
(9,19),-1.72461 # DEPENDENCYPART_ARC
(9,20),-1.92953 # DEPENDENCYPART_ARC
(9,21),-0.332839 # DEPENDENCYPART_ARC
(10,1),-1.74749 # DEPENDENCYPART_ARC
(10,2),-2.17033 # DEPENDENCYPART_ARC
(10,3),-1.50671 # DEPENDENCYPART_ARC
(10,4),-1.68359 # DEPENDENCYPART_ARC
(10,5),-1.01739 # DEPENDENCYPART_ARC
(10,6),-1.4663 # DEPENDENCYPART_ARC
(10,7),-0.563912 # DEPENDENCYPART_ARC
(10,8),-0.98466 # DEPENDENCYPART_ARC
(10,9),0.428782 # DEPENDENCYPART_ARC
(10,11),-0.458113 # DEPENDENCYPART_ARC
(10,12),-1.31093 # DEPENDENCYPART_ARC
(10,13),-1.74349 # DEPENDENCYPART_ARC
(10,14),-0.954664 # DEPENDENCYPART_ARC
(10,15),-2.03363 # DEPENDENCYPART_ARC
(10,16),-2.25775 # DEPENDENCYPART_ARC
(10,17),-2.18026 # DEPENDENCYPART_ARC
(10,18),-2.23639 # DEPENDENCYPART_ARC
(10,19),-2.25975 # DEPENDENCYPART_ARC
(10,20),-2.38132 # DEPENDENCYPART_ARC
(10,21),-1.27711 # DEPENDENCYPART_ARC
(11,1),-1.52781 # DEPENDENCYPART_ARC
(11,2),2.21535 # DEPENDENCYPART_ARC
(11,3),-0.0638527 # DEPENDENCYPART_ARC
(11,4),-1.06629 # DEPENDENCYPART_ARC
(11,5),-0.478601 # DEPENDENCYPART_ARC
(11,6),0.539146 # DEPENDENCYPART_ARC
(11,7),-0.733485 # DEPENDENCYPART_ARC
(11,8),0.234354 # DEPENDENCYPART_ARC
(11,9),-0.0546412 # DEPENDENCYPART_ARC
(11,10),0.230622 # DEPENDENCYPART_ARC
(11,12),2.49171 # DEPENDENCYPART_ARC
(11,13),2.29251 # DEPENDENCYPART_ARC
(11,14),0.911128 # DEPENDENCYPART_ARC
(11,15),-1.54789 # DEPENDENCYPART_ARC
(11,16),-0.643776 # DEPENDENCYPART_ARC
(11,17),-0.0085435 # DEPENDENCYPART_ARC
(11,18),-0.498699 # DEPENDENCYPART_ARC
(11,19),-0.160528 # DEPENDENCYPART_ARC
(11,20),-0.758429 # DEPENDENCYPART_ARC
(11,21),-0.947471 # DEPENDENCYPART_ARC
(12,1),-2.14049 # DEPENDENCYPART_ARC
(12,2),-2.66058 # DEPENDENCYPART_ARC
(12,3),-1.75408 # DEPENDENCYPART_ARC
(12,4),-2.62444 # DEPENDENCYPART_ARC
(12,5),-1.50566 # DEPENDENCYPART_ARC
(12,6),-3.40996 # DEPENDENCYPART_ARC
(12,7),-1.35572 # DEPENDENCYPART_ARC
(12,8),-3.13387 # DEPENDENCYPART_ARC
(12,9),-0.618097 # DEPENDENCYPART_ARC
(12,10),-1.2325 # DEPENDENCYPART_ARC
(12,11),-0.220579 # DEPENDENCYPART_ARC
(12,13),2.24628 # DEPENDENCYPART_ARC
(12,14),0.51397 # DEPENDENCYPART_ARC
(12,15),-0.434469 # DEPENDENCYPART_ARC
(12,16),-0.031411 # DEPENDENCYPART_ARC
(12,17),0.309838 # DEPENDENCYPART_ARC
(12,18),0.261731 # DEPENDENCYPART_ARC
(12,19),-0.281236 # DEPENDENCYPART_ARC
(12,20),-0.0358526 # DEPENDENCYPART_ARC
(12,21),-1.55568 # DEPENDENCYPART_ARC
(13,1),-1.36154 # DEPENDENCYPART_ARC
(13,2),-1.87102 # DEPENDENCYPART_ARC
(13,3),-0.943664 # DEPENDENCYPART_ARC
(13,4),-1.699 # DEPENDENCYPART_ARC
(13,5),-0.812999 # DEPENDENCYPART_ARC
(13,6),-2.0855 # DEPENDENCYPART_ARC
(13,7),-0.825067 # DEPENDENCYPART_ARC
(13,8),-2.07056 # DEPENDENCYPART_ARC
(13,9),-0.330882 # DEPENDENCYPART_ARC
(13,10),-1.16533 # DEPENDENCYPART_ARC
(13,11),-0.289913 # DEPENDENCYPART_ARC
(13,12),3.93932 # DEPENDENCYPART_ARC
(13,14),2.65309 # DEPENDENCYPART_ARC
(13,15),0.112721 # DEPENDENCYPART_ARC
(13,16),0.308957 # DEPENDENCYPART_ARC
(13,17),1.09332 # DEPENDENCYPART_ARC
(13,18),0.517364 # DEPENDENCYPART_ARC
(13,19),0.396079 # DEPENDENCYPART_ARC
(13,20),0.0408484 # DEPENDENCYPART_ARC
(13,21),-0.67006 # DEPENDENCYPART_ARC
(14,1),-2.20421 # DEPENDENCYPART_ARC
(14,2),-2.68854 # DEPENDENCYPART_ARC
(14,3),-2.25056 # DEPENDENCYPART_ARC
(14,4),-2.32784 # DEPENDENCYPART_ARC
(14,5),-1.7793 # DEPENDENCYPART_ARC
(14,6),-2.32899 # DEPENDENCYPART_ARC
(14,7),-1.67089 # DEPENDENCYPART_ARC
(14,8),-2.26766 # DEPENDENCYPART_ARC
(14,9),-1.97243 # DEPENDENCYPART_ARC
(14,10),-1.74357 # DEPENDENCYPART_ARC
(14,11),-1.94063 # DEPENDENCYPART_ARC
(14,12),-1.38836 # DEPENDENCYPART_ARC
(14,13),-0.528996 # DEPENDENCYPART_ARC
(14,15),-0.716854 # DEPENDENCYPART_ARC
(14,16),-1.321 # DEPENDENCYPART_ARC
(14,17),-1.66597 # DEPENDENCYPART_ARC
(14,18),-1.89186 # DEPENDENCYPART_ARC
(14,19),-1.90976 # DEPENDENCYPART_ARC
(14,20),-2.15247 # DEPENDENCYPART_ARC
(14,21),-0.774506 # DEPENDENCYPART_ARC
(15,1),-1.5166 # DEPENDENCYPART_ARC
(15,2),-3.31672 # DEPENDENCYPART_ARC
(15,3),-2.18385 # DEPENDENCYPART_ARC
(15,4),-2.32651 # DEPENDENCYPART_ARC
(15,5),-2.65413 # DEPENDENCYPART_ARC
(15,6),-2.83768 # DEPENDENCYPART_ARC
(15,7),-2.42488 # DEPENDENCYPART_ARC
(15,8),-2.35547 # DEPENDENCYPART_ARC
(15,9),-1.31678 # DEPENDENCYPART_ARC
(15,10),-1.61091 # DEPENDENCYPART_ARC
(15,11),-2.68079 # DEPENDENCYPART_ARC
(15,12),-1.8536 # DEPENDENCYPART_ARC
(15,13),-1.67471 # DEPENDENCYPART_ARC
(15,14),0.417124 # DEPENDENCYPART_ARC
(15,16),-0.369608 # DEPENDENCYPART_ARC
(15,17),-0.166849 # DEPENDENCYPART_ARC
(15,18),-0.409924 # DEPENDENCYPART_ARC
(15,19),-0.438395 # DEPENDENCYPART_ARC
(15,20),-1.99873 # DEPENDENCYPART_ARC
(15,21),-0.780869 # DEPENDENCYPART_ARC
(16,1),-1.46944 # DEPENDENCYPART_ARC
(16,2),-2.4461 # DEPENDENCYPART_ARC
(16,3),-1.8637 # DEPENDENCYPART_ARC
(16,4),-1.53089 # DEPENDENCYPART_ARC
(16,5),-2.467 # DEPENDENCYPART_ARC
(16,6),-2.65876 # DEPENDENCYPART_ARC
(16,7),-1.67477 # DEPENDENCYPART_ARC
(16,8),-2.07553 # DEPENDENCYPART_ARC
(16,9),-1.1297 # DEPENDENCYPART_ARC
(16,10),-1.64951 # DEPENDENCYPART_ARC
(16,11),-1.3906 # DEPENDENCYPART_ARC
(16,12),-1.4317 # DEPENDENCYPART_ARC
(16,13),-1.06416 # DEPENDENCYPART_ARC
(16,14),-0.308999 # DEPENDENCYPART_ARC
(16,15),1.08831 # DEPENDENCYPART_ARC
(16,17),1.09225 # DEPENDENCYPART_ARC
(16,18),0.393459 # DEPENDENCYPART_ARC
(16,19),-0.253383 # DEPENDENCYPART_ARC
(16,20),-0.0153518 # DEPENDENCYPART_ARC
(16,21),-0.320192 # DEPENDENCYPART_ARC
(17,1),-1.79005 # DEPENDENCYPART_ARC
(17,2),-2.21693 # DEPENDENCYPART_ARC
(17,3),-1.22282 # DEPENDENCYPART_ARC
(17,4),-1.23924 # DEPENDENCYPART_ARC
(17,5),-1.46833 # DEPENDENCYPART_ARC
(17,6),-2.91108 # DEPENDENCYPART_ARC
(17,7),-0.931909 # DEPENDENCYPART_ARC
(17,8),-2.18 # DEPENDENCYPART_ARC
(17,9),-1.18161 # DEPENDENCYPART_ARC
(17,10),-2.18949 # DEPENDENCYPART_ARC
(17,11),-1.61165 # DEPENDENCYPART_ARC
(17,12),-0.721526 # DEPENDENCYPART_ARC
(17,13),-1.24842 # DEPENDENCYPART_ARC
(17,14),-1.2236 # DEPENDENCYPART_ARC
(17,15),3.12686 # DEPENDENCYPART_ARC
(17,16),3.9066 # DEPENDENCYPART_ARC
(17,18),2.78517 # DEPENDENCYPART_ARC
(17,19),0.945872 # DEPENDENCYPART_ARC
(17,20),0.790299 # DEPENDENCYPART_ARC
(17,21),-0.114871 # DEPENDENCYPART_ARC
(18,1),-1.94528 # DEPENDENCYPART_ARC
(18,2),-3.22089 # DEPENDENCYPART_ARC
(18,3),-1.82217 # DEPENDENCYPART_ARC
(18,4),-2.46894 # DEPENDENCYPART_ARC
(18,5),-1.87057 # DEPENDENCYPART_ARC
(18,6),-2.51537 # DEPENDENCYPART_ARC
(18,7),-1.8416 # DEPENDENCYPART_ARC
(18,8),-2.50723 # DEPENDENCYPART_ARC
(18,9),-1.91567 # DEPENDENCYPART_ARC
(18,10),-1.77098 # DEPENDENCYPART_ARC
(18,11),-2.34523 # DEPENDENCYPART_ARC
(18,12),-2.45204 # DEPENDENCYPART_ARC
(18,13),-2.26461 # DEPENDENCYPART_ARC
(18,14),-1.50124 # DEPENDENCYPART_ARC
(18,15),-0.918718 # DEPENDENCYPART_ARC
(18,16),-1.16725 # DEPENDENCYPART_ARC
(18,17),-0.768532 # DEPENDENCYPART_ARC
(18,19),4.39143 # DEPENDENCYPART_ARC
(18,20),0.249022 # DEPENDENCYPART_ARC
(18,21),-0.308088 # DEPENDENCYPART_ARC
(19,1),-2.94444 # DEPENDENCYPART_ARC
(19,2),-2.71023 # DEPENDENCYPART_ARC
(19,3),-2.6683 # DEPENDENCYPART_ARC
(19,4),-3.12573 # DEPENDENCYPART_ARC
(19,5),-2.69804 # DEPENDENCYPART_ARC
(19,6),-3.97686 # DEPENDENCYPART_ARC
(19,7),-2.35795 # DEPENDENCYPART_ARC
(19,8),-4.67223 # DEPENDENCYPART_ARC
(19,9),-2.37379 # DEPENDENCYPART_ARC
(19,10),-3.4219 # DEPENDENCYPART_ARC
(19,11),-2.51935 # DEPENDENCYPART_ARC
(19,12),-2.03518 # DEPENDENCYPART_ARC
(19,13),-2.5396 # DEPENDENCYPART_ARC
(19,14),-2.76598 # DEPENDENCYPART_ARC
(19,15),-0.791764 # DEPENDENCYPART_ARC
(19,16),-1.14329 # DEPENDENCYPART_ARC
(19,17),-2.47314 # DEPENDENCYPART_ARC
(19,18),1.0028 # DEPENDENCYPART_ARC
(19,20),3.18035 # DEPENDENCYPART_ARC
(19,21),-0.0708097 # DEPENDENCYPART_ARC
(20,1),-1.41451 # DEPENDENCYPART_ARC
(20,2),-2.91562 # DEPENDENCYPART_ARC
(20,3),-1.75686 # DEPENDENCYPART_ARC
(20,4),-1.46063 # DEPENDENCYPART_ARC
(20,5),-2.43809 # DEPENDENCYPART_ARC
(20,6),-2.22698 # DEPENDENCYPART_ARC
(20,7),-1.7384 # DEPENDENCYPART_ARC
(20,8),-2.05286 # DEPENDENCYPART_ARC
(20,9),-1.40963 # DEPENDENCYPART_ARC
(20,10),-1.80576 # DEPENDENCYPART_ARC
(20,11),-2.06128 # DEPENDENCYPART_ARC
(20,12),-1.8237 # DEPENDENCYPART_ARC
(20,13),-1.7058 # DEPENDENCYPART_ARC
(20,14),-1.43897 # DEPENDENCYPART_ARC
(20,15),-0.982292 # DEPENDENCYPART_ARC
(20,16),-1.15839 # DEPENDENCYPART_ARC
(20,17),-0.802593 # DEPENDENCYPART_ARC
(20,18),-0.0806244 # DEPENDENCYPART_ARC
(20,19),0.429468 # DEPENDENCYPART_ARC
(20,21),2.47131 # DEPENDENCYPART_ARC
(21,1),-2.34304 # DEPENDENCYPART_ARC
(21,2),-2.79348 # DEPENDENCYPART_ARC
(21,3),-2.36167 # DEPENDENCYPART_ARC
(21,4),-2.51095 # DEPENDENCYPART_ARC
(21,5),-2.0699 # DEPENDENCYPART_ARC
(21,6),-2.56912 # DEPENDENCYPART_ARC
(21,7),-2.09872 # DEPENDENCYPART_ARC
(21,8),-2.47001 # DEPENDENCYPART_ARC
(21,9),-2.21762 # DEPENDENCYPART_ARC
(21,10),-2.22824 # DEPENDENCYPART_ARC
(21,11),-2.69441 # DEPENDENCYPART_ARC
(21,12),-2.31296 # DEPENDENCYPART_ARC
(21,13),-2.33234 # DEPENDENCYPART_ARC
(21,14),-1.87631 # DEPENDENCYPART_ARC
(21,15),-1.62894 # DEPENDENCYPART_ARC
(21,16),-2.05406 # DEPENDENCYPART_ARC
(21,17),-1.9465 # DEPENDENCYPART_ARC
(21,18),-1.05196 # DEPENDENCYPART_ARC
(21,19),-1.43529 # DEPENDENCYPART_ARC
(21,20),-0.4071 # DEPENDENCYPART_ARC
