# _root_ Una pattuglia del commissariato diretto da Luigi De Maio si è recata sul posto , poco dopo la celebrazione , allentando per qualche minuto la morsa dei controlli sui giovani in uscita dalle discoteche .
#goldHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
#predictedHeads=2,12,2,3,4,5,8,6,8,12,12,0,12,13,14,17,12,19,17,19,12,21,24,22,26,21,26,27,28,29,30,31,32,33,34,
(5,1),-0.809269 # DEPENDENCYPART_ARC
(5,2),0.365958 # DEPENDENCYPART_ARC
(5,3),0.084663 # DEPENDENCYPART_ARC
(5,4),0.39568 # DEPENDENCYPART_ARC
(5,6),2.69886 # DEPENDENCYPART_ARC
(5,7),1.68017 # DEPENDENCYPART_ARC
(5,8),1.28041 # DEPENDENCYPART_ARC
(5,9),0.791842 # DEPENDENCYPART_ARC
(5,10),-0.641267 # DEPENDENCYPART_ARC
(5,11),0.404296 # DEPENDENCYPART_ARC
(5,12),0.109203 # DEPENDENCYPART_ARC
(5,13),0.328449 # DEPENDENCYPART_ARC
(5,14),-1.27143 # DEPENDENCYPART_ARC
(5,15),0.684318 # DEPENDENCYPART_ARC
(5,16),-0.754167 # DEPENDENCYPART_ARC
(5,17),0.314253 # DEPENDENCYPART_ARC
(5,18),-2.22651 # DEPENDENCYPART_ARC
(5,19),-0.592217 # DEPENDENCYPART_ARC
(5,20),0.369997 # DEPENDENCYPART_ARC
(5,21),0.667286 # DEPENDENCYPART_ARC
(5,22),-0.04047 # DEPENDENCYPART_ARC
(5,23),-1.02135 # DEPENDENCYPART_ARC
(5,24),-1.92733 # DEPENDENCYPART_ARC
(5,25),-2.465 # DEPENDENCYPART_ARC
(5,26),-1.64114 # DEPENDENCYPART_ARC
(5,27),-2.5632 # DEPENDENCYPART_ARC
(5,28),-2.64849 # DEPENDENCYPART_ARC
(5,29),-1.17995 # DEPENDENCYPART_ARC
(5,30),-2.65524 # DEPENDENCYPART_ARC
(5,31),-0.722575 # DEPENDENCYPART_ARC
(5,32),-3.27753 # DEPENDENCYPART_ARC
(5,33),-1.30475 # DEPENDENCYPART_ARC
(5,34),-3.23337 # DEPENDENCYPART_ARC
(5,35),-4.19845 # DEPENDENCYPART_ARC
(6,1),-1.86059 # DEPENDENCYPART_ARC
(6,2),-2.12461 # DEPENDENCYPART_ARC
(6,3),-1.13937 # DEPENDENCYPART_ARC
(6,4),-1.52388 # DEPENDENCYPART_ARC
(6,5),-0.617949 # DEPENDENCYPART_ARC
(6,7),3.81384 # DEPENDENCYPART_ARC
(6,8),1.72963 # DEPENDENCYPART_ARC
(6,9),-0.0524759 # DEPENDENCYPART_ARC
(6,10),-0.311449 # DEPENDENCYPART_ARC
(6,11),-0.87926 # DEPENDENCYPART_ARC
(6,12),-0.956893 # DEPENDENCYPART_ARC
(6,13),-1.02183 # DEPENDENCYPART_ARC
(6,14),-2.24742 # DEPENDENCYPART_ARC
(6,15),-0.447255 # DEPENDENCYPART_ARC
(6,16),-0.229883 # DEPENDENCYPART_ARC
(6,17),-1.15467 # DEPENDENCYPART_ARC
(6,18),-1.33374 # DEPENDENCYPART_ARC
(6,19),-4.92778 # DEPENDENCYPART_ARC
(6,20),-0.961938 # DEPENDENCYPART_ARC
(6,21),-2.62587 # DEPENDENCYPART_ARC
(6,22),-2.13944 # DEPENDENCYPART_ARC
(6,23),-1.09394 # DEPENDENCYPART_ARC
(6,24),-6.31095 # DEPENDENCYPART_ARC
(6,25),-1.54932 # DEPENDENCYPART_ARC
(6,26),-7.96475 # DEPENDENCYPART_ARC
(6,27),-3.07296 # DEPENDENCYPART_ARC
(6,28),-8.08639 # DEPENDENCYPART_ARC
(6,29),-2.46811 # DEPENDENCYPART_ARC
(6,30),-9.17264 # DEPENDENCYPART_ARC
(6,31),-3.32675 # DEPENDENCYPART_ARC
(6,32),-10.0026 # DEPENDENCYPART_ARC
(6,33),-3.00283 # DEPENDENCYPART_ARC
(6,34),-10.7108 # DEPENDENCYPART_ARC
(6,35),-3.20691 # DEPENDENCYPART_ARC
(7,1),-1.51482 # DEPENDENCYPART_ARC
(7,2),-3.95602 # DEPENDENCYPART_ARC
(7,3),-1.79416 # DEPENDENCYPART_ARC
(7,4),-3.08124 # DEPENDENCYPART_ARC
(7,5),-0.639863 # DEPENDENCYPART_ARC
(7,6),0.213003 # DEPENDENCYPART_ARC
(7,8),1.02745 # DEPENDENCYPART_ARC
(7,9),0.767686 # DEPENDENCYPART_ARC
(7,10),-1.48312 # DEPENDENCYPART_ARC
(7,11),0.093978 # DEPENDENCYPART_ARC
(7,12),0.23198 # DEPENDENCYPART_ARC
(7,13),-1.33038 # DEPENDENCYPART_ARC
(7,14),-1.06364 # DEPENDENCYPART_ARC
(7,15),-0.94398 # DEPENDENCYPART_ARC
(7,16),-1.66098 # DEPENDENCYPART_ARC
(7,17),-1.32296 # DEPENDENCYPART_ARC
(7,18),-1.14608 # DEPENDENCYPART_ARC
(7,19),-2.00095 # DEPENDENCYPART_ARC
(7,20),-1.36646 # DEPENDENCYPART_ARC
(7,21),-1.98651 # DEPENDENCYPART_ARC
(7,22),-2.09053 # DEPENDENCYPART_ARC
(7,23),-1.39068 # DEPENDENCYPART_ARC
(7,24),-2.4542 # DEPENDENCYPART_ARC
(7,25),-1.20913 # DEPENDENCYPART_ARC
(7,26),-2.94657 # DEPENDENCYPART_ARC
(7,27),-3.06639 # DEPENDENCYPART_ARC
(7,28),-2.9588 # DEPENDENCYPART_ARC
(7,29),-3.09051 # DEPENDENCYPART_ARC
(7,30),-3.0386 # DEPENDENCYPART_ARC
(7,31),-2.75063 # DEPENDENCYPART_ARC
(7,32),-3.31715 # DEPENDENCYPART_ARC
(7,33),-3.84993 # DEPENDENCYPART_ARC
(7,34),-3.12594 # DEPENDENCYPART_ARC
(7,35),-6.74486 # DEPENDENCYPART_ARC
(8,1),-0.294135 # DEPENDENCYPART_ARC
(8,2),-2.57415 # DEPENDENCYPART_ARC
(8,3),-0.182804 # DEPENDENCYPART_ARC
(8,4),-1.3518 # DEPENDENCYPART_ARC
(8,5),0.315278 # DEPENDENCYPART_ARC
(8,6),1.08028 # DEPENDENCYPART_ARC
(8,7),3.9917 # DEPENDENCYPART_ARC
(8,9),3.39641 # DEPENDENCYPART_ARC
(8,10),-0.125598 # DEPENDENCYPART_ARC
(8,11),1.39315 # DEPENDENCYPART_ARC
(8,12),1.34734 # DEPENDENCYPART_ARC
(8,13),-0.215852 # DEPENDENCYPART_ARC
(8,14),0.669816 # DEPENDENCYPART_ARC
(8,15),0.0880312 # DEPENDENCYPART_ARC
(8,16),-0.562526 # DEPENDENCYPART_ARC
(8,17),-0.424977 # DEPENDENCYPART_ARC
(8,18),0.0910357 # DEPENDENCYPART_ARC
(8,19),-0.0508164 # DEPENDENCYPART_ARC
(8,20),-0.435167 # DEPENDENCYPART_ARC
(8,21),-0.796742 # DEPENDENCYPART_ARC
(8,22),-1.04543 # DEPENDENCYPART_ARC
(8,23),-0.258494 # DEPENDENCYPART_ARC
(8,24),-0.68615 # DEPENDENCYPART_ARC
(8,25),-0.0684342 # DEPENDENCYPART_ARC
(8,26),-0.910291 # DEPENDENCYPART_ARC
(8,27),-2.32323 # DEPENDENCYPART_ARC
(8,28),-1.20048 # DEPENDENCYPART_ARC
(8,29),-2.38814 # DEPENDENCYPART_ARC
(8,30),-1.46109 # DEPENDENCYPART_ARC
(8,31),-1.85146 # DEPENDENCYPART_ARC
(8,32),-1.76394 # DEPENDENCYPART_ARC
(8,33),-3.19338 # DEPENDENCYPART_ARC
(8,34),-1.60942 # DEPENDENCYPART_ARC
(8,35),-5.52752 # DEPENDENCYPART_ARC
(9,1),-1.8532 # DEPENDENCYPART_ARC
(9,2),-3.58794 # DEPENDENCYPART_ARC
(9,3),-1.55326 # DEPENDENCYPART_ARC
(9,4),-2.58104 # DEPENDENCYPART_ARC
(9,5),-1.11773 # DEPENDENCYPART_ARC
(9,6),-0.285012 # DEPENDENCYPART_ARC
(9,7),1.78939 # DEPENDENCYPART_ARC
(9,8),1.67267 # DEPENDENCYPART_ARC
(9,10),-1.01525 # DEPENDENCYPART_ARC
(9,11),0.256321 # DEPENDENCYPART_ARC
(9,12),0.57514 # DEPENDENCYPART_ARC
(9,13),-1.61816 # DEPENDENCYPART_ARC
(9,14),-0.991077 # DEPENDENCYPART_ARC
(9,15),-0.845284 # DEPENDENCYPART_ARC
(9,16),-1.80633 # DEPENDENCYPART_ARC
(9,17),-1.82926 # DEPENDENCYPART_ARC
(9,18),-1.36628 # DEPENDENCYPART_ARC
(9,19),-1.5207 # DEPENDENCYPART_ARC
(9,20),-1.31488 # DEPENDENCYPART_ARC
(9,21),-1.94284 # DEPENDENCYPART_ARC
(9,22),-2.44039 # DEPENDENCYPART_ARC
(9,23),-1.49355 # DEPENDENCYPART_ARC
(9,24),-2.24552 # DEPENDENCYPART_ARC
(9,25),-1.44275 # DEPENDENCYPART_ARC
(9,26),-2.26867 # DEPENDENCYPART_ARC
(9,27),-3.56826 # DEPENDENCYPART_ARC
(9,28),-2.62389 # DEPENDENCYPART_ARC
(9,29),-3.61648 # DEPENDENCYPART_ARC
(9,30),-2.76089 # DEPENDENCYPART_ARC
(9,31),-3.2522 # DEPENDENCYPART_ARC
(9,32),-2.80891 # DEPENDENCYPART_ARC
(9,33),-4.56497 # DEPENDENCYPART_ARC
(9,34),-2.89583 # DEPENDENCYPART_ARC
(9,35),-6.03964 # DEPENDENCYPART_ARC
(10,1),-0.764524 # DEPENDENCYPART_ARC
(10,2),-2.2336 # DEPENDENCYPART_ARC
(10,3),-2.22257 # DEPENDENCYPART_ARC
(10,4),-2.56187 # DEPENDENCYPART_ARC
(10,5),-2.86156 # DEPENDENCYPART_ARC
(10,6),-1.09448 # DEPENDENCYPART_ARC
(10,7),-1.0989 # DEPENDENCYPART_ARC
(10,8),-0.946245 # DEPENDENCYPART_ARC
(10,9),-0.110765 # DEPENDENCYPART_ARC
(10,11),-0.729078 # DEPENDENCYPART_ARC
(10,12),-2.6376 # DEPENDENCYPART_ARC
(10,13),-2.74487 # DEPENDENCYPART_ARC
(10,14),-1.76917 # DEPENDENCYPART_ARC
(10,15),-1.39713 # DEPENDENCYPART_ARC
(10,16),-2.3962 # DEPENDENCYPART_ARC
(10,17),-2.54517 # DEPENDENCYPART_ARC
(10,18),-2.97915 # DEPENDENCYPART_ARC
(10,19),-2.55103 # DEPENDENCYPART_ARC
(10,20),-1.42916 # DEPENDENCYPART_ARC
(10,21),-2.72672 # DEPENDENCYPART_ARC
(10,22),-3.37013 # DEPENDENCYPART_ARC
(10,23),-2.41061 # DEPENDENCYPART_ARC
(10,24),-2.48608 # DEPENDENCYPART_ARC
(10,25),-3.29968 # DEPENDENCYPART_ARC
(10,26),-2.90284 # DEPENDENCYPART_ARC
(10,27),-4.03416 # DEPENDENCYPART_ARC
(10,28),-2.32196 # DEPENDENCYPART_ARC
(10,29),-4.29094 # DEPENDENCYPART_ARC
(10,30),-2.18374 # DEPENDENCYPART_ARC
(10,31),-4.49286 # DEPENDENCYPART_ARC
(10,32),-3.2127 # DEPENDENCYPART_ARC
(10,33),-5.33176 # DEPENDENCYPART_ARC
(10,34),-2.94929 # DEPENDENCYPART_ARC
(10,35),-2.90044 # DEPENDENCYPART_ARC
(11,1),-1.66279 # DEPENDENCYPART_ARC
(11,2),0.796068 # DEPENDENCYPART_ARC
(11,3),-1.74935 # DEPENDENCYPART_ARC
(11,4),-0.088189 # DEPENDENCYPART_ARC
(11,5),-1.19992 # DEPENDENCYPART_ARC
(11,6),-0.247612 # DEPENDENCYPART_ARC
(11,7),0.0608758 # DEPENDENCYPART_ARC
(11,8),0.735251 # DEPENDENCYPART_ARC
(11,9),0.603245 # DEPENDENCYPART_ARC
(11,10),2.70675 # DEPENDENCYPART_ARC
(11,12),1.34785 # DEPENDENCYPART_ARC
(11,13),0.751564 # DEPENDENCYPART_ARC
(11,14),-0.32495 # DEPENDENCYPART_ARC
(11,15),0.258219 # DEPENDENCYPART_ARC
(11,16),-0.934409 # DEPENDENCYPART_ARC
(11,17),-0.16541 # DEPENDENCYPART_ARC
(11,18),-2.54662 # DEPENDENCYPART_ARC
(11,19),-1.07011 # DEPENDENCYPART_ARC
(11,20),-0.0673628 # DEPENDENCYPART_ARC
(11,21),-0.370414 # DEPENDENCYPART_ARC
(11,22),-1.00471 # DEPENDENCYPART_ARC
(11,23),-1.16403 # DEPENDENCYPART_ARC
(11,24),-2.06013 # DEPENDENCYPART_ARC
(11,25),-2.69157 # DEPENDENCYPART_ARC
(11,26),-1.95716 # DEPENDENCYPART_ARC
(11,27),-3.19215 # DEPENDENCYPART_ARC
(11,28),-2.77355 # DEPENDENCYPART_ARC
(11,29),-2.32898 # DEPENDENCYPART_ARC
(11,30),-3.11583 # DEPENDENCYPART_ARC
(11,31),-1.80279 # DEPENDENCYPART_ARC
(11,32),-3.52435 # DEPENDENCYPART_ARC
(11,33),-3.24814 # DEPENDENCYPART_ARC
(11,34),-3.55978 # DEPENDENCYPART_ARC
(11,35),-4.53386 # DEPENDENCYPART_ARC
(12,1),-0.822602 # DEPENDENCYPART_ARC
(12,2),1.58342 # DEPENDENCYPART_ARC
(12,3),-0.865435 # DEPENDENCYPART_ARC
(12,4),0.601191 # DEPENDENCYPART_ARC
(12,5),-1.28635 # DEPENDENCYPART_ARC
(12,6),0.810632 # DEPENDENCYPART_ARC
(12,7),1.1106 # DEPENDENCYPART_ARC
(12,8),1.55042 # DEPENDENCYPART_ARC
(12,9),1.65338 # DEPENDENCYPART_ARC
(12,10),4.1946 # DEPENDENCYPART_ARC
(12,11),4.96608 # DEPENDENCYPART_ARC
(12,13),2.7762 # DEPENDENCYPART_ARC
(12,14),1.10891 # DEPENDENCYPART_ARC
(12,15),1.04716 # DEPENDENCYPART_ARC
(12,16),0.249211 # DEPENDENCYPART_ARC
(12,17),1.2904 # DEPENDENCYPART_ARC
(12,18),-1.42925 # DEPENDENCYPART_ARC
(12,19),0.398597 # DEPENDENCYPART_ARC
(12,20),0.757075 # DEPENDENCYPART_ARC
(12,21),0.978141 # DEPENDENCYPART_ARC
(12,22),0.346447 # DEPENDENCYPART_ARC
(12,23),-0.555838 # DEPENDENCYPART_ARC
(12,24),-1.60013 # DEPENDENCYPART_ARC
(12,25),-1.76151 # DEPENDENCYPART_ARC
(12,26),-0.667015 # DEPENDENCYPART_ARC
(12,27),-1.49792 # DEPENDENCYPART_ARC
(12,28),-2.31661 # DEPENDENCYPART_ARC
(12,29),-0.410517 # DEPENDENCYPART_ARC
(12,30),-2.36628 # DEPENDENCYPART_ARC
(12,31),-0.243432 # DEPENDENCYPART_ARC
(12,32),-2.51541 # DEPENDENCYPART_ARC
(12,33),-0.999026 # DEPENDENCYPART_ARC
(12,34),-2.60007 # DEPENDENCYPART_ARC
(12,35),-2.99639 # DEPENDENCYPART_ARC
(13,1),-2.15987 # DEPENDENCYPART_ARC
(13,2),-3.31497 # DEPENDENCYPART_ARC
(13,3),-2.02304 # DEPENDENCYPART_ARC
(13,4),-2.72048 # DEPENDENCYPART_ARC
(13,5),-3.20502 # DEPENDENCYPART_ARC
(13,6),-1.47571 # DEPENDENCYPART_ARC
(13,7),-2.78385 # DEPENDENCYPART_ARC
(13,8),-2.62352 # DEPENDENCYPART_ARC
(13,9),-2.49773 # DEPENDENCYPART_ARC
(13,10),-1.36473 # DEPENDENCYPART_ARC
(13,11),-1.60926 # DEPENDENCYPART_ARC
(13,12),-1.11045 # DEPENDENCYPART_ARC
(13,14),4.10989 # DEPENDENCYPART_ARC
(13,15),0.495244 # DEPENDENCYPART_ARC
(13,16),0.111401 # DEPENDENCYPART_ARC
(13,17),-0.360593 # DEPENDENCYPART_ARC
(13,18),-1.62005 # DEPENDENCYPART_ARC
(13,19),-1.34093 # DEPENDENCYPART_ARC
(13,20),-0.047898 # DEPENDENCYPART_ARC
(13,21),-1.10133 # DEPENDENCYPART_ARC
(13,22),-1.4238 # DEPENDENCYPART_ARC
(13,23),-0.676658 # DEPENDENCYPART_ARC
(13,24),-3.4174 # DEPENDENCYPART_ARC
(13,25),-2.01147 # DEPENDENCYPART_ARC
(13,26),-5.1758 # DEPENDENCYPART_ARC
(13,27),-2.00874 # DEPENDENCYPART_ARC
(13,28),-5.18236 # DEPENDENCYPART_ARC
(13,29),-1.77685 # DEPENDENCYPART_ARC
(13,30),-6.10263 # DEPENDENCYPART_ARC
(13,31),-2.83283 # DEPENDENCYPART_ARC
(13,32),-7.22516 # DEPENDENCYPART_ARC
(13,33),-2.21971 # DEPENDENCYPART_ARC
(13,34),-8.04633 # DEPENDENCYPART_ARC
(13,35),-2.38786 # DEPENDENCYPART_ARC
(14,1),-3.39744 # DEPENDENCYPART_ARC
(14,2),-4.25557 # DEPENDENCYPART_ARC
(14,3),-2.33708 # DEPENDENCYPART_ARC
(14,4),-3.06784 # DEPENDENCYPART_ARC
(14,5),-2.19936 # DEPENDENCYPART_ARC
(14,6),-2.15339 # DEPENDENCYPART_ARC
(14,7),-1.83489 # DEPENDENCYPART_ARC
(14,8),-2.7425 # DEPENDENCYPART_ARC
(14,9),-2.49444 # DEPENDENCYPART_ARC
(14,10),-0.985494 # DEPENDENCYPART_ARC
(14,11),-1.9806 # DEPENDENCYPART_ARC
(14,12),-0.883318 # DEPENDENCYPART_ARC
(14,13),0.858291 # DEPENDENCYPART_ARC
(14,15),2.53114 # DEPENDENCYPART_ARC
(14,16),0.512388 # DEPENDENCYPART_ARC
(14,17),0.476354 # DEPENDENCYPART_ARC
(14,18),-0.260675 # DEPENDENCYPART_ARC
(14,19),0.0874204 # DEPENDENCYPART_ARC
(14,20),1.12948 # DEPENDENCYPART_ARC
(14,21),-0.225043 # DEPENDENCYPART_ARC
(14,22),-0.367086 # DEPENDENCYPART_ARC
(14,23),0.0659568 # DEPENDENCYPART_ARC
(14,24),-0.711276 # DEPENDENCYPART_ARC
(14,25),-0.635133 # DEPENDENCYPART_ARC
(14,26),-1.39712 # DEPENDENCYPART_ARC
(14,27),-0.598068 # DEPENDENCYPART_ARC
