# _root_ Fanno fatica ad ammettere che una mescolanza misteriosa di fattori genetici , di educazione e di stimoli ambientali , possa produrre individui che sanno fare cose che essi non potranno mai nemmeno immaginare .
#goldHeads=0,1,1,3,4,7,21,7,7,9,10,9,9,13,9,9,16,17,18,21,5,21,24,22,24,25,33,33,33,33,33,33,26,33,
#predictedHeads=0,1,1,3,4,7,4,7,7,9,10,11,9,13,1,9,16,17,18,21,5,21,25,25,21,25,30,30,30,26,30,33,26,33,
(0,31),-2.80911 # DEPENDENCYPART_ARC
(0,32),-2.84274 # DEPENDENCYPART_ARC
(0,33),-2.22526 # DEPENDENCYPART_ARC
(0,34),-2.61142 # DEPENDENCYPART_ARC
(1,2),3.42161 # DEPENDENCYPART_ARC
(1,3),2.52637 # DEPENDENCYPART_ARC
(1,4),1.59137 # DEPENDENCYPART_ARC
(1,5),1.40021 # DEPENDENCYPART_ARC
(1,6),-1.43632 # DEPENDENCYPART_ARC
(1,7),0.135759 # DEPENDENCYPART_ARC
(1,8),-0.291195 # DEPENDENCYPART_ARC
(1,9),-0.685461 # DEPENDENCYPART_ARC
(1,10),-0.0937439 # DEPENDENCYPART_ARC
(1,11),-0.0385644 # DEPENDENCYPART_ARC
(1,12),1.35609 # DEPENDENCYPART_ARC
(1,13),-1.28258 # DEPENDENCYPART_ARC
(1,14),-1.1376 # DEPENDENCYPART_ARC
(1,15),1.62978 # DEPENDENCYPART_ARC
(1,16),-2.04081 # DEPENDENCYPART_ARC
(1,17),-1.15175 # DEPENDENCYPART_ARC
(1,18),-1.21829 # DEPENDENCYPART_ARC
(1,19),1.46696 # DEPENDENCYPART_ARC
(1,20),0.532115 # DEPENDENCYPART_ARC
(1,21),0.309343 # DEPENDENCYPART_ARC
(1,22),-1.87684 # DEPENDENCYPART_ARC
(1,23),-3.05524 # DEPENDENCYPART_ARC
(1,24),0.237488 # DEPENDENCYPART_ARC
(1,25),0.0568288 # DEPENDENCYPART_ARC
(1,26),-2.10432 # DEPENDENCYPART_ARC
(1,27),-3.67256 # DEPENDENCYPART_ARC
(1,28),-0.464592 # DEPENDENCYPART_ARC
(1,29),-0.982972 # DEPENDENCYPART_ARC
(1,30),0.177731 # DEPENDENCYPART_ARC
(1,31),-0.336813 # DEPENDENCYPART_ARC
(1,32),-0.470956 # DEPENDENCYPART_ARC
(1,33),-0.985688 # DEPENDENCYPART_ARC
(1,34),-2.58709 # DEPENDENCYPART_ARC
(2,1),-0.22655 # DEPENDENCYPART_ARC
(2,3),0.897143 # DEPENDENCYPART_ARC
(2,4),0.44831 # DEPENDENCYPART_ARC
(2,5),-0.00276959 # DEPENDENCYPART_ARC
(2,6),-0.510809 # DEPENDENCYPART_ARC
(2,7),-0.320766 # DEPENDENCYPART_ARC
(2,8),0.0567757 # DEPENDENCYPART_ARC
(2,9),-0.0909795 # DEPENDENCYPART_ARC
(2,10),-0.975914 # DEPENDENCYPART_ARC
(2,11),-2.1384 # DEPENDENCYPART_ARC
(2,12),-0.22488 # DEPENDENCYPART_ARC
(2,13),-1.05331 # DEPENDENCYPART_ARC
(2,14),-0.913665 # DEPENDENCYPART_ARC
(2,15),-0.487716 # DEPENDENCYPART_ARC
(2,16),-1.84773 # DEPENDENCYPART_ARC
(2,17),-1.50495 # DEPENDENCYPART_ARC
(2,18),-1.81973 # DEPENDENCYPART_ARC
(2,19),-0.78651 # DEPENDENCYPART_ARC
(2,20),-3.07087 # DEPENDENCYPART_ARC
(2,21),-2.52617 # DEPENDENCYPART_ARC
(2,22),-1.99538 # DEPENDENCYPART_ARC
(2,23),-3.36584 # DEPENDENCYPART_ARC
(2,24),-3.3396 # DEPENDENCYPART_ARC
(2,25),-3.07301 # DEPENDENCYPART_ARC
(2,26),-2.56092 # DEPENDENCYPART_ARC
(2,27),-3.6651 # DEPENDENCYPART_ARC
(2,28),-2.03453 # DEPENDENCYPART_ARC
(2,29),-2.50658 # DEPENDENCYPART_ARC
(2,30),-3.90496 # DEPENDENCYPART_ARC
(2,31),-2.26336 # DEPENDENCYPART_ARC
(2,32),-2.12025 # DEPENDENCYPART_ARC
(2,33),-3.1063 # DEPENDENCYPART_ARC
(2,34),-5.36177 # DEPENDENCYPART_ARC
(3,1),-1.04073 # DEPENDENCYPART_ARC
(3,2),-0.195469 # DEPENDENCYPART_ARC
(3,4),3.33102 # DEPENDENCYPART_ARC
(3,5),0.584594 # DEPENDENCYPART_ARC
(3,6),-0.267813 # DEPENDENCYPART_ARC
(3,7),0.189917 # DEPENDENCYPART_ARC
(3,8),0.242934 # DEPENDENCYPART_ARC
(3,9),0.0328684 # DEPENDENCYPART_ARC
(3,10),-0.743991 # DEPENDENCYPART_ARC
(3,11),-0.178003 # DEPENDENCYPART_ARC
(3,12),0.394312 # DEPENDENCYPART_ARC
(3,13),-0.115696 # DEPENDENCYPART_ARC
(3,14),-2.12672 # DEPENDENCYPART_ARC
(3,15),0.794059 # DEPENDENCYPART_ARC
(3,16),0.293625 # DEPENDENCYPART_ARC
(3,17),-3.06197 # DEPENDENCYPART_ARC
(3,18),-0.560947 # DEPENDENCYPART_ARC
(3,19),-0.3387 # DEPENDENCYPART_ARC
(3,20),-0.896085 # DEPENDENCYPART_ARC
(3,21),-1.36539 # DEPENDENCYPART_ARC
(3,22),-5.01026 # DEPENDENCYPART_ARC
(3,23),-2.75575 # DEPENDENCYPART_ARC
(3,24),-2.14599 # DEPENDENCYPART_ARC
(3,25),-2.02585 # DEPENDENCYPART_ARC
(3,26),-6.80787 # DEPENDENCYPART_ARC
(3,27),-3.72574 # DEPENDENCYPART_ARC
(3,28),-2.47861 # DEPENDENCYPART_ARC
(3,29),-2.25265 # DEPENDENCYPART_ARC
(3,30),-3.31164 # DEPENDENCYPART_ARC
(3,31),-1.91671 # DEPENDENCYPART_ARC
(3,32),-1.95896 # DEPENDENCYPART_ARC
(3,33),-3.04029 # DEPENDENCYPART_ARC
(3,34),-2.60414 # DEPENDENCYPART_ARC
(4,1),-0.0503101 # DEPENDENCYPART_ARC
(4,2),-0.481305 # DEPENDENCYPART_ARC
(4,3),1.16896 # DEPENDENCYPART_ARC
(4,5),1.55204 # DEPENDENCYPART_ARC
(4,6),-0.0876696 # DEPENDENCYPART_ARC
(4,7),1.23439 # DEPENDENCYPART_ARC
(4,8),0.252816 # DEPENDENCYPART_ARC
(4,9),-0.186217 # DEPENDENCYPART_ARC
(4,10),-0.106434 # DEPENDENCYPART_ARC
(4,11),-0.448169 # DEPENDENCYPART_ARC
(4,12),0.007461 # DEPENDENCYPART_ARC
(4,13),-0.837919 # DEPENDENCYPART_ARC
(4,14),-0.715465 # DEPENDENCYPART_ARC
(4,15),0.36909 # DEPENDENCYPART_ARC
(4,16),-1.48195 # DEPENDENCYPART_ARC
(4,17),-1.24645 # DEPENDENCYPART_ARC
(4,18),-1.1432 # DEPENDENCYPART_ARC
(4,19),-0.237455 # DEPENDENCYPART_ARC
(4,20),-0.333732 # DEPENDENCYPART_ARC
(4,21),-0.0466787 # DEPENDENCYPART_ARC
(4,22),-1.96287 # DEPENDENCYPART_ARC
(4,23),-2.42126 # DEPENDENCYPART_ARC
(4,24),-1.25553 # DEPENDENCYPART_ARC
(4,25),-0.401229 # DEPENDENCYPART_ARC
(4,26),-2.32342 # DEPENDENCYPART_ARC
(4,27),-2.98416 # DEPENDENCYPART_ARC
(4,28),-1.38786 # DEPENDENCYPART_ARC
(4,29),-1.81406 # DEPENDENCYPART_ARC
(4,30),-1.60245 # DEPENDENCYPART_ARC
(4,31),-1.59107 # DEPENDENCYPART_ARC
(4,32),-1.39422 # DEPENDENCYPART_ARC
(4,33),-1.11343 # DEPENDENCYPART_ARC
(4,34),-3.5518 # DEPENDENCYPART_ARC
(5,1),-2.34829 # DEPENDENCYPART_ARC
(5,2),-1.54713 # DEPENDENCYPART_ARC
(5,3),-0.887255 # DEPENDENCYPART_ARC
(5,4),-0.529238 # DEPENDENCYPART_ARC
(5,6),0.772221 # DEPENDENCYPART_ARC
(5,7),0.590209 # DEPENDENCYPART_ARC
(5,8),0.407618 # DEPENDENCYPART_ARC
(5,9),-0.169266 # DEPENDENCYPART_ARC
(5,10),-0.0986885 # DEPENDENCYPART_ARC
(5,11),-0.0704711 # DEPENDENCYPART_ARC
(5,12),0.713973 # DEPENDENCYPART_ARC
(5,13),-0.457447 # DEPENDENCYPART_ARC
(5,14),-0.399507 # DEPENDENCYPART_ARC
(5,15),0.217824 # DEPENDENCYPART_ARC
(5,16),-0.599195 # DEPENDENCYPART_ARC
(5,17),-0.500644 # DEPENDENCYPART_ARC
(5,18),-0.274566 # DEPENDENCYPART_ARC
(5,19),-0.0469655 # DEPENDENCYPART_ARC
(5,20),0.413997 # DEPENDENCYPART_ARC
(5,21),0.955988 # DEPENDENCYPART_ARC
(5,22),-0.940343 # DEPENDENCYPART_ARC
(5,23),-0.702944 # DEPENDENCYPART_ARC
(5,24),-0.179939 # DEPENDENCYPART_ARC
(5,25),-0.687612 # DEPENDENCYPART_ARC
(5,26),-1.24557 # DEPENDENCYPART_ARC
(5,27),-0.460936 # DEPENDENCYPART_ARC
(5,28),-1.34947 # DEPENDENCYPART_ARC
(5,29),-1.40239 # DEPENDENCYPART_ARC
(5,30),-0.740893 # DEPENDENCYPART_ARC
(5,31),-1.19741 # DEPENDENCYPART_ARC
(5,32),-1.33144 # DEPENDENCYPART_ARC
(5,33),-1.3029 # DEPENDENCYPART_ARC
(5,34),-1.84252 # DEPENDENCYPART_ARC
(6,1),-3.8503 # DEPENDENCYPART_ARC
(6,2),-2.85393 # DEPENDENCYPART_ARC
(6,3),-2.06179 # DEPENDENCYPART_ARC
(6,4),-2.23938 # DEPENDENCYPART_ARC
(6,5),-1.34631 # DEPENDENCYPART_ARC
(6,7),1.23837 # DEPENDENCYPART_ARC
(6,8),-0.176908 # DEPENDENCYPART_ARC
(6,9),0.354545 # DEPENDENCYPART_ARC
(6,10),-0.462215 # DEPENDENCYPART_ARC
(6,11),-1.55632 # DEPENDENCYPART_ARC
(6,12),0.00418528 # DEPENDENCYPART_ARC
(6,13),-0.151619 # DEPENDENCYPART_ARC
(6,14),-0.331585 # DEPENDENCYPART_ARC
(6,15),-0.224716 # DEPENDENCYPART_ARC
(6,16),-0.189197 # DEPENDENCYPART_ARC
(6,17),-0.712162 # DEPENDENCYPART_ARC
(6,18),-1.41184 # DEPENDENCYPART_ARC
(6,19),-0.218689 # DEPENDENCYPART_ARC
(6,20),-1.13645 # DEPENDENCYPART_ARC
(6,21),-1.50367 # DEPENDENCYPART_ARC
(6,22),-0.987798 # DEPENDENCYPART_ARC
(6,23),-1.73344 # DEPENDENCYPART_ARC
(6,24),-1.64091 # DEPENDENCYPART_ARC
(6,25),-1.88059 # DEPENDENCYPART_ARC
(6,26),-0.727404 # DEPENDENCYPART_ARC
(6,27),-1.96308 # DEPENDENCYPART_ARC
(6,28),-2.23665 # DEPENDENCYPART_ARC
(6,29),-1.39878 # DEPENDENCYPART_ARC
(6,30),-2.25613 # DEPENDENCYPART_ARC
(6,31),-1.61548 # DEPENDENCYPART_ARC
(6,32),-1.5746 # DEPENDENCYPART_ARC
(6,33),-2.11072 # DEPENDENCYPART_ARC
(6,34),-1.45114 # DEPENDENCYPART_ARC
(7,1),-1.39414 # DEPENDENCYPART_ARC
(7,2),-1.69049 # DEPENDENCYPART_ARC
(7,3),-0.0954242 # DEPENDENCYPART_ARC
(7,4),-0.781235 # DEPENDENCYPART_ARC
(7,5),0.605304 # DEPENDENCYPART_ARC
(7,6),3.70994 # DEPENDENCYPART_ARC
(7,8),3.75987 # DEPENDENCYPART_ARC
(7,9),2.14946 # DEPENDENCYPART_ARC
(7,10),0.955005 # DEPENDENCYPART_ARC
(7,11),0.317741 # DEPENDENCYPART_ARC
(7,12),0.259358 # DEPENDENCYPART_ARC
(7,13),0.533256 # DEPENDENCYPART_ARC
(7,14),0.616585 # DEPENDENCYPART_ARC
(7,15),0.543454 # DEPENDENCYPART_ARC
(7,16),-0.242268 # DEPENDENCYPART_ARC
(7,17),0.27486 # DEPENDENCYPART_ARC
(7,18),0.210394 # DEPENDENCYPART_ARC
(7,19),-0.191581 # DEPENDENCYPART_ARC
(7,20),-1.08771 # DEPENDENCYPART_ARC
(7,21),-1.009 # DEPENDENCYPART_ARC
(7,22),-0.998954 # DEPENDENCYPART_ARC
(7,23),-2.01234 # DEPENDENCYPART_ARC
(7,24),-1.5117 # DEPENDENCYPART_ARC
(7,25),-1.73178 # DEPENDENCYPART_ARC
(7,26),-1.4178 # DEPENDENCYPART_ARC
(7,27),-2.39112 # DEPENDENCYPART_ARC
(7,28),-1.22925 # DEPENDENCYPART_ARC
(7,29),-1.75747 # DEPENDENCYPART_ARC
(7,30),-2.09518 # DEPENDENCYPART_ARC
(7,31),-1.69978 # DEPENDENCYPART_ARC
(7,32),-1.54534 # DEPENDENCYPART_ARC
(7,33),-1.4304 # DEPENDENCYPART_ARC
(7,34),-3.93632 # DEPENDENCYPART_ARC
(8,1),-2.50002 # DEPENDENCYPART_ARC
(8,2),-1.52776 # DEPENDENCYPART_ARC
(8,3),-0.316859 # DEPENDENCYPART_ARC
(8,4),-1.42841 # DEPENDENCYPART_ARC
(8,5),-0.135842 # DEPENDENCYPART_ARC
(8,6),0.300643 # DEPENDENCYPART_ARC
(8,7),0.553865 # DEPENDENCYPART_ARC
(8,9),1.06894 # DEPENDENCYPART_ARC
(8,10),0.717212 # DEPENDENCYPART_ARC
(8,11),-0.0720211 # DEPENDENCYPART_ARC
(8,12),0.653923 # DEPENDENCYPART_ARC
(8,13),-0.00389656 # DEPENDENCYPART_ARC
(8,14),-0.146807 # DEPENDENCYPART_ARC
(8,15),0.501764 # DEPENDENCYPART_ARC
(8,16),-0.115208 # DEPENDENCYPART_ARC
(8,17),-0.27924 # DEPENDENCYPART_ARC
(8,18),-0.159904 # DEPENDENCYPART_ARC
(8,19),0.249606 # DEPENDENCYPART_ARC
(8,20),-1.38383 # DEPENDENCYPART_ARC
(8,21),-1.82797 # DEPENDENCYPART_ARC
(8,22),-0.743229 # DEPENDENCYPART_ARC
(8,23),-2.0064 # DEPENDENCYPART_ARC
(8,24),-1.5619 # DEPENDENCYPART_ARC
(8,25),-2.15934 # DEPENDENCYPART_ARC
(8,26),-0.991985 # DEPENDENCYPART_ARC
(8,27),-2.18506 # DEPENDENCYPART_ARC
(8,28),-1.45206 # DEPENDENCYPART_ARC
(8,29),-1.45781 # DEPENDENCYPART_ARC
(8,30),-2.28666 # DEPENDENCYPART_ARC
(8,31),-1.49124 # DEPENDENCYPART_ARC
(8,32),-1.6333 # DEPENDENCYPART_ARC
(8,33),-2.08911 # DEPENDENCYPART_ARC
(8,34),-2.1079 # DEPENDENCYPART_ARC
(9,1),-2.29015 # DEPENDENCYPART_ARC
(9,2),-1.84045 # DEPENDENCYPART_ARC
(9,3),-1.37036 # DEPENDENCYPART_ARC
(9,4),-2.02585 # DEPENDENCYPART_ARC
(9,5),-0.718262 # DEPENDENCYPART_ARC
(9,6),-0.822826 # DEPENDENCYPART_ARC
(9,7),-0.884224 # DEPENDENCYPART_ARC
(9,8),-0.126429 # DEPENDENCYPART_ARC
(9,10),4.07246 # DEPENDENCYPART_ARC
(9,11),0.932899 # DEPENDENCYPART_ARC
(9,12),0.800693 # DEPENDENCYPART_ARC
(9,13),0.86247 # DEPENDENCYPART_ARC
(9,14),0.574427 # DEPENDENCYPART_ARC
(9,15),1.09437 # DEPENDENCYPART_ARC
(9,16),1.42062 # DEPENDENCYPART_ARC
(9,17),-0.803541 # DEPENDENCYPART_ARC
(9,18),-0.458351 # DEPENDENCYPART_ARC
(9,19),-0.0583682 # DEPENDENCYPART_ARC
(9,20),-1.13156 # DEPENDENCYPART_ARC
(9,21),-1.44043 # DEPENDENCYPART_ARC
(9,22),-3.62976 # DEPENDENCYPART_ARC
(9,23),-3.23915 # DEPENDENCYPART_ARC
(9,24),-2.6947 # DEPENDENCYPART_ARC
(9,25),-2.53249 # DEPENDENCYPART_ARC
(9,26),-5.40159 # DEPENDENCYPART_ARC
(9,27),-4.1232 # DEPENDENCYPART_ARC
(9,28),-3.03565 # DEPENDENCYPART_ARC
(9,29),-2.65199 # DEPENDENCYPART_ARC
(9,30),-3.89882 # DEPENDENCYPART_ARC
(9,31),-2.39602 # DEPENDENCYPART_ARC
(9,32),-2.49982 # DEPENDENCYPART_ARC
(9,33),-4.05647 # DEPENDENCYPART_ARC
(9,34),-2.55819 # DEPENDENCYPART_ARC
(10,1),-3.26941 # DEPENDENCYPART_ARC
(10,2),-3.47529 # DEPENDENCYPART_ARC
(10,3),-1.72677 # DEPENDENCYPART_ARC
(10,4),-2.7818 # DEPENDENCYPART_ARC
(10,5),-1.41475 # DEPENDENCYPART_ARC
(10,6),-1.08496 # DEPENDENCYPART_ARC
(10,7),-2.37976 # DEPENDENCYPART_ARC
(10,8),-0.980884 # DEPENDENCYPART_ARC
(10,9),0.680177 # DEPENDENCYPART_ARC
(10,11),3.51371 # DEPENDENCYPART_ARC
(10,12),0.0623165 # DEPENDENCYPART_ARC
(10,13),0.666935 # DEPENDENCYPART_ARC
(10,14),0.200325 # DEPENDENCYPART_ARC
(10,15),0.0375219 # DEPENDENCYPART_ARC
(10,16),-0.208658 # DEPENDENCYPART_ARC
(10,17),0.615272 # DEPENDENCYPART_ARC
(10,18),0.72968 # DEPENDENCYPART_ARC
(10,19),-0.545079 # DEPENDENCYPART_ARC
(10,20),-1.82502 # DEPENDENCYPART_ARC
(10,21),-1.36842 # DEPENDENCYPART_ARC
(10,22),-0.485628 # DEPENDENCYPART_ARC
(10,23),-2.60862 # DEPENDENCYPART_ARC
(10,24),-1.93904 # DEPENDENCYPART_ARC
(10,25),-2.10553 # DEPENDENCYPART_ARC
(10,26),-0.905369 # DEPENDENCYPART_ARC
(10,27),-2.94118 # DEPENDENCYPART_ARC
(10,28),-0.697494 # DEPENDENCYPART_ARC
(10,29),-2.04597 # DEPENDENCYPART_ARC
(10,30),-1.95647 # DEPENDENCYPART_ARC
(10,31),-1.90516 # DEPENDENCYPART_ARC
(10,32),-1.86749 # DEPENDENCYPART_ARC
(10,33),-1.8344 # DEPENDENCYPART_ARC
(10,34),-3.98934 # DEPENDENCYPART_ARC
(11,1),-2.12166 # DEPENDENCYPART_ARC
(11,2),-2.38145 # DEPENDENCYPART_ARC
(11,3),-0.611846 # DEPENDENCYPART_ARC
(11,4),-1.51872 # DEPENDENCYPART_ARC
(11,5),-0.423601 # DEPENDENCYPART_ARC
(11,6),-1.08043 # DEPENDENCYPART_ARC
(11,7),-1.76913 # DEPENDENCYPART_ARC
(11,8),-0.782794 # DEPENDENCYPART_ARC
(11,9),0.551644 # DEPENDENCYPART_ARC
(11,10),0.854903 # DEPENDENCYPART_ARC
(11,12),1.83735 # DEPENDENCYPART_ARC
(11,13),-0.255083 # DEPENDENCYPART_ARC
(11,14),-0.590445 # DEPENDENCYPART_ARC
(11,15),0.0544625 # DEPENDENCYPART_ARC
(11,16),-0.435157 # DEPENDENCYPART_ARC
(11,17),-0.323354 # DEPENDENCYPART_ARC
(11,18),0.101464 # DEPENDENCYPART_ARC
(11,19),0.290223 # DEPENDENCYPART_ARC
(11,20),-1.76713 # DEPENDENCYPART_ARC
(11,21),-1.82459 # DEPENDENCYPART_ARC
(11,22),-0.954811 # DEPENDENCYPART_ARC
(11,23),-2.23593 # DEPENDENCYPART_ARC
(11,24),-1.80063 # DEPENDENCYPART_ARC
(11,25),-2.26747 # DEPENDENCYPART_ARC
(11,26),-1.53933 # DEPENDENCYPART_ARC
(11,27),-2.31944 # DEPENDENCYPART_ARC
(11,28),-1.30654 # DEPENDENCYPART_ARC
(11,29),-1.8069 # DEPENDENCYPART_ARC
(11,30),-2.21955 # DEPENDENCYPART_ARC
(11,31),-1.9858 # DEPENDENCYPART_ARC
(11,32),-2.05962 # DEPENDENCYPART_ARC
(11,33),-2.18656 # DEPENDENCYPART_ARC
(11,34),-2.181 # DEPENDENCYPART_ARC
(12,1),-2.82449 # DEPENDENCYPART_ARC
(12,2),-2.42821 # DEPENDENCYPART_ARC
(12,3),-1.85923 # DEPENDENCYPART_ARC
(12,4),-2.65221 # DEPENDENCYPART_ARC
(12,5),-1.78743 # DEPENDENCYPART_ARC
(12,6),-1.66042 # DEPENDENCYPART_ARC
(12,7),-2.07951 # DEPENDENCYPART_ARC
(12,8),-1.9798 # DEPENDENCYPART_ARC
(12,9),-1.05332 # DEPENDENCYPART_ARC
(12,10),-1.44757 # DEPENDENCYPART_ARC
(12,11),-0.427743 # DEPENDENCYPART_ARC
(12,13),-0.814822 # DEPENDENCYPART_ARC
(12,14),-0.911415 # DEPENDENCYPART_ARC
(12,15),-1.33519 # DEPENDENCYPART_ARC
(12,16),-1.69072 # DEPENDENCYPART_ARC
(12,17),-1.59391 # DEPENDENCYPART_ARC
(12,18),-1.8724 # DEPENDENCYPART_ARC
(12,19),-0.371986 # DEPENDENCYPART_ARC
(12,20),-1.56501 # DEPENDENCYPART_ARC
(12,21),-1.76454 # DEPENDENCYPART_ARC
(12,22),-2.07137 # DEPENDENCYPART_ARC
(12,23),-2.21068 # DEPENDENCYPART_ARC
(12,24),-1.99032 # DEPENDENCYPART_ARC
(12,25),-2.1035 # DEPENDENCYPART_ARC
(12,26),-2.16315 # DEPENDENCYPART_ARC
(12,27),-2.3727 # DEPENDENCYPART_ARC
(12,28),-2.25005 # DEPENDENCYPART_ARC
(12,29),-2.36372 # DEPENDENCYPART_ARC
(12,30),-2.1241 # DEPENDENCYPART_ARC
(12,31),-2.62051 # DEPENDENCYPART_ARC
(12,32),-2.54951 # DEPENDENCYPART_ARC
(12,33),-2.337 # DEPENDENCYPART_ARC
(12,34),-1.76288 # DEPENDENCYPART_ARC
(13,1),-2.56733 # DEPENDENCYPART_ARC
(13,2),-2.32601 # DEPENDENCYPART_ARC
(13,3),-1.82535 # DEPENDENCYPART_ARC
(13,4),-2.46185 # DEPENDENCYPART_ARC
(13,5),-1.06736 # DEPENDENCYPART_ARC
(13,6),-1.6983 # DEPENDENCYPART_ARC
(13,7),-1.8648 # DEPENDENCYPART_ARC
(13,8),-1.97753 # DEPENDENCYPART_ARC
(13,9),-1.14653 # DEPENDENCYPART_ARC
(13,10),-1.25567 # DEPENDENCYPART_ARC
(13,11),-1.11171 # DEPENDENCYPART_ARC
(13,12),-0.1868 # DEPENDENCYPART_ARC
(13,14),3.68947 # DEPENDENCYPART_ARC
(13,15),1.36984 # DEPENDENCYPART_ARC
(13,16),1.37071 # DEPENDENCYPART_ARC
(13,17),0.49198 # DEPENDENCYPART_ARC
(13,18),-0.244197 # DEPENDENCYPART_ARC
(13,19),-0.324727 # DEPENDENCYPART_ARC
(13,20),-0.645733 # DEPENDENCYPART_ARC
(13,21),-0.921855 # DEPENDENCYPART_ARC
(13,22),-2.55831 # DEPENDENCYPART_ARC
(13,23),-2.61432 # DEPENDENCYPART_ARC
(13,24),-2.31844 # DEPENDENCYPART_ARC
(13,25),-2.27398 # DEPENDENCYPART_ARC
(13,26),-4.46274 # DEPENDENCYPART_ARC
(13,27),-3.62996 # DEPENDENCYPART_ARC
(13,28),-2.6953 # DEPENDENCYPART_ARC
(13,29),-2.66889 # DEPENDENCYPART_ARC
(13,30),-3.44795 # DEPENDENCYPART_ARC
(13,31),-2.25569 # DEPENDENCYPART_ARC
(13,32),-2.60075 # DEPENDENCYPART_ARC
(13,33),-3.51647 # DEPENDENCYPART_ARC
(13,34),-2.68259 # DEPENDENCYPART_ARC
(14,1),-2.76983 # DEPENDENCYPART_ARC
(14,2),-3.49908 # DEPENDENCYPART_ARC
(14,3),-2.42895 # DEPENDENCYPART_ARC
(14,4),-2.82112 # DEPENDENCYPART_ARC
(14,5),-1.85194 # DEPENDENCYPART_ARC
(14,6),-1.15636 # DEPENDENCYPART_ARC
(14,7),-3.1831 # DEPENDENCYPART_ARC
(14,8),-1.36961 # DEPENDENCYPART_ARC
(14,9),-1.48851 # DEPENDENCYPART_ARC
(14,10),-2.27787 # DEPENDENCYPART_ARC
(14,11),-1.11696 # DEPENDENCYPART_ARC
(14,12),-1.64957 # DEPENDENCYPART_ARC
(14,13),0.667525 # DEPENDENCYPART_ARC
(14,15),0.777304 # DEPENDENCYPART_ARC
(14,16),0.509617 # DEPENDENCYPART_ARC
(14,17),0.340645 # DEPENDENCYPART_ARC
(14,18),0.128122 # DEPENDENCYPART_ARC
(14,19),-0.525459 # DEPENDENCYPART_ARC
(14,20),-1.60166 # DEPENDENCYPART_ARC
(14,21),-1.48192 # DEPENDENCYPART_ARC
(14,22),-0.958429 # DEPENDENCYPART_ARC
(14,23),-2.23376 # DEPENDENCYPART_ARC
(14,24),-2.19335 # DEPENDENCYPART_ARC
(14,25),-2.39114 # DEPENDENCYPART_ARC
(14,26),-1.4953 # DEPENDENCYPART_ARC
(14,27),-2.72398 # DEPENDENCYPART_ARC
(14,28),-1.75362 # DEPENDENCYPART_ARC
(14,29),-1.79087 # DEPENDENCYPART_ARC
(14,30),-2.80415 # DEPENDENCYPART_ARC
(14,31),-1.57639 # DEPENDENCYPART_ARC
(14,32),-1.45154 # DEPENDENCYPART_ARC
(14,33),-2.09645 # DEPENDENCYPART_ARC
(14,34),-2.95246 # DEPENDENCYPART_ARC
(15,1),-2.84453 # DEPENDENCYPART_ARC
(15,2),-2.93397 # DEPENDENCYPART_ARC
(15,3),-2.01789 # DEPENDENCYPART_ARC
(15,4),-2.75853 # DEPENDENCYPART_ARC
(15,5),-1.56296 # DEPENDENCYPART_ARC
(15,6),-1.78925 # DEPENDENCYPART_ARC
(15,7),-2.68517 # DEPENDENCYPART_ARC
