# _root_ Montale era pago della pubblicazione e non ebbe alcun contratto : si prodigò , anzi , per far prenotare duecentoquaranta copie da amici e conoscenti .
#goldHeads=2,0,2,3,4,2,8,2,10,8,10,13,0,13,13,15,13,17,18,21,19,19,22,23,23,25,
#predictedHeads=2,0,2,3,4,4,8,2,10,8,10,13,8,13,13,15,13,17,18,21,19,19,22,23,23,25,
(15,20),-0.615251 # DEPENDENCYPART_ARC
(15,21),-1.00523 # DEPENDENCYPART_ARC
(15,22),-1.23756 # DEPENDENCYPART_ARC
(15,23),-1.07516 # DEPENDENCYPART_ARC
(15,24),-0.341772 # DEPENDENCYPART_ARC
(15,25),-1.17513 # DEPENDENCYPART_ARC
(15,26),-0.583278 # DEPENDENCYPART_ARC
(16,1),-2.944 # DEPENDENCYPART_ARC
(16,2),-3.1797 # DEPENDENCYPART_ARC
(16,3),-2.67747 # DEPENDENCYPART_ARC
(16,4),-2.25943 # DEPENDENCYPART_ARC
(16,5),-2.83007 # DEPENDENCYPART_ARC
(16,6),-2.31778 # DEPENDENCYPART_ARC
(16,7),-2.45283 # DEPENDENCYPART_ARC
(16,8),-3.02883 # DEPENDENCYPART_ARC
(16,9),-2.20842 # DEPENDENCYPART_ARC
(16,10),-2.60309 # DEPENDENCYPART_ARC
(16,11),-2.2196 # DEPENDENCYPART_ARC
(16,12),-2.06207 # DEPENDENCYPART_ARC
(16,13),-2.35 # DEPENDENCYPART_ARC
(16,14),-1.31018 # DEPENDENCYPART_ARC
(16,15),-0.584313 # DEPENDENCYPART_ARC
(16,17),-1.03381 # DEPENDENCYPART_ARC
(16,18),-1.19266 # DEPENDENCYPART_ARC
(16,19),-1.55433 # DEPENDENCYPART_ARC
(16,20),-1.83779 # DEPENDENCYPART_ARC
(16,21),-2.13205 # DEPENDENCYPART_ARC
(16,22),-2.36713 # DEPENDENCYPART_ARC
(16,23),-2.28958 # DEPENDENCYPART_ARC
(16,24),-2.07719 # DEPENDENCYPART_ARC
(16,25),-2.38604 # DEPENDENCYPART_ARC
(16,26),-1.31389 # DEPENDENCYPART_ARC
(17,1),-2.34476 # DEPENDENCYPART_ARC
(17,2),-2.49357 # DEPENDENCYPART_ARC
(17,3),-2.31381 # DEPENDENCYPART_ARC
(17,4),-1.37875 # DEPENDENCYPART_ARC
(17,5),-2.13184 # DEPENDENCYPART_ARC
(17,6),-0.602074 # DEPENDENCYPART_ARC
(17,7),-1.03211 # DEPENDENCYPART_ARC
(17,8),-2.33786 # DEPENDENCYPART_ARC
(17,9),-1.5709 # DEPENDENCYPART_ARC
(17,10),-1.84627 # DEPENDENCYPART_ARC
(17,11),-1.77792 # DEPENDENCYPART_ARC
(17,12),-1.49913 # DEPENDENCYPART_ARC
(17,13),-1.9356 # DEPENDENCYPART_ARC
(17,14),-1.21976 # DEPENDENCYPART_ARC
(17,15),0.125679 # DEPENDENCYPART_ARC
(17,16),0.304968 # DEPENDENCYPART_ARC
(17,18),3.21048 # DEPENDENCYPART_ARC
(17,19),1.82923 # DEPENDENCYPART_ARC
(17,20),-0.183866 # DEPENDENCYPART_ARC
(17,21),0.175475 # DEPENDENCYPART_ARC
(17,22),-0.982071 # DEPENDENCYPART_ARC
(17,23),-0.889385 # DEPENDENCYPART_ARC
(17,24),0.24247 # DEPENDENCYPART_ARC
(17,25),-2.07202 # DEPENDENCYPART_ARC
(17,26),-0.966083 # DEPENDENCYPART_ARC
(18,1),-2.97389 # DEPENDENCYPART_ARC
(18,2),-4.18942 # DEPENDENCYPART_ARC
(18,3),-2.68223 # DEPENDENCYPART_ARC
(18,4),-4.54809 # DEPENDENCYPART_ARC
(18,5),-3.49063 # DEPENDENCYPART_ARC
(18,6),-2.79705 # DEPENDENCYPART_ARC
(18,7),-2.56163 # DEPENDENCYPART_ARC
(18,8),-3.69655 # DEPENDENCYPART_ARC
(18,9),-2.28442 # DEPENDENCYPART_ARC
(18,10),-2.89852 # DEPENDENCYPART_ARC
(18,11),-3.29069 # DEPENDENCYPART_ARC
(18,12),-1.95195 # DEPENDENCYPART_ARC
(18,13),-2.67741 # DEPENDENCYPART_ARC
(18,14),-3.05592 # DEPENDENCYPART_ARC
(18,15),-0.967064 # DEPENDENCYPART_ARC
(18,16),-2.21794 # DEPENDENCYPART_ARC
(18,17),0.190222 # DEPENDENCYPART_ARC
(18,19),2.7095 # DEPENDENCYPART_ARC
(18,20),0.443265 # DEPENDENCYPART_ARC
(18,21),1.34872 # DEPENDENCYPART_ARC
(18,22),0.806142 # DEPENDENCYPART_ARC
(18,23),0.465858 # DEPENDENCYPART_ARC
(18,24),0.393479 # DEPENDENCYPART_ARC
(18,25),-0.35078 # DEPENDENCYPART_ARC
(18,26),-0.515296 # DEPENDENCYPART_ARC
(19,1),-1.55686 # DEPENDENCYPART_ARC
(19,2),-3.69209 # DEPENDENCYPART_ARC
(19,3),-2.06708 # DEPENDENCYPART_ARC
(19,4),-3.33327 # DEPENDENCYPART_ARC
(19,5),-2.87539 # DEPENDENCYPART_ARC
(19,6),-2.49936 # DEPENDENCYPART_ARC
(19,7),-1.37416 # DEPENDENCYPART_ARC
(19,8),-3.28644 # DEPENDENCYPART_ARC
(19,9),-1.67503 # DEPENDENCYPART_ARC
(19,10),-1.88015 # DEPENDENCYPART_ARC
(19,11),-2.99548 # DEPENDENCYPART_ARC
(19,12),-1.08029 # DEPENDENCYPART_ARC
(19,13),-2.97993 # DEPENDENCYPART_ARC
(19,14),-2.96236 # DEPENDENCYPART_ARC
(19,15),-0.784451 # DEPENDENCYPART_ARC
(19,16),-2.42512 # DEPENDENCYPART_ARC
(19,17),0.496467 # DEPENDENCYPART_ARC
(19,18),1.74476 # DEPENDENCYPART_ARC
(19,20),0.953866 # DEPENDENCYPART_ARC
(19,21),3.1601 # DEPENDENCYPART_ARC
(19,22),1.84822 # DEPENDENCYPART_ARC
(19,23),1.23342 # DEPENDENCYPART_ARC
(19,24),0.820457 # DEPENDENCYPART_ARC
(19,25),0.500754 # DEPENDENCYPART_ARC
(19,26),-0.201729 # DEPENDENCYPART_ARC
(20,1),-2.29318 # DEPENDENCYPART_ARC
(20,2),-2.34826 # DEPENDENCYPART_ARC
(20,3),-1.67801 # DEPENDENCYPART_ARC
(20,4),-1.84636 # DEPENDENCYPART_ARC
(20,5),-2.38963 # DEPENDENCYPART_ARC
(20,6),-1.53471 # DEPENDENCYPART_ARC
