# _root_ Qui , da ogni angolo della Terra , arrivano 300 mila pazienti all' anno " serviti " da 800 medici e da 14 mila impiegati .
#goldHeads=9,1,9,5,3,5,6,7,0,12,10,9,9,13,16,12,16,16,20,18,18,18,25,23,22,25,
#predictedHeads=16,1,9,5,3,5,6,7,0,12,10,9,12,13,16,12,16,16,20,18,18,16,25,23,22,25,
(6,8),0.663687 # DEPENDENCYPART_ARC
(6,9),-1.29797 # DEPENDENCYPART_ARC
(6,10),-0.550164 # DEPENDENCYPART_ARC
(6,11),-0.743635 # DEPENDENCYPART_ARC
(6,12),-1.84829 # DEPENDENCYPART_ARC
(6,13),-0.790877 # DEPENDENCYPART_ARC
(6,14),-1.86426 # DEPENDENCYPART_ARC
(6,15),-0.947828 # DEPENDENCYPART_ARC
(6,16),-2.24903 # DEPENDENCYPART_ARC
(6,17),-0.747247 # DEPENDENCYPART_ARC
(6,18),-2.19124 # DEPENDENCYPART_ARC
(6,19),-1.55728 # DEPENDENCYPART_ARC
(6,20),-4.48342 # DEPENDENCYPART_ARC
(6,21),-0.277997 # DEPENDENCYPART_ARC
(6,22),-1.40621 # DEPENDENCYPART_ARC
(6,23),-1.78921 # DEPENDENCYPART_ARC
(6,24),-1.96125 # DEPENDENCYPART_ARC
(6,25),-5.53973 # DEPENDENCYPART_ARC
(6,26),-1.70116 # DEPENDENCYPART_ARC
(7,1),-1.80764 # DEPENDENCYPART_ARC
(7,2),-2.8805 # DEPENDENCYPART_ARC
(7,3),-1.17831 # DEPENDENCYPART_ARC
(7,4),0.458025 # DEPENDENCYPART_ARC
(7,5),-1.91122 # DEPENDENCYPART_ARC
(7,6),0.4153 # DEPENDENCYPART_ARC
(7,8),2.0344 # DEPENDENCYPART_ARC
(7,9),-0.783273 # DEPENDENCYPART_ARC
(7,10),-0.511879 # DEPENDENCYPART_ARC
(7,11),-0.834496 # DEPENDENCYPART_ARC
(7,12),-1.44206 # DEPENDENCYPART_ARC
(7,13),-0.764131 # DEPENDENCYPART_ARC
(7,14),-0.912858 # DEPENDENCYPART_ARC
(7,15),-1.33155 # DEPENDENCYPART_ARC
(7,16),-1.89774 # DEPENDENCYPART_ARC
(7,17),-2.2562 # DEPENDENCYPART_ARC
(7,18),-1.18622 # DEPENDENCYPART_ARC
(7,19),-1.599 # DEPENDENCYPART_ARC
(7,20),-2.09222 # DEPENDENCYPART_ARC
(7,21),-0.517052 # DEPENDENCYPART_ARC
(7,22),-1.54306 # DEPENDENCYPART_ARC
(7,23),-1.72466 # DEPENDENCYPART_ARC
(7,24),-1.81874 # DEPENDENCYPART_ARC
(7,25),-2.37578 # DEPENDENCYPART_ARC
(7,26),-3.01233 # DEPENDENCYPART_ARC
(8,2),-1.87313 # DEPENDENCYPART_ARC
(8,15),-1.88981 # DEPENDENCYPART_ARC
(8,17),-2.14478 # DEPENDENCYPART_ARC
(8,26),-1.97945 # DEPENDENCYPART_ARC
(9,1),-0.105468 # DEPENDENCYPART_ARC
(9,2),-1.87905 # DEPENDENCYPART_ARC
(9,3),0.683136 # DEPENDENCYPART_ARC
(9,4),-1.08119 # DEPENDENCYPART_ARC
(9,5),0.101528 # DEPENDENCYPART_ARC
(9,6),-0.0379852 # DEPENDENCYPART_ARC
(9,7),-0.0264504 # DEPENDENCYPART_ARC
(9,8),0.181847 # DEPENDENCYPART_ARC
(9,10),0.962914 # DEPENDENCYPART_ARC
(9,11),0.484573 # DEPENDENCYPART_ARC
(9,12),1.49196 # DEPENDENCYPART_ARC
(9,13),1.52892 # DEPENDENCYPART_ARC
(9,14),0.323639 # DEPENDENCYPART_ARC
(9,15),-0.350086 # DEPENDENCYPART_ARC
(9,16),0.246885 # DEPENDENCYPART_ARC
(9,17),-0.758633 # DEPENDENCYPART_ARC
(9,18),-0.19262 # DEPENDENCYPART_ARC
(9,19),-0.828927 # DEPENDENCYPART_ARC
(9,20),-0.37364 # DEPENDENCYPART_ARC
(9,21),0.593613 # DEPENDENCYPART_ARC
(9,22),-0.600585 # DEPENDENCYPART_ARC
(9,23),-0.907412 # DEPENDENCYPART_ARC
(9,24),-0.842971 # DEPENDENCYPART_ARC
(9,25),-0.978589 # DEPENDENCYPART_ARC
(9,26),-1.38805 # DEPENDENCYPART_ARC
(10,1),-1.30229 # DEPENDENCYPART_ARC
(10,2),-1.51626 # DEPENDENCYPART_ARC
(10,3),-1.35846 # DEPENDENCYPART_ARC
(10,4),-1.25322 # DEPENDENCYPART_ARC
(10,5),-1.63714 # DEPENDENCYPART_ARC
(10,6),-0.944089 # DEPENDENCYPART_ARC
(10,7),-1.16905 # DEPENDENCYPART_ARC
(10,8),-0.348223 # DEPENDENCYPART_ARC
(10,9),0.145279 # DEPENDENCYPART_ARC
(10,11),2.83365 # DEPENDENCYPART_ARC
(10,12),0.612582 # DEPENDENCYPART_ARC
(10,13),0.391503 # DEPENDENCYPART_ARC
(10,14),0.0854396 # DEPENDENCYPART_ARC
(10,15),0.0412686 # DEPENDENCYPART_ARC
(10,16),-0.265692 # DEPENDENCYPART_ARC
(10,17),-0.168888 # DEPENDENCYPART_ARC
(10,18),-0.764967 # DEPENDENCYPART_ARC
(10,19),0.0721468 # DEPENDENCYPART_ARC
(10,20),-0.481459 # DEPENDENCYPART_ARC
(10,21),-0.113376 # DEPENDENCYPART_ARC
(10,22),-1.01009 # DEPENDENCYPART_ARC
(10,23),-0.358312 # DEPENDENCYPART_ARC
(10,24),0.553602 # DEPENDENCYPART_ARC
(10,25),-0.638109 # DEPENDENCYPART_ARC
(10,26),-0.671379 # DEPENDENCYPART_ARC
(11,1),-0.965932 # DEPENDENCYPART_ARC
(11,2),-1.18511 # DEPENDENCYPART_ARC
(11,3),-1.09047 # DEPENDENCYPART_ARC
(11,4),-0.835454 # DEPENDENCYPART_ARC
(11,5),-1.45146 # DEPENDENCYPART_ARC
(11,6),-0.705414 # DEPENDENCYPART_ARC
(11,7),-1.1541 # DEPENDENCYPART_ARC
(11,8),-0.447044 # DEPENDENCYPART_ARC
(11,9),-0.367663 # DEPENDENCYPART_ARC
(11,10),1.07641 # DEPENDENCYPART_ARC
(11,12),0.789032 # DEPENDENCYPART_ARC
(11,13),0.0026088 # DEPENDENCYPART_ARC
(11,14),-0.344897 # DEPENDENCYPART_ARC
(11,15),-0.436237 # DEPENDENCYPART_ARC
(11,16),-0.83726 # DEPENDENCYPART_ARC
(11,17),-0.632739 # DEPENDENCYPART_ARC
(11,18),-1.33548 # DEPENDENCYPART_ARC
(11,19),-0.537906 # DEPENDENCYPART_ARC
(11,20),-1.13877 # DEPENDENCYPART_ARC
(11,21),-0.190428 # DEPENDENCYPART_ARC
(11,22),-1.55071 # DEPENDENCYPART_ARC
(11,23),-0.827722 # DEPENDENCYPART_ARC
(11,24),0.18486 # DEPENDENCYPART_ARC
(11,25),-1.09685 # DEPENDENCYPART_ARC
(11,26),-1.24838 # DEPENDENCYPART_ARC
(12,1),-1.26457 # DEPENDENCYPART_ARC
(12,2),-2.47012 # DEPENDENCYPART_ARC
(12,3),-1.08601 # DEPENDENCYPART_ARC
(12,4),-0.252499 # DEPENDENCYPART_ARC
(12,5),-2.20576 # DEPENDENCYPART_ARC
(12,6),-1.35725 # DEPENDENCYPART_ARC
(12,7),-1.914 # DEPENDENCYPART_ARC
(12,8),-1.71186 # DEPENDENCYPART_ARC
(12,9),-2.43374 # DEPENDENCYPART_ARC
(12,10),1.73156 # DEPENDENCYPART_ARC
(12,11),1.74115 # DEPENDENCYPART_ARC
(12,13),1.61925 # DEPENDENCYPART_ARC
(12,14),1.38433 # DEPENDENCYPART_ARC
(12,15),-0.0156926 # DEPENDENCYPART_ARC
(12,16),2.35502 # DEPENDENCYPART_ARC
(12,17),-0.831602 # DEPENDENCYPART_ARC
(12,18),-0.229656 # DEPENDENCYPART_ARC
(12,19),-0.520526 # DEPENDENCYPART_ARC
(12,20),0.297497 # DEPENDENCYPART_ARC
(12,21),0.212225 # DEPENDENCYPART_ARC
(12,22),-0.51034 # DEPENDENCYPART_ARC
(12,23),-0.709493 # DEPENDENCYPART_ARC
(12,24),-0.797196 # DEPENDENCYPART_ARC
(12,25),-0.296076 # DEPENDENCYPART_ARC
(12,26),-1.88047 # DEPENDENCYPART_ARC
(13,1),-1.77958 # DEPENDENCYPART_ARC
(13,2),-1.94727 # DEPENDENCYPART_ARC
(13,3),-1.33198 # DEPENDENCYPART_ARC
(13,4),-1.18149 # DEPENDENCYPART_ARC
(13,5),-2.5664 # DEPENDENCYPART_ARC
(13,6),-1.76615 # DEPENDENCYPART_ARC
(13,7),-2.78881 # DEPENDENCYPART_ARC
(13,8),-1.66951 # DEPENDENCYPART_ARC
(13,9),-2.51761 # DEPENDENCYPART_ARC
(13,10),-1.12791 # DEPENDENCYPART_ARC
(13,11),-0.853049 # DEPENDENCYPART_ARC
(13,12),-0.851886 # DEPENDENCYPART_ARC
(13,14),3.96018 # DEPENDENCYPART_ARC
(13,15),-0.46077 # DEPENDENCYPART_ARC
(13,16),-0.783057 # DEPENDENCYPART_ARC
(13,17),-0.485718 # DEPENDENCYPART_ARC
(13,18),-1.51987 # DEPENDENCYPART_ARC
(13,19),-1.0122 # DEPENDENCYPART_ARC
(13,20),-1.94404 # DEPENDENCYPART_ARC
(13,21),0.150875 # DEPENDENCYPART_ARC
(13,22),-0.893458 # DEPENDENCYPART_ARC
(13,23),-1.27086 # DEPENDENCYPART_ARC
(13,24),-1.59512 # DEPENDENCYPART_ARC
(13,25),-2.88514 # DEPENDENCYPART_ARC
(13,26),-1.67514 # DEPENDENCYPART_ARC
(14,1),-2.49374 # DEPENDENCYPART_ARC
(14,2),-3.80389 # DEPENDENCYPART_ARC
(14,3),-2.77631 # DEPENDENCYPART_ARC
(14,4),-1.20922 # DEPENDENCYPART_ARC
(14,5),-3.39191 # DEPENDENCYPART_ARC
(14,6),-2.41152 # DEPENDENCYPART_ARC
(14,7),-3.76706 # DEPENDENCYPART_ARC
(14,8),-3.41657 # DEPENDENCYPART_ARC
(14,9),-2.79328 # DEPENDENCYPART_ARC
(14,10),-0.967246 # DEPENDENCYPART_ARC
(14,11),-1.31638 # DEPENDENCYPART_ARC
(14,12),-1.26034 # DEPENDENCYPART_ARC
(14,13),0.423856 # DEPENDENCYPART_ARC
(14,15),1.33441 # DEPENDENCYPART_ARC
(14,16),-0.0719543 # DEPENDENCYPART_ARC
(14,17),-1.10256 # DEPENDENCYPART_ARC
(14,18),-1.17075 # DEPENDENCYPART_ARC
(14,19),-1.32083 # DEPENDENCYPART_ARC
(14,20),-1.52671 # DEPENDENCYPART_ARC
(14,21),-0.561688 # DEPENDENCYPART_ARC
(14,22),-1.60892 # DEPENDENCYPART_ARC
(14,23),-1.59616 # DEPENDENCYPART_ARC
(14,24),-1.59178 # DEPENDENCYPART_ARC
(14,25),-1.93627 # DEPENDENCYPART_ARC
(14,26),-1.9454 # DEPENDENCYPART_ARC
(15,2),-1.48412 # DEPENDENCYPART_ARC
(15,8),-1.31768 # DEPENDENCYPART_ARC
(15,17),-0.606189 # DEPENDENCYPART_ARC
(15,26),-0.917073 # DEPENDENCYPART_ARC
(16,1),0.137839 # DEPENDENCYPART_ARC
(16,2),-1.68233 # DEPENDENCYPART_ARC
(16,3),0.549222 # DEPENDENCYPART_ARC
(16,4),-1.29829 # DEPENDENCYPART_ARC
(16,5),-0.349386 # DEPENDENCYPART_ARC
(16,6),-0.743981 # DEPENDENCYPART_ARC
(16,7),-1.20609 # DEPENDENCYPART_ARC
(16,8),-0.96263 # DEPENDENCYPART_ARC
(16,9),0.96558 # DEPENDENCYPART_ARC
(16,10),0.205012 # DEPENDENCYPART_ARC
(16,11),0.351036 # DEPENDENCYPART_ARC
(16,12),0.809191 # DEPENDENCYPART_ARC
(16,13),0.71636 # DEPENDENCYPART_ARC
(16,14),-0.192576 # DEPENDENCYPART_ARC
(16,15),2.40898 # DEPENDENCYPART_ARC
(16,17),1.89306 # DEPENDENCYPART_ARC
(16,18),1.81258 # DEPENDENCYPART_ARC
(16,19),0.463061 # DEPENDENCYPART_ARC
(16,20),1.00511 # DEPENDENCYPART_ARC
(16,21),0.777066 # DEPENDENCYPART_ARC
(16,22),0.727994 # DEPENDENCYPART_ARC
(16,23),-0.100669 # DEPENDENCYPART_ARC
(16,24),0.0793924 # DEPENDENCYPART_ARC
(16,25),-0.114367 # DEPENDENCYPART_ARC
(16,26),-0.448539 # DEPENDENCYPART_ARC
(17,2),-1.74425 # DEPENDENCYPART_ARC
(17,8),-1.56096 # DEPENDENCYPART_ARC
(17,15),-0.694506 # DEPENDENCYPART_ARC
(17,26),-0.2762 # DEPENDENCYPART_ARC
(18,1),-1.29974 # DEPENDENCYPART_ARC
(18,2),-1.41594 # DEPENDENCYPART_ARC
(18,3),-0.967502 # DEPENDENCYPART_ARC
(18,4),-1.29526 # DEPENDENCYPART_ARC
(18,5),-1.6451 # DEPENDENCYPART_ARC
(18,6),-1.18789 # DEPENDENCYPART_ARC
(18,7),-1.70702 # DEPENDENCYPART_ARC
(18,8),-1.39972 # DEPENDENCYPART_ARC
(18,9),-2.00975 # DEPENDENCYPART_ARC
(18,10),-1.36885 # DEPENDENCYPART_ARC
(18,11),-1.29265 # DEPENDENCYPART_ARC
(18,12),-1.47842 # DEPENDENCYPART_ARC
(18,13),-0.640201 # DEPENDENCYPART_ARC
(18,14),-1.13585 # DEPENDENCYPART_ARC
(18,15),-0.606188 # DEPENDENCYPART_ARC
(18,16),-0.586163 # DEPENDENCYPART_ARC
(18,17),0.866349 # DEPENDENCYPART_ARC
(18,19),1.1859 # DEPENDENCYPART_ARC
(18,20),2.75251 # DEPENDENCYPART_ARC
(18,21),1.44615 # DEPENDENCYPART_ARC
(18,22),0.684111 # DEPENDENCYPART_ARC
(18,23),-0.309915 # DEPENDENCYPART_ARC
(18,24),-0.468914 # DEPENDENCYPART_ARC
(18,25),0.0165971 # DEPENDENCYPART_ARC
(18,26),-0.81362 # DEPENDENCYPART_ARC
(19,1),-2.30867 # DEPENDENCYPART_ARC
(19,2),-2.43128 # DEPENDENCYPART_ARC
(19,3),-2.74651 # DEPENDENCYPART_ARC
(19,4),-2.17148 # DEPENDENCYPART_ARC
(19,5),-2.91061 # DEPENDENCYPART_ARC
(19,6),-2.55423 # DEPENDENCYPART_ARC
(19,7),-2.79653 # DEPENDENCYPART_ARC
(19,8),-2.37824 # DEPENDENCYPART_ARC
(19,9),-2.99407 # DEPENDENCYPART_ARC
(19,10),-2.32942 # DEPENDENCYPART_ARC
(19,11),-2.23406 # DEPENDENCYPART_ARC
(19,12),-2.58342 # DEPENDENCYPART_ARC
(19,13),-2.13821 # DEPENDENCYPART_ARC
(19,14),-2.40034 # DEPENDENCYPART_ARC
(19,15),-1.69509 # DEPENDENCYPART_ARC
(19,16),-2.11418 # DEPENDENCYPART_ARC
(19,17),-0.772427 # DEPENDENCYPART_ARC
(19,18),0.0149572 # DEPENDENCYPART_ARC
(19,20),0.998224 # DEPENDENCYPART_ARC
(19,21),-0.269654 # DEPENDENCYPART_ARC
(19,22),-0.742164 # DEPENDENCYPART_ARC
(19,23),-0.176003 # DEPENDENCYPART_ARC
(19,24),0.324254 # DEPENDENCYPART_ARC
(19,25),-0.541288 # DEPENDENCYPART_ARC
(19,26),-0.716898 # DEPENDENCYPART_ARC
(20,1),-1.82838 # DEPENDENCYPART_ARC
(20,2),-2.98557 # DEPENDENCYPART_ARC
(20,3),-2.29478 # DEPENDENCYPART_ARC
(20,4),-0.678532 # DEPENDENCYPART_ARC
(20,5),-2.53089 # DEPENDENCYPART_ARC
(20,6),-2.28089 # DEPENDENCYPART_ARC
(20,7),-2.92974 # DEPENDENCYPART_ARC
(20,8),-2.70265 # DEPENDENCYPART_ARC
(20,9),-2.59957 # DEPENDENCYPART_ARC
(20,10),-0.665508 # DEPENDENCYPART_ARC
(20,11),-1.4042 # DEPENDENCYPART_ARC
(20,12),-1.18285 # DEPENDENCYPART_ARC
(20,13),-1.29362 # DEPENDENCYPART_ARC
(20,14),-1.89192 # DEPENDENCYPART_ARC
(20,15),-0.818642 # DEPENDENCYPART_ARC
(20,16),0.304173 # DEPENDENCYPART_ARC
(20,17),-0.22846 # DEPENDENCYPART_ARC
(20,18),0.475189 # DEPENDENCYPART_ARC
(20,19),2.63524 # DEPENDENCYPART_ARC
(20,21),0.779657 # DEPENDENCYPART_ARC
(20,22),0.0709089 # DEPENDENCYPART_ARC
(20,23),0.106678 # DEPENDENCYPART_ARC
(20,24),-0.242141 # DEPENDENCYPART_ARC
(20,25),1.02585 # DEPENDENCYPART_ARC
(20,26),-0.431643 # DEPENDENCYPART_ARC
(21,1),-2.25639 # DEPENDENCYPART_ARC
(21,2),-2.08492 # DEPENDENCYPART_ARC
(21,3),-2.34874 # DEPENDENCYPART_ARC
(21,5),-3.31244 # DEPENDENCYPART_ARC
(21,6),-2.31628 # DEPENDENCYPART_ARC
(21,7),-3.1597 # DEPENDENCYPART_ARC
(21,8),-2.05187 # DEPENDENCYPART_ARC
(21,9),-2.812 # DEPENDENCYPART_ARC
(21,10),-2.25849 # DEPENDENCYPART_ARC
(21,11),-2.14997 # DEPENDENCYPART_ARC
(21,12),-2.82515 # DEPENDENCYPART_ARC
(21,13),-2.02049 # DEPENDENCYPART_ARC
(21,14),-2.62112 # DEPENDENCYPART_ARC
(21,15),-2.05673 # DEPENDENCYPART_ARC
(21,16),-2.48876 # DEPENDENCYPART_ARC
(21,17),-1.63094 # DEPENDENCYPART_ARC
(21,18),-1.11362 # DEPENDENCYPART_ARC
(21,19),-1.00842 # DEPENDENCYPART_ARC
(21,20),-0.607521 # DEPENDENCYPART_ARC
(21,22),-0.91576 # DEPENDENCYPART_ARC
(21,23),-0.942356 # DEPENDENCYPART_ARC
(21,24),-1.02361 # DEPENDENCYPART_ARC
(21,25),-1.37029 # DEPENDENCYPART_ARC
(21,26),-1.01361 # DEPENDENCYPART_ARC
(22,1),-2.99524 # DEPENDENCYPART_ARC
(22,2),-3.16954 # DEPENDENCYPART_ARC
(22,3),-2.66378 # DEPENDENCYPART_ARC
(22,4),-2.96738 # DEPENDENCYPART_ARC
(22,5),-3.4572 # DEPENDENCYPART_ARC
(22,6),-3.07547 # DEPENDENCYPART_ARC
(22,7),-3.45923 # DEPENDENCYPART_ARC
(22,8),-3.22733 # DEPENDENCYPART_ARC
(22,9),-3.763 # DEPENDENCYPART_ARC
(22,10),-3.13946 # DEPENDENCYPART_ARC
(22,11),-3.23164 # DEPENDENCYPART_ARC
(22,12),-3.34607 # DEPENDENCYPART_ARC
(22,13),-2.67004 # DEPENDENCYPART_ARC
(22,14),-3.24224 # DEPENDENCYPART_ARC
(22,15),-2.90328 # DEPENDENCYPART_ARC
(22,16),-3.51798 # DEPENDENCYPART_ARC
(22,17),-2.5848 # DEPENDENCYPART_ARC
(22,18),-1.99368 # DEPENDENCYPART_ARC
(22,19),-2.23256 # DEPENDENCYPART_ARC
(22,20),-2.19641 # DEPENDENCYPART_ARC
(22,21),-0.412965 # DEPENDENCYPART_ARC
(22,23),1.37332 # DEPENDENCYPART_ARC
(22,24),0.412989 # DEPENDENCYPART_ARC
(22,25),1.2632 # DEPENDENCYPART_ARC
(22,26),-0.706973 # DEPENDENCYPART_ARC
(23,1),-2.28516 # DEPENDENCYPART_ARC
(23,2),-2.36753 # DEPENDENCYPART_ARC
(23,3),-2.67262 # DEPENDENCYPART_ARC
(23,4),-2.08373 # DEPENDENCYPART_ARC
(23,5),-2.81685 # DEPENDENCYPART_ARC
(23,6),-2.62266 # DEPENDENCYPART_ARC
(23,7),-2.85605 # DEPENDENCYPART_ARC
(23,8),-2.26806 # DEPENDENCYPART_ARC
(23,9),-2.99081 # DEPENDENCYPART_ARC
(23,10),-2.37294 # DEPENDENCYPART_ARC
(23,11),-2.31038 # DEPENDENCYPART_ARC
(23,12),-2.76321 # DEPENDENCYPART_ARC
(23,13),-2.26217 # DEPENDENCYPART_ARC
(23,14),-2.5838 # DEPENDENCYPART_ARC
(23,15),-1.91605 # DEPENDENCYPART_ARC
(23,16),-2.64259 # DEPENDENCYPART_ARC
(23,17),-1.69115 # DEPENDENCYPART_ARC
(23,18),-1.52841 # DEPENDENCYPART_ARC
(23,19),-1.39332 # DEPENDENCYPART_ARC
(23,20),-1.6827 # DEPENDENCYPART_ARC
(23,21),-0.933012 # DEPENDENCYPART_ARC
(23,22),0.136714 # DEPENDENCYPART_ARC
(23,24),2.82523 # DEPENDENCYPART_ARC
