# _root_ Ma dopo un violento alterco , De Stasio ha estratto una pistola e sparato contro il fidanzato della figlia , allontanando- si poi con la moglie .
#goldHeads=10,10,5,5,2,5,10,7,10,0,12,10,10,10,14,17,15,17,18,19,14,21,21,21,26,24,26,
#predictedHeads=10,10,5,5,2,5,10,7,10,0,12,10,10,10,14,17,15,17,18,19,10,21,21,21,26,24,26,
(3,4),0.18921 # DEPENDENCYPART_ARC
(3,5),0.364324 # DEPENDENCYPART_ARC
(3,6),0.137931 # DEPENDENCYPART_ARC
(3,7),0.0864313 # DEPENDENCYPART_ARC
(3,8),0.0113273 # DEPENDENCYPART_ARC
(3,9),-0.515026 # DEPENDENCYPART_ARC
(3,10),-0.842595 # DEPENDENCYPART_ARC
(3,11),-1.52101 # DEPENDENCYPART_ARC
(3,12),-0.866553 # DEPENDENCYPART_ARC
(3,13),-0.525754 # DEPENDENCYPART_ARC
(3,14),-1.12758 # DEPENDENCYPART_ARC
(3,15),-0.972206 # DEPENDENCYPART_ARC
(3,16),-1.71599 # DEPENDENCYPART_ARC
(3,17),-0.884684 # DEPENDENCYPART_ARC
(3,18),-1.04706 # DEPENDENCYPART_ARC
(3,19),-1.02557 # DEPENDENCYPART_ARC
(3,20),-0.804818 # DEPENDENCYPART_ARC
(3,21),-1.22606 # DEPENDENCYPART_ARC
(3,22),-2.21172 # DEPENDENCYPART_ARC
(3,23),-1.39667 # DEPENDENCYPART_ARC
(3,24),-1.32643 # DEPENDENCYPART_ARC
(3,25),-1.91916 # DEPENDENCYPART_ARC
(3,26),-1.10606 # DEPENDENCYPART_ARC
(3,27),-1.33591 # DEPENDENCYPART_ARC
(4,1),-0.293734 # DEPENDENCYPART_ARC
(4,2),0.46258 # DEPENDENCYPART_ARC
(4,3),1.51353 # DEPENDENCYPART_ARC
(4,5),1.35463 # DEPENDENCYPART_ARC
(4,6),0.000953256 # DEPENDENCYPART_ARC
(4,7),0.142069 # DEPENDENCYPART_ARC
(4,8),0.158666 # DEPENDENCYPART_ARC
(4,9),-1.26635 # DEPENDENCYPART_ARC
(4,10),-0.583894 # DEPENDENCYPART_ARC
(4,11),-1.20191 # DEPENDENCYPART_ARC
(4,12),-0.998932 # DEPENDENCYPART_ARC
(4,13),-0.444275 # DEPENDENCYPART_ARC
(4,14),-0.738082 # DEPENDENCYPART_ARC
(4,15),-1.19237 # DEPENDENCYPART_ARC
(4,16),-1.31202 # DEPENDENCYPART_ARC
(4,17),-1.28141 # DEPENDENCYPART_ARC
(4,18),-1.01008 # DEPENDENCYPART_ARC
(4,19),-1.40354 # DEPENDENCYPART_ARC
(4,20),-1.88873 # DEPENDENCYPART_ARC
(4,21),-1.79136 # DEPENDENCYPART_ARC
(4,22),-2.50469 # DEPENDENCYPART_ARC
(4,23),-1.61136 # DEPENDENCYPART_ARC
(4,24),-1.78776 # DEPENDENCYPART_ARC
(4,25),-1.65445 # DEPENDENCYPART_ARC
(4,26),-1.63366 # DEPENDENCYPART_ARC
(4,27),-2.55767 # DEPENDENCYPART_ARC
(5,1),-0.570074 # DEPENDENCYPART_ARC
(5,2),0.265789 # DEPENDENCYPART_ARC
(5,3),3.04334 # DEPENDENCYPART_ARC
(5,4),3.93869 # DEPENDENCYPART_ARC
(5,6),2.34526 # DEPENDENCYPART_ARC
(5,7),1.63463 # DEPENDENCYPART_ARC
(5,8),1.13467 # DEPENDENCYPART_ARC
(5,9),0.650716 # DEPENDENCYPART_ARC
(5,10),0.428187 # DEPENDENCYPART_ARC
(5,11),-0.426783 # DEPENDENCYPART_ARC
(5,12),-0.0791349 # DEPENDENCYPART_ARC
(5,13),0.680146 # DEPENDENCYPART_ARC
(5,14),-0.421687 # DEPENDENCYPART_ARC
(5,15),0.0128735 # DEPENDENCYPART_ARC
(5,16),-0.802554 # DEPENDENCYPART_ARC
(5,17),-0.412963 # DEPENDENCYPART_ARC
(5,18),-0.316816 # DEPENDENCYPART_ARC
(5,19),-0.432507 # DEPENDENCYPART_ARC
(5,20),0.402232 # DEPENDENCYPART_ARC
(5,21),-2.79972 # DEPENDENCYPART_ARC
(5,22),-1.8881 # DEPENDENCYPART_ARC
(5,23),-1.22304 # DEPENDENCYPART_ARC
(5,24),-1.03195 # DEPENDENCYPART_ARC
(5,25),-0.694504 # DEPENDENCYPART_ARC
(5,26),-1.31546 # DEPENDENCYPART_ARC
(5,27),-2.68259 # DEPENDENCYPART_ARC
(6,1),-2.2263 # DEPENDENCYPART_ARC
(6,2),-1.82721 # DEPENDENCYPART_ARC
(6,3),-1.58959 # DEPENDENCYPART_ARC
(6,4),-1.68411 # DEPENDENCYPART_ARC
(6,5),-1.05742 # DEPENDENCYPART_ARC
(6,7),-0.928433 # DEPENDENCYPART_ARC
(6,8),-1.65399 # DEPENDENCYPART_ARC
(6,9),-1.80924 # DEPENDENCYPART_ARC
(6,10),-2.17249 # DEPENDENCYPART_ARC
(6,11),-2.5535 # DEPENDENCYPART_ARC
(6,12),-2.74997 # DEPENDENCYPART_ARC
(6,13),-2.49181 # DEPENDENCYPART_ARC
(6,14),-2.49994 # DEPENDENCYPART_ARC
(6,15),-2.90398 # DEPENDENCYPART_ARC
(6,16),-2.75849 # DEPENDENCYPART_ARC
(6,17),-2.99998 # DEPENDENCYPART_ARC
(6,18),-3.02719 # DEPENDENCYPART_ARC
(6,19),-3.0687 # DEPENDENCYPART_ARC
(6,20),-1.81956 # DEPENDENCYPART_ARC
(6,21),-2.91543 # DEPENDENCYPART_ARC
(6,22),-2.96779 # DEPENDENCYPART_ARC
(6,23),-3.06673 # DEPENDENCYPART_ARC
(6,24),-3.06719 # DEPENDENCYPART_ARC
(6,25),-2.99685 # DEPENDENCYPART_ARC
(6,26),-3.18844 # DEPENDENCYPART_ARC
(6,27),-2.42328 # DEPENDENCYPART_ARC
(7,1),-1.29999 # DEPENDENCYPART_ARC
(7,2),-0.855586 # DEPENDENCYPART_ARC
(7,3),0.26453 # DEPENDENCYPART_ARC
(7,4),-0.343743 # DEPENDENCYPART_ARC
(7,5),-2.1913 # DEPENDENCYPART_ARC
(7,6),0.870743 # DEPENDENCYPART_ARC
(7,8),3.0314 # DEPENDENCYPART_ARC
(7,9),0.591786 # DEPENDENCYPART_ARC
(7,10),0.647859 # DEPENDENCYPART_ARC
(7,11),-0.0201004 # DEPENDENCYPART_ARC
(7,12),0.217994 # DEPENDENCYPART_ARC
(7,13),0.273095 # DEPENDENCYPART_ARC
(7,14),-0.395134 # DEPENDENCYPART_ARC
(7,15),-0.132464 # DEPENDENCYPART_ARC
(7,16),-0.721288 # DEPENDENCYPART_ARC
(7,17),-0.233786 # DEPENDENCYPART_ARC
(7,18),-0.196585 # DEPENDENCYPART_ARC
(7,19),-0.651397 # DEPENDENCYPART_ARC
(7,20),-0.641592 # DEPENDENCYPART_ARC
(7,21),-2.48277 # DEPENDENCYPART_ARC
(7,22),-1.58411 # DEPENDENCYPART_ARC
(7,23),-1.21673 # DEPENDENCYPART_ARC
(7,24),-0.996633 # DEPENDENCYPART_ARC
(7,25),-0.402429 # DEPENDENCYPART_ARC
(7,26),-1.54931 # DEPENDENCYPART_ARC
(7,27),-3.07342 # DEPENDENCYPART_ARC
(8,1),-1.45692 # DEPENDENCYPART_ARC
(8,2),-0.881142 # DEPENDENCYPART_ARC
(8,3),-0.0788242 # DEPENDENCYPART_ARC
(8,4),-0.283129 # DEPENDENCYPART_ARC
(8,5),-2.29793 # DEPENDENCYPART_ARC
(8,6),-0.772216 # DEPENDENCYPART_ARC
(8,7),2.08992 # DEPENDENCYPART_ARC
(8,9),-0.0188633 # DEPENDENCYPART_ARC
(8,10),-0.676533 # DEPENDENCYPART_ARC
(8,11),-0.803773 # DEPENDENCYPART_ARC
(8,12),-0.47877 # DEPENDENCYPART_ARC
(8,13),-0.733376 # DEPENDENCYPART_ARC
(8,14),-1.45776 # DEPENDENCYPART_ARC
(8,15),-1.14053 # DEPENDENCYPART_ARC
(8,16),-1.59921 # DEPENDENCYPART_ARC
(8,17),-1.14501 # DEPENDENCYPART_ARC
(8,18),-1.18587 # DEPENDENCYPART_ARC
(8,19),-1.21943 # DEPENDENCYPART_ARC
(8,20),-1.14788 # DEPENDENCYPART_ARC
(8,21),-3.70445 # DEPENDENCYPART_ARC
(8,22),-2.43872 # DEPENDENCYPART_ARC
(8,23),-2.18431 # DEPENDENCYPART_ARC
(8,24),-1.86004 # DEPENDENCYPART_ARC
(8,25),-1.36027 # DEPENDENCYPART_ARC
(8,26),-1.84686 # DEPENDENCYPART_ARC
(8,27),-3.41368 # DEPENDENCYPART_ARC
(9,1),-0.220401 # DEPENDENCYPART_ARC
(9,2),0.576414 # DEPENDENCYPART_ARC
(9,3),-1.81611 # DEPENDENCYPART_ARC
(9,4),-1.22282 # DEPENDENCYPART_ARC
(9,5),-0.703637 # DEPENDENCYPART_ARC
(9,6),-1.75857 # DEPENDENCYPART_ARC
(9,7),0.568939 # DEPENDENCYPART_ARC
(9,8),0.350298 # DEPENDENCYPART_ARC
(9,10),0.740886 # DEPENDENCYPART_ARC
(9,11),-1.9621 # DEPENDENCYPART_ARC
(9,12),0.551983 # DEPENDENCYPART_ARC
(9,13),0.823348 # DEPENDENCYPART_ARC
(9,14),-0.388367 # DEPENDENCYPART_ARC
(9,15),-0.519279 # DEPENDENCYPART_ARC
(9,16),-2.63946 # DEPENDENCYPART_ARC
(9,17),-0.851365 # DEPENDENCYPART_ARC
(9,18),-2.13109 # DEPENDENCYPART_ARC
(9,19),-1.52734 # DEPENDENCYPART_ARC
(9,20),0.254596 # DEPENDENCYPART_ARC
(9,21),0.02596 # DEPENDENCYPART_ARC
(9,22),-1.68256 # DEPENDENCYPART_ARC
(9,23),-1.10429 # DEPENDENCYPART_ARC
(9,24),-0.422019 # DEPENDENCYPART_ARC
(9,25),-3.01788 # DEPENDENCYPART_ARC
(9,26),-1.28325 # DEPENDENCYPART_ARC
(9,27),-2.25651 # DEPENDENCYPART_ARC
(10,1),0.623033 # DEPENDENCYPART_ARC
(10,2),1.63895 # DEPENDENCYPART_ARC
(10,3),0.0663567 # DEPENDENCYPART_ARC
(10,4),0.0134915 # DEPENDENCYPART_ARC
(10,5),0.747657 # DEPENDENCYPART_ARC
(10,6),-1.2511 # DEPENDENCYPART_ARC
(10,7),2.63975 # DEPENDENCYPART_ARC
(10,8),2.06724 # DEPENDENCYPART_ARC
(10,9),5.09146 # DEPENDENCYPART_ARC
(10,11),-0.506536 # DEPENDENCYPART_ARC
(10,12),2.4714 # DEPENDENCYPART_ARC
(10,13),1.87783 # DEPENDENCYPART_ARC
(10,14),1.63821 # DEPENDENCYPART_ARC
(10,15),0.394927 # DEPENDENCYPART_ARC
(10,16),-2.00052 # DEPENDENCYPART_ARC
(10,17),-0.185289 # DEPENDENCYPART_ARC
(10,18),-0.706196 # DEPENDENCYPART_ARC
(10,19),-1.24235 # DEPENDENCYPART_ARC
(10,20),0.715798 # DEPENDENCYPART_ARC
(10,21),1.12621 # DEPENDENCYPART_ARC
(10,22),-1.73213 # DEPENDENCYPART_ARC
(10,23),-0.298567 # DEPENDENCYPART_ARC
(10,24),0.437559 # DEPENDENCYPART_ARC
(10,25),-2.46012 # DEPENDENCYPART_ARC
(10,26),-0.856634 # DEPENDENCYPART_ARC
(10,27),-1.72077 # DEPENDENCYPART_ARC
(11,1),-2.11513 # DEPENDENCYPART_ARC
(11,2),-1.98561 # DEPENDENCYPART_ARC
(11,3),-1.96183 # DEPENDENCYPART_ARC
(11,4),-2.18557 # DEPENDENCYPART_ARC
(11,5),-2.32887 # DEPENDENCYPART_ARC
(11,6),-1.69832 # DEPENDENCYPART_ARC
(11,7),-2.21849 # DEPENDENCYPART_ARC
(11,8),-1.91068 # DEPENDENCYPART_ARC
(11,9),-1.56071 # DEPENDENCYPART_ARC
(11,10),-1.11265 # DEPENDENCYPART_ARC
(11,12),1.02306 # DEPENDENCYPART_ARC
(11,13),-0.181848 # DEPENDENCYPART_ARC
(11,14),-0.664328 # DEPENDENCYPART_ARC
(11,15),-0.401864 # DEPENDENCYPART_ARC
(11,16),-1.64867 # DEPENDENCYPART_ARC
(11,17),-1.06986 # DEPENDENCYPART_ARC
(11,18),-0.49921 # DEPENDENCYPART_ARC
(11,19),-0.792465 # DEPENDENCYPART_ARC
(11,20),-0.636285 # DEPENDENCYPART_ARC
(11,21),-1.28504 # DEPENDENCYPART_ARC
(11,22),-2.04541 # DEPENDENCYPART_ARC
(11,23),-1.36638 # DEPENDENCYPART_ARC
(11,24),-1.0713 # DEPENDENCYPART_ARC
(11,25),-1.54307 # DEPENDENCYPART_ARC
(11,26),-0.954709 # DEPENDENCYPART_ARC
(11,27),-1.11349 # DEPENDENCYPART_ARC
(12,1),-1.93735 # DEPENDENCYPART_ARC
(12,2),-1.25692 # DEPENDENCYPART_ARC
(12,3),-1.51775 # DEPENDENCYPART_ARC
(12,4),-0.682461 # DEPENDENCYPART_ARC
(12,5),-2.74663 # DEPENDENCYPART_ARC
(12,6),-2.17727 # DEPENDENCYPART_ARC
(12,7),-1.50476 # DEPENDENCYPART_ARC
(12,8),-1.39951 # DEPENDENCYPART_ARC
(12,9),-0.554867 # DEPENDENCYPART_ARC
(12,10),0.24375 # DEPENDENCYPART_ARC
(12,11),3.69251 # DEPENDENCYPART_ARC
(12,13),0.912331 # DEPENDENCYPART_ARC
(12,14),0.618229 # DEPENDENCYPART_ARC
(12,15),0.549649 # DEPENDENCYPART_ARC
(12,16),-0.751741 # DEPENDENCYPART_ARC
(12,17),0.584757 # DEPENDENCYPART_ARC
(12,18),0.922353 # DEPENDENCYPART_ARC
(12,19),0.237273 # DEPENDENCYPART_ARC
(12,20),-0.0584068 # DEPENDENCYPART_ARC
(12,21),-1.78368 # DEPENDENCYPART_ARC
(12,22),-1.46981 # DEPENDENCYPART_ARC
(12,23),-0.969032 # DEPENDENCYPART_ARC
(12,24),-0.709575 # DEPENDENCYPART_ARC
(12,25),-0.612371 # DEPENDENCYPART_ARC
(12,26),-0.516043 # DEPENDENCYPART_ARC
(12,27),-2.13834 # DEPENDENCYPART_ARC
(13,1),-1.762 # DEPENDENCYPART_ARC
(13,2),-2.22305 # DEPENDENCYPART_ARC
(13,3),-2.02708 # DEPENDENCYPART_ARC
(13,4),-2.44045 # DEPENDENCYPART_ARC
(13,5),-2.77324 # DEPENDENCYPART_ARC
(13,6),-2.09148 # DEPENDENCYPART_ARC
(13,7),-2.52109 # DEPENDENCYPART_ARC
(13,8),-2.29605 # DEPENDENCYPART_ARC
(13,9),-2.4544 # DEPENDENCYPART_ARC
(13,10),-2.06178 # DEPENDENCYPART_ARC
(13,11),-0.727502 # DEPENDENCYPART_ARC
(13,12),-0.727362 # DEPENDENCYPART_ARC
(13,14),0.274847 # DEPENDENCYPART_ARC
(13,15),-1.48004 # DEPENDENCYPART_ARC
(13,16),-1.65141 # DEPENDENCYPART_ARC
(13,17),-1.31182 # DEPENDENCYPART_ARC
(13,18),-1.83776 # DEPENDENCYPART_ARC
(13,19),-1.50435 # DEPENDENCYPART_ARC
(13,20),-0.800048 # DEPENDENCYPART_ARC
(13,21),-2.28055 # DEPENDENCYPART_ARC
(13,22),-2.24794 # DEPENDENCYPART_ARC
(13,23),-2.31344 # DEPENDENCYPART_ARC
(13,24),-2.0112 # DEPENDENCYPART_ARC
(13,25),-2.11462 # DEPENDENCYPART_ARC
(13,26),-1.73135 # DEPENDENCYPART_ARC
(13,27),-1.64863 # DEPENDENCYPART_ARC
(14,1),-1.80448 # DEPENDENCYPART_ARC
(14,2),-0.771977 # DEPENDENCYPART_ARC
(14,3),-2.1993 # DEPENDENCYPART_ARC
(14,4),-2.34212 # DEPENDENCYPART_ARC
(14,5),-2.03196 # DEPENDENCYPART_ARC
(14,6),-3.45909 # DEPENDENCYPART_ARC
(14,7),-0.708569 # DEPENDENCYPART_ARC
(14,8),-1.20638 # DEPENDENCYPART_ARC
(14,9),-0.819208 # DEPENDENCYPART_ARC
(14,10),-1.73035 # DEPENDENCYPART_ARC
(14,11),-1.52838 # DEPENDENCYPART_ARC
(14,12),-1.22836 # DEPENDENCYPART_ARC
(14,13),-0.113261 # DEPENDENCYPART_ARC
(14,15),2.37116 # DEPENDENCYPART_ARC
(14,16),-1.10944 # DEPENDENCYPART_ARC
(14,17),1.08093 # DEPENDENCYPART_ARC
(14,18),0.917049 # DEPENDENCYPART_ARC
(14,19),-0.201127 # DEPENDENCYPART_ARC
(14,20),0.538231 # DEPENDENCYPART_ARC
(14,21),1.05233 # DEPENDENCYPART_ARC
(14,22),-1.42255 # DEPENDENCYPART_ARC
(14,23),0.0361213 # DEPENDENCYPART_ARC
(14,24),0.615216 # DEPENDENCYPART_ARC
(14,25),-2.25268 # DEPENDENCYPART_ARC
(14,26),-0.656693 # DEPENDENCYPART_ARC
(14,27),-1.47184 # DEPENDENCYPART_ARC
(15,1),-2.04632 # DEPENDENCYPART_ARC
(15,2),-1.8695 # DEPENDENCYPART_ARC
(15,3),-2.04922 # DEPENDENCYPART_ARC
(15,4),-2.44474 # DEPENDENCYPART_ARC
(15,5),-2.25275 # DEPENDENCYPART_ARC
(15,6),-2.15928 # DEPENDENCYPART_ARC
(15,7),-2.17802 # DEPENDENCYPART_ARC
(15,8),-2.05628 # DEPENDENCYPART_ARC
(15,9),-2.38395 # DEPENDENCYPART_ARC
(15,10),-2.31826 # DEPENDENCYPART_ARC
(15,11),-1.51957 # DEPENDENCYPART_ARC
(15,12),-1.39069 # DEPENDENCYPART_ARC
(15,13),-0.635362 # DEPENDENCYPART_ARC
(15,14),-0.304946 # DEPENDENCYPART_ARC
(15,16),0.899461 # DEPENDENCYPART_ARC
(15,17),3.36303 # DEPENDENCYPART_ARC
(15,18),0.274463 # DEPENDENCYPART_ARC
(15,19),1.32395 # DEPENDENCYPART_ARC
(15,20),0.209918 # DEPENDENCYPART_ARC
(15,21),0.0765796 # DEPENDENCYPART_ARC
(15,22),-0.319654 # DEPENDENCYPART_ARC
(15,23),-0.432119 # DEPENDENCYPART_ARC
(15,24),-0.0718159 # DEPENDENCYPART_ARC
(15,25),-0.846734 # DEPENDENCYPART_ARC
(15,26),-2.15328 # DEPENDENCYPART_ARC
(15,27),-0.72703 # DEPENDENCYPART_ARC
(16,1),-2.91787 # DEPENDENCYPART_ARC
(16,2),-3.1489 # DEPENDENCYPART_ARC
(16,3),-2.40517 # DEPENDENCYPART_ARC
(16,4),-2.81628 # DEPENDENCYPART_ARC
(16,5),-3.255 # DEPENDENCYPART_ARC
(16,6),-2.63617 # DEPENDENCYPART_ARC
(16,7),-3.29055 # DEPENDENCYPART_ARC
(16,8),-3.28561 # DEPENDENCYPART_ARC
(16,9),-3.52675 # DEPENDENCYPART_ARC
(16,10),-3.74859 # DEPENDENCYPART_ARC
(16,11),-2.25927 # DEPENDENCYPART_ARC
(16,12),-3.03958 # DEPENDENCYPART_ARC
(16,13),-2.11288 # DEPENDENCYPART_ARC
(16,14),-2.49356 # DEPENDENCYPART_ARC
(16,15),-0.579235 # DEPENDENCYPART_ARC
(16,17),1.16226 # DEPENDENCYPART_ARC
(16,18),-0.0250736 # DEPENDENCYPART_ARC
(16,19),-0.308134 # DEPENDENCYPART_ARC
(16,20),-0.572371 # DEPENDENCYPART_ARC
(16,21),-0.699298 # DEPENDENCYPART_ARC
(16,22),-2.00274 # DEPENDENCYPART_ARC
(16,23),-1.33938 # DEPENDENCYPART_ARC
(16,24),-0.976086 # DEPENDENCYPART_ARC
(16,25),-1.84703 # DEPENDENCYPART_ARC
(16,26),-0.90743 # DEPENDENCYPART_ARC
(16,27),-1.08393 # DEPENDENCYPART_ARC
(17,1),-2.55387 # DEPENDENCYPART_ARC
(17,2),-2.01096 # DEPENDENCYPART_ARC
(17,3),-2.58479 # DEPENDENCYPART_ARC
(17,4),-0.817852 # DEPENDENCYPART_ARC
(17,5),-3.05776 # DEPENDENCYPART_ARC
(17,6),-2.96014 # DEPENDENCYPART_ARC
(17,7),-2.59795 # DEPENDENCYPART_ARC
(17,8),-2.52663 # DEPENDENCYPART_ARC
(17,9),-2.27326 # DEPENDENCYPART_ARC
(17,10),-1.53256 # DEPENDENCYPART_ARC
(17,11),-1.12403 # DEPENDENCYPART_ARC
(17,12),-2.61632 # DEPENDENCYPART_ARC
(17,13),-1.05199 # DEPENDENCYPART_ARC
(17,14),-0.510861 # DEPENDENCYPART_ARC
(17,15),0.71109 # DEPENDENCYPART_ARC
(17,16),3.11206 # DEPENDENCYPART_ARC
(17,18),3.1006 # DEPENDENCYPART_ARC
(17,19),1.37215 # DEPENDENCYPART_ARC
(17,20),0.691051 # DEPENDENCYPART_ARC
(17,21),0.382529 # DEPENDENCYPART_ARC
(17,22),-1.33487 # DEPENDENCYPART_ARC
(17,23),-0.475777 # DEPENDENCYPART_ARC
(17,24),-0.0865001 # DEPENDENCYPART_ARC
(17,25),-0.450115 # DEPENDENCYPART_ARC
(17,26),-0.244267 # DEPENDENCYPART_ARC
(17,27),-0.923547 # DEPENDENCYPART_ARC
(18,1),-2.08013 # DEPENDENCYPART_ARC
(18,2),-2.10339 # DEPENDENCYPART_ARC
(18,3),-2.3251 # DEPENDENCYPART_ARC
(18,4),-2.7874 # DEPENDENCYPART_ARC
(18,5),-2.93932 # DEPENDENCYPART_ARC
(18,6),-2.3861 # DEPENDENCYPART_ARC
(18,7),-3.18263 # DEPENDENCYPART_ARC
(18,8),-3.01706 # DEPENDENCYPART_ARC
(18,9),-2.75116 # DEPENDENCYPART_ARC
(18,10),-3.3652 # DEPENDENCYPART_ARC
(18,11),-1.78537 # DEPENDENCYPART_ARC
(18,12),-2.46886 # DEPENDENCYPART_ARC
(18,13),-1.43021 # DEPENDENCYPART_ARC
(18,14),-2.99204 # DEPENDENCYPART_ARC
(18,15),-0.805896 # DEPENDENCYPART_ARC
(18,16),-0.74729 # DEPENDENCYPART_ARC
(18,17),-0.993431 # DEPENDENCYPART_ARC
(18,19),4.74919 # DEPENDENCYPART_ARC
(18,20),0.443946 # DEPENDENCYPART_ARC
(18,21),-0.297873 # DEPENDENCYPART_ARC
(18,22),-1.44324 # DEPENDENCYPART_ARC
(18,23),-0.933461 # DEPENDENCYPART_ARC
(18,24),-0.830517 # DEPENDENCYPART_ARC
(18,25),-1.40562 # DEPENDENCYPART_ARC
(18,26),-1.65488 # DEPENDENCYPART_ARC
(18,27),-0.770945 # DEPENDENCYPART_ARC
(19,1),-3.49056 # DEPENDENCYPART_ARC
(19,2),-3.06315 # DEPENDENCYPART_ARC
(19,3),-4.05711 # DEPENDENCYPART_ARC
(19,4),-2.38434 # DEPENDENCYPART_ARC
(19,5),-4.53578 # DEPENDENCYPART_ARC
(19,6),-3.49178 # DEPENDENCYPART_ARC
(19,7),-3.31968 # DEPENDENCYPART_ARC
(19,8),-3.60912 # DEPENDENCYPART_ARC
(19,9),-2.62465 # DEPENDENCYPART_ARC
(19,10),-2.40779 # DEPENDENCYPART_ARC
(19,11),-1.77032 # DEPENDENCYPART_ARC
(19,12),-3.35642 # DEPENDENCYPART_ARC
