# _root_ Come avesse contribuito all' Est alla repressione delle identità nazionali , etniche , religiose .
#goldHeads=2,3,0,3,4,3,6,7,8,9,10,10,10,10,14,
#predictedHeads=3,3,0,3,4,3,6,7,8,9,10,10,12,12,14,
(14,1),-1.98862 # DEPENDENCYPART_ARC
(14,2),-3.65672 # DEPENDENCYPART_ARC
(14,3),-3.83507 # DEPENDENCYPART_ARC
(14,4),-1.87495 # DEPENDENCYPART_ARC
(14,5),-2.20183 # DEPENDENCYPART_ARC
(14,6),-1.99915 # DEPENDENCYPART_ARC
(14,7),-2.0915 # DEPENDENCYPART_ARC
(14,8),-1.8572 # DEPENDENCYPART_ARC
(14,9),-1.75859 # DEPENDENCYPART_ARC
(14,10),-0.930012 # DEPENDENCYPART_ARC
(14,11),-0.912532 # DEPENDENCYPART_ARC
(14,12),0.0238028 # DEPENDENCYPART_ARC
(14,13),0.520894 # DEPENDENCYPART_ARC
(14,15),2.45101 # DEPENDENCYPART_ARC
(15,11),-1.28668 # DEPENDENCYPART_ARC
(15,13),-0.581412 # DEPENDENCYPART_ARC
