# _root_ Se il fulmine li avesse colpiti qualche minuto prima , quando erano ancora in vetta e ancora legati tra loro , forse si sarebbero salvati riportando magari soltanto delle ustioni .
#goldHeads=25,3,6,6,6,1,8,6,8,9,6,11,14,12,14,14,18,14,18,19,20,25,25,25,0,25,26,29,26,29,30,
#predictedHeads=6,3,6,6,6,0,8,6,8,9,6,11,12,12,14,14,18,6,18,19,20,25,24,25,6,25,26,26,26,29,30,
(2,10),-1.00094 # DEPENDENCYPART_ARC
(2,12),-1.85543 # DEPENDENCYPART_ARC
(2,14),-1.49427 # DEPENDENCYPART_ARC
(2,15),-1.68262 # DEPENDENCYPART_ARC
(2,18),-2.24058 # DEPENDENCYPART_ARC
(2,19),-1.5966 # DEPENDENCYPART_ARC
(2,21),-1.49184 # DEPENDENCYPART_ARC
(2,24),-2.35019 # DEPENDENCYPART_ARC
(2,25),-2.35135 # DEPENDENCYPART_ARC
(2,26),-1.85565 # DEPENDENCYPART_ARC
(2,29),-1.94966 # DEPENDENCYPART_ARC
(2,30),-2.47866 # DEPENDENCYPART_ARC
(2,31),-1.95537 # DEPENDENCYPART_ARC
(3,1),0.366693 # DEPENDENCYPART_ARC
(3,2),3.38056 # DEPENDENCYPART_ARC
(3,4),-0.0330128 # DEPENDENCYPART_ARC
(3,5),-0.007164 # DEPENDENCYPART_ARC
(3,6),0.0361361 # DEPENDENCYPART_ARC
(3,7),-0.381535 # DEPENDENCYPART_ARC
(3,8),-0.894301 # DEPENDENCYPART_ARC
(3,9),-1.27911 # DEPENDENCYPART_ARC
(3,10),-0.537768 # DEPENDENCYPART_ARC
(3,11),-1.2286 # DEPENDENCYPART_ARC
(3,12),-2.64111 # DEPENDENCYPART_ARC
(3,13),-1.51189 # DEPENDENCYPART_ARC
(3,14),-1.88884 # DEPENDENCYPART_ARC
(3,15),-1.66538 # DEPENDENCYPART_ARC
(3,16),-0.804131 # DEPENDENCYPART_ARC
(3,17),-1.64755 # DEPENDENCYPART_ARC
(3,18),-1.72438 # DEPENDENCYPART_ARC
(3,19),-2.27228 # DEPENDENCYPART_ARC
(3,20),-2.88493 # DEPENDENCYPART_ARC
(3,21),-1.76128 # DEPENDENCYPART_ARC
(3,22),-1.73227 # DEPENDENCYPART_ARC
(3,23),-3.46 # DEPENDENCYPART_ARC
(3,24),-3.3416 # DEPENDENCYPART_ARC
(3,25),-2.30737 # DEPENDENCYPART_ARC
(3,26),-3.47415 # DEPENDENCYPART_ARC
(3,27),-2.13306 # DEPENDENCYPART_ARC
(3,28),-2.0454 # DEPENDENCYPART_ARC
(3,29),-3.57198 # DEPENDENCYPART_ARC
(3,30),-3.34799 # DEPENDENCYPART_ARC
(3,31),-4.17226 # DEPENDENCYPART_ARC
(4,1),-0.863137 # DEPENDENCYPART_ARC
(4,3),-0.464596 # DEPENDENCYPART_ARC
(4,5),-0.584708 # DEPENDENCYPART_ARC
(4,6),-0.149937 # DEPENDENCYPART_ARC
(4,8),-1.67441 # DEPENDENCYPART_ARC
(4,9),-2.00363 # DEPENDENCYPART_ARC
(4,10),-1.32582 # DEPENDENCYPART_ARC
(4,11),-1.31589 # DEPENDENCYPART_ARC
(4,12),-3.23662 # DEPENDENCYPART_ARC
(4,13),-2.38543 # DEPENDENCYPART_ARC
(4,14),-2.50991 # DEPENDENCYPART_ARC
(4,15),-2.64634 # DEPENDENCYPART_ARC
(4,16),-1.60763 # DEPENDENCYPART_ARC
(4,17),-2.4943 # DEPENDENCYPART_ARC
(4,18),-1.68503 # DEPENDENCYPART_ARC
(4,19),-2.86921 # DEPENDENCYPART_ARC
(4,20),-1.81339 # DEPENDENCYPART_ARC
(4,21),-1.85252 # DEPENDENCYPART_ARC
(4,22),-2.60762 # DEPENDENCYPART_ARC
(4,23),-3.44822 # DEPENDENCYPART_ARC
(4,24),-3.55002 # DEPENDENCYPART_ARC
(4,25),-2.44099 # DEPENDENCYPART_ARC
(4,26),-3.10438 # DEPENDENCYPART_ARC
(4,27),-2.79872 # DEPENDENCYPART_ARC
(4,28),-2.99394 # DEPENDENCYPART_ARC
(4,29),-3.43295 # DEPENDENCYPART_ARC
(4,30),-2.54779 # DEPENDENCYPART_ARC
(4,31),-3.00199 # DEPENDENCYPART_ARC
(5,1),0.171065 # DEPENDENCYPART_ARC
(5,2),-0.81762 # DEPENDENCYPART_ARC
(5,3),0.660639 # DEPENDENCYPART_ARC
(5,4),2.16831 # DEPENDENCYPART_ARC
(5,6),1.35722 # DEPENDENCYPART_ARC
(5,7),-0.511887 # DEPENDENCYPART_ARC
(5,8),0.0526255 # DEPENDENCYPART_ARC
(5,9),-0.815148 # DEPENDENCYPART_ARC
(5,10),-0.0668427 # DEPENDENCYPART_ARC
(5,11),0.135673 # DEPENDENCYPART_ARC
(5,12),-0.63141 # DEPENDENCYPART_ARC
(5,13),-1.80016 # DEPENDENCYPART_ARC
(5,14),-1.14103 # DEPENDENCYPART_ARC
(5,15),-1.95224 # DEPENDENCYPART_ARC
(5,16),-0.364204 # DEPENDENCYPART_ARC
(5,17),-2.02141 # DEPENDENCYPART_ARC
(5,18),-0.698766 # DEPENDENCYPART_ARC
(5,19),-2.15858 # DEPENDENCYPART_ARC
(5,20),-1.90895 # DEPENDENCYPART_ARC
(5,21),-1.05874 # DEPENDENCYPART_ARC
(5,22),-2.21106 # DEPENDENCYPART_ARC
(5,23),-2.44736 # DEPENDENCYPART_ARC
(5,24),-1.57664 # DEPENDENCYPART_ARC
(5,25),-1.10394 # DEPENDENCYPART_ARC
(5,26),-0.981723 # DEPENDENCYPART_ARC
(5,27),-2.78724 # DEPENDENCYPART_ARC
(5,28),-2.50349 # DEPENDENCYPART_ARC
(5,29),-3.95896 # DEPENDENCYPART_ARC
(5,30),-4.13747 # DEPENDENCYPART_ARC
(5,31),-3.86884 # DEPENDENCYPART_ARC
(6,1),1.56534 # DEPENDENCYPART_ARC
(6,2),-0.254327 # DEPENDENCYPART_ARC
(6,3),0.684137 # DEPENDENCYPART_ARC
(6,4),2.79729 # DEPENDENCYPART_ARC
(6,5),3.48154 # DEPENDENCYPART_ARC
(6,7),0.642039 # DEPENDENCYPART_ARC
(6,8),2.19152 # DEPENDENCYPART_ARC
(6,9),0.736038 # DEPENDENCYPART_ARC
(6,10),0.856929 # DEPENDENCYPART_ARC
(6,11),1.60384 # DEPENDENCYPART_ARC
(6,12),0.897669 # DEPENDENCYPART_ARC
(6,13),-0.701537 # DEPENDENCYPART_ARC
(6,14),0.363527 # DEPENDENCYPART_ARC
(6,15),-1.85776 # DEPENDENCYPART_ARC
(6,16),0.629763 # DEPENDENCYPART_ARC
(6,17),-0.830662 # DEPENDENCYPART_ARC
(6,18),1.19502 # DEPENDENCYPART_ARC
(6,19),-1.14314 # DEPENDENCYPART_ARC
(6,20),-0.783961 # DEPENDENCYPART_ARC
(6,21),0.025061 # DEPENDENCYPART_ARC
(6,22),-0.825212 # DEPENDENCYPART_ARC
(6,23),-1.80099 # DEPENDENCYPART_ARC
(6,24),-0.244073 # DEPENDENCYPART_ARC
(6,25),0.449223 # DEPENDENCYPART_ARC
(6,26),0.935912 # DEPENDENCYPART_ARC
(6,27),-1.63107 # DEPENDENCYPART_ARC
(6,28),-1.56278 # DEPENDENCYPART_ARC
(6,29),-1.99277 # DEPENDENCYPART_ARC
(6,30),-3.32162 # DEPENDENCYPART_ARC
(6,31),-2.99271 # DEPENDENCYPART_ARC
(7,2),-1.1267 # DEPENDENCYPART_ARC
(7,3),-2.3269 # DEPENDENCYPART_ARC
(7,5),-2.22319 # DEPENDENCYPART_ARC
(7,6),-1.67346 # DEPENDENCYPART_ARC
(7,8),0.786887 # DEPENDENCYPART_ARC
(7,9),-0.503376 # DEPENDENCYPART_ARC
(7,10),-0.166357 # DEPENDENCYPART_ARC
(7,12),-1.06715 # DEPENDENCYPART_ARC
(7,13),-1.31411 # DEPENDENCYPART_ARC
(7,15),-1.33081 # DEPENDENCYPART_ARC
(7,17),-1.43498 # DEPENDENCYPART_ARC
(7,18),-1.51981 # DEPENDENCYPART_ARC
(7,21),-1.02587 # DEPENDENCYPART_ARC
(7,22),-1.69627 # DEPENDENCYPART_ARC
(7,24),-1.86739 # DEPENDENCYPART_ARC
(7,25),-1.93769 # DEPENDENCYPART_ARC
(7,26),-1.74441 # DEPENDENCYPART_ARC
(7,27),-1.90086 # DEPENDENCYPART_ARC
(7,28),-2.07707 # DEPENDENCYPART_ARC
(7,30),-2.26396 # DEPENDENCYPART_ARC
(7,31),-1.73578 # DEPENDENCYPART_ARC
(8,1),-1.09595 # DEPENDENCYPART_ARC
(8,2),-0.413646 # DEPENDENCYPART_ARC
(8,3),-1.9091 # DEPENDENCYPART_ARC
(8,4),-0.32303 # DEPENDENCYPART_ARC
(8,5),-1.43737 # DEPENDENCYPART_ARC
(8,6),0.500599 # DEPENDENCYPART_ARC
(8,7),3.24604 # DEPENDENCYPART_ARC
(8,9),1.346 # DEPENDENCYPART_ARC
(8,10),0.746234 # DEPENDENCYPART_ARC
(8,11),0.342019 # DEPENDENCYPART_ARC
(8,12),-0.895187 # DEPENDENCYPART_ARC
(8,13),-0.326495 # DEPENDENCYPART_ARC
(8,14),-0.19255 # DEPENDENCYPART_ARC
(8,15),-0.425325 # DEPENDENCYPART_ARC
(8,16),0.243755 # DEPENDENCYPART_ARC
(8,17),-0.497084 # DEPENDENCYPART_ARC
(8,18),-0.524659 # DEPENDENCYPART_ARC
(8,19),-0.731886 # DEPENDENCYPART_ARC
(8,20),-1.86444 # DEPENDENCYPART_ARC
(8,21),-0.499513 # DEPENDENCYPART_ARC
(8,22),-0.563128 # DEPENDENCYPART_ARC
(8,23),-2.4586 # DEPENDENCYPART_ARC
(8,24),-2.34028 # DEPENDENCYPART_ARC
(8,25),-1.34266 # DEPENDENCYPART_ARC
(8,26),-2.48965 # DEPENDENCYPART_ARC
(8,27),-0.960989 # DEPENDENCYPART_ARC
(8,28),-0.934184 # DEPENDENCYPART_ARC
(8,29),-2.17455 # DEPENDENCYPART_ARC
(8,30),-2.43619 # DEPENDENCYPART_ARC
(8,31),-2.63269 # DEPENDENCYPART_ARC
(9,1),-1.13946 # DEPENDENCYPART_ARC
(9,2),-1.03575 # DEPENDENCYPART_ARC
(9,3),-1.97373 # DEPENDENCYPART_ARC
(9,4),-1.30711 # DEPENDENCYPART_ARC
(9,5),-1.95806 # DEPENDENCYPART_ARC
(9,6),-1.57766 # DEPENDENCYPART_ARC
(9,7),-0.138472 # DEPENDENCYPART_ARC
(9,8),-0.24543 # DEPENDENCYPART_ARC
(9,10),1.96474 # DEPENDENCYPART_ARC
(9,11),0.195013 # DEPENDENCYPART_ARC
(9,12),0.146541 # DEPENDENCYPART_ARC
(9,13),-0.402285 # DEPENDENCYPART_ARC
(9,14),-0.880719 # DEPENDENCYPART_ARC
(9,15),-1.02511 # DEPENDENCYPART_ARC
(9,16),-0.375174 # DEPENDENCYPART_ARC
(9,17),-0.615008 # DEPENDENCYPART_ARC
(9,18),-0.718258 # DEPENDENCYPART_ARC
(9,19),-1.20389 # DEPENDENCYPART_ARC
(9,20),-1.22148 # DEPENDENCYPART_ARC
(9,21),-0.521543 # DEPENDENCYPART_ARC
(9,22),-0.997707 # DEPENDENCYPART_ARC
(9,23),-1.3312 # DEPENDENCYPART_ARC
(9,24),-1.14939 # DEPENDENCYPART_ARC
(9,25),-1.06306 # DEPENDENCYPART_ARC
(9,26),-1.16077 # DEPENDENCYPART_ARC
(9,27),-1.17523 # DEPENDENCYPART_ARC
(9,28),-1.33856 # DEPENDENCYPART_ARC
(9,29),-1.70626 # DEPENDENCYPART_ARC
(9,30),-1.86486 # DEPENDENCYPART_ARC
(9,31),-1.91509 # DEPENDENCYPART_ARC
(10,2),-1.29168 # DEPENDENCYPART_ARC
(10,21),-1.31732 # DEPENDENCYPART_ARC
(10,31),-2.04539 # DEPENDENCYPART_ARC
(11,1),-1.80261 # DEPENDENCYPART_ARC
(11,3),-2.52611 # DEPENDENCYPART_ARC
(11,4),-1.7404 # DEPENDENCYPART_ARC
(11,5),-2.75136 # DEPENDENCYPART_ARC
(11,6),-2.57876 # DEPENDENCYPART_ARC
(11,8),-1.69898 # DEPENDENCYPART_ARC
(11,9),-0.866179 # DEPENDENCYPART_ARC
(11,10),0.100778 # DEPENDENCYPART_ARC
(11,12),2.33023 # DEPENDENCYPART_ARC
(11,13),-0.599914 # DEPENDENCYPART_ARC
(11,14),-0.541288 # DEPENDENCYPART_ARC
(11,15),-0.722894 # DEPENDENCYPART_ARC
(11,16),-0.176269 # DEPENDENCYPART_ARC
(11,17),-1.25113 # DEPENDENCYPART_ARC
(11,18),0.281379 # DEPENDENCYPART_ARC
(11,19),-0.905272 # DEPENDENCYPART_ARC
(11,20),-1.17779 # DEPENDENCYPART_ARC
(11,21),-0.13067 # DEPENDENCYPART_ARC
(11,22),-1.27905 # DEPENDENCYPART_ARC
(11,23),-1.23611 # DEPENDENCYPART_ARC
(11,24),-1.06261 # DEPENDENCYPART_ARC
(11,25),-1.03489 # DEPENDENCYPART_ARC
(11,26),-1.13571 # DEPENDENCYPART_ARC
(11,27),-1.43491 # DEPENDENCYPART_ARC
(11,28),-1.32291 # DEPENDENCYPART_ARC
(11,29),-1.17861 # DEPENDENCYPART_ARC
(11,30),-1.52141 # DEPENDENCYPART_ARC
(11,31),-1.11456 # DEPENDENCYPART_ARC
(12,1),-0.176417 # DEPENDENCYPART_ARC
(12,2),-2.43415 # DEPENDENCYPART_ARC
(12,3),-0.697293 # DEPENDENCYPART_ARC
(12,4),-0.795728 # DEPENDENCYPART_ARC
(12,5),-2.14578 # DEPENDENCYPART_ARC
(12,6),-2.26944 # DEPENDENCYPART_ARC
(12,7),-1.78479 # DEPENDENCYPART_ARC
(12,8),-0.79249 # DEPENDENCYPART_ARC
(12,9),-0.532452 # DEPENDENCYPART_ARC
(12,10),-1.57018 # DEPENDENCYPART_ARC
(12,11),0.751133 # DEPENDENCYPART_ARC
(12,13),1.51495 # DEPENDENCYPART_ARC
(12,14),1.75728 # DEPENDENCYPART_ARC
(12,15),0.940503 # DEPENDENCYPART_ARC
(12,16),0.649781 # DEPENDENCYPART_ARC
(12,17),-0.371345 # DEPENDENCYPART_ARC
(12,18),0.463823 # DEPENDENCYPART_ARC
(12,19),-0.810118 # DEPENDENCYPART_ARC
(12,20),-0.0285232 # DEPENDENCYPART_ARC
(12,21),0.207487 # DEPENDENCYPART_ARC
(12,22),-0.929418 # DEPENDENCYPART_ARC
(12,23),-0.847745 # DEPENDENCYPART_ARC
(12,24),-0.258072 # DEPENDENCYPART_ARC
(12,25),-0.487233 # DEPENDENCYPART_ARC
(12,26),0.00303355 # DEPENDENCYPART_ARC
(12,27),-1.30996 # DEPENDENCYPART_ARC
(12,28),-1.06254 # DEPENDENCYPART_ARC
(12,29),-1.86288 # DEPENDENCYPART_ARC
(12,30),-1.54996 # DEPENDENCYPART_ARC
(12,31),-2.31095 # DEPENDENCYPART_ARC
(13,1),-1.50577 # DEPENDENCYPART_ARC
(13,2),-1.47182 # DEPENDENCYPART_ARC
(13,3),-2.25989 # DEPENDENCYPART_ARC
(13,4),-1.71033 # DEPENDENCYPART_ARC
(13,5),-2.47343 # DEPENDENCYPART_ARC
(13,6),-2.43188 # DEPENDENCYPART_ARC
(13,7),-1.3815 # DEPENDENCYPART_ARC
(13,8),-1.89635 # DEPENDENCYPART_ARC
(13,9),-0.94307 # DEPENDENCYPART_ARC
(13,10),-1.01164 # DEPENDENCYPART_ARC
(13,11),-0.457904 # DEPENDENCYPART_ARC
(13,12),-0.236333 # DEPENDENCYPART_ARC
(13,14),0.417573 # DEPENDENCYPART_ARC
(13,15),0.472591 # DEPENDENCYPART_ARC
(13,16),0.145396 # DEPENDENCYPART_ARC
(13,17),-0.201908 # DEPENDENCYPART_ARC
(13,18),-0.326655 # DEPENDENCYPART_ARC
(13,19),-0.670135 # DEPENDENCYPART_ARC
(13,20),-0.820213 # DEPENDENCYPART_ARC
(13,21),-0.309224 # DEPENDENCYPART_ARC
(13,22),-0.949736 # DEPENDENCYPART_ARC
(13,23),-1.08918 # DEPENDENCYPART_ARC
(13,24),-0.759674 # DEPENDENCYPART_ARC
(13,25),-0.906641 # DEPENDENCYPART_ARC
(13,26),-1.11733 # DEPENDENCYPART_ARC
(13,27),-1.0359 # DEPENDENCYPART_ARC
(13,28),-1.26851 # DEPENDENCYPART_ARC
(13,29),-1.40667 # DEPENDENCYPART_ARC
(13,30),-1.32776 # DEPENDENCYPART_ARC
(13,31),-1.45379 # DEPENDENCYPART_ARC
(14,1),-1.43778 # DEPENDENCYPART_ARC
(14,2),-1.68513 # DEPENDENCYPART_ARC
(14,3),-2.14303 # DEPENDENCYPART_ARC
(14,4),-1.84127 # DEPENDENCYPART_ARC
(14,5),-2.3045 # DEPENDENCYPART_ARC
(14,6),-2.33918 # DEPENDENCYPART_ARC
(14,7),-1.37006 # DEPENDENCYPART_ARC
(14,8),-1.76871 # DEPENDENCYPART_ARC
(14,9),-0.662575 # DEPENDENCYPART_ARC
(14,10),-1.30085 # DEPENDENCYPART_ARC
(14,11),-0.562828 # DEPENDENCYPART_ARC
(14,12),-0.908558 # DEPENDENCYPART_ARC
(14,13),1.16843 # DEPENDENCYPART_ARC
(14,15),3.4891 # DEPENDENCYPART_ARC
(14,16),0.692326 # DEPENDENCYPART_ARC
(14,17),-0.630764 # DEPENDENCYPART_ARC
(14,18),-0.643515 # DEPENDENCYPART_ARC
(14,19),-0.983586 # DEPENDENCYPART_ARC
(14,20),-0.847084 # DEPENDENCYPART_ARC
(14,21),-0.738747 # DEPENDENCYPART_ARC
(14,22),-1.40158 # DEPENDENCYPART_ARC
(14,23),-1.50023 # DEPENDENCYPART_ARC
(14,24),-1.77458 # DEPENDENCYPART_ARC
(14,25),-2.28851 # DEPENDENCYPART_ARC
(14,26),-2.51885 # DEPENDENCYPART_ARC
(14,27),-1.90966 # DEPENDENCYPART_ARC
(14,28),-1.82846 # DEPENDENCYPART_ARC
(14,29),-1.44939 # DEPENDENCYPART_ARC
(14,30),-3.36408 # DEPENDENCYPART_ARC
(14,31),-1.77413 # DEPENDENCYPART_ARC
(15,1),-2.17224 # DEPENDENCYPART_ARC
(15,2),-2.83053 # DEPENDENCYPART_ARC
(15,3),-3.89211 # DEPENDENCYPART_ARC
(15,4),-2.54686 # DEPENDENCYPART_ARC
(15,5),-2.95454 # DEPENDENCYPART_ARC
(15,6),-2.26951 # DEPENDENCYPART_ARC
(15,7),-1.05245 # DEPENDENCYPART_ARC
(15,8),-3.32174 # DEPENDENCYPART_ARC
(15,9),-2.21803 # DEPENDENCYPART_ARC
(15,10),-2.88769 # DEPENDENCYPART_ARC
(15,11),-1.71164 # DEPENDENCYPART_ARC
(15,12),-2.52021 # DEPENDENCYPART_ARC
(15,13),-0.208059 # DEPENDENCYPART_ARC
(15,14),0.530623 # DEPENDENCYPART_ARC
(15,16),0.526475 # DEPENDENCYPART_ARC
(15,17),-0.206092 # DEPENDENCYPART_ARC
(15,18),-0.374607 # DEPENDENCYPART_ARC
(15,19),-0.510751 # DEPENDENCYPART_ARC
(15,20),-2.03418 # DEPENDENCYPART_ARC
(15,21),-0.459766 # DEPENDENCYPART_ARC
(15,22),-0.733763 # DEPENDENCYPART_ARC
(15,23),-2.58648 # DEPENDENCYPART_ARC
(15,24),-1.77578 # DEPENDENCYPART_ARC
(15,25),-1.39933 # DEPENDENCYPART_ARC
(15,26),-2.69702 # DEPENDENCYPART_ARC
(15,27),-1.14851 # DEPENDENCYPART_ARC
(15,28),-1.03816 # DEPENDENCYPART_ARC
(15,29),-1.42206 # DEPENDENCYPART_ARC
(15,30),-1.98559 # DEPENDENCYPART_ARC
(15,31),-2.07359 # DEPENDENCYPART_ARC
(16,1),-1.85157 # DEPENDENCYPART_ARC
(16,3),-2.80421 # DEPENDENCYPART_ARC
(16,4),-1.58525 # DEPENDENCYPART_ARC
(16,5),-2.79105 # DEPENDENCYPART_ARC
(16,6),-2.74739 # DEPENDENCYPART_ARC
(16,8),-2.54808 # DEPENDENCYPART_ARC
(16,9),-1.78195 # DEPENDENCYPART_ARC
(16,10),-1.75809 # DEPENDENCYPART_ARC
(16,11),-1.49486 # DEPENDENCYPART_ARC
(16,12),-2.27921 # DEPENDENCYPART_ARC
(16,13),-0.934276 # DEPENDENCYPART_ARC
(16,14),-0.862862 # DEPENDENCYPART_ARC
(16,15),-0.484935 # DEPENDENCYPART_ARC
(16,17),-0.865862 # DEPENDENCYPART_ARC
(16,18),0.0676551 # DEPENDENCYPART_ARC
(16,19),-1.29559 # DEPENDENCYPART_ARC
(16,20),-1.64872 # DEPENDENCYPART_ARC
(16,21),-0.658408 # DEPENDENCYPART_ARC
(16,22),-2.15075 # DEPENDENCYPART_ARC
(16,23),-1.84728 # DEPENDENCYPART_ARC
(16,24),-2.40641 # DEPENDENCYPART_ARC
(16,25),-2.65012 # DEPENDENCYPART_ARC
(16,26),-2.61321 # DEPENDENCYPART_ARC
(16,27),-2.25759 # DEPENDENCYPART_ARC
(16,28),-2.11064 # DEPENDENCYPART_ARC
(16,29),-1.8007 # DEPENDENCYPART_ARC
(16,30),-1.75659 # DEPENDENCYPART_ARC
(16,31),-1.40166 # DEPENDENCYPART_ARC
(17,1),-2.80949 # DEPENDENCYPART_ARC
(17,2),-2.65269 # DEPENDENCYPART_ARC
(17,3),-3.58923 # DEPENDENCYPART_ARC
(17,4),-2.98121 # DEPENDENCYPART_ARC
(17,5),-3.63598 # DEPENDENCYPART_ARC
(17,6),-3.76437 # DEPENDENCYPART_ARC
(17,7),-2.71287 # DEPENDENCYPART_ARC
(17,8),-3.35589 # DEPENDENCYPART_ARC
(17,9),-2.5949 # DEPENDENCYPART_ARC
(17,10),-2.72985 # DEPENDENCYPART_ARC
(17,11),-2.38218 # DEPENDENCYPART_ARC
(17,12),-3.34396 # DEPENDENCYPART_ARC
(17,13),-1.70578 # DEPENDENCYPART_ARC
(17,14),-1.52685 # DEPENDENCYPART_ARC
(17,15),-2.23932 # DEPENDENCYPART_ARC
(17,16),-0.802966 # DEPENDENCYPART_ARC
(17,18),0.402344 # DEPENDENCYPART_ARC
(17,19),-0.802452 # DEPENDENCYPART_ARC
(17,20),-1.07066 # DEPENDENCYPART_ARC
(17,21),-0.419496 # DEPENDENCYPART_ARC
(17,22),-1.28145 # DEPENDENCYPART_ARC
(17,23),-1.58731 # DEPENDENCYPART_ARC
(17,24),-1.06762 # DEPENDENCYPART_ARC
(17,25),-1.17823 # DEPENDENCYPART_ARC
(17,26),-1.38591 # DEPENDENCYPART_ARC
(17,27),-1.61745 # DEPENDENCYPART_ARC
(17,28),-1.7941 # DEPENDENCYPART_ARC
(17,29),-1.65868 # DEPENDENCYPART_ARC
(17,30),-1.89844 # DEPENDENCYPART_ARC
(17,31),-1.66776 # DEPENDENCYPART_ARC
(18,1),0.627098 # DEPENDENCYPART_ARC
(18,2),-1.73138 # DEPENDENCYPART_ARC
(18,3),-1.67819 # DEPENDENCYPART_ARC
(18,4),0.0251727 # DEPENDENCYPART_ARC
(18,5),-1.28087 # DEPENDENCYPART_ARC
(18,6),-1.197 # DEPENDENCYPART_ARC
(18,7),-2.20952 # DEPENDENCYPART_ARC
(18,8),-1.27669 # DEPENDENCYPART_ARC
(18,9),-0.585795 # DEPENDENCYPART_ARC
(18,10),-2.2824 # DEPENDENCYPART_ARC
(18,11),0.174999 # DEPENDENCYPART_ARC
(18,12),0.584926 # DEPENDENCYPART_ARC
(18,13),-0.260459 # DEPENDENCYPART_ARC
(18,14),0.425602 # DEPENDENCYPART_ARC
(18,15),-1.44947 # DEPENDENCYPART_ARC
(18,16),0.221608 # DEPENDENCYPART_ARC
(18,17),1.94641 # DEPENDENCYPART_ARC
(18,19),1.40516 # DEPENDENCYPART_ARC
(18,20),0.907765 # DEPENDENCYPART_ARC
(18,21),0.365878 # DEPENDENCYPART_ARC
(18,22),-0.28172 # DEPENDENCYPART_ARC
(18,23),-0.911762 # DEPENDENCYPART_ARC
