# _root_ Il governo di Zagabria , invece , sostiene che sono " solo " 100 mila le persone in cammino .
#goldHeads=2,8,2,3,4,8,6,0,8,9,12,14,12,10,14,17,10,17,18,19,
#predictedHeads=2,8,2,3,4,8,6,0,8,9,12,17,14,17,14,17,10,17,18,19,
(3,12),-1.41934 # DEPENDENCYPART_ARC
(3,13),-1.30891 # DEPENDENCYPART_ARC
(3,14),-1.6175 # DEPENDENCYPART_ARC
(3,15),-1.69837 # DEPENDENCYPART_ARC
(3,16),-1.85234 # DEPENDENCYPART_ARC
(3,17),-3.97618 # DEPENDENCYPART_ARC
(3,18),-3.18682 # DEPENDENCYPART_ARC
(3,19),-2.95892 # DEPENDENCYPART_ARC
(3,20),-1.79605 # DEPENDENCYPART_ARC
(4,1),-0.34565 # DEPENDENCYPART_ARC
(4,2),-2.58418 # DEPENDENCYPART_ARC
(4,3),0.440746 # DEPENDENCYPART_ARC
(4,5),1.75575 # DEPENDENCYPART_ARC
(4,6),-0.291369 # DEPENDENCYPART_ARC
(4,7),-0.111734 # DEPENDENCYPART_ARC
(4,8),-1.06442 # DEPENDENCYPART_ARC
(4,9),-1.37582 # DEPENDENCYPART_ARC
(4,10),-2.35925 # DEPENDENCYPART_ARC
(4,11),-1.512 # DEPENDENCYPART_ARC
(4,12),-1.30742 # DEPENDENCYPART_ARC
(4,13),-1.85104 # DEPENDENCYPART_ARC
(4,14),-1.26556 # DEPENDENCYPART_ARC
(4,15),-1.51318 # DEPENDENCYPART_ARC
(4,16),-1.0813 # DEPENDENCYPART_ARC
(4,17),-1.8236 # DEPENDENCYPART_ARC
(4,18),-1.49205 # DEPENDENCYPART_ARC
(4,19),-1.29199 # DEPENDENCYPART_ARC
(4,20),-2.01253 # DEPENDENCYPART_ARC
(5,1),-0.81105 # DEPENDENCYPART_ARC
(5,7),0.028094 # DEPENDENCYPART_ARC
(5,11),-1.47188 # DEPENDENCYPART_ARC
(5,13),-1.55745 # DEPENDENCYPART_ARC
(5,16),-1.41118 # DEPENDENCYPART_ARC
(5,20),-1.39966 # DEPENDENCYPART_ARC
(6,1),-1.03815 # DEPENDENCYPART_ARC
(6,2),-2.05611 # DEPENDENCYPART_ARC
(6,3),-0.550802 # DEPENDENCYPART_ARC
(6,4),-1.41513 # DEPENDENCYPART_ARC
(6,5),0.462831 # DEPENDENCYPART_ARC
(6,7),2.3773 # DEPENDENCYPART_ARC
(6,8),0.145449 # DEPENDENCYPART_ARC
(6,9),0.150895 # DEPENDENCYPART_ARC
(6,10),0.173755 # DEPENDENCYPART_ARC
(6,11),-0.445495 # DEPENDENCYPART_ARC
(6,12),-0.771273 # DEPENDENCYPART_ARC
(6,13),-0.392938 # DEPENDENCYPART_ARC
(6,14),-1.0333 # DEPENDENCYPART_ARC
(6,15),-1.05454 # DEPENDENCYPART_ARC
(6,16),-0.804709 # DEPENDENCYPART_ARC
(6,17),-1.62408 # DEPENDENCYPART_ARC
(6,18),-1.2274 # DEPENDENCYPART_ARC
(6,19),-1.64864 # DEPENDENCYPART_ARC
(6,20),-0.996139 # DEPENDENCYPART_ARC
(7,1),-1.45696 # DEPENDENCYPART_ARC
(7,5),-0.781402 # DEPENDENCYPART_ARC
(7,11),-1.692 # DEPENDENCYPART_ARC
(7,13),-1.68662 # DEPENDENCYPART_ARC
(7,16),-1.71284 # DEPENDENCYPART_ARC
(7,20),-1.50289 # DEPENDENCYPART_ARC
(8,1),-1.50918 # DEPENDENCYPART_ARC
(8,2),0.125086 # DEPENDENCYPART_ARC
(8,3),-1.23086 # DEPENDENCYPART_ARC
(8,4),-0.0217439 # DEPENDENCYPART_ARC
(8,5),-1.50622 # DEPENDENCYPART_ARC
(8,6),0.937302 # DEPENDENCYPART_ARC
(8,7),0.0600605 # DEPENDENCYPART_ARC
(8,9),2.27709 # DEPENDENCYPART_ARC
(8,10),2.01644 # DEPENDENCYPART_ARC
(8,11),0.140918 # DEPENDENCYPART_ARC
(8,12),-0.75391 # DEPENDENCYPART_ARC
(8,13),-0.773436 # DEPENDENCYPART_ARC
(8,14),-0.598572 # DEPENDENCYPART_ARC
(8,15),-0.495806 # DEPENDENCYPART_ARC
(8,16),-1.67709 # DEPENDENCYPART_ARC
(8,17),-0.212833 # DEPENDENCYPART_ARC
(8,18),0.280497 # DEPENDENCYPART_ARC
(8,19),-1.47989 # DEPENDENCYPART_ARC
(8,20),-1.06225 # DEPENDENCYPART_ARC
(9,2),-2.69629 # DEPENDENCYPART_ARC
(9,3),-2.15343 # DEPENDENCYPART_ARC
(9,4),-2.44909 # DEPENDENCYPART_ARC
(9,5),-1.87233 # DEPENDENCYPART_ARC
(9,6),-1.38911 # DEPENDENCYPART_ARC
(9,7),-1.14133 # DEPENDENCYPART_ARC
(9,8),-0.831682 # DEPENDENCYPART_ARC
(9,10),2.38558 # DEPENDENCYPART_ARC
(9,11),-0.694452 # DEPENDENCYPART_ARC
(9,12),-1.12596 # DEPENDENCYPART_ARC
(9,13),-1.15909 # DEPENDENCYPART_ARC
(9,14),-0.825016 # DEPENDENCYPART_ARC
(9,15),-0.891315 # DEPENDENCYPART_ARC
(9,17),-1.1341 # DEPENDENCYPART_ARC
(9,18),-1.47837 # DEPENDENCYPART_ARC
(9,19),-1.14647 # DEPENDENCYPART_ARC
(9,20),-1.12514 # DEPENDENCYPART_ARC
(10,1),-2.61614 # DEPENDENCYPART_ARC
(10,2),-0.829765 # DEPENDENCYPART_ARC
(10,3),-2.61235 # DEPENDENCYPART_ARC
(10,4),-1.34646 # DEPENDENCYPART_ARC
(10,5),-2.55511 # DEPENDENCYPART_ARC
(10,6),-0.694907 # DEPENDENCYPART_ARC
(10,7),-1.89941 # DEPENDENCYPART_ARC
(10,8),0.0196251 # DEPENDENCYPART_ARC
(10,9),0.928474 # DEPENDENCYPART_ARC
(10,11),1.56176 # DEPENDENCYPART_ARC
(10,12),0.635108 # DEPENDENCYPART_ARC
(10,13),-0.172767 # DEPENDENCYPART_ARC
(10,14),0.235469 # DEPENDENCYPART_ARC
(10,15),0.308044 # DEPENDENCYPART_ARC
(10,16),-0.935822 # DEPENDENCYPART_ARC
(10,17),1.2995 # DEPENDENCYPART_ARC
(10,18),0.516729 # DEPENDENCYPART_ARC
(10,19),-0.82586 # DEPENDENCYPART_ARC
(10,20),-0.585961 # DEPENDENCYPART_ARC
(11,1),-0.804944 # DEPENDENCYPART_ARC
(11,5),-0.77215 # DEPENDENCYPART_ARC
(11,7),-0.577256 # DEPENDENCYPART_ARC
(11,13),-0.240285 # DEPENDENCYPART_ARC
(11,16),-0.912214 # DEPENDENCYPART_ARC
(11,20),-0.397256 # DEPENDENCYPART_ARC
(12,1),-0.48644 # DEPENDENCYPART_ARC
(12,2),-1.46106 # DEPENDENCYPART_ARC
(12,3),-0.394465 # DEPENDENCYPART_ARC
(12,4),-1.32425 # DEPENDENCYPART_ARC
(12,5),-0.544197 # DEPENDENCYPART_ARC
(12,6),-0.525115 # DEPENDENCYPART_ARC
(12,7),-0.451817 # DEPENDENCYPART_ARC
(12,8),-1.15831 # DEPENDENCYPART_ARC
(12,9),0.193602 # DEPENDENCYPART_ARC
(12,10),-0.139749 # DEPENDENCYPART_ARC
(12,11),2.09613 # DEPENDENCYPART_ARC
(12,13),1.84718 # DEPENDENCYPART_ARC
(12,14),-0.0582472 # DEPENDENCYPART_ARC
(12,15),-0.183043 # DEPENDENCYPART_ARC
(12,16),-0.246875 # DEPENDENCYPART_ARC
(12,17),-0.603401 # DEPENDENCYPART_ARC
(12,18),-0.620403 # DEPENDENCYPART_ARC
(12,19),-0.881988 # DEPENDENCYPART_ARC
(12,20),-0.136154 # DEPENDENCYPART_ARC
(13,1),-0.92438 # DEPENDENCYPART_ARC
(13,5),-1.00604 # DEPENDENCYPART_ARC
(13,7),-0.926726 # DEPENDENCYPART_ARC
(13,11),-0.0894838 # DEPENDENCYPART_ARC
(13,16),-0.2226 # DEPENDENCYPART_ARC
(13,20),0.232324 # DEPENDENCYPART_ARC
(14,1),0.0228766 # DEPENDENCYPART_ARC
(14,2),-1.21337 # DEPENDENCYPART_ARC
(14,3),-0.846154 # DEPENDENCYPART_ARC
(14,5),-0.507222 # DEPENDENCYPART_ARC
(14,6),-0.347953 # DEPENDENCYPART_ARC
(14,7),-0.492354 # DEPENDENCYPART_ARC
(14,8),-1.17664 # DEPENDENCYPART_ARC
(14,9),-0.277225 # DEPENDENCYPART_ARC
(14,10),-0.862333 # DEPENDENCYPART_ARC
(14,11),0.457705 # DEPENDENCYPART_ARC
(14,12),0.890987 # DEPENDENCYPART_ARC
(14,13),1.91515 # DEPENDENCYPART_ARC
(14,15),2.27142 # DEPENDENCYPART_ARC
(14,16),0.226668 # DEPENDENCYPART_ARC
(14,17),0.110281 # DEPENDENCYPART_ARC
(14,18),0.0646051 # DEPENDENCYPART_ARC
(14,19),-0.112749 # DEPENDENCYPART_ARC
(14,20),0.151364 # DEPENDENCYPART_ARC
(15,1),-0.24151 # DEPENDENCYPART_ARC
(15,2),-1.36078 # DEPENDENCYPART_ARC
(15,3),-0.924386 # DEPENDENCYPART_ARC
(15,5),-0.824097 # DEPENDENCYPART_ARC
(15,6),-0.477588 # DEPENDENCYPART_ARC
(15,7),-0.784577 # DEPENDENCYPART_ARC
(15,8),-1.35003 # DEPENDENCYPART_ARC
(15,9),-0.462474 # DEPENDENCYPART_ARC
(15,10),-1.1389 # DEPENDENCYPART_ARC
(15,11),-0.10732 # DEPENDENCYPART_ARC
(15,12),0.465528 # DEPENDENCYPART_ARC
(15,13),0.698614 # DEPENDENCYPART_ARC
(15,14),1.46853 # DEPENDENCYPART_ARC
(15,16),0.954183 # DEPENDENCYPART_ARC
(15,17),0.382562 # DEPENDENCYPART_ARC
(15,18),0.0923024 # DEPENDENCYPART_ARC
(15,19),-0.142394 # DEPENDENCYPART_ARC
(15,20),0.0522608 # DEPENDENCYPART_ARC
(16,2),-2.90285 # DEPENDENCYPART_ARC
(16,3),-2.04306 # DEPENDENCYPART_ARC
(16,5),-1.86422 # DEPENDENCYPART_ARC
(16,7),-1.63583 # DEPENDENCYPART_ARC
(16,8),-3.32416 # DEPENDENCYPART_ARC
(16,10),-3.09308 # DEPENDENCYPART_ARC
(16,11),-0.872678 # DEPENDENCYPART_ARC
(16,13),-0.360024 # DEPENDENCYPART_ARC
(16,14),-0.644178 # DEPENDENCYPART_ARC
(16,15),0.191985 # DEPENDENCYPART_ARC
(16,17),1.37756 # DEPENDENCYPART_ARC
(16,18),0.120344 # DEPENDENCYPART_ARC
(16,19),-0.637701 # DEPENDENCYPART_ARC
(16,20),-0.295849 # DEPENDENCYPART_ARC
(17,1),-2.78801 # DEPENDENCYPART_ARC
(17,2),-2.93095 # DEPENDENCYPART_ARC
(17,3),-1.0475 # DEPENDENCYPART_ARC
(17,4),-1.89863 # DEPENDENCYPART_ARC
(17,5),-2.44404 # DEPENDENCYPART_ARC
(17,6),-0.566686 # DEPENDENCYPART_ARC
(17,7),-2.34794 # DEPENDENCYPART_ARC
(17,8),-2.24362 # DEPENDENCYPART_ARC
(17,9),-0.807862 # DEPENDENCYPART_ARC
(17,10),-2.55472 # DEPENDENCYPART_ARC
(17,11),-0.955552 # DEPENDENCYPART_ARC
(17,12),1.02796 # DEPENDENCYPART_ARC
(17,13),-0.413889 # DEPENDENCYPART_ARC
(17,14),0.535158 # DEPENDENCYPART_ARC
(17,15),0.358037 # DEPENDENCYPART_ARC
(17,16),3.81188 # DEPENDENCYPART_ARC
(17,18),2.23237 # DEPENDENCYPART_ARC
(17,19),1.32249 # DEPENDENCYPART_ARC
(17,20),0.111378 # DEPENDENCYPART_ARC
(18,1),-2.12076 # DEPENDENCYPART_ARC
(18,2),-2.67013 # DEPENDENCYPART_ARC
(18,3),-2.2318 # DEPENDENCYPART_ARC
(18,4),-2.47997 # DEPENDENCYPART_ARC
(18,5),-2.13208 # DEPENDENCYPART_ARC
(18,6),-1.64316 # DEPENDENCYPART_ARC
(18,7),-2.15056 # DEPENDENCYPART_ARC
(18,8),-2.76271 # DEPENDENCYPART_ARC
(18,9),-1.49832 # DEPENDENCYPART_ARC
(18,10),-2.63472 # DEPENDENCYPART_ARC
(18,11),-1.78145 # DEPENDENCYPART_ARC
(18,12),-0.967387 # DEPENDENCYPART_ARC
(18,13),-1.59336 # DEPENDENCYPART_ARC
(18,14),-1.64338 # DEPENDENCYPART_ARC
(18,15),-1.29279 # DEPENDENCYPART_ARC
(18,16),-0.614314 # DEPENDENCYPART_ARC
(18,17),-0.528548 # DEPENDENCYPART_ARC
(18,19),4.17597 # DEPENDENCYPART_ARC
(18,20),-0.478672 # DEPENDENCYPART_ARC
(19,1),-3.50636 # DEPENDENCYPART_ARC
(19,2),-3.71325 # DEPENDENCYPART_ARC
(19,3),-3.06508 # DEPENDENCYPART_ARC
(19,4),-3.30016 # DEPENDENCYPART_ARC
(19,5),-3.75712 # DEPENDENCYPART_ARC
(19,6),-2.22406 # DEPENDENCYPART_ARC
(19,7),-3.60257 # DEPENDENCYPART_ARC
(19,8),-2.92008 # DEPENDENCYPART_ARC
(19,9),-2.30409 # DEPENDENCYPART_ARC
(19,10),-3.33899 # DEPENDENCYPART_ARC
(19,11),-2.32333 # DEPENDENCYPART_ARC
(19,12),-1.10703 # DEPENDENCYPART_ARC
(19,13),-2.11049 # DEPENDENCYPART_ARC
(19,14),-1.1528 # DEPENDENCYPART_ARC
(19,15),-1.56507 # DEPENDENCYPART_ARC
(19,16),-0.344925 # DEPENDENCYPART_ARC
(19,17),-1.74777 # DEPENDENCYPART_ARC
(19,18),0.49524 # DEPENDENCYPART_ARC
(19,20),2.39522 # DEPENDENCYPART_ARC
(20,1),-1.77234 # DEPENDENCYPART_ARC
(20,5),-1.98268 # DEPENDENCYPART_ARC
(20,7),-1.87498 # DEPENDENCYPART_ARC
(20,11),-1.93221 # DEPENDENCYPART_ARC
(20,13),-1.84327 # DEPENDENCYPART_ARC
(20,16),-1.11605 # DEPENDENCYPART_ARC
