# _root_ Quest' impressione è accresciuta se si osservano i tipici cortili rettangolari , circondati da ballatoi con ringhiera di ferro battuto e tante piccole scale , che raggiungono i singoli appartamenti .
#goldHeads=2,3,0,3,4,7,5,10,10,7,10,11,10,13,14,15,16,17,18,19,15,24,24,15,24,27,24,30,30,27,30,
#predictedHeads=2,4,4,0,4,7,5,10,10,7,10,11,10,13,14,13,16,17,18,19,20,24,24,20,24,27,24,30,30,27,30,
(6,4),-2.61199 # DEPENDENCYPART_ARC
(6,5),-0.238854 # DEPENDENCYPART_ARC
(6,7),-0.977097 # DEPENDENCYPART_ARC
(6,9),-0.774325 # DEPENDENCYPART_ARC
(6,10),-1.36156 # DEPENDENCYPART_ARC
(6,11),-1.36713 # DEPENDENCYPART_ARC
(6,12),-1.16924 # DEPENDENCYPART_ARC
(6,13),-2.96665 # DEPENDENCYPART_ARC
(6,14),-2.38394 # DEPENDENCYPART_ARC
(6,15),-1.9232 # DEPENDENCYPART_ARC
(6,16),-2.52496 # DEPENDENCYPART_ARC
(6,17),-2.58118 # DEPENDENCYPART_ARC
(6,18),-2.67082 # DEPENDENCYPART_ARC
(6,19),-2.22835 # DEPENDENCYPART_ARC
(6,20),-4.05667 # DEPENDENCYPART_ARC
(6,21),-1.75081 # DEPENDENCYPART_ARC
(6,23),-2.33709 # DEPENDENCYPART_ARC
(6,24),-2.44944 # DEPENDENCYPART_ARC
(6,25),-1.79373 # DEPENDENCYPART_ARC
(6,27),-4.96768 # DEPENDENCYPART_ARC
(6,29),-2.06916 # DEPENDENCYPART_ARC
(6,30),-2.45963 # DEPENDENCYPART_ARC
(6,31),-2.71167 # DEPENDENCYPART_ARC
(7,1),-0.238597 # DEPENDENCYPART_ARC
(7,2),0.00905004 # DEPENDENCYPART_ARC
(7,3),-0.569821 # DEPENDENCYPART_ARC
(7,4),-0.443504 # DEPENDENCYPART_ARC
(7,5),0.660663 # DEPENDENCYPART_ARC
(7,6),3.33395 # DEPENDENCYPART_ARC
(7,8),0.523838 # DEPENDENCYPART_ARC
(7,9),1.04697 # DEPENDENCYPART_ARC
(7,10),2.21478 # DEPENDENCYPART_ARC
(7,11),0.0634882 # DEPENDENCYPART_ARC
(7,12),1.01379 # DEPENDENCYPART_ARC
(7,13),0.3955 # DEPENDENCYPART_ARC
(7,14),0.22831 # DEPENDENCYPART_ARC
(7,15),-0.00858437 # DEPENDENCYPART_ARC
(7,16),0.629836 # DEPENDENCYPART_ARC
(7,17),-0.722121 # DEPENDENCYPART_ARC
(7,18),-0.596455 # DEPENDENCYPART_ARC
(7,19),-1.08228 # DEPENDENCYPART_ARC
(7,20),-0.931474 # DEPENDENCYPART_ARC
(7,21),0.758401 # DEPENDENCYPART_ARC
(7,22),-0.245129 # DEPENDENCYPART_ARC
(7,23),-1.35735 # DEPENDENCYPART_ARC
(7,24),-0.445401 # DEPENDENCYPART_ARC
(7,25),0.409665 # DEPENDENCYPART_ARC
(7,26),-3.75713 # DEPENDENCYPART_ARC
(7,27),0.145855 # DEPENDENCYPART_ARC
(7,28),-1.96316 # DEPENDENCYPART_ARC
(7,29),-2.40956 # DEPENDENCYPART_ARC
(7,30),-1.4903 # DEPENDENCYPART_ARC
(7,31),-2.73796 # DEPENDENCYPART_ARC
(8,2),-3.34607 # DEPENDENCYPART_ARC
(8,3),-3.77355 # DEPENDENCYPART_ARC
(8,4),-3.46226 # DEPENDENCYPART_ARC
(8,7),-1.45338 # DEPENDENCYPART_ARC
(8,10),-0.0169521 # DEPENDENCYPART_ARC
(8,12),-0.678166 # DEPENDENCYPART_ARC
(8,13),-0.598049 # DEPENDENCYPART_ARC
(8,14),-1.11939 # DEPENDENCYPART_ARC
(8,15),-1.23592 # DEPENDENCYPART_ARC
(8,16),-1.23276 # DEPENDENCYPART_ARC
(8,17),-1.89463 # DEPENDENCYPART_ARC
(8,18),-1.15001 # DEPENDENCYPART_ARC
(8,19),-1.79486 # DEPENDENCYPART_ARC
(8,20),-1.91468 # DEPENDENCYPART_ARC
(8,24),-1.76583 # DEPENDENCYPART_ARC
(8,25),-1.5885 # DEPENDENCYPART_ARC
(8,27),-1.91818 # DEPENDENCYPART_ARC
(8,30),-2.00638 # DEPENDENCYPART_ARC
(8,31),-1.93942 # DEPENDENCYPART_ARC
(9,1),-1.67755 # DEPENDENCYPART_ARC
(9,2),-2.55672 # DEPENDENCYPART_ARC
(9,3),-2.67382 # DEPENDENCYPART_ARC
(9,4),-2.91306 # DEPENDENCYPART_ARC
(9,5),-0.886224 # DEPENDENCYPART_ARC
(9,6),-0.150526 # DEPENDENCYPART_ARC
(9,7),-0.936316 # DEPENDENCYPART_ARC
(9,8),1.43213 # DEPENDENCYPART_ARC
(9,10),1.13084 # DEPENDENCYPART_ARC
(9,11),0.868651 # DEPENDENCYPART_ARC
(9,12),0.163345 # DEPENDENCYPART_ARC
(9,13),0.459855 # DEPENDENCYPART_ARC
(9,14),-0.694658 # DEPENDENCYPART_ARC
(9,15),-0.808084 # DEPENDENCYPART_ARC
(9,16),-0.905462 # DEPENDENCYPART_ARC
(9,17),-1.62713 # DEPENDENCYPART_ARC
(9,18),-0.920031 # DEPENDENCYPART_ARC
(9,19),-1.20276 # DEPENDENCYPART_ARC
(9,20),-1.02313 # DEPENDENCYPART_ARC
(9,21),-0.798021 # DEPENDENCYPART_ARC
(9,22),-0.433837 # DEPENDENCYPART_ARC
(9,23),-0.572786 # DEPENDENCYPART_ARC
(9,24),-1.47081 # DEPENDENCYPART_ARC
(9,25),-1.54591 # DEPENDENCYPART_ARC
(9,26),-2.5755 # DEPENDENCYPART_ARC
(9,27),-2.26287 # DEPENDENCYPART_ARC
(9,28),-1.41031 # DEPENDENCYPART_ARC
(9,29),-0.80747 # DEPENDENCYPART_ARC
(9,30),-1.5728 # DEPENDENCYPART_ARC
(9,31),-2.97257 # DEPENDENCYPART_ARC
(10,1),-0.291713 # DEPENDENCYPART_ARC
(10,2),-2.53322 # DEPENDENCYPART_ARC
(10,3),-2.92307 # DEPENDENCYPART_ARC
(10,4),-1.98943 # DEPENDENCYPART_ARC
(10,5),-0.114357 # DEPENDENCYPART_ARC
(10,6),-0.700763 # DEPENDENCYPART_ARC
(10,7),-1.84692 # DEPENDENCYPART_ARC
(10,8),3.74072 # DEPENDENCYPART_ARC
(10,9),3.96038 # DEPENDENCYPART_ARC
(10,11),3.06537 # DEPENDENCYPART_ARC
(10,12),0.647377 # DEPENDENCYPART_ARC
(10,13),2.20526 # DEPENDENCYPART_ARC
(10,14),0.290343 # DEPENDENCYPART_ARC
(10,15),0.465735 # DEPENDENCYPART_ARC
(10,16),0.391985 # DEPENDENCYPART_ARC
(10,17),-0.373929 # DEPENDENCYPART_ARC
(10,18),-0.150618 # DEPENDENCYPART_ARC
(10,19),-0.755681 # DEPENDENCYPART_ARC
(10,20),-0.647788 # DEPENDENCYPART_ARC
(10,21),-0.205376 # DEPENDENCYPART_ARC
(10,22),-0.113797 # DEPENDENCYPART_ARC
(10,23),-0.961929 # DEPENDENCYPART_ARC
(10,24),-0.289317 # DEPENDENCYPART_ARC
(10,25),-0.606176 # DEPENDENCYPART_ARC
(10,26),-2.56184 # DEPENDENCYPART_ARC
(10,27),-1.3953 # DEPENDENCYPART_ARC
(10,28),-0.454257 # DEPENDENCYPART_ARC
(10,29),-1.23947 # DEPENDENCYPART_ARC
(10,30),-0.990828 # DEPENDENCYPART_ARC
(10,31),-3.48341 # DEPENDENCYPART_ARC
(11,1),-1.42131 # DEPENDENCYPART_ARC
(11,2),-2.31707 # DEPENDENCYPART_ARC
(11,3),-3.64686 # DEPENDENCYPART_ARC
(11,4),-3.41494 # DEPENDENCYPART_ARC
(11,5),-0.796672 # DEPENDENCYPART_ARC
(11,6),-0.766468 # DEPENDENCYPART_ARC
(11,7),-2.92508 # DEPENDENCYPART_ARC
(11,8),-0.167938 # DEPENDENCYPART_ARC
(11,9),-0.113014 # DEPENDENCYPART_ARC
(11,10),0.281683 # DEPENDENCYPART_ARC
(11,12),1.95881 # DEPENDENCYPART_ARC
(11,13),0.611959 # DEPENDENCYPART_ARC
(11,14),-0.509412 # DEPENDENCYPART_ARC
(11,15),-0.621898 # DEPENDENCYPART_ARC
(11,16),-0.950323 # DEPENDENCYPART_ARC
(11,17),-1.46106 # DEPENDENCYPART_ARC
(11,18),-1.0163 # DEPENDENCYPART_ARC
(11,19),-1.07665 # DEPENDENCYPART_ARC
(11,20),-1.04145 # DEPENDENCYPART_ARC
(11,21),-0.647324 # DEPENDENCYPART_ARC
(11,22),-0.281658 # DEPENDENCYPART_ARC
(11,23),-0.696879 # DEPENDENCYPART_ARC
(11,24),-1.3932 # DEPENDENCYPART_ARC
(11,25),-1.04507 # DEPENDENCYPART_ARC
(11,26),-2.44174 # DEPENDENCYPART_ARC
(11,27),-1.78126 # DEPENDENCYPART_ARC
(11,28),-1.4697 # DEPENDENCYPART_ARC
(11,29),-1.27108 # DEPENDENCYPART_ARC
(11,30),-1.47962 # DEPENDENCYPART_ARC
(11,31),-2.22298 # DEPENDENCYPART_ARC
(12,8),-0.994774 # DEPENDENCYPART_ARC
(12,25),-1.64987 # DEPENDENCYPART_ARC
(12,28),-1.79249 # DEPENDENCYPART_ARC
(12,31),-2.00257 # DEPENDENCYPART_ARC
(13,1),-2.23534 # DEPENDENCYPART_ARC
(13,2),-2.36286 # DEPENDENCYPART_ARC
(13,3),-1.63631 # DEPENDENCYPART_ARC
(13,4),-1.77504 # DEPENDENCYPART_ARC
(13,5),0.112396 # DEPENDENCYPART_ARC
(13,6),0.603639 # DEPENDENCYPART_ARC
(13,7),-0.0841293 # DEPENDENCYPART_ARC
(13,8),-0.0739545 # DEPENDENCYPART_ARC
(13,9),-0.652438 # DEPENDENCYPART_ARC
(13,10),-0.0368594 # DEPENDENCYPART_ARC
(13,11),-0.369105 # DEPENDENCYPART_ARC
(13,12),-0.181674 # DEPENDENCYPART_ARC
(13,14),2.71362 # DEPENDENCYPART_ARC
(13,15),1.20262 # DEPENDENCYPART_ARC
(13,16),1.7432 # DEPENDENCYPART_ARC
(13,17),-0.845195 # DEPENDENCYPART_ARC
(13,18),0.026555 # DEPENDENCYPART_ARC
(13,19),-1.41688 # DEPENDENCYPART_ARC
(13,20),0.34631 # DEPENDENCYPART_ARC
(13,21),0.0870371 # DEPENDENCYPART_ARC
(13,22),-1.17213 # DEPENDENCYPART_ARC
(13,23),-1.59359 # DEPENDENCYPART_ARC
(13,24),-1.2398 # DEPENDENCYPART_ARC
(13,25),0.223848 # DEPENDENCYPART_ARC
(13,26),-3.12284 # DEPENDENCYPART_ARC
(13,27),-0.787079 # DEPENDENCYPART_ARC
(13,28),-2.065 # DEPENDENCYPART_ARC
(13,29),-2.06465 # DEPENDENCYPART_ARC
(13,30),-1.74801 # DEPENDENCYPART_ARC
(13,31),-2.08054 # DEPENDENCYPART_ARC
(14,1),-2.09282 # DEPENDENCYPART_ARC
(14,2),-2.53395 # DEPENDENCYPART_ARC
(14,3),-3.05211 # DEPENDENCYPART_ARC
(14,4),-2.90932 # DEPENDENCYPART_ARC
(14,5),-1.66182 # DEPENDENCYPART_ARC
(14,6),-2.23139 # DEPENDENCYPART_ARC
(14,7),-2.7719 # DEPENDENCYPART_ARC
(14,8),-1.98334 # DEPENDENCYPART_ARC
(14,9),-2.29167 # DEPENDENCYPART_ARC
(14,10),-2.03435 # DEPENDENCYPART_ARC
(14,11),-1.81751 # DEPENDENCYPART_ARC
(14,12),-1.16355 # DEPENDENCYPART_ARC
(14,13),-0.611737 # DEPENDENCYPART_ARC
(14,15),4.1048 # DEPENDENCYPART_ARC
(14,16),-0.138721 # DEPENDENCYPART_ARC
(14,17),0.745495 # DEPENDENCYPART_ARC
(14,18),-0.271922 # DEPENDENCYPART_ARC
(14,19),-0.390179 # DEPENDENCYPART_ARC
(14,20),-0.88439 # DEPENDENCYPART_ARC
(14,21),-0.049705 # DEPENDENCYPART_ARC
(14,22),-0.978857 # DEPENDENCYPART_ARC
(14,23),-1.06403 # DEPENDENCYPART_ARC
(14,24),-3.16205 # DEPENDENCYPART_ARC
(14,25),-1.13417 # DEPENDENCYPART_ARC
(14,26),-2.72542 # DEPENDENCYPART_ARC
(14,27),-2.28828 # DEPENDENCYPART_ARC
(14,28),-1.77677 # DEPENDENCYPART_ARC
(14,29),-1.57144 # DEPENDENCYPART_ARC
(14,30),-5.2792 # DEPENDENCYPART_ARC
(14,31),-1.85839 # DEPENDENCYPART_ARC
(15,1),-2.13335 # DEPENDENCYPART_ARC
(15,2),-4.05147 # DEPENDENCYPART_ARC
(15,3),-4.47216 # DEPENDENCYPART_ARC
(15,4),-3.70041 # DEPENDENCYPART_ARC
(15,5),-1.60588 # DEPENDENCYPART_ARC
(15,6),-2.542 # DEPENDENCYPART_ARC
(15,7),-4.0213 # DEPENDENCYPART_ARC
(15,8),-0.526123 # DEPENDENCYPART_ARC
(15,9),-0.737117 # DEPENDENCYPART_ARC
(15,10),-1.43405 # DEPENDENCYPART_ARC
(15,11),-1.44169 # DEPENDENCYPART_ARC
(15,12),-2.31754 # DEPENDENCYPART_ARC
(15,13),0.464875 # DEPENDENCYPART_ARC
(15,14),0.570873 # DEPENDENCYPART_ARC
(15,16),1.49072 # DEPENDENCYPART_ARC
(15,17),0.345317 # DEPENDENCYPART_ARC
(15,18),0.627725 # DEPENDENCYPART_ARC
(15,19),-0.134524 # DEPENDENCYPART_ARC
(15,20),0.0941926 # DEPENDENCYPART_ARC
(15,21),-0.322379 # DEPENDENCYPART_ARC
(15,22),-0.406293 # DEPENDENCYPART_ARC
(15,23),-1.11352 # DEPENDENCYPART_ARC
(15,24),-0.743138 # DEPENDENCYPART_ARC
(15,25),-0.682772 # DEPENDENCYPART_ARC
(15,26),-2.8667 # DEPENDENCYPART_ARC
(15,27),-1.78316 # DEPENDENCYPART_ARC
(15,28),-0.884972 # DEPENDENCYPART_ARC
(15,29),-1.31427 # DEPENDENCYPART_ARC
(15,30),-1.46591 # DEPENDENCYPART_ARC
(15,31),-2.85804 # DEPENDENCYPART_ARC
(16,1),-2.00761 # DEPENDENCYPART_ARC
(16,2),-2.41581 # DEPENDENCYPART_ARC
(16,3),-2.72017 # DEPENDENCYPART_ARC
(16,4),-2.66067 # DEPENDENCYPART_ARC
(16,5),-1.63421 # DEPENDENCYPART_ARC
(16,6),-2.0851 # DEPENDENCYPART_ARC
(16,7),-2.61638 # DEPENDENCYPART_ARC
(16,8),-1.86896 # DEPENDENCYPART_ARC
(16,9),-2.25509 # DEPENDENCYPART_ARC
(16,10),-2.14682 # DEPENDENCYPART_ARC
(16,11),-2.07843 # DEPENDENCYPART_ARC
(16,12),-1.62648 # DEPENDENCYPART_ARC
(16,13),-1.88554 # DEPENDENCYPART_ARC
(16,14),-0.414181 # DEPENDENCYPART_ARC
(16,15),-0.359839 # DEPENDENCYPART_ARC
(16,17),3.74251 # DEPENDENCYPART_ARC
(16,18),-0.499001 # DEPENDENCYPART_ARC
(16,19),0.728025 # DEPENDENCYPART_ARC
(16,20),-0.905302 # DEPENDENCYPART_ARC
(16,21),-0.313999 # DEPENDENCYPART_ARC
(16,22),-1.3248 # DEPENDENCYPART_ARC
(16,23),-1.40575 # DEPENDENCYPART_ARC
(16,24),-1.89187 # DEPENDENCYPART_ARC
(16,25),-1.02302 # DEPENDENCYPART_ARC
(16,26),-2.2318 # DEPENDENCYPART_ARC
(16,27),-2.47867 # DEPENDENCYPART_ARC
(16,28),-2.21772 # DEPENDENCYPART_ARC
(16,29),-1.86745 # DEPENDENCYPART_ARC
(16,30),-3.82571 # DEPENDENCYPART_ARC
(16,31),-2.07777 # DEPENDENCYPART_ARC
(17,1),-1.46468 # DEPENDENCYPART_ARC
(17,2),-3.73592 # DEPENDENCYPART_ARC
(17,3),-3.08842 # DEPENDENCYPART_ARC
(17,4),-1.93281 # DEPENDENCYPART_ARC
(17,5),-1.51108 # DEPENDENCYPART_ARC
(17,6),-1.81418 # DEPENDENCYPART_ARC
(17,7),-3.23588 # DEPENDENCYPART_ARC
(17,8),-2.28102 # DEPENDENCYPART_ARC
(17,9),-1.76488 # DEPENDENCYPART_ARC
(17,10),-3.3233 # DEPENDENCYPART_ARC
(17,11),-2.22449 # DEPENDENCYPART_ARC
(17,12),-2.73264 # DEPENDENCYPART_ARC
(17,13),-1.3642 # DEPENDENCYPART_ARC
(17,14),-0.602625 # DEPENDENCYPART_ARC
(17,15),-1.32624 # DEPENDENCYPART_ARC
(17,16),0.724488 # DEPENDENCYPART_ARC
(17,18),2.49253 # DEPENDENCYPART_ARC
(17,19),1.0892 # DEPENDENCYPART_ARC
(17,20),0.898996 # DEPENDENCYPART_ARC
(17,21),0.366553 # DEPENDENCYPART_ARC
(17,22),0.0459689 # DEPENDENCYPART_ARC
(17,23),-0.718592 # DEPENDENCYPART_ARC
(17,24),-0.694757 # DEPENDENCYPART_ARC
(17,25),0.0568116 # DEPENDENCYPART_ARC
(17,26),-2.00023 # DEPENDENCYPART_ARC
(17,27),-1.28152 # DEPENDENCYPART_ARC
(17,28),-1.29804 # DEPENDENCYPART_ARC
(17,29),-2.59804 # DEPENDENCYPART_ARC
(17,30),-1.50187 # DEPENDENCYPART_ARC
(17,31),-1.72541 # DEPENDENCYPART_ARC
(18,1),-1.99515 # DEPENDENCYPART_ARC
(18,2),-2.42289 # DEPENDENCYPART_ARC
(18,3),-2.87946 # DEPENDENCYPART_ARC
(18,4),-2.82364 # DEPENDENCYPART_ARC
(18,5),-1.40988 # DEPENDENCYPART_ARC
(18,6),-2.20158 # DEPENDENCYPART_ARC
(18,7),-2.80644 # DEPENDENCYPART_ARC
(18,8),-1.96594 # DEPENDENCYPART_ARC
(18,9),-2.33701 # DEPENDENCYPART_ARC
(18,10),-2.21583 # DEPENDENCYPART_ARC
(18,11),-2.24533 # DEPENDENCYPART_ARC
(18,12),-2.00713 # DEPENDENCYPART_ARC
(18,13),-2.39618 # DEPENDENCYPART_ARC
(18,14),-0.962288 # DEPENDENCYPART_ARC
(18,15),-1.44149 # DEPENDENCYPART_ARC
(18,16),-0.513822 # DEPENDENCYPART_ARC
(18,17),-0.335059 # DEPENDENCYPART_ARC
(18,19),3.90289 # DEPENDENCYPART_ARC
(18,20),0.345986 # DEPENDENCYPART_ARC
