# _root_ La notizia , forse , ancora non lo ha raggiunto .
#goldHeads=2,10,2,10,4,10,10,10,10,0,10,
#predictedHeads=2,10,2,10,4,10,10,10,10,0,10,
(8,4),-1.31186 # DEPENDENCYPART_ARC
(8,5),-0.740647 # DEPENDENCYPART_ARC
(8,6),-0.727509 # DEPENDENCYPART_ARC
(8,7),0.1041 # DEPENDENCYPART_ARC
(8,9),0.324358 # DEPENDENCYPART_ARC
(8,10),-0.785327 # DEPENDENCYPART_ARC
(8,11),-0.735338 # DEPENDENCYPART_ARC
(9,1),-1.92945 # DEPENDENCYPART_ARC
(9,2),-0.643266 # DEPENDENCYPART_ARC
(9,3),-2.60262 # DEPENDENCYPART_ARC
(9,4),-0.500368 # DEPENDENCYPART_ARC
(9,5),-2.23671 # DEPENDENCYPART_ARC
(9,6),-0.255918 # DEPENDENCYPART_ARC
(9,7),0.673817 # DEPENDENCYPART_ARC
(9,8),0.310722 # DEPENDENCYPART_ARC
(9,10),1.01195 # DEPENDENCYPART_ARC
(9,11),0.120446 # DEPENDENCYPART_ARC
(10,1),-0.473108 # DEPENDENCYPART_ARC
(10,2),0.206182 # DEPENDENCYPART_ARC
(10,3),-1.23504 # DEPENDENCYPART_ARC
(10,4),1.08202 # DEPENDENCYPART_ARC
(10,5),-1.03948 # DEPENDENCYPART_ARC
(10,6),1.2053 # DEPENDENCYPART_ARC
(10,7),2.5081 # DEPENDENCYPART_ARC
(10,8),1.58891 # DEPENDENCYPART_ARC
(10,9),4.93203 # DEPENDENCYPART_ARC
(10,11),2.53455 # DEPENDENCYPART_ARC
(11,1),-2.22736 # DEPENDENCYPART_ARC
(11,2),-2.68646 # DEPENDENCYPART_ARC
(11,3),-2.33783 # DEPENDENCYPART_ARC
(11,4),-2.37667 # DEPENDENCYPART_ARC
(11,5),-2.24572 # DEPENDENCYPART_ARC
(11,6),-2.15376 # DEPENDENCYPART_ARC
(11,7),-2.03676 # DEPENDENCYPART_ARC
(11,8),-1.41028 # DEPENDENCYPART_ARC
(11,9),-1.75579 # DEPENDENCYPART_ARC
(11,10),-0.890646 # DEPENDENCYPART_ARC
