# _root_ Gli agenti si avvicinano , osservano i rimasugli , volano battute sul loro significato .
#goldHeads=2,4,4,0,4,4,8,6,8,4,10,11,14,12,14,
#predictedHeads=2,4,4,6,4,0,8,6,8,0,10,10,14,12,14,
(9,5),-2.11648 # DEPENDENCYPART_ARC
(9,6),-2.32947 # DEPENDENCYPART_ARC
(9,7),-0.858572 # DEPENDENCYPART_ARC
(9,8),-0.951558 # DEPENDENCYPART_ARC
(9,10),-0.912399 # DEPENDENCYPART_ARC
(9,11),-1.80916 # DEPENDENCYPART_ARC
(9,12),-2.26994 # DEPENDENCYPART_ARC
(9,13),-2.43642 # DEPENDENCYPART_ARC
(9,14),-2.49348 # DEPENDENCYPART_ARC
(9,15),-1.44029 # DEPENDENCYPART_ARC
(10,1),-0.533401 # DEPENDENCYPART_ARC
(10,2),0.595051 # DEPENDENCYPART_ARC
(10,3),0.25977 # DEPENDENCYPART_ARC
(10,4),-1.04916 # DEPENDENCYPART_ARC
(10,5),-1.70596 # DEPENDENCYPART_ARC
(10,6),0.317755 # DEPENDENCYPART_ARC
(10,7),0.376625 # DEPENDENCYPART_ARC
(10,8),1.51874 # DEPENDENCYPART_ARC
(10,9),0.0759434 # DEPENDENCYPART_ARC
(10,11),3.31603 # DEPENDENCYPART_ARC
(10,12),1.87443 # DEPENDENCYPART_ARC
(10,13),0.0140664 # DEPENDENCYPART_ARC
(10,14),0.710852 # DEPENDENCYPART_ARC
(10,15),-0.372839 # DEPENDENCYPART_ARC
(11,1),-1.35477 # DEPENDENCYPART_ARC
(11,2),-1.72021 # DEPENDENCYPART_ARC
(11,3),-1.15871 # DEPENDENCYPART_ARC
(11,4),-2.59914 # DEPENDENCYPART_ARC
(11,5),-2.36905 # DEPENDENCYPART_ARC
(11,6),-2.06447 # DEPENDENCYPART_ARC
(11,7),0.315352 # DEPENDENCYPART_ARC
(11,8),-0.671938 # DEPENDENCYPART_ARC
(11,9),-0.766049 # DEPENDENCYPART_ARC
(11,10),0.136105 # DEPENDENCYPART_ARC
(11,12),1.43486 # DEPENDENCYPART_ARC
(11,13),1.2088 # DEPENDENCYPART_ARC
(11,14),0.235394 # DEPENDENCYPART_ARC
(11,15),-0.208926 # DEPENDENCYPART_ARC
(12,1),-1.82845 # DEPENDENCYPART_ARC
(12,2),-2.83127 # DEPENDENCYPART_ARC
(12,3),-1.99172 # DEPENDENCYPART_ARC
(12,4),-2.90304 # DEPENDENCYPART_ARC
(12,5),-1.89267 # DEPENDENCYPART_ARC
(12,6),-2.80403 # DEPENDENCYPART_ARC
(12,7),-1.32271 # DEPENDENCYPART_ARC
(12,8),-2.16867 # DEPENDENCYPART_ARC
(12,9),-1.34912 # DEPENDENCYPART_ARC
(12,10),-1.57518 # DEPENDENCYPART_ARC
(12,11),-1.01983 # DEPENDENCYPART_ARC
(12,13),1.08234 # DEPENDENCYPART_ARC
(12,14),2.89735 # DEPENDENCYPART_ARC
(12,15),-0.124351 # DEPENDENCYPART_ARC
(13,1),-2.35056 # DEPENDENCYPART_ARC
(13,2),-3.27444 # DEPENDENCYPART_ARC
(13,3),-2.21399 # DEPENDENCYPART_ARC
(13,4),-4.13223 # DEPENDENCYPART_ARC
(13,5),-2.59176 # DEPENDENCYPART_ARC
(13,6),-4.03443 # DEPENDENCYPART_ARC
(13,7),-2.18218 # DEPENDENCYPART_ARC
(13,8),-2.63522 # DEPENDENCYPART_ARC
(13,9),-2.22031 # DEPENDENCYPART_ARC
(13,10),-3.31915 # DEPENDENCYPART_ARC
(13,11),-1.84809 # DEPENDENCYPART_ARC
(13,12),-0.190641 # DEPENDENCYPART_ARC
(13,14),1.49848 # DEPENDENCYPART_ARC
(13,15),-0.126907 # DEPENDENCYPART_ARC
(14,1),-1.61431 # DEPENDENCYPART_ARC
(14,2),-2.37464 # DEPENDENCYPART_ARC
(14,3),-0.825124 # DEPENDENCYPART_ARC
(14,4),-2.44675 # DEPENDENCYPART_ARC
(14,5),-2.54952 # DEPENDENCYPART_ARC
(14,6),-2.12951 # DEPENDENCYPART_ARC
(14,7),-0.335661 # DEPENDENCYPART_ARC
(14,8),-1.99619 # DEPENDENCYPART_ARC
(14,9),-1.92615 # DEPENDENCYPART_ARC
(14,10),-1.6628 # DEPENDENCYPART_ARC
(14,11),-0.881009 # DEPENDENCYPART_ARC
(14,12),0.595982 # DEPENDENCYPART_ARC
(14,13),3.59276 # DEPENDENCYPART_ARC
(14,15),2.51698 # DEPENDENCYPART_ARC
(15,1),-2.38659 # DEPENDENCYPART_ARC
(15,2),-2.7551 # DEPENDENCYPART_ARC
(15,3),-2.43709 # DEPENDENCYPART_ARC
(15,4),-3.047 # DEPENDENCYPART_ARC
(15,5),-2.34392 # DEPENDENCYPART_ARC
(15,6),-2.92618 # DEPENDENCYPART_ARC
(15,7),-2.07596 # DEPENDENCYPART_ARC
(15,8),-2.58789 # DEPENDENCYPART_ARC
(15,9),-2.16705 # DEPENDENCYPART_ARC
(15,10),-2.66206 # DEPENDENCYPART_ARC
(15,11),-2.17543 # DEPENDENCYPART_ARC
(15,12),-1.25906 # DEPENDENCYPART_ARC
(15,13),-1.43418 # DEPENDENCYPART_ARC
(15,14),-0.824938 # DEPENDENCYPART_ARC
