# _root_ Si è parlato ahimè dei favoritismi , della corruzione , della promiscuità della corte che circondava Allende .
#goldHeads=2,3,0,3,3,5,5,5,8,5,5,11,12,13,16,14,16,17,
#predictedHeads=3,3,0,3,3,5,6,6,8,9,9,11,12,13,16,14,16,17,
(4,18),0.00887766 # DEPENDENCYPART_ARC
(5,1),-2.02997 # DEPENDENCYPART_ARC
(5,2),-2.63837 # DEPENDENCYPART_ARC
(5,3),-1.90789 # DEPENDENCYPART_ARC
(5,6),4.26314 # DEPENDENCYPART_ARC
(5,7),0.749054 # DEPENDENCYPART_ARC
(5,8),0.196274 # DEPENDENCYPART_ARC
(5,9),-0.604777 # DEPENDENCYPART_ARC
(5,10),0.387598 # DEPENDENCYPART_ARC
(5,11),-0.0919718 # DEPENDENCYPART_ARC
(5,12),-2.19 # DEPENDENCYPART_ARC
(5,13),-0.398212 # DEPENDENCYPART_ARC
(5,14),-3.27142 # DEPENDENCYPART_ARC
(5,15),-2.00087 # DEPENDENCYPART_ARC
(5,16),-2.84187 # DEPENDENCYPART_ARC
(5,17),-5.02075 # DEPENDENCYPART_ARC
(5,18),-1.34701 # DEPENDENCYPART_ARC
(6,1),-1.9684 # DEPENDENCYPART_ARC
(6,2),-3.43995 # DEPENDENCYPART_ARC
(6,3),-1.98972 # DEPENDENCYPART_ARC
(6,4),-0.501074 # DEPENDENCYPART_ARC
(6,5),0.906943 # DEPENDENCYPART_ARC
(6,7),2.35932 # DEPENDENCYPART_ARC
(6,8),0.791502 # DEPENDENCYPART_ARC
(6,9),0.545778 # DEPENDENCYPART_ARC
(6,10),0.705913 # DEPENDENCYPART_ARC
(6,11),0.0869116 # DEPENDENCYPART_ARC
(6,12),-0.12454 # DEPENDENCYPART_ARC
(6,13),-0.0502403 # DEPENDENCYPART_ARC
(6,14),-0.381417 # DEPENDENCYPART_ARC
(6,15),-2.28741 # DEPENDENCYPART_ARC
(6,16),-0.686902 # DEPENDENCYPART_ARC
(6,17),-1.0741 # DEPENDENCYPART_ARC
(6,18),-1.85866 # DEPENDENCYPART_ARC
(7,10),-0.472241 # DEPENDENCYPART_ARC
(7,18),-1.32574 # DEPENDENCYPART_ARC
(8,1),-2.18718 # DEPENDENCYPART_ARC
(8,2),-2.75088 # DEPENDENCYPART_ARC
(8,3),-3.36282 # DEPENDENCYPART_ARC
(8,5),-1.1331 # DEPENDENCYPART_ARC
(8,6),-1.97035 # DEPENDENCYPART_ARC
(8,7),-0.0682235 # DEPENDENCYPART_ARC
(8,9),4.27797 # DEPENDENCYPART_ARC
(8,10),0.923445 # DEPENDENCYPART_ARC
(8,11),0.620068 # DEPENDENCYPART_ARC
(8,12),0.488785 # DEPENDENCYPART_ARC
(8,13),0.455249 # DEPENDENCYPART_ARC
(8,14),-0.735845 # DEPENDENCYPART_ARC
(8,15),-2.14238 # DEPENDENCYPART_ARC
(8,16),-2.34196 # DEPENDENCYPART_ARC
(8,17),-3.92019 # DEPENDENCYPART_ARC
(8,18),-0.846074 # DEPENDENCYPART_ARC
(9,1),-1.70941 # DEPENDENCYPART_ARC
(9,2),-2.68079 # DEPENDENCYPART_ARC
(9,3),-2.61191 # DEPENDENCYPART_ARC
(9,4),-1.65683 # DEPENDENCYPART_ARC
(9,5),-1.48077 # DEPENDENCYPART_ARC
(9,6),-2.17724 # DEPENDENCYPART_ARC
(9,7),-1.61421 # DEPENDENCYPART_ARC
(9,8),0.549749 # DEPENDENCYPART_ARC
(9,10),2.3703 # DEPENDENCYPART_ARC
(9,11),0.80476 # DEPENDENCYPART_ARC
(9,12),0.42464 # DEPENDENCYPART_ARC
(9,13),0.620578 # DEPENDENCYPART_ARC
(9,14),0.087016 # DEPENDENCYPART_ARC
(9,15),-1.99573 # DEPENDENCYPART_ARC
(9,16),0.0438895 # DEPENDENCYPART_ARC
(9,17),-0.726168 # DEPENDENCYPART_ARC
(9,18),-1.08311 # DEPENDENCYPART_ARC
(10,7),-1.15758 # DEPENDENCYPART_ARC
(10,18),-1.08022 # DEPENDENCYPART_ARC
(11,1),-2.32936 # DEPENDENCYPART_ARC
(11,2),-2.87073 # DEPENDENCYPART_ARC
(11,3),-3.60919 # DEPENDENCYPART_ARC
(11,5),-1.85192 # DEPENDENCYPART_ARC
(11,6),-2.6595 # DEPENDENCYPART_ARC
(11,7),-1.6596 # DEPENDENCYPART_ARC
(11,8),-1.19107 # DEPENDENCYPART_ARC
(11,9),-1.60149 # DEPENDENCYPART_ARC
(11,10),-0.0649844 # DEPENDENCYPART_ARC
(11,12),3.98723 # DEPENDENCYPART_ARC
(11,13),0.63633 # DEPENDENCYPART_ARC
(11,14),0.887337 # DEPENDENCYPART_ARC
(11,15),-1.52288 # DEPENDENCYPART_ARC
(11,16),-1.7944 # DEPENDENCYPART_ARC
(11,17),-2.70297 # DEPENDENCYPART_ARC
(11,18),-0.724065 # DEPENDENCYPART_ARC
(12,1),-1.96343 # DEPENDENCYPART_ARC
(12,2),-3.04191 # DEPENDENCYPART_ARC
(12,3),-2.39415 # DEPENDENCYPART_ARC
(12,4),-2.06277 # DEPENDENCYPART_ARC
(12,5),-1.96508 # DEPENDENCYPART_ARC
(12,6),-3.72872 # DEPENDENCYPART_ARC
(12,7),-2.89128 # DEPENDENCYPART_ARC
(12,8),-0.677535 # DEPENDENCYPART_ARC
(12,9),-2.57684 # DEPENDENCYPART_ARC
(12,10),-1.65883 # DEPENDENCYPART_ARC
(12,11),1.01925 # DEPENDENCYPART_ARC
(12,13),2.35238 # DEPENDENCYPART_ARC
(12,14),0.974123 # DEPENDENCYPART_ARC
(12,15),-0.922094 # DEPENDENCYPART_ARC
(12,16),0.7454 # DEPENDENCYPART_ARC
(12,17),-0.318901 # DEPENDENCYPART_ARC
(12,18),-0.739893 # DEPENDENCYPART_ARC
(13,1),-2.32097 # DEPENDENCYPART_ARC
(13,2),-2.96607 # DEPENDENCYPART_ARC
(13,3),-3.61927 # DEPENDENCYPART_ARC
(13,5),-1.83638 # DEPENDENCYPART_ARC
(13,6),-2.83935 # DEPENDENCYPART_ARC
(13,7),-1.87561 # DEPENDENCYPART_ARC
(13,8),-1.53425 # DEPENDENCYPART_ARC
(13,9),-2.14892 # DEPENDENCYPART_ARC
(13,10),-1.28472 # DEPENDENCYPART_ARC
(13,11),-0.855139 # DEPENDENCYPART_ARC
(13,12),-0.997627 # DEPENDENCYPART_ARC
(13,14),4.20956 # DEPENDENCYPART_ARC
(13,15),-0.352827 # DEPENDENCYPART_ARC
(13,16),-1.62743 # DEPENDENCYPART_ARC
(13,17),-1.30579 # DEPENDENCYPART_ARC
(13,18),-0.932962 # DEPENDENCYPART_ARC
(14,1),-1.86041 # DEPENDENCYPART_ARC
(14,2),-2.66966 # DEPENDENCYPART_ARC
(14,3),-2.65071 # DEPENDENCYPART_ARC
(14,4),-2.0266 # DEPENDENCYPART_ARC
(14,5),-2.38334 # DEPENDENCYPART_ARC
(14,6),-3.26708 # DEPENDENCYPART_ARC
(14,7),-3.16549 # DEPENDENCYPART_ARC
(14,8),-1.67798 # DEPENDENCYPART_ARC
(14,9),-2.51659 # DEPENDENCYPART_ARC
(14,10),-2.59907 # DEPENDENCYPART_ARC
(14,11),-0.600756 # DEPENDENCYPART_ARC
(14,12),-1.08765 # DEPENDENCYPART_ARC
(14,13),0.618995 # DEPENDENCYPART_ARC
(14,15),-0.0809073 # DEPENDENCYPART_ARC
(14,16),1.61355 # DEPENDENCYPART_ARC
(14,17),0.316512 # DEPENDENCYPART_ARC
(14,18),-0.00336021 # DEPENDENCYPART_ARC
(15,2),-3.4718 # DEPENDENCYPART_ARC
(15,3),-2.98835 # DEPENDENCYPART_ARC
(15,4),-1.66236 # DEPENDENCYPART_ARC
(15,5),-2.583 # DEPENDENCYPART_ARC
(15,6),-2.90419 # DEPENDENCYPART_ARC
(15,7),-1.7711 # DEPENDENCYPART_ARC
(15,8),-1.77688 # DEPENDENCYPART_ARC
(15,9),-2.7115 # DEPENDENCYPART_ARC
(15,10),-1.5433 # DEPENDENCYPART_ARC
(15,11),-1.33585 # DEPENDENCYPART_ARC
(15,12),-1.51619 # DEPENDENCYPART_ARC
(15,13),-0.724289 # DEPENDENCYPART_ARC
(15,14),-1.13728 # DEPENDENCYPART_ARC
(15,16),0.290769 # DEPENDENCYPART_ARC
(15,18),-0.480602 # DEPENDENCYPART_ARC
(16,1),-1.13194 # DEPENDENCYPART_ARC
(16,2),-2.74977 # DEPENDENCYPART_ARC
(16,3),-1.57263 # DEPENDENCYPART_ARC
(16,4),-1.2197 # DEPENDENCYPART_ARC
(16,5),-2.52582 # DEPENDENCYPART_ARC
(16,6),-2.36721 # DEPENDENCYPART_ARC
(16,7),-3.19846 # DEPENDENCYPART_ARC
(16,8),-1.24475 # DEPENDENCYPART_ARC
(16,9),-1.5553 # DEPENDENCYPART_ARC
(16,10),-3.01249 # DEPENDENCYPART_ARC
(16,11),-0.715846 # DEPENDENCYPART_ARC
(16,12),-0.575147 # DEPENDENCYPART_ARC
(16,13),-0.59884 # DEPENDENCYPART_ARC
(16,14),-0.562728 # DEPENDENCYPART_ARC
(16,15),2.84824 # DEPENDENCYPART_ARC
(16,17),2.62924 # DEPENDENCYPART_ARC
(16,18),0.329291 # DEPENDENCYPART_ARC
(17,1),-1.59261 # DEPENDENCYPART_ARC
(17,2),-3.47615 # DEPENDENCYPART_ARC
(17,3),-2.107 # DEPENDENCYPART_ARC
(17,5),-2.34869 # DEPENDENCYPART_ARC
(17,6),-3.36352 # DEPENDENCYPART_ARC
(17,7),-2.81755 # DEPENDENCYPART_ARC
(17,8),-1.12177 # DEPENDENCYPART_ARC
(17,9),-3.48736 # DEPENDENCYPART_ARC
(17,10),-2.56307 # DEPENDENCYPART_ARC
(17,11),-0.765503 # DEPENDENCYPART_ARC
(17,12),-0.905953 # DEPENDENCYPART_ARC
(17,13),-0.35033 # DEPENDENCYPART_ARC
(17,14),-1.94388 # DEPENDENCYPART_ARC
(17,16),-0.646556 # DEPENDENCYPART_ARC
(17,18),2.81616 # DEPENDENCYPART_ARC
(18,7),-1.67581 # DEPENDENCYPART_ARC
(18,10),-1.52242 # DEPENDENCYPART_ARC
