# _root_ Non pago degli insulti , il corazziere avrebbe aggiunto anche la minaccia di un attentato , parlando di una bomba pronta a far saltare in aria il capo dello Stato .
#goldHeads=2,7,2,3,4,7,9,9,0,12,12,9,12,15,13,15,9,17,20,18,20,21,22,23,24,25,28,24,28,29,30,
#predictedHeads=2,7,2,3,4,7,9,9,0,12,12,9,12,15,13,15,9,17,20,18,20,17,22,23,24,25,28,24,28,29,30,
(6,7),0.880083 # DEPENDENCYPART_ARC
(6,8),-0.527312 # DEPENDENCYPART_ARC
(6,9),-0.863281 # DEPENDENCYPART_ARC
(6,10),-0.890051 # DEPENDENCYPART_ARC
(6,11),-1.8778 # DEPENDENCYPART_ARC
(6,12),-1.04986 # DEPENDENCYPART_ARC
(6,13),-0.741169 # DEPENDENCYPART_ARC
(6,14),-1.94983 # DEPENDENCYPART_ARC
(6,15),-1.13667 # DEPENDENCYPART_ARC
(6,16),-1.08834 # DEPENDENCYPART_ARC
(6,17),-1.37804 # DEPENDENCYPART_ARC
(6,18),-1.07739 # DEPENDENCYPART_ARC
(6,19),-2.18023 # DEPENDENCYPART_ARC
(6,20),-1.32614 # DEPENDENCYPART_ARC
(6,21),-2.69284 # DEPENDENCYPART_ARC
(6,22),-1.43576 # DEPENDENCYPART_ARC
(6,23),-1.78145 # DEPENDENCYPART_ARC
(6,24),-1.75948 # DEPENDENCYPART_ARC
(6,25),-1.70747 # DEPENDENCYPART_ARC
(6,26),-1.513 # DEPENDENCYPART_ARC
(6,27),-2.43279 # DEPENDENCYPART_ARC
(6,28),-1.47991 # DEPENDENCYPART_ARC
(6,29),-1.92307 # DEPENDENCYPART_ARC
(6,30),-1.64433 # DEPENDENCYPART_ARC
(6,31),-2.01765 # DEPENDENCYPART_ARC
(7,1),-0.45638 # DEPENDENCYPART_ARC
(7,2),-0.209699 # DEPENDENCYPART_ARC
(7,3),0.107736 # DEPENDENCYPART_ARC
(7,4),-0.564789 # DEPENDENCYPART_ARC
(7,5),-0.7811 # DEPENDENCYPART_ARC
(7,6),3.60722 # DEPENDENCYPART_ARC
(7,8),0.414304 # DEPENDENCYPART_ARC
(7,9),0.100229 # DEPENDENCYPART_ARC
(7,10),0.26353 # DEPENDENCYPART_ARC
(7,11),-0.910161 # DEPENDENCYPART_ARC
(7,12),-0.0771704 # DEPENDENCYPART_ARC
(7,13),0.403673 # DEPENDENCYPART_ARC
(7,14),-0.961259 # DEPENDENCYPART_ARC
(7,15),-0.179627 # DEPENDENCYPART_ARC
(7,16),-0.132461 # DEPENDENCYPART_ARC
(7,17),-1.82708 # DEPENDENCYPART_ARC
(7,18),-0.695987 # DEPENDENCYPART_ARC
(7,19),-1.36094 # DEPENDENCYPART_ARC
(7,20),-1.0305 # DEPENDENCYPART_ARC
(7,21),-1.83055 # DEPENDENCYPART_ARC
(7,22),-1.0306 # DEPENDENCYPART_ARC
(7,23),-2.51525 # DEPENDENCYPART_ARC
(7,24),-3.10947 # DEPENDENCYPART_ARC
(7,25),-1.22613 # DEPENDENCYPART_ARC
(7,26),-2.07888 # DEPENDENCYPART_ARC
(7,27),-1.69801 # DEPENDENCYPART_ARC
(7,28),-1.78744 # DEPENDENCYPART_ARC
(7,29),-1.55357 # DEPENDENCYPART_ARC
(7,30),-2.28334 # DEPENDENCYPART_ARC
(7,31),-4.35705 # DEPENDENCYPART_ARC
(8,1),-0.670802 # DEPENDENCYPART_ARC
(8,2),-1.3981 # DEPENDENCYPART_ARC
(8,3),-1.36988 # DEPENDENCYPART_ARC
(8,4),-2.1342 # DEPENDENCYPART_ARC
(8,5),-1.78043 # DEPENDENCYPART_ARC
(8,6),-0.771018 # DEPENDENCYPART_ARC
(8,7),0.139405 # DEPENDENCYPART_ARC
(8,9),1.03862 # DEPENDENCYPART_ARC
(8,10),-0.151116 # DEPENDENCYPART_ARC
(8,11),-2.0059 # DEPENDENCYPART_ARC
(8,12),0.257381 # DEPENDENCYPART_ARC
(8,13),-0.648712 # DEPENDENCYPART_ARC
(8,14),-2.24363 # DEPENDENCYPART_ARC
(8,15),-0.828567 # DEPENDENCYPART_ARC
(8,16),0.427092 # DEPENDENCYPART_ARC
(8,17),0.491826 # DEPENDENCYPART_ARC
(8,18),-1.19851 # DEPENDENCYPART_ARC
(8,19),-2.52473 # DEPENDENCYPART_ARC
(8,20),-1.34816 # DEPENDENCYPART_ARC
(8,21),-1.35188 # DEPENDENCYPART_ARC
(8,22),-0.103961 # DEPENDENCYPART_ARC
(8,23),-0.379084 # DEPENDENCYPART_ARC
(8,24),-0.374996 # DEPENDENCYPART_ARC
(8,25),-1.09261 # DEPENDENCYPART_ARC
(8,26),-2.26427 # DEPENDENCYPART_ARC
(8,27),-2.68227 # DEPENDENCYPART_ARC
(8,28),-2.04923 # DEPENDENCYPART_ARC
(8,29),-2.81966 # DEPENDENCYPART_ARC
(8,30),-2.74618 # DEPENDENCYPART_ARC
(8,31),-3.11274 # DEPENDENCYPART_ARC
(9,1),0.860272 # DEPENDENCYPART_ARC
(9,2),-0.305226 # DEPENDENCYPART_ARC
(9,3),-0.0974875 # DEPENDENCYPART_ARC
(9,4),0.490813 # DEPENDENCYPART_ARC
(9,5),-1.15659 # DEPENDENCYPART_ARC
(9,6),0.658903 # DEPENDENCYPART_ARC
(9,7),2.14645 # DEPENDENCYPART_ARC
(9,8),5.30488 # DEPENDENCYPART_ARC
(9,10),1.18341 # DEPENDENCYPART_ARC
(9,11),-1.06268 # DEPENDENCYPART_ARC
(9,12),1.45218 # DEPENDENCYPART_ARC
(9,13),0.333507 # DEPENDENCYPART_ARC
(9,14),-1.57707 # DEPENDENCYPART_ARC
(9,15),0.367885 # DEPENDENCYPART_ARC
(9,16),0.847617 # DEPENDENCYPART_ARC
(9,17),1.60739 # DEPENDENCYPART_ARC
(9,18),-0.700217 # DEPENDENCYPART_ARC
(9,19),-2.05447 # DEPENDENCYPART_ARC
(9,20),-0.73004 # DEPENDENCYPART_ARC
(9,21),-1.45039 # DEPENDENCYPART_ARC
(9,22),0.370618 # DEPENDENCYPART_ARC
(9,23),0.0112453 # DEPENDENCYPART_ARC
(9,24),-0.301284 # DEPENDENCYPART_ARC
(9,25),-0.2879 # DEPENDENCYPART_ARC
(9,26),-1.84184 # DEPENDENCYPART_ARC
(9,27),-2.21358 # DEPENDENCYPART_ARC
(9,28),-1.49981 # DEPENDENCYPART_ARC
(9,29),-1.42344 # DEPENDENCYPART_ARC
(9,30),-2.15226 # DEPENDENCYPART_ARC
(9,31),-2.56695 # DEPENDENCYPART_ARC
(10,1),-1.51661 # DEPENDENCYPART_ARC
(10,2),-2.07189 # DEPENDENCYPART_ARC
(10,3),-1.52599 # DEPENDENCYPART_ARC
(10,4),-2.00524 # DEPENDENCYPART_ARC
(10,5),-1.52759 # DEPENDENCYPART_ARC
(10,6),-1.21314 # DEPENDENCYPART_ARC
(10,7),-1.37482 # DEPENDENCYPART_ARC
(10,8),-1.24181 # DEPENDENCYPART_ARC
(10,9),-0.371774 # DEPENDENCYPART_ARC
(10,11),-0.195463 # DEPENDENCYPART_ARC
(10,12),-0.352288 # DEPENDENCYPART_ARC
(10,13),-0.823602 # DEPENDENCYPART_ARC
(10,14),-1.11773 # DEPENDENCYPART_ARC
(10,15),-1.0361 # DEPENDENCYPART_ARC
(10,16),-0.417821 # DEPENDENCYPART_ARC
(10,17),-0.340804 # DEPENDENCYPART_ARC
(10,18),-1.4441 # DEPENDENCYPART_ARC
(10,19),-1.55478 # DEPENDENCYPART_ARC
(10,20),-1.51964 # DEPENDENCYPART_ARC
(10,21),-1.38138 # DEPENDENCYPART_ARC
(10,22),-1.61532 # DEPENDENCYPART_ARC
(10,23),-1.37991 # DEPENDENCYPART_ARC
(10,24),-1.21317 # DEPENDENCYPART_ARC
(10,25),-2.03055 # DEPENDENCYPART_ARC
(10,26),-1.72861 # DEPENDENCYPART_ARC
(10,27),-1.8577 # DEPENDENCYPART_ARC
(10,28),-1.77115 # DEPENDENCYPART_ARC
(10,29),-2.07194 # DEPENDENCYPART_ARC
(10,30),-1.732 # DEPENDENCYPART_ARC
(10,31),-2.22824 # DEPENDENCYPART_ARC
(11,1),-1.37023 # DEPENDENCYPART_ARC
(11,2),-1.5683 # DEPENDENCYPART_ARC
(11,3),-1.57986 # DEPENDENCYPART_ARC
(11,4),-1.94824 # DEPENDENCYPART_ARC
(11,5),-0.949728 # DEPENDENCYPART_ARC
(11,6),-0.937098 # DEPENDENCYPART_ARC
(11,7),-1.39316 # DEPENDENCYPART_ARC
(11,8),-1.37203 # DEPENDENCYPART_ARC
(11,9),-1.22875 # DEPENDENCYPART_ARC
(11,10),0.157948 # DEPENDENCYPART_ARC
(11,12),1.35641 # DEPENDENCYPART_ARC
(11,13),0.233323 # DEPENDENCYPART_ARC
(11,14),-1.06736 # DEPENDENCYPART_ARC
(11,15),-0.488358 # DEPENDENCYPART_ARC
(11,16),-0.318625 # DEPENDENCYPART_ARC
(11,17),-0.567285 # DEPENDENCYPART_ARC
(11,18),-0.648387 # DEPENDENCYPART_ARC
(11,19),-1.28817 # DEPENDENCYPART_ARC
(11,20),-0.704818 # DEPENDENCYPART_ARC
(11,21),-1.50363 # DEPENDENCYPART_ARC
(11,22),-0.908903 # DEPENDENCYPART_ARC
(11,23),-1.08226 # DEPENDENCYPART_ARC
(11,24),-1.16224 # DEPENDENCYPART_ARC
(11,25),-1.05349 # DEPENDENCYPART_ARC
(11,26),-0.890938 # DEPENDENCYPART_ARC
(11,27),-1.93187 # DEPENDENCYPART_ARC
(11,28),-1.0393 # DEPENDENCYPART_ARC
(11,29),-1.31464 # DEPENDENCYPART_ARC
(11,30),-1.28659 # DEPENDENCYPART_ARC
(11,31),-1.24369 # DEPENDENCYPART_ARC
(12,1),-1.09452 # DEPENDENCYPART_ARC
(12,2),-1.94865 # DEPENDENCYPART_ARC
(12,3),-0.958813 # DEPENDENCYPART_ARC
(12,4),-2.43489 # DEPENDENCYPART_ARC
(12,5),-2.61537 # DEPENDENCYPART_ARC
(12,6),-1.07272 # DEPENDENCYPART_ARC
(12,7),-2.26454 # DEPENDENCYPART_ARC
(12,8),-1.08729 # DEPENDENCYPART_ARC
(12,9),-0.864881 # DEPENDENCYPART_ARC
(12,10),1.88902 # DEPENDENCYPART_ARC
(12,11),3.31673 # DEPENDENCYPART_ARC
(12,13),2.35983 # DEPENDENCYPART_ARC
(12,14),-0.225717 # DEPENDENCYPART_ARC
(12,15),0.884813 # DEPENDENCYPART_ARC
(12,16),0.4066 # DEPENDENCYPART_ARC
(12,17),-0.0111647 # DEPENDENCYPART_ARC
(12,18),0.0900766 # DEPENDENCYPART_ARC
(12,19),-0.366489 # DEPENDENCYPART_ARC
(12,20),-0.185284 # DEPENDENCYPART_ARC
(12,21),0.161201 # DEPENDENCYPART_ARC
(12,22),-0.259859 # DEPENDENCYPART_ARC
(12,23),-1.01372 # DEPENDENCYPART_ARC
(12,24),-1.56461 # DEPENDENCYPART_ARC
(12,25),-0.859227 # DEPENDENCYPART_ARC
(12,26),-1.25648 # DEPENDENCYPART_ARC
(12,27),-1.47448 # DEPENDENCYPART_ARC
(12,28),-1.02985 # DEPENDENCYPART_ARC
(12,29),-0.948322 # DEPENDENCYPART_ARC
(12,30),-1.76342 # DEPENDENCYPART_ARC
(12,31),-3.35832 # DEPENDENCYPART_ARC
(13,1),-1.35974 # DEPENDENCYPART_ARC
(13,2),-2.35822 # DEPENDENCYPART_ARC
(13,3),-1.66223 # DEPENDENCYPART_ARC
(13,4),-1.9917 # DEPENDENCYPART_ARC
(13,5),-2.15157 # DEPENDENCYPART_ARC
(13,6),-1.71051 # DEPENDENCYPART_ARC
(13,7),-1.93689 # DEPENDENCYPART_ARC
(13,8),-2.24293 # DEPENDENCYPART_ARC
(13,9),-2.08369 # DEPENDENCYPART_ARC
(13,10),-0.307915 # DEPENDENCYPART_ARC
(13,11),-0.560323 # DEPENDENCYPART_ARC
(13,12),-0.196986 # DEPENDENCYPART_ARC
(13,14),0.677149 # DEPENDENCYPART_ARC
(13,15),3.44332 # DEPENDENCYPART_ARC
(13,16),0.285201 # DEPENDENCYPART_ARC
(13,17),0.52537 # DEPENDENCYPART_ARC
(13,18),0.26533 # DEPENDENCYPART_ARC
(13,19),-0.944571 # DEPENDENCYPART_ARC
(13,20),-0.796201 # DEPENDENCYPART_ARC
(13,21),-0.189986 # DEPENDENCYPART_ARC
(13,22),-0.950909 # DEPENDENCYPART_ARC
(13,23),-0.109673 # DEPENDENCYPART_ARC
(13,24),-1.30221 # DEPENDENCYPART_ARC
(13,25),-1.95274 # DEPENDENCYPART_ARC
(13,26),-2.68862 # DEPENDENCYPART_ARC
(13,27),-1.14421 # DEPENDENCYPART_ARC
(13,28),-4.14283 # DEPENDENCYPART_ARC
(13,29),-2.28087 # DEPENDENCYPART_ARC
(13,30),-4.67934 # DEPENDENCYPART_ARC
(13,31),-1.78038 # DEPENDENCYPART_ARC
(14,1),-2.94063 # DEPENDENCYPART_ARC
(14,2),-2.93533 # DEPENDENCYPART_ARC
(14,3),-3.36193 # DEPENDENCYPART_ARC
(14,4),-3.31457 # DEPENDENCYPART_ARC
(14,5),-2.64065 # DEPENDENCYPART_ARC
(14,6),-2.46779 # DEPENDENCYPART_ARC
(14,7),-3.10557 # DEPENDENCYPART_ARC
(14,8),-3.6803 # DEPENDENCYPART_ARC
(14,9),-3.77023 # DEPENDENCYPART_ARC
(14,10),-2.69542 # DEPENDENCYPART_ARC
(14,11),-1.90809 # DEPENDENCYPART_ARC
(14,12),-2.62202 # DEPENDENCYPART_ARC
(14,13),-0.777805 # DEPENDENCYPART_ARC
(14,15),1.08538 # DEPENDENCYPART_ARC
(14,16),-0.0836891 # DEPENDENCYPART_ARC
(14,17),-0.393398 # DEPENDENCYPART_ARC
(14,18),-0.619661 # DEPENDENCYPART_ARC
(14,19),-1.689 # DEPENDENCYPART_ARC
(14,20),-0.985778 # DEPENDENCYPART_ARC
(14,21),-2.17468 # DEPENDENCYPART_ARC
(14,22),-0.985324 # DEPENDENCYPART_ARC
(14,23),-1.24723 # DEPENDENCYPART_ARC
(14,24),-1.28002 # DEPENDENCYPART_ARC
(14,25),-1.26342 # DEPENDENCYPART_ARC
(14,26),-1.35562 # DEPENDENCYPART_ARC
(14,27),-2.05181 # DEPENDENCYPART_ARC
(14,28),-1.1307 # DEPENDENCYPART_ARC
(14,29),-1.6732 # DEPENDENCYPART_ARC
(14,30),-1.27681 # DEPENDENCYPART_ARC
(14,31),-1.2606 # DEPENDENCYPART_ARC
(15,1),-1.20394 # DEPENDENCYPART_ARC
(15,2),-1.80997 # DEPENDENCYPART_ARC
(15,3),-1.24333 # DEPENDENCYPART_ARC
(15,4),-1.99183 # DEPENDENCYPART_ARC
(15,5),-2.80396 # DEPENDENCYPART_ARC
(15,6),-1.4349 # DEPENDENCYPART_ARC
(15,7),-2.18127 # DEPENDENCYPART_ARC
(15,8),-1.75318 # DEPENDENCYPART_ARC
(15,9),-1.25351 # DEPENDENCYPART_ARC
(15,10),1.04967 # DEPENDENCYPART_ARC
(15,11),0.0891028 # DEPENDENCYPART_ARC
(15,12),-1.60411 # DEPENDENCYPART_ARC
(15,13),0.438371 # DEPENDENCYPART_ARC
(15,14),3.38523 # DEPENDENCYPART_ARC
(15,16),2.44814 # DEPENDENCYPART_ARC
(15,17),0.835515 # DEPENDENCYPART_ARC
(15,18),1.08548 # DEPENDENCYPART_ARC
(15,19),-0.325779 # DEPENDENCYPART_ARC
(15,20),0.371386 # DEPENDENCYPART_ARC
(15,21),-0.0954951 # DEPENDENCYPART_ARC
(15,22),0.27918 # DEPENDENCYPART_ARC
(15,23),-0.483467 # DEPENDENCYPART_ARC
(15,24),-0.954978 # DEPENDENCYPART_ARC
(15,25),-0.200658 # DEPENDENCYPART_ARC
(15,26),-0.941032 # DEPENDENCYPART_ARC
(15,27),-0.906157 # DEPENDENCYPART_ARC
(15,28),-0.655239 # DEPENDENCYPART_ARC
(15,29),-0.453735 # DEPENDENCYPART_ARC
(15,30),-0.93555 # DEPENDENCYPART_ARC
(15,31),-1.90504 # DEPENDENCYPART_ARC
(16,1),-2.7032 # DEPENDENCYPART_ARC
(16,2),-2.87328 # DEPENDENCYPART_ARC
(16,3),-2.27481 # DEPENDENCYPART_ARC
(16,4),-2.87658 # DEPENDENCYPART_ARC
(16,5),-2.54839 # DEPENDENCYPART_ARC
(16,6),-2.23778 # DEPENDENCYPART_ARC
(16,7),-2.76069 # DEPENDENCYPART_ARC
(16,8),-3.06231 # DEPENDENCYPART_ARC
(16,9),-2.91238 # DEPENDENCYPART_ARC
(16,10),-2.15274 # DEPENDENCYPART_ARC
(16,11),-1.8792 # DEPENDENCYPART_ARC
(16,12),-2.34006 # DEPENDENCYPART_ARC
(16,13),-1.395 # DEPENDENCYPART_ARC
(16,14),-1.05912 # DEPENDENCYPART_ARC
(16,15),-0.980664 # DEPENDENCYPART_ARC
(16,17),-0.829308 # DEPENDENCYPART_ARC
(16,18),-2.12887 # DEPENDENCYPART_ARC
(16,19),-2.09019 # DEPENDENCYPART_ARC
(16,20),-2.30257 # DEPENDENCYPART_ARC
(16,21),-2.43653 # DEPENDENCYPART_ARC
(16,22),-2.48749 # DEPENDENCYPART_ARC
(16,23),-2.29005 # DEPENDENCYPART_ARC
(16,24),-2.41497 # DEPENDENCYPART_ARC
(16,25),-2.83416 # DEPENDENCYPART_ARC
