# _root_ Iammelli , colpito alle gambe e al torace , si trova ricoverato nell' ospedale Cardarelli .
#goldHeads=11,1,1,3,4,4,4,7,8,11,0,11,12,13,14,15,
#predictedHeads=0,1,1,3,4,4,4,7,8,12,12,8,12,13,14,15,
(3,8),-0.665939 # DEPENDENCYPART_ARC
(3,9),0.583807 # DEPENDENCYPART_ARC
(3,10),-1.55736 # DEPENDENCYPART_ARC
(3,11),-0.218411 # DEPENDENCYPART_ARC
(3,12),0.148846 # DEPENDENCYPART_ARC
(3,13),-0.0422283 # DEPENDENCYPART_ARC
(3,14),-2.14822 # DEPENDENCYPART_ARC
(3,15),-1.31026 # DEPENDENCYPART_ARC
(3,16),-1.4772 # DEPENDENCYPART_ARC
(4,1),-2.19303 # DEPENDENCYPART_ARC
(4,2),-0.850267 # DEPENDENCYPART_ARC
(4,3),-1.17588 # DEPENDENCYPART_ARC
(4,5),4.46011 # DEPENDENCYPART_ARC
(4,6),1.76729 # DEPENDENCYPART_ARC
(4,7),1.41224 # DEPENDENCYPART_ARC
(4,8),0.367198 # DEPENDENCYPART_ARC
(4,9),-0.0463321 # DEPENDENCYPART_ARC
(4,10),-0.970538 # DEPENDENCYPART_ARC
(4,11),-1.81883 # DEPENDENCYPART_ARC
(4,12),-1.73054 # DEPENDENCYPART_ARC
(4,13),-0.0689156 # DEPENDENCYPART_ARC
(4,14),-3.05377 # DEPENDENCYPART_ARC
(4,15),-3.823 # DEPENDENCYPART_ARC
(4,16),-1.09382 # DEPENDENCYPART_ARC
(5,1),-2.44356 # DEPENDENCYPART_ARC
(5,2),-2.23442 # DEPENDENCYPART_ARC
(5,3),-0.753734 # DEPENDENCYPART_ARC
(5,4),0.810153 # DEPENDENCYPART_ARC
(5,6),0.550274 # DEPENDENCYPART_ARC
(5,7),-0.0498445 # DEPENDENCYPART_ARC
(5,8),0.519499 # DEPENDENCYPART_ARC
(5,9),-0.0471654 # DEPENDENCYPART_ARC
(5,10),-1.87035 # DEPENDENCYPART_ARC
(5,11),-0.655023 # DEPENDENCYPART_ARC
(5,12),-1.28533 # DEPENDENCYPART_ARC
(5,13),-0.922838 # DEPENDENCYPART_ARC
(5,14),-1.37144 # DEPENDENCYPART_ARC
(5,15),-0.80662 # DEPENDENCYPART_ARC
(5,16),-2.12394 # DEPENDENCYPART_ARC
(6,1),-2.47129 # DEPENDENCYPART_ARC
(6,2),-1.71152 # DEPENDENCYPART_ARC
(6,3),-2.05748 # DEPENDENCYPART_ARC
(6,4),-0.998871 # DEPENDENCYPART_ARC
(6,5),-0.655395 # DEPENDENCYPART_ARC
(6,7),-0.919171 # DEPENDENCYPART_ARC
(6,8),-0.657515 # DEPENDENCYPART_ARC
(6,9),-0.171738 # DEPENDENCYPART_ARC
(6,10),-1.61617 # DEPENDENCYPART_ARC
(6,11),-1.00349 # DEPENDENCYPART_ARC
(6,12),-1.22965 # DEPENDENCYPART_ARC
(6,13),-2.15999 # DEPENDENCYPART_ARC
(6,14),-1.73701 # DEPENDENCYPART_ARC
(6,15),-1.77991 # DEPENDENCYPART_ARC
(6,16),-1.42811 # DEPENDENCYPART_ARC
(7,1),-3.37684 # DEPENDENCYPART_ARC
(7,2),-2.32717 # DEPENDENCYPART_ARC
(7,3),-3.6069 # DEPENDENCYPART_ARC
(7,4),-1.59854 # DEPENDENCYPART_ARC
(7,5),-2.415 # DEPENDENCYPART_ARC
(7,6),0.449358 # DEPENDENCYPART_ARC
(7,8),3.1931 # DEPENDENCYPART_ARC
(7,9),0.18228 # DEPENDENCYPART_ARC
(7,10),-0.846951 # DEPENDENCYPART_ARC
(7,11),-1.60095 # DEPENDENCYPART_ARC
(7,12),-1.27285 # DEPENDENCYPART_ARC
(7,13),-0.624099 # DEPENDENCYPART_ARC
(7,14),-2.52987 # DEPENDENCYPART_ARC
(7,15),-3.02856 # DEPENDENCYPART_ARC
(7,16),-1.12625 # DEPENDENCYPART_ARC
(8,1),-3.36859 # DEPENDENCYPART_ARC
(8,2),-3.09867 # DEPENDENCYPART_ARC
(8,3),-1.53134 # DEPENDENCYPART_ARC
(8,4),-1.40694 # DEPENDENCYPART_ARC
(8,5),-1.80706 # DEPENDENCYPART_ARC
(8,6),-0.772158 # DEPENDENCYPART_ARC
(8,7),0.584833 # DEPENDENCYPART_ARC
(8,9),2.5054 # DEPENDENCYPART_ARC
(8,10),-1.4343 # DEPENDENCYPART_ARC
(8,11),0.536251 # DEPENDENCYPART_ARC
(8,12),0.517834 # DEPENDENCYPART_ARC
(8,13),-0.455702 # DEPENDENCYPART_ARC
(8,14),-0.798731 # DEPENDENCYPART_ARC
(8,15),-0.259332 # DEPENDENCYPART_ARC
(8,16),-0.420304 # DEPENDENCYPART_ARC
(9,2),-1.93678 # DEPENDENCYPART_ARC
(9,16),-1.60436 # DEPENDENCYPART_ARC
(10,1),-2.26527 # DEPENDENCYPART_ARC
(10,2),-2.30651 # DEPENDENCYPART_ARC
(10,3),-3.47776 # DEPENDENCYPART_ARC
(10,4),-2.25357 # DEPENDENCYPART_ARC
(10,5),-3.2173 # DEPENDENCYPART_ARC
(10,6),-1.58681 # DEPENDENCYPART_ARC
(10,7),-1.5975 # DEPENDENCYPART_ARC
(10,8),-2.39801 # DEPENDENCYPART_ARC
(10,9),-0.191177 # DEPENDENCYPART_ARC
(10,11),-0.960117 # DEPENDENCYPART_ARC
(10,12),-2.19219 # DEPENDENCYPART_ARC
(10,13),-2.26075 # DEPENDENCYPART_ARC
(10,14),-1.70981 # DEPENDENCYPART_ARC
(10,15),-1.30162 # DEPENDENCYPART_ARC
(10,16),-1.32254 # DEPENDENCYPART_ARC
(11,1),-0.885102 # DEPENDENCYPART_ARC
(11,2),-2.38896 # DEPENDENCYPART_ARC
(11,3),-1.15378 # DEPENDENCYPART_ARC
(11,4),-1.65829 # DEPENDENCYPART_ARC
(11,5),-1.6523 # DEPENDENCYPART_ARC
(11,6),-1.20872 # DEPENDENCYPART_ARC
(11,7),-0.523203 # DEPENDENCYPART_ARC
(11,8),-0.664481 # DEPENDENCYPART_ARC
(11,9),-1.24886 # DEPENDENCYPART_ARC
(11,10),2.65864 # DEPENDENCYPART_ARC
(11,12),1.45622 # DEPENDENCYPART_ARC
(11,13),0.960941 # DEPENDENCYPART_ARC
(11,14),0.0311069 # DEPENDENCYPART_ARC
(11,15),0.225682 # DEPENDENCYPART_ARC
(11,16),-0.402691 # DEPENDENCYPART_ARC
(12,1),-0.754528 # DEPENDENCYPART_ARC
(12,2),-2.80524 # DEPENDENCYPART_ARC
(12,3),-1.81096 # DEPENDENCYPART_ARC
(12,4),-1.17838 # DEPENDENCYPART_ARC
(12,5),-1.20705 # DEPENDENCYPART_ARC
(12,6),-1.14346 # DEPENDENCYPART_ARC
(12,7),-0.143855 # DEPENDENCYPART_ARC
(12,8),-0.550741 # DEPENDENCYPART_ARC
(12,9),-1.974 # DEPENDENCYPART_ARC
(12,10),2.85984 # DEPENDENCYPART_ARC
(12,11),3.79405 # DEPENDENCYPART_ARC
(12,13),2.37334 # DEPENDENCYPART_ARC
(12,14),0.961497 # DEPENDENCYPART_ARC
(12,15),0.96755 # DEPENDENCYPART_ARC
(12,16),-0.56172 # DEPENDENCYPART_ARC
(13,1),-3.20032 # DEPENDENCYPART_ARC
(13,2),-2.2948 # DEPENDENCYPART_ARC
(13,3),-3.7254 # DEPENDENCYPART_ARC
(13,4),-2.11568 # DEPENDENCYPART_ARC
(13,5),-2.98941 # DEPENDENCYPART_ARC
(13,6),-1.2622 # DEPENDENCYPART_ARC
(13,7),-1.81425 # DEPENDENCYPART_ARC
(13,8),-2.37473 # DEPENDENCYPART_ARC
(13,9),-1.70193 # DEPENDENCYPART_ARC
(13,10),-1.72045 # DEPENDENCYPART_ARC
(13,11),-1.65708 # DEPENDENCYPART_ARC
(13,12),-1.375 # DEPENDENCYPART_ARC
(13,14),3.20026 # DEPENDENCYPART_ARC
(13,15),1.57006 # DEPENDENCYPART_ARC
(13,16),-0.263441 # DEPENDENCYPART_ARC
(14,1),-4.2443 # DEPENDENCYPART_ARC
(14,2),-3.6195 # DEPENDENCYPART_ARC
(14,3),-2.32654 # DEPENDENCYPART_ARC
(14,4),-2.83524 # DEPENDENCYPART_ARC
(14,5),-3.7009 # DEPENDENCYPART_ARC
(14,6),-2.42863 # DEPENDENCYPART_ARC
(14,7),-2.2157 # DEPENDENCYPART_ARC
(14,8),-3.40458 # DEPENDENCYPART_ARC
(14,9),-2.87159 # DEPENDENCYPART_ARC
(14,10),-1.43254 # DEPENDENCYPART_ARC
(14,11),-2.3353 # DEPENDENCYPART_ARC
(14,12),-0.82096 # DEPENDENCYPART_ARC
(14,13),0.344093 # DEPENDENCYPART_ARC
(14,15),3.01037 # DEPENDENCYPART_ARC
(14,16),0.0235471 # DEPENDENCYPART_ARC
(15,1),-1.55562 # DEPENDENCYPART_ARC
(15,2),-2.72511 # DEPENDENCYPART_ARC
(15,3),-1.24406 # DEPENDENCYPART_ARC
(15,4),-1.57598 # DEPENDENCYPART_ARC
(15,5),-2.27238 # DEPENDENCYPART_ARC
(15,6),-1.59732 # DEPENDENCYPART_ARC
(15,7),-1.567 # DEPENDENCYPART_ARC
(15,8),-2.96651 # DEPENDENCYPART_ARC
(15,9),-2.2752 # DEPENDENCYPART_ARC
(15,10),-0.32078 # DEPENDENCYPART_ARC
(15,11),-2.45986 # DEPENDENCYPART_ARC
(15,12),-0.827049 # DEPENDENCYPART_ARC
(15,13),0.204493 # DEPENDENCYPART_ARC
(15,14),1.26399 # DEPENDENCYPART_ARC
(15,16),2.3469 # DEPENDENCYPART_ARC
(16,2),-1.73539 # DEPENDENCYPART_ARC
(16,9),-1.41497 # DEPENDENCYPART_ARC
