# _root_ Resta , per Ghezzi , l' ammirazione per l' accanimento del " fare " : " Poniamo il cinema Sacher .
#goldHeads=0,1,1,3,4,7,1,7,10,8,10,13,11,13,14,17,0,19,17,19,20,
#predictedHeads=0,1,1,3,4,7,1,7,10,8,10,13,11,13,14,17,0,19,17,19,20,
(3,20),-5.57283 # DEPENDENCYPART_ARC
(3,21),-1.6386 # DEPENDENCYPART_ARC
(4,1),-2.76605 # DEPENDENCYPART_ARC
(4,2),-1.85343 # DEPENDENCYPART_ARC
(4,3),0.52078 # DEPENDENCYPART_ARC
(4,5),2.18429 # DEPENDENCYPART_ARC
(4,6),0.188053 # DEPENDENCYPART_ARC
(4,7),0.305392 # DEPENDENCYPART_ARC
(4,8),0.163308 # DEPENDENCYPART_ARC
(4,9),-0.12122 # DEPENDENCYPART_ARC
(4,10),-0.22004 # DEPENDENCYPART_ARC
(4,11),-0.380832 # DEPENDENCYPART_ARC
(4,12),-1.49703 # DEPENDENCYPART_ARC
(4,13),0.119916 # DEPENDENCYPART_ARC
(4,14),-1.63666 # DEPENDENCYPART_ARC
(4,15),-2.12997 # DEPENDENCYPART_ARC
(4,16),-2.79916 # DEPENDENCYPART_ARC
(4,17),-2.13498 # DEPENDENCYPART_ARC
(4,18),-1.08804 # DEPENDENCYPART_ARC
(4,19),-1.90231 # DEPENDENCYPART_ARC
(4,20),-0.40916 # DEPENDENCYPART_ARC
(4,21),-2.32711 # DEPENDENCYPART_ARC
(5,1),-2.27478 # DEPENDENCYPART_ARC
(5,2),-1.27036 # DEPENDENCYPART_ARC
(5,3),-0.781292 # DEPENDENCYPART_ARC
(5,4),-0.502717 # DEPENDENCYPART_ARC
(5,6),-0.691386 # DEPENDENCYPART_ARC
(5,7),-1.27356 # DEPENDENCYPART_ARC
(5,8),-1.71611 # DEPENDENCYPART_ARC
(5,9),-1.75401 # DEPENDENCYPART_ARC
(5,10),-1.96778 # DEPENDENCYPART_ARC
(5,11),-2.01895 # DEPENDENCYPART_ARC
(5,12),-1.30411 # DEPENDENCYPART_ARC
(5,13),-1.85435 # DEPENDENCYPART_ARC
(5,14),-1.77218 # DEPENDENCYPART_ARC
(5,15),-1.0384 # DEPENDENCYPART_ARC
(5,16),-1.80096 # DEPENDENCYPART_ARC
(5,17),-2.24498 # DEPENDENCYPART_ARC
(5,18),-2.37507 # DEPENDENCYPART_ARC
(5,19),-2.49358 # DEPENDENCYPART_ARC
(5,20),-2.61445 # DEPENDENCYPART_ARC
(5,21),-1.68059 # DEPENDENCYPART_ARC
(6,1),-3.33244 # DEPENDENCYPART_ARC
(6,2),-1.35097 # DEPENDENCYPART_ARC
(6,3),-1.1845 # DEPENDENCYPART_ARC
(6,4),-1.39778 # DEPENDENCYPART_ARC
(6,5),0.430544 # DEPENDENCYPART_ARC
(6,7),0.897688 # DEPENDENCYPART_ARC
(6,8),-0.124308 # DEPENDENCYPART_ARC
(6,9),-1.19049 # DEPENDENCYPART_ARC
(6,10),-0.520022 # DEPENDENCYPART_ARC
(6,11),-1.05454 # DEPENDENCYPART_ARC
(6,12),-0.571407 # DEPENDENCYPART_ARC
(6,13),-0.995614 # DEPENDENCYPART_ARC
(6,14),-0.942127 # DEPENDENCYPART_ARC
(6,15),-0.97464 # DEPENDENCYPART_ARC
(6,16),-1.00906 # DEPENDENCYPART_ARC
(6,17),-1.72249 # DEPENDENCYPART_ARC
(6,18),-1.97541 # DEPENDENCYPART_ARC
(6,19),-1.06675 # DEPENDENCYPART_ARC
(6,20),-1.0806 # DEPENDENCYPART_ARC
(6,21),-1.33328 # DEPENDENCYPART_ARC
(7,1),-1.25818 # DEPENDENCYPART_ARC
(7,2),-2.06731 # DEPENDENCYPART_ARC
(7,3),0.570085 # DEPENDENCYPART_ARC
(7,4),-0.958223 # DEPENDENCYPART_ARC
(7,5),-0.892403 # DEPENDENCYPART_ARC
(7,6),3.48352 # DEPENDENCYPART_ARC
(7,8),2.20602 # DEPENDENCYPART_ARC
(7,9),0.131599 # DEPENDENCYPART_ARC
(7,10),1.29804 # DEPENDENCYPART_ARC
(7,11),1.30303 # DEPENDENCYPART_ARC
(7,12),-0.819595 # DEPENDENCYPART_ARC
(7,13),0.821375 # DEPENDENCYPART_ARC
(7,14),-0.928077 # DEPENDENCYPART_ARC
(7,15),-1.11903 # DEPENDENCYPART_ARC
(7,16),-1.66139 # DEPENDENCYPART_ARC
(7,17),-1.53836 # DEPENDENCYPART_ARC
(7,18),-0.921018 # DEPENDENCYPART_ARC
(7,19),-0.407838 # DEPENDENCYPART_ARC
(7,20),0.0829718 # DEPENDENCYPART_ARC
(7,21),-1.9441 # DEPENDENCYPART_ARC
(8,1),-2.16629 # DEPENDENCYPART_ARC
(8,2),-1.82219 # DEPENDENCYPART_ARC
(8,3),-0.763048 # DEPENDENCYPART_ARC
(8,4),-1.5464 # DEPENDENCYPART_ARC
(8,5),-1.26858 # DEPENDENCYPART_ARC
(8,6),-0.434453 # DEPENDENCYPART_ARC
(8,7),-0.172632 # DEPENDENCYPART_ARC
(8,9),0.880862 # DEPENDENCYPART_ARC
(8,10),3.30649 # DEPENDENCYPART_ARC
(8,11),0.164778 # DEPENDENCYPART_ARC
(8,12),-0.478526 # DEPENDENCYPART_ARC
(8,13),0.800278 # DEPENDENCYPART_ARC
(8,14),-0.440001 # DEPENDENCYPART_ARC
(8,15),-0.418457 # DEPENDENCYPART_ARC
(8,16),-0.659045 # DEPENDENCYPART_ARC
(8,17),-0.570566 # DEPENDENCYPART_ARC
(8,18),-0.739267 # DEPENDENCYPART_ARC
(8,19),-1.60741 # DEPENDENCYPART_ARC
(8,20),-2.38619 # DEPENDENCYPART_ARC
(8,21),-0.919349 # DEPENDENCYPART_ARC
(9,1),-4.35677 # DEPENDENCYPART_ARC
(9,2),-2.46298 # DEPENDENCYPART_ARC
(9,3),-2.66646 # DEPENDENCYPART_ARC
(9,4),-2.86285 # DEPENDENCYPART_ARC
(9,5),-2.13428 # DEPENDENCYPART_ARC
(9,6),-1.61371 # DEPENDENCYPART_ARC
(9,7),-2.68167 # DEPENDENCYPART_ARC
(9,8),-0.853966 # DEPENDENCYPART_ARC
(9,10),1.17268 # DEPENDENCYPART_ARC
(9,11),-0.605533 # DEPENDENCYPART_ARC
(9,12),-0.268659 # DEPENDENCYPART_ARC
(9,13),-0.681929 # DEPENDENCYPART_ARC
(9,14),-0.837861 # DEPENDENCYPART_ARC
(9,15),-0.692871 # DEPENDENCYPART_ARC
(9,16),-0.767112 # DEPENDENCYPART_ARC
(9,17),-1.45707 # DEPENDENCYPART_ARC
(9,18),-1.85836 # DEPENDENCYPART_ARC
(9,19),-0.816339 # DEPENDENCYPART_ARC
(9,20),-0.936963 # DEPENDENCYPART_ARC
(9,21),-1.10389 # DEPENDENCYPART_ARC
(10,1),-1.7578 # DEPENDENCYPART_ARC
(10,2),-2.58957 # DEPENDENCYPART_ARC
(10,3),0.132709 # DEPENDENCYPART_ARC
(10,4),-1.65305 # DEPENDENCYPART_ARC
(10,5),-2.13653 # DEPENDENCYPART_ARC
(10,6),0.724582 # DEPENDENCYPART_ARC
(10,7),-1.67128 # DEPENDENCYPART_ARC
(10,8),0.856668 # DEPENDENCYPART_ARC
(10,9),3.33485 # DEPENDENCYPART_ARC
(10,11),2.80144 # DEPENDENCYPART_ARC
(10,12),0.0769484 # DEPENDENCYPART_ARC
(10,13),1.1672 # DEPENDENCYPART_ARC
(10,14),-0.418788 # DEPENDENCYPART_ARC
(10,15),-0.608433 # DEPENDENCYPART_ARC
(10,16),-0.96632 # DEPENDENCYPART_ARC
(10,17),-1.65686 # DEPENDENCYPART_ARC
(10,18),-0.529221 # DEPENDENCYPART_ARC
(10,19),-0.00558114 # DEPENDENCYPART_ARC
(10,20),0.588478 # DEPENDENCYPART_ARC
(10,21),-1.40562 # DEPENDENCYPART_ARC
(11,1),-2.59518 # DEPENDENCYPART_ARC
(11,2),-1.77927 # DEPENDENCYPART_ARC
(11,3),-1.27314 # DEPENDENCYPART_ARC
(11,4),-2.49983 # DEPENDENCYPART_ARC
(11,5),-1.71113 # DEPENDENCYPART_ARC
(11,6),-1.14103 # DEPENDENCYPART_ARC
(11,7),-2.37355 # DEPENDENCYPART_ARC
(11,8),-0.580222 # DEPENDENCYPART_ARC
(11,9),-0.249543 # DEPENDENCYPART_ARC
(11,10),-0.59234 # DEPENDENCYPART_ARC
(11,12),1.02655 # DEPENDENCYPART_ARC
(11,13),2.37163 # DEPENDENCYPART_ARC
(11,14),0.102615 # DEPENDENCYPART_ARC
(11,15),-0.00874462 # DEPENDENCYPART_ARC
(11,16),-0.331623 # DEPENDENCYPART_ARC
(11,17),-0.67027 # DEPENDENCYPART_ARC
(11,18),-0.888694 # DEPENDENCYPART_ARC
(11,19),-0.774476 # DEPENDENCYPART_ARC
(11,20),-1.26289 # DEPENDENCYPART_ARC
(11,21),-0.190093 # DEPENDENCYPART_ARC
(12,1),-3.23837 # DEPENDENCYPART_ARC
(12,2),-2.3922 # DEPENDENCYPART_ARC
(12,3),-2.22335 # DEPENDENCYPART_ARC
(12,4),-2.79327 # DEPENDENCYPART_ARC
(12,5),-2.21381 # DEPENDENCYPART_ARC
(12,6),-2.10872 # DEPENDENCYPART_ARC
(12,7),-2.52905 # DEPENDENCYPART_ARC
(12,8),-1.84888 # DEPENDENCYPART_ARC
(12,9),-1.52014 # DEPENDENCYPART_ARC
(12,10),-1.90515 # DEPENDENCYPART_ARC
(12,11),-0.438349 # DEPENDENCYPART_ARC
(12,13),-0.426746 # DEPENDENCYPART_ARC
(12,14),-0.630023 # DEPENDENCYPART_ARC
(12,15),-0.213366 # DEPENDENCYPART_ARC
(12,16),-1.00153 # DEPENDENCYPART_ARC
(12,17),-1.85676 # DEPENDENCYPART_ARC
(12,18),-2.0233 # DEPENDENCYPART_ARC
(12,19),-2.19326 # DEPENDENCYPART_ARC
(12,20),-2.23585 # DEPENDENCYPART_ARC
(12,21),-0.958009 # DEPENDENCYPART_ARC
(13,1),0.534517 # DEPENDENCYPART_ARC
(13,2),-1.34871 # DEPENDENCYPART_ARC
(13,3),0.328228 # DEPENDENCYPART_ARC
(13,4),-0.28166 # DEPENDENCYPART_ARC
(13,5),-1.05997 # DEPENDENCYPART_ARC
(13,6),0.816734 # DEPENDENCYPART_ARC
(13,7),0.486045 # DEPENDENCYPART_ARC
(13,8),0.377997 # DEPENDENCYPART_ARC
(13,9),1.19499 # DEPENDENCYPART_ARC
(13,10),1.30018 # DEPENDENCYPART_ARC
(13,11),0.839634 # DEPENDENCYPART_ARC
(13,12),2.44427 # DEPENDENCYPART_ARC
(13,14),2.00372 # DEPENDENCYPART_ARC
(13,15),0.836316 # DEPENDENCYPART_ARC
(13,16),0.0366905 # DEPENDENCYPART_ARC
(13,17),0.68473 # DEPENDENCYPART_ARC
(13,18),-0.53081 # DEPENDENCYPART_ARC
(13,19),-0.243038 # DEPENDENCYPART_ARC
(13,20),-0.491401 # DEPENDENCYPART_ARC
(13,21),-0.231476 # DEPENDENCYPART_ARC
(14,1),-3.12516 # DEPENDENCYPART_ARC
(14,2),-2.36807 # DEPENDENCYPART_ARC
(14,3),-2.34213 # DEPENDENCYPART_ARC
(14,4),-2.77283 # DEPENDENCYPART_ARC
(14,5),-2.2929 # DEPENDENCYPART_ARC
(14,6),-2.1907 # DEPENDENCYPART_ARC
(14,7),-2.60017 # DEPENDENCYPART_ARC
(14,8),-2.039 # DEPENDENCYPART_ARC
(14,9),-1.91999 # DEPENDENCYPART_ARC
(14,10),-2.33899 # DEPENDENCYPART_ARC
(14,11),-1.45186 # DEPENDENCYPART_ARC
(14,12),-1.36049 # DEPENDENCYPART_ARC
(14,13),-0.888423 # DEPENDENCYPART_ARC
(14,15),1.94029 # DEPENDENCYPART_ARC
(14,16),0.279537 # DEPENDENCYPART_ARC
(14,17),-1.114 # DEPENDENCYPART_ARC
(14,18),-1.62496 # DEPENDENCYPART_ARC
(14,19),-1.72691 # DEPENDENCYPART_ARC
(14,20),-1.85009 # DEPENDENCYPART_ARC
(14,21),-0.269339 # DEPENDENCYPART_ARC
(15,1),-2.10474 # DEPENDENCYPART_ARC
(15,2),-1.33071 # DEPENDENCYPART_ARC
(15,3),-1.14363 # DEPENDENCYPART_ARC
(15,4),-1.73832 # DEPENDENCYPART_ARC
(15,5),-1.29025 # DEPENDENCYPART_ARC
(15,6),-1.11128 # DEPENDENCYPART_ARC
(15,7),-1.5556 # DEPENDENCYPART_ARC
(15,8),-0.925902 # DEPENDENCYPART_ARC
(15,9),-0.998721 # DEPENDENCYPART_ARC
(15,10),-1.3114 # DEPENDENCYPART_ARC
(15,11),-0.659854 # DEPENDENCYPART_ARC
(15,12),-0.730927 # DEPENDENCYPART_ARC
(15,13),-0.616193 # DEPENDENCYPART_ARC
(15,14),0.659946 # DEPENDENCYPART_ARC
(15,16),0.784231 # DEPENDENCYPART_ARC
(15,17),-0.673948 # DEPENDENCYPART_ARC
(15,18),-1.21692 # DEPENDENCYPART_ARC
(15,19),-1.3528 # DEPENDENCYPART_ARC
(15,20),-1.45568 # DEPENDENCYPART_ARC
(15,21),-0.418888 # DEPENDENCYPART_ARC
(16,1),-3.55492 # DEPENDENCYPART_ARC
(16,2),-2.84222 # DEPENDENCYPART_ARC
(16,3),-2.61532 # DEPENDENCYPART_ARC
(16,4),-3.16451 # DEPENDENCYPART_ARC
(16,5),-2.72131 # DEPENDENCYPART_ARC
(16,6),-2.6024 # DEPENDENCYPART_ARC
(16,7),-3.06554 # DEPENDENCYPART_ARC
(16,8),-2.51611 # DEPENDENCYPART_ARC
(16,9),-2.48741 # DEPENDENCYPART_ARC
(16,10),-2.93893 # DEPENDENCYPART_ARC
(16,11),-2.26705 # DEPENDENCYPART_ARC
(16,12),-2.41505 # DEPENDENCYPART_ARC
(16,13),-2.70128 # DEPENDENCYPART_ARC
(16,14),-1.5785 # DEPENDENCYPART_ARC
(16,15),-0.565511 # DEPENDENCYPART_ARC
(16,17),-0.128506 # DEPENDENCYPART_ARC
(16,18),-1.22239 # DEPENDENCYPART_ARC
(16,19),-1.33649 # DEPENDENCYPART_ARC
(16,20),-1.51146 # DEPENDENCYPART_ARC
(16,21),-0.204348 # DEPENDENCYPART_ARC
(17,1),-1.90064 # DEPENDENCYPART_ARC
(17,2),-1.64726 # DEPENDENCYPART_ARC
(17,3),0.252018 # DEPENDENCYPART_ARC
(17,4),-1.68978 # DEPENDENCYPART_ARC
(17,5),-1.6445 # DEPENDENCYPART_ARC
(17,6),-1.00581 # DEPENDENCYPART_ARC
(17,7),-0.355868 # DEPENDENCYPART_ARC
(17,8),0.16454 # DEPENDENCYPART_ARC
(17,9),-0.739041 # DEPENDENCYPART_ARC
(17,10),-0.319219 # DEPENDENCYPART_ARC
(17,11),-0.840326 # DEPENDENCYPART_ARC
(17,12),0.0360239 # DEPENDENCYPART_ARC
(17,13),0.960787 # DEPENDENCYPART_ARC
(17,14),0.488468 # DEPENDENCYPART_ARC
(17,15),0.625625 # DEPENDENCYPART_ARC
(17,16),2.16933 # DEPENDENCYPART_ARC
(17,18),0.25471 # DEPENDENCYPART_ARC
(17,19),2.64028 # DEPENDENCYPART_ARC
(17,20),1.02309 # DEPENDENCYPART_ARC
(17,21),0.410928 # DEPENDENCYPART_ARC
(18,1),-3.22628 # DEPENDENCYPART_ARC
(18,2),-2.13788 # DEPENDENCYPART_ARC
(18,3),-2.54235 # DEPENDENCYPART_ARC
(18,4),-2.88951 # DEPENDENCYPART_ARC
(18,5),-1.90816 # DEPENDENCYPART_ARC
(18,6),-1.7846 # DEPENDENCYPART_ARC
(18,7),-3.00872 # DEPENDENCYPART_ARC
(18,8),-2.14739 # DEPENDENCYPART_ARC
(18,9),-1.71807 # DEPENDENCYPART_ARC
(18,10),-2.47258 # DEPENDENCYPART_ARC
(18,11),-2.15795 # DEPENDENCYPART_ARC
(18,12),-1.33012 # DEPENDENCYPART_ARC
(18,13),-2.57411 # DEPENDENCYPART_ARC
(18,14),-1.15272 # DEPENDENCYPART_ARC
(18,15),-1.12258 # DEPENDENCYPART_ARC
(18,16),-0.373523 # DEPENDENCYPART_ARC
(18,17),-1.1242 # DEPENDENCYPART_ARC
(18,19),1.39194 # DEPENDENCYPART_ARC
(18,20),0.654661 # DEPENDENCYPART_ARC
(18,21),-0.410548 # DEPENDENCYPART_ARC
(19,1),-2.35146 # DEPENDENCYPART_ARC
(19,2),-3.26126 # DEPENDENCYPART_ARC
(19,3),-1.30778 # DEPENDENCYPART_ARC
(19,4),-2.52897 # DEPENDENCYPART_ARC
(19,5),-3.17559 # DEPENDENCYPART_ARC
(19,6),-2.21667 # DEPENDENCYPART_ARC
(19,7),-4.13036 # DEPENDENCYPART_ARC
(19,8),-1.44015 # DEPENDENCYPART_ARC
(19,9),-1.54708 # DEPENDENCYPART_ARC
(19,10),-3.66015 # DEPENDENCYPART_ARC
(19,11),-0.9941 # DEPENDENCYPART_ARC
(19,12),-1.38399 # DEPENDENCYPART_ARC
(19,13),-1.73008 # DEPENDENCYPART_ARC
(19,14),-1.04996 # DEPENDENCYPART_ARC
(19,15),-1.76588 # DEPENDENCYPART_ARC
(19,16),-0.455987 # DEPENDENCYPART_ARC
(19,17),-0.193552 # DEPENDENCYPART_ARC
(19,18),3.00611 # DEPENDENCYPART_ARC
(19,20),3.21829 # DEPENDENCYPART_ARC
(19,21),0.0442651 # DEPENDENCYPART_ARC
(20,1),-3.14001 # DEPENDENCYPART_ARC
(20,2),-3.55742 # DEPENDENCYPART_ARC
(20,3),-1.54311 # DEPENDENCYPART_ARC
(20,4),-1.51352 # DEPENDENCYPART_ARC
(20,5),-3.43003 # DEPENDENCYPART_ARC
(20,6),-3.11349 # DEPENDENCYPART_ARC
(20,7),-3.99716 # DEPENDENCYPART_ARC
(20,8),-1.66483 # DEPENDENCYPART_ARC
(20,9),-2.41216 # DEPENDENCYPART_ARC
(20,10),-4.01793 # DEPENDENCYPART_ARC
(20,11),-1.74604 # DEPENDENCYPART_ARC
(20,12),-1.77907 # DEPENDENCYPART_ARC
(20,13),-2.09732 # DEPENDENCYPART_ARC
(20,14),-1.64234 # DEPENDENCYPART_ARC
(20,15),-2.18486 # DEPENDENCYPART_ARC
(20,16),-1.10456 # DEPENDENCYPART_ARC
(20,17),-1.74828 # DEPENDENCYPART_ARC
(20,18),1.09038 # DEPENDENCYPART_ARC
(20,19),1.35215 # DEPENDENCYPART_ARC
(20,21),2.51208 # DEPENDENCYPART_ARC
(21,1),-2.75779 # DEPENDENCYPART_ARC
(21,2),-2.07879 # DEPENDENCYPART_ARC
(21,3),-1.94136 # DEPENDENCYPART_ARC
(21,4),-2.50782 # DEPENDENCYPART_ARC
(21,5),-2.11193 # DEPENDENCYPART_ARC
(21,6),-1.97808 # DEPENDENCYPART_ARC
(21,7),-2.51308 # DEPENDENCYPART_ARC
(21,8),-1.81735 # DEPENDENCYPART_ARC
(21,9),-1.88472 # DEPENDENCYPART_ARC
(21,10),-2.44875 # DEPENDENCYPART_ARC
(21,11),-1.76823 # DEPENDENCYPART_ARC
(21,12),-2.07086 # DEPENDENCYPART_ARC
(21,13),-2.62647 # DEPENDENCYPART_ARC
(21,14),-1.96907 # DEPENDENCYPART_ARC
(21,15),-1.85913 # DEPENDENCYPART_ARC
(21,16),-1.86956 # DEPENDENCYPART_ARC
(21,17),-2.22634 # DEPENDENCYPART_ARC
(21,18),-0.838867 # DEPENDENCYPART_ARC
(21,19),-1.36916 # DEPENDENCYPART_ARC
(21,20),-0.490899 # DEPENDENCYPART_ARC
