# _root_ Dopo due mesi e mezzo , finalmente , il ritorno a casa .
#goldHeads=10,3,1,3,3,5,10,7,10,0,10,11,12,
#predictedHeads=10,3,1,3,3,5,3,7,10,0,10,11,12,
(5,2),-0.356269 # DEPENDENCYPART_ARC
(5,3),-1.21218 # DEPENDENCYPART_ARC
(5,4),-0.0708741 # DEPENDENCYPART_ARC
(5,6),1.79201 # DEPENDENCYPART_ARC
(5,7),-0.300524 # DEPENDENCYPART_ARC
(5,8),0.199009 # DEPENDENCYPART_ARC
(5,9),-0.944485 # DEPENDENCYPART_ARC
(5,10),-0.0651008 # DEPENDENCYPART_ARC
(5,11),-0.293378 # DEPENDENCYPART_ARC
(5,12),-0.240084 # DEPENDENCYPART_ARC
(5,13),-0.702676 # DEPENDENCYPART_ARC
(6,1),-1.64865 # DEPENDENCYPART_ARC
(6,2),-1.78011 # DEPENDENCYPART_ARC
(6,3),-1.79007 # DEPENDENCYPART_ARC
(6,4),-1.26645 # DEPENDENCYPART_ARC
(6,5),-0.771433 # DEPENDENCYPART_ARC
(6,7),-0.902034 # DEPENDENCYPART_ARC
(6,8),-0.301137 # DEPENDENCYPART_ARC
(6,9),-1.59118 # DEPENDENCYPART_ARC
(6,10),-1.82756 # DEPENDENCYPART_ARC
(6,11),-1.99562 # DEPENDENCYPART_ARC
(6,12),-2.02861 # DEPENDENCYPART_ARC
(6,13),-0.795621 # DEPENDENCYPART_ARC
(7,1),-1.12288 # DEPENDENCYPART_ARC
(7,2),-1.24828 # DEPENDENCYPART_ARC
(7,3),-1.84789 # DEPENDENCYPART_ARC
(7,4),-0.739988 # DEPENDENCYPART_ARC
(7,5),-1.29051 # DEPENDENCYPART_ARC
(7,6),0.503493 # DEPENDENCYPART_ARC
(7,8),2.47304 # DEPENDENCYPART_ARC
(7,9),0.346844 # DEPENDENCYPART_ARC
(7,10),-0.0828103 # DEPENDENCYPART_ARC
(7,11),-0.230052 # DEPENDENCYPART_ARC
(7,12),-0.278655 # DEPENDENCYPART_ARC
(7,13),-0.0433051 # DEPENDENCYPART_ARC
(8,1),-1.66564 # DEPENDENCYPART_ARC
(8,2),-1.90446 # DEPENDENCYPART_ARC
(8,3),-2.0757 # DEPENDENCYPART_ARC
(8,4),-1.67887 # DEPENDENCYPART_ARC
(8,5),-1.6488 # DEPENDENCYPART_ARC
(8,6),-1.0074 # DEPENDENCYPART_ARC
(8,7),-0.362674 # DEPENDENCYPART_ARC
(8,9),-0.749274 # DEPENDENCYPART_ARC
(8,10),-1.28381 # DEPENDENCYPART_ARC
(8,11),-1.76905 # DEPENDENCYPART_ARC
(8,12),-1.8541 # DEPENDENCYPART_ARC
(8,13),-0.86244 # DEPENDENCYPART_ARC
(9,1),-2.19315 # DEPENDENCYPART_ARC
(9,2),-1.98843 # DEPENDENCYPART_ARC
(9,3),-2.46327 # DEPENDENCYPART_ARC
(9,4),-2.07373 # DEPENDENCYPART_ARC
(9,5),-2.15543 # DEPENDENCYPART_ARC
(9,6),-1.21451 # DEPENDENCYPART_ARC
(9,7),-1.21681 # DEPENDENCYPART_ARC
(9,8),0.471214 # DEPENDENCYPART_ARC
(9,10),0.926164 # DEPENDENCYPART_ARC
(9,11),-0.135187 # DEPENDENCYPART_ARC
(9,12),-0.41196 # DEPENDENCYPART_ARC
(9,13),-0.695489 # DEPENDENCYPART_ARC
(10,1),-0.656704 # DEPENDENCYPART_ARC
(10,2),-0.730764 # DEPENDENCYPART_ARC
(10,3),-1.68683 # DEPENDENCYPART_ARC
(10,4),-1.05387 # DEPENDENCYPART_ARC
(10,5),-1.74915 # DEPENDENCYPART_ARC
(10,6),-1.96254 # DEPENDENCYPART_ARC
(10,7),0.365363 # DEPENDENCYPART_ARC
(10,8),-0.989305 # DEPENDENCYPART_ARC
(10,9),3.3978 # DEPENDENCYPART_ARC
(10,11),2.07673 # DEPENDENCYPART_ARC
(10,12),1.03765 # DEPENDENCYPART_ARC
(10,13),0.0249616 # DEPENDENCYPART_ARC
(11,1),-1.31222 # DEPENDENCYPART_ARC
(11,2),-1.65588 # DEPENDENCYPART_ARC
(11,3),-1.79959 # DEPENDENCYPART_ARC
(11,4),-0.635921 # DEPENDENCYPART_ARC
(11,5),-1.62761 # DEPENDENCYPART_ARC
(11,6),-1.42455 # DEPENDENCYPART_ARC
(11,7),-0.569951 # DEPENDENCYPART_ARC
(11,8),-0.893675 # DEPENDENCYPART_ARC
(11,9),-0.198902 # DEPENDENCYPART_ARC
(11,10),-0.12351 # DEPENDENCYPART_ARC
(11,12),4.31167 # DEPENDENCYPART_ARC
(11,13),-0.522838 # DEPENDENCYPART_ARC
(12,1),-2.1046 # DEPENDENCYPART_ARC
(12,2),-1.73706 # DEPENDENCYPART_ARC
(12,3),-3.28897 # DEPENDENCYPART_ARC
(12,4),-2.01129 # DEPENDENCYPART_ARC
(12,5),-3.57759 # DEPENDENCYPART_ARC
(12,6),-3.10774 # DEPENDENCYPART_ARC
(12,7),-1.00094 # DEPENDENCYPART_ARC
(12,8),-2.71481 # DEPENDENCYPART_ARC
(12,9),-0.357276 # DEPENDENCYPART_ARC
(12,10),-1.86716 # DEPENDENCYPART_ARC
(12,11),0.439566 # DEPENDENCYPART_ARC
(12,13),2.89785 # DEPENDENCYPART_ARC
(13,1),-2.0045 # DEPENDENCYPART_ARC
(13,2),-2.29551 # DEPENDENCYPART_ARC
(13,3),-2.51132 # DEPENDENCYPART_ARC
(13,4),-1.98629 # DEPENDENCYPART_ARC
(13,5),-2.51485 # DEPENDENCYPART_ARC
(13,6),-2.00578 # DEPENDENCYPART_ARC
(13,7),-2.1526 # DEPENDENCYPART_ARC
(13,8),-1.92207 # DEPENDENCYPART_ARC
(13,9),-1.47584 # DEPENDENCYPART_ARC
(13,10),-1.78349 # DEPENDENCYPART_ARC
(13,11),-1.02362 # DEPENDENCYPART_ARC
(13,12),-0.742808 # DEPENDENCYPART_ARC
