# _root_ Intanto scrive per riviste , realizza programmi radiotelevisivi , si occupa a Roma della programmazione cinematografica di RaiTre .
#goldHeads=2,0,2,3,2,2,6,7,2,11,2,11,12,11,14,15,15,17,18,
#predictedHeads=2,0,2,3,4,0,6,7,8,11,0,11,12,13,14,15,15,17,18,
(8,11),-1.01414 # DEPENDENCYPART_ARC
(8,12),-0.499548 # DEPENDENCYPART_ARC
(8,13),-0.564647 # DEPENDENCYPART_ARC
(8,14),-0.627861 # DEPENDENCYPART_ARC
(8,15),-1.28383 # DEPENDENCYPART_ARC
(8,16),-1.52173 # DEPENDENCYPART_ARC
(8,17),-1.19839 # DEPENDENCYPART_ARC
(8,18),-0.657525 # DEPENDENCYPART_ARC
(8,19),-1.11525 # DEPENDENCYPART_ARC
(9,5),-1.52687 # DEPENDENCYPART_ARC
(9,19),-1.52175 # DEPENDENCYPART_ARC
(10,1),-2.22207 # DEPENDENCYPART_ARC
(10,2),-4.06361 # DEPENDENCYPART_ARC
(10,3),-2.00761 # DEPENDENCYPART_ARC
(10,4),-3.55246 # DEPENDENCYPART_ARC
(10,5),-2.12137 # DEPENDENCYPART_ARC
(10,6),-3.63674 # DEPENDENCYPART_ARC
(10,7),-2.79831 # DEPENDENCYPART_ARC
(10,8),-1.9298 # DEPENDENCYPART_ARC
(10,9),0.0271806 # DEPENDENCYPART_ARC
(10,11),-1.02836 # DEPENDENCYPART_ARC
(10,12),-1.63363 # DEPENDENCYPART_ARC
(10,13),-1.21721 # DEPENDENCYPART_ARC
(10,14),-3.2572 # DEPENDENCYPART_ARC
(10,15),-2.06905 # DEPENDENCYPART_ARC
(10,16),-1.78809 # DEPENDENCYPART_ARC
(10,17),-2.15827 # DEPENDENCYPART_ARC
(10,18),-1.64418 # DEPENDENCYPART_ARC
(10,19),-1.58022 # DEPENDENCYPART_ARC
(11,1),0.236275 # DEPENDENCYPART_ARC
(11,2),-1.35237 # DEPENDENCYPART_ARC
(11,3),-0.00352172 # DEPENDENCYPART_ARC
(11,4),-0.397622 # DEPENDENCYPART_ARC
(11,5),-1.93147 # DEPENDENCYPART_ARC
(11,6),-0.134638 # DEPENDENCYPART_ARC
(11,7),-0.528445 # DEPENDENCYPART_ARC
(11,8),-0.399316 # DEPENDENCYPART_ARC
(11,9),-0.680463 # DEPENDENCYPART_ARC
(11,10),4.20896 # DEPENDENCYPART_ARC
(11,12),3.29877 # DEPENDENCYPART_ARC
(11,13),2.02456 # DEPENDENCYPART_ARC
(11,14),0.947749 # DEPENDENCYPART_ARC
(11,15),0.933609 # DEPENDENCYPART_ARC
(11,16),0.507865 # DEPENDENCYPART_ARC
(11,17),0.209401 # DEPENDENCYPART_ARC
(11,18),-0.0388912 # DEPENDENCYPART_ARC
(11,19),-0.406475 # DEPENDENCYPART_ARC
(12,1),-1.86084 # DEPENDENCYPART_ARC
(12,2),-2.89842 # DEPENDENCYPART_ARC
(12,3),-1.99853 # DEPENDENCYPART_ARC
(12,4),-2.27566 # DEPENDENCYPART_ARC
(12,5),-2.01535 # DEPENDENCYPART_ARC
(12,6),-2.67325 # DEPENDENCYPART_ARC
(12,7),-2.0503 # DEPENDENCYPART_ARC
(12,8),-2.07771 # DEPENDENCYPART_ARC
(12,9),-1.45543 # DEPENDENCYPART_ARC
(12,10),-1.11278 # DEPENDENCYPART_ARC
(12,11),-0.514179 # DEPENDENCYPART_ARC
(12,13),4.56398 # DEPENDENCYPART_ARC
(12,14),0.145382 # DEPENDENCYPART_ARC
(12,15),0.865945 # DEPENDENCYPART_ARC
(12,16),0.0238376 # DEPENDENCYPART_ARC
(12,17),-0.502569 # DEPENDENCYPART_ARC
(12,18),-0.530584 # DEPENDENCYPART_ARC
(12,19),-0.546886 # DEPENDENCYPART_ARC
(13,1),-2.68866 # DEPENDENCYPART_ARC
(13,2),-4.49621 # DEPENDENCYPART_ARC
(13,3),-2.20478 # DEPENDENCYPART_ARC
(13,4),-3.78045 # DEPENDENCYPART_ARC
(13,5),-3.45125 # DEPENDENCYPART_ARC
(13,6),-3.91039 # DEPENDENCYPART_ARC
(13,7),-3.60117 # DEPENDENCYPART_ARC
(13,8),-3.05157 # DEPENDENCYPART_ARC
(13,9),-2.84121 # DEPENDENCYPART_ARC
(13,10),-0.990377 # DEPENDENCYPART_ARC
(13,11),-2.36928 # DEPENDENCYPART_ARC
(13,12),0.31 # DEPENDENCYPART_ARC
(13,14),1.66739 # DEPENDENCYPART_ARC
(13,15),0.411052 # DEPENDENCYPART_ARC
(13,16),0.189904 # DEPENDENCYPART_ARC
(13,17),0.349511 # DEPENDENCYPART_ARC
(13,18),-0.224406 # DEPENDENCYPART_ARC
(13,19),-1.22014 # DEPENDENCYPART_ARC
(14,1),-1.54065 # DEPENDENCYPART_ARC
(14,2),-2.55275 # DEPENDENCYPART_ARC
(14,3),-1.73336 # DEPENDENCYPART_ARC
(14,4),-2.53804 # DEPENDENCYPART_ARC
(14,5),-1.79257 # DEPENDENCYPART_ARC
(14,6),-2.45649 # DEPENDENCYPART_ARC
(14,7),-2.58911 # DEPENDENCYPART_ARC
(14,8),-2.23863 # DEPENDENCYPART_ARC
(14,9),-1.61514 # DEPENDENCYPART_ARC
(14,10),-1.53013 # DEPENDENCYPART_ARC
(14,11),-1.71982 # DEPENDENCYPART_ARC
(14,12),-0.177059 # DEPENDENCYPART_ARC
(14,13),-0.873431 # DEPENDENCYPART_ARC
(14,15),4.48311 # DEPENDENCYPART_ARC
(14,16),0.312686 # DEPENDENCYPART_ARC
(14,17),0.119977 # DEPENDENCYPART_ARC
(14,18),0.876896 # DEPENDENCYPART_ARC
(14,19),-0.332229 # DEPENDENCYPART_ARC
(15,1),-3.11415 # DEPENDENCYPART_ARC
(15,2),-3.08732 # DEPENDENCYPART_ARC
(15,3),-2.4264 # DEPENDENCYPART_ARC
(15,4),-3.6015 # DEPENDENCYPART_ARC
(15,5),-3.49475 # DEPENDENCYPART_ARC
(15,6),-2.70581 # DEPENDENCYPART_ARC
(15,7),-3.61706 # DEPENDENCYPART_ARC
(15,8),-2.84057 # DEPENDENCYPART_ARC
(15,9),-3.27993 # DEPENDENCYPART_ARC
(15,10),-1.38131 # DEPENDENCYPART_ARC
(15,11),-2.30378 # DEPENDENCYPART_ARC
(15,12),-1.02836 # DEPENDENCYPART_ARC
(15,13),-1.57009 # DEPENDENCYPART_ARC
(15,14),0.460498 # DEPENDENCYPART_ARC
(15,16),2.95521 # DEPENDENCYPART_ARC
(15,17),1.82613 # DEPENDENCYPART_ARC
(15,18),0.754973 # DEPENDENCYPART_ARC
(15,19),-0.092517 # DEPENDENCYPART_ARC
(16,1),-2.42043 # DEPENDENCYPART_ARC
(16,2),-2.68642 # DEPENDENCYPART_ARC
(16,3),-1.21357 # DEPENDENCYPART_ARC
(16,4),-2.32504 # DEPENDENCYPART_ARC
(16,5),-1.99502 # DEPENDENCYPART_ARC
(16,6),-2.46084 # DEPENDENCYPART_ARC
(16,7),-2.16636 # DEPENDENCYPART_ARC
(16,8),-2.01388 # DEPENDENCYPART_ARC
(16,9),-1.66759 # DEPENDENCYPART_ARC
(16,10),-0.216917 # DEPENDENCYPART_ARC
(16,11),-1.91017 # DEPENDENCYPART_ARC
(16,12),-0.066554 # DEPENDENCYPART_ARC
(16,13),-1.06079 # DEPENDENCYPART_ARC
(16,14),-0.124919 # DEPENDENCYPART_ARC
(16,15),0.545835 # DEPENDENCYPART_ARC
(16,17),0.763589 # DEPENDENCYPART_ARC
(16,18),0.641456 # DEPENDENCYPART_ARC
(16,19),0.092352 # DEPENDENCYPART_ARC
(17,1),-2.10487 # DEPENDENCYPART_ARC
(17,2),-2.97772 # DEPENDENCYPART_ARC
(17,3),-2.35886 # DEPENDENCYPART_ARC
(17,4),-2.30429 # DEPENDENCYPART_ARC
(17,5),-2.2383 # DEPENDENCYPART_ARC
(17,6),-2.91469 # DEPENDENCYPART_ARC
(17,7),-2.31877 # DEPENDENCYPART_ARC
(17,8),-2.48263 # DEPENDENCYPART_ARC
(17,9),-2.20366 # DEPENDENCYPART_ARC
(17,10),-2.11595 # DEPENDENCYPART_ARC
(17,11),-2.62513 # DEPENDENCYPART_ARC
(17,12),-1.28052 # DEPENDENCYPART_ARC
(17,13),-1.84246 # DEPENDENCYPART_ARC
(17,14),-0.873405 # DEPENDENCYPART_ARC
(17,15),-1.21989 # DEPENDENCYPART_ARC
(17,16),-0.559748 # DEPENDENCYPART_ARC
(17,18),4.24205 # DEPENDENCYPART_ARC
(17,19),0.164256 # DEPENDENCYPART_ARC
(18,1),-2.99763 # DEPENDENCYPART_ARC
(18,2),-4.56884 # DEPENDENCYPART_ARC
(18,3),-2.76105 # DEPENDENCYPART_ARC
(18,4),-3.99856 # DEPENDENCYPART_ARC
(18,5),-3.6519 # DEPENDENCYPART_ARC
(18,6),-4.02174 # DEPENDENCYPART_ARC
(18,7),-3.92461 # DEPENDENCYPART_ARC
(18,8),-3.77926 # DEPENDENCYPART_ARC
(18,9),-3.47677 # DEPENDENCYPART_ARC
(18,10),-1.83946 # DEPENDENCYPART_ARC
(18,11),-4.01801 # DEPENDENCYPART_ARC
(18,12),-2.09647 # DEPENDENCYPART_ARC
(18,13),-0.653832 # DEPENDENCYPART_ARC
(18,14),-1.15484 # DEPENDENCYPART_ARC
(18,15),-2.59199 # DEPENDENCYPART_ARC
(18,16),-0.631081 # DEPENDENCYPART_ARC
(18,17),0.280965 # DEPENDENCYPART_ARC
(18,19),2.52581 # DEPENDENCYPART_ARC
(19,5),-1.67047 # DEPENDENCYPART_ARC
(19,9),-1.60375 # DEPENDENCYPART_ARC
