# _root_ Controcorrente Odali , 25 anni un' appariscente cubana coperta solo da una minituta aderente : " Sono tutti nervosi , vanno sempre di corsa .
#goldHeads=2,0,2,5,2,8,8,2,8,11,9,13,11,13,14,17,0,19,17,19,17,21,21,23,24,
#predictedHeads=2,17,2,5,2,8,8,2,8,11,9,13,11,13,14,17,0,17,17,19,17,21,21,23,24,
(1,22),-1.93087 # DEPENDENCYPART_ARC
(1,23),-1.95296 # DEPENDENCYPART_ARC
(1,24),-2.50052 # DEPENDENCYPART_ARC
(1,25),-2.5098 # DEPENDENCYPART_ARC
(2,1),1.4174 # DEPENDENCYPART_ARC
(2,3),2.27224 # DEPENDENCYPART_ARC
(2,4),0.470055 # DEPENDENCYPART_ARC
(2,5),0.767011 # DEPENDENCYPART_ARC
(2,6),0.261264 # DEPENDENCYPART_ARC
(2,7),0.29169 # DEPENDENCYPART_ARC
(2,8),0.361723 # DEPENDENCYPART_ARC
(2,9),1.48741 # DEPENDENCYPART_ARC
(2,10),-1.00429 # DEPENDENCYPART_ARC
(2,11),-0.556716 # DEPENDENCYPART_ARC
(2,12),-0.255727 # DEPENDENCYPART_ARC
(2,13),-0.677289 # DEPENDENCYPART_ARC
(2,14),-0.591119 # DEPENDENCYPART_ARC
(2,15),-1.62904 # DEPENDENCYPART_ARC
(2,16),-2.39563 # DEPENDENCYPART_ARC
(2,17),-1.4162 # DEPENDENCYPART_ARC
(2,18),-0.273472 # DEPENDENCYPART_ARC
(2,19),-1.58382 # DEPENDENCYPART_ARC
(2,20),-0.335563 # DEPENDENCYPART_ARC
(2,21),-2.0298 # DEPENDENCYPART_ARC
(2,22),-1.6719 # DEPENDENCYPART_ARC
(2,23),-2.14165 # DEPENDENCYPART_ARC
(2,24),-1.83734 # DEPENDENCYPART_ARC
(2,25),-2.77656 # DEPENDENCYPART_ARC
(3,6),-0.703507 # DEPENDENCYPART_ARC
(3,12),-1.31689 # DEPENDENCYPART_ARC
(3,15),-1.08077 # DEPENDENCYPART_ARC
(3,16),-1.60934 # DEPENDENCYPART_ARC
(3,20),-1.48611 # DEPENDENCYPART_ARC
(3,25),-1.9908 # DEPENDENCYPART_ARC
(4,1),-0.562859 # DEPENDENCYPART_ARC
(4,3),0.737957 # DEPENDENCYPART_ARC
(4,5),0.429393 # DEPENDENCYPART_ARC
(4,6),-0.591984 # DEPENDENCYPART_ARC
(4,7),-0.718836 # DEPENDENCYPART_ARC
(4,8),-0.892425 # DEPENDENCYPART_ARC
(4,9),-1.17075 # DEPENDENCYPART_ARC
(4,10),-1.15237 # DEPENDENCYPART_ARC
(4,11),-1.41623 # DEPENDENCYPART_ARC
(4,12),-1.35053 # DEPENDENCYPART_ARC
(4,13),-1.25462 # DEPENDENCYPART_ARC
(4,14),-1.44555 # DEPENDENCYPART_ARC
(4,15),-1.24015 # DEPENDENCYPART_ARC
(4,16),-1.35866 # DEPENDENCYPART_ARC
(4,17),-2.03947 # DEPENDENCYPART_ARC
(4,18),-1.49436 # DEPENDENCYPART_ARC
(4,19),-1.79651 # DEPENDENCYPART_ARC
(4,20),-1.35042 # DEPENDENCYPART_ARC
(4,21),-2.29541 # DEPENDENCYPART_ARC
(4,22),-1.66115 # DEPENDENCYPART_ARC
(4,23),-2.0491 # DEPENDENCYPART_ARC
(4,24),-1.82788 # DEPENDENCYPART_ARC
(4,25),-2.15293 # DEPENDENCYPART_ARC
(5,1),-0.115254 # DEPENDENCYPART_ARC
(5,2),-0.6483 # DEPENDENCYPART_ARC
(5,3),-0.704742 # DEPENDENCYPART_ARC
(5,4),2.22013 # DEPENDENCYPART_ARC
(5,6),0.378549 # DEPENDENCYPART_ARC
(5,7),-0.259347 # DEPENDENCYPART_ARC
(5,8),-0.337479 # DEPENDENCYPART_ARC
(5,9),-0.377709 # DEPENDENCYPART_ARC
(5,10),-0.682525 # DEPENDENCYPART_ARC
(5,11),-0.708112 # DEPENDENCYPART_ARC
(5,12),-1.15787 # DEPENDENCYPART_ARC
(5,13),-1.95148 # DEPENDENCYPART_ARC
(5,14),-1.91388 # DEPENDENCYPART_ARC
(5,15),-1.55236 # DEPENDENCYPART_ARC
(5,16),-2.29424 # DEPENDENCYPART_ARC
(5,17),-1.97293 # DEPENDENCYPART_ARC
(5,18),-0.328893 # DEPENDENCYPART_ARC
(5,19),-1.16737 # DEPENDENCYPART_ARC
(5,20),-0.911672 # DEPENDENCYPART_ARC
(5,21),-2.45765 # DEPENDENCYPART_ARC
(5,22),-1.42518 # DEPENDENCYPART_ARC
(5,23),-1.95361 # DEPENDENCYPART_ARC
(5,24),-3.36786 # DEPENDENCYPART_ARC
(5,25),-3.11929 # DEPENDENCYPART_ARC
(6,3),-0.905979 # DEPENDENCYPART_ARC
(6,11),-0.634397 # DEPENDENCYPART_ARC
(6,15),-0.671123 # DEPENDENCYPART_ARC
(6,16),-0.690519 # DEPENDENCYPART_ARC
(6,20),-0.750577 # DEPENDENCYPART_ARC
(6,23),-1.36499 # DEPENDENCYPART_ARC
(6,25),-1.2502 # DEPENDENCYPART_ARC
(7,1),-1.24461 # DEPENDENCYPART_ARC
(7,2),-1.43741 # DEPENDENCYPART_ARC
(7,3),-1.15906 # DEPENDENCYPART_ARC
(7,4),-0.387797 # DEPENDENCYPART_ARC
(7,5),-1.22611 # DEPENDENCYPART_ARC
(7,6),1.29839 # DEPENDENCYPART_ARC
(7,8),0.818371 # DEPENDENCYPART_ARC
(7,9),0.254821 # DEPENDENCYPART_ARC
(7,10),-0.727888 # DEPENDENCYPART_ARC
(7,11),-0.455853 # DEPENDENCYPART_ARC
(7,12),-1.27328 # DEPENDENCYPART_ARC
(7,13),-1.16502 # DEPENDENCYPART_ARC
(7,14),-1.1834 # DEPENDENCYPART_ARC
(7,15),-0.585293 # DEPENDENCYPART_ARC
(7,16),-1.3388 # DEPENDENCYPART_ARC
(7,17),-1.67502 # DEPENDENCYPART_ARC
(7,18),-1.77464 # DEPENDENCYPART_ARC
(7,19),-2.20211 # DEPENDENCYPART_ARC
(7,20),-0.590956 # DEPENDENCYPART_ARC
(7,21),-1.87604 # DEPENDENCYPART_ARC
(7,22),-1.60344 # DEPENDENCYPART_ARC
(7,23),-1.29095 # DEPENDENCYPART_ARC
(7,24),-1.6296 # DEPENDENCYPART_ARC
(7,25),-2.03516 # DEPENDENCYPART_ARC
(8,1),-0.531164 # DEPENDENCYPART_ARC
(8,2),-1.85092 # DEPENDENCYPART_ARC
(8,3),-1.67182 # DEPENDENCYPART_ARC
(8,4),0.357316 # DEPENDENCYPART_ARC
(8,5),-0.678384 # DEPENDENCYPART_ARC
(8,6),3.20554 # DEPENDENCYPART_ARC
(8,7),3.37088 # DEPENDENCYPART_ARC
(8,9),2.66818 # DEPENDENCYPART_ARC
(8,10),-0.215966 # DEPENDENCYPART_ARC
(8,11),0.166712 # DEPENDENCYPART_ARC
(8,12),-0.430108 # DEPENDENCYPART_ARC
(8,13),-0.184699 # DEPENDENCYPART_ARC
(8,14),-0.147356 # DEPENDENCYPART_ARC
(8,15),-0.560634 # DEPENDENCYPART_ARC
(8,16),-1.23278 # DEPENDENCYPART_ARC
(8,17),-1.59261 # DEPENDENCYPART_ARC
(8,18),-0.80113 # DEPENDENCYPART_ARC
(8,19),-2.50592 # DEPENDENCYPART_ARC
(8,20),-0.205028 # DEPENDENCYPART_ARC
(8,21),-2.07409 # DEPENDENCYPART_ARC
(8,22),-1.28815 # DEPENDENCYPART_ARC
(8,23),-1.2606 # DEPENDENCYPART_ARC
(8,24),-1.37093 # DEPENDENCYPART_ARC
(8,25),-2.09194 # DEPENDENCYPART_ARC
(9,1),0.211168 # DEPENDENCYPART_ARC
(9,2),-0.900543 # DEPENDENCYPART_ARC
(9,3),-2.11023 # DEPENDENCYPART_ARC
(9,4),-0.560423 # DEPENDENCYPART_ARC
(9,5),-1.72525 # DEPENDENCYPART_ARC
(9,6),-0.485416 # DEPENDENCYPART_ARC
(9,7),-0.24911 # DEPENDENCYPART_ARC
(9,8),0.545964 # DEPENDENCYPART_ARC
(9,10),0.814457 # DEPENDENCYPART_ARC
(9,11),1.67816 # DEPENDENCYPART_ARC
(9,12),-1.68151 # DEPENDENCYPART_ARC
(9,13),0.554042 # DEPENDENCYPART_ARC
(9,14),-0.160735 # DEPENDENCYPART_ARC
(9,15),-0.681318 # DEPENDENCYPART_ARC
(9,16),-1.06408 # DEPENDENCYPART_ARC
(9,17),-1.01518 # DEPENDENCYPART_ARC
(9,18),-1.37619 # DEPENDENCYPART_ARC
(9,19),-2.0802 # DEPENDENCYPART_ARC
(9,20),0.138779 # DEPENDENCYPART_ARC
(9,21),-1.60516 # DEPENDENCYPART_ARC
(9,22),-1.49186 # DEPENDENCYPART_ARC
(9,23),-1.00974 # DEPENDENCYPART_ARC
(9,24),-2.23539 # DEPENDENCYPART_ARC
(9,25),-1.86293 # DEPENDENCYPART_ARC
(10,1),-1.28662 # DEPENDENCYPART_ARC
(10,2),-2.28286 # DEPENDENCYPART_ARC
(10,3),-1.78604 # DEPENDENCYPART_ARC
(10,4),-1.60203 # DEPENDENCYPART_ARC
(10,5),-1.98984 # DEPENDENCYPART_ARC
(10,6),-0.939423 # DEPENDENCYPART_ARC
(10,7),-1.23623 # DEPENDENCYPART_ARC
(10,8),-1.24237 # DEPENDENCYPART_ARC
(10,9),-0.375562 # DEPENDENCYPART_ARC
(10,11),0.0334665 # DEPENDENCYPART_ARC
(10,12),-0.618513 # DEPENDENCYPART_ARC
(10,13),-0.527897 # DEPENDENCYPART_ARC
(10,14),-0.825931 # DEPENDENCYPART_ARC
(10,15),-0.524713 # DEPENDENCYPART_ARC
(10,16),-0.891476 # DEPENDENCYPART_ARC
(10,17),-1.18797 # DEPENDENCYPART_ARC
(10,18),-1.51005 # DEPENDENCYPART_ARC
(10,19),-1.61213 # DEPENDENCYPART_ARC
(10,20),-0.954514 # DEPENDENCYPART_ARC
(10,21),-1.64551 # DEPENDENCYPART_ARC
(10,22),-1.47287 # DEPENDENCYPART_ARC
(10,23),-1.89744 # DEPENDENCYPART_ARC
(10,24),-1.66806 # DEPENDENCYPART_ARC
(10,25),-1.77689 # DEPENDENCYPART_ARC
(11,1),-1.18875 # DEPENDENCYPART_ARC
(11,2),-1.7958 # DEPENDENCYPART_ARC
(11,3),-1.64924 # DEPENDENCYPART_ARC
(11,4),-1.5902 # DEPENDENCYPART_ARC
(11,5),-1.68353 # DEPENDENCYPART_ARC
(11,6),-1.22787 # DEPENDENCYPART_ARC
(11,7),-1.61396 # DEPENDENCYPART_ARC
(11,8),-1.06957 # DEPENDENCYPART_ARC
(11,9),-0.85156 # DEPENDENCYPART_ARC
(11,10),1.24569 # DEPENDENCYPART_ARC
(11,12),0.828461 # DEPENDENCYPART_ARC
(11,13),3.13748 # DEPENDENCYPART_ARC
(11,14),0.607969 # DEPENDENCYPART_ARC
(11,15),-0.219291 # DEPENDENCYPART_ARC
(11,16),-0.632283 # DEPENDENCYPART_ARC
(11,17),-0.236881 # DEPENDENCYPART_ARC
(11,18),-0.62365 # DEPENDENCYPART_ARC
(11,19),-0.408554 # DEPENDENCYPART_ARC
(11,20),8.58519e-05 # DEPENDENCYPART_ARC
(11,21),-1.12495 # DEPENDENCYPART_ARC
(11,22),-0.461458 # DEPENDENCYPART_ARC
(11,23),-0.879463 # DEPENDENCYPART_ARC
(11,24),-1.83967 # DEPENDENCYPART_ARC
(11,25),-0.854963 # DEPENDENCYPART_ARC
(12,3),-2.56199 # DEPENDENCYPART_ARC
(12,11),-0.513242 # DEPENDENCYPART_ARC
(12,15),-0.223188 # DEPENDENCYPART_ARC
(12,16),-0.539891 # DEPENDENCYPART_ARC
(12,20),-0.591081 # DEPENDENCYPART_ARC
(12,23),-1.09747 # DEPENDENCYPART_ARC
(12,25),-1.04353 # DEPENDENCYPART_ARC
(13,1),-1.44842 # DEPENDENCYPART_ARC
(13,2),-2.73785 # DEPENDENCYPART_ARC
(13,3),-2.77665 # DEPENDENCYPART_ARC
(13,4),-1.43267 # DEPENDENCYPART_ARC
(13,5),-2.15495 # DEPENDENCYPART_ARC
(13,6),-0.273378 # DEPENDENCYPART_ARC
(13,7),-0.915826 # DEPENDENCYPART_ARC
(13,8),-1.94422 # DEPENDENCYPART_ARC
(13,9),-0.261535 # DEPENDENCYPART_ARC
(13,10),0.498111 # DEPENDENCYPART_ARC
(13,11),0.429766 # DEPENDENCYPART_ARC
(13,12),3.43516 # DEPENDENCYPART_ARC
(13,14),3.15665 # DEPENDENCYPART_ARC
(13,15),0.425285 # DEPENDENCYPART_ARC
(13,16),-0.348598 # DEPENDENCYPART_ARC
(13,17),-0.167361 # DEPENDENCYPART_ARC
(13,18),-0.322025 # DEPENDENCYPART_ARC
(13,19),-1.44184 # DEPENDENCYPART_ARC
(13,20),-0.0232398 # DEPENDENCYPART_ARC
(13,21),-0.938598 # DEPENDENCYPART_ARC
(13,22),-0.972396 # DEPENDENCYPART_ARC
(13,23),-0.573154 # DEPENDENCYPART_ARC
(13,24),-0.778936 # DEPENDENCYPART_ARC
(13,25),-1.34579 # DEPENDENCYPART_ARC
(14,1),-1.6978 # DEPENDENCYPART_ARC
(14,2),-1.73427 # DEPENDENCYPART_ARC
(14,3),-1.7058 # DEPENDENCYPART_ARC
(14,4),-1.18759 # DEPENDENCYPART_ARC
(14,5),-2.23022 # DEPENDENCYPART_ARC
(14,6),-0.804907 # DEPENDENCYPART_ARC
(14,7),-1.13914 # DEPENDENCYPART_ARC
(14,8),-1.9792 # DEPENDENCYPART_ARC
(14,9),-2.84783 # DEPENDENCYPART_ARC
(14,10),-0.30056 # DEPENDENCYPART_ARC
(14,11),0.165457 # DEPENDENCYPART_ARC
(14,12),0.542218 # DEPENDENCYPART_ARC
(14,13),0.0763618 # DEPENDENCYPART_ARC
(14,15),2.29312 # DEPENDENCYPART_ARC
(14,16),0.153456 # DEPENDENCYPART_ARC
(14,17),-0.89832 # DEPENDENCYPART_ARC
(14,18),-1.48107 # DEPENDENCYPART_ARC
(14,19),-1.30957 # DEPENDENCYPART_ARC
(14,20),0.551108 # DEPENDENCYPART_ARC
(14,21),-1.72709 # DEPENDENCYPART_ARC
(14,22),-1.50623 # DEPENDENCYPART_ARC
(14,23),-1.02882 # DEPENDENCYPART_ARC
(14,24),-1.33289 # DEPENDENCYPART_ARC
(14,25),-1.04673 # DEPENDENCYPART_ARC
(15,3),-1.60456 # DEPENDENCYPART_ARC
(15,6),-1.34403 # DEPENDENCYPART_ARC
(15,12),-0.470494 # DEPENDENCYPART_ARC
(15,16),0.625687 # DEPENDENCYPART_ARC
(15,20),-0.627022 # DEPENDENCYPART_ARC
(15,25),-0.886324 # DEPENDENCYPART_ARC
(16,3),-2.60715 # DEPENDENCYPART_ARC
(16,6),-2.53967 # DEPENDENCYPART_ARC
(16,12),-1.91986 # DEPENDENCYPART_ARC
(16,15),-0.670375 # DEPENDENCYPART_ARC
(16,20),-0.192718 # DEPENDENCYPART_ARC
(16,25),-0.782952 # DEPENDENCYPART_ARC
(17,1),0.60963 # DEPENDENCYPART_ARC
(17,2),0.227949 # DEPENDENCYPART_ARC
(17,3),-1.70275 # DEPENDENCYPART_ARC
(17,4),0.0156173 # DEPENDENCYPART_ARC
(17,5),0.579316 # DEPENDENCYPART_ARC
(17,6),-0.819002 # DEPENDENCYPART_ARC
(17,7),-0.41723 # DEPENDENCYPART_ARC
(17,8),0.28524 # DEPENDENCYPART_ARC
(17,9),0.221742 # DEPENDENCYPART_ARC
(17,10),0.229871 # DEPENDENCYPART_ARC
(17,11),0.455443 # DEPENDENCYPART_ARC
(17,12),-0.0574954 # DEPENDENCYPART_ARC
(17,13),0.790305 # DEPENDENCYPART_ARC
(17,14),0.129221 # DEPENDENCYPART_ARC
(17,15),0.447357 # DEPENDENCYPART_ARC
(17,16),2.34458 # DEPENDENCYPART_ARC
(17,18),4.05105 # DEPENDENCYPART_ARC
(17,19),2.637 # DEPENDENCYPART_ARC
(17,20),1.72823 # DEPENDENCYPART_ARC
(17,21),1.38761 # DEPENDENCYPART_ARC
(17,22),0.436464 # DEPENDENCYPART_ARC
(17,23),0.42247 # DEPENDENCYPART_ARC
(17,24),-0.285623 # DEPENDENCYPART_ARC
(17,25),0.271717 # DEPENDENCYPART_ARC
(18,1),-0.681502 # DEPENDENCYPART_ARC
(18,2),-1.55092 # DEPENDENCYPART_ARC
(18,3),-0.82723 # DEPENDENCYPART_ARC
(18,5),-0.703114 # DEPENDENCYPART_ARC
(18,6),-0.332631 # DEPENDENCYPART_ARC
(18,7),-1.13073 # DEPENDENCYPART_ARC
(18,8),-1.57874 # DEPENDENCYPART_ARC
(18,9),-2.1677 # DEPENDENCYPART_ARC
(18,10),-0.399232 # DEPENDENCYPART_ARC
(18,11),-0.140262 # DEPENDENCYPART_ARC
(18,12),-0.0551222 # DEPENDENCYPART_ARC
(18,13),-1.34402 # DEPENDENCYPART_ARC
(18,14),-0.627682 # DEPENDENCYPART_ARC
(18,15),0.115207 # DEPENDENCYPART_ARC
(18,16),0.805002 # DEPENDENCYPART_ARC
(18,17),0.313158 # DEPENDENCYPART_ARC
(18,19),1.92583 # DEPENDENCYPART_ARC
(18,20),0.486772 # DEPENDENCYPART_ARC
(18,21),0.307681 # DEPENDENCYPART_ARC
(18,22),-0.950555 # DEPENDENCYPART_ARC
(18,23),-0.544305 # DEPENDENCYPART_ARC
(18,24),-0.940295 # DEPENDENCYPART_ARC
(18,25),-0.543499 # DEPENDENCYPART_ARC
(19,1),-1.8235 # DEPENDENCYPART_ARC
(19,2),-2.20362 # DEPENDENCYPART_ARC
(19,3),-1.68034 # DEPENDENCYPART_ARC
(19,4),-1.18007 # DEPENDENCYPART_ARC
(19,5),-1.63963 # DEPENDENCYPART_ARC
(19,6),-1.41773 # DEPENDENCYPART_ARC
(19,7),-1.59929 # DEPENDENCYPART_ARC
(19,8),-2.55357 # DEPENDENCYPART_ARC
(19,9),-3.02566 # DEPENDENCYPART_ARC
(19,10),-1.15396 # DEPENDENCYPART_ARC
(19,11),-0.946917 # DEPENDENCYPART_ARC
(19,12),-1.32438 # DEPENDENCYPART_ARC
(19,13),-2.23546 # DEPENDENCYPART_ARC
(19,14),-1.29761 # DEPENDENCYPART_ARC
(19,15),-0.775591 # DEPENDENCYPART_ARC
(19,16),0.091841 # DEPENDENCYPART_ARC
(19,17),-0.600834 # DEPENDENCYPART_ARC
(19,18),1.0669 # DEPENDENCYPART_ARC
(19,20),2.47107 # DEPENDENCYPART_ARC
(19,21),-0.236221 # DEPENDENCYPART_ARC
(19,22),-0.376809 # DEPENDENCYPART_ARC
(19,23),0.137936 # DEPENDENCYPART_ARC
(19,24),-0.800584 # DEPENDENCYPART_ARC
(19,25),-0.0582557 # DEPENDENCYPART_ARC
(20,3),-1.95139 # DEPENDENCYPART_ARC
(20,6),-1.79013 # DEPENDENCYPART_ARC
(20,12),-1.61376 # DEPENDENCYPART_ARC
(20,15),-1.68426 # DEPENDENCYPART_ARC
(20,16),-1.71301 # DEPENDENCYPART_ARC
(20,25),-1.08941 # DEPENDENCYPART_ARC
(21,1),-1.2327 # DEPENDENCYPART_ARC
(21,2),-0.983393 # DEPENDENCYPART_ARC
(21,3),-2.79802 # DEPENDENCYPART_ARC
(21,4),-1.13814 # DEPENDENCYPART_ARC
(21,5),-0.882966 # DEPENDENCYPART_ARC
(21,6),-1.82194 # DEPENDENCYPART_ARC
(21,7),-1.62111 # DEPENDENCYPART_ARC
(21,8),-1.24672 # DEPENDENCYPART_ARC
(21,9),-1.4117 # DEPENDENCYPART_ARC
(21,10),-1.63848 # DEPENDENCYPART_ARC
(21,11),-0.84119 # DEPENDENCYPART_ARC
(21,12),-1.44155 # DEPENDENCYPART_ARC
(21,13),-0.442845 # DEPENDENCYPART_ARC
(21,14),-1.38891 # DEPENDENCYPART_ARC
(21,15),-1.83106 # DEPENDENCYPART_ARC
(21,16),-0.980187 # DEPENDENCYPART_ARC
(21,17),-0.0152661 # DEPENDENCYPART_ARC
(21,18),-0.0401951 # DEPENDENCYPART_ARC
(21,19),0.364384 # DEPENDENCYPART_ARC
(21,20),0.15347 # DEPENDENCYPART_ARC
(21,22),2.44774 # DEPENDENCYPART_ARC
(21,23),2.06608 # DEPENDENCYPART_ARC
(21,24),1.6369 # DEPENDENCYPART_ARC
(21,25),0.652895 # DEPENDENCYPART_ARC
(22,1),-1.83159 # DEPENDENCYPART_ARC
(22,2),-2.77396 # DEPENDENCYPART_ARC
(22,3),-2.20647 # DEPENDENCYPART_ARC
(22,4),-2.04527 # DEPENDENCYPART_ARC
(22,5),-2.71752 # DEPENDENCYPART_ARC
(22,6),-1.78044 # DEPENDENCYPART_ARC
(22,7),-2.27544 # DEPENDENCYPART_ARC
(22,8),-2.67765 # DEPENDENCYPART_ARC
(22,9),-2.87825 # DEPENDENCYPART_ARC
(22,10),-1.53857 # DEPENDENCYPART_ARC
(22,11),-1.68032 # DEPENDENCYPART_ARC
(22,12),-1.56809 # DEPENDENCYPART_ARC
(22,13),-2.39426 # DEPENDENCYPART_ARC
(22,14),-2.02906 # DEPENDENCYPART_ARC
(22,15),-1.70085 # DEPENDENCYPART_ARC
(22,16),-1.46522 # DEPENDENCYPART_ARC
(22,17),-2.46333 # DEPENDENCYPART_ARC
(22,18),-1.52425 # DEPENDENCYPART_ARC
(22,19),-1.34261 # DEPENDENCYPART_ARC
(22,20),-0.857453 # DEPENDENCYPART_ARC
(22,21),-0.458532 # DEPENDENCYPART_ARC
(22,23),0.437993 # DEPENDENCYPART_ARC
(22,24),0.58525 # DEPENDENCYPART_ARC
(22,25),0.262674 # DEPENDENCYPART_ARC
(23,1),-2.03086 # DEPENDENCYPART_ARC
(23,2),-2.28723 # DEPENDENCYPART_ARC
(23,3),-2.2088 # DEPENDENCYPART_ARC
(23,4),-2.12282 # DEPENDENCYPART_ARC
(23,5),-2.22272 # DEPENDENCYPART_ARC
(23,6),-1.99081 # DEPENDENCYPART_ARC
(23,7),-2.45959 # DEPENDENCYPART_ARC
(23,8),-2.24153 # DEPENDENCYPART_ARC
(23,9),-2.67774 # DEPENDENCYPART_ARC
(23,10),-1.52207 # DEPENDENCYPART_ARC
(23,11),-1.67219 # DEPENDENCYPART_ARC
(23,12),-1.9228 # DEPENDENCYPART_ARC
(23,13),-1.98095 # DEPENDENCYPART_ARC
(23,14),-2.16466 # DEPENDENCYPART_ARC
(23,15),-1.81421 # DEPENDENCYPART_ARC
(23,16),-1.77345 # DEPENDENCYPART_ARC
(23,17),-2.39971 # DEPENDENCYPART_ARC
(23,18),-1.74634 # DEPENDENCYPART_ARC
(23,19),-1.81081 # DEPENDENCYPART_ARC
(23,20),-1.28522 # DEPENDENCYPART_ARC
(23,21),-1.08896 # DEPENDENCYPART_ARC
(23,22),0.997438 # DEPENDENCYPART_ARC
(23,24),4.06859 # DEPENDENCYPART_ARC
(23,25),0.0218186 # DEPENDENCYPART_ARC
(24,1),-2.84514 # DEPENDENCYPART_ARC
(24,2),-4.18136 # DEPENDENCYPART_ARC
(24,3),-4.11511 # DEPENDENCYPART_ARC
(24,4),-2.90311 # DEPENDENCYPART_ARC
(24,5),-3.32536 # DEPENDENCYPART_ARC
(24,6),-2.58514 # DEPENDENCYPART_ARC
(24,7),-2.27653 # DEPENDENCYPART_ARC
(24,8),-3.78985 # DEPENDENCYPART_ARC
(24,9),-2.14186 # DEPENDENCYPART_ARC
(24,10),-2.26187 # DEPENDENCYPART_ARC
(24,11),-2.79736 # DEPENDENCYPART_ARC
(24,12),-2.01715 # DEPENDENCYPART_ARC
(24,13),-3.74234 # DEPENDENCYPART_ARC
(24,14),-2.34382 # DEPENDENCYPART_ARC
(24,15),-3.07245 # DEPENDENCYPART_ARC
(24,16),-2.1878 # DEPENDENCYPART_ARC
(24,17),-2.98475 # DEPENDENCYPART_ARC
(24,18),-2.3001 # DEPENDENCYPART_ARC
(24,19),-1.93841 # DEPENDENCYPART_ARC
(24,20),-2.6974 # DEPENDENCYPART_ARC
(24,21),-2.17096 # DEPENDENCYPART_ARC
(24,22),-0.276118 # DEPENDENCYPART_ARC
(24,23),0.404094 # DEPENDENCYPART_ARC
(24,25),2.78074 # DEPENDENCYPART_ARC
(25,3),-2.17303 # DEPENDENCYPART_ARC
(25,6),-1.84125 # DEPENDENCYPART_ARC
(25,12),-1.70987 # DEPENDENCYPART_ARC
(25,15),-1.94082 # DEPENDENCYPART_ARC
(25,16),-1.99777 # DEPENDENCYPART_ARC
(25,20),-1.67541 # DEPENDENCYPART_ARC
