# _root_ ROMA ­ I corazzieri , formalmente chiamati Comando carabinieri guardie del presidente , sono stati creati nel 1868 .
#goldHeads=0,1,4,16,4,7,4,7,8,9,10,11,12,15,16,0,16,17,18,
#predictedHeads=0,1,4,16,4,7,4,7,7,9,10,11,12,15,16,0,16,17,18,
(14,16),0.196437 # DEPENDENCYPART_ARC
(14,17),0.23901 # DEPENDENCYPART_ARC
(14,18),-0.999613 # DEPENDENCYPART_ARC
(14,19),-0.962335 # DEPENDENCYPART_ARC
(15,1),-2.01189 # DEPENDENCYPART_ARC
(15,2),-2.13852 # DEPENDENCYPART_ARC
(15,3),-0.22577 # DEPENDENCYPART_ARC
(15,4),-0.396829 # DEPENDENCYPART_ARC
(15,5),-2.18723 # DEPENDENCYPART_ARC
(15,6),0.139865 # DEPENDENCYPART_ARC
(15,7),-0.358539 # DEPENDENCYPART_ARC
(15,8),-0.998204 # DEPENDENCYPART_ARC
(15,9),0.119896 # DEPENDENCYPART_ARC
(15,10),-0.214481 # DEPENDENCYPART_ARC
(15,11),-0.778167 # DEPENDENCYPART_ARC
(15,12),-0.764083 # DEPENDENCYPART_ARC
(15,13),-0.605623 # DEPENDENCYPART_ARC
(15,14),4.05098 # DEPENDENCYPART_ARC
(15,16),2.034 # DEPENDENCYPART_ARC
(15,17),1.2738 # DEPENDENCYPART_ARC
(15,18),-0.707816 # DEPENDENCYPART_ARC
(15,19),-0.551272 # DEPENDENCYPART_ARC
(16,1),-0.438106 # DEPENDENCYPART_ARC
(16,2),-1.83284 # DEPENDENCYPART_ARC
(16,3),0.48196 # DEPENDENCYPART_ARC
(16,4),1.24426 # DEPENDENCYPART_ARC
(16,5),-1.89416 # DEPENDENCYPART_ARC
(16,6),1.14677 # DEPENDENCYPART_ARC
(16,7),0.327371 # DEPENDENCYPART_ARC
(16,8),0.183278 # DEPENDENCYPART_ARC
(16,9),1.29485 # DEPENDENCYPART_ARC
(16,10),0.824635 # DEPENDENCYPART_ARC
(16,11),0.109942 # DEPENDENCYPART_ARC
(16,12),0.133137 # DEPENDENCYPART_ARC
(16,13),-0.650652 # DEPENDENCYPART_ARC
(16,14),2.96583 # DEPENDENCYPART_ARC
(16,15),4.96418 # DEPENDENCYPART_ARC
(16,17),3.01363 # DEPENDENCYPART_ARC
(16,18),0.31977 # DEPENDENCYPART_ARC
(16,19),0.0350791 # DEPENDENCYPART_ARC
(17,1),-3.04514 # DEPENDENCYPART_ARC
(17,2),-2.04632 # DEPENDENCYPART_ARC
(17,3),-1.82799 # DEPENDENCYPART_ARC
(17,4),-2.65988 # DEPENDENCYPART_ARC
(17,5),-2.11246 # DEPENDENCYPART_ARC
(17,6),-1.60874 # DEPENDENCYPART_ARC
(17,7),-3.08781 # DEPENDENCYPART_ARC
(17,8),-2.53267 # DEPENDENCYPART_ARC
(17,9),-2.52634 # DEPENDENCYPART_ARC
(17,10),-2.80151 # DEPENDENCYPART_ARC
(17,11),-1.68283 # DEPENDENCYPART_ARC
(17,12),-2.20655 # DEPENDENCYPART_ARC
(17,13),-1.67147 # DEPENDENCYPART_ARC
(17,14),-2.19627 # DEPENDENCYPART_ARC
(17,15),-1.70732 # DEPENDENCYPART_ARC
(17,16),-0.77822 # DEPENDENCYPART_ARC
(17,18),2.12257 # DEPENDENCYPART_ARC
(17,19),0.297875 # DEPENDENCYPART_ARC
(18,1),-2.83207 # DEPENDENCYPART_ARC
(18,2),-2.04438 # DEPENDENCYPART_ARC
(18,3),-1.60123 # DEPENDENCYPART_ARC
(18,4),-2.81139 # DEPENDENCYPART_ARC
(18,5),-1.97613 # DEPENDENCYPART_ARC
(18,6),-1.78864 # DEPENDENCYPART_ARC
(18,7),-2.59969 # DEPENDENCYPART_ARC
(18,8),-2.50523 # DEPENDENCYPART_ARC
(18,9),-2.4539 # DEPENDENCYPART_ARC
(18,10),-2.42995 # DEPENDENCYPART_ARC
(18,11),-1.70396 # DEPENDENCYPART_ARC
(18,12),-2.3187 # DEPENDENCYPART_ARC
(18,13),-1.64046 # DEPENDENCYPART_ARC
(18,14),-2.06612 # DEPENDENCYPART_ARC
(18,15),-1.74931 # DEPENDENCYPART_ARC
(18,16),-0.992186 # DEPENDENCYPART_ARC
(18,17),0.299474 # DEPENDENCYPART_ARC
(18,19),2.48608 # DEPENDENCYPART_ARC
(19,1),-2.74822 # DEPENDENCYPART_ARC
(19,2),-2.38289 # DEPENDENCYPART_ARC
(19,3),-2.25681 # DEPENDENCYPART_ARC
(19,4),-2.76714 # DEPENDENCYPART_ARC
(19,5),-2.42614 # DEPENDENCYPART_ARC
(19,6),-2.39887 # DEPENDENCYPART_ARC
(19,7),-2.89872 # DEPENDENCYPART_ARC
(19,8),-2.66711 # DEPENDENCYPART_ARC
(19,9),-2.56088 # DEPENDENCYPART_ARC
(19,10),-2.522 # DEPENDENCYPART_ARC
(19,11),-1.99058 # DEPENDENCYPART_ARC
(19,12),-2.44685 # DEPENDENCYPART_ARC
(19,13),-2.10387 # DEPENDENCYPART_ARC
(19,14),-2.58702 # DEPENDENCYPART_ARC
(19,15),-2.49953 # DEPENDENCYPART_ARC
(19,16),-2.09668 # DEPENDENCYPART_ARC
(19,17),-0.976751 # DEPENDENCYPART_ARC
(19,18),-0.285645 # DEPENDENCYPART_ARC
