# _root_ Per questo , altre volte sono tristi , perché si rendono conto che la vita è stata avara con loro .
#goldHeads=6,1,2,5,6,0,6,7,6,11,9,11,12,15,17,17,13,17,17,19,20,
#predictedHeads=6,1,2,5,6,0,6,6,6,11,9,11,11,15,17,17,13,17,17,19,20,
(5,20),-2.00396 # DEPENDENCYPART_ARC
(5,21),-2.9548 # DEPENDENCYPART_ARC
(6,1),1.59647 # DEPENDENCYPART_ARC
(6,2),-0.0157626 # DEPENDENCYPART_ARC
(6,3),-0.553189 # DEPENDENCYPART_ARC
(6,4),1.94354 # DEPENDENCYPART_ARC
(6,5),3.05243 # DEPENDENCYPART_ARC
(6,7),2.87782 # DEPENDENCYPART_ARC
(6,8),1.75326 # DEPENDENCYPART_ARC
(6,9),2.0799 # DEPENDENCYPART_ARC
(6,10),0.379701 # DEPENDENCYPART_ARC
(6,11),1.38499 # DEPENDENCYPART_ARC
(6,12),-0.810576 # DEPENDENCYPART_ARC
(6,13),1.11432 # DEPENDENCYPART_ARC
(6,14),-1.98854 # DEPENDENCYPART_ARC
(6,15),-1.25173 # DEPENDENCYPART_ARC
(6,16),1.25635 # DEPENDENCYPART_ARC
(6,17),0.261412 # DEPENDENCYPART_ARC
(6,18),-0.573335 # DEPENDENCYPART_ARC
(6,19),-0.689095 # DEPENDENCYPART_ARC
(6,20),0.0759696 # DEPENDENCYPART_ARC
(6,21),-1.10825 # DEPENDENCYPART_ARC
(7,1),0.0050113 # DEPENDENCYPART_ARC
(7,2),-0.829168 # DEPENDENCYPART_ARC
(7,3),-0.372776 # DEPENDENCYPART_ARC
(7,4),0.288103 # DEPENDENCYPART_ARC
(7,5),-0.18493 # DEPENDENCYPART_ARC
(7,6),0.087706 # DEPENDENCYPART_ARC
(7,8),1.68067 # DEPENDENCYPART_ARC
(7,9),0.460685 # DEPENDENCYPART_ARC
(7,10),-0.998664 # DEPENDENCYPART_ARC
(7,11),0.213782 # DEPENDENCYPART_ARC
(7,12),-0.382736 # DEPENDENCYPART_ARC
(7,13),-0.0804418 # DEPENDENCYPART_ARC
(7,14),-0.859177 # DEPENDENCYPART_ARC
(7,15),-1.14201 # DEPENDENCYPART_ARC
(7,16),-0.978368 # DEPENDENCYPART_ARC
(7,17),-0.741024 # DEPENDENCYPART_ARC
(7,18),-0.996613 # DEPENDENCYPART_ARC
(7,19),-0.856678 # DEPENDENCYPART_ARC
(7,20),-1.2715 # DEPENDENCYPART_ARC
(7,21),-1.00965 # DEPENDENCYPART_ARC
(8,1),-1.75843 # DEPENDENCYPART_ARC
(8,2),-1.98936 # DEPENDENCYPART_ARC
(8,3),-1.93604 # DEPENDENCYPART_ARC
(8,4),-1.67736 # DEPENDENCYPART_ARC
(8,5),-1.69229 # DEPENDENCYPART_ARC
(8,6),-1.4116 # DEPENDENCYPART_ARC
(8,7),-0.427311 # DEPENDENCYPART_ARC
(8,9),-1.32895 # DEPENDENCYPART_ARC
(8,10),-1.80621 # DEPENDENCYPART_ARC
(8,11),-1.7964 # DEPENDENCYPART_ARC
(8,12),-2.37742 # DEPENDENCYPART_ARC
(8,13),-2.49042 # DEPENDENCYPART_ARC
(8,14),-2.47337 # DEPENDENCYPART_ARC
(8,15),-2.65381 # DEPENDENCYPART_ARC
(8,16),-2.4093 # DEPENDENCYPART_ARC
(8,17),-2.5379 # DEPENDENCYPART_ARC
(8,18),-3.00027 # DEPENDENCYPART_ARC
(8,19),-2.9597 # DEPENDENCYPART_ARC
(8,20),-2.97036 # DEPENDENCYPART_ARC
(8,21),-1.92686 # DEPENDENCYPART_ARC
(9,1),-2.06783 # DEPENDENCYPART_ARC
(9,2),-1.75686 # DEPENDENCYPART_ARC
(9,3),-2.09788 # DEPENDENCYPART_ARC
(9,4),-1.84311 # DEPENDENCYPART_ARC
(9,5),-2.13067 # DEPENDENCYPART_ARC
(9,6),-2.15707 # DEPENDENCYPART_ARC
(9,7),-1.41439 # DEPENDENCYPART_ARC
(9,8),-0.120207 # DEPENDENCYPART_ARC
(9,10),0.29771 # DEPENDENCYPART_ARC
(9,11),2.06646 # DEPENDENCYPART_ARC
(9,12),-0.422194 # DEPENDENCYPART_ARC
(9,13),0.494968 # DEPENDENCYPART_ARC
(9,14),-0.82489 # DEPENDENCYPART_ARC
(9,15),-0.900061 # DEPENDENCYPART_ARC
(9,16),0.569157 # DEPENDENCYPART_ARC
(9,17),0.505349 # DEPENDENCYPART_ARC
(9,18),-0.858817 # DEPENDENCYPART_ARC
(9,19),-1.07379 # DEPENDENCYPART_ARC
(9,20),-1.24536 # DEPENDENCYPART_ARC
(9,21),-0.255439 # DEPENDENCYPART_ARC
(10,1),-2.30372 # DEPENDENCYPART_ARC
(10,2),-3.19182 # DEPENDENCYPART_ARC
(10,3),-2.53468 # DEPENDENCYPART_ARC
(10,4),-2.1588 # DEPENDENCYPART_ARC
(10,5),-3.34214 # DEPENDENCYPART_ARC
(10,6),-3.43118 # DEPENDENCYPART_ARC
(10,7),-2.26168 # DEPENDENCYPART_ARC
(10,8),-1.44858 # DEPENDENCYPART_ARC
(10,9),-0.240157 # DEPENDENCYPART_ARC
(10,11),-0.802967 # DEPENDENCYPART_ARC
(10,12),-0.670222 # DEPENDENCYPART_ARC
(10,13),-0.78904 # DEPENDENCYPART_ARC
(10,14),-2.24732 # DEPENDENCYPART_ARC
(10,15),-1.59337 # DEPENDENCYPART_ARC
(10,16),-2.25364 # DEPENDENCYPART_ARC
(10,17),-3.08396 # DEPENDENCYPART_ARC
(10,18),-1.94969 # DEPENDENCYPART_ARC
(10,19),-2.3013 # DEPENDENCYPART_ARC
(10,20),-1.65202 # DEPENDENCYPART_ARC
(10,21),-1.61107 # DEPENDENCYPART_ARC
(11,1),0.990962 # DEPENDENCYPART_ARC
(11,2),-0.507737 # DEPENDENCYPART_ARC
(11,3),-1.70654 # DEPENDENCYPART_ARC
(11,4),0.726068 # DEPENDENCYPART_ARC
(11,5),1.3491 # DEPENDENCYPART_ARC
(11,6),-0.00285706 # DEPENDENCYPART_ARC
(11,7),0.169392 # DEPENDENCYPART_ARC
(11,8),-0.865003 # DEPENDENCYPART_ARC
(11,9),1.33141 # DEPENDENCYPART_ARC
(11,10),3.88845 # DEPENDENCYPART_ARC
(11,12),2.59079 # DEPENDENCYPART_ARC
(11,13),1.54778 # DEPENDENCYPART_ARC
(11,14),-1.8095 # DEPENDENCYPART_ARC
(11,15),0.159545 # DEPENDENCYPART_ARC
(11,16),0.839231 # DEPENDENCYPART_ARC
(11,17),-0.00279183 # DEPENDENCYPART_ARC
(11,18),-1.0385 # DEPENDENCYPART_ARC
(11,19),-0.282017 # DEPENDENCYPART_ARC
(11,20),-0.473297 # DEPENDENCYPART_ARC
(11,21),-0.817338 # DEPENDENCYPART_ARC
(12,1),-0.895179 # DEPENDENCYPART_ARC
(12,2),-0.579389 # DEPENDENCYPART_ARC
(12,3),-2.43272 # DEPENDENCYPART_ARC
(12,4),-0.30009 # DEPENDENCYPART_ARC
(12,5),-2.26035 # DEPENDENCYPART_ARC
(12,6),-2.11673 # DEPENDENCYPART_ARC
(12,7),-0.297717 # DEPENDENCYPART_ARC
(12,8),-1.76953 # DEPENDENCYPART_ARC
(12,9),-0.262934 # DEPENDENCYPART_ARC
(12,10),0.839208 # DEPENDENCYPART_ARC
(12,11),0.603728 # DEPENDENCYPART_ARC
(12,13),1.27332 # DEPENDENCYPART_ARC
(12,14),-0.0520511 # DEPENDENCYPART_ARC
(12,15),1.05144 # DEPENDENCYPART_ARC
(12,16),-0.0300712 # DEPENDENCYPART_ARC
(12,17),-0.85875 # DEPENDENCYPART_ARC
(12,18),-0.759269 # DEPENDENCYPART_ARC
(12,19),-0.00367977 # DEPENDENCYPART_ARC
(12,20),-1.25004 # DEPENDENCYPART_ARC
(12,21),-0.718627 # DEPENDENCYPART_ARC
(13,1),-1.95713 # DEPENDENCYPART_ARC
(13,2),-1.63131 # DEPENDENCYPART_ARC
(13,3),-1.87791 # DEPENDENCYPART_ARC
(13,4),-1.77242 # DEPENDENCYPART_ARC
(13,5),-2.28624 # DEPENDENCYPART_ARC
(13,6),-2.47302 # DEPENDENCYPART_ARC
(13,7),-2.07171 # DEPENDENCYPART_ARC
(13,8),-1.53942 # DEPENDENCYPART_ARC
(13,9),-1.23316 # DEPENDENCYPART_ARC
(13,10),-0.879569 # DEPENDENCYPART_ARC
(13,11),-1.26675 # DEPENDENCYPART_ARC
(13,12),-0.430485 # DEPENDENCYPART_ARC
(13,14),0.810713 # DEPENDENCYPART_ARC
(13,15),0.706862 # DEPENDENCYPART_ARC
(13,16),3.34036 # DEPENDENCYPART_ARC
(13,17),2.47951 # DEPENDENCYPART_ARC
(13,18),-0.0120397 # DEPENDENCYPART_ARC
(13,19),-0.421309 # DEPENDENCYPART_ARC
(13,20),-0.585793 # DEPENDENCYPART_ARC
(13,21),0.159926 # DEPENDENCYPART_ARC
(14,1),-3.19684 # DEPENDENCYPART_ARC
(14,2),-3.06601 # DEPENDENCYPART_ARC
(14,3),-2.98325 # DEPENDENCYPART_ARC
(14,4),-3.08999 # DEPENDENCYPART_ARC
(14,5),-3.63281 # DEPENDENCYPART_ARC
(14,6),-4.1386 # DEPENDENCYPART_ARC
(14,7),-3.10695 # DEPENDENCYPART_ARC
(14,8),-2.78003 # DEPENDENCYPART_ARC
(14,9),-2.98515 # DEPENDENCYPART_ARC
(14,10),-2.45855 # DEPENDENCYPART_ARC
(14,11),-3.41084 # DEPENDENCYPART_ARC
(14,12),-2.50708 # DEPENDENCYPART_ARC
(14,13),-1.45403 # DEPENDENCYPART_ARC
(14,15),1.228 # DEPENDENCYPART_ARC
(14,16),0.238061 # DEPENDENCYPART_ARC
(14,17),0.0490031 # DEPENDENCYPART_ARC
(14,18),-1.19532 # DEPENDENCYPART_ARC
(14,19),-0.591177 # DEPENDENCYPART_ARC
(14,20),-1.83497 # DEPENDENCYPART_ARC
(14,21),-0.527522 # DEPENDENCYPART_ARC
(15,1),-1.1017 # DEPENDENCYPART_ARC
(15,2),-1.06152 # DEPENDENCYPART_ARC
(15,3),-2.775 # DEPENDENCYPART_ARC
(15,4),-0.162093 # DEPENDENCYPART_ARC
(15,5),-2.24223 # DEPENDENCYPART_ARC
(15,6),-2.17829 # DEPENDENCYPART_ARC
(15,7),-0.936875 # DEPENDENCYPART_ARC
(15,8),-2.45498 # DEPENDENCYPART_ARC
(15,9),-1.0475 # DEPENDENCYPART_ARC
(15,10),-0.101309 # DEPENDENCYPART_ARC
(15,11),-1.55528 # DEPENDENCYPART_ARC
(15,12),-1.5368 # DEPENDENCYPART_ARC
(15,13),0.0823181 # DEPENDENCYPART_ARC
(15,14),3.51791 # DEPENDENCYPART_ARC
(15,16),0.382328 # DEPENDENCYPART_ARC
(15,17),-0.255575 # DEPENDENCYPART_ARC
(15,18),-0.0206588 # DEPENDENCYPART_ARC
(15,19),-0.566291 # DEPENDENCYPART_ARC
(15,20),-2.01867 # DEPENDENCYPART_ARC
(15,21),-1.29147 # DEPENDENCYPART_ARC
(16,1),-0.865521 # DEPENDENCYPART_ARC
(16,2),-2.85444 # DEPENDENCYPART_ARC
(16,3),-3.07311 # DEPENDENCYPART_ARC
(16,4),-1.70653 # DEPENDENCYPART_ARC
(16,5),-1.98829 # DEPENDENCYPART_ARC
(16,6),-2.98432 # DEPENDENCYPART_ARC
(16,7),-2.24963 # DEPENDENCYPART_ARC
(16,8),-2.90307 # DEPENDENCYPART_ARC
(16,9),-0.647976 # DEPENDENCYPART_ARC
(16,10),-0.395668 # DEPENDENCYPART_ARC
(16,11),-2.01469 # DEPENDENCYPART_ARC
(16,12),-0.803901 # DEPENDENCYPART_ARC
(16,13),-0.220454 # DEPENDENCYPART_ARC
(16,14),-0.653712 # DEPENDENCYPART_ARC
(16,15),0.883757 # DEPENDENCYPART_ARC
(16,17),0.806097 # DEPENDENCYPART_ARC
(16,18),0.972592 # DEPENDENCYPART_ARC
(16,19),-0.231264 # DEPENDENCYPART_ARC
(16,20),-0.356199 # DEPENDENCYPART_ARC
(16,21),-1.03079 # DEPENDENCYPART_ARC
(17,1),0.227697 # DEPENDENCYPART_ARC
(17,2),-1.02976 # DEPENDENCYPART_ARC
(17,3),-1.91457 # DEPENDENCYPART_ARC
(17,4),-0.860536 # DEPENDENCYPART_ARC
(17,5),0.675897 # DEPENDENCYPART_ARC
(17,6),-0.962256 # DEPENDENCYPART_ARC
(17,7),-0.525266 # DEPENDENCYPART_ARC
(17,8),-1.44565 # DEPENDENCYPART_ARC
(17,9),0.579229 # DEPENDENCYPART_ARC
(17,10),2.03278 # DEPENDENCYPART_ARC
(17,11),-0.226919 # DEPENDENCYPART_ARC
(17,12),0.468824 # DEPENDENCYPART_ARC
(17,13),0.632117 # DEPENDENCYPART_ARC
(17,14),0.268151 # DEPENDENCYPART_ARC
(17,15),2.64915 # DEPENDENCYPART_ARC
(17,16),5.03313 # DEPENDENCYPART_ARC
(17,18),2.96717 # DEPENDENCYPART_ARC
(17,19),1.56856 # DEPENDENCYPART_ARC
(17,20),0.24578 # DEPENDENCYPART_ARC
(17,21),-0.00353447 # DEPENDENCYPART_ARC
(18,1),-0.665467 # DEPENDENCYPART_ARC
(18,2),-0.805677 # DEPENDENCYPART_ARC
(18,3),-1.45883 # DEPENDENCYPART_ARC
(18,4),-0.841195 # DEPENDENCYPART_ARC
(18,5),-1.6349 # DEPENDENCYPART_ARC
(18,6),-1.99066 # DEPENDENCYPART_ARC
(18,7),-0.663455 # DEPENDENCYPART_ARC
(18,8),-1.28708 # DEPENDENCYPART_ARC
(18,9),-0.434995 # DEPENDENCYPART_ARC
(18,10),0.663955 # DEPENDENCYPART_ARC
(18,11),-1.75566 # DEPENDENCYPART_ARC
(18,12),-0.789749 # DEPENDENCYPART_ARC
(18,13),-0.0299569 # DEPENDENCYPART_ARC
(18,14),0.217412 # DEPENDENCYPART_ARC
(18,15),-0.0862951 # DEPENDENCYPART_ARC
(18,16),0.0774013 # DEPENDENCYPART_ARC
(18,17),0.540232 # DEPENDENCYPART_ARC
(18,19),1.4081 # DEPENDENCYPART_ARC
(18,20),-0.350225 # DEPENDENCYPART_ARC
(18,21),0.450983 # DEPENDENCYPART_ARC
(19,1),-2.19712 # DEPENDENCYPART_ARC
(19,2),-2.08482 # DEPENDENCYPART_ARC
(19,3),-2.23582 # DEPENDENCYPART_ARC
(19,4),-1.9446 # DEPENDENCYPART_ARC
(19,5),-2.35903 # DEPENDENCYPART_ARC
(19,6),-2.53914 # DEPENDENCYPART_ARC
(19,7),-2.36106 # DEPENDENCYPART_ARC
(19,8),-2.21873 # DEPENDENCYPART_ARC
(19,9),-1.71109 # DEPENDENCYPART_ARC
(19,10),-1.89215 # DEPENDENCYPART_ARC
(19,11),-2.40968 # DEPENDENCYPART_ARC
(19,12),-1.95793 # DEPENDENCYPART_ARC
(19,13),-1.25733 # DEPENDENCYPART_ARC
(19,14),-1.47572 # DEPENDENCYPART_ARC
(19,15),-1.67719 # DEPENDENCYPART_ARC
(19,16),-1.76034 # DEPENDENCYPART_ARC
(19,17),-1.08725 # DEPENDENCYPART_ARC
(19,18),-0.296407 # DEPENDENCYPART_ARC
(19,20),2.88493 # DEPENDENCYPART_ARC
(19,21),-0.248903 # DEPENDENCYPART_ARC
(20,1),-2.01639 # DEPENDENCYPART_ARC
(20,2),-2.91274 # DEPENDENCYPART_ARC
(20,3),-2.26366 # DEPENDENCYPART_ARC
(20,4),-1.80847 # DEPENDENCYPART_ARC
(20,5),-2.77961 # DEPENDENCYPART_ARC
(20,6),-3.88558 # DEPENDENCYPART_ARC
(20,7),-2.30457 # DEPENDENCYPART_ARC
(20,8),-2.14478 # DEPENDENCYPART_ARC
(20,9),-1.71671 # DEPENDENCYPART_ARC
(20,10),-1.51732 # DEPENDENCYPART_ARC
(20,11),-3.63973 # DEPENDENCYPART_ARC
(20,12),-2.64053 # DEPENDENCYPART_ARC
(20,13),-1.44646 # DEPENDENCYPART_ARC
(20,14),-0.997922 # DEPENDENCYPART_ARC
(20,15),-2.23768 # DEPENDENCYPART_ARC
(20,16),-3.52437 # DEPENDENCYPART_ARC
(20,17),-2.76015 # DEPENDENCYPART_ARC
(20,18),-1.10855 # DEPENDENCYPART_ARC
(20,19),0.243503 # DEPENDENCYPART_ARC
(20,21),2.6102 # DEPENDENCYPART_ARC
(21,1),-2.1615 # DEPENDENCYPART_ARC
(21,2),-2.35398 # DEPENDENCYPART_ARC
(21,3),-2.35839 # DEPENDENCYPART_ARC
(21,4),-2.24081 # DEPENDENCYPART_ARC
(21,5),-2.64908 # DEPENDENCYPART_ARC
(21,6),-2.92992 # DEPENDENCYPART_ARC
(21,7),-2.61646 # DEPENDENCYPART_ARC
(21,8),-2.21452 # DEPENDENCYPART_ARC
(21,9),-2.04246 # DEPENDENCYPART_ARC
(21,10),-2.33218 # DEPENDENCYPART_ARC
(21,11),-2.76173 # DEPENDENCYPART_ARC
(21,12),-2.37644 # DEPENDENCYPART_ARC
(21,13),-1.91756 # DEPENDENCYPART_ARC
(21,14),-1.82573 # DEPENDENCYPART_ARC
(21,15),-2.2641 # DEPENDENCYPART_ARC
(21,16),-2.52935 # DEPENDENCYPART_ARC
(21,17),-2.36686 # DEPENDENCYPART_ARC
(21,18),-1.59119 # DEPENDENCYPART_ARC
(21,19),-0.907635 # DEPENDENCYPART_ARC
(21,20),-0.220821 # DEPENDENCYPART_ARC
