# _root_ Ci si viene per riposar- si , curar- si , sarebbe quindi assurdo non approfittar- ne .
#goldHeads=3,3,0,3,4,5,3,3,8,3,3,11,11,15,11,15,16,
#predictedHeads=3,3,0,3,4,5,6,11,8,9,0,11,11,15,11,15,16,
(2,15),-2.99121 # DEPENDENCYPART_ARC
(2,16),-2.7299 # DEPENDENCYPART_ARC
(2,17),-2.26842 # DEPENDENCYPART_ARC
(3,1),1.97754 # DEPENDENCYPART_ARC
(3,2),4.26549 # DEPENDENCYPART_ARC
(3,4),2.90713 # DEPENDENCYPART_ARC
(3,5),1.20301 # DEPENDENCYPART_ARC
(3,6),-0.137228 # DEPENDENCYPART_ARC
(3,7),0.577771 # DEPENDENCYPART_ARC
(3,8),0.37525 # DEPENDENCYPART_ARC
(3,9),-0.772968 # DEPENDENCYPART_ARC
(3,10),0.345361 # DEPENDENCYPART_ARC
(3,11),-0.205975 # DEPENDENCYPART_ARC
(3,12),-0.997575 # DEPENDENCYPART_ARC
(3,13),-1.17149 # DEPENDENCYPART_ARC
(3,14),-1.2593 # DEPENDENCYPART_ARC
(3,15),-0.230023 # DEPENDENCYPART_ARC
(3,16),-1.40594 # DEPENDENCYPART_ARC
(3,17),-1.69238 # DEPENDENCYPART_ARC
(4,1),-0.125724 # DEPENDENCYPART_ARC
(4,2),-0.404038 # DEPENDENCYPART_ARC
(4,3),0.218234 # DEPENDENCYPART_ARC
(4,5),3.52153 # DEPENDENCYPART_ARC
(4,6),1.35583 # DEPENDENCYPART_ARC
(4,7),0.44199 # DEPENDENCYPART_ARC
(4,8),0.846156 # DEPENDENCYPART_ARC
(4,9),0.0405669 # DEPENDENCYPART_ARC
(4,10),0.396191 # DEPENDENCYPART_ARC
(4,11),-0.544129 # DEPENDENCYPART_ARC
(4,12),-0.841343 # DEPENDENCYPART_ARC
(4,13),-1.45762 # DEPENDENCYPART_ARC
(4,14),-1.51135 # DEPENDENCYPART_ARC
(4,15),-0.974316 # DEPENDENCYPART_ARC
(4,16),-0.887879 # DEPENDENCYPART_ARC
(4,17),-0.768412 # DEPENDENCYPART_ARC
(5,1),-0.316147 # DEPENDENCYPART_ARC
(5,2),0.121021 # DEPENDENCYPART_ARC
(5,3),0.32658 # DEPENDENCYPART_ARC
(5,4),0.575681 # DEPENDENCYPART_ARC
(5,6),3.63657 # DEPENDENCYPART_ARC
(5,7),0.717289 # DEPENDENCYPART_ARC
(5,8),1.36678 # DEPENDENCYPART_ARC
(5,9),1.31612 # DEPENDENCYPART_ARC
(5,10),0.273442 # DEPENDENCYPART_ARC
(5,11),-0.0146646 # DEPENDENCYPART_ARC
(5,12),-0.39319 # DEPENDENCYPART_ARC
(5,13),-0.416121 # DEPENDENCYPART_ARC
(5,14),-0.765559 # DEPENDENCYPART_ARC
(5,15),0.352273 # DEPENDENCYPART_ARC
(5,16),0.378131 # DEPENDENCYPART_ARC
(5,17),-1.41548 # DEPENDENCYPART_ARC
(6,1),-1.08573 # DEPENDENCYPART_ARC
(6,2),-0.449957 # DEPENDENCYPART_ARC
(6,3),-2.34341 # DEPENDENCYPART_ARC
(6,4),-0.451117 # DEPENDENCYPART_ARC
(6,5),-0.189981 # DEPENDENCYPART_ARC
(6,7),1.92532 # DEPENDENCYPART_ARC
(6,8),-0.184654 # DEPENDENCYPART_ARC
(6,9),-1.2326 # DEPENDENCYPART_ARC
(6,10),0.0855585 # DEPENDENCYPART_ARC
(6,11),-1.74804 # DEPENDENCYPART_ARC
(6,12),-1.62976 # DEPENDENCYPART_ARC
(6,13),-1.14229 # DEPENDENCYPART_ARC
(6,14),-1.74372 # DEPENDENCYPART_ARC
(6,15),-1.89021 # DEPENDENCYPART_ARC
(6,16),-1.91591 # DEPENDENCYPART_ARC
(6,17),-0.867261 # DEPENDENCYPART_ARC
(7,1),-2.01462 # DEPENDENCYPART_ARC
(7,2),-1.86971 # DEPENDENCYPART_ARC
(7,3),-2.42435 # DEPENDENCYPART_ARC
(7,4),-1.14086 # DEPENDENCYPART_ARC
(7,5),-1.39784 # DEPENDENCYPART_ARC
(7,6),-0.172594 # DEPENDENCYPART_ARC
(7,8),-0.683453 # DEPENDENCYPART_ARC
(7,9),-1.76148 # DEPENDENCYPART_ARC
(7,10),-0.868905 # DEPENDENCYPART_ARC
(7,11),-2.00661 # DEPENDENCYPART_ARC
(7,12),-2.48822 # DEPENDENCYPART_ARC
(7,13),-2.42608 # DEPENDENCYPART_ARC
(7,14),-2.59469 # DEPENDENCYPART_ARC
(7,15),-2.28399 # DEPENDENCYPART_ARC
(7,16),-2.64727 # DEPENDENCYPART_ARC
(7,17),-1.49288 # DEPENDENCYPART_ARC
(8,1),-0.366094 # DEPENDENCYPART_ARC
(8,2),-0.84342 # DEPENDENCYPART_ARC
(8,3),-1.07548 # DEPENDENCYPART_ARC
(8,4),-0.610803 # DEPENDENCYPART_ARC
(8,5),0.10002 # DEPENDENCYPART_ARC
(8,6),0.349603 # DEPENDENCYPART_ARC
(8,7),-0.271767 # DEPENDENCYPART_ARC
(8,9),3.59158 # DEPENDENCYPART_ARC
(8,10),0.696942 # DEPENDENCYPART_ARC
(8,11),0.207969 # DEPENDENCYPART_ARC
(8,12),-0.0407844 # DEPENDENCYPART_ARC
(8,13),-0.0115063 # DEPENDENCYPART_ARC
(8,14),-0.685369 # DEPENDENCYPART_ARC
(8,15),0.209146 # DEPENDENCYPART_ARC
(8,16),0.572104 # DEPENDENCYPART_ARC
(8,17),-1.08914 # DEPENDENCYPART_ARC
(9,1),-1.4866 # DEPENDENCYPART_ARC
(9,2),-0.743831 # DEPENDENCYPART_ARC
(9,3),-2.87895 # DEPENDENCYPART_ARC
(9,4),-1.093 # DEPENDENCYPART_ARC
(9,5),-2.1383 # DEPENDENCYPART_ARC
(9,6),-0.0733912 # DEPENDENCYPART_ARC
(9,7),-0.675719 # DEPENDENCYPART_ARC
(9,8),-0.177912 # DEPENDENCYPART_ARC
(9,10),2.05057 # DEPENDENCYPART_ARC
(9,11),-0.493471 # DEPENDENCYPART_ARC
(9,12),-0.991158 # DEPENDENCYPART_ARC
(9,13),-0.546631 # DEPENDENCYPART_ARC
(9,14),-1.28369 # DEPENDENCYPART_ARC
(9,15),-1.25583 # DEPENDENCYPART_ARC
(9,16),-1.60092 # DEPENDENCYPART_ARC
(9,17),-0.356 # DEPENDENCYPART_ARC
(10,1),-2.36218 # DEPENDENCYPART_ARC
(10,2),-2.2956 # DEPENDENCYPART_ARC
(10,3),-2.76213 # DEPENDENCYPART_ARC
(10,4),-1.85944 # DEPENDENCYPART_ARC
(10,5),-2.67219 # DEPENDENCYPART_ARC
(10,6),-1.93264 # DEPENDENCYPART_ARC
(10,7),-1.61024 # DEPENDENCYPART_ARC
(10,8),-1.54604 # DEPENDENCYPART_ARC
(10,9),-0.31813 # DEPENDENCYPART_ARC
(10,11),-0.997518 # DEPENDENCYPART_ARC
(10,12),-2.25712 # DEPENDENCYPART_ARC
(10,13),-2.29586 # DEPENDENCYPART_ARC
(10,14),-2.64106 # DEPENDENCYPART_ARC
(10,15),-2.36858 # DEPENDENCYPART_ARC
(10,16),-2.75602 # DEPENDENCYPART_ARC
(10,17),-1.59333 # DEPENDENCYPART_ARC
(11,1),-0.571256 # DEPENDENCYPART_ARC
(11,2),-0.220897 # DEPENDENCYPART_ARC
(11,3),-0.159747 # DEPENDENCYPART_ARC
(11,4),-0.591999 # DEPENDENCYPART_ARC
(11,5),0.059597 # DEPENDENCYPART_ARC
(11,6),0.833103 # DEPENDENCYPART_ARC
(11,7),-1.84157 # DEPENDENCYPART_ARC
(11,8),1.48063 # DEPENDENCYPART_ARC
(11,9),1.93273 # DEPENDENCYPART_ARC
(11,10),0.160307 # DEPENDENCYPART_ARC
(11,12),2.43835 # DEPENDENCYPART_ARC
(11,13),2.75885 # DEPENDENCYPART_ARC
(11,14),0.774797 # DEPENDENCYPART_ARC
(11,15),1.62165 # DEPENDENCYPART_ARC
(11,16),0.29867 # DEPENDENCYPART_ARC
(11,17),0.196486 # DEPENDENCYPART_ARC
(12,1),-1.19943 # DEPENDENCYPART_ARC
(12,2),-1.47923 # DEPENDENCYPART_ARC
(12,3),-2.1438 # DEPENDENCYPART_ARC
(12,4),-0.908381 # DEPENDENCYPART_ARC
(12,5),-1.95598 # DEPENDENCYPART_ARC
(12,6),-1.21169 # DEPENDENCYPART_ARC
(12,7),-1.15724 # DEPENDENCYPART_ARC
(12,8),-1.72868 # DEPENDENCYPART_ARC
(12,9),-0.647711 # DEPENDENCYPART_ARC
(12,10),-0.29764 # DEPENDENCYPART_ARC
(12,11),0.101732 # DEPENDENCYPART_ARC
(12,13),0.799124 # DEPENDENCYPART_ARC
(12,14),-0.288693 # DEPENDENCYPART_ARC
(12,15),-0.32547 # DEPENDENCYPART_ARC
(12,16),-0.982125 # DEPENDENCYPART_ARC
(12,17),-0.788541 # DEPENDENCYPART_ARC
(13,1),-1.94489 # DEPENDENCYPART_ARC
(13,2),-1.29332 # DEPENDENCYPART_ARC
(13,3),-2.44894 # DEPENDENCYPART_ARC
(13,4),-1.22225 # DEPENDENCYPART_ARC
(13,5),-2.2141 # DEPENDENCYPART_ARC
(13,6),-0.884102 # DEPENDENCYPART_ARC
(13,7),-2.62569 # DEPENDENCYPART_ARC
(13,8),-1.59672 # DEPENDENCYPART_ARC
(13,9),-0.456998 # DEPENDENCYPART_ARC
(13,10),-1.85157 # DEPENDENCYPART_ARC
(13,11),-0.334561 # DEPENDENCYPART_ARC
(13,12),1.34069 # DEPENDENCYPART_ARC
(13,14),0.63704 # DEPENDENCYPART_ARC
(13,15),0.867473 # DEPENDENCYPART_ARC
(13,16),-1.64254 # DEPENDENCYPART_ARC
(13,17),-0.151288 # DEPENDENCYPART_ARC
(14,1),-2.02181 # DEPENDENCYPART_ARC
(14,2),-2.22732 # DEPENDENCYPART_ARC
(14,3),-2.88294 # DEPENDENCYPART_ARC
(14,4),-1.65798 # DEPENDENCYPART_ARC
(14,5),-2.70154 # DEPENDENCYPART_ARC
(14,6),-2.02984 # DEPENDENCYPART_ARC
(14,7),-2.0512 # DEPENDENCYPART_ARC
(14,8),-2.58202 # DEPENDENCYPART_ARC
(14,9),-1.80394 # DEPENDENCYPART_ARC
(14,10),-1.79146 # DEPENDENCYPART_ARC
(14,11),-2.02647 # DEPENDENCYPART_ARC
(14,12),-0.639738 # DEPENDENCYPART_ARC
(14,13),-0.671573 # DEPENDENCYPART_ARC
(14,15),0.00793099 # DEPENDENCYPART_ARC
(14,16),-1.03359 # DEPENDENCYPART_ARC
(14,17),-1.04216 # DEPENDENCYPART_ARC
(15,1),-0.697876 # DEPENDENCYPART_ARC
(15,2),-1.41082 # DEPENDENCYPART_ARC
(15,3),-1.09674 # DEPENDENCYPART_ARC
(15,4),-0.933525 # DEPENDENCYPART_ARC
(15,5),-0.821623 # DEPENDENCYPART_ARC
(15,6),-0.842508 # DEPENDENCYPART_ARC
(15,7),-2.16199 # DEPENDENCYPART_ARC
(15,8),-0.770527 # DEPENDENCYPART_ARC
(15,9),0.0544626 # DEPENDENCYPART_ARC
(15,10),-1.84054 # DEPENDENCYPART_ARC
(15,11),0.187388 # DEPENDENCYPART_ARC
(15,12),1.05974 # DEPENDENCYPART_ARC
(15,13),0.69541 # DEPENDENCYPART_ARC
(15,14),2.8418 # DEPENDENCYPART_ARC
(15,16),3.32344 # DEPENDENCYPART_ARC
(15,17),0.225092 # DEPENDENCYPART_ARC
(16,1),-1.53528 # DEPENDENCYPART_ARC
(16,2),-0.764433 # DEPENDENCYPART_ARC
(16,3),-2.91464 # DEPENDENCYPART_ARC
(16,4),-1.46829 # DEPENDENCYPART_ARC
(16,5),-2.44702 # DEPENDENCYPART_ARC
(16,6),-0.606044 # DEPENDENCYPART_ARC
(16,7),-1.66652 # DEPENDENCYPART_ARC
(16,8),-2.25078 # DEPENDENCYPART_ARC
(16,9),-0.40901 # DEPENDENCYPART_ARC
(16,10),-1.44249 # DEPENDENCYPART_ARC
(16,11),-2.48011 # DEPENDENCYPART_ARC
(16,12),-0.753303 # DEPENDENCYPART_ARC
(16,13),-1.7709 # DEPENDENCYPART_ARC
(16,14),-0.261843 # DEPENDENCYPART_ARC
(16,15),0.0303495 # DEPENDENCYPART_ARC
(16,17),2.3319 # DEPENDENCYPART_ARC
(17,1),-2.16795 # DEPENDENCYPART_ARC
(17,2),-2.08569 # DEPENDENCYPART_ARC
(17,3),-2.73459 # DEPENDENCYPART_ARC
(17,4),-1.79517 # DEPENDENCYPART_ARC
(17,5),-2.58308 # DEPENDENCYPART_ARC
(17,6),-2.11064 # DEPENDENCYPART_ARC
(17,7),-1.99199 # DEPENDENCYPART_ARC
(17,8),-2.48002 # DEPENDENCYPART_ARC
(17,9),-1.87556 # DEPENDENCYPART_ARC
(17,10),-1.76928 # DEPENDENCYPART_ARC
(17,11),-2.36752 # DEPENDENCYPART_ARC
(17,12),-1.65495 # DEPENDENCYPART_ARC
(17,13),-1.78249 # DEPENDENCYPART_ARC
(17,14),-1.19162 # DEPENDENCYPART_ARC
(17,15),-1.17016 # DEPENDENCYPART_ARC
(17,16),0.0402259 # DEPENDENCYPART_ARC
