# _root_ Due i motivi : la consistenza dell' avversario , di serie B , e soprattutto la cifra di un gioco non spettacolare ma incisivo .
#goldHeads=3,3,0,3,6,3,6,7,8,8,10,11,12,6,17,17,6,17,20,18,22,20,22,22,24,
#predictedHeads=3,3,0,3,6,3,6,7,8,8,10,11,12,3,17,17,6,17,20,18,22,20,22,22,24,
(6,4),-0.650818 # DEPENDENCYPART_ARC
(6,5),3.46267 # DEPENDENCYPART_ARC
(6,7),2.79186 # DEPENDENCYPART_ARC
(6,8),1.15776 # DEPENDENCYPART_ARC
(6,9),0.540484 # DEPENDENCYPART_ARC
(6,10),0.49132 # DEPENDENCYPART_ARC
(6,11),0.475568 # DEPENDENCYPART_ARC
(6,12),0.766111 # DEPENDENCYPART_ARC
(6,13),0.794862 # DEPENDENCYPART_ARC
(6,14),0.449153 # DEPENDENCYPART_ARC
(6,15),-1.01479 # DEPENDENCYPART_ARC
(6,16),0.0401687 # DEPENDENCYPART_ARC
(6,17),0.544651 # DEPENDENCYPART_ARC
(6,18),-0.231802 # DEPENDENCYPART_ARC
(6,19),-0.724917 # DEPENDENCYPART_ARC
(6,20),0.0876176 # DEPENDENCYPART_ARC
(6,21),-1.71611 # DEPENDENCYPART_ARC
(6,22),-0.300447 # DEPENDENCYPART_ARC
(6,23),-0.00479675 # DEPENDENCYPART_ARC
(6,24),-1.73894 # DEPENDENCYPART_ARC
(6,25),-2.74933 # DEPENDENCYPART_ARC
(7,1),-1.89925 # DEPENDENCYPART_ARC
(7,2),-1.16102 # DEPENDENCYPART_ARC
(7,3),-2.09325 # DEPENDENCYPART_ARC
(7,4),-1.01685 # DEPENDENCYPART_ARC
(7,5),-0.564734 # DEPENDENCYPART_ARC
(7,6),-1.22237 # DEPENDENCYPART_ARC
(7,8),4.00712 # DEPENDENCYPART_ARC
(7,9),0.660097 # DEPENDENCYPART_ARC
(7,10),-0.206318 # DEPENDENCYPART_ARC
(7,11),-0.0821078 # DEPENDENCYPART_ARC
(7,12),-0.765164 # DEPENDENCYPART_ARC
(7,13),-0.161319 # DEPENDENCYPART_ARC
(7,14),-0.559542 # DEPENDENCYPART_ARC
(7,15),-0.992103 # DEPENDENCYPART_ARC
(7,16),-2.07968 # DEPENDENCYPART_ARC
(7,17),-3.39051 # DEPENDENCYPART_ARC
(7,18),-1.83792 # DEPENDENCYPART_ARC
(7,19),-2.26053 # DEPENDENCYPART_ARC
(7,20),-4.62293 # DEPENDENCYPART_ARC
(7,21),-1.87197 # DEPENDENCYPART_ARC
(7,22),-1.60768 # DEPENDENCYPART_ARC
(7,23),-1.13184 # DEPENDENCYPART_ARC
(7,24),-1.81236 # DEPENDENCYPART_ARC
(7,25),-1.96769 # DEPENDENCYPART_ARC
(8,1),-1.97284 # DEPENDENCYPART_ARC
(8,2),-1.25718 # DEPENDENCYPART_ARC
(8,3),-2.59457 # DEPENDENCYPART_ARC
(8,4),-2.40577 # DEPENDENCYPART_ARC
(8,5),-0.321093 # DEPENDENCYPART_ARC
(8,6),-2.15401 # DEPENDENCYPART_ARC
(8,7),0.54959 # DEPENDENCYPART_ARC
(8,9),2.3137 # DEPENDENCYPART_ARC
(8,10),0.609206 # DEPENDENCYPART_ARC
(8,11),-0.190849 # DEPENDENCYPART_ARC
(8,12),0.51603 # DEPENDENCYPART_ARC
(8,13),0.356741 # DEPENDENCYPART_ARC
(8,14),0.200662 # DEPENDENCYPART_ARC
(8,15),-1.21179 # DEPENDENCYPART_ARC
(8,16),-0.792476 # DEPENDENCYPART_ARC
(8,17),-0.790011 # DEPENDENCYPART_ARC
(8,18),-0.542628 # DEPENDENCYPART_ARC
(8,19),-0.934398 # DEPENDENCYPART_ARC
(8,20),-0.81817 # DEPENDENCYPART_ARC
(8,21),-1.85006 # DEPENDENCYPART_ARC
(8,22),-0.540368 # DEPENDENCYPART_ARC
(8,23),-0.312859 # DEPENDENCYPART_ARC
(8,24),-0.919588 # DEPENDENCYPART_ARC
(8,25),-2.49768 # DEPENDENCYPART_ARC
(9,2),-1.42156 # DEPENDENCYPART_ARC
(9,4),-1.57148 # DEPENDENCYPART_ARC
(9,5),-1.09891 # DEPENDENCYPART_ARC
(9,13),-0.830921 # DEPENDENCYPART_ARC
(9,16),-1.06012 # DEPENDENCYPART_ARC
(9,19),-1.10312 # DEPENDENCYPART_ARC
(9,25),-1.06714 # DEPENDENCYPART_ARC
(10,1),-2.20101 # DEPENDENCYPART_ARC
(10,2),-1.9763 # DEPENDENCYPART_ARC
(10,3),-2.06875 # DEPENDENCYPART_ARC
(10,4),-1.89728 # DEPENDENCYPART_ARC
(10,5),-1.63946 # DEPENDENCYPART_ARC
(10,6),-1.88828 # DEPENDENCYPART_ARC
(10,7),-0.964945 # DEPENDENCYPART_ARC
(10,8),-1.23976 # DEPENDENCYPART_ARC
(10,9),-0.124032 # DEPENDENCYPART_ARC
(10,11),3.12656 # DEPENDENCYPART_ARC
(10,12),1.81024 # DEPENDENCYPART_ARC
(10,13),-0.137522 # DEPENDENCYPART_ARC
(10,14),-0.394703 # DEPENDENCYPART_ARC
(10,15),-1.0435 # DEPENDENCYPART_ARC
(10,16),-1.32907 # DEPENDENCYPART_ARC
(10,17),-2.24345 # DEPENDENCYPART_ARC
(10,18),-0.512501 # DEPENDENCYPART_ARC
(10,19),-1.77883 # DEPENDENCYPART_ARC
(10,20),-3.60904 # DEPENDENCYPART_ARC
(10,21),-2.20907 # DEPENDENCYPART_ARC
(10,22),-1.43387 # DEPENDENCYPART_ARC
(10,23),-0.569109 # DEPENDENCYPART_ARC
(10,24),-1.34288 # DEPENDENCYPART_ARC
(10,25),-2.28541 # DEPENDENCYPART_ARC
(11,1),-2.50429 # DEPENDENCYPART_ARC
(11,2),-2.56778 # DEPENDENCYPART_ARC
(11,3),-4.33428 # DEPENDENCYPART_ARC
(11,4),-2.86507 # DEPENDENCYPART_ARC
(11,5),-1.10558 # DEPENDENCYPART_ARC
(11,6),-3.42642 # DEPENDENCYPART_ARC
(11,7),-1.33725 # DEPENDENCYPART_ARC
(11,8),-3.24876 # DEPENDENCYPART_ARC
(11,9),-1.4903 # DEPENDENCYPART_ARC
(11,10),0.521486 # DEPENDENCYPART_ARC
(11,12),2.48537 # DEPENDENCYPART_ARC
(11,13),-0.0637905 # DEPENDENCYPART_ARC
(11,14),0.0432584 # DEPENDENCYPART_ARC
(11,15),-1.14437 # DEPENDENCYPART_ARC
(11,16),-0.517033 # DEPENDENCYPART_ARC
(11,17),-0.615587 # DEPENDENCYPART_ARC
(11,18),-0.431851 # DEPENDENCYPART_ARC
(11,19),-1.2191 # DEPENDENCYPART_ARC
(11,20),-1.09838 # DEPENDENCYPART_ARC
(11,21),-1.90325 # DEPENDENCYPART_ARC
(11,22),-0.948538 # DEPENDENCYPART_ARC
(11,23),-0.421963 # DEPENDENCYPART_ARC
(11,24),-2.06939 # DEPENDENCYPART_ARC
(11,25),-2.34259 # DEPENDENCYPART_ARC
(12,1),-1.68256 # DEPENDENCYPART_ARC
(12,2),-1.97295 # DEPENDENCYPART_ARC
(12,3),-3.26659 # DEPENDENCYPART_ARC
(12,4),-2.20801 # DEPENDENCYPART_ARC
(12,5),-1.20994 # DEPENDENCYPART_ARC
(12,6),-3.22863 # DEPENDENCYPART_ARC
(12,7),-0.816067 # DEPENDENCYPART_ARC
(12,8),-2.19686 # DEPENDENCYPART_ARC
(12,9),-1.40938 # DEPENDENCYPART_ARC
(12,10),0.631285 # DEPENDENCYPART_ARC
(12,11),3.03248 # DEPENDENCYPART_ARC
(12,13),1.82356 # DEPENDENCYPART_ARC
(12,14),0.193836 # DEPENDENCYPART_ARC
(12,15),-0.866648 # DEPENDENCYPART_ARC
(12,16),-0.341467 # DEPENDENCYPART_ARC
(12,17),0.200177 # DEPENDENCYPART_ARC
(12,18),-0.487188 # DEPENDENCYPART_ARC
(12,19),-0.820326 # DEPENDENCYPART_ARC
(12,20),-0.28178 # DEPENDENCYPART_ARC
(12,21),-1.6882 # DEPENDENCYPART_ARC
(12,22),-0.859903 # DEPENDENCYPART_ARC
(12,23),-0.289703 # DEPENDENCYPART_ARC
(12,24),-1.62102 # DEPENDENCYPART_ARC
(12,25),-1.60282 # DEPENDENCYPART_ARC
(13,2),-1.76851 # DEPENDENCYPART_ARC
(13,4),-1.82868 # DEPENDENCYPART_ARC
(13,5),-1.62375 # DEPENDENCYPART_ARC
(13,9),-1.49738 # DEPENDENCYPART_ARC
(13,16),-0.813133 # DEPENDENCYPART_ARC
(13,19),-1.07897 # DEPENDENCYPART_ARC
(13,25),-0.893554 # DEPENDENCYPART_ARC
(14,1),-2.26577 # DEPENDENCYPART_ARC
(14,3),-3.32886 # DEPENDENCYPART_ARC
(14,4),-2.04336 # DEPENDENCYPART_ARC
(14,6),-2.98775 # DEPENDENCYPART_ARC
(14,7),-2.07882 # DEPENDENCYPART_ARC
(14,8),-2.75506 # DEPENDENCYPART_ARC
(14,9),-1.86019 # DEPENDENCYPART_ARC
(14,10),-1.7038 # DEPENDENCYPART_ARC
(14,11),-1.93062 # DEPENDENCYPART_ARC
(14,12),-1.67947 # DEPENDENCYPART_ARC
(14,13),-0.0121133 # DEPENDENCYPART_ARC
(14,15),-1.26067 # DEPENDENCYPART_ARC
(14,17),-1.5359 # DEPENDENCYPART_ARC
(14,18),-1.62729 # DEPENDENCYPART_ARC
(14,20),-1.92689 # DEPENDENCYPART_ARC
(14,21),-2.40801 # DEPENDENCYPART_ARC
(14,22),-1.84296 # DEPENDENCYPART_ARC
(14,23),-1.40396 # DEPENDENCYPART_ARC
(14,24),-1.95685 # DEPENDENCYPART_ARC
(14,25),-1.41658 # DEPENDENCYPART_ARC
(15,1),-2.76391 # DEPENDENCYPART_ARC
(15,2),-2.23512 # DEPENDENCYPART_ARC
(15,3),-3.42743 # DEPENDENCYPART_ARC
(15,4),-2.54299 # DEPENDENCYPART_ARC
(15,5),-2.29077 # DEPENDENCYPART_ARC
(15,6),-3.29837 # DEPENDENCYPART_ARC
(15,7),-2.33656 # DEPENDENCYPART_ARC
(15,8),-3.15927 # DEPENDENCYPART_ARC
(15,9),-2.49531 # DEPENDENCYPART_ARC
(15,10),-1.90763 # DEPENDENCYPART_ARC
(15,11),-2.79032 # DEPENDENCYPART_ARC
(15,12),-2.41147 # DEPENDENCYPART_ARC
(15,13),-1.4806 # DEPENDENCYPART_ARC
(15,14),-0.530049 # DEPENDENCYPART_ARC
(15,16),0.053597 # DEPENDENCYPART_ARC
(15,17),-0.239942 # DEPENDENCYPART_ARC
(15,18),-0.513349 # DEPENDENCYPART_ARC
(15,19),-0.901113 # DEPENDENCYPART_ARC
(15,20),-1.00123 # DEPENDENCYPART_ARC
(15,21),-1.13375 # DEPENDENCYPART_ARC
(15,22),-1.2995 # DEPENDENCYPART_ARC
(15,23),-0.957123 # DEPENDENCYPART_ARC
(15,24),-1.27048 # DEPENDENCYPART_ARC
(15,25),-1.03212 # DEPENDENCYPART_ARC
(16,1),-1.88587 # DEPENDENCYPART_ARC
(16,3),-2.60571 # DEPENDENCYPART_ARC
(16,4),-1.32534 # DEPENDENCYPART_ARC
(16,6),-2.41405 # DEPENDENCYPART_ARC
(16,7),-2.18455 # DEPENDENCYPART_ARC
(16,8),-2.3544 # DEPENDENCYPART_ARC
(16,9),-1.4509 # DEPENDENCYPART_ARC
(16,10),-1.86649 # DEPENDENCYPART_ARC
(16,11),-2.04709 # DEPENDENCYPART_ARC
(16,12),-1.91124 # DEPENDENCYPART_ARC
(16,13),-0.881314 # DEPENDENCYPART_ARC
(16,17),1.15034 # DEPENDENCYPART_ARC
(16,18),0.00580567 # DEPENDENCYPART_ARC
(16,20),-0.663303 # DEPENDENCYPART_ARC
(16,25),-0.517514 # DEPENDENCYPART_ARC
(17,1),-1.96006 # DEPENDENCYPART_ARC
(17,2),-2.94345 # DEPENDENCYPART_ARC
(17,3),-3.27322 # DEPENDENCYPART_ARC
(17,4),-2.51646 # DEPENDENCYPART_ARC
(17,5),-1.52056 # DEPENDENCYPART_ARC
(17,6),-2.86366 # DEPENDENCYPART_ARC
(17,7),-0.898244 # DEPENDENCYPART_ARC
(17,8),-2.7421 # DEPENDENCYPART_ARC
(17,9),-2.45487 # DEPENDENCYPART_ARC
(17,10),-0.298364 # DEPENDENCYPART_ARC
(17,11),-1.64335 # DEPENDENCYPART_ARC
(17,12),-2.05654 # DEPENDENCYPART_ARC
(17,13),-1.76387 # DEPENDENCYPART_ARC
(17,14),-0.287684 # DEPENDENCYPART_ARC
(17,15),1.11801 # DEPENDENCYPART_ARC
(17,16),3.47982 # DEPENDENCYPART_ARC
(17,18),2.51395 # DEPENDENCYPART_ARC
(17,19),-0.0695067 # DEPENDENCYPART_ARC
(17,20),0.959566 # DEPENDENCYPART_ARC
(17,21),-0.637122 # DEPENDENCYPART_ARC
(17,22),0.859236 # DEPENDENCYPART_ARC
(17,23),0.758548 # DEPENDENCYPART_ARC
(17,24),-0.791852 # DEPENDENCYPART_ARC
(17,25),-0.364235 # DEPENDENCYPART_ARC
(18,1),-2.37467 # DEPENDENCYPART_ARC
(18,2),-2.2542 # DEPENDENCYPART_ARC
(18,3),-2.46285 # DEPENDENCYPART_ARC
(18,4),-2.20442 # DEPENDENCYPART_ARC
(18,5),-2.10773 # DEPENDENCYPART_ARC
(18,6),-2.35529 # DEPENDENCYPART_ARC
(18,7),-2.04238 # DEPENDENCYPART_ARC
(18,8),-2.25687 # DEPENDENCYPART_ARC
(18,9),-2.12804 # DEPENDENCYPART_ARC
(18,10),-1.70841 # DEPENDENCYPART_ARC
(18,11),-2.11584 # DEPENDENCYPART_ARC
(18,12),-2.08964 # DEPENDENCYPART_ARC
(18,13),-1.93755 # DEPENDENCYPART_ARC
(18,14),-1.23368 # DEPENDENCYPART_ARC
(18,15),-0.719612 # DEPENDENCYPART_ARC
(18,16),-0.785669 # DEPENDENCYPART_ARC
(18,17),-0.374716 # DEPENDENCYPART_ARC
(18,19),0.518506 # DEPENDENCYPART_ARC
(18,20),3.01479 # DEPENDENCYPART_ARC
(18,21),-0.546569 # DEPENDENCYPART_ARC
(18,22),0.131768 # DEPENDENCYPART_ARC
(18,23),0.271262 # DEPENDENCYPART_ARC
(18,24),-0.0779845 # DEPENDENCYPART_ARC
(18,25),-0.680092 # DEPENDENCYPART_ARC
(19,4),-2.54663 # DEPENDENCYPART_ARC
(19,7),-3.34643 # DEPENDENCYPART_ARC
(19,9),-2.67086 # DEPENDENCYPART_ARC
(19,10),-2.93958 # DEPENDENCYPART_ARC
(19,13),-2.54176 # DEPENDENCYPART_ARC
(19,18),-0.703205 # DEPENDENCYPART_ARC
(19,25),-0.251556 # DEPENDENCYPART_ARC
(20,1),-2.23401 # DEPENDENCYPART_ARC
(20,2),-2.75023 # DEPENDENCYPART_ARC
(20,3),-2.81396 # DEPENDENCYPART_ARC
(20,4),-2.84059 # DEPENDENCYPART_ARC
(20,5),-2.90218 # DEPENDENCYPART_ARC
(20,6),-3.49905 # DEPENDENCYPART_ARC
(20,7),-1.13236 # DEPENDENCYPART_ARC
(20,8),-2.52664 # DEPENDENCYPART_ARC
(20,9),-2.79826 # DEPENDENCYPART_ARC
(20,10),-0.977326 # DEPENDENCYPART_ARC
(20,11),-2.23482 # DEPENDENCYPART_ARC
(20,12),-2.36864 # DEPENDENCYPART_ARC
(20,13),-2.39783 # DEPENDENCYPART_ARC
(20,14),-1.06289 # DEPENDENCYPART_ARC
(20,15),-0.0300675 # DEPENDENCYPART_ARC
(20,16),0.19534 # DEPENDENCYPART_ARC
(20,17),-1.85159 # DEPENDENCYPART_ARC
(20,18),0.42521 # DEPENDENCYPART_ARC
(20,19),3.45105 # DEPENDENCYPART_ARC
(20,21),0.617697 # DEPENDENCYPART_ARC
(20,22),2.40603 # DEPENDENCYPART_ARC
(20,23),1.07353 # DEPENDENCYPART_ARC
(20,24),1.04851 # DEPENDENCYPART_ARC
(20,25),0.0230689 # DEPENDENCYPART_ARC
(21,1),-2.17021 # DEPENDENCYPART_ARC
(21,2),-1.66962 # DEPENDENCYPART_ARC
(21,3),-3.04584 # DEPENDENCYPART_ARC
(21,4),-2.06362 # DEPENDENCYPART_ARC
(21,5),-1.86141 # DEPENDENCYPART_ARC
(21,6),-3.0013 # DEPENDENCYPART_ARC
(21,7),-1.99367 # DEPENDENCYPART_ARC
(21,8),-2.80878 # DEPENDENCYPART_ARC
(21,9),-2.11384 # DEPENDENCYPART_ARC
(21,10),-1.82652 # DEPENDENCYPART_ARC
(21,11),-2.72194 # DEPENDENCYPART_ARC
(21,12),-2.62632 # DEPENDENCYPART_ARC
(21,13),-2.02402 # DEPENDENCYPART_ARC
(21,14),-1.54155 # DEPENDENCYPART_ARC
(21,15),-1.63817 # DEPENDENCYPART_ARC
(21,16),-1.26376 # DEPENDENCYPART_ARC
(21,17),-2.22479 # DEPENDENCYPART_ARC
(21,18),-0.667893 # DEPENDENCYPART_ARC
(21,19),-0.280872 # DEPENDENCYPART_ARC
(21,20),-0.790471 # DEPENDENCYPART_ARC
(21,22),-0.309141 # DEPENDENCYPART_ARC
(21,23),-1.06443 # DEPENDENCYPART_ARC
(21,24),-1.34386 # DEPENDENCYPART_ARC
(21,25),-1.30876 # DEPENDENCYPART_ARC
(22,1),-0.845427 # DEPENDENCYPART_ARC
(22,2),-1.46077 # DEPENDENCYPART_ARC
(22,3),-2.20569 # DEPENDENCYPART_ARC
(22,4),-1.00294 # DEPENDENCYPART_ARC
(22,5),-0.811853 # DEPENDENCYPART_ARC
(22,6),-2.0851 # DEPENDENCYPART_ARC
(22,7),-1.53629 # DEPENDENCYPART_ARC
(22,8),-1.7948 # DEPENDENCYPART_ARC
(22,9),-1.09679 # DEPENDENCYPART_ARC
(22,10),-0.763247 # DEPENDENCYPART_ARC
(22,11),-1.7089 # DEPENDENCYPART_ARC
(22,12),-1.23951 # DEPENDENCYPART_ARC
(22,13),-0.97857 # DEPENDENCYPART_ARC
(22,14),-0.8382 # DEPENDENCYPART_ARC
(22,15),-0.567428 # DEPENDENCYPART_ARC
(22,16),-0.396174 # DEPENDENCYPART_ARC
(22,17),-1.28167 # DEPENDENCYPART_ARC
(22,18),0.401703 # DEPENDENCYPART_ARC
(22,19),0.215299 # DEPENDENCYPART_ARC
(22,20),-0.263247 # DEPENDENCYPART_ARC
(22,21),2.77838 # DEPENDENCYPART_ARC
(22,23),2.15051 # DEPENDENCYPART_ARC
(22,24),2.10033 # DEPENDENCYPART_ARC
(22,25),0.438782 # DEPENDENCYPART_ARC
(23,1),-2.13507 # DEPENDENCYPART_ARC
(23,3),-2.83367 # DEPENDENCYPART_ARC
(23,4),-1.69976 # DEPENDENCYPART_ARC
(23,6),-2.72018 # DEPENDENCYPART_ARC
(23,7),-2.18833 # DEPENDENCYPART_ARC
(23,8),-2.65572 # DEPENDENCYPART_ARC
(23,9),-1.8615 # DEPENDENCYPART_ARC
(23,10),-1.98574 # DEPENDENCYPART_ARC
(23,11),-2.42428 # DEPENDENCYPART_ARC
(23,12),-2.48062 # DEPENDENCYPART_ARC
(23,13),-1.68435 # DEPENDENCYPART_ARC
(23,14),-1.40881 # DEPENDENCYPART_ARC
(23,15),-1.65396 # DEPENDENCYPART_ARC
(23,17),-2.12237 # DEPENDENCYPART_ARC
(23,18),-1.44457 # DEPENDENCYPART_ARC
(23,20),-1.43801 # DEPENDENCYPART_ARC
(23,21),-0.599859 # DEPENDENCYPART_ARC
(23,22),-0.326071 # DEPENDENCYPART_ARC
(23,24),0.287578 # DEPENDENCYPART_ARC
(23,25),-0.237265 # DEPENDENCYPART_ARC
(24,1),-2.14373 # DEPENDENCYPART_ARC
(24,2),-2.3719 # DEPENDENCYPART_ARC
(24,3),-3.1374 # DEPENDENCYPART_ARC
(24,4),-2.28997 # DEPENDENCYPART_ARC
(24,5),-2.22156 # DEPENDENCYPART_ARC
(24,6),-3.37163 # DEPENDENCYPART_ARC
(24,7),-2.5008 # DEPENDENCYPART_ARC
(24,8),-2.87136 # DEPENDENCYPART_ARC
(24,9),-2.48376 # DEPENDENCYPART_ARC
(24,10),-2.15364 # DEPENDENCYPART_ARC
(24,11),-3.13337 # DEPENDENCYPART_ARC
(24,12),-2.76227 # DEPENDENCYPART_ARC
(24,13),-2.46329 # DEPENDENCYPART_ARC
(24,14),-2.09043 # DEPENDENCYPART_ARC
(24,15),-1.85699 # DEPENDENCYPART_ARC
(24,16),-1.96865 # DEPENDENCYPART_ARC
(24,17),-2.85826 # DEPENDENCYPART_ARC
(24,18),-1.40756 # DEPENDENCYPART_ARC
(24,19),-1.38552 # DEPENDENCYPART_ARC
(24,20),-1.96733 # DEPENDENCYPART_ARC
(24,21),-0.0624645 # DEPENDENCYPART_ARC
(24,22),-0.776096 # DEPENDENCYPART_ARC
(24,23),0.327699 # DEPENDENCYPART_ARC
(24,25),2.75859 # DEPENDENCYPART_ARC
(25,2),-1.70246 # DEPENDENCYPART_ARC
(25,4),-1.82462 # DEPENDENCYPART_ARC
(25,5),-1.62925 # DEPENDENCYPART_ARC
(25,9),-1.8022 # DEPENDENCYPART_ARC
(25,13),-1.65248 # DEPENDENCYPART_ARC
(25,16),-1.37785 # DEPENDENCYPART_ARC
(25,19),-1.37286 # DEPENDENCYPART_ARC
