# _root_ Le ricerche di Gabriella sono proseguite per tutta la mattinata , con elicotteri , posti di blocco e perquisizioni .
#goldHeads=2,6,2,3,6,0,6,10,10,7,10,6,12,12,12,15,16,12,12,19,
#predictedHeads=2,6,2,3,6,0,6,10,10,7,10,6,12,13,13,15,16,17,13,19,
(9,12),-0.545489 # DEPENDENCYPART_ARC
(9,13),-1.00196 # DEPENDENCYPART_ARC
(9,14),-0.688179 # DEPENDENCYPART_ARC
(9,15),-1.34843 # DEPENDENCYPART_ARC
(9,16),-0.899759 # DEPENDENCYPART_ARC
(9,17),-1.43188 # DEPENDENCYPART_ARC
(9,19),-1.17499 # DEPENDENCYPART_ARC
(9,20),-0.937033 # DEPENDENCYPART_ARC
(10,1),-1.20186 # DEPENDENCYPART_ARC
(10,2),-2.08213 # DEPENDENCYPART_ARC
(10,3),-1.0621 # DEPENDENCYPART_ARC
(10,4),-1.6724 # DEPENDENCYPART_ARC
(10,5),-1.8608 # DEPENDENCYPART_ARC
(10,6),-0.352016 # DEPENDENCYPART_ARC
(10,7),0.626044 # DEPENDENCYPART_ARC
(10,8),2.7754 # DEPENDENCYPART_ARC
(10,9),3.41691 # DEPENDENCYPART_ARC
(10,11),1.86804 # DEPENDENCYPART_ARC
(10,12),0.291754 # DEPENDENCYPART_ARC
(10,13),0.146578 # DEPENDENCYPART_ARC
(10,14),0.731706 # DEPENDENCYPART_ARC
(10,15),-0.215693 # DEPENDENCYPART_ARC
(10,16),0.0214313 # DEPENDENCYPART_ARC
(10,17),-0.100965 # DEPENDENCYPART_ARC
(10,18),0.554965 # DEPENDENCYPART_ARC
(10,19),0.0145719 # DEPENDENCYPART_ARC
(10,20),-1.33792 # DEPENDENCYPART_ARC
(11,1),-1.55255 # DEPENDENCYPART_ARC
(11,9),-0.235825 # DEPENDENCYPART_ARC
(11,14),-0.909007 # DEPENDENCYPART_ARC
(11,20),-1.26242 # DEPENDENCYPART_ARC
(12,1),-2.11145 # DEPENDENCYPART_ARC
(12,2),-2.37796 # DEPENDENCYPART_ARC
(12,3),-1.80687 # DEPENDENCYPART_ARC
(12,4),-2.23971 # DEPENDENCYPART_ARC
(12,5),-2.63368 # DEPENDENCYPART_ARC
(12,6),-2.60831 # DEPENDENCYPART_ARC
(12,7),-1.29113 # DEPENDENCYPART_ARC
(12,8),-1.31492 # DEPENDENCYPART_ARC
(12,9),-1.07996 # DEPENDENCYPART_ARC
(12,10),-1.16946 # DEPENDENCYPART_ARC
(12,11),0.0918505 # DEPENDENCYPART_ARC
(12,13),3.87245 # DEPENDENCYPART_ARC
(12,14),0.179329 # DEPENDENCYPART_ARC
(12,15),-0.0752361 # DEPENDENCYPART_ARC
(12,16),-0.969865 # DEPENDENCYPART_ARC
(12,17),-0.810851 # DEPENDENCYPART_ARC
(12,18),-0.188257 # DEPENDENCYPART_ARC
(12,19),-2.10715 # DEPENDENCYPART_ARC
(12,20),-1.16979 # DEPENDENCYPART_ARC
(13,1),-2.40533 # DEPENDENCYPART_ARC
(13,2),-2.56695 # DEPENDENCYPART_ARC
(13,3),-2.40449 # DEPENDENCYPART_ARC
(13,4),-2.27082 # DEPENDENCYPART_ARC
(13,5),-3.68207 # DEPENDENCYPART_ARC
(13,6),-1.9869 # DEPENDENCYPART_ARC
(13,7),-1.21183 # DEPENDENCYPART_ARC
(13,8),-0.275183 # DEPENDENCYPART_ARC
(13,9),-1.32773 # DEPENDENCYPART_ARC
(13,10),-2.74381 # DEPENDENCYPART_ARC
(13,11),-1.33034 # DEPENDENCYPART_ARC
(13,12),0.820408 # DEPENDENCYPART_ARC
(13,14),2.96985 # DEPENDENCYPART_ARC
(13,15),2.03753 # DEPENDENCYPART_ARC
(13,16),1.55473 # DEPENDENCYPART_ARC
(13,17),1.12835 # DEPENDENCYPART_ARC
(13,18),1.75015 # DEPENDENCYPART_ARC
(13,19),2.57939 # DEPENDENCYPART_ARC
(13,20),0.674889 # DEPENDENCYPART_ARC
(14,1),-1.80807 # DEPENDENCYPART_ARC
(14,9),-1.3736 # DEPENDENCYPART_ARC
(14,11),-1.21196 # DEPENDENCYPART_ARC
(14,20),-1.02636 # DEPENDENCYPART_ARC
(15,1),-2.56726 # DEPENDENCYPART_ARC
(15,2),-2.43038 # DEPENDENCYPART_ARC
(15,3),-2.44366 # DEPENDENCYPART_ARC
(15,4),-2.49352 # DEPENDENCYPART_ARC
(15,5),-3.42707 # DEPENDENCYPART_ARC
(15,6),-1.70992 # DEPENDENCYPART_ARC
(15,7),-1.07864 # DEPENDENCYPART_ARC
(15,8),-0.291516 # DEPENDENCYPART_ARC
(15,9),-2.06076 # DEPENDENCYPART_ARC
(15,10),-3.12379 # DEPENDENCYPART_ARC
(15,11),-1.89535 # DEPENDENCYPART_ARC
(15,12),-0.00253726 # DEPENDENCYPART_ARC
(15,13),0.305458 # DEPENDENCYPART_ARC
(15,14),0.497706 # DEPENDENCYPART_ARC
(15,16),2.67841 # DEPENDENCYPART_ARC
(15,17),0.63311 # DEPENDENCYPART_ARC
(15,18),1.04995 # DEPENDENCYPART_ARC
(15,19),0.869579 # DEPENDENCYPART_ARC
(15,20),-0.553171 # DEPENDENCYPART_ARC
(16,1),-2.14107 # DEPENDENCYPART_ARC
(16,2),-2.56607 # DEPENDENCYPART_ARC
(16,3),-1.95686 # DEPENDENCYPART_ARC
(16,4),-2.30415 # DEPENDENCYPART_ARC
(16,5),-2.88753 # DEPENDENCYPART_ARC
(16,6),-2.78834 # DEPENDENCYPART_ARC
(16,7),-1.7414 # DEPENDENCYPART_ARC
(16,8),-1.68678 # DEPENDENCYPART_ARC
(16,9),-1.78751 # DEPENDENCYPART_ARC
(16,10),-2.05047 # DEPENDENCYPART_ARC
(16,11),-1.7607 # DEPENDENCYPART_ARC
(16,12),-1.06162 # DEPENDENCYPART_ARC
(16,13),-1.39123 # DEPENDENCYPART_ARC
(16,14),-0.963111 # DEPENDENCYPART_ARC
(16,15),-0.449466 # DEPENDENCYPART_ARC
(16,17),3.66085 # DEPENDENCYPART_ARC
(16,18),0.278872 # DEPENDENCYPART_ARC
(16,19),0.420763 # DEPENDENCYPART_ARC
(16,20),-1.06558 # DEPENDENCYPART_ARC
(17,1),-4.0267 # DEPENDENCYPART_ARC
(17,2),-4.19576 # DEPENDENCYPART_ARC
(17,3),-3.2616 # DEPENDENCYPART_ARC
(17,4),-3.34211 # DEPENDENCYPART_ARC
(17,5),-3.28927 # DEPENDENCYPART_ARC
(17,6),-2.39756 # DEPENDENCYPART_ARC
(17,7),-1.81901 # DEPENDENCYPART_ARC
(17,8),-0.999514 # DEPENDENCYPART_ARC
(17,9),-2.35965 # DEPENDENCYPART_ARC
(17,10),-4.20593 # DEPENDENCYPART_ARC
(17,11),-3.20013 # DEPENDENCYPART_ARC
(17,12),-1.32542 # DEPENDENCYPART_ARC
(17,13),-2.06152 # DEPENDENCYPART_ARC
(17,14),-2.19169 # DEPENDENCYPART_ARC
(17,15),-1.14444 # DEPENDENCYPART_ARC
(17,16),0.54422 # DEPENDENCYPART_ARC
(17,18),1.82224 # DEPENDENCYPART_ARC
(17,19),1.22939 # DEPENDENCYPART_ARC
(17,20),-0.343886 # DEPENDENCYPART_ARC
(18,2),-3.54371 # DEPENDENCYPART_ARC
(18,3),-2.47082 # DEPENDENCYPART_ARC
(18,4),-3.35108 # DEPENDENCYPART_ARC
(18,5),-2.96745 # DEPENDENCYPART_ARC
(18,6),-2.8976 # DEPENDENCYPART_ARC
(18,7),-2.35646 # DEPENDENCYPART_ARC
(18,10),-2.99064 # DEPENDENCYPART_ARC
(18,11),-1.99801 # DEPENDENCYPART_ARC
(18,12),-2.03183 # DEPENDENCYPART_ARC
(18,13),-2.5173 # DEPENDENCYPART_ARC
(18,14),-1.73482 # DEPENDENCYPART_ARC
(18,15),-1.90073 # DEPENDENCYPART_ARC
(18,16),-1.09529 # DEPENDENCYPART_ARC
(18,17),-0.717378 # DEPENDENCYPART_ARC
(18,19),0.0755697 # DEPENDENCYPART_ARC
(18,20),-0.714356 # DEPENDENCYPART_ARC
(19,1),-3.89539 # DEPENDENCYPART_ARC
(19,2),-2.95661 # DEPENDENCYPART_ARC
(19,3),-3.48565 # DEPENDENCYPART_ARC
(19,4),-3.38514 # DEPENDENCYPART_ARC
(19,5),-4.02207 # DEPENDENCYPART_ARC
(19,6),-1.81265 # DEPENDENCYPART_ARC
(19,7),-2.0586 # DEPENDENCYPART_ARC
(19,8),-1.09013 # DEPENDENCYPART_ARC
(19,9),-3.26372 # DEPENDENCYPART_ARC
(19,10),-3.91661 # DEPENDENCYPART_ARC
(19,11),-3.35175 # DEPENDENCYPART_ARC
(19,12),-1.68388 # DEPENDENCYPART_ARC
(19,13),-2.27873 # DEPENDENCYPART_ARC
(19,14),-2.67131 # DEPENDENCYPART_ARC
(19,15),-1.80937 # DEPENDENCYPART_ARC
(19,16),-0.849881 # DEPENDENCYPART_ARC
(19,17),-1.65812 # DEPENDENCYPART_ARC
(19,18),-0.0874132 # DEPENDENCYPART_ARC
(19,20),2.40309 # DEPENDENCYPART_ARC
(20,1),-1.75052 # DEPENDENCYPART_ARC
(20,9),-1.73176 # DEPENDENCYPART_ARC
(20,11),-1.75916 # DEPENDENCYPART_ARC
(20,14),-1.65735 # DEPENDENCYPART_ARC
