# _root_ Medicus mundi , gruppo cattolico di Brescia , gestisce un ospedale psichiatrico .
#goldHeads=9,1,2,1,4,4,6,7,0,11,9,11,12,
#predictedHeads=2,9,2,2,4,4,6,7,0,11,9,11,12,
(5,1),-1.56791 # DEPENDENCYPART_ARC
(5,2),-1.21337 # DEPENDENCYPART_ARC
(5,3),-0.390861 # DEPENDENCYPART_ARC
(5,4),0.298556 # DEPENDENCYPART_ARC
(5,6),1.13858 # DEPENDENCYPART_ARC
(5,7),1.22674 # DEPENDENCYPART_ARC
(5,8),0.604498 # DEPENDENCYPART_ARC
(5,9),-0.80413 # DEPENDENCYPART_ARC
(5,10),-0.641691 # DEPENDENCYPART_ARC
(5,11),-0.267082 # DEPENDENCYPART_ARC
(5,12),-0.06884 # DEPENDENCYPART_ARC
(5,13),-0.232193 # DEPENDENCYPART_ARC
(6,1),-1.91267 # DEPENDENCYPART_ARC
(6,2),-1.7426 # DEPENDENCYPART_ARC
(6,3),-1.37278 # DEPENDENCYPART_ARC
(6,4),-1.24552 # DEPENDENCYPART_ARC
(6,5),-0.559748 # DEPENDENCYPART_ARC
(6,7),4.25098 # DEPENDENCYPART_ARC
(6,8),0.603446 # DEPENDENCYPART_ARC
(6,9),0.0911436 # DEPENDENCYPART_ARC
(6,10),-1.14218 # DEPENDENCYPART_ARC
(6,11),-1.40042 # DEPENDENCYPART_ARC
(6,12),-0.906333 # DEPENDENCYPART_ARC
(6,13),-0.803564 # DEPENDENCYPART_ARC
(7,1),-1.058 # DEPENDENCYPART_ARC
(7,2),-1.59456 # DEPENDENCYPART_ARC
(7,3),-2.58958 # DEPENDENCYPART_ARC
(7,4),-3.21914 # DEPENDENCYPART_ARC
(7,5),-1.37855 # DEPENDENCYPART_ARC
(7,6),0.29912 # DEPENDENCYPART_ARC
(7,8),2.11461 # DEPENDENCYPART_ARC
(7,9),-0.30708 # DEPENDENCYPART_ARC
(7,10),-0.647609 # DEPENDENCYPART_ARC
(7,11),-0.516436 # DEPENDENCYPART_ARC
(7,12),-0.479659 # DEPENDENCYPART_ARC
(7,13),-0.956169 # DEPENDENCYPART_ARC
(8,3),-1.36797 # DEPENDENCYPART_ARC
(8,10),-0.935074 # DEPENDENCYPART_ARC
(8,13),-0.976917 # DEPENDENCYPART_ARC
(9,1),0.537774 # DEPENDENCYPART_ARC
(9,2),0.160539 # DEPENDENCYPART_ARC
(9,3),-2.0623 # DEPENDENCYPART_ARC
(9,4),0.230525 # DEPENDENCYPART_ARC
(9,5),-0.619837 # DEPENDENCYPART_ARC
(9,6),-0.322693 # DEPENDENCYPART_ARC
(9,7),0.560505 # DEPENDENCYPART_ARC
(9,8),-0.211682 # DEPENDENCYPART_ARC
(9,10),-0.160638 # DEPENDENCYPART_ARC
(9,11),2.75289 # DEPENDENCYPART_ARC
(9,12),0.241726 # DEPENDENCYPART_ARC
(9,13),0.117669 # DEPENDENCYPART_ARC
(10,3),-2.12181 # DEPENDENCYPART_ARC
(10,6),-1.82765 # DEPENDENCYPART_ARC
(10,8),-1.13626 # DEPENDENCYPART_ARC
(10,13),-0.0235585 # DEPENDENCYPART_ARC
(11,1),-2.43841 # DEPENDENCYPART_ARC
(11,2),-2.82131 # DEPENDENCYPART_ARC
(11,3),-2.32057 # DEPENDENCYPART_ARC
(11,4),-2.47671 # DEPENDENCYPART_ARC
(11,5),-1.28919 # DEPENDENCYPART_ARC
(11,6),-0.559687 # DEPENDENCYPART_ARC
(11,7),-1.54686 # DEPENDENCYPART_ARC
(11,8),-1.45296 # DEPENDENCYPART_ARC
(11,9),-0.164808 # DEPENDENCYPART_ARC
(11,10),3.52972 # DEPENDENCYPART_ARC
(11,12),3.2472 # DEPENDENCYPART_ARC
(11,13),0.401112 # DEPENDENCYPART_ARC
(12,1),-2.45768 # DEPENDENCYPART_ARC
(12,2),-2.29856 # DEPENDENCYPART_ARC
(12,3),-1.83324 # DEPENDENCYPART_ARC
(12,4),-2.0001 # DEPENDENCYPART_ARC
(12,5),-2.07281 # DEPENDENCYPART_ARC
(12,6),-1.23422 # DEPENDENCYPART_ARC
(12,7),-1.80768 # DEPENDENCYPART_ARC
(12,8),-1.41273 # DEPENDENCYPART_ARC
(12,9),-1.16289 # DEPENDENCYPART_ARC
(12,10),0.254463 # DEPENDENCYPART_ARC
(12,11),0.150812 # DEPENDENCYPART_ARC
(12,13),2.48745 # DEPENDENCYPART_ARC
(13,3),-1.73243 # DEPENDENCYPART_ARC
(13,8),-1.47232 # DEPENDENCYPART_ARC
(13,10),-0.644751 # DEPENDENCYPART_ARC
