# _root_ Tipica è la poltroncina da toilette , con schienale curvo e basso , per poter agevolmente sciogliere e spazzolare i lunghi capelli .
#goldHeads=2,0,4,2,4,5,6,4,8,9,10,10,12,10,17,17,14,17,17,22,22,17,22,
#predictedHeads=2,0,4,2,4,5,6,4,8,9,10,10,12,17,14,17,0,17,17,22,22,19,22,
(5,21),-1.37561 # DEPENDENCYPART_ARC
(5,22),-3.48793 # DEPENDENCYPART_ARC
(5,23),-2.02089 # DEPENDENCYPART_ARC
(6,1),-1.13673 # DEPENDENCYPART_ARC
(6,2),-2.16487 # DEPENDENCYPART_ARC
(6,3),0.374971 # DEPENDENCYPART_ARC
(6,4),-1.79517 # DEPENDENCYPART_ARC
(6,5),0.504935 # DEPENDENCYPART_ARC
(6,7),2.09269 # DEPENDENCYPART_ARC
(6,8),0.155664 # DEPENDENCYPART_ARC
(6,9),0.190108 # DEPENDENCYPART_ARC
(6,10),-0.0545789 # DEPENDENCYPART_ARC
(6,11),0.048767 # DEPENDENCYPART_ARC
(6,12),-1.01393 # DEPENDENCYPART_ARC
(6,13),-0.36912 # DEPENDENCYPART_ARC
(6,14),-0.997802 # DEPENDENCYPART_ARC
(6,15),-0.705357 # DEPENDENCYPART_ARC
(6,16),-1.26199 # DEPENDENCYPART_ARC
(6,17),-1.8768 # DEPENDENCYPART_ARC
(6,18),-1.07755 # DEPENDENCYPART_ARC
(6,19),-2.76281 # DEPENDENCYPART_ARC
(6,20),-1.62653 # DEPENDENCYPART_ARC
(6,21),-3.18064 # DEPENDENCYPART_ARC
(6,22),-1.7136 # DEPENDENCYPART_ARC
(6,23),-2.18986 # DEPENDENCYPART_ARC
(7,1),-2.31885 # DEPENDENCYPART_ARC
(7,2),-2.54568 # DEPENDENCYPART_ARC
(7,3),-1.42521 # DEPENDENCYPART_ARC
(7,4),-1.74556 # DEPENDENCYPART_ARC
(7,5),-0.97833 # DEPENDENCYPART_ARC
(7,6),-0.708623 # DEPENDENCYPART_ARC
(7,8),-1.42697 # DEPENDENCYPART_ARC
(7,9),-1.53891 # DEPENDENCYPART_ARC
(7,10),-2.01128 # DEPENDENCYPART_ARC
(7,11),-2.11972 # DEPENDENCYPART_ARC
(7,12),-2.29055 # DEPENDENCYPART_ARC
(7,13),-0.978322 # DEPENDENCYPART_ARC
(7,14),-2.58207 # DEPENDENCYPART_ARC
(7,15),-2.13699 # DEPENDENCYPART_ARC
(7,16),-2.76121 # DEPENDENCYPART_ARC
(7,17),-2.34374 # DEPENDENCYPART_ARC
(7,18),-2.48974 # DEPENDENCYPART_ARC
(7,19),-2.61586 # DEPENDENCYPART_ARC
(7,20),-2.76789 # DEPENDENCYPART_ARC
(7,21),-2.99201 # DEPENDENCYPART_ARC
(7,22),-2.99449 # DEPENDENCYPART_ARC
(7,23),-1.98999 # DEPENDENCYPART_ARC
(8,1),-2.10181 # DEPENDENCYPART_ARC
(8,2),-2.26254 # DEPENDENCYPART_ARC
(8,3),-1.43385 # DEPENDENCYPART_ARC
(8,4),-1.68137 # DEPENDENCYPART_ARC
(8,5),-0.623793 # DEPENDENCYPART_ARC
(8,6),-1.05099 # DEPENDENCYPART_ARC
(8,7),0.0661733 # DEPENDENCYPART_ARC
(8,9),3.67104 # DEPENDENCYPART_ARC
(8,10),0.590999 # DEPENDENCYPART_ARC
(8,11),0.345716 # DEPENDENCYPART_ARC
(8,12),-0.152258 # DEPENDENCYPART_ARC
(8,13),-0.0543306 # DEPENDENCYPART_ARC
(8,14),-0.694268 # DEPENDENCYPART_ARC
(8,15),-0.875509 # DEPENDENCYPART_ARC
(8,16),-1.55351 # DEPENDENCYPART_ARC
(8,17),-1.16396 # DEPENDENCYPART_ARC
(8,18),-0.871084 # DEPENDENCYPART_ARC
(8,19),-1.89476 # DEPENDENCYPART_ARC
(8,20),-1.92491 # DEPENDENCYPART_ARC
(8,21),-1.53084 # DEPENDENCYPART_ARC
(8,22),-2.11639 # DEPENDENCYPART_ARC
(8,23),-1.72772 # DEPENDENCYPART_ARC
(9,1),-2.14523 # DEPENDENCYPART_ARC
(9,2),-2.71432 # DEPENDENCYPART_ARC
(9,3),-1.59708 # DEPENDENCYPART_ARC
(9,4),-3.2984 # DEPENDENCYPART_ARC
(9,5),-1.29138 # DEPENDENCYPART_ARC
(9,6),-2.1979 # DEPENDENCYPART_ARC
(9,7),-1.45188 # DEPENDENCYPART_ARC
(9,8),0.84934 # DEPENDENCYPART_ARC
(9,10),3.61134 # DEPENDENCYPART_ARC
(9,11),1.18864 # DEPENDENCYPART_ARC
(9,12),1.23398 # DEPENDENCYPART_ARC
(9,13),0.150474 # DEPENDENCYPART_ARC
(9,14),-0.0194852 # DEPENDENCYPART_ARC
(9,15),0.33158 # DEPENDENCYPART_ARC
(9,16),-0.411232 # DEPENDENCYPART_ARC
(9,17),-0.90887 # DEPENDENCYPART_ARC
(9,18),-0.275436 # DEPENDENCYPART_ARC
(9,19),-1.65032 # DEPENDENCYPART_ARC
(9,20),-1.05368 # DEPENDENCYPART_ARC
(9,21),-1.70064 # DEPENDENCYPART_ARC
(9,22),-1.14219 # DEPENDENCYPART_ARC
(9,23),-1.21705 # DEPENDENCYPART_ARC
(10,1),-1.46804 # DEPENDENCYPART_ARC
(10,2),-1.49138 # DEPENDENCYPART_ARC
(10,3),-0.857855 # DEPENDENCYPART_ARC
(10,4),-2.05673 # DEPENDENCYPART_ARC
(10,5),-0.261192 # DEPENDENCYPART_ARC
(10,6),-1.59389 # DEPENDENCYPART_ARC
(10,7),-0.591592 # DEPENDENCYPART_ARC
(10,8),0.668992 # DEPENDENCYPART_ARC
(10,9),0.582929 # DEPENDENCYPART_ARC
(10,11),2.3108 # DEPENDENCYPART_ARC
(10,12),2.83518 # DEPENDENCYPART_ARC
(10,13),0.812593 # DEPENDENCYPART_ARC
(10,14),0.398627 # DEPENDENCYPART_ARC
(10,15),-0.528827 # DEPENDENCYPART_ARC
(10,16),-0.638509 # DEPENDENCYPART_ARC
(10,17),-0.752712 # DEPENDENCYPART_ARC
(10,18),0.0819069 # DEPENDENCYPART_ARC
(10,19),-0.983553 # DEPENDENCYPART_ARC
(10,20),-1.13766 # DEPENDENCYPART_ARC
(10,21),0.134471 # DEPENDENCYPART_ARC
(10,22),-0.839099 # DEPENDENCYPART_ARC
(10,23),-0.878851 # DEPENDENCYPART_ARC
(11,1),-2.31985 # DEPENDENCYPART_ARC
(11,2),-2.51551 # DEPENDENCYPART_ARC
(11,3),-1.67924 # DEPENDENCYPART_ARC
(11,4),-2.41759 # DEPENDENCYPART_ARC
(11,5),-1.59107 # DEPENDENCYPART_ARC
(11,6),-2.09967 # DEPENDENCYPART_ARC
(11,7),-1.49418 # DEPENDENCYPART_ARC
(11,8),-0.984861 # DEPENDENCYPART_ARC
(11,9),-1.30688 # DEPENDENCYPART_ARC
(11,10),-0.284728 # DEPENDENCYPART_ARC
(11,12),0.0113719 # DEPENDENCYPART_ARC
(11,13),-0.174115 # DEPENDENCYPART_ARC
(11,14),-1.46402 # DEPENDENCYPART_ARC
(11,15),-0.88691 # DEPENDENCYPART_ARC
(11,16),-2.09802 # DEPENDENCYPART_ARC
(11,17),-1.69023 # DEPENDENCYPART_ARC
(11,18),-1.29115 # DEPENDENCYPART_ARC
(11,19),-2.78719 # DEPENDENCYPART_ARC
(11,20),-2.17761 # DEPENDENCYPART_ARC
(11,21),-2.04245 # DEPENDENCYPART_ARC
(11,22),-1.86733 # DEPENDENCYPART_ARC
(11,23),-1.63521 # DEPENDENCYPART_ARC
(12,1),-2.64783 # DEPENDENCYPART_ARC
(12,2),-2.56852 # DEPENDENCYPART_ARC
(12,3),-2.08653 # DEPENDENCYPART_ARC
(12,4),-3.28105 # DEPENDENCYPART_ARC
(12,5),-1.7965 # DEPENDENCYPART_ARC
(12,6),-3.03199 # DEPENDENCYPART_ARC
(12,7),-2.15274 # DEPENDENCYPART_ARC
(12,8),-1.16109 # DEPENDENCYPART_ARC
(12,9),-1.80416 # DEPENDENCYPART_ARC
(12,10),-1.25261 # DEPENDENCYPART_ARC
(12,11),0.12976 # DEPENDENCYPART_ARC
(12,13),1.9815 # DEPENDENCYPART_ARC
(12,14),-0.106198 # DEPENDENCYPART_ARC
(12,15),-0.835144 # DEPENDENCYPART_ARC
(12,16),-0.920252 # DEPENDENCYPART_ARC
(12,17),-1.16814 # DEPENDENCYPART_ARC
(12,18),-0.265329 # DEPENDENCYPART_ARC
(12,19),-1.56119 # DEPENDENCYPART_ARC
(12,20),-1.6246 # DEPENDENCYPART_ARC
(12,21),-0.894251 # DEPENDENCYPART_ARC
(12,22),-1.23916 # DEPENDENCYPART_ARC
(12,23),-0.980332 # DEPENDENCYPART_ARC
(13,1),-2.33243 # DEPENDENCYPART_ARC
(13,2),-2.66259 # DEPENDENCYPART_ARC
(13,3),-1.69505 # DEPENDENCYPART_ARC
(13,4),-2.23761 # DEPENDENCYPART_ARC
(13,5),-1.65752 # DEPENDENCYPART_ARC
(13,6),-2.15184 # DEPENDENCYPART_ARC
(13,7),-1.80324 # DEPENDENCYPART_ARC
(13,8),-1.40846 # DEPENDENCYPART_ARC
(13,9),-1.85894 # DEPENDENCYPART_ARC
(13,10),-1.54217 # DEPENDENCYPART_ARC
(13,11),-1.0254 # DEPENDENCYPART_ARC
(13,12),-0.300471 # DEPENDENCYPART_ARC
(13,14),-0.88584 # DEPENDENCYPART_ARC
(13,15),-1.03589 # DEPENDENCYPART_ARC
(13,16),-1.80535 # DEPENDENCYPART_ARC
(13,17),-1.56498 # DEPENDENCYPART_ARC
(13,18),-1.96379 # DEPENDENCYPART_ARC
(13,19),-1.83917 # DEPENDENCYPART_ARC
(13,20),-2.1023 # DEPENDENCYPART_ARC
(13,21),-2.39081 # DEPENDENCYPART_ARC
(13,22),-2.32239 # DEPENDENCYPART_ARC
(13,23),-1.15391 # DEPENDENCYPART_ARC
(14,1),-2.17026 # DEPENDENCYPART_ARC
(14,2),-2.36856 # DEPENDENCYPART_ARC
(14,3),-1.83249 # DEPENDENCYPART_ARC
(14,4),-2.11132 # DEPENDENCYPART_ARC
(14,5),-1.04052 # DEPENDENCYPART_ARC
(14,6),-1.97308 # DEPENDENCYPART_ARC
(14,7),-1.83025 # DEPENDENCYPART_ARC
(14,8),-0.983995 # DEPENDENCYPART_ARC
(14,9),-1.68538 # DEPENDENCYPART_ARC
(14,10),-1.68935 # DEPENDENCYPART_ARC
(14,11),-0.054144 # DEPENDENCYPART_ARC
(14,12),-0.989346 # DEPENDENCYPART_ARC
(14,13),0.0487237 # DEPENDENCYPART_ARC
(14,15),2.8979 # DEPENDENCYPART_ARC
(14,16),0.0614726 # DEPENDENCYPART_ARC
(14,17),1.02922 # DEPENDENCYPART_ARC
(14,18),0.109215 # DEPENDENCYPART_ARC
(14,19),0.332964 # DEPENDENCYPART_ARC
(14,20),-1.02663 # DEPENDENCYPART_ARC
(14,21),-0.6575 # DEPENDENCYPART_ARC
(14,22),-0.907496 # DEPENDENCYPART_ARC
(14,23),-0.785064 # DEPENDENCYPART_ARC
(15,1),-2.88188 # DEPENDENCYPART_ARC
(15,2),-3.6352 # DEPENDENCYPART_ARC
(15,3),-2.5244 # DEPENDENCYPART_ARC
(15,4),-2.80042 # DEPENDENCYPART_ARC
(15,5),-2.70629 # DEPENDENCYPART_ARC
(15,6),-3.14245 # DEPENDENCYPART_ARC
(15,7),-4.04589 # DEPENDENCYPART_ARC
(15,8),-2.01581 # DEPENDENCYPART_ARC
(15,9),-3.03165 # DEPENDENCYPART_ARC
(15,10),-2.30135 # DEPENDENCYPART_ARC
(15,11),-2.19493 # DEPENDENCYPART_ARC
(15,12),-1.85269 # DEPENDENCYPART_ARC
(15,13),-2.7576 # DEPENDENCYPART_ARC
(15,14),0.0221915 # DEPENDENCYPART_ARC
(15,16),0.815001 # DEPENDENCYPART_ARC
(15,17),0.922172 # DEPENDENCYPART_ARC
(15,18),0.515943 # DEPENDENCYPART_ARC
(15,19),0.631104 # DEPENDENCYPART_ARC
(15,20),-1.36497 # DEPENDENCYPART_ARC
(15,21),-0.979972 # DEPENDENCYPART_ARC
(15,22),-0.269031 # DEPENDENCYPART_ARC
(15,23),-1.10918 # DEPENDENCYPART_ARC
(16,1),-1.50854 # DEPENDENCYPART_ARC
(16,2),-2.16557 # DEPENDENCYPART_ARC
(16,3),-0.872054 # DEPENDENCYPART_ARC
(16,4),-1.91731 # DEPENDENCYPART_ARC
(16,5),-1.14014 # DEPENDENCYPART_ARC
(16,6),-1.82563 # DEPENDENCYPART_ARC
(16,7),-1.3186 # DEPENDENCYPART_ARC
(16,8),-0.870044 # DEPENDENCYPART_ARC
(16,9),-1.59229 # DEPENDENCYPART_ARC
(16,10),-1.22537 # DEPENDENCYPART_ARC
(16,11),-0.894583 # DEPENDENCYPART_ARC
(16,12),-0.973783 # DEPENDENCYPART_ARC
(16,13),-0.597571 # DEPENDENCYPART_ARC
(16,14),0.151466 # DEPENDENCYPART_ARC
(16,15),0.227233 # DEPENDENCYPART_ARC
(16,17),0.872634 # DEPENDENCYPART_ARC
(16,18),0.100206 # DEPENDENCYPART_ARC
(16,19),0.304306 # DEPENDENCYPART_ARC
(16,20),-0.557483 # DEPENDENCYPART_ARC
(16,21),-0.764366 # DEPENDENCYPART_ARC
(16,22),-1.02925 # DEPENDENCYPART_ARC
(16,23),-0.759339 # DEPENDENCYPART_ARC
(17,1),-0.522292 # DEPENDENCYPART_ARC
(17,2),-2.20225 # DEPENDENCYPART_ARC
(17,3),-0.547486 # DEPENDENCYPART_ARC
(17,4),-0.161501 # DEPENDENCYPART_ARC
(17,5),-0.639426 # DEPENDENCYPART_ARC
(17,6),-0.555888 # DEPENDENCYPART_ARC
(17,7),-2.07428 # DEPENDENCYPART_ARC
(17,8),0.213455 # DEPENDENCYPART_ARC
(17,9),-0.485066 # DEPENDENCYPART_ARC
(17,10),-0.103057 # DEPENDENCYPART_ARC
(17,11),0.13754 # DEPENDENCYPART_ARC
(17,12),0.00803869 # DEPENDENCYPART_ARC
(17,13),-1.51071 # DEPENDENCYPART_ARC
(17,14),1.46702 # DEPENDENCYPART_ARC
(17,15),2.25979 # DEPENDENCYPART_ARC
(17,16),2.35407 # DEPENDENCYPART_ARC
(17,18),2.53095 # DEPENDENCYPART_ARC
(17,19),2.3255 # DEPENDENCYPART_ARC
(17,20),-0.0772908 # DEPENDENCYPART_ARC
(17,21),0.199762 # DEPENDENCYPART_ARC
(17,22),0.760324 # DEPENDENCYPART_ARC
(17,23),0.351745 # DEPENDENCYPART_ARC
(18,1),-2.69189 # DEPENDENCYPART_ARC
(18,2),-2.9657 # DEPENDENCYPART_ARC
(18,3),-2.17491 # DEPENDENCYPART_ARC
(18,4),-3.1713 # DEPENDENCYPART_ARC
(18,5),-2.11641 # DEPENDENCYPART_ARC
(18,6),-2.8814 # DEPENDENCYPART_ARC
(18,7),-2.34811 # DEPENDENCYPART_ARC
(18,8),-2.06329 # DEPENDENCYPART_ARC
(18,9),-2.61402 # DEPENDENCYPART_ARC
(18,10),-2.46382 # DEPENDENCYPART_ARC
(18,11),-1.60005 # DEPENDENCYPART_ARC
(18,12),-2.33248 # DEPENDENCYPART_ARC
(18,13),-1.94845 # DEPENDENCYPART_ARC
(18,14),-1.56995 # DEPENDENCYPART_ARC
(18,15),-2.16099 # DEPENDENCYPART_ARC
(18,16),-0.898355 # DEPENDENCYPART_ARC
(18,17),-0.715142 # DEPENDENCYPART_ARC
(18,19),0.560508 # DEPENDENCYPART_ARC
(18,20),-1.51921 # DEPENDENCYPART_ARC
(18,21),-1.28028 # DEPENDENCYPART_ARC
(18,22),-1.33924 # DEPENDENCYPART_ARC
(18,23),-1.31032 # DEPENDENCYPART_ARC
(19,1),-1.83615 # DEPENDENCYPART_ARC
(19,2),-3.44459 # DEPENDENCYPART_ARC
(19,3),-1.87012 # DEPENDENCYPART_ARC
(19,4),-1.79045 # DEPENDENCYPART_ARC
(19,5),-2.39739 # DEPENDENCYPART_ARC
(19,6),-2.27518 # DEPENDENCYPART_ARC
(19,7),-3.52089 # DEPENDENCYPART_ARC
(19,8),-1.6903 # DEPENDENCYPART_ARC
(19,9),-2.10687 # DEPENDENCYPART_ARC
(19,10),-1.55702 # DEPENDENCYPART_ARC
(19,11),-1.50586 # DEPENDENCYPART_ARC
(19,12),-1.37466 # DEPENDENCYPART_ARC
(19,13),-3.00118 # DEPENDENCYPART_ARC
(19,14),-0.776244 # DEPENDENCYPART_ARC
(19,15),-1.3584 # DEPENDENCYPART_ARC
(19,16),-0.0598296 # DEPENDENCYPART_ARC
(19,17),0.294942 # DEPENDENCYPART_ARC
(19,18),0.488804 # DEPENDENCYPART_ARC
(19,20),1.20086 # DEPENDENCYPART_ARC
(19,21),1.12398 # DEPENDENCYPART_ARC
(19,22),2.01605 # DEPENDENCYPART_ARC
(19,23),0.159456 # DEPENDENCYPART_ARC
(20,1),-2.86342 # DEPENDENCYPART_ARC
(20,2),-3.66952 # DEPENDENCYPART_ARC
(20,3),-2.52076 # DEPENDENCYPART_ARC
(20,4),-3.28418 # DEPENDENCYPART_ARC
(20,5),-2.27304 # DEPENDENCYPART_ARC
(20,6),-3.15284 # DEPENDENCYPART_ARC
(20,7),-2.00374 # DEPENDENCYPART_ARC
(20,8),-2.09995 # DEPENDENCYPART_ARC
(20,9),-2.85759 # DEPENDENCYPART_ARC
(20,10),-2.47235 # DEPENDENCYPART_ARC
(20,11),-2.05905 # DEPENDENCYPART_ARC
(20,12),-2.42226 # DEPENDENCYPART_ARC
(20,13),-1.85344 # DEPENDENCYPART_ARC
(20,14),-1.76608 # DEPENDENCYPART_ARC
(20,15),-2.59799 # DEPENDENCYPART_ARC
(20,16),-1.57475 # DEPENDENCYPART_ARC
(20,17),-2.13043 # DEPENDENCYPART_ARC
(20,18),-1.19776 # DEPENDENCYPART_ARC
(20,19),-0.563273 # DEPENDENCYPART_ARC
(20,21),0.0952766 # DEPENDENCYPART_ARC
(20,22),-0.0618192 # DEPENDENCYPART_ARC
(20,23),-0.526433 # DEPENDENCYPART_ARC
(21,1),-2.33808 # DEPENDENCYPART_ARC
(21,2),-2.72829 # DEPENDENCYPART_ARC
(21,3),-2.06954 # DEPENDENCYPART_ARC
(21,4),-3.13672 # DEPENDENCYPART_ARC
(21,5),-1.75531 # DEPENDENCYPART_ARC
(21,6),-2.81658 # DEPENDENCYPART_ARC
(21,7),-2.20629 # DEPENDENCYPART_ARC
(21,8),-1.3347 # DEPENDENCYPART_ARC
(21,9),-2.37032 # DEPENDENCYPART_ARC
(21,10),-2.24544 # DEPENDENCYPART_ARC
(21,11),-1.60143 # DEPENDENCYPART_ARC
(21,12),-2.12018 # DEPENDENCYPART_ARC
(21,13),-1.91262 # DEPENDENCYPART_ARC
(21,14),-0.749542 # DEPENDENCYPART_ARC
(21,15),-1.86863 # DEPENDENCYPART_ARC
(21,16),-0.826184 # DEPENDENCYPART_ARC
(21,17),-1.62752 # DEPENDENCYPART_ARC
(21,18),-0.617201 # DEPENDENCYPART_ARC
(21,19),-0.474928 # DEPENDENCYPART_ARC
(21,20),1.41724 # DEPENDENCYPART_ARC
(21,22),1.45952 # DEPENDENCYPART_ARC
(21,23),0.0541047 # DEPENDENCYPART_ARC
(22,1),-1.9986 # DEPENDENCYPART_ARC
(22,2),-3.14047 # DEPENDENCYPART_ARC
(22,3),-3.31408 # DEPENDENCYPART_ARC
(22,4),-2.76283 # DEPENDENCYPART_ARC
(22,5),-1.79132 # DEPENDENCYPART_ARC
(22,6),-1.78257 # DEPENDENCYPART_ARC
(22,7),-2.43746 # DEPENDENCYPART_ARC
(22,8),-1.16536 # DEPENDENCYPART_ARC
(22,9),-1.22211 # DEPENDENCYPART_ARC
(22,10),-0.875571 # DEPENDENCYPART_ARC
(22,11),-1.02348 # DEPENDENCYPART_ARC
(22,12),-1.33715 # DEPENDENCYPART_ARC
(22,13),-2.07975 # DEPENDENCYPART_ARC
(22,14),-0.2292 # DEPENDENCYPART_ARC
(22,15),-1.61191 # DEPENDENCYPART_ARC
(22,16),-0.13945 # DEPENDENCYPART_ARC
(22,17),-1.43523 # DEPENDENCYPART_ARC
(22,18),-0.0452806 # DEPENDENCYPART_ARC
(22,19),-1.05461 # DEPENDENCYPART_ARC
(22,20),3.94747 # DEPENDENCYPART_ARC
(22,21),4.3639 # DEPENDENCYPART_ARC
(22,23),3.11216 # DEPENDENCYPART_ARC
(23,1),-2.85569 # DEPENDENCYPART_ARC
