# _root_ Ci sono cose , infatti , che a Mayo non possono essere cambiate " .
#goldHeads=2,0,2,3,2,5,13,13,8,13,13,13,3,13,14,
#predictedHeads=2,0,2,3,2,5,13,13,8,13,12,13,2,13,14,
(4,8),-2.22495 # DEPENDENCYPART_ARC
(4,9),-2.21921 # DEPENDENCYPART_ARC
(4,10),-2.43693 # DEPENDENCYPART_ARC
(4,11),-2.10634 # DEPENDENCYPART_ARC
(4,12),-2.3302 # DEPENDENCYPART_ARC
(4,13),-2.46894 # DEPENDENCYPART_ARC
(4,14),-2.26461 # DEPENDENCYPART_ARC
(4,15),-1.69282 # DEPENDENCYPART_ARC
(5,1),-1.1396 # DEPENDENCYPART_ARC
(5,2),-1.78228 # DEPENDENCYPART_ARC
(5,3),-1.18813 # DEPENDENCYPART_ARC
(5,4),0.0893123 # DEPENDENCYPART_ARC
(5,6),2.00264 # DEPENDENCYPART_ARC
(5,7),-0.240997 # DEPENDENCYPART_ARC
(5,8),-0.595615 # DEPENDENCYPART_ARC
(5,9),-0.66619 # DEPENDENCYPART_ARC
(5,10),-1.0515 # DEPENDENCYPART_ARC
(5,11),-0.157538 # DEPENDENCYPART_ARC
(5,12),-0.61571 # DEPENDENCYPART_ARC
(5,13),-0.921492 # DEPENDENCYPART_ARC
(5,14),-0.867313 # DEPENDENCYPART_ARC
(5,15),-0.664654 # DEPENDENCYPART_ARC
(6,1),-1.93385 # DEPENDENCYPART_ARC
(6,2),-2.40944 # DEPENDENCYPART_ARC
(6,3),-1.69244 # DEPENDENCYPART_ARC
(6,4),-0.984271 # DEPENDENCYPART_ARC
(6,5),-0.327434 # DEPENDENCYPART_ARC
(6,7),-0.0654895 # DEPENDENCYPART_ARC
(6,8),-1.02298 # DEPENDENCYPART_ARC
(6,9),-0.942235 # DEPENDENCYPART_ARC
(6,10),-1.2854 # DEPENDENCYPART_ARC
(6,11),-0.977762 # DEPENDENCYPART_ARC
(6,12),-1.24484 # DEPENDENCYPART_ARC
(6,13),-1.38224 # DEPENDENCYPART_ARC
(6,14),-1.2069 # DEPENDENCYPART_ARC
(6,15),-0.651393 # DEPENDENCYPART_ARC
(7,1),-1.56815 # DEPENDENCYPART_ARC
(7,2),-2.74558 # DEPENDENCYPART_ARC
(7,3),-2.32218 # DEPENDENCYPART_ARC
(7,4),-1.14487 # DEPENDENCYPART_ARC
(7,5),-0.56319 # DEPENDENCYPART_ARC
(7,6),0.235451 # DEPENDENCYPART_ARC
(7,8),0.770873 # DEPENDENCYPART_ARC
(7,9),0.326946 # DEPENDENCYPART_ARC
(7,10),-0.538104 # DEPENDENCYPART_ARC
(7,11),0.0714295 # DEPENDENCYPART_ARC
(7,12),-0.141282 # DEPENDENCYPART_ARC
(7,13),-1.11012 # DEPENDENCYPART_ARC
(7,14),-1.17239 # DEPENDENCYPART_ARC
(7,15),-1.01892 # DEPENDENCYPART_ARC
(8,1),-2.08636 # DEPENDENCYPART_ARC
(8,2),-3.15426 # DEPENDENCYPART_ARC
(8,3),-2.60275 # DEPENDENCYPART_ARC
(8,4),-2.48725 # DEPENDENCYPART_ARC
(8,5),-1.34574 # DEPENDENCYPART_ARC
(8,6),-1.62131 # DEPENDENCYPART_ARC
(8,7),-0.826347 # DEPENDENCYPART_ARC
(8,9),3.79991 # DEPENDENCYPART_ARC
(8,10),-0.388811 # DEPENDENCYPART_ARC
(8,11),0.378393 # DEPENDENCYPART_ARC
(8,12),0.0388844 # DEPENDENCYPART_ARC
(8,13),-0.590603 # DEPENDENCYPART_ARC
(8,14),-1.07412 # DEPENDENCYPART_ARC
(8,15),-0.934361 # DEPENDENCYPART_ARC
(9,1),-2.28169 # DEPENDENCYPART_ARC
(9,2),-3.6465 # DEPENDENCYPART_ARC
(9,3),-3.58627 # DEPENDENCYPART_ARC
(9,4),-2.92043 # DEPENDENCYPART_ARC
(9,5),-1.44921 # DEPENDENCYPART_ARC
(9,6),-2.41438 # DEPENDENCYPART_ARC
(9,7),-0.465696 # DEPENDENCYPART_ARC
(9,8),0.343832 # DEPENDENCYPART_ARC
(9,10),0.327823 # DEPENDENCYPART_ARC
(9,11),0.101248 # DEPENDENCYPART_ARC
(9,12),-0.2607 # DEPENDENCYPART_ARC
(9,13),-0.169258 # DEPENDENCYPART_ARC
(9,14),-0.975213 # DEPENDENCYPART_ARC
(9,15),-0.789047 # DEPENDENCYPART_ARC
(10,1),-1.5439 # DEPENDENCYPART_ARC
(10,2),-2.38937 # DEPENDENCYPART_ARC
(10,3),-2.16384 # DEPENDENCYPART_ARC
(10,4),-1.59938 # DEPENDENCYPART_ARC
(10,5),-1.04153 # DEPENDENCYPART_ARC
(10,6),-1.36454 # DEPENDENCYPART_ARC
(10,7),-0.978682 # DEPENDENCYPART_ARC
(10,8),-0.308488 # DEPENDENCYPART_ARC
(10,9),-0.350271 # DEPENDENCYPART_ARC
(10,11),0.0377619 # DEPENDENCYPART_ARC
(10,12),-0.527312 # DEPENDENCYPART_ARC
(10,13),-0.838442 # DEPENDENCYPART_ARC
(10,14),-1.56583 # DEPENDENCYPART_ARC
(10,15),-1.749 # DEPENDENCYPART_ARC
(11,1),-2.02463 # DEPENDENCYPART_ARC
(11,2),-2.45231 # DEPENDENCYPART_ARC
(11,3),-1.60505 # DEPENDENCYPART_ARC
(11,4),-3.24911 # DEPENDENCYPART_ARC
(11,5),-1.36616 # DEPENDENCYPART_ARC
(11,6),-3.06247 # DEPENDENCYPART_ARC
(11,7),-0.342279 # DEPENDENCYPART_ARC
(11,8),-0.456012 # DEPENDENCYPART_ARC
(11,9),-0.826829 # DEPENDENCYPART_ARC
(11,10),0.447649 # DEPENDENCYPART_ARC
(11,12),0.493565 # DEPENDENCYPART_ARC
(11,13),-0.0939464 # DEPENDENCYPART_ARC
(11,14),-1.38802 # DEPENDENCYPART_ARC
(11,15),-1.40401 # DEPENDENCYPART_ARC
(12,1),-0.483344 # DEPENDENCYPART_ARC
(12,2),-1.07621 # DEPENDENCYPART_ARC
(12,3),-1.05061 # DEPENDENCYPART_ARC
(12,4),-2.17432 # DEPENDENCYPART_ARC
(12,5),0.118604 # DEPENDENCYPART_ARC
(12,6),-1.99366 # DEPENDENCYPART_ARC
(12,7),1.12262 # DEPENDENCYPART_ARC
(12,8),0.53395 # DEPENDENCYPART_ARC
(12,9),0.824416 # DEPENDENCYPART_ARC
(12,10),1.59534 # DEPENDENCYPART_ARC
(12,11),3.34781 # DEPENDENCYPART_ARC
(12,13),2.03094 # DEPENDENCYPART_ARC
(12,14),-0.101735 # DEPENDENCYPART_ARC
(12,15),-0.0639852 # DEPENDENCYPART_ARC
(13,1),1.04457 # DEPENDENCYPART_ARC
(13,2),-0.240377 # DEPENDENCYPART_ARC
(13,3),0.182592 # DEPENDENCYPART_ARC
(13,4),-1.0093 # DEPENDENCYPART_ARC
(13,5),0.997488 # DEPENDENCYPART_ARC
(13,6),-0.919949 # DEPENDENCYPART_ARC
(13,7),2.38405 # DEPENDENCYPART_ARC
(13,8),1.57952 # DEPENDENCYPART_ARC
(13,9),0.950961 # DEPENDENCYPART_ARC
(13,10),3.17243 # DEPENDENCYPART_ARC
(13,11),2.68179 # DEPENDENCYPART_ARC
(13,12),4.4171 # DEPENDENCYPART_ARC
(13,14),1.97221 # DEPENDENCYPART_ARC
(13,15),0.655408 # DEPENDENCYPART_ARC
(14,1),-2.15273 # DEPENDENCYPART_ARC
(14,2),-2.72033 # DEPENDENCYPART_ARC
(14,3),-2.49571 # DEPENDENCYPART_ARC
(14,4),-1.95377 # DEPENDENCYPART_ARC
(14,5),-1.88415 # DEPENDENCYPART_ARC
(14,6),-1.93445 # DEPENDENCYPART_ARC
(14,7),-1.90584 # DEPENDENCYPART_ARC
(14,8),-1.66099 # DEPENDENCYPART_ARC
(14,9),-2.06616 # DEPENDENCYPART_ARC
(14,10),-1.65373 # DEPENDENCYPART_ARC
(14,11),-1.96056 # DEPENDENCYPART_ARC
(14,12),-1.37332 # DEPENDENCYPART_ARC
(14,13),-0.488331 # DEPENDENCYPART_ARC
(14,15),2.72626 # DEPENDENCYPART_ARC
(15,1),-1.86383 # DEPENDENCYPART_ARC
(15,2),-2.18609 # DEPENDENCYPART_ARC
(15,3),-1.94333 # DEPENDENCYPART_ARC
(15,4),-1.62459 # DEPENDENCYPART_ARC
(15,5),-1.44285 # DEPENDENCYPART_ARC
(15,6),-1.56176 # DEPENDENCYPART_ARC
(15,7),-1.52881 # DEPENDENCYPART_ARC
(15,8),-1.20206 # DEPENDENCYPART_ARC
(15,9),-1.70778 # DEPENDENCYPART_ARC
(15,10),-1.32266 # DEPENDENCYPART_ARC
(15,11),-1.78693 # DEPENDENCYPART_ARC
(15,12),-1.46892 # DEPENDENCYPART_ARC
(15,13),-0.826625 # DEPENDENCYPART_ARC
(15,14),0.490765 # DEPENDENCYPART_ARC
