# _root_ Poi , senza bisogno di insistere , ecco venir fuori Woody Allen .
#goldHeads=9,1,9,3,4,5,6,9,0,9,12,9,12,
#predictedHeads=3,1,0,3,4,5,6,9,6,9,12,9,12,
(11,6),-2.06437 # DEPENDENCYPART_ARC
(11,7),-2.25063 # DEPENDENCYPART_ARC
(11,8),-0.452948 # DEPENDENCYPART_ARC
(11,9),-0.870657 # DEPENDENCYPART_ARC
(11,10),0.963776 # DEPENDENCYPART_ARC
(11,12),2.11965 # DEPENDENCYPART_ARC
(11,13),-0.227113 # DEPENDENCYPART_ARC
(12,1),-0.945718 # DEPENDENCYPART_ARC
(12,2),-2.35183 # DEPENDENCYPART_ARC
(12,3),-0.9501 # DEPENDENCYPART_ARC
(12,4),-2.18267 # DEPENDENCYPART_ARC
(12,5),-0.868918 # DEPENDENCYPART_ARC
(12,6),-1.7181 # DEPENDENCYPART_ARC
(12,7),-1.81108 # DEPENDENCYPART_ARC
(12,8),-0.00749179 # DEPENDENCYPART_ARC
(12,9),-1.15942 # DEPENDENCYPART_ARC
(12,10),0.85691 # DEPENDENCYPART_ARC
(12,11),3.3789 # DEPENDENCYPART_ARC
(12,13),2.7215 # DEPENDENCYPART_ARC
(13,2),-1.65128 # DEPENDENCYPART_ARC
(13,7),-1.43566 # DEPENDENCYPART_ARC
