# _root_ A Rochester , infatti , si può benissimo affittare un appartamento o una camera in case private .
#goldHeads=9,1,2,9,4,7,9,9,0,11,9,11,14,11,9,15,16,17,
#predictedHeads=9,1,2,9,4,7,9,9,0,11,9,11,14,11,14,15,16,17,
(4,7),0.750281 # DEPENDENCYPART_ARC
(4,8),-1.2345 # DEPENDENCYPART_ARC
(4,9),-0.382835 # DEPENDENCYPART_ARC
(4,11),-1.36381 # DEPENDENCYPART_ARC
(4,12),-0.364854 # DEPENDENCYPART_ARC
(4,14),-1.47008 # DEPENDENCYPART_ARC
(4,15),-1.46631 # DEPENDENCYPART_ARC
(4,16),-1.45379 # DEPENDENCYPART_ARC
(4,17),-1.24102 # DEPENDENCYPART_ARC
(4,18),-0.618366 # DEPENDENCYPART_ARC
(5,3),-0.826727 # DEPENDENCYPART_ARC
(5,10),-1.76048 # DEPENDENCYPART_ARC
(5,13),-1.86509 # DEPENDENCYPART_ARC
(5,18),-1.75525 # DEPENDENCYPART_ARC
(6,1),-1.56801 # DEPENDENCYPART_ARC
(6,2),-1.96621 # DEPENDENCYPART_ARC
(6,3),-1.59282 # DEPENDENCYPART_ARC
(6,4),-1.03277 # DEPENDENCYPART_ARC
(6,5),-0.134219 # DEPENDENCYPART_ARC
(6,7),-1.03582 # DEPENDENCYPART_ARC
(6,8),-1.50829 # DEPENDENCYPART_ARC
(6,9),-1.30177 # DEPENDENCYPART_ARC
(6,11),-1.90588 # DEPENDENCYPART_ARC
(6,12),-1.324 # DEPENDENCYPART_ARC
(6,14),-2.44978 # DEPENDENCYPART_ARC
(6,15),-2.75083 # DEPENDENCYPART_ARC
(6,16),-2.03146 # DEPENDENCYPART_ARC
(6,17),-1.8799 # DEPENDENCYPART_ARC
(6,18),-1.77015 # DEPENDENCYPART_ARC
(7,1),-1.02749 # DEPENDENCYPART_ARC
(7,2),-1.31984 # DEPENDENCYPART_ARC
(7,3),-2.31271 # DEPENDENCYPART_ARC
(7,4),-0.178894 # DEPENDENCYPART_ARC
(7,5),-1.52616 # DEPENDENCYPART_ARC
(7,6),3.18066 # DEPENDENCYPART_ARC
(7,8),0.648509 # DEPENDENCYPART_ARC
(7,9),0.0467642 # DEPENDENCYPART_ARC
(7,10),-2.66844 # DEPENDENCYPART_ARC
(7,11),-0.449143 # DEPENDENCYPART_ARC
(7,12),-0.295817 # DEPENDENCYPART_ARC
(7,13),-2.88517 # DEPENDENCYPART_ARC
(7,14),-1.35825 # DEPENDENCYPART_ARC
(7,15),-0.867254 # DEPENDENCYPART_ARC
(7,16),-2.20108 # DEPENDENCYPART_ARC
(7,17),-1.81063 # DEPENDENCYPART_ARC
(7,18),-1.88429 # DEPENDENCYPART_ARC
(8,1),-1.09231 # DEPENDENCYPART_ARC
(8,2),-1.87105 # DEPENDENCYPART_ARC
(8,3),-1.25498 # DEPENDENCYPART_ARC
(8,4),-0.923493 # DEPENDENCYPART_ARC
(8,5),-0.780797 # DEPENDENCYPART_ARC
(8,6),-0.480241 # DEPENDENCYPART_ARC
(8,7),-0.0666138 # DEPENDENCYPART_ARC
(8,9),0.368506 # DEPENDENCYPART_ARC
(8,10),-0.630029 # DEPENDENCYPART_ARC
(8,11),-0.878291 # DEPENDENCYPART_ARC
(8,12),-0.710881 # DEPENDENCYPART_ARC
(8,13),-0.924291 # DEPENDENCYPART_ARC
(8,14),-1.56604 # DEPENDENCYPART_ARC
(8,15),-1.08953 # DEPENDENCYPART_ARC
(8,16),-1.60934 # DEPENDENCYPART_ARC
(8,17),-1.57809 # DEPENDENCYPART_ARC
(8,18),-1.21282 # DEPENDENCYPART_ARC
(9,1),0.291801 # DEPENDENCYPART_ARC
(9,2),-0.118734 # DEPENDENCYPART_ARC
(9,3),-1.8299 # DEPENDENCYPART_ARC
(9,4),0.200875 # DEPENDENCYPART_ARC
(9,5),-1.47239 # DEPENDENCYPART_ARC
(9,6),1.94335 # DEPENDENCYPART_ARC
(9,7),2.41259 # DEPENDENCYPART_ARC
(9,8),2.5771 # DEPENDENCYPART_ARC
(9,10),1.03658 # DEPENDENCYPART_ARC
(9,11),2.73986 # DEPENDENCYPART_ARC
(9,12),1.47237 # DEPENDENCYPART_ARC
(9,13),-0.115522 # DEPENDENCYPART_ARC
(9,14),1.2713 # DEPENDENCYPART_ARC
(9,15),1.53343 # DEPENDENCYPART_ARC
(9,16),0.121054 # DEPENDENCYPART_ARC
(9,17),-0.524349 # DEPENDENCYPART_ARC
(9,18),-0.24968 # DEPENDENCYPART_ARC
(10,1),-2.33184 # DEPENDENCYPART_ARC
(10,3),-2.16993 # DEPENDENCYPART_ARC
(10,5),-1.84157 # DEPENDENCYPART_ARC
(10,15),-0.268859 # DEPENDENCYPART_ARC
(10,18),-0.309798 # DEPENDENCYPART_ARC
(11,1),-0.671654 # DEPENDENCYPART_ARC
(11,2),-2.15239 # DEPENDENCYPART_ARC
(11,3),-2.38281 # DEPENDENCYPART_ARC
(11,4),-1.06961 # DEPENDENCYPART_ARC
(11,5),-2.23903 # DEPENDENCYPART_ARC
(11,6),-0.39339 # DEPENDENCYPART_ARC
(11,7),-1.4754 # DEPENDENCYPART_ARC
(11,8),0.242542 # DEPENDENCYPART_ARC
(11,9),-0.247229 # DEPENDENCYPART_ARC
(11,10),3.54037 # DEPENDENCYPART_ARC
(11,12),2.23372 # DEPENDENCYPART_ARC
(11,13),0.0845162 # DEPENDENCYPART_ARC
(11,14),1.62083 # DEPENDENCYPART_ARC
(11,15),1.10633 # DEPENDENCYPART_ARC
(11,16),0.80478 # DEPENDENCYPART_ARC
(11,17),-0.494726 # DEPENDENCYPART_ARC
(11,18),-0.338975 # DEPENDENCYPART_ARC
(12,1),-2.09282 # DEPENDENCYPART_ARC
(12,2),-2.4596 # DEPENDENCYPART_ARC
(12,3),-1.81655 # DEPENDENCYPART_ARC
(12,4),-1.5896 # DEPENDENCYPART_ARC
(12,5),-1.78347 # DEPENDENCYPART_ARC
(12,6),-1.52284 # DEPENDENCYPART_ARC
(12,7),-2.44824 # DEPENDENCYPART_ARC
(12,8),-1.32055 # DEPENDENCYPART_ARC
(12,9),-1.93275 # DEPENDENCYPART_ARC
(12,11),-0.525402 # DEPENDENCYPART_ARC
(12,14),-0.353067 # DEPENDENCYPART_ARC
(12,15),-0.8138 # DEPENDENCYPART_ARC
(12,16),-0.924925 # DEPENDENCYPART_ARC
(12,17),-0.624764 # DEPENDENCYPART_ARC
(12,18),-0.230185 # DEPENDENCYPART_ARC
(13,1),-2.84171 # DEPENDENCYPART_ARC
(13,3),-2.56112 # DEPENDENCYPART_ARC
(13,5),-2.26917 # DEPENDENCYPART_ARC
(13,15),0.313715 # DEPENDENCYPART_ARC
(13,18),-0.340473 # DEPENDENCYPART_ARC
(14,1),-0.645249 # DEPENDENCYPART_ARC
(14,2),-2.48246 # DEPENDENCYPART_ARC
(14,3),-2.56476 # DEPENDENCYPART_ARC
(14,4),-1.01174 # DEPENDENCYPART_ARC
(14,5),-2.35024 # DEPENDENCYPART_ARC
(14,6),-0.678815 # DEPENDENCYPART_ARC
(14,7),-1.63665 # DEPENDENCYPART_ARC
(14,8),-0.566797 # DEPENDENCYPART_ARC
(14,9),-1.68358 # DEPENDENCYPART_ARC
(14,10),0.318089 # DEPENDENCYPART_ARC
(14,11),-1.61342 # DEPENDENCYPART_ARC
(14,12),0.505308 # DEPENDENCYPART_ARC
(14,13),3.52825 # DEPENDENCYPART_ARC
(14,15),2.09025 # DEPENDENCYPART_ARC
(14,16),0.724164 # DEPENDENCYPART_ARC
(14,17),0.690966 # DEPENDENCYPART_ARC
(14,18),-0.501214 # DEPENDENCYPART_ARC
(15,1),-1.98718 # DEPENDENCYPART_ARC
(15,2),-2.30823 # DEPENDENCYPART_ARC
(15,3),-2.07122 # DEPENDENCYPART_ARC
(15,4),-1.65093 # DEPENDENCYPART_ARC
(15,5),-1.92195 # DEPENDENCYPART_ARC
(15,6),-2.02732 # DEPENDENCYPART_ARC
(15,7),-2.61297 # DEPENDENCYPART_ARC
(15,8),-1.29441 # DEPENDENCYPART_ARC
(15,9),-2.45586 # DEPENDENCYPART_ARC
(15,10),-1.47172 # DEPENDENCYPART_ARC
(15,11),-1.7856 # DEPENDENCYPART_ARC
(15,12),-0.71512 # DEPENDENCYPART_ARC
(15,13),-0.552936 # DEPENDENCYPART_ARC
(15,14),-0.460521 # DEPENDENCYPART_ARC
(15,16),3.78466 # DEPENDENCYPART_ARC
(15,17),0.345751 # DEPENDENCYPART_ARC
(15,18),-0.6813 # DEPENDENCYPART_ARC
(16,1),-2.21196 # DEPENDENCYPART_ARC
(16,2),-3.38747 # DEPENDENCYPART_ARC
(16,3),-3.36294 # DEPENDENCYPART_ARC
(16,4),-2.09802 # DEPENDENCYPART_ARC
(16,5),-3.43135 # DEPENDENCYPART_ARC
(16,6),-2.38116 # DEPENDENCYPART_ARC
(16,7),-3.61381 # DEPENDENCYPART_ARC
(16,8),-1.90504 # DEPENDENCYPART_ARC
(16,9),-3.04834 # DEPENDENCYPART_ARC
(16,10),-2.11576 # DEPENDENCYPART_ARC
(16,11),-3.08343 # DEPENDENCYPART_ARC
(16,12),-1.35854 # DEPENDENCYPART_ARC
(16,13),-0.253118 # DEPENDENCYPART_ARC
(16,14),-1.59583 # DEPENDENCYPART_ARC
(16,15),0.723666 # DEPENDENCYPART_ARC
(16,17),3.29207 # DEPENDENCYPART_ARC
(16,18),-0.504135 # DEPENDENCYPART_ARC
(17,1),-1.27817 # DEPENDENCYPART_ARC
(17,2),-2.34753 # DEPENDENCYPART_ARC
(17,3),-1.91856 # DEPENDENCYPART_ARC
(17,4),-1.38619 # DEPENDENCYPART_ARC
(17,5),-1.66416 # DEPENDENCYPART_ARC
(17,6),-0.880354 # DEPENDENCYPART_ARC
(17,7),-3.17018 # DEPENDENCYPART_ARC
(17,8),-1.35693 # DEPENDENCYPART_ARC
(17,9),-2.40002 # DEPENDENCYPART_ARC
(17,10),-1.50262 # DEPENDENCYPART_ARC
(17,11),-1.71023 # DEPENDENCYPART_ARC
(17,12),-0.909164 # DEPENDENCYPART_ARC
(17,13),-0.917441 # DEPENDENCYPART_ARC
(17,14),-0.983539 # DEPENDENCYPART_ARC
(17,15),0.695492 # DEPENDENCYPART_ARC
(17,16),0.482413 # DEPENDENCYPART_ARC
(17,18),2.27184 # DEPENDENCYPART_ARC
(18,3),-1.82186 # DEPENDENCYPART_ARC
(18,5),-1.71345 # DEPENDENCYPART_ARC
(18,10),-1.41001 # DEPENDENCYPART_ARC
(18,13),-1.06306 # DEPENDENCYPART_ARC
