# _root_ DI VALERIO RIVA Il mito di Allende , più di 14 anni dopo la sua tragica morte , comincia ad affievolir- si anche nella sinistra cilena ?
#goldHeads=3,1,0,5,19,5,6,7,17,9,12,10,19,17,17,17,13,17,0,19,20,21,24,21,24,25,26,
#predictedHeads=3,3,0,5,3,5,6,7,17,9,12,10,5,17,17,17,13,17,0,19,20,21,24,21,24,25,26,
(5,21),-0.859172 # DEPENDENCYPART_ARC
(5,22),-2.15767 # DEPENDENCYPART_ARC
(5,23),-1.92345 # DEPENDENCYPART_ARC
(5,24),-1.02677 # DEPENDENCYPART_ARC
(5,25),-1.56594 # DEPENDENCYPART_ARC
(5,26),-1.86615 # DEPENDENCYPART_ARC
(5,27),-3.48553 # DEPENDENCYPART_ARC
(6,1),-1.51706 # DEPENDENCYPART_ARC
(6,2),-1.95681 # DEPENDENCYPART_ARC
(6,3),-1.6123 # DEPENDENCYPART_ARC
(6,4),-0.806249 # DEPENDENCYPART_ARC
(6,5),-0.667805 # DEPENDENCYPART_ARC
(6,7),4.40482 # DEPENDENCYPART_ARC
(6,8),0.276008 # DEPENDENCYPART_ARC
(6,9),-0.396808 # DEPENDENCYPART_ARC
(6,10),-0.0339856 # DEPENDENCYPART_ARC
(6,11),-0.819906 # DEPENDENCYPART_ARC
(6,12),-0.451281 # DEPENDENCYPART_ARC
(6,13),-1.31266 # DEPENDENCYPART_ARC
(6,14),-1.57062 # DEPENDENCYPART_ARC
(6,15),-1.18606 # DEPENDENCYPART_ARC
(6,16),-1.01987 # DEPENDENCYPART_ARC
(6,17),-1.98825 # DEPENDENCYPART_ARC
(6,18),-1.0231 # DEPENDENCYPART_ARC
(6,19),-1.82194 # DEPENDENCYPART_ARC
(6,20),-2.01781 # DEPENDENCYPART_ARC
(6,21),-1.78596 # DEPENDENCYPART_ARC
(6,22),-2.55299 # DEPENDENCYPART_ARC
(6,23),-1.34361 # DEPENDENCYPART_ARC
(6,24),-1.35127 # DEPENDENCYPART_ARC
(6,25),-4.92315 # DEPENDENCYPART_ARC
(6,26),-1.85305 # DEPENDENCYPART_ARC
(6,27),-2.59428 # DEPENDENCYPART_ARC
(7,1),-1.93457 # DEPENDENCYPART_ARC
(7,2),-0.0780831 # DEPENDENCYPART_ARC
(7,3),-0.950958 # DEPENDENCYPART_ARC
(7,4),-0.349211 # DEPENDENCYPART_ARC
(7,5),-2.53396 # DEPENDENCYPART_ARC
(7,6),0.447762 # DEPENDENCYPART_ARC
(7,8),2.12076 # DEPENDENCYPART_ARC
(7,9),-0.242302 # DEPENDENCYPART_ARC
(7,10),0.0557628 # DEPENDENCYPART_ARC
(7,11),-0.648915 # DEPENDENCYPART_ARC
(7,12),-0.675925 # DEPENDENCYPART_ARC
(7,13),-0.179271 # DEPENDENCYPART_ARC
(7,14),-0.350953 # DEPENDENCYPART_ARC
(7,15),-1.15855 # DEPENDENCYPART_ARC
(7,16),-0.823687 # DEPENDENCYPART_ARC
(7,17),-0.810296 # DEPENDENCYPART_ARC
(7,18),0.181306 # DEPENDENCYPART_ARC
(7,19),-1.17284 # DEPENDENCYPART_ARC
(7,20),-1.68923 # DEPENDENCYPART_ARC
(7,21),-1.65671 # DEPENDENCYPART_ARC
(7,22),-2.04471 # DEPENDENCYPART_ARC
(7,23),-2.24889 # DEPENDENCYPART_ARC
(7,24),-1.9758 # DEPENDENCYPART_ARC
(7,25),-2.08033 # DEPENDENCYPART_ARC
(7,26),-2.18795 # DEPENDENCYPART_ARC
(7,27),-3.39397 # DEPENDENCYPART_ARC
(8,4),-0.636047 # DEPENDENCYPART_ARC
(8,14),-0.832959 # DEPENDENCYPART_ARC
(8,18),-0.57978 # DEPENDENCYPART_ARC
(8,27),-1.50647 # DEPENDENCYPART_ARC
(9,1),-1.54775 # DEPENDENCYPART_ARC
(9,2),-2.41173 # DEPENDENCYPART_ARC
(9,3),-2.34224 # DEPENDENCYPART_ARC
(9,4),-1.06595 # DEPENDENCYPART_ARC
(9,5),-2.07404 # DEPENDENCYPART_ARC
(9,6),-0.632236 # DEPENDENCYPART_ARC
(9,7),-1.44052 # DEPENDENCYPART_ARC
(9,8),0.179379 # DEPENDENCYPART_ARC
(9,10),1.86473 # DEPENDENCYPART_ARC
(9,11),0.404173 # DEPENDENCYPART_ARC
(9,12),0.408178 # DEPENDENCYPART_ARC
(9,13),0.180543 # DEPENDENCYPART_ARC
(9,14),-0.00376931 # DEPENDENCYPART_ARC
(9,16),-0.297409 # DEPENDENCYPART_ARC
(9,17),-0.154857 # DEPENDENCYPART_ARC
(9,18),0.0544205 # DEPENDENCYPART_ARC
(9,19),-0.474273 # DEPENDENCYPART_ARC
(9,20),-0.592373 # DEPENDENCYPART_ARC
(9,21),-0.634417 # DEPENDENCYPART_ARC
(9,22),-0.716151 # DEPENDENCYPART_ARC
(9,23),-0.295628 # DEPENDENCYPART_ARC
(9,24),-0.897119 # DEPENDENCYPART_ARC
(9,25),-0.85438 # DEPENDENCYPART_ARC
(9,26),-0.846039 # DEPENDENCYPART_ARC
(9,27),-1.14648 # DEPENDENCYPART_ARC
(10,1),-1.29113 # DEPENDENCYPART_ARC
(10,2),-1.63348 # DEPENDENCYPART_ARC
(10,3),-1.54583 # DEPENDENCYPART_ARC
(10,4),-1.28104 # DEPENDENCYPART_ARC
(10,5),-1.39716 # DEPENDENCYPART_ARC
(10,6),-0.716977 # DEPENDENCYPART_ARC
(10,7),-0.866944 # DEPENDENCYPART_ARC
(10,8),-0.471838 # DEPENDENCYPART_ARC
(10,9),0.912281 # DEPENDENCYPART_ARC
(10,11),1.66068 # DEPENDENCYPART_ARC
(10,12),3.00287 # DEPENDENCYPART_ARC
(10,13),-0.137273 # DEPENDENCYPART_ARC
(10,14),-0.665088 # DEPENDENCYPART_ARC
(10,15),-0.0719121 # DEPENDENCYPART_ARC
(10,16),-0.20097 # DEPENDENCYPART_ARC
(10,17),-0.474294 # DEPENDENCYPART_ARC
(10,18),-0.422332 # DEPENDENCYPART_ARC
(10,19),-0.665423 # DEPENDENCYPART_ARC
(10,20),-0.911034 # DEPENDENCYPART_ARC
(10,21),-0.751818 # DEPENDENCYPART_ARC
(10,22),-1.50353 # DEPENDENCYPART_ARC
(10,23),-0.759033 # DEPENDENCYPART_ARC
(10,24),-1.10954 # DEPENDENCYPART_ARC
(10,25),-3.50258 # DEPENDENCYPART_ARC
(10,26),-0.961951 # DEPENDENCYPART_ARC
(10,27),-1.63492 # DEPENDENCYPART_ARC
(11,1),-2.55276 # DEPENDENCYPART_ARC
(11,4),-1.31382 # DEPENDENCYPART_ARC
(11,5),-2.62653 # DEPENDENCYPART_ARC
(11,6),-1.80577 # DEPENDENCYPART_ARC
(11,8),-1.50964 # DEPENDENCYPART_ARC
(11,9),-0.862609 # DEPENDENCYPART_ARC
(11,10),-0.10703 # DEPENDENCYPART_ARC
(11,12),1.12285 # DEPENDENCYPART_ARC
(11,13),-0.313775 # DEPENDENCYPART_ARC
(11,14),-0.623252 # DEPENDENCYPART_ARC
(11,15),-0.675788 # DEPENDENCYPART_ARC
(11,16),-0.795936 # DEPENDENCYPART_ARC
(11,17),-0.714343 # DEPENDENCYPART_ARC
(11,18),-0.589027 # DEPENDENCYPART_ARC
(11,19),-1.23352 # DEPENDENCYPART_ARC
(11,20),-1.24694 # DEPENDENCYPART_ARC
(11,21),-1.45163 # DEPENDENCYPART_ARC
(11,23),-0.890954 # DEPENDENCYPART_ARC
(11,24),-1.42248 # DEPENDENCYPART_ARC
(11,25),-1.05935 # DEPENDENCYPART_ARC
(11,26),-1.53416 # DEPENDENCYPART_ARC
(11,27),-1.34553 # DEPENDENCYPART_ARC
(12,1),-1.66589 # DEPENDENCYPART_ARC
(12,2),-1.417 # DEPENDENCYPART_ARC
(12,3),-1.90931 # DEPENDENCYPART_ARC
(12,4),-1.36657 # DEPENDENCYPART_ARC
(12,5),-1.82572 # DEPENDENCYPART_ARC
(12,6),-1.07199 # DEPENDENCYPART_ARC
(12,7),-0.92419 # DEPENDENCYPART_ARC
(12,8),-1.82286 # DEPENDENCYPART_ARC
(12,9),0.739417 # DEPENDENCYPART_ARC
(12,10),0.351534 # DEPENDENCYPART_ARC
(12,11),2.65959 # DEPENDENCYPART_ARC
(12,13),0.808563 # DEPENDENCYPART_ARC
(12,14),-0.644689 # DEPENDENCYPART_ARC
(12,15),-1.34675 # DEPENDENCYPART_ARC
(12,16),-1.38211 # DEPENDENCYPART_ARC
(12,17),-1.10201 # DEPENDENCYPART_ARC
(12,18),0.0695494 # DEPENDENCYPART_ARC
(12,19),-1.20025 # DEPENDENCYPART_ARC
(12,20),-1.29545 # DEPENDENCYPART_ARC
(12,21),-1.73077 # DEPENDENCYPART_ARC
(12,22),-2.67869 # DEPENDENCYPART_ARC
(12,23),-2.06248 # DEPENDENCYPART_ARC
(12,24),-1.68714 # DEPENDENCYPART_ARC
(12,25),-2.48102 # DEPENDENCYPART_ARC
(12,26),-3.06384 # DEPENDENCYPART_ARC
(12,27),-2.79317 # DEPENDENCYPART_ARC
(13,1),-1.45144 # DEPENDENCYPART_ARC
(13,2),-1.90685 # DEPENDENCYPART_ARC
(13,3),-1.77551 # DEPENDENCYPART_ARC
(13,4),-1.47291 # DEPENDENCYPART_ARC
(13,5),-1.73789 # DEPENDENCYPART_ARC
(13,6),-1.13486 # DEPENDENCYPART_ARC
(13,7),-1.57761 # DEPENDENCYPART_ARC
(13,8),-1.31725 # DEPENDENCYPART_ARC
(13,9),-0.78957 # DEPENDENCYPART_ARC
(13,10),-0.400712 # DEPENDENCYPART_ARC
(13,11),-0.640544 # DEPENDENCYPART_ARC
(13,12),0.200693 # DEPENDENCYPART_ARC
(13,14),0.416706 # DEPENDENCYPART_ARC
(13,15),0.743113 # DEPENDENCYPART_ARC
(13,16),0.247547 # DEPENDENCYPART_ARC
(13,17),2.06707 # DEPENDENCYPART_ARC
(13,18),-0.0681717 # DEPENDENCYPART_ARC
(13,19),-0.255887 # DEPENDENCYPART_ARC
(13,20),-0.614326 # DEPENDENCYPART_ARC
(13,21),-0.0539061 # DEPENDENCYPART_ARC
(13,22),-0.758639 # DEPENDENCYPART_ARC
(13,23),-0.274826 # DEPENDENCYPART_ARC
(13,24),-0.553805 # DEPENDENCYPART_ARC
(13,25),-1.34477 # DEPENDENCYPART_ARC
(13,26),-0.925715 # DEPENDENCYPART_ARC
(13,27),-1.07546 # DEPENDENCYPART_ARC
(14,1),-3.10433 # DEPENDENCYPART_ARC
(14,5),-3.08174 # DEPENDENCYPART_ARC
(14,6),-2.6454 # DEPENDENCYPART_ARC
(14,8),-2.15007 # DEPENDENCYPART_ARC
(14,10),-2.05649 # DEPENDENCYPART_ARC
(14,11),-1.63053 # DEPENDENCYPART_ARC
(14,12),-2.204 # DEPENDENCYPART_ARC
(14,13),-0.409279 # DEPENDENCYPART_ARC
(14,17),0.0874005 # DEPENDENCYPART_ARC
(14,18),-0.027849 # DEPENDENCYPART_ARC
(14,19),-0.257996 # DEPENDENCYPART_ARC
(14,20),-0.666415 # DEPENDENCYPART_ARC
(14,21),-0.82152 # DEPENDENCYPART_ARC
(14,24),-0.805804 # DEPENDENCYPART_ARC
(14,25),-0.789496 # DEPENDENCYPART_ARC
(14,27),-0.674297 # DEPENDENCYPART_ARC
(15,4),-2.15324 # DEPENDENCYPART_ARC
(15,8),-1.69705 # DEPENDENCYPART_ARC
(15,14),1.05459 # DEPENDENCYPART_ARC
(15,18),0.101156 # DEPENDENCYPART_ARC
(15,19),-0.876085 # DEPENDENCYPART_ARC
(15,21),-1.73971 # DEPENDENCYPART_ARC
(15,23),-0.603082 # DEPENDENCYPART_ARC
(15,27),-1.21946 # DEPENDENCYPART_ARC
(16,1),-1.74514 # DEPENDENCYPART_ARC
(16,2),-2.24611 # DEPENDENCYPART_ARC
(16,3),-2.10791 # DEPENDENCYPART_ARC
(16,4),-1.85037 # DEPENDENCYPART_ARC
(16,5),-1.95507 # DEPENDENCYPART_ARC
(16,6),-1.15555 # DEPENDENCYPART_ARC
(16,7),-1.93402 # DEPENDENCYPART_ARC
(16,8),-1.49681 # DEPENDENCYPART_ARC
(16,9),-0.813832 # DEPENDENCYPART_ARC
(16,10),-0.860478 # DEPENDENCYPART_ARC
(16,11),-0.762596 # DEPENDENCYPART_ARC
(16,12),-1.56891 # DEPENDENCYPART_ARC
(16,13),0.0299136 # DEPENDENCYPART_ARC
(16,14),0.256292 # DEPENDENCYPART_ARC
(16,15),1.2163 # DEPENDENCYPART_ARC
(16,17),0.680222 # DEPENDENCYPART_ARC
(16,18),-0.195959 # DEPENDENCYPART_ARC
(16,19),-1.04984 # DEPENDENCYPART_ARC
(16,20),-0.794065 # DEPENDENCYPART_ARC
(16,21),-1.98867 # DEPENDENCYPART_ARC
(16,22),-2.63214 # DEPENDENCYPART_ARC
(16,23),-0.956838 # DEPENDENCYPART_ARC
(16,24),-1.28361 # DEPENDENCYPART_ARC
(16,25),-1.69912 # DEPENDENCYPART_ARC
(16,26),-0.987982 # DEPENDENCYPART_ARC
(16,27),-1.39223 # DEPENDENCYPART_ARC
(17,1),-1.53142 # DEPENDENCYPART_ARC
(17,2),-1.12085 # DEPENDENCYPART_ARC
(17,3),-2.14628 # DEPENDENCYPART_ARC
(17,4),-1.1738 # DEPENDENCYPART_ARC
(17,5),-2.20834 # DEPENDENCYPART_ARC
(17,6),-1.23651 # DEPENDENCYPART_ARC
(17,7),-1.50109 # DEPENDENCYPART_ARC
(17,8),-2.07021 # DEPENDENCYPART_ARC
(17,9),0.0357727 # DEPENDENCYPART_ARC
(17,10),-0.527252 # DEPENDENCYPART_ARC
(17,11),0.00937893 # DEPENDENCYPART_ARC
(17,12),-0.924526 # DEPENDENCYPART_ARC
(17,13),-0.0863791 # DEPENDENCYPART_ARC
(17,14),2.28301 # DEPENDENCYPART_ARC
(17,15),3.23495 # DEPENDENCYPART_ARC
(17,16),3.65587 # DEPENDENCYPART_ARC
(17,18),2.42349 # DEPENDENCYPART_ARC
(17,19),0.348761 # DEPENDENCYPART_ARC
(17,20),-0.109481 # DEPENDENCYPART_ARC
(17,21),-0.763919 # DEPENDENCYPART_ARC
(17,22),-1.96217 # DEPENDENCYPART_ARC
(17,23),-0.803409 # DEPENDENCYPART_ARC
(17,24),-0.61944 # DEPENDENCYPART_ARC
(17,25),-0.317142 # DEPENDENCYPART_ARC
(17,26),-0.320337 # DEPENDENCYPART_ARC
(17,27),-0.837805 # DEPENDENCYPART_ARC
(18,4),-1.85624 # DEPENDENCYPART_ARC
(18,8),-1.94059 # DEPENDENCYPART_ARC
(18,14),-1.28587 # DEPENDENCYPART_ARC
(18,27),-1.57978 # DEPENDENCYPART_ARC
(19,1),-1.36116 # DEPENDENCYPART_ARC
(19,2),-0.319191 # DEPENDENCYPART_ARC
(19,3),-0.225705 # DEPENDENCYPART_ARC
(19,4),-1.7141 # DEPENDENCYPART_ARC
(19,5),0.244773 # DEPENDENCYPART_ARC
(19,6),-1.52317 # DEPENDENCYPART_ARC
(19,7),-0.125341 # DEPENDENCYPART_ARC
(19,8),-2.37009 # DEPENDENCYPART_ARC
(19,9),-0.4342 # DEPENDENCYPART_ARC
(19,10),-0.512561 # DEPENDENCYPART_ARC
(19,11),-0.605986 # DEPENDENCYPART_ARC
(19,12),-0.969223 # DEPENDENCYPART_ARC
(19,13),0.172169 # DEPENDENCYPART_ARC
(19,14),-0.703599 # DEPENDENCYPART_ARC
(19,15),-0.262857 # DEPENDENCYPART_ARC
(19,16),-0.0190475 # DEPENDENCYPART_ARC
(19,17),1.12278 # DEPENDENCYPART_ARC
(19,18),0.017916 # DEPENDENCYPART_ARC
(19,20),3.2705 # DEPENDENCYPART_ARC
(19,21),1.49311 # DEPENDENCYPART_ARC
(19,22),0.225667 # DEPENDENCYPART_ARC
(19,23),-0.241721 # DEPENDENCYPART_ARC
(19,24),0.462048 # DEPENDENCYPART_ARC
(19,25),-0.690146 # DEPENDENCYPART_ARC
(19,26),-0.207598 # DEPENDENCYPART_ARC
(19,27),-0.412116 # DEPENDENCYPART_ARC
(20,1),-2.16078 # DEPENDENCYPART_ARC
(20,2),-2.55167 # DEPENDENCYPART_ARC
(20,3),-2.54111 # DEPENDENCYPART_ARC
(20,4),-2.24246 # DEPENDENCYPART_ARC
(20,5),-2.56909 # DEPENDENCYPART_ARC
(20,6),-2.12421 # DEPENDENCYPART_ARC
(20,7),-2.40128 # DEPENDENCYPART_ARC
(20,8),-2.18097 # DEPENDENCYPART_ARC
(20,9),-2.13503 # DEPENDENCYPART_ARC
(20,10),-1.91051 # DEPENDENCYPART_ARC
(20,11),-2.14415 # DEPENDENCYPART_ARC
(20,12),-2.30848 # DEPENDENCYPART_ARC
(20,13),-1.71764 # DEPENDENCYPART_ARC
(20,14),-1.90654 # DEPENDENCYPART_ARC
(20,15),-2.20277 # DEPENDENCYPART_ARC
(20,16),-2.06213 # DEPENDENCYPART_ARC
(20,17),-1.56736 # DEPENDENCYPART_ARC
(20,18),-1.04225 # DEPENDENCYPART_ARC
(20,19),-0.485844 # DEPENDENCYPART_ARC
(20,21),3.11716 # DEPENDENCYPART_ARC
(20,22),1.05033 # DEPENDENCYPART_ARC
(20,23),0.695929 # DEPENDENCYPART_ARC
(20,24),0.617885 # DEPENDENCYPART_ARC
(20,25),0.200251 # DEPENDENCYPART_ARC
(20,26),-0.460891 # DEPENDENCYPART_ARC
(20,27),-0.305547 # DEPENDENCYPART_ARC
(21,1),-2.77907 # DEPENDENCYPART_ARC
(21,2),-1.279 # DEPENDENCYPART_ARC
(21,3),-1.2935 # DEPENDENCYPART_ARC
(21,4),-1.89233 # DEPENDENCYPART_ARC
(21,5),-0.843399 # DEPENDENCYPART_ARC
(21,6),-2.66725 # DEPENDENCYPART_ARC
(21,7),-1.32751 # DEPENDENCYPART_ARC
(21,8),-3.3239 # DEPENDENCYPART_ARC
(21,9),-1.99522 # DEPENDENCYPART_ARC
(21,10),-1.958 # DEPENDENCYPART_ARC
(21,11),-1.57876 # DEPENDENCYPART_ARC
(21,12),-1.2806 # DEPENDENCYPART_ARC
(21,13),-0.807088 # DEPENDENCYPART_ARC
(21,14),-1.26668 # DEPENDENCYPART_ARC
(21,15),-1.24173 # DEPENDENCYPART_ARC
(21,16),-1.31234 # DEPENDENCYPART_ARC
(21,17),-1.05077 # DEPENDENCYPART_ARC
(21,18),-2.27224 # DEPENDENCYPART_ARC
(21,19),0.580324 # DEPENDENCYPART_ARC
(21,20),0.873043 # DEPENDENCYPART_ARC
(21,22),3.34872 # DEPENDENCYPART_ARC
(21,23),0.198477 # DEPENDENCYPART_ARC
(21,24),1.12526 # DEPENDENCYPART_ARC
(21,25),0.372267 # DEPENDENCYPART_ARC
(21,26),0.136186 # DEPENDENCYPART_ARC
(21,27),-0.599329 # DEPENDENCYPART_ARC
(22,1),-2.76486 # DEPENDENCYPART_ARC
(22,2),-2.06907 # DEPENDENCYPART_ARC
(22,3),-2.02324 # DEPENDENCYPART_ARC
(22,5),-3.11608 # DEPENDENCYPART_ARC
(22,6),-2.50085 # DEPENDENCYPART_ARC
(22,7),-2.16935 # DEPENDENCYPART_ARC
(22,8),-2.15852 # DEPENDENCYPART_ARC
(22,9),-1.8921 # DEPENDENCYPART_ARC
(22,10),-2.19613 # DEPENDENCYPART_ARC
(22,11),-2.01407 # DEPENDENCYPART_ARC
(22,12),-3.2504 # DEPENDENCYPART_ARC
(22,13),-1.65761 # DEPENDENCYPART_ARC
(22,16),-1.97782 # DEPENDENCYPART_ARC
(22,17),-2.87622 # DEPENDENCYPART_ARC
(22,18),-1.61538 # DEPENDENCYPART_ARC
(22,19),-3.10539 # DEPENDENCYPART_ARC
(22,20),-0.74292 # DEPENDENCYPART_ARC
(22,21),-0.588192 # DEPENDENCYPART_ARC
(22,23),-0.0527936 # DEPENDENCYPART_ARC
(22,24),-2.44733 # DEPENDENCYPART_ARC
(22,25),-1.21505 # DEPENDENCYPART_ARC
(22,26),-1.02484 # DEPENDENCYPART_ARC
(22,27),-0.768166 # DEPENDENCYPART_ARC
