# _root_ Interferiscono sull' attività renale ed epatica , favoriscono il diabete , promuovono la decalcificazione delle ossa .
#goldHeads=0,1,2,3,4,4,1,1,10,8,1,1,14,12,14,15,16,
#predictedHeads=0,1,2,3,4,4,6,1,10,8,10,1,14,12,14,15,16,
(3,14),-1.10595 # DEPENDENCYPART_ARC
(3,15),-0.697399 # DEPENDENCYPART_ARC
(3,16),-0.530949 # DEPENDENCYPART_ARC
(3,17),-1.63811 # DEPENDENCYPART_ARC
(4,1),-2.20953 # DEPENDENCYPART_ARC
(4,2),-0.318465 # DEPENDENCYPART_ARC
(4,3),0.362219 # DEPENDENCYPART_ARC
(4,5),1.7907 # DEPENDENCYPART_ARC
(4,6),2.0086 # DEPENDENCYPART_ARC
(4,7),0.514126 # DEPENDENCYPART_ARC
(4,8),-0.690443 # DEPENDENCYPART_ARC
(4,9),-1.22635 # DEPENDENCYPART_ARC
(4,10),-0.758819 # DEPENDENCYPART_ARC
(4,11),-0.40495 # DEPENDENCYPART_ARC
(4,12),-1.51207 # DEPENDENCYPART_ARC
(4,13),-1.38403 # DEPENDENCYPART_ARC
(4,14),-1.47473 # DEPENDENCYPART_ARC
(4,15),-0.8803 # DEPENDENCYPART_ARC
(4,16),-1.51044 # DEPENDENCYPART_ARC
(4,17),-1.47996 # DEPENDENCYPART_ARC
(5,1),-2.21276 # DEPENDENCYPART_ARC
(5,2),-0.972642 # DEPENDENCYPART_ARC
(5,3),-1.24921 # DEPENDENCYPART_ARC
(5,4),-0.325256 # DEPENDENCYPART_ARC
(5,6),0.294209 # DEPENDENCYPART_ARC
(5,7),-0.0255929 # DEPENDENCYPART_ARC
(5,8),-0.0764145 # DEPENDENCYPART_ARC
(5,10),-1.55593 # DEPENDENCYPART_ARC
(5,11),-0.727062 # DEPENDENCYPART_ARC
(5,12),-1.30051 # DEPENDENCYPART_ARC
(5,14),-1.94527 # DEPENDENCYPART_ARC
(5,15),-1.83181 # DEPENDENCYPART_ARC
(5,16),-1.8026 # DEPENDENCYPART_ARC
(5,17),-1.51204 # DEPENDENCYPART_ARC
(6,1),-2.79371 # DEPENDENCYPART_ARC
(6,2),-1.55761 # DEPENDENCYPART_ARC
(6,3),-1.43826 # DEPENDENCYPART_ARC
(6,4),-0.434811 # DEPENDENCYPART_ARC
(6,5),0.468841 # DEPENDENCYPART_ARC
(6,7),2.1366 # DEPENDENCYPART_ARC
(6,8),-0.928553 # DEPENDENCYPART_ARC
(6,9),-1.14645 # DEPENDENCYPART_ARC
(6,10),-1.01508 # DEPENDENCYPART_ARC
(6,11),-0.333307 # DEPENDENCYPART_ARC
(6,12),-1.97695 # DEPENDENCYPART_ARC
(6,13),-1.33888 # DEPENDENCYPART_ARC
(6,14),-1.58413 # DEPENDENCYPART_ARC
(6,15),-1.07828 # DEPENDENCYPART_ARC
(6,16),-1.41294 # DEPENDENCYPART_ARC
(6,17),-1.22228 # DEPENDENCYPART_ARC
(7,9),-0.987268 # DEPENDENCYPART_ARC
(7,11),-0.853663 # DEPENDENCYPART_ARC
(7,13),-1.45252 # DEPENDENCYPART_ARC
(7,17),-1.22232 # DEPENDENCYPART_ARC
(8,1),-0.834549 # DEPENDENCYPART_ARC
(8,2),-0.274425 # DEPENDENCYPART_ARC
(8,3),-0.0596199 # DEPENDENCYPART_ARC
(8,4),-0.981107 # DEPENDENCYPART_ARC
(8,5),0.424387 # DEPENDENCYPART_ARC
(8,6),0.269413 # DEPENDENCYPART_ARC
(8,7),0.192711 # DEPENDENCYPART_ARC
(8,9),-0.270142 # DEPENDENCYPART_ARC
(8,10),2.39165 # DEPENDENCYPART_ARC
(8,11),1.20241 # DEPENDENCYPART_ARC
(8,12),0.952376 # DEPENDENCYPART_ARC
(8,13),-2.00501 # DEPENDENCYPART_ARC
(8,14),0.121861 # DEPENDENCYPART_ARC
(8,15),-0.411805 # DEPENDENCYPART_ARC
(8,16),-0.221845 # DEPENDENCYPART_ARC
(8,17),-0.53736 # DEPENDENCYPART_ARC
(9,1),-3.51756 # DEPENDENCYPART_ARC
(9,2),-2.64963 # DEPENDENCYPART_ARC
(9,3),-3.13892 # DEPENDENCYPART_ARC
(9,7),-0.997837 # DEPENDENCYPART_ARC
(9,8),-1.23869 # DEPENDENCYPART_ARC
(9,10),1.01751 # DEPENDENCYPART_ARC
(9,11),-0.466306 # DEPENDENCYPART_ARC
(9,12),-1.06133 # DEPENDENCYPART_ARC
(9,14),-1.03 # DEPENDENCYPART_ARC
(9,15),-0.716496 # DEPENDENCYPART_ARC
(9,16),-1.41395 # DEPENDENCYPART_ARC
(9,17),-1.17963 # DEPENDENCYPART_ARC
(10,1),-2.24195 # DEPENDENCYPART_ARC
(10,2),-1.08979 # DEPENDENCYPART_ARC
(10,3),-2.30386 # DEPENDENCYPART_ARC
(10,4),-1.0226 # DEPENDENCYPART_ARC
(10,5),-0.821344 # DEPENDENCYPART_ARC
(10,6),-0.795105 # DEPENDENCYPART_ARC
(10,7),-1.57421 # DEPENDENCYPART_ARC
(10,8),-0.514046 # DEPENDENCYPART_ARC
(10,9),3.2438 # DEPENDENCYPART_ARC
(10,11),2.10571 # DEPENDENCYPART_ARC
(10,12),0.0933879 # DEPENDENCYPART_ARC
(10,13),-0.461199 # DEPENDENCYPART_ARC
(10,14),-0.0100442 # DEPENDENCYPART_ARC
(10,15),0.179589 # DEPENDENCYPART_ARC
(10,16),-0.41594 # DEPENDENCYPART_ARC
(10,17),-0.291941 # DEPENDENCYPART_ARC
(11,7),-1.66797 # DEPENDENCYPART_ARC
(11,9),-0.339966 # DEPENDENCYPART_ARC
(11,13),-1.21509 # DEPENDENCYPART_ARC
(11,17),-1.21008 # DEPENDENCYPART_ARC
(12,1),-1.86747 # DEPENDENCYPART_ARC
(12,2),-0.640168 # DEPENDENCYPART_ARC
(12,3),-0.251935 # DEPENDENCYPART_ARC
(12,4),-1.3214 # DEPENDENCYPART_ARC
(12,5),-0.145079 # DEPENDENCYPART_ARC
(12,6),-0.695121 # DEPENDENCYPART_ARC
(12,7),-1.80238 # DEPENDENCYPART_ARC
(12,8),-0.0695153 # DEPENDENCYPART_ARC
(12,9),-0.74811 # DEPENDENCYPART_ARC
(12,10),0.474875 # DEPENDENCYPART_ARC
(12,11),-0.0832443 # DEPENDENCYPART_ARC
(12,13),-0.302236 # DEPENDENCYPART_ARC
(12,14),2.59372 # DEPENDENCYPART_ARC
(12,15),1.01917 # DEPENDENCYPART_ARC
(12,16),1.27715 # DEPENDENCYPART_ARC
(12,17),-0.198444 # DEPENDENCYPART_ARC
(13,1),-3.43275 # DEPENDENCYPART_ARC
(13,2),-2.9388 # DEPENDENCYPART_ARC
(13,3),-2.876 # DEPENDENCYPART_ARC
(13,7),-1.90401 # DEPENDENCYPART_ARC
(13,8),-3.24715 # DEPENDENCYPART_ARC
(13,10),-2.1376 # DEPENDENCYPART_ARC
(13,11),-0.99421 # DEPENDENCYPART_ARC
(13,12),-1.13314 # DEPENDENCYPART_ARC
(13,14),1.16343 # DEPENDENCYPART_ARC
(13,15),0.371131 # DEPENDENCYPART_ARC
(13,16),-0.226948 # DEPENDENCYPART_ARC
(13,17),-0.516068 # DEPENDENCYPART_ARC
(14,1),-2.24201 # DEPENDENCYPART_ARC
(14,2),-1.14084 # DEPENDENCYPART_ARC
(14,3),-2.55098 # DEPENDENCYPART_ARC
(14,4),-1.2231 # DEPENDENCYPART_ARC
(14,5),-1.04627 # DEPENDENCYPART_ARC
(14,6),-1.22217 # DEPENDENCYPART_ARC
(14,7),-2.51669 # DEPENDENCYPART_ARC
(14,8),-2.05903 # DEPENDENCYPART_ARC
(14,9),-0.505663 # DEPENDENCYPART_ARC
(14,10),-2.56259 # DEPENDENCYPART_ARC
(14,11),-1.60423 # DEPENDENCYPART_ARC
(14,12),-0.435787 # DEPENDENCYPART_ARC
(14,13),3.26559 # DEPENDENCYPART_ARC
(14,15),2.61471 # DEPENDENCYPART_ARC
(14,16),0.944449 # DEPENDENCYPART_ARC
(14,17),0.122226 # DEPENDENCYPART_ARC
(15,1),-3.45113 # DEPENDENCYPART_ARC
(15,2),-2.20979 # DEPENDENCYPART_ARC
(15,3),-2.78898 # DEPENDENCYPART_ARC
(15,4),-2.88336 # DEPENDENCYPART_ARC
(15,5),-1.26371 # DEPENDENCYPART_ARC
(15,6),-2.61599 # DEPENDENCYPART_ARC
(15,7),-1.98161 # DEPENDENCYPART_ARC
(15,8),-3.16253 # DEPENDENCYPART_ARC
(15,9),-2.135 # DEPENDENCYPART_ARC
(15,10),-2.67862 # DEPENDENCYPART_ARC
(15,11),-1.63679 # DEPENDENCYPART_ARC
(15,12),-2.46549 # DEPENDENCYPART_ARC
(15,13),-0.849401 # DEPENDENCYPART_ARC
(15,14),-1.01345 # DEPENDENCYPART_ARC
(15,16),4.81027 # DEPENDENCYPART_ARC
(15,17),-0.115044 # DEPENDENCYPART_ARC
(16,1),-3.9242 # DEPENDENCYPART_ARC
(16,2),-2.77657 # DEPENDENCYPART_ARC
(16,3),-2.6463 # DEPENDENCYPART_ARC
(16,4),-3.08482 # DEPENDENCYPART_ARC
(16,5),-2.12145 # DEPENDENCYPART_ARC
(16,6),-2.95712 # DEPENDENCYPART_ARC
(16,7),-3.29754 # DEPENDENCYPART_ARC
(16,8),-3.54402 # DEPENDENCYPART_ARC
(16,9),-2.72403 # DEPENDENCYPART_ARC
(16,10),-3.88443 # DEPENDENCYPART_ARC
(16,11),-2.77367 # DEPENDENCYPART_ARC
(16,12),-3.03438 # DEPENDENCYPART_ARC
(16,13),-0.309311 # DEPENDENCYPART_ARC
(16,14),-1.47996 # DEPENDENCYPART_ARC
(16,15),0.611257 # DEPENDENCYPART_ARC
(16,17),2.52378 # DEPENDENCYPART_ARC
(17,7),-1.88782 # DEPENDENCYPART_ARC
(17,9),-1.57653 # DEPENDENCYPART_ARC
(17,11),-1.73419 # DEPENDENCYPART_ARC
(17,13),-1.09785 # DEPENDENCYPART_ARC
