# _root_ Trascorrevo i giorni su una sedia a rotelle , mi mancava il fiato per riposare , pesavo 46 chili .
#goldHeads=0,3,1,1,6,4,6,7,1,11,1,13,11,13,14,1,1,19,17,19,
#predictedHeads=0,3,1,1,6,1,6,7,8,11,6,13,11,11,14,15,15,19,17,19,
(4,11),-0.679373 # DEPENDENCYPART_ARC
(4,12),-0.958827 # DEPENDENCYPART_ARC
(4,13),-1.50114 # DEPENDENCYPART_ARC
(4,14),-1.12019 # DEPENDENCYPART_ARC
(4,15),-1.03293 # DEPENDENCYPART_ARC
(4,16),-0.918696 # DEPENDENCYPART_ARC
(4,17),-1.47568 # DEPENDENCYPART_ARC
(4,18),-1.30622 # DEPENDENCYPART_ARC
(4,19),-1.87302 # DEPENDENCYPART_ARC
(4,20),-1.54459 # DEPENDENCYPART_ARC
(5,7),0.199526 # DEPENDENCYPART_ARC
(5,9),-0.13232 # DEPENDENCYPART_ARC
(5,14),-0.738007 # DEPENDENCYPART_ARC
(5,16),-0.557182 # DEPENDENCYPART_ARC
(5,20),-1.09563 # DEPENDENCYPART_ARC
(6,1),-1.45974 # DEPENDENCYPART_ARC
(6,2),0.223945 # DEPENDENCYPART_ARC
(6,3),-0.84786 # DEPENDENCYPART_ARC
(6,4),0.79359 # DEPENDENCYPART_ARC
(6,5),3.6212 # DEPENDENCYPART_ARC
(6,7),2.29913 # DEPENDENCYPART_ARC
(6,8),1.07973 # DEPENDENCYPART_ARC
(6,9),0.739223 # DEPENDENCYPART_ARC
(6,10),-0.295463 # DEPENDENCYPART_ARC
(6,11),1.14492 # DEPENDENCYPART_ARC
(6,12),-0.604616 # DEPENDENCYPART_ARC
(6,13),0.215921 # DEPENDENCYPART_ARC
(6,14),-0.115469 # DEPENDENCYPART_ARC
(6,15),-0.0727878 # DEPENDENCYPART_ARC
(6,16),0.0670438 # DEPENDENCYPART_ARC
(6,17),-1.15266 # DEPENDENCYPART_ARC
(6,18),-0.846249 # DEPENDENCYPART_ARC
(6,19),-1.15481 # DEPENDENCYPART_ARC
(6,20),-1.91366 # DEPENDENCYPART_ARC
(7,1),-2.29366 # DEPENDENCYPART_ARC
(7,2),-1.31188 # DEPENDENCYPART_ARC
(7,3),-1.54352 # DEPENDENCYPART_ARC
(7,4),-0.303238 # DEPENDENCYPART_ARC
(7,5),-0.396088 # DEPENDENCYPART_ARC
(7,6),-0.304917 # DEPENDENCYPART_ARC
(7,8),4.44113 # DEPENDENCYPART_ARC
(7,9),0.0368703 # DEPENDENCYPART_ARC
(7,10),-0.257188 # DEPENDENCYPART_ARC
(7,11),-0.858953 # DEPENDENCYPART_ARC
(7,12),-1.39717 # DEPENDENCYPART_ARC
(7,13),-2.52655 # DEPENDENCYPART_ARC
(7,14),-1.71554 # DEPENDENCYPART_ARC
(7,15),-1.27714 # DEPENDENCYPART_ARC
(7,16),-0.787751 # DEPENDENCYPART_ARC
(7,17),-2.22074 # DEPENDENCYPART_ARC
(7,18),-1.90651 # DEPENDENCYPART_ARC
(7,19),-4.09097 # DEPENDENCYPART_ARC
(7,20),-1.96556 # DEPENDENCYPART_ARC
(8,1),-3.48592 # DEPENDENCYPART_ARC
(8,2),-0.896271 # DEPENDENCYPART_ARC
(8,3),-1.34335 # DEPENDENCYPART_ARC
(8,4),-0.862715 # DEPENDENCYPART_ARC
(8,5),-0.244972 # DEPENDENCYPART_ARC
(8,6),-1.40131 # DEPENDENCYPART_ARC
(8,7),0.528117 # DEPENDENCYPART_ARC
(8,9),1.93116 # DEPENDENCYPART_ARC
(8,10),-1.05264 # DEPENDENCYPART_ARC
(8,11),-0.0441347 # DEPENDENCYPART_ARC
(8,12),-1.23515 # DEPENDENCYPART_ARC
(8,13),-1.27027 # DEPENDENCYPART_ARC
(8,14),-1.078 # DEPENDENCYPART_ARC
(8,15),-0.633397 # DEPENDENCYPART_ARC
(8,16),-0.508506 # DEPENDENCYPART_ARC
(8,17),-2.0873 # DEPENDENCYPART_ARC
(8,18),-1.35669 # DEPENDENCYPART_ARC
(8,19),-1.22084 # DEPENDENCYPART_ARC
(8,20),-1.59853 # DEPENDENCYPART_ARC
(9,2),-1.43457 # DEPENDENCYPART_ARC
(9,5),-1.06556 # DEPENDENCYPART_ARC
(9,12),-1.36961 # DEPENDENCYPART_ARC
(9,16),-1.27284 # DEPENDENCYPART_ARC
(9,20),-1.66419 # DEPENDENCYPART_ARC
(10,1),-3.57223 # DEPENDENCYPART_ARC
(10,3),-2.45227 # DEPENDENCYPART_ARC
(10,4),-1.44469 # DEPENDENCYPART_ARC
(10,6),-1.89338 # DEPENDENCYPART_ARC
(10,7),-0.618386 # DEPENDENCYPART_ARC
(10,8),-1.93619 # DEPENDENCYPART_ARC
(10,9),0.36314 # DEPENDENCYPART_ARC
(10,11),-0.42328 # DEPENDENCYPART_ARC
(10,13),-0.681719 # DEPENDENCYPART_ARC
(10,14),-1.42662 # DEPENDENCYPART_ARC
(10,15),-1.36182 # DEPENDENCYPART_ARC
(10,16),-1.1509 # DEPENDENCYPART_ARC
(10,17),-2.95736 # DEPENDENCYPART_ARC
(10,18),-1.42808 # DEPENDENCYPART_ARC
(10,19),-1.39084 # DEPENDENCYPART_ARC
(10,20),-1.51729 # DEPENDENCYPART_ARC
(11,1),-0.988243 # DEPENDENCYPART_ARC
(11,2),-0.486319 # DEPENDENCYPART_ARC
(11,3),0.0283052 # DEPENDENCYPART_ARC
(11,4),0.313054 # DEPENDENCYPART_ARC
(11,5),-0.555696 # DEPENDENCYPART_ARC
(11,6),0.980262 # DEPENDENCYPART_ARC
(11,7),0.323586 # DEPENDENCYPART_ARC
(11,8),-0.42692 # DEPENDENCYPART_ARC
(11,9),-0.75575 # DEPENDENCYPART_ARC
(11,10),3.18653 # DEPENDENCYPART_ARC
(11,12),-0.0204345 # DEPENDENCYPART_ARC
(11,13),2.7168 # DEPENDENCYPART_ARC
(11,14),1.95944 # DEPENDENCYPART_ARC
(11,15),0.816802 # DEPENDENCYPART_ARC
(11,16),1.0216 # DEPENDENCYPART_ARC
(11,17),0.974051 # DEPENDENCYPART_ARC
(11,18),-0.641133 # DEPENDENCYPART_ARC
(11,19),-0.186165 # DEPENDENCYPART_ARC
(11,20),-0.599553 # DEPENDENCYPART_ARC
(12,1),-3.58962 # DEPENDENCYPART_ARC
(12,3),-2.64443 # DEPENDENCYPART_ARC
(12,6),-3.22249 # DEPENDENCYPART_ARC
(12,7),-1.93454 # DEPENDENCYPART_ARC
(12,8),-2.77382 # DEPENDENCYPART_ARC
(12,9),-1.44343 # DEPENDENCYPART_ARC
(12,11),-1.04702 # DEPENDENCYPART_ARC
(12,13),0.980753 # DEPENDENCYPART_ARC
(12,14),-0.19262 # DEPENDENCYPART_ARC
(12,15),-0.809525 # DEPENDENCYPART_ARC
(12,16),-0.928747 # DEPENDENCYPART_ARC
(12,17),-1.52154 # DEPENDENCYPART_ARC
(12,18),-1.11578 # DEPENDENCYPART_ARC
(12,19),-1.32968 # DEPENDENCYPART_ARC
(12,20),-1.16947 # DEPENDENCYPART_ARC
(13,1),-2.20123 # DEPENDENCYPART_ARC
(13,2),-1.67801 # DEPENDENCYPART_ARC
(13,3),-2.01473 # DEPENDENCYPART_ARC
(13,4),-1.11605 # DEPENDENCYPART_ARC
(13,5),-1.50308 # DEPENDENCYPART_ARC
(13,6),-3.25476 # DEPENDENCYPART_ARC
(13,7),-0.802951 # DEPENDENCYPART_ARC
(13,8),-2.12403 # DEPENDENCYPART_ARC
(13,9),-1.95731 # DEPENDENCYPART_ARC
(13,10),-0.42884 # DEPENDENCYPART_ARC
(13,11),-0.774917 # DEPENDENCYPART_ARC
(13,12),3.19559 # DEPENDENCYPART_ARC
(13,14),1.73373 # DEPENDENCYPART_ARC
(13,15),0.915492 # DEPENDENCYPART_ARC
(13,16),0.319493 # DEPENDENCYPART_ARC
(13,17),-1.17854 # DEPENDENCYPART_ARC
(13,18),-0.304981 # DEPENDENCYPART_ARC
(13,19),-0.410927 # DEPENDENCYPART_ARC
(13,20),-0.631287 # DEPENDENCYPART_ARC
(14,1),-2.65573 # DEPENDENCYPART_ARC
(14,2),-1.97059 # DEPENDENCYPART_ARC
(14,3),-2.40967 # DEPENDENCYPART_ARC
(14,4),-1.56391 # DEPENDENCYPART_ARC
(14,5),-1.8731 # DEPENDENCYPART_ARC
(14,6),-2.30483 # DEPENDENCYPART_ARC
(14,7),-1.02956 # DEPENDENCYPART_ARC
(14,8),-2.09639 # DEPENDENCYPART_ARC
(14,9),-1.85541 # DEPENDENCYPART_ARC
(14,10),-1.65205 # DEPENDENCYPART_ARC
(14,11),-1.79518 # DEPENDENCYPART_ARC
(14,12),-0.56119 # DEPENDENCYPART_ARC
(14,13),-0.329081 # DEPENDENCYPART_ARC
(14,15),3.60815 # DEPENDENCYPART_ARC
(14,16),0.43482 # DEPENDENCYPART_ARC
(14,17),0.911553 # DEPENDENCYPART_ARC
(14,18),-0.238528 # DEPENDENCYPART_ARC
(14,19),0.375063 # DEPENDENCYPART_ARC
(14,20),-0.317207 # DEPENDENCYPART_ARC
(15,1),-3.19604 # DEPENDENCYPART_ARC
(15,2),-1.98488 # DEPENDENCYPART_ARC
(15,3),-1.77313 # DEPENDENCYPART_ARC
(15,4),-1.87764 # DEPENDENCYPART_ARC
(15,5),-1.78343 # DEPENDENCYPART_ARC
(15,6),-1.54915 # DEPENDENCYPART_ARC
(15,7),-2.11292 # DEPENDENCYPART_ARC
(15,8),-2.21326 # DEPENDENCYPART_ARC
(15,9),-3.26501 # DEPENDENCYPART_ARC
(15,10),-0.247883 # DEPENDENCYPART_ARC
(15,11),-1.7829 # DEPENDENCYPART_ARC
(15,12),-1.08964 # DEPENDENCYPART_ARC
(15,13),-0.542324 # DEPENDENCYPART_ARC
(15,14),0.0278205 # DEPENDENCYPART_ARC
(15,16),1.9588 # DEPENDENCYPART_ARC
(15,17),1.43138 # DEPENDENCYPART_ARC
(15,18),0.03503 # DEPENDENCYPART_ARC
(15,19),1.00459 # DEPENDENCYPART_ARC
(15,20),-0.230229 # DEPENDENCYPART_ARC
(16,2),-1.93194 # DEPENDENCYPART_ARC
(16,5),-1.9178 # DEPENDENCYPART_ARC
(16,9),-1.93321 # DEPENDENCYPART_ARC
(16,12),-1.29252 # DEPENDENCYPART_ARC
(16,20),-0.970948 # DEPENDENCYPART_ARC
(17,1),-3.8268 # DEPENDENCYPART_ARC
(17,2),-1.20103 # DEPENDENCYPART_ARC
(17,3),-1.54203 # DEPENDENCYPART_ARC
(17,4),-0.807095 # DEPENDENCYPART_ARC
(17,5),-1.19583 # DEPENDENCYPART_ARC
(17,6),-0.975354 # DEPENDENCYPART_ARC
(17,7),-0.672206 # DEPENDENCYPART_ARC
(17,8),-1.63658 # DEPENDENCYPART_ARC
(17,9),-2.17403 # DEPENDENCYPART_ARC
(17,10),0.393783 # DEPENDENCYPART_ARC
(17,11),-3.87212 # DEPENDENCYPART_ARC
(17,12),-1.03724 # DEPENDENCYPART_ARC
(17,13),0.276964 # DEPENDENCYPART_ARC
(17,14),0.515589 # DEPENDENCYPART_ARC
(17,15),1.06257 # DEPENDENCYPART_ARC
(17,16),0.468848 # DEPENDENCYPART_ARC
(17,18),0.974942 # DEPENDENCYPART_ARC
(17,19),2.2701 # DEPENDENCYPART_ARC
(17,20),0.430894 # DEPENDENCYPART_ARC
(18,1),-2.47291 # DEPENDENCYPART_ARC
(18,2),-1.32588 # DEPENDENCYPART_ARC
(18,3),-2.3281 # DEPENDENCYPART_ARC
(18,4),-1.74925 # DEPENDENCYPART_ARC
(18,5),-1.17347 # DEPENDENCYPART_ARC
(18,6),-2.18853 # DEPENDENCYPART_ARC
(18,7),-1.92963 # DEPENDENCYPART_ARC
(18,8),-2.14814 # DEPENDENCYPART_ARC
(18,9),-1.62735 # DEPENDENCYPART_ARC
(18,11),-2.15704 # DEPENDENCYPART_ARC
(18,12),-0.617623 # DEPENDENCYPART_ARC
(18,13),-1.68838 # DEPENDENCYPART_ARC
(18,14),-0.941546 # DEPENDENCYPART_ARC
(18,15),-1.57415 # DEPENDENCYPART_ARC
(18,16),-0.473139 # DEPENDENCYPART_ARC
(18,17),0.0452724 # DEPENDENCYPART_ARC
(18,19),0.691089 # DEPENDENCYPART_ARC
(18,20),-0.0599814 # DEPENDENCYPART_ARC
(19,1),-2.81769 # DEPENDENCYPART_ARC
(19,2),-1.54619 # DEPENDENCYPART_ARC
(19,3),-0.917076 # DEPENDENCYPART_ARC
(19,4),-0.78486 # DEPENDENCYPART_ARC
(19,5),-3.13486 # DEPENDENCYPART_ARC
(19,6),-2.75319 # DEPENDENCYPART_ARC
(19,7),-1.36441 # DEPENDENCYPART_ARC
(19,8),-1.43182 # DEPENDENCYPART_ARC
(19,9),-2.32057 # DEPENDENCYPART_ARC
(19,10),-1.79444 # DEPENDENCYPART_ARC
(19,11),-2.89149 # DEPENDENCYPART_ARC
(19,12),-1.04053 # DEPENDENCYPART_ARC
(19,13),-1.54174 # DEPENDENCYPART_ARC
(19,14),-0.38103 # DEPENDENCYPART_ARC
(19,15),-1.38096 # DEPENDENCYPART_ARC
(19,16),-1.24059 # DEPENDENCYPART_ARC
(19,17),-0.816657 # DEPENDENCYPART_ARC
(19,18),2.57412 # DEPENDENCYPART_ARC
(19,20),2.61308 # DEPENDENCYPART_ARC
(20,2),-1.84301 # DEPENDENCYPART_ARC
(20,5),-1.82924 # DEPENDENCYPART_ARC
(20,9),-2.02004 # DEPENDENCYPART_ARC
(20,12),-1.57055 # DEPENDENCYPART_ARC
(20,16),-1.51706 # DEPENDENCYPART_ARC
