# _root_ La top_ten prosegue con 10 chilometri di coda , sempre nel Veronese , fra Peschiera e Sommacampagna e altrettanti nell' innesto tra l' A / 1 e l' A / 4 nel Bolognese .
#goldHeads=2,3,0,3,6,4,6,7,8,11,8,11,12,3,14,14,14,6,6,19,20,21,24,22,24,25,24,29,24,29,30,21,32,33,
#predictedHeads=2,3,0,3,6,4,6,7,8,11,3,11,12,11,14,15,15,11,15,19,20,21,24,22,24,25,24,29,24,29,30,29,32,33,
(2,27),-0.649183 # DEPENDENCYPART_ARC
(2,28),-0.80818 # DEPENDENCYPART_ARC
(2,29),-0.560368 # DEPENDENCYPART_ARC
(2,30),-0.775132 # DEPENDENCYPART_ARC
(2,31),-1.87397 # DEPENDENCYPART_ARC
(2,32),-0.261943 # DEPENDENCYPART_ARC
(2,33),-2.86386 # DEPENDENCYPART_ARC
(2,34),-5.50057 # DEPENDENCYPART_ARC
(3,1),0.532156 # DEPENDENCYPART_ARC
(3,2),2.90583 # DEPENDENCYPART_ARC
(3,4),2.47019 # DEPENDENCYPART_ARC
(3,5),0.177156 # DEPENDENCYPART_ARC
(3,6),1.0517 # DEPENDENCYPART_ARC
(3,7),0.101061 # DEPENDENCYPART_ARC
(3,8),0.0958512 # DEPENDENCYPART_ARC
(3,9),0.386497 # DEPENDENCYPART_ARC
(3,10),-0.847898 # DEPENDENCYPART_ARC
(3,11),0.368715 # DEPENDENCYPART_ARC
(3,12),-1.00229 # DEPENDENCYPART_ARC
(3,13),-0.270463 # DEPENDENCYPART_ARC
(3,14),0.256746 # DEPENDENCYPART_ARC
(3,15),-1.28836 # DEPENDENCYPART_ARC
(3,16),-0.233899 # DEPENDENCYPART_ARC
(3,17),-1.51462 # DEPENDENCYPART_ARC
(3,18),0.0486111 # DEPENDENCYPART_ARC
(3,19),-0.890311 # DEPENDENCYPART_ARC
(3,20),-0.913394 # DEPENDENCYPART_ARC
(3,21),-2.81141 # DEPENDENCYPART_ARC
(3,22),-1.31861 # DEPENDENCYPART_ARC
(3,23),-1.98565 # DEPENDENCYPART_ARC
(3,24),-2.18321 # DEPENDENCYPART_ARC
(3,25),-0.133067 # DEPENDENCYPART_ARC
(3,26),-1.40654 # DEPENDENCYPART_ARC
(3,27),-1.16541 # DEPENDENCYPART_ARC
(3,28),-2.27378 # DEPENDENCYPART_ARC
(3,29),-2.4967 # DEPENDENCYPART_ARC
(3,30),-0.193873 # DEPENDENCYPART_ARC
(3,31),-1.44031 # DEPENDENCYPART_ARC
(3,32),-1.30554 # DEPENDENCYPART_ARC
(3,33),-2.95739 # DEPENDENCYPART_ARC
(3,34),-4.4744 # DEPENDENCYPART_ARC
(4,1),-1.24373 # DEPENDENCYPART_ARC
(4,2),-1.39383 # DEPENDENCYPART_ARC
(4,3),-0.509106 # DEPENDENCYPART_ARC
(4,5),1.38752 # DEPENDENCYPART_ARC
(4,6),2.9234 # DEPENDENCYPART_ARC
(4,7),-0.381927 # DEPENDENCYPART_ARC
(4,8),0.850233 # DEPENDENCYPART_ARC
(4,9),-0.0122281 # DEPENDENCYPART_ARC
(4,10),-0.498078 # DEPENDENCYPART_ARC
(4,11),-0.330627 # DEPENDENCYPART_ARC
(4,12),-0.226143 # DEPENDENCYPART_ARC
(4,13),0.220064 # DEPENDENCYPART_ARC
(4,14),-0.727975 # DEPENDENCYPART_ARC
(4,15),-1.19517 # DEPENDENCYPART_ARC
(4,16),-0.572588 # DEPENDENCYPART_ARC
(4,17),-2.56998 # DEPENDENCYPART_ARC
(4,18),-0.620358 # DEPENDENCYPART_ARC
(4,19),-1.12876 # DEPENDENCYPART_ARC
(4,20),-0.488776 # DEPENDENCYPART_ARC
(4,21),-3.54091 # DEPENDENCYPART_ARC
(4,22),-0.8015 # DEPENDENCYPART_ARC
(4,23),-1.65089 # DEPENDENCYPART_ARC
(4,24),-5.28528 # DEPENDENCYPART_ARC
(4,25),-1.09774 # DEPENDENCYPART_ARC
(4,26),-1.74124 # DEPENDENCYPART_ARC
(4,27),-1.3311 # DEPENDENCYPART_ARC
(4,28),-1.82405 # DEPENDENCYPART_ARC
(4,29),-6.70437 # DEPENDENCYPART_ARC
(4,30),-1.2041 # DEPENDENCYPART_ARC
(4,31),-1.6539 # DEPENDENCYPART_ARC
(4,32),-0.886214 # DEPENDENCYPART_ARC
(4,33),-0.907995 # DEPENDENCYPART_ARC
(4,34),-2.74065 # DEPENDENCYPART_ARC
(5,1),-0.994532 # DEPENDENCYPART_ARC
(5,2),-1.66078 # DEPENDENCYPART_ARC
(5,3),-1.20967 # DEPENDENCYPART_ARC
(5,4),0.140981 # DEPENDENCYPART_ARC
(5,6),1.73825 # DEPENDENCYPART_ARC
(5,7),0.57576 # DEPENDENCYPART_ARC
(5,8),0.273523 # DEPENDENCYPART_ARC
(5,9),-0.153397 # DEPENDENCYPART_ARC
(5,10),-0.241511 # DEPENDENCYPART_ARC
(5,11),-0.466864 # DEPENDENCYPART_ARC
(5,12),-0.469128 # DEPENDENCYPART_ARC
(5,13),-0.273872 # DEPENDENCYPART_ARC
(5,14),-0.642595 # DEPENDENCYPART_ARC
(5,16),-0.219125 # DEPENDENCYPART_ARC
(5,18),-0.264431 # DEPENDENCYPART_ARC
(5,19),-0.551028 # DEPENDENCYPART_ARC
(5,20),-1.00788 # DEPENDENCYPART_ARC
(5,21),-0.360568 # DEPENDENCYPART_ARC
(5,22),-1.14601 # DEPENDENCYPART_ARC
(5,23),-0.754981 # DEPENDENCYPART_ARC
(5,24),-0.564373 # DEPENDENCYPART_ARC
(5,25),-0.424465 # DEPENDENCYPART_ARC
(5,26),-1.20563 # DEPENDENCYPART_ARC
(5,27),-0.83593 # DEPENDENCYPART_ARC
(5,28),-0.855922 # DEPENDENCYPART_ARC
(5,29),-0.770939 # DEPENDENCYPART_ARC
(5,30),-0.61407 # DEPENDENCYPART_ARC
(5,31),-1.28446 # DEPENDENCYPART_ARC
(5,32),-1.84735 # DEPENDENCYPART_ARC
(5,33),-1.19944 # DEPENDENCYPART_ARC
(5,34),-1.67912 # DEPENDENCYPART_ARC
(6,1),-0.780634 # DEPENDENCYPART_ARC
(6,2),-1.23843 # DEPENDENCYPART_ARC
(6,3),-2.121 # DEPENDENCYPART_ARC
(6,4),0.720103 # DEPENDENCYPART_ARC
(6,5),2.52067 # DEPENDENCYPART_ARC
(6,7),2.15273 # DEPENDENCYPART_ARC
(6,8),0.758659 # DEPENDENCYPART_ARC
(6,9),0.459456 # DEPENDENCYPART_ARC
(6,10),-0.362455 # DEPENDENCYPART_ARC
(6,11),-0.422814 # DEPENDENCYPART_ARC
(6,12),-1.155 # DEPENDENCYPART_ARC
(6,13),0.0818493 # DEPENDENCYPART_ARC
(6,14),-0.373602 # DEPENDENCYPART_ARC
(6,15),-0.431791 # DEPENDENCYPART_ARC
(6,16),0.456723 # DEPENDENCYPART_ARC
(6,17),-0.193968 # DEPENDENCYPART_ARC
(6,18),0.0659634 # DEPENDENCYPART_ARC
(6,19),0.34175 # DEPENDENCYPART_ARC
(6,20),-1.32778 # DEPENDENCYPART_ARC
(6,21),-0.636183 # DEPENDENCYPART_ARC
(6,22),-1.21061 # DEPENDENCYPART_ARC
(6,23),-0.996706 # DEPENDENCYPART_ARC
(6,24),-0.577126 # DEPENDENCYPART_ARC
(6,25),-0.534694 # DEPENDENCYPART_ARC
(6,26),-0.841093 # DEPENDENCYPART_ARC
(6,27),-0.722054 # DEPENDENCYPART_ARC
(6,28),-1.22765 # DEPENDENCYPART_ARC
(6,29),-0.631705 # DEPENDENCYPART_ARC
(6,30),-0.828638 # DEPENDENCYPART_ARC
(6,31),-1.72471 # DEPENDENCYPART_ARC
(6,32),-0.812793 # DEPENDENCYPART_ARC
(6,33),-3.20118 # DEPENDENCYPART_ARC
(6,34),-4.41787 # DEPENDENCYPART_ARC
(7,1),-1.83153 # DEPENDENCYPART_ARC
(7,2),-1.9882 # DEPENDENCYPART_ARC
(7,3),-2.28747 # DEPENDENCYPART_ARC
(7,4),-0.765656 # DEPENDENCYPART_ARC
(7,5),-1.00395 # DEPENDENCYPART_ARC
(7,6),-0.385064 # DEPENDENCYPART_ARC
(7,8),4.20851 # DEPENDENCYPART_ARC
(7,9),0.175821 # DEPENDENCYPART_ARC
(7,10),-0.389154 # DEPENDENCYPART_ARC
(7,11),-0.680561 # DEPENDENCYPART_ARC
(7,12),-0.594179 # DEPENDENCYPART_ARC
(7,13),0.357934 # DEPENDENCYPART_ARC
(7,14),-0.805859 # DEPENDENCYPART_ARC
(7,15),-0.771915 # DEPENDENCYPART_ARC
(7,16),-0.621897 # DEPENDENCYPART_ARC
(7,17),-2.25124 # DEPENDENCYPART_ARC
(7,18),-1.01592 # DEPENDENCYPART_ARC
(7,19),-2.16517 # DEPENDENCYPART_ARC
(7,20),-0.936252 # DEPENDENCYPART_ARC
(7,21),-3.16785 # DEPENDENCYPART_ARC
(7,22),-1.75992 # DEPENDENCYPART_ARC
(7,23),-1.9702 # DEPENDENCYPART_ARC
(7,24),-5.64442 # DEPENDENCYPART_ARC
(7,25),-1.16375 # DEPENDENCYPART_ARC
(7,26),-2.27819 # DEPENDENCYPART_ARC
(7,27),-1.33553 # DEPENDENCYPART_ARC
(7,28),-2.17118 # DEPENDENCYPART_ARC
(7,29),-7.16581 # DEPENDENCYPART_ARC
(7,30),-1.38281 # DEPENDENCYPART_ARC
(7,31),-2.39252 # DEPENDENCYPART_ARC
(7,32),-1.99748 # DEPENDENCYPART_ARC
(7,33),-1.66243 # DEPENDENCYPART_ARC
(7,34),-3.22095 # DEPENDENCYPART_ARC
(8,1),-1.58529 # DEPENDENCYPART_ARC
(8,2),-3.11482 # DEPENDENCYPART_ARC
(8,3),-2.39798 # DEPENDENCYPART_ARC
(8,4),-1.05659 # DEPENDENCYPART_ARC
(8,5),-0.741655 # DEPENDENCYPART_ARC
(8,6),-1.53832 # DEPENDENCYPART_ARC
(8,7),0.4728 # DEPENDENCYPART_ARC
(8,9),2.3132 # DEPENDENCYPART_ARC
(8,10),-0.0195666 # DEPENDENCYPART_ARC
(8,11),-0.291205 # DEPENDENCYPART_ARC
(8,12),0.424715 # DEPENDENCYPART_ARC
(8,13),0.195284 # DEPENDENCYPART_ARC
(8,14),-0.411918 # DEPENDENCYPART_ARC
(8,15),-0.0189614 # DEPENDENCYPART_ARC
(8,16),0.770618 # DEPENDENCYPART_ARC
(8,17),0.594827 # DEPENDENCYPART_ARC
(8,18),0.00533104 # DEPENDENCYPART_ARC
(8,19),-0.787759 # DEPENDENCYPART_ARC
(8,20),-1.52993 # DEPENDENCYPART_ARC
(8,21),-0.1416 # DEPENDENCYPART_ARC
(8,22),-1.48365 # DEPENDENCYPART_ARC
(8,23),-1.09415 # DEPENDENCYPART_ARC
(8,24),-0.150519 # DEPENDENCYPART_ARC
(8,25),-0.531508 # DEPENDENCYPART_ARC
(8,26),-0.902362 # DEPENDENCYPART_ARC
(8,27),-0.72625 # DEPENDENCYPART_ARC
(8,28),-1.15321 # DEPENDENCYPART_ARC
(8,29),-0.311004 # DEPENDENCYPART_ARC
(8,30),-0.792197 # DEPENDENCYPART_ARC
(8,31),-1.58389 # DEPENDENCYPART_ARC
(8,32),-1.46618 # DEPENDENCYPART_ARC
(8,33),-1.9443 # DEPENDENCYPART_ARC
(8,34),-2.99786 # DEPENDENCYPART_ARC
(9,1),-1.68203 # DEPENDENCYPART_ARC
(9,13),-0.44703 # DEPENDENCYPART_ARC
(9,23),-1.13975 # DEPENDENCYPART_ARC
(9,28),-1.3895 # DEPENDENCYPART_ARC
(9,34),-1.66805 # DEPENDENCYPART_ARC
(10,1),-1.57448 # DEPENDENCYPART_ARC
(10,2),-2.5146 # DEPENDENCYPART_ARC
(10,3),-2.62718 # DEPENDENCYPART_ARC
(10,4),-1.37387 # DEPENDENCYPART_ARC
(10,5),-1.52501 # DEPENDENCYPART_ARC
(10,6),-2.0831 # DEPENDENCYPART_ARC
(10,7),-0.640483 # DEPENDENCYPART_ARC
(10,8),-1.44216 # DEPENDENCYPART_ARC
(10,9),0.127449 # DEPENDENCYPART_ARC
(10,11),0.35114 # DEPENDENCYPART_ARC
(10,12),0.152717 # DEPENDENCYPART_ARC
(10,13),0.33558 # DEPENDENCYPART_ARC
(10,14),-0.865261 # DEPENDENCYPART_ARC
(10,15),-0.387148 # DEPENDENCYPART_ARC
(10,16),-0.31391 # DEPENDENCYPART_ARC
(10,17),-0.820915 # DEPENDENCYPART_ARC
(10,18),-0.411538 # DEPENDENCYPART_ARC
(10,19),-0.994249 # DEPENDENCYPART_ARC
(10,20),-1.13477 # DEPENDENCYPART_ARC
(10,21),-0.865874 # DEPENDENCYPART_ARC
(10,22),-1.28209 # DEPENDENCYPART_ARC
(10,23),-0.873349 # DEPENDENCYPART_ARC
(10,24),-1.06725 # DEPENDENCYPART_ARC
(10,26),-1.08109 # DEPENDENCYPART_ARC
(10,27),-0.773296 # DEPENDENCYPART_ARC
(10,28),-0.881483 # DEPENDENCYPART_ARC
(10,29),-1.46736 # DEPENDENCYPART_ARC
(10,31),-1.32553 # DEPENDENCYPART_ARC
(10,32),-1.51264 # DEPENDENCYPART_ARC
(10,33),-1.22634 # DEPENDENCYPART_ARC
(10,34),-1.87057 # DEPENDENCYPART_ARC
(11,1),-1.51631 # DEPENDENCYPART_ARC
(11,2),-2.67696 # DEPENDENCYPART_ARC
(11,3),-2.41551 # DEPENDENCYPART_ARC
(11,4),-1.00461 # DEPENDENCYPART_ARC
(11,5),-1.39168 # DEPENDENCYPART_ARC
(11,6),-1.74808 # DEPENDENCYPART_ARC
(11,7),-0.619258 # DEPENDENCYPART_ARC
(11,8),-1.65743 # DEPENDENCYPART_ARC
(11,9),-0.215683 # DEPENDENCYPART_ARC
(11,10),1.3684 # DEPENDENCYPART_ARC
(11,12),2.22147 # DEPENDENCYPART_ARC
(11,13),1.22908 # DEPENDENCYPART_ARC
(11,14),0.419562 # DEPENDENCYPART_ARC
(11,15),1.23047 # DEPENDENCYPART_ARC
(11,16),0.5702 # DEPENDENCYPART_ARC
(11,17),-0.311218 # DEPENDENCYPART_ARC
(11,18),0.47165 # DEPENDENCYPART_ARC
(11,19),-0.613135 # DEPENDENCYPART_ARC
(11,20),0.896123 # DEPENDENCYPART_ARC
(11,21),-1.65143 # DEPENDENCYPART_ARC
(11,22),-0.209536 # DEPENDENCYPART_ARC
(11,23),-1.25739 # DEPENDENCYPART_ARC
(11,24),-3.47794 # DEPENDENCYPART_ARC
(11,25),-0.17405 # DEPENDENCYPART_ARC
(11,26),-0.946916 # DEPENDENCYPART_ARC
(11,27),-0.331212 # DEPENDENCYPART_ARC
(11,28),-1.28709 # DEPENDENCYPART_ARC
(11,29),-4.98944 # DEPENDENCYPART_ARC
(11,30),-0.482448 # DEPENDENCYPART_ARC
(11,31),-0.996314 # DEPENDENCYPART_ARC
(11,32),0.316382 # DEPENDENCYPART_ARC
(11,33),-0.502393 # DEPENDENCYPART_ARC
(11,34),-1.46499 # DEPENDENCYPART_ARC
(12,1),-1.96664 # DEPENDENCYPART_ARC
(12,2),-2.91714 # DEPENDENCYPART_ARC
(12,3),-3.62301 # DEPENDENCYPART_ARC
(12,4),-1.63045 # DEPENDENCYPART_ARC
(12,5),-1.70094 # DEPENDENCYPART_ARC
(12,6),-2.89863 # DEPENDENCYPART_ARC
(12,7),-1.23147 # DEPENDENCYPART_ARC
(12,8),-2.36001 # DEPENDENCYPART_ARC
(12,9),-1.40843 # DEPENDENCYPART_ARC
(12,10),-0.233788 # DEPENDENCYPART_ARC
(12,11),-0.29769 # DEPENDENCYPART_ARC
(12,13),2.05973 # DEPENDENCYPART_ARC
(12,14),-0.172796 # DEPENDENCYPART_ARC
(12,15),0.163806 # DEPENDENCYPART_ARC
(12,16),0.117178 # DEPENDENCYPART_ARC
(12,17),-0.190479 # DEPENDENCYPART_ARC
(12,18),0.0073498 # DEPENDENCYPART_ARC
(12,19),-1.29264 # DEPENDENCYPART_ARC
(12,20),-0.567363 # DEPENDENCYPART_ARC
(12,21),-0.728958 # DEPENDENCYPART_ARC
(12,22),-0.704137 # DEPENDENCYPART_ARC
(12,23),-1.27435 # DEPENDENCYPART_ARC
(12,24),-0.727989 # DEPENDENCYPART_ARC
(12,26),-0.854711 # DEPENDENCYPART_ARC
(12,27),-0.382886 # DEPENDENCYPART_ARC
(12,28),-1.36133 # DEPENDENCYPART_ARC
(12,29),-0.953043 # DEPENDENCYPART_ARC
(12,31),-1.12673 # DEPENDENCYPART_ARC
(12,32),-1.16802 # DEPENDENCYPART_ARC
(12,33),-0.689436 # DEPENDENCYPART_ARC
(12,34),-1.37303 # DEPENDENCYPART_ARC
(13,1),-1.47957 # DEPENDENCYPART_ARC
(13,9),-1.23414 # DEPENDENCYPART_ARC
(13,23),-0.933916 # DEPENDENCYPART_ARC
(13,28),-1.128 # DEPENDENCYPART_ARC
(13,34),-1.32822 # DEPENDENCYPART_ARC
(14,1),-2.35494 # DEPENDENCYPART_ARC
(14,2),-2.64018 # DEPENDENCYPART_ARC
(14,3),-3.14507 # DEPENDENCYPART_ARC
(14,4),-2.02343 # DEPENDENCYPART_ARC
(14,5),-2.32201 # DEPENDENCYPART_ARC
(14,6),-2.51472 # DEPENDENCYPART_ARC
(14,7),-1.86884 # DEPENDENCYPART_ARC
(14,8),-2.30039 # DEPENDENCYPART_ARC
(14,9),-1.99717 # DEPENDENCYPART_ARC
(14,10),-0.9271 # DEPENDENCYPART_ARC
(14,11),-1.10294 # DEPENDENCYPART_ARC
(14,12),-1.54054 # DEPENDENCYPART_ARC
(14,13),-0.28167 # DEPENDENCYPART_ARC
(14,15),3.5635 # DEPENDENCYPART_ARC
(14,16),0.705646 # DEPENDENCYPART_ARC
(14,17),0.15973 # DEPENDENCYPART_ARC
(14,18),0.115934 # DEPENDENCYPART_ARC
(14,19),-0.763625 # DEPENDENCYPART_ARC
(14,20),-0.106657 # DEPENDENCYPART_ARC
(14,21),-1.2229 # DEPENDENCYPART_ARC
(14,22),-0.644697 # DEPENDENCYPART_ARC
(14,23),-1.50143 # DEPENDENCYPART_ARC
(14,24),-2.92354 # DEPENDENCYPART_ARC
(14,25),-0.810851 # DEPENDENCYPART_ARC
(14,26),-1.61226 # DEPENDENCYPART_ARC
(14,27),-0.77669 # DEPENDENCYPART_ARC
(14,28),-1.56386 # DEPENDENCYPART_ARC
(14,29),-4.29764 # DEPENDENCYPART_ARC
(14,30),-0.957966 # DEPENDENCYPART_ARC
(14,31),-1.61281 # DEPENDENCYPART_ARC
(14,32),-0.773723 # DEPENDENCYPART_ARC
(14,33),-0.942073 # DEPENDENCYPART_ARC
(14,34),-1.98581 # DEPENDENCYPART_ARC
(15,1),-2.9422 # DEPENDENCYPART_ARC
(15,2),-2.75421 # DEPENDENCYPART_ARC
(15,3),-3.73878 # DEPENDENCYPART_ARC
(15,4),-2.16304 # DEPENDENCYPART_ARC
(15,5),-1.88977 # DEPENDENCYPART_ARC
(15,6),-3.39119 # DEPENDENCYPART_ARC
(15,7),-2.0439 # DEPENDENCYPART_ARC
(15,8),-3.67965 # DEPENDENCYPART_ARC
(15,9),-3.00654 # DEPENDENCYPART_ARC
(15,10),-1.29807 # DEPENDENCYPART_ARC
(15,11),-1.2842 # DEPENDENCYPART_ARC
(15,12),-0.983796 # DEPENDENCYPART_ARC
(15,13),-1.48941 # DEPENDENCYPART_ARC
(15,14),0.863961 # DEPENDENCYPART_ARC
(15,16),2.36408 # DEPENDENCYPART_ARC
(15,17),2.13758 # DEPENDENCYPART_ARC
(15,18),0.368274 # DEPENDENCYPART_ARC
(15,19),0.578743 # DEPENDENCYPART_ARC
(15,20),-0.337529 # DEPENDENCYPART_ARC
(15,21),0.804587 # DEPENDENCYPART_ARC
(15,22),0.0190115 # DEPENDENCYPART_ARC
(15,23),0.0427511 # DEPENDENCYPART_ARC
(15,24),0.188027 # DEPENDENCYPART_ARC
(15,25),0.143122 # DEPENDENCYPART_ARC
(15,26),-0.268818 # DEPENDENCYPART_ARC
(15,27),-0.0366769 # DEPENDENCYPART_ARC
(15,28),-0.130802 # DEPENDENCYPART_ARC
(15,29),0.0836908 # DEPENDENCYPART_ARC
(15,30),-0.140393 # DEPENDENCYPART_ARC
(15,31),-0.737185 # DEPENDENCYPART_ARC
(15,32),-0.301594 # DEPENDENCYPART_ARC
(15,33),-1.22974 # DEPENDENCYPART_ARC
(15,34),-2.44966 # DEPENDENCYPART_ARC
(16,2),-3.25116 # DEPENDENCYPART_ARC
(16,3),-2.74876 # DEPENDENCYPART_ARC
(16,4),-2.13613 # DEPENDENCYPART_ARC
(16,5),-2.17334 # DEPENDENCYPART_ARC
(16,6),-2.86487 # DEPENDENCYPART_ARC
(16,7),-1.94272 # DEPENDENCYPART_ARC
(16,8),-3.00844 # DEPENDENCYPART_ARC
(16,9),-1.85086 # DEPENDENCYPART_ARC
(16,10),-1.75585 # DEPENDENCYPART_ARC
(16,11),-1.59934 # DEPENDENCYPART_ARC
(16,12),-1.94582 # DEPENDENCYPART_ARC
(16,13),-1.19766 # DEPENDENCYPART_ARC
(16,14),-0.951919 # DEPENDENCYPART_ARC
(16,15),-0.570236 # DEPENDENCYPART_ARC
(16,17),0.282523 # DEPENDENCYPART_ARC
(16,18),-0.89537 # DEPENDENCYPART_ARC
(16,20),-1.4969 # DEPENDENCYPART_ARC
(16,21),-1.3084 # DEPENDENCYPART_ARC
(16,22),-1.58031 # DEPENDENCYPART_ARC
(16,24),-1.48499 # DEPENDENCYPART_ARC
(16,26),-1.26117 # DEPENDENCYPART_ARC
(16,27),-0.729879 # DEPENDENCYPART_ARC
(16,29),-1.4942 # DEPENDENCYPART_ARC
(16,31),-1.46962 # DEPENDENCYPART_ARC
(16,32),-1.84354 # DEPENDENCYPART_ARC
(16,33),-1.65274 # DEPENDENCYPART_ARC
(16,34),-1.26876 # DEPENDENCYPART_ARC
(17,1),-3.80766 # DEPENDENCYPART_ARC
(17,2),-3.3217 # DEPENDENCYPART_ARC
(17,3),-4.14093 # DEPENDENCYPART_ARC
(17,4),-2.48014 # DEPENDENCYPART_ARC
(17,5),-2.23119 # DEPENDENCYPART_ARC
(17,6),-4.00424 # DEPENDENCYPART_ARC
(17,7),-2.50314 # DEPENDENCYPART_ARC
(17,8),-4.21119 # DEPENDENCYPART_ARC
(17,9),-3.49019 # DEPENDENCYPART_ARC
(17,10),-2.16541 # DEPENDENCYPART_ARC
(17,11),-2.25586 # DEPENDENCYPART_ARC
(17,12),-1.68019 # DEPENDENCYPART_ARC
(17,13),-2.8654 # DEPENDENCYPART_ARC
(17,14),-0.544688 # DEPENDENCYPART_ARC
(17,15),0.0657463 # DEPENDENCYPART_ARC
(17,16),-0.259481 # DEPENDENCYPART_ARC
(17,18),0.369039 # DEPENDENCYPART_ARC
(17,19),0.388721 # DEPENDENCYPART_ARC
(17,20),-0.523734 # DEPENDENCYPART_ARC
(17,21),0.408202 # DEPENDENCYPART_ARC
(17,22),-0.184003 # DEPENDENCYPART_ARC
(17,23),-0.475819 # DEPENDENCYPART_ARC
(17,24),-0.161597 # DEPENDENCYPART_ARC
(17,25),-0.467889 # DEPENDENCYPART_ARC
(17,26),-0.750248 # DEPENDENCYPART_ARC
