# _root_ I bambini applaudono , le nonne in veste nera si affacciano dai balconi e sorridono , sulle antenne delle auto ci sono le bandiere .
#goldHeads=2,3,0,3,6,11,6,7,8,11,3,11,12,11,11,3,22,17,18,19,22,3,24,22,24,
#predictedHeads=2,3,0,3,6,3,6,7,8,11,6,11,12,11,11,15,15,17,18,19,22,0,24,22,24,
(6,7),2.12738 # DEPENDENCYPART_ARC
(6,8),1.1783 # DEPENDENCYPART_ARC
(6,9),0.842948 # DEPENDENCYPART_ARC
(6,10),-1.30415 # DEPENDENCYPART_ARC
(6,11),1.13144 # DEPENDENCYPART_ARC
(6,12),-0.252495 # DEPENDENCYPART_ARC
(6,13),-0.219973 # DEPENDENCYPART_ARC
(6,14),-0.206192 # DEPENDENCYPART_ARC
(6,15),-0.983896 # DEPENDENCYPART_ARC
(6,16),-0.421886 # DEPENDENCYPART_ARC
(6,17),-0.463769 # DEPENDENCYPART_ARC
(6,18),-0.082539 # DEPENDENCYPART_ARC
(6,19),-0.649273 # DEPENDENCYPART_ARC
(6,20),-0.540361 # DEPENDENCYPART_ARC
(6,21),-1.69104 # DEPENDENCYPART_ARC
(6,22),-1.30113 # DEPENDENCYPART_ARC
(6,23),-0.263393 # DEPENDENCYPART_ARC
(6,24),-1.07706 # DEPENDENCYPART_ARC
(6,25),-3.30707 # DEPENDENCYPART_ARC
(7,1),-1.78484 # DEPENDENCYPART_ARC
(7,2),-2.01287 # DEPENDENCYPART_ARC
(7,3),-2.21963 # DEPENDENCYPART_ARC
(7,4),-1.16893 # DEPENDENCYPART_ARC
(7,5),-0.543784 # DEPENDENCYPART_ARC
(7,6),-0.479651 # DEPENDENCYPART_ARC
(7,8),3.84491 # DEPENDENCYPART_ARC
(7,9),0.438742 # DEPENDENCYPART_ARC
(7,10),-0.162056 # DEPENDENCYPART_ARC
(7,11),-0.872733 # DEPENDENCYPART_ARC
(7,12),-0.842821 # DEPENDENCYPART_ARC
(7,13),-1.24437 # DEPENDENCYPART_ARC
(7,14),-0.329683 # DEPENDENCYPART_ARC
(7,15),-1.35131 # DEPENDENCYPART_ARC
(7,16),-0.49888 # DEPENDENCYPART_ARC
(7,17),-0.913515 # DEPENDENCYPART_ARC
(7,18),-2.8094 # DEPENDENCYPART_ARC
(7,19),-1.23943 # DEPENDENCYPART_ARC
(7,20),-3.94883 # DEPENDENCYPART_ARC
(7,21),-1.89424 # DEPENDENCYPART_ARC
(7,22),-3.23272 # DEPENDENCYPART_ARC
(7,23),-2.01077 # DEPENDENCYPART_ARC
(7,24),-6.09329 # DEPENDENCYPART_ARC
(7,25),-2.11067 # DEPENDENCYPART_ARC
(8,1),-2.48688 # DEPENDENCYPART_ARC
(8,2),-3.72815 # DEPENDENCYPART_ARC
(8,3),-2.98235 # DEPENDENCYPART_ARC
(8,4),-2.85152 # DEPENDENCYPART_ARC
(8,5),-0.0813705 # DEPENDENCYPART_ARC
(8,6),-1.58931 # DEPENDENCYPART_ARC
(8,7),0.51158 # DEPENDENCYPART_ARC
(8,9),3.03073 # DEPENDENCYPART_ARC
(8,10),-1.58661 # DEPENDENCYPART_ARC
(8,11),0.309901 # DEPENDENCYPART_ARC
(8,12),-0.37033 # DEPENDENCYPART_ARC
(8,13),-1.07821 # DEPENDENCYPART_ARC
(8,14),-0.543471 # DEPENDENCYPART_ARC
(8,15),-1.80734 # DEPENDENCYPART_ARC
(8,16),-0.747761 # DEPENDENCYPART_ARC
(8,17),-0.878347 # DEPENDENCYPART_ARC
(8,18),-1.30111 # DEPENDENCYPART_ARC
(8,19),-0.981247 # DEPENDENCYPART_ARC
(8,20),-1.04991 # DEPENDENCYPART_ARC
(8,21),-1.78284 # DEPENDENCYPART_ARC
(8,22),-2.04455 # DEPENDENCYPART_ARC
(8,23),-1.58883 # DEPENDENCYPART_ARC
(8,24),-2.33491 # DEPENDENCYPART_ARC
(8,25),-3.03386 # DEPENDENCYPART_ARC
(9,1),-1.94925 # DEPENDENCYPART_ARC
(9,2),-2.26787 # DEPENDENCYPART_ARC
(9,3),-2.64217 # DEPENDENCYPART_ARC
(9,4),-1.36191 # DEPENDENCYPART_ARC
(9,5),-0.916721 # DEPENDENCYPART_ARC
(9,6),-1.38205 # DEPENDENCYPART_ARC
(9,7),0.48327 # DEPENDENCYPART_ARC
(9,8),0.398241 # DEPENDENCYPART_ARC
(9,10),-1.70107 # DEPENDENCYPART_ARC
(9,11),-1.68548 # DEPENDENCYPART_ARC
(9,12),-0.92282 # DEPENDENCYPART_ARC
(9,13),-1.3383 # DEPENDENCYPART_ARC
(9,14),-1.12829 # DEPENDENCYPART_ARC
(9,15),-2.48343 # DEPENDENCYPART_ARC
(9,16),-1.37178 # DEPENDENCYPART_ARC
(9,17),-1.89485 # DEPENDENCYPART_ARC
(9,18),-2.17373 # DEPENDENCYPART_ARC
(9,19),-1.91185 # DEPENDENCYPART_ARC
(9,20),-1.99581 # DEPENDENCYPART_ARC
(9,21),-2.24926 # DEPENDENCYPART_ARC
(9,22),-3.01201 # DEPENDENCYPART_ARC
(9,23),-2.38708 # DEPENDENCYPART_ARC
(9,24),-2.44537 # DEPENDENCYPART_ARC
(9,25),-2.63127 # DEPENDENCYPART_ARC
(10,2),-3.27805 # DEPENDENCYPART_ARC
(10,3),-3.54195 # DEPENDENCYPART_ARC
(10,4),-1.83487 # DEPENDENCYPART_ARC
(10,6),-2.83453 # DEPENDENCYPART_ARC
(10,7),-0.82537 # DEPENDENCYPART_ARC
(10,8),-2.19007 # DEPENDENCYPART_ARC
(10,9),-0.00986586 # DEPENDENCYPART_ARC
(10,11),-1.12039 # DEPENDENCYPART_ARC
(10,12),-1.6099 # DEPENDENCYPART_ARC
(10,13),-1.01502 # DEPENDENCYPART_ARC
(10,14),-1.17125 # DEPENDENCYPART_ARC
(10,15),-2.79464 # DEPENDENCYPART_ARC
(10,16),-1.02512 # DEPENDENCYPART_ARC
(10,17),-3.22322 # DEPENDENCYPART_ARC
(10,18),-1.94471 # DEPENDENCYPART_ARC
(10,19),-3.37415 # DEPENDENCYPART_ARC
(10,20),-2.41799 # DEPENDENCYPART_ARC
(10,21),-2.29994 # DEPENDENCYPART_ARC
(10,22),-3.84046 # DEPENDENCYPART_ARC
(10,24),-2.05155 # DEPENDENCYPART_ARC
(10,25),-1.97156 # DEPENDENCYPART_ARC
(11,1),-0.345301 # DEPENDENCYPART_ARC
(11,2),1.23301 # DEPENDENCYPART_ARC
(11,3),-1.05261 # DEPENDENCYPART_ARC
(11,4),-1.47699 # DEPENDENCYPART_ARC
(11,5),0.125133 # DEPENDENCYPART_ARC
(11,6),1.81433 # DEPENDENCYPART_ARC
(11,7),0.867529 # DEPENDENCYPART_ARC
(11,8),0.375109 # DEPENDENCYPART_ARC
(11,9),0.653976 # DEPENDENCYPART_ARC
(11,10),3.58299 # DEPENDENCYPART_ARC
(11,12),2.94744 # DEPENDENCYPART_ARC
(11,13),1.97943 # DEPENDENCYPART_ARC
(11,14),1.84432 # DEPENDENCYPART_ARC
(11,15),1.78982 # DEPENDENCYPART_ARC
(11,16),0.624834 # DEPENDENCYPART_ARC
(11,17),-0.277651 # DEPENDENCYPART_ARC
(11,18),-0.800993 # DEPENDENCYPART_ARC
(11,19),-0.943711 # DEPENDENCYPART_ARC
(11,20),-1.33353 # DEPENDENCYPART_ARC
(11,21),-0.66006 # DEPENDENCYPART_ARC
(11,22),0.335394 # DEPENDENCYPART_ARC
(11,23),-1.43135 # DEPENDENCYPART_ARC
(11,24),-0.497675 # DEPENDENCYPART_ARC
(11,25),-1.36111 # DEPENDENCYPART_ARC
(12,1),-1.54817 # DEPENDENCYPART_ARC
(12,2),-2.34572 # DEPENDENCYPART_ARC
(12,3),-3.43135 # DEPENDENCYPART_ARC
(12,4),-2.06202 # DEPENDENCYPART_ARC
(12,5),-1.68807 # DEPENDENCYPART_ARC
(12,6),-2.64561 # DEPENDENCYPART_ARC
(12,7),-1.50162 # DEPENDENCYPART_ARC
(12,8),-2.94485 # DEPENDENCYPART_ARC
(12,9),-2.32422 # DEPENDENCYPART_ARC
(12,10),-1.6957 # DEPENDENCYPART_ARC
(12,11),-1.14772 # DEPENDENCYPART_ARC
(12,13),4.34654 # DEPENDENCYPART_ARC
(12,14),0.523002 # DEPENDENCYPART_ARC
(12,15),-0.473008 # DEPENDENCYPART_ARC
(12,16),0.214928 # DEPENDENCYPART_ARC
(12,17),0.241657 # DEPENDENCYPART_ARC
(12,18),-0.999286 # DEPENDENCYPART_ARC
(12,19),0.00489061 # DEPENDENCYPART_ARC
(12,20),-2.87476 # DEPENDENCYPART_ARC
(12,21),-1.3731 # DEPENDENCYPART_ARC
(12,22),-2.27109 # DEPENDENCYPART_ARC
(12,23),-1.79379 # DEPENDENCYPART_ARC
(12,24),-4.25591 # DEPENDENCYPART_ARC
(12,25),-1.23903 # DEPENDENCYPART_ARC
(13,1),-1.66414 # DEPENDENCYPART_ARC
(13,2),-2.28152 # DEPENDENCYPART_ARC
(13,3),-3.91056 # DEPENDENCYPART_ARC
(13,4),-3.41863 # DEPENDENCYPART_ARC
(13,5),-1.61869 # DEPENDENCYPART_ARC
(13,6),-2.40978 # DEPENDENCYPART_ARC
(13,7),-1.82089 # DEPENDENCYPART_ARC
(13,8),-2.89197 # DEPENDENCYPART_ARC
(13,9),-2.47892 # DEPENDENCYPART_ARC
(13,10),-1.49177 # DEPENDENCYPART_ARC
(13,11),-1.97834 # DEPENDENCYPART_ARC
(13,12),0.970063 # DEPENDENCYPART_ARC
(13,14),0.370473 # DEPENDENCYPART_ARC
(13,15),-0.522564 # DEPENDENCYPART_ARC
(13,16),-0.163959 # DEPENDENCYPART_ARC
(13,17),-0.215817 # DEPENDENCYPART_ARC
(13,18),0.254698 # DEPENDENCYPART_ARC
(13,19),-0.171686 # DEPENDENCYPART_ARC
(13,20),-0.388743 # DEPENDENCYPART_ARC
(13,21),-1.33594 # DEPENDENCYPART_ARC
(13,22),-1.85247 # DEPENDENCYPART_ARC
(13,23),-0.556164 # DEPENDENCYPART_ARC
(13,24),-0.7917 # DEPENDENCYPART_ARC
(13,25),-2.01956 # DEPENDENCYPART_ARC
(14,2),-3.06245 # DEPENDENCYPART_ARC
(14,3),-3.02543 # DEPENDENCYPART_ARC
(14,4),-2.18816 # DEPENDENCYPART_ARC
(14,6),-2.84731 # DEPENDENCYPART_ARC
(14,7),-2.02646 # DEPENDENCYPART_ARC
(14,8),-2.60116 # DEPENDENCYPART_ARC
(14,9),-2.26298 # DEPENDENCYPART_ARC
(14,10),-1.41186 # DEPENDENCYPART_ARC
(14,11),-2.13246 # DEPENDENCYPART_ARC
(14,12),-1.0801 # DEPENDENCYPART_ARC
(14,13),-0.694606 # DEPENDENCYPART_ARC
(14,15),-0.0923354 # DEPENDENCYPART_ARC
(14,16),-0.496082 # DEPENDENCYPART_ARC
(14,17),-1.78727 # DEPENDENCYPART_ARC
(14,18),-1.61675 # DEPENDENCYPART_ARC
(14,19),-2.05918 # DEPENDENCYPART_ARC
(14,20),-1.89189 # DEPENDENCYPART_ARC
(14,21),-2.42568 # DEPENDENCYPART_ARC
(14,22),-1.94702 # DEPENDENCYPART_ARC
(14,24),-1.94374 # DEPENDENCYPART_ARC
(14,25),-1.63548 # DEPENDENCYPART_ARC
(15,1),-1.82496 # DEPENDENCYPART_ARC
(15,2),-0.375804 # DEPENDENCYPART_ARC
(15,3),-3.23664 # DEPENDENCYPART_ARC
(15,4),-3.1019 # DEPENDENCYPART_ARC
(15,5),-1.43262 # DEPENDENCYPART_ARC
(15,6),0.58823 # DEPENDENCYPART_ARC
(15,7),-1.38986 # DEPENDENCYPART_ARC
(15,8),-1.13201 # DEPENDENCYPART_ARC
(15,9),-1.60981 # DEPENDENCYPART_ARC
(15,10),-0.192698 # DEPENDENCYPART_ARC
(15,11),-1.65337 # DEPENDENCYPART_ARC
(15,12),-0.744762 # DEPENDENCYPART_ARC
(15,13),0.203771 # DEPENDENCYPART_ARC
(15,14),0.474282 # DEPENDENCYPART_ARC
(15,16),2.08863 # DEPENDENCYPART_ARC
(15,17),1.21328 # DEPENDENCYPART_ARC
(15,18),1.19064 # DEPENDENCYPART_ARC
(15,19),0.437816 # DEPENDENCYPART_ARC
(15,20),0.316545 # DEPENDENCYPART_ARC
(15,21),-0.140711 # DEPENDENCYPART_ARC
(15,22),0.464969 # DEPENDENCYPART_ARC
(15,23),-1.32481 # DEPENDENCYPART_ARC
(15,24),0.0740224 # DEPENDENCYPART_ARC
(15,25),-0.883858 # DEPENDENCYPART_ARC
(16,1),-1.89438 # DEPENDENCYPART_ARC
(16,4),-1.96409 # DEPENDENCYPART_ARC
(16,5),-1.8176 # DEPENDENCYPART_ARC
(16,23),-1.55556 # DEPENDENCYPART_ARC
(16,25),-1.32208 # DEPENDENCYPART_ARC
(17,1),-2.0122 # DEPENDENCYPART_ARC
(17,2),-2.66202 # DEPENDENCYPART_ARC
(17,3),-3.35018 # DEPENDENCYPART_ARC
(17,4),-1.94138 # DEPENDENCYPART_ARC
(17,5),-1.69201 # DEPENDENCYPART_ARC
(17,6),-2.46849 # DEPENDENCYPART_ARC
(17,7),-1.77801 # DEPENDENCYPART_ARC
(17,8),-2.62743 # DEPENDENCYPART_ARC
(17,9),-2.5115 # DEPENDENCYPART_ARC
(17,10),-2.13874 # DEPENDENCYPART_ARC
(17,11),-3.10038 # DEPENDENCYPART_ARC
(17,12),-1.24535 # DEPENDENCYPART_ARC
(17,13),-1.99104 # DEPENDENCYPART_ARC
(17,14),-0.484559 # DEPENDENCYPART_ARC
(17,15),-1.75497 # DEPENDENCYPART_ARC
(17,16),0.277471 # DEPENDENCYPART_ARC
(17,18),3.72606 # DEPENDENCYPART_ARC
(17,19),0.4908 # DEPENDENCYPART_ARC
(17,20),0.0626378 # DEPENDENCYPART_ARC
(17,21),-1.22383 # DEPENDENCYPART_ARC
(17,22),-1.74019 # DEPENDENCYPART_ARC
(17,23),-1.41208 # DEPENDENCYPART_ARC
(17,24),-2.49201 # DEPENDENCYPART_ARC
(17,25),-1.23661 # DEPENDENCYPART_ARC
(18,1),-3.29355 # DEPENDENCYPART_ARC
(18,2),-3.17055 # DEPENDENCYPART_ARC
(18,3),-3.89121 # DEPENDENCYPART_ARC
(18,4),-3.47686 # DEPENDENCYPART_ARC
(18,5),-2.10532 # DEPENDENCYPART_ARC
(18,6),-2.28328 # DEPENDENCYPART_ARC
(18,7),-2.32871 # DEPENDENCYPART_ARC
(18,8),-3.05617 # DEPENDENCYPART_ARC
(18,9),-2.4323 # DEPENDENCYPART_ARC
(18,10),-2.09329 # DEPENDENCYPART_ARC
(18,11),-3.33728 # DEPENDENCYPART_ARC
(18,12),-1.33394 # DEPENDENCYPART_ARC
(18,13),-1.65197 # DEPENDENCYPART_ARC
(18,14),-1.42069 # DEPENDENCYPART_ARC
(18,15),-2.72433 # DEPENDENCYPART_ARC
(18,16),-1.36453 # DEPENDENCYPART_ARC
(18,17),1.11246 # DEPENDENCYPART_ARC
(18,19),2.57663 # DEPENDENCYPART_ARC
(18,20),1.3545 # DEPENDENCYPART_ARC
(18,21),-0.303428 # DEPENDENCYPART_ARC
(18,22),0.2562 # DEPENDENCYPART_ARC
(18,23),0.358098 # DEPENDENCYPART_ARC
(18,24),-0.0257799 # DEPENDENCYPART_ARC
(18,25),-0.531414 # DEPENDENCYPART_ARC
(19,1),-2.05577 # DEPENDENCYPART_ARC
(19,2),-2.82698 # DEPENDENCYPART_ARC
(19,3),-3.46373 # DEPENDENCYPART_ARC
(19,4),-2.13722 # DEPENDENCYPART_ARC
(19,5),-1.89519 # DEPENDENCYPART_ARC
(19,6),-2.58226 # DEPENDENCYPART_ARC
(19,7),-1.89771 # DEPENDENCYPART_ARC
(19,8),-2.94126 # DEPENDENCYPART_ARC
(19,9),-2.6554 # DEPENDENCYPART_ARC
(19,10),-2.29671 # DEPENDENCYPART_ARC
(19,11),-3.28179 # DEPENDENCYPART_ARC
(19,12),-1.50035 # DEPENDENCYPART_ARC
(19,13),-2.40907 # DEPENDENCYPART_ARC
(19,14),-1.15462 # DEPENDENCYPART_ARC
(19,15),-2.81185 # DEPENDENCYPART_ARC
(19,16),-1.09391 # DEPENDENCYPART_ARC
(19,17),-0.567111 # DEPENDENCYPART_ARC
(19,18),-0.503807 # DEPENDENCYPART_ARC
(19,20),3.57659 # DEPENDENCYPART_ARC
(19,21),-0.116114 # DEPENDENCYPART_ARC
(19,22),-1.31259 # DEPENDENCYPART_ARC
(19,23),-1.11697 # DEPENDENCYPART_ARC
(19,24),-0.936741 # DEPENDENCYPART_ARC
(19,25),-0.897431 # DEPENDENCYPART_ARC
(20,1),-4.67087 # DEPENDENCYPART_ARC
(20,2),-4.83298 # DEPENDENCYPART_ARC
(20,3),-3.33567 # DEPENDENCYPART_ARC
(20,4),-3.95082 # DEPENDENCYPART_ARC
(20,5),-3.10028 # DEPENDENCYPART_ARC
(20,6),-3.7866 # DEPENDENCYPART_ARC
(20,7),-2.93312 # DEPENDENCYPART_ARC
(20,8),-3.89288 # DEPENDENCYPART_ARC
(20,9),-2.5761 # DEPENDENCYPART_ARC
(20,10),-1.68884 # DEPENDENCYPART_ARC
(20,11),-2.87859 # DEPENDENCYPART_ARC
(20,12),-2.33137 # DEPENDENCYPART_ARC
(20,13),-3.78915 # DEPENDENCYPART_ARC
(20,14),-2.15042 # DEPENDENCYPART_ARC
(20,15),-2.65033 # DEPENDENCYPART_ARC
(20,16),-2.78638 # DEPENDENCYPART_ARC
(20,17),-0.534058 # DEPENDENCYPART_ARC
(20,18),-1.22071 # DEPENDENCYPART_ARC
(20,19),0.666397 # DEPENDENCYPART_ARC
(20,21),0.44635 # DEPENDENCYPART_ARC
(20,22),0.243963 # DEPENDENCYPART_ARC
(20,23),-0.137022 # DEPENDENCYPART_ARC
(20,24),-0.539787 # DEPENDENCYPART_ARC
(20,25),-0.44283 # DEPENDENCYPART_ARC
(21,1),-1.99596 # DEPENDENCYPART_ARC
(21,2),-3.07808 # DEPENDENCYPART_ARC
(21,3),-3.15167 # DEPENDENCYPART_ARC
(21,4),-2.30728 # DEPENDENCYPART_ARC
(21,5),-2.05553 # DEPENDENCYPART_ARC
(21,6),-3.02992 # DEPENDENCYPART_ARC
(21,7),-2.0816 # DEPENDENCYPART_ARC
(21,8),-2.83133 # DEPENDENCYPART_ARC
(21,9),-2.40287 # DEPENDENCYPART_ARC
(21,10),-2.36808 # DEPENDENCYPART_ARC
(21,11),-3.04961 # DEPENDENCYPART_ARC
(21,12),-1.98453 # DEPENDENCYPART_ARC
(21,13),-2.738 # DEPENDENCYPART_ARC
(21,14),-1.99484 # DEPENDENCYPART_ARC
(21,15),-2.83523 # DEPENDENCYPART_ARC
(21,16),-1.76462 # DEPENDENCYPART_ARC
(21,17),-1.24693 # DEPENDENCYPART_ARC
(21,18),-1.91781 # DEPENDENCYPART_ARC
(21,19),-0.728271 # DEPENDENCYPART_ARC
(21,20),-0.781714 # DEPENDENCYPART_ARC
(21,22),-0.0722781 # DEPENDENCYPART_ARC
(21,23),-1.14206 # DEPENDENCYPART_ARC
(21,24),-1.37708 # DEPENDENCYPART_ARC
(21,25),-1.29652 # DEPENDENCYPART_ARC
(22,1),-0.975313 # DEPENDENCYPART_ARC
(22,2),0.410222 # DEPENDENCYPART_ARC
(22,3),-2.24421 # DEPENDENCYPART_ARC
(22,4),-2.39077 # DEPENDENCYPART_ARC
(22,5),-0.649582 # DEPENDENCYPART_ARC
(22,6),1.22412 # DEPENDENCYPART_ARC
(22,7),-0.364229 # DEPENDENCYPART_ARC
(22,8),-0.697084 # DEPENDENCYPART_ARC
(22,9),-0.667239 # DEPENDENCYPART_ARC
(22,10),-0.652169 # DEPENDENCYPART_ARC
(22,11),-1.76244 # DEPENDENCYPART_ARC
(22,12),-0.590264 # DEPENDENCYPART_ARC
(22,13),0.808078 # DEPENDENCYPART_ARC
(22,14),-0.183381 # DEPENDENCYPART_ARC
(22,15),-0.80328 # DEPENDENCYPART_ARC
(22,16),-1.61264 # DEPENDENCYPART_ARC
(22,17),0.984698 # DEPENDENCYPART_ARC
(22,18),1.30843 # DEPENDENCYPART_ARC
(22,19),0.83359 # DEPENDENCYPART_ARC
(22,20),1.27324 # DEPENDENCYPART_ARC
(22,21),2.31103 # DEPENDENCYPART_ARC
(22,23),0.371479 # DEPENDENCYPART_ARC
(22,24),2.90984 # DEPENDENCYPART_ARC
(22,25),0.384176 # DEPENDENCYPART_ARC
(23,2),-2.27823 # DEPENDENCYPART_ARC
(23,3),-3.19448 # DEPENDENCYPART_ARC
(23,4),-1.45771 # DEPENDENCYPART_ARC
(23,6),-2.14337 # DEPENDENCYPART_ARC
(23,7),-2.09871 # DEPENDENCYPART_ARC
(23,8),-2.60823 # DEPENDENCYPART_ARC
(23,11),-2.99685 # DEPENDENCYPART_ARC
(23,12),-1.79241 # DEPENDENCYPART_ARC
(23,13),-1.92656 # DEPENDENCYPART_ARC
(23,15),-2.9761 # DEPENDENCYPART_ARC
(23,16),-1.30068 # DEPENDENCYPART_ARC
(23,17),-1.61481 # DEPENDENCYPART_ARC
(23,18),-1.60543 # DEPENDENCYPART_ARC
(23,19),-1.21517 # DEPENDENCYPART_ARC
