# _root_ Alle 10,30 radiografie ( quarto piano ) , poi le analisi del sangue e ciò che il medico ha scelto nel " menu " .
#goldHeads=3,1,0,5,6,3,6,3,11,11,3,11,12,3,3,20,18,20,20,15,20,23,21,23,24,
#predictedHeads=11,3,1,5,6,3,6,7,11,11,0,11,12,13,13,20,18,15,20,15,20,23,21,23,24,
(6,24),-2.43121 # DEPENDENCYPART_ARC
(6,25),-3.19184 # DEPENDENCYPART_ARC
(7,1),-1.52013 # DEPENDENCYPART_ARC
(7,2),-1.62903 # DEPENDENCYPART_ARC
(7,3),-1.90626 # DEPENDENCYPART_ARC
(7,4),-1.1167 # DEPENDENCYPART_ARC
(7,5),-0.932162 # DEPENDENCYPART_ARC
(7,6),-0.488833 # DEPENDENCYPART_ARC
(7,8),1.37252 # DEPENDENCYPART_ARC
(7,9),-1.08404 # DEPENDENCYPART_ARC
(7,10),-1.09159 # DEPENDENCYPART_ARC
(7,11),-1.31417 # DEPENDENCYPART_ARC
(7,12),-1.48759 # DEPENDENCYPART_ARC
(7,13),-1.5016 # DEPENDENCYPART_ARC
(7,14),-1.35067 # DEPENDENCYPART_ARC
(7,15),-1.56019 # DEPENDENCYPART_ARC
(7,16),-1.63895 # DEPENDENCYPART_ARC
(7,17),-1.48518 # DEPENDENCYPART_ARC
(7,18),-1.78616 # DEPENDENCYPART_ARC
(7,19),-1.55333 # DEPENDENCYPART_ARC
(7,20),-1.7632 # DEPENDENCYPART_ARC
(7,21),-1.97532 # DEPENDENCYPART_ARC
(7,22),-1.74218 # DEPENDENCYPART_ARC
(7,23),-2.03479 # DEPENDENCYPART_ARC
(7,24),-1.48045 # DEPENDENCYPART_ARC
(7,25),-0.706567 # DEPENDENCYPART_ARC
(8,1),-1.91605 # DEPENDENCYPART_ARC
(8,2),-2.15162 # DEPENDENCYPART_ARC
(8,3),-2.37037 # DEPENDENCYPART_ARC
(8,4),-1.75619 # DEPENDENCYPART_ARC
(8,5),-1.55317 # DEPENDENCYPART_ARC
(8,6),-1.74543 # DEPENDENCYPART_ARC
(8,7),-0.111828 # DEPENDENCYPART_ARC
(8,9),-0.84062 # DEPENDENCYPART_ARC
(8,10),-1.44454 # DEPENDENCYPART_ARC
(8,11),-1.60995 # DEPENDENCYPART_ARC
(8,12),-1.88108 # DEPENDENCYPART_ARC
(8,13),-1.859 # DEPENDENCYPART_ARC
(8,14),-1.72976 # DEPENDENCYPART_ARC
(8,15),-2.00425 # DEPENDENCYPART_ARC
(8,16),-2.09021 # DEPENDENCYPART_ARC
(8,17),-1.98673 # DEPENDENCYPART_ARC
(8,18),-2.20574 # DEPENDENCYPART_ARC
(8,19),-1.95353 # DEPENDENCYPART_ARC
(8,20),-2.17452 # DEPENDENCYPART_ARC
(8,21),-2.50327 # DEPENDENCYPART_ARC
(8,22),-2.12135 # DEPENDENCYPART_ARC
(8,23),-2.57677 # DEPENDENCYPART_ARC
(8,24),-2.08515 # DEPENDENCYPART_ARC
(8,25),-1.51218 # DEPENDENCYPART_ARC
(9,1),-1.15802 # DEPENDENCYPART_ARC
(9,2),-1.32399 # DEPENDENCYPART_ARC
(9,3),-2.09465 # DEPENDENCYPART_ARC
(9,4),-0.768657 # DEPENDENCYPART_ARC
(9,5),-1.01997 # DEPENDENCYPART_ARC
(9,6),-1.44759 # DEPENDENCYPART_ARC
(9,7),-0.251877 # DEPENDENCYPART_ARC
(9,8),0.742403 # DEPENDENCYPART_ARC
(9,10),0.579968 # DEPENDENCYPART_ARC
(9,11),0.00240176 # DEPENDENCYPART_ARC
(9,12),-0.434917 # DEPENDENCYPART_ARC
(9,13),-0.548863 # DEPENDENCYPART_ARC
(9,14),-0.370863 # DEPENDENCYPART_ARC
(9,15),-0.932211 # DEPENDENCYPART_ARC
(9,16),-0.915011 # DEPENDENCYPART_ARC
(9,17),-0.698611 # DEPENDENCYPART_ARC
(9,18),-0.9911 # DEPENDENCYPART_ARC
(9,19),-0.632295 # DEPENDENCYPART_ARC
(9,20),-0.817127 # DEPENDENCYPART_ARC
(9,21),-1.39542 # DEPENDENCYPART_ARC
(9,22),-1.5454 # DEPENDENCYPART_ARC
(9,23),-1.67399 # DEPENDENCYPART_ARC
(9,24),-1.84419 # DEPENDENCYPART_ARC
(9,25),-1.65782 # DEPENDENCYPART_ARC
(10,1),-2.20623 # DEPENDENCYPART_ARC
(10,2),-1.90442 # DEPENDENCYPART_ARC
(10,3),-2.19311 # DEPENDENCYPART_ARC
(10,4),-1.25323 # DEPENDENCYPART_ARC
(10,5),-1.74221 # DEPENDENCYPART_ARC
(10,6),-2.34009 # DEPENDENCYPART_ARC
(10,7),-0.934091 # DEPENDENCYPART_ARC
(10,8),-0.620724 # DEPENDENCYPART_ARC
(10,9),-0.341858 # DEPENDENCYPART_ARC
(10,11),1.19428 # DEPENDENCYPART_ARC
(10,12),-0.164586 # DEPENDENCYPART_ARC
(10,13),-0.884568 # DEPENDENCYPART_ARC
(10,14),-0.350674 # DEPENDENCYPART_ARC
(10,15),-1.49767 # DEPENDENCYPART_ARC
(10,16),-1.12747 # DEPENDENCYPART_ARC
(10,17),-1.45288 # DEPENDENCYPART_ARC
(10,18),-2.44248 # DEPENDENCYPART_ARC
(10,19),-0.876957 # DEPENDENCYPART_ARC
(10,20),-1.44489 # DEPENDENCYPART_ARC
(10,21),-1.23723 # DEPENDENCYPART_ARC
(10,22),-0.973133 # DEPENDENCYPART_ARC
(10,23),-1.17274 # DEPENDENCYPART_ARC
(10,24),-1.07075 # DEPENDENCYPART_ARC
(10,25),-1.14716 # DEPENDENCYPART_ARC
(11,1),0.0982002 # DEPENDENCYPART_ARC
(11,2),-0.384852 # DEPENDENCYPART_ARC
(11,3),-1.74909 # DEPENDENCYPART_ARC
(11,4),-1.23257 # DEPENDENCYPART_ARC
(11,5),-0.0847422 # DEPENDENCYPART_ARC
(11,6),-2.34894 # DEPENDENCYPART_ARC
(11,7),-1.12879 # DEPENDENCYPART_ARC
(11,8),-1.22414 # DEPENDENCYPART_ARC
(11,9),1.47753 # DEPENDENCYPART_ARC
(11,10),3.78342 # DEPENDENCYPART_ARC
(11,12),3.0726 # DEPENDENCYPART_ARC
(11,13),1.13004 # DEPENDENCYPART_ARC
(11,14),1.0251 # DEPENDENCYPART_ARC
(11,15),0.734854 # DEPENDENCYPART_ARC
(11,16),-0.622135 # DEPENDENCYPART_ARC
(11,17),-0.43241 # DEPENDENCYPART_ARC
(11,18),-0.619496 # DEPENDENCYPART_ARC
(11,19),1.09187 # DEPENDENCYPART_ARC
(11,20),0.375292 # DEPENDENCYPART_ARC
(11,21),-0.463056 # DEPENDENCYPART_ARC
(11,22),-1.4494 # DEPENDENCYPART_ARC
(11,23),-0.709238 # DEPENDENCYPART_ARC
(11,24),-2.01591 # DEPENDENCYPART_ARC
(11,25),-1.97091 # DEPENDENCYPART_ARC
(12,1),-2.12333 # DEPENDENCYPART_ARC
(12,2),-1.99692 # DEPENDENCYPART_ARC
(12,3),-2.81049 # DEPENDENCYPART_ARC
(12,4),-1.38224 # DEPENDENCYPART_ARC
(12,5),-1.72279 # DEPENDENCYPART_ARC
(12,6),-2.30623 # DEPENDENCYPART_ARC
(12,7),-1.65388 # DEPENDENCYPART_ARC
(12,8),-1.45834 # DEPENDENCYPART_ARC
(12,9),-0.439168 # DEPENDENCYPART_ARC
(12,10),-0.604084 # DEPENDENCYPART_ARC
(12,11),-1.28087 # DEPENDENCYPART_ARC
(12,13),4.01133 # DEPENDENCYPART_ARC
(12,14),1.04513 # DEPENDENCYPART_ARC
(12,15),0.387925 # DEPENDENCYPART_ARC
(12,16),-0.506083 # DEPENDENCYPART_ARC
(12,17),-1.13367 # DEPENDENCYPART_ARC
(12,18),-0.838525 # DEPENDENCYPART_ARC
(12,19),-1.5865 # DEPENDENCYPART_ARC
(12,20),-1.15893 # DEPENDENCYPART_ARC
(12,21),-0.258359 # DEPENDENCYPART_ARC
(12,22),-0.834272 # DEPENDENCYPART_ARC
(12,23),-2.33334 # DEPENDENCYPART_ARC
(12,24),-1.23517 # DEPENDENCYPART_ARC
(12,25),-1.1342 # DEPENDENCYPART_ARC
(13,1),-2.0295 # DEPENDENCYPART_ARC
(13,2),-1.81928 # DEPENDENCYPART_ARC
(13,3),-3.63505 # DEPENDENCYPART_ARC
(13,4),-2.5671 # DEPENDENCYPART_ARC
(13,5),-0.810741 # DEPENDENCYPART_ARC
(13,6),-3.12429 # DEPENDENCYPART_ARC
(13,7),-2.74826 # DEPENDENCYPART_ARC
(13,8),-2.92918 # DEPENDENCYPART_ARC
(13,9),-0.803412 # DEPENDENCYPART_ARC
(13,10),-0.0693537 # DEPENDENCYPART_ARC
(13,11),-1.75959 # DEPENDENCYPART_ARC
(13,12),0.770233 # DEPENDENCYPART_ARC
(13,14),1.21079 # DEPENDENCYPART_ARC
(13,15),0.772239 # DEPENDENCYPART_ARC
(13,16),-0.825404 # DEPENDENCYPART_ARC
(13,17),-0.397978 # DEPENDENCYPART_ARC
(13,18),0.581886 # DEPENDENCYPART_ARC
(13,19),0.783297 # DEPENDENCYPART_ARC
(13,20),0.7079 # DEPENDENCYPART_ARC
(13,21),-0.973163 # DEPENDENCYPART_ARC
(13,22),-0.930202 # DEPENDENCYPART_ARC
(13,23),-0.360303 # DEPENDENCYPART_ARC
(13,24),-1.37479 # DEPENDENCYPART_ARC
(13,25),-1.66801 # DEPENDENCYPART_ARC
(14,1),-1.93093 # DEPENDENCYPART_ARC
(14,2),-1.90211 # DEPENDENCYPART_ARC
(14,3),-2.88253 # DEPENDENCYPART_ARC
(14,4),-1.5188 # DEPENDENCYPART_ARC
(14,5),-1.8443 # DEPENDENCYPART_ARC
(14,6),-2.58061 # DEPENDENCYPART_ARC
(14,7),-1.81171 # DEPENDENCYPART_ARC
(14,8),-1.76079 # DEPENDENCYPART_ARC
(14,9),-1.28297 # DEPENDENCYPART_ARC
(14,10),-1.33704 # DEPENDENCYPART_ARC
(14,11),-1.72362 # DEPENDENCYPART_ARC
(14,12),-0.869269 # DEPENDENCYPART_ARC
(14,13),-0.524224 # DEPENDENCYPART_ARC
(14,15),-0.808873 # DEPENDENCYPART_ARC
(14,16),-1.19044 # DEPENDENCYPART_ARC
(14,17),-1.59148 # DEPENDENCYPART_ARC
(14,18),-1.28459 # DEPENDENCYPART_ARC
(14,19),-1.55182 # DEPENDENCYPART_ARC
(14,20),-1.32897 # DEPENDENCYPART_ARC
(14,21),-2.09414 # DEPENDENCYPART_ARC
(14,22),-1.65578 # DEPENDENCYPART_ARC
(14,23),-1.86018 # DEPENDENCYPART_ARC
(14,24),-1.82995 # DEPENDENCYPART_ARC
(14,25),-1.66616 # DEPENDENCYPART_ARC
(15,1),-2.31313 # DEPENDENCYPART_ARC
(15,2),-1.87352 # DEPENDENCYPART_ARC
(15,3),-2.57492 # DEPENDENCYPART_ARC
(15,4),-2.02039 # DEPENDENCYPART_ARC
(15,5),-1.65342 # DEPENDENCYPART_ARC
(15,6),-1.83433 # DEPENDENCYPART_ARC
(15,7),-2.02885 # DEPENDENCYPART_ARC
(15,8),-1.90896 # DEPENDENCYPART_ARC
(15,9),-1.47835 # DEPENDENCYPART_ARC
(15,10),-1.00462 # DEPENDENCYPART_ARC
(15,11),-2.13913 # DEPENDENCYPART_ARC
(15,12),-1.12773 # DEPENDENCYPART_ARC
(15,13),-0.950612 # DEPENDENCYPART_ARC
(15,14),0.371236 # DEPENDENCYPART_ARC
(15,16),0.738004 # DEPENDENCYPART_ARC
(15,17),0.739036 # DEPENDENCYPART_ARC
(15,18),1.51585 # DEPENDENCYPART_ARC
(15,19),2.38533 # DEPENDENCYPART_ARC
(15,20),2.14623 # DEPENDENCYPART_ARC
(15,21),0.628841 # DEPENDENCYPART_ARC
(15,22),-0.0413652 # DEPENDENCYPART_ARC
(15,23),-0.28186 # DEPENDENCYPART_ARC
(15,24),-0.172553 # DEPENDENCYPART_ARC
(15,25),-0.0834529 # DEPENDENCYPART_ARC
(16,1),-1.99412 # DEPENDENCYPART_ARC
(16,2),-1.62589 # DEPENDENCYPART_ARC
(16,3),-2.52938 # DEPENDENCYPART_ARC
(16,4),-1.40389 # DEPENDENCYPART_ARC
(16,5),-2.02659 # DEPENDENCYPART_ARC
(16,6),-2.51292 # DEPENDENCYPART_ARC
(16,7),-1.58009 # DEPENDENCYPART_ARC
(16,8),-1.55331 # DEPENDENCYPART_ARC
(16,9),-1.13819 # DEPENDENCYPART_ARC
(16,10),-0.75513 # DEPENDENCYPART_ARC
(16,11),-1.56873 # DEPENDENCYPART_ARC
(16,12),-1.43872 # DEPENDENCYPART_ARC
(16,13),-1.75856 # DEPENDENCYPART_ARC
(16,14),-0.299705 # DEPENDENCYPART_ARC
(16,15),-0.299512 # DEPENDENCYPART_ARC
(16,17),0.336419 # DEPENDENCYPART_ARC
(16,18),1.09247 # DEPENDENCYPART_ARC
(16,19),0.454534 # DEPENDENCYPART_ARC
(16,20),-0.47685 # DEPENDENCYPART_ARC
(16,21),-1.68124 # DEPENDENCYPART_ARC
(16,22),-1.07303 # DEPENDENCYPART_ARC
(16,23),-1.33764 # DEPENDENCYPART_ARC
(16,24),-1.32201 # DEPENDENCYPART_ARC
(16,25),-1.19265 # DEPENDENCYPART_ARC
(17,1),-3.7782 # DEPENDENCYPART_ARC
(17,2),-2.99374 # DEPENDENCYPART_ARC
(17,3),-3.90666 # DEPENDENCYPART_ARC
(17,4),-2.25048 # DEPENDENCYPART_ARC
(17,5),-2.77494 # DEPENDENCYPART_ARC
(17,6),-3.40595 # DEPENDENCYPART_ARC
(17,7),-2.55109 # DEPENDENCYPART_ARC
(17,8),-2.61302 # DEPENDENCYPART_ARC
(17,9),-2.93025 # DEPENDENCYPART_ARC
(17,10),-2.69807 # DEPENDENCYPART_ARC
(17,11),-3.59649 # DEPENDENCYPART_ARC
(17,12),-2.80907 # DEPENDENCYPART_ARC
(17,13),-2.87846 # DEPENDENCYPART_ARC
(17,14),-2.32567 # DEPENDENCYPART_ARC
(17,15),-1.87654 # DEPENDENCYPART_ARC
(17,16),-0.994984 # DEPENDENCYPART_ARC
(17,18),-0.0195379 # DEPENDENCYPART_ARC
(17,19),-0.176566 # DEPENDENCYPART_ARC
(17,20),-0.656902 # DEPENDENCYPART_ARC
(17,21),-0.9219 # DEPENDENCYPART_ARC
(17,22),-0.885983 # DEPENDENCYPART_ARC
(17,23),-0.53493 # DEPENDENCYPART_ARC
(17,24),-0.891984 # DEPENDENCYPART_ARC
(17,25),-0.84858 # DEPENDENCYPART_ARC
(18,1),-2.07435 # DEPENDENCYPART_ARC
(18,2),-0.839053 # DEPENDENCYPART_ARC
(18,3),-2.42854 # DEPENDENCYPART_ARC
(18,4),-1.18365 # DEPENDENCYPART_ARC
(18,5),-0.816619 # DEPENDENCYPART_ARC
(18,6),-1.69079 # DEPENDENCYPART_ARC
(18,7),-1.25721 # DEPENDENCYPART_ARC
(18,8),-1.26442 # DEPENDENCYPART_ARC
(18,9),-0.891054 # DEPENDENCYPART_ARC
(18,10),-0.666776 # DEPENDENCYPART_ARC
(18,11),-1.80112 # DEPENDENCYPART_ARC
(18,12),-0.431291 # DEPENDENCYPART_ARC
(18,13),-1.0459 # DEPENDENCYPART_ARC
(18,14),-0.228602 # DEPENDENCYPART_ARC
(18,15),-0.21935 # DEPENDENCYPART_ARC
(18,16),1.04929 # DEPENDENCYPART_ARC
(18,17),1.74074 # DEPENDENCYPART_ARC
(18,19),-0.114074 # DEPENDENCYPART_ARC
(18,20),-0.194396 # DEPENDENCYPART_ARC
(18,21),0.0237427 # DEPENDENCYPART_ARC
(18,22),-0.554712 # DEPENDENCYPART_ARC
(18,23),-0.710241 # DEPENDENCYPART_ARC
(18,24),-0.725051 # DEPENDENCYPART_ARC
(18,25),-0.850544 # DEPENDENCYPART_ARC
(19,1),-1.67842 # DEPENDENCYPART_ARC
(19,2),-1.68797 # DEPENDENCYPART_ARC
(19,3),-2.49961 # DEPENDENCYPART_ARC
(19,4),-2.23903 # DEPENDENCYPART_ARC
(19,5),-1.15796 # DEPENDENCYPART_ARC
(19,6),-1.93839 # DEPENDENCYPART_ARC
(19,7),-2.6581 # DEPENDENCYPART_ARC
(19,8),-2.86972 # DEPENDENCYPART_ARC
(19,9),-1.01812 # DEPENDENCYPART_ARC
(19,10),-1.80556 # DEPENDENCYPART_ARC
(19,11),-0.556652 # DEPENDENCYPART_ARC
(19,12),-1.92754 # DEPENDENCYPART_ARC
(19,13),-1.51424 # DEPENDENCYPART_ARC
(19,14),-0.704238 # DEPENDENCYPART_ARC
(19,15),-0.91481 # DEPENDENCYPART_ARC
(19,16),0.824168 # DEPENDENCYPART_ARC
(19,17),-0.950578 # DEPENDENCYPART_ARC
(19,18),0.37341 # DEPENDENCYPART_ARC
(19,20),1.14516 # DEPENDENCYPART_ARC
(19,21),0.82179 # DEPENDENCYPART_ARC
(19,22),-0.75384 # DEPENDENCYPART_ARC
(19,23),-0.232386 # DEPENDENCYPART_ARC
(19,24),-1.12852 # DEPENDENCYPART_ARC
(19,25),-0.817481 # DEPENDENCYPART_ARC
(20,1),-0.473505 # DEPENDENCYPART_ARC
(20,2),-0.451829 # DEPENDENCYPART_ARC
(20,3),-1.34368 # DEPENDENCYPART_ARC
(20,4),-1.38763 # DEPENDENCYPART_ARC
(20,5),-0.539923 # DEPENDENCYPART_ARC
(20,6),-1.02941 # DEPENDENCYPART_ARC
(20,7),-1.74802 # DEPENDENCYPART_ARC
(20,8),-1.91476 # DEPENDENCYPART_ARC
(20,9),0.370508 # DEPENDENCYPART_ARC
(20,10),-0.492148 # DEPENDENCYPART_ARC
(20,11),0.526212 # DEPENDENCYPART_ARC
(20,12),-0.983603 # DEPENDENCYPART_ARC
(20,13),-0.275211 # DEPENDENCYPART_ARC
(20,14),0.0410816 # DEPENDENCYPART_ARC
(20,15),1.26969 # DEPENDENCYPART_ARC
(20,16),2.37306 # DEPENDENCYPART_ARC
(20,17),0.594674 # DEPENDENCYPART_ARC
(20,18),0.805072 # DEPENDENCYPART_ARC
(20,19),4.80732 # DEPENDENCYPART_ARC
(20,21),2.82044 # DEPENDENCYPART_ARC
(20,22),-0.371404 # DEPENDENCYPART_ARC
(20,23),0.480385 # DEPENDENCYPART_ARC
(20,24),-0.939248 # DEPENDENCYPART_ARC
(20,25),-0.634892 # DEPENDENCYPART_ARC
(21,1),-2.09151 # DEPENDENCYPART_ARC
(21,2),-1.77269 # DEPENDENCYPART_ARC
(21,3),-2.74224 # DEPENDENCYPART_ARC
