# _root_ Il padre di lei , spalleggiato forse dalla moglie , gli ha sparato contro numerosi colpi d' arma da fuoco .
#goldHeads=2,13,2,3,4,2,8,6,8,9,13,13,0,13,16,13,16,17,18,19,20,
#predictedHeads=2,13,2,3,4,2,6,6,8,9,13,13,0,13,16,13,16,17,16,19,20,
(3,16),-3.70849 # DEPENDENCYPART_ARC
(3,17),-2.59774 # DEPENDENCYPART_ARC
(3,18),-4.54614 # DEPENDENCYPART_ARC
(3,19),-2.36959 # DEPENDENCYPART_ARC
(3,20),-5.17747 # DEPENDENCYPART_ARC
(3,21),-2.074 # DEPENDENCYPART_ARC
(4,1),-0.769452 # DEPENDENCYPART_ARC
(4,2),-0.898198 # DEPENDENCYPART_ARC
(4,3),-0.0461964 # DEPENDENCYPART_ARC
(4,5),2.09059 # DEPENDENCYPART_ARC
(4,6),0.884863 # DEPENDENCYPART_ARC
(4,7),-0.391668 # DEPENDENCYPART_ARC
(4,8),-0.437556 # DEPENDENCYPART_ARC
(4,9),-0.25111 # DEPENDENCYPART_ARC
(4,10),-0.0401718 # DEPENDENCYPART_ARC
(4,11),-1.50112 # DEPENDENCYPART_ARC
(4,12),-0.353789 # DEPENDENCYPART_ARC
(4,13),-0.884924 # DEPENDENCYPART_ARC
(4,14),-1.07179 # DEPENDENCYPART_ARC
(4,15),-1.36242 # DEPENDENCYPART_ARC
(4,16),-0.724679 # DEPENDENCYPART_ARC
(4,17),-1.74307 # DEPENDENCYPART_ARC
(4,18),-0.847955 # DEPENDENCYPART_ARC
(4,19),-1.90358 # DEPENDENCYPART_ARC
(4,20),-0.693047 # DEPENDENCYPART_ARC
(4,21),-1.12188 # DEPENDENCYPART_ARC
(5,1),-1.44895 # DEPENDENCYPART_ARC
(5,2),-1.73026 # DEPENDENCYPART_ARC
(5,3),-1.00338 # DEPENDENCYPART_ARC
(5,4),-0.305101 # DEPENDENCYPART_ARC
(5,6),-0.689885 # DEPENDENCYPART_ARC
(5,7),-1.95909 # DEPENDENCYPART_ARC
(5,8),-2.08479 # DEPENDENCYPART_ARC
(5,9),-2.17459 # DEPENDENCYPART_ARC
(5,10),-1.2586 # DEPENDENCYPART_ARC
(5,11),-2.40602 # DEPENDENCYPART_ARC
(5,12),-2.1915 # DEPENDENCYPART_ARC
(5,13),-2.29449 # DEPENDENCYPART_ARC
(5,14),-2.78168 # DEPENDENCYPART_ARC
(5,15),-2.76967 # DEPENDENCYPART_ARC
(5,16),-2.68073 # DEPENDENCYPART_ARC
(5,17),-2.79482 # DEPENDENCYPART_ARC
(5,18),-2.74922 # DEPENDENCYPART_ARC
(5,19),-2.7844 # DEPENDENCYPART_ARC
(5,20),-2.82988 # DEPENDENCYPART_ARC
(5,21),-1.82267 # DEPENDENCYPART_ARC
(6,1),-0.708132 # DEPENDENCYPART_ARC
(6,2),-0.44817 # DEPENDENCYPART_ARC
(6,3),-0.37175 # DEPENDENCYPART_ARC
(6,4),1.10295 # DEPENDENCYPART_ARC
(6,5),-0.054254 # DEPENDENCYPART_ARC
(6,7),1.90973 # DEPENDENCYPART_ARC
(6,8),2.52165 # DEPENDENCYPART_ARC
(6,9),0.922717 # DEPENDENCYPART_ARC
(6,10),0.753664 # DEPENDENCYPART_ARC
(6,11),-1.04255 # DEPENDENCYPART_ARC
(6,12),-0.438428 # DEPENDENCYPART_ARC
(6,13),0.249358 # DEPENDENCYPART_ARC
(6,14),-0.78447 # DEPENDENCYPART_ARC
(6,15),-0.898073 # DEPENDENCYPART_ARC
(6,16),-0.539945 # DEPENDENCYPART_ARC
(6,17),-0.275126 # DEPENDENCYPART_ARC
(6,18),-1.17066 # DEPENDENCYPART_ARC
(6,19),-0.422957 # DEPENDENCYPART_ARC
(6,20),-1.36801 # DEPENDENCYPART_ARC
(6,21),-1.5838 # DEPENDENCYPART_ARC
(7,1),-1.45251 # DEPENDENCYPART_ARC
(7,2),-2.23678 # DEPENDENCYPART_ARC
(7,3),-0.954187 # DEPENDENCYPART_ARC
(7,4),-1.28648 # DEPENDENCYPART_ARC
(7,5),-1.05944 # DEPENDENCYPART_ARC
(7,6),-0.549844 # DEPENDENCYPART_ARC
(7,8),0.0959176 # DEPENDENCYPART_ARC
(7,9),0.209365 # DEPENDENCYPART_ARC
(7,10),-0.00213463 # DEPENDENCYPART_ARC
(7,11),-0.914722 # DEPENDENCYPART_ARC
(7,12),-0.656996 # DEPENDENCYPART_ARC
(7,13),-0.92328 # DEPENDENCYPART_ARC
(7,14),-1.3041 # DEPENDENCYPART_ARC
(7,15),-1.55565 # DEPENDENCYPART_ARC
(7,16),-1.39209 # DEPENDENCYPART_ARC
(7,17),-1.56119 # DEPENDENCYPART_ARC
(7,18),-1.47366 # DEPENDENCYPART_ARC
(7,19),-1.62671 # DEPENDENCYPART_ARC
(7,20),-1.48759 # DEPENDENCYPART_ARC
(7,21),-1.75343 # DEPENDENCYPART_ARC
(8,1),-2.17861 # DEPENDENCYPART_ARC
(8,2),-2.88313 # DEPENDENCYPART_ARC
(8,3),-1.72024 # DEPENDENCYPART_ARC
(8,4),-1.40227 # DEPENDENCYPART_ARC
(8,5),-1.76408 # DEPENDENCYPART_ARC
(8,6),-2.25677 # DEPENDENCYPART_ARC
(8,7),0.315419 # DEPENDENCYPART_ARC
(8,9),4.31517 # DEPENDENCYPART_ARC
(8,10),0.560657 # DEPENDENCYPART_ARC
(8,11),-0.654276 # DEPENDENCYPART_ARC
(8,12),-1.69978 # DEPENDENCYPART_ARC
(8,13),-1.58643 # DEPENDENCYPART_ARC
(8,14),-0.875364 # DEPENDENCYPART_ARC
(8,15),-2.50034 # DEPENDENCYPART_ARC
(8,16),-2.75571 # DEPENDENCYPART_ARC
(8,17),-1.29274 # DEPENDENCYPART_ARC
(8,18),-2.31558 # DEPENDENCYPART_ARC
(8,19),-1.40826 # DEPENDENCYPART_ARC
(8,20),-3.69211 # DEPENDENCYPART_ARC
(8,21),-1.2117 # DEPENDENCYPART_ARC
(9,1),-1.82633 # DEPENDENCYPART_ARC
(9,2),-3.28587 # DEPENDENCYPART_ARC
(9,3),-1.56432 # DEPENDENCYPART_ARC
(9,4),-0.246726 # DEPENDENCYPART_ARC
(9,5),-2.52211 # DEPENDENCYPART_ARC
(9,6),-0.991223 # DEPENDENCYPART_ARC
(9,7),0.227494 # DEPENDENCYPART_ARC
(9,8),0.73113 # DEPENDENCYPART_ARC
(9,10),2.65528 # DEPENDENCYPART_ARC
(9,11),-0.755416 # DEPENDENCYPART_ARC
(9,12),0.746759 # DEPENDENCYPART_ARC
(9,13),0.202368 # DEPENDENCYPART_ARC
(9,14),-0.370627 # DEPENDENCYPART_ARC
(9,15),-1.59314 # DEPENDENCYPART_ARC
(9,16),-0.655891 # DEPENDENCYPART_ARC
(9,17),0.01217 # DEPENDENCYPART_ARC
(9,18),-0.305223 # DEPENDENCYPART_ARC
(9,19),-0.0326092 # DEPENDENCYPART_ARC
(9,20),-0.246933 # DEPENDENCYPART_ARC
(9,21),-0.835217 # DEPENDENCYPART_ARC
(10,1),-2.09179 # DEPENDENCYPART_ARC
(10,2),-2.64308 # DEPENDENCYPART_ARC
(10,3),-1.97097 # DEPENDENCYPART_ARC
(10,4),-2.205 # DEPENDENCYPART_ARC
(10,5),-2.13143 # DEPENDENCYPART_ARC
(10,6),-2.57147 # DEPENDENCYPART_ARC
(10,7),-1.60711 # DEPENDENCYPART_ARC
(10,8),-1.11565 # DEPENDENCYPART_ARC
(10,9),-0.835004 # DEPENDENCYPART_ARC
(10,11),-1.15436 # DEPENDENCYPART_ARC
(10,12),-1.63575 # DEPENDENCYPART_ARC
(10,13),-1.98615 # DEPENDENCYPART_ARC
(10,14),-2.63526 # DEPENDENCYPART_ARC
(10,15),-2.62128 # DEPENDENCYPART_ARC
(10,16),-2.69563 # DEPENDENCYPART_ARC
(10,17),-2.75902 # DEPENDENCYPART_ARC
(10,18),-2.77982 # DEPENDENCYPART_ARC
(10,19),-2.85102 # DEPENDENCYPART_ARC
(10,20),-2.80076 # DEPENDENCYPART_ARC
(10,21),-1.80195 # DEPENDENCYPART_ARC
(11,1),-1.76049 # DEPENDENCYPART_ARC
(11,2),-2.73345 # DEPENDENCYPART_ARC
(11,3),-1.55611 # DEPENDENCYPART_ARC
(11,4),-1.29023 # DEPENDENCYPART_ARC
(11,5),-1.69123 # DEPENDENCYPART_ARC
(11,6),-2.83986 # DEPENDENCYPART_ARC
(11,7),-0.981493 # DEPENDENCYPART_ARC
(11,8),-0.727777 # DEPENDENCYPART_ARC
(11,9),-1.42552 # DEPENDENCYPART_ARC
(11,10),0.217104 # DEPENDENCYPART_ARC
(11,12),-0.345537 # DEPENDENCYPART_ARC
(11,13),-1.97217 # DEPENDENCYPART_ARC
(11,14),-1.4425 # DEPENDENCYPART_ARC
(11,15),-0.628478 # DEPENDENCYPART_ARC
(11,16),-1.1073 # DEPENDENCYPART_ARC
(11,17),-1.77256 # DEPENDENCYPART_ARC
(11,18),-1.97064 # DEPENDENCYPART_ARC
(11,19),-1.95436 # DEPENDENCYPART_ARC
(11,20),-1.62377 # DEPENDENCYPART_ARC
(11,21),-1.50469 # DEPENDENCYPART_ARC
(12,1),-2.56706 # DEPENDENCYPART_ARC
(12,2),-0.594666 # DEPENDENCYPART_ARC
(12,3),-1.35131 # DEPENDENCYPART_ARC
(12,4),-1.23835 # DEPENDENCYPART_ARC
(12,5),-2.44622 # DEPENDENCYPART_ARC
(12,6),-0.864369 # DEPENDENCYPART_ARC
(12,7),-0.669244 # DEPENDENCYPART_ARC
(12,8),-0.985663 # DEPENDENCYPART_ARC
(12,9),-0.453318 # DEPENDENCYPART_ARC
(12,10),-1.48832 # DEPENDENCYPART_ARC
(12,11),2.4267 # DEPENDENCYPART_ARC
(12,13),0.61479 # DEPENDENCYPART_ARC
(12,14),-0.218358 # DEPENDENCYPART_ARC
(12,15),-0.436701 # DEPENDENCYPART_ARC
(12,16),0.0296292 # DEPENDENCYPART_ARC
(12,17),-0.516978 # DEPENDENCYPART_ARC
(12,18),-0.887798 # DEPENDENCYPART_ARC
(12,19),-0.827889 # DEPENDENCYPART_ARC
(12,20),-1.31433 # DEPENDENCYPART_ARC
(12,21),-1.28913 # DEPENDENCYPART_ARC
(13,1),-0.455679 # DEPENDENCYPART_ARC
(13,2),0.126835 # DEPENDENCYPART_ARC
(13,3),-0.503625 # DEPENDENCYPART_ARC
(13,4),0.759727 # DEPENDENCYPART_ARC
(13,5),-1.66393 # DEPENDENCYPART_ARC
(13,6),-0.0323728 # DEPENDENCYPART_ARC
(13,7),0.688435 # DEPENDENCYPART_ARC
(13,8),0.532004 # DEPENDENCYPART_ARC
(13,9),-0.320852 # DEPENDENCYPART_ARC
(13,10),-0.979496 # DEPENDENCYPART_ARC
(13,11),3.85692 # DEPENDENCYPART_ARC
(13,12),5.10572 # DEPENDENCYPART_ARC
(13,14),2.03737 # DEPENDENCYPART_ARC
(13,15),1.27127 # DEPENDENCYPART_ARC
(13,16),2.14333 # DEPENDENCYPART_ARC
(13,17),1.38985 # DEPENDENCYPART_ARC
(13,18),1.12986 # DEPENDENCYPART_ARC
(13,19),1.27329 # DEPENDENCYPART_ARC
(13,20),0.346563 # DEPENDENCYPART_ARC
(13,21),-0.181593 # DEPENDENCYPART_ARC
(14,1),-1.53039 # DEPENDENCYPART_ARC
(14,2),-2.62722 # DEPENDENCYPART_ARC
(14,3),-1.56445 # DEPENDENCYPART_ARC
(14,4),-2.00593 # DEPENDENCYPART_ARC
(14,5),-2.07701 # DEPENDENCYPART_ARC
(14,6),-2.7262 # DEPENDENCYPART_ARC
(14,7),-1.34894 # DEPENDENCYPART_ARC
(14,8),-1.349 # DEPENDENCYPART_ARC
(14,9),-2.08642 # DEPENDENCYPART_ARC
(14,10),-1.60619 # DEPENDENCYPART_ARC
(14,11),-1.17312 # DEPENDENCYPART_ARC
(14,12),-1.30999 # DEPENDENCYPART_ARC
(14,13),-0.527221 # DEPENDENCYPART_ARC
(14,15),0.787409 # DEPENDENCYPART_ARC
(14,16),0.462706 # DEPENDENCYPART_ARC
(14,17),-0.182036 # DEPENDENCYPART_ARC
(14,18),-0.216907 # DEPENDENCYPART_ARC
(14,19),-0.315927 # DEPENDENCYPART_ARC
(14,20),-0.515003 # DEPENDENCYPART_ARC
(14,21),-0.551207 # DEPENDENCYPART_ARC
(15,1),-2.09982 # DEPENDENCYPART_ARC
(15,2),-2.47311 # DEPENDENCYPART_ARC
(15,3),-1.2529 # DEPENDENCYPART_ARC
(15,4),-2.03184 # DEPENDENCYPART_ARC
(15,5),-1.93187 # DEPENDENCYPART_ARC
(15,6),-2.83947 # DEPENDENCYPART_ARC
(15,7),-1.37379 # DEPENDENCYPART_ARC
(15,8),-1.44648 # DEPENDENCYPART_ARC
(15,9),-2.47392 # DEPENDENCYPART_ARC
(15,10),-1.47521 # DEPENDENCYPART_ARC
(15,11),-0.406314 # DEPENDENCYPART_ARC
(15,12),-1.66842 # DEPENDENCYPART_ARC
(15,13),-1.30313 # DEPENDENCYPART_ARC
(15,14),1.62458 # DEPENDENCYPART_ARC
(15,16),1.12163 # DEPENDENCYPART_ARC
(15,17),-0.0333029 # DEPENDENCYPART_ARC
(15,18),-0.80347 # DEPENDENCYPART_ARC
(15,19),-0.405951 # DEPENDENCYPART_ARC
(15,20),-0.51937 # DEPENDENCYPART_ARC
(15,21),-0.61002 # DEPENDENCYPART_ARC
(16,1),-1.55452 # DEPENDENCYPART_ARC
(16,2),-2.05855 # DEPENDENCYPART_ARC
(16,3),-1.01219 # DEPENDENCYPART_ARC
(16,4),-1.75799 # DEPENDENCYPART_ARC
(16,5),-2.22662 # DEPENDENCYPART_ARC
(16,6),-1.12169 # DEPENDENCYPART_ARC
(16,7),-0.19469 # DEPENDENCYPART_ARC
(16,8),-0.757142 # DEPENDENCYPART_ARC
(16,9),-1.83044 # DEPENDENCYPART_ARC
(16,10),-1.70107 # DEPENDENCYPART_ARC
(16,11),-0.518488 # DEPENDENCYPART_ARC
(16,12),-1.91167 # DEPENDENCYPART_ARC
(16,13),-0.723697 # DEPENDENCYPART_ARC
(16,14),1.5173 # DEPENDENCYPART_ARC
(16,15),3.82358 # DEPENDENCYPART_ARC
(16,17),2.90432 # DEPENDENCYPART_ARC
(16,18),1.72415 # DEPENDENCYPART_ARC
(16,19),1.56157 # DEPENDENCYPART_ARC
(16,20),1.09135 # DEPENDENCYPART_ARC
(16,21),-0.0623163 # DEPENDENCYPART_ARC
(17,1),-1.84916 # DEPENDENCYPART_ARC
(17,2),-2.31131 # DEPENDENCYPART_ARC
(17,3),-1.75114 # DEPENDENCYPART_ARC
(17,4),-1.81549 # DEPENDENCYPART_ARC
(17,5),-1.94456 # DEPENDENCYPART_ARC
(17,6),-2.35749 # DEPENDENCYPART_ARC
(17,7),-1.18629 # DEPENDENCYPART_ARC
(17,8),-1.28995 # DEPENDENCYPART_ARC
(17,9),-1.85265 # DEPENDENCYPART_ARC
(17,10),-1.72842 # DEPENDENCYPART_ARC
(17,11),-1.53636 # DEPENDENCYPART_ARC
(17,12),-2.03153 # DEPENDENCYPART_ARC
(17,13),-1.87099 # DEPENDENCYPART_ARC
(17,14),-0.299974 # DEPENDENCYPART_ARC
(17,15),-0.871763 # DEPENDENCYPART_ARC
(17,16),-0.205882 # DEPENDENCYPART_ARC
(17,18),4.10348 # DEPENDENCYPART_ARC
(17,19),-0.167165 # DEPENDENCYPART_ARC
(17,20),1.43793 # DEPENDENCYPART_ARC
(17,21),-0.550292 # DEPENDENCYPART_ARC
(18,1),-3.43511 # DEPENDENCYPART_ARC
(18,2),-4.23405 # DEPENDENCYPART_ARC
(18,3),-2.70214 # DEPENDENCYPART_ARC
(18,4),-1.46714 # DEPENDENCYPART_ARC
(18,5),-3.61565 # DEPENDENCYPART_ARC
(18,6),-2.21181 # DEPENDENCYPART_ARC
(18,7),-1.97919 # DEPENDENCYPART_ARC
(18,8),-2.0251 # DEPENDENCYPART_ARC
(18,9),-3.25622 # DEPENDENCYPART_ARC
(18,10),-3.29403 # DEPENDENCYPART_ARC
(18,11),-1.34497 # DEPENDENCYPART_ARC
(18,12),-2.37689 # DEPENDENCYPART_ARC
(18,13),-2.24244 # DEPENDENCYPART_ARC
(18,14),-0.890162 # DEPENDENCYPART_ARC
(18,15),-0.664425 # DEPENDENCYPART_ARC
(18,16),-1.6565 # DEPENDENCYPART_ARC
(18,17),0.58351 # DEPENDENCYPART_ARC
(18,19),1.1076 # DEPENDENCYPART_ARC
(18,20),0.237038 # DEPENDENCYPART_ARC
(18,21),-0.833081 # DEPENDENCYPART_ARC
(19,1),-1.99798 # DEPENDENCYPART_ARC
(19,2),-2.47924 # DEPENDENCYPART_ARC
(19,3),-1.87911 # DEPENDENCYPART_ARC
(19,4),-2.08867 # DEPENDENCYPART_ARC
(19,5),-2.27059 # DEPENDENCYPART_ARC
(19,6),-2.41779 # DEPENDENCYPART_ARC
(19,7),-1.4404 # DEPENDENCYPART_ARC
(19,8),-1.64893 # DEPENDENCYPART_ARC
(19,9),-2.09077 # DEPENDENCYPART_ARC
(19,10),-2.03133 # DEPENDENCYPART_ARC
(19,11),-1.79701 # DEPENDENCYPART_ARC
(19,12),-2.29223 # DEPENDENCYPART_ARC
(19,13),-2.2277 # DEPENDENCYPART_ARC
(19,14),-0.919001 # DEPENDENCYPART_ARC
(19,15),-1.72059 # DEPENDENCYPART_ARC
(19,16),-1.4263 # DEPENDENCYPART_ARC
(19,17),-0.37488 # DEPENDENCYPART_ARC
(19,18),-0.271537 # DEPENDENCYPART_ARC
(19,20),4.35267 # DEPENDENCYPART_ARC
(19,21),-0.287043 # DEPENDENCYPART_ARC
(20,1),-3.45197 # DEPENDENCYPART_ARC
(20,2),-3.78656 # DEPENDENCYPART_ARC
(20,3),-2.9593 # DEPENDENCYPART_ARC
(20,4),-2.12935 # DEPENDENCYPART_ARC
(20,5),-3.84465 # DEPENDENCYPART_ARC
(20,6),-2.12955 # DEPENDENCYPART_ARC
(20,7),-2.16331 # DEPENDENCYPART_ARC
(20,8),-2.45013 # DEPENDENCYPART_ARC
(20,9),-3.89965 # DEPENDENCYPART_ARC
(20,10),-3.41854 # DEPENDENCYPART_ARC
(20,11),-1.65299 # DEPENDENCYPART_ARC
(20,12),-2.80379 # DEPENDENCYPART_ARC
(20,13),-2.25598 # DEPENDENCYPART_ARC
(20,14),-1.5681 # DEPENDENCYPART_ARC
(20,15),-0.871112 # DEPENDENCYPART_ARC
(20,16),-1.99309 # DEPENDENCYPART_ARC
(20,17),-0.93133 # DEPENDENCYPART_ARC
(20,18),-1.67293 # DEPENDENCYPART_ARC
(20,19),0.390596 # DEPENDENCYPART_ARC
(20,21),2.26027 # DEPENDENCYPART_ARC
(21,1),-2.30607 # DEPENDENCYPART_ARC
(21,2),-2.819 # DEPENDENCYPART_ARC
(21,3),-2.3368 # DEPENDENCYPART_ARC
(21,4),-2.55107 # DEPENDENCYPART_ARC
(21,5),-2.53757 # DEPENDENCYPART_ARC
(21,6),-3.04928 # DEPENDENCYPART_ARC
(21,7),-2.59636 # DEPENDENCYPART_ARC
(21,8),-2.13737 # DEPENDENCYPART_ARC
(21,9),-2.73541 # DEPENDENCYPART_ARC
(21,10),-2.39645 # DEPENDENCYPART_ARC
(21,11),-2.3178 # DEPENDENCYPART_ARC
(21,12),-2.92906 # DEPENDENCYPART_ARC
(21,13),-2.86251 # DEPENDENCYPART_ARC
(21,14),-2.19739 # DEPENDENCYPART_ARC
(21,15),-2.35795 # DEPENDENCYPART_ARC
(21,16),-2.29645 # DEPENDENCYPART_ARC
(21,17),-1.59685 # DEPENDENCYPART_ARC
(21,18),-1.83997 # DEPENDENCYPART_ARC
(21,19),-1.09975 # DEPENDENCYPART_ARC
(21,20),-0.818931 # DEPENDENCYPART_ARC
