# _root_ Collezione " Bi Marmi " , ( distr. da Palazzo ) in marmo naturale , assemblato a mosaico .
#goldHeads=0,3,1,3,4,5,8,1,8,9,10,1,12,13,14,13,16,17,18,
#predictedHeads=0,3,1,3,4,5,8,1,8,9,10,8,12,13,14,13,16,17,18,
(7,4),-1.80955 # DEPENDENCYPART_ARC
(7,5),-1.19966 # DEPENDENCYPART_ARC
(7,6),-0.225522 # DEPENDENCYPART_ARC
(7,8),-0.249912 # DEPENDENCYPART_ARC
(7,9),-1.6455 # DEPENDENCYPART_ARC
(7,10),-1.56213 # DEPENDENCYPART_ARC
(7,11),-0.797042 # DEPENDENCYPART_ARC
(7,12),-2.02236 # DEPENDENCYPART_ARC
(7,13),-1.93079 # DEPENDENCYPART_ARC
(7,14),-2.15515 # DEPENDENCYPART_ARC
(7,15),-0.745914 # DEPENDENCYPART_ARC
(7,16),-1.86361 # DEPENDENCYPART_ARC
(7,17),-2.27443 # DEPENDENCYPART_ARC
(7,18),-2.26927 # DEPENDENCYPART_ARC
(7,19),-1.44646 # DEPENDENCYPART_ARC
(8,1),-0.45692 # DEPENDENCYPART_ARC
(8,2),0.190607 # DEPENDENCYPART_ARC
(8,3),0.231836 # DEPENDENCYPART_ARC
(8,4),0.322593 # DEPENDENCYPART_ARC
(8,5),0.750348 # DEPENDENCYPART_ARC
(8,6),1.16137 # DEPENDENCYPART_ARC
(8,7),2.17335 # DEPENDENCYPART_ARC
(8,9),1.52984 # DEPENDENCYPART_ARC
(8,10),1.33077 # DEPENDENCYPART_ARC
(8,11),0.64747 # DEPENDENCYPART_ARC
(8,12),0.281744 # DEPENDENCYPART_ARC
(8,13),0.466425 # DEPENDENCYPART_ARC
(8,14),-0.0412117 # DEPENDENCYPART_ARC
(8,15),0.344482 # DEPENDENCYPART_ARC
(8,16),-0.327907 # DEPENDENCYPART_ARC
(8,17),-0.452261 # DEPENDENCYPART_ARC
(8,18),-0.0279662 # DEPENDENCYPART_ARC
(8,19),-0.00702901 # DEPENDENCYPART_ARC
(9,1),-2.10899 # DEPENDENCYPART_ARC
(9,2),-1.91096 # DEPENDENCYPART_ARC
(9,3),-2.02508 # DEPENDENCYPART_ARC
(9,4),-1.81597 # DEPENDENCYPART_ARC
(9,5),-1.67503 # DEPENDENCYPART_ARC
(9,6),-1.23438 # DEPENDENCYPART_ARC
(9,7),-0.182877 # DEPENDENCYPART_ARC
(9,8),-0.0443539 # DEPENDENCYPART_ARC
(9,10),4.16179 # DEPENDENCYPART_ARC
(9,11),0.420342 # DEPENDENCYPART_ARC
(9,12),-0.0837424 # DEPENDENCYPART_ARC
(9,13),0.511685 # DEPENDENCYPART_ARC
(9,14),-0.00358824 # DEPENDENCYPART_ARC
(9,15),-0.0340444 # DEPENDENCYPART_ARC
(9,16),-0.731913 # DEPENDENCYPART_ARC
(9,17),-0.513852 # DEPENDENCYPART_ARC
(9,18),-1.67695 # DEPENDENCYPART_ARC
(9,19),-0.784288 # DEPENDENCYPART_ARC
(10,1),-4.8673 # DEPENDENCYPART_ARC
(10,2),-2.4401 # DEPENDENCYPART_ARC
(10,3),-3.05472 # DEPENDENCYPART_ARC
(10,4),-3.81163 # DEPENDENCYPART_ARC
(10,5),-2.05745 # DEPENDENCYPART_ARC
(10,6),-3.16551 # DEPENDENCYPART_ARC
(10,7),-1.83939 # DEPENDENCYPART_ARC
(10,8),-0.964672 # DEPENDENCYPART_ARC
(10,9),0.0972161 # DEPENDENCYPART_ARC
(10,11),2.18822 # DEPENDENCYPART_ARC
(10,12),0.0472223 # DEPENDENCYPART_ARC
(10,13),0.529358 # DEPENDENCYPART_ARC
(10,14),0.917937 # DEPENDENCYPART_ARC
(10,15),-0.273735 # DEPENDENCYPART_ARC
(10,16),0.499742 # DEPENDENCYPART_ARC
(10,17),-0.576179 # DEPENDENCYPART_ARC
(10,18),-0.50198 # DEPENDENCYPART_ARC
(10,19),-1.18786 # DEPENDENCYPART_ARC
(11,1),-2.29573 # DEPENDENCYPART_ARC
(11,2),-1.99826 # DEPENDENCYPART_ARC
(11,3),-2.19979 # DEPENDENCYPART_ARC
(11,4),-2.1474 # DEPENDENCYPART_ARC
(11,5),-1.87363 # DEPENDENCYPART_ARC
(11,6),-1.69259 # DEPENDENCYPART_ARC
(11,7),-1.46752 # DEPENDENCYPART_ARC
(11,8),-1.19508 # DEPENDENCYPART_ARC
(11,9),-0.759274 # DEPENDENCYPART_ARC
(11,10),-0.471621 # DEPENDENCYPART_ARC
(11,12),-0.789628 # DEPENDENCYPART_ARC
(11,13),-0.88282 # DEPENDENCYPART_ARC
(11,14),-1.38026 # DEPENDENCYPART_ARC
(11,15),-0.152957 # DEPENDENCYPART_ARC
(11,16),-1.40323 # DEPENDENCYPART_ARC
(11,17),-1.96965 # DEPENDENCYPART_ARC
(11,18),-1.93031 # DEPENDENCYPART_ARC
(11,19),-0.79013 # DEPENDENCYPART_ARC
(12,1),-2.15535 # DEPENDENCYPART_ARC
(12,2),-1.95356 # DEPENDENCYPART_ARC
(12,3),-2.03305 # DEPENDENCYPART_ARC
(12,4),-1.94588 # DEPENDENCYPART_ARC
(12,5),-1.8184 # DEPENDENCYPART_ARC
(12,6),-1.52531 # DEPENDENCYPART_ARC
(12,7),-0.694906 # DEPENDENCYPART_ARC
(12,8),-1.47642 # DEPENDENCYPART_ARC
(12,9),-0.582259 # DEPENDENCYPART_ARC
(12,10),-1.01658 # DEPENDENCYPART_ARC
(12,11),0.213612 # DEPENDENCYPART_ARC
(12,13),3.74391 # DEPENDENCYPART_ARC
(12,14),0.758231 # DEPENDENCYPART_ARC
(12,15),-0.0644445 # DEPENDENCYPART_ARC
(12,16),-0.472301 # DEPENDENCYPART_ARC
(12,17),-0.6275 # DEPENDENCYPART_ARC
(12,18),-0.447501 # DEPENDENCYPART_ARC
(12,19),-0.673169 # DEPENDENCYPART_ARC
(13,1),-4.79384 # DEPENDENCYPART_ARC
(13,2),-2.32891 # DEPENDENCYPART_ARC
(13,3),-3.50187 # DEPENDENCYPART_ARC
(13,4),-3.74233 # DEPENDENCYPART_ARC
(13,5),-2.21435 # DEPENDENCYPART_ARC
(13,6),-3.28631 # DEPENDENCYPART_ARC
(13,7),-2.28649 # DEPENDENCYPART_ARC
(13,8),-1.56375 # DEPENDENCYPART_ARC
(13,9),-1.38295 # DEPENDENCYPART_ARC
(13,10),-2.11133 # DEPENDENCYPART_ARC
(13,11),-1.13009 # DEPENDENCYPART_ARC
(13,12),0.774795 # DEPENDENCYPART_ARC
(13,14),3.16897 # DEPENDENCYPART_ARC
(13,15),0.11271 # DEPENDENCYPART_ARC
(13,16),1.15342 # DEPENDENCYPART_ARC
(13,17),0.0420003 # DEPENDENCYPART_ARC
(13,18),-0.00823914 # DEPENDENCYPART_ARC
(13,19),-0.672779 # DEPENDENCYPART_ARC
(14,1),-2.32698 # DEPENDENCYPART_ARC
(14,2),-1.10073 # DEPENDENCYPART_ARC
(14,3),-1.74613 # DEPENDENCYPART_ARC
(14,4),-1.59318 # DEPENDENCYPART_ARC
(14,5),-0.980824 # DEPENDENCYPART_ARC
(14,6),-1.44605 # DEPENDENCYPART_ARC
(14,7),-0.906222 # DEPENDENCYPART_ARC
(14,8),-0.606232 # DEPENDENCYPART_ARC
(14,9),-0.518179 # DEPENDENCYPART_ARC
(14,10),-1.29562 # DEPENDENCYPART_ARC
(14,11),-0.427619 # DEPENDENCYPART_ARC
(14,12),0.702001 # DEPENDENCYPART_ARC
(14,13),0.425056 # DEPENDENCYPART_ARC
(14,15),2.32236 # DEPENDENCYPART_ARC
(14,16),0.374513 # DEPENDENCYPART_ARC
(14,17),0.0491199 # DEPENDENCYPART_ARC
(14,18),-0.0684322 # DEPENDENCYPART_ARC
(14,19),-0.14779 # DEPENDENCYPART_ARC
(15,1),-2.7126 # DEPENDENCYPART_ARC
(15,2),-2.29611 # DEPENDENCYPART_ARC
(15,3),-2.55837 # DEPENDENCYPART_ARC
(15,4),-2.64724 # DEPENDENCYPART_ARC
(15,5),-2.28982 # DEPENDENCYPART_ARC
(15,6),-2.16457 # DEPENDENCYPART_ARC
(15,7),-2.05975 # DEPENDENCYPART_ARC
(15,8),-2.03413 # DEPENDENCYPART_ARC
(15,9),-1.79086 # DEPENDENCYPART_ARC
(15,10),-2.24629 # DEPENDENCYPART_ARC
(15,11),-1.82137 # DEPENDENCYPART_ARC
(15,12),-1.20371 # DEPENDENCYPART_ARC
(15,13),-1.59431 # DEPENDENCYPART_ARC
(15,14),-0.578139 # DEPENDENCYPART_ARC
(15,16),-0.642472 # DEPENDENCYPART_ARC
(15,17),-1.96009 # DEPENDENCYPART_ARC
(15,18),-1.92174 # DEPENDENCYPART_ARC
(15,19),-1.12935 # DEPENDENCYPART_ARC
(16,1),-2.34296 # DEPENDENCYPART_ARC
(16,2),-2.33283 # DEPENDENCYPART_ARC
(16,3),-0.85516 # DEPENDENCYPART_ARC
(16,4),-1.38041 # DEPENDENCYPART_ARC
(16,5),-2.21717 # DEPENDENCYPART_ARC
(16,6),-2.52611 # DEPENDENCYPART_ARC
(16,7),-1.50054 # DEPENDENCYPART_ARC
(16,8),-1.86044 # DEPENDENCYPART_ARC
(16,9),-0.485034 # DEPENDENCYPART_ARC
(16,10),-1.18971 # DEPENDENCYPART_ARC
(16,11),-1.96462 # DEPENDENCYPART_ARC
(16,12),0.25839 # DEPENDENCYPART_ARC
(16,13),-0.579985 # DEPENDENCYPART_ARC
(16,14),-0.401974 # DEPENDENCYPART_ARC
(16,15),-0.265512 # DEPENDENCYPART_ARC
(16,17),2.93798 # DEPENDENCYPART_ARC
(16,18),1.19368 # DEPENDENCYPART_ARC
(16,19),-0.00757121 # DEPENDENCYPART_ARC
(17,1),-2.11279 # DEPENDENCYPART_ARC
(17,2),-1.96412 # DEPENDENCYPART_ARC
(17,3),-2.17178 # DEPENDENCYPART_ARC
(17,4),-1.95802 # DEPENDENCYPART_ARC
(17,5),-1.86071 # DEPENDENCYPART_ARC
(17,6),-1.79841 # DEPENDENCYPART_ARC
(17,7),-1.01145 # DEPENDENCYPART_ARC
(17,8),-1.69075 # DEPENDENCYPART_ARC
(17,9),-1.28233 # DEPENDENCYPART_ARC
(17,10),-1.75584 # DEPENDENCYPART_ARC
(17,11),-1.51541 # DEPENDENCYPART_ARC
(17,12),-1.14128 # DEPENDENCYPART_ARC
(17,13),-1.48385 # DEPENDENCYPART_ARC
(17,14),-1.27524 # DEPENDENCYPART_ARC
(17,15),-0.756553 # DEPENDENCYPART_ARC
(17,16),-0.0432213 # DEPENDENCYPART_ARC
(17,18),4.76827 # DEPENDENCYPART_ARC
(17,19),-0.0164414 # DEPENDENCYPART_ARC
(18,1),-5.32996 # DEPENDENCYPART_ARC
(18,2),-2.7441 # DEPENDENCYPART_ARC
(18,3),-3.64591 # DEPENDENCYPART_ARC
(18,4),-4.44414 # DEPENDENCYPART_ARC
(18,5),-2.63315 # DEPENDENCYPART_ARC
(18,6),-3.73224 # DEPENDENCYPART_ARC
(18,7),-2.78918 # DEPENDENCYPART_ARC
(18,8),-2.08601 # DEPENDENCYPART_ARC
(18,9),-2.65185 # DEPENDENCYPART_ARC
(18,10),-3.30542 # DEPENDENCYPART_ARC
(18,11),-2.80237 # DEPENDENCYPART_ARC
(18,12),-2.06922 # DEPENDENCYPART_ARC
(18,13),-2.29552 # DEPENDENCYPART_ARC
(18,14),-1.62611 # DEPENDENCYPART_ARC
(18,15),-2.39153 # DEPENDENCYPART_ARC
(18,16),-0.351812 # DEPENDENCYPART_ARC
(18,17),0.370275 # DEPENDENCYPART_ARC
(18,19),2.80588 # DEPENDENCYPART_ARC
(19,1),-2.85206 # DEPENDENCYPART_ARC
(19,2),-2.52118 # DEPENDENCYPART_ARC
(19,3),-2.80415 # DEPENDENCYPART_ARC
(19,4),-2.85671 # DEPENDENCYPART_ARC
(19,5),-2.55475 # DEPENDENCYPART_ARC
(19,6),-2.33564 # DEPENDENCYPART_ARC
(19,7),-2.25773 # DEPENDENCYPART_ARC
(19,8),-2.40201 # DEPENDENCYPART_ARC
(19,9),-2.10235 # DEPENDENCYPART_ARC
(19,10),-2.67265 # DEPENDENCYPART_ARC
(19,11),-2.28094 # DEPENDENCYPART_ARC
(19,12),-1.95506 # DEPENDENCYPART_ARC
(19,13),-2.48841 # DEPENDENCYPART_ARC
(19,14),-2.33859 # DEPENDENCYPART_ARC
(19,15),-1.98584 # DEPENDENCYPART_ARC
(19,16),-2.20708 # DEPENDENCYPART_ARC
(19,17),-1.09975 # DEPENDENCYPART_ARC
(19,18),-0.818931 # DEPENDENCYPART_ARC
