# _root_ Nell' 89 , Palombella rossa e infine Caro diario nel '93 , anno in cui il Festival di Toronto gli dedica una retrospettiva completa .
#goldHeads=4,1,2,0,4,4,4,4,8,8,10,11,11,21,14,17,21,17,18,21,13,23,21,23,24,
#predictedHeads=21,1,2,1,4,5,9,9,4,9,10,11,10,21,14,17,21,17,18,21,0,23,21,23,24,
(10,3),-1.55915 # DEPENDENCYPART_ARC
(10,4),-2.67982 # DEPENDENCYPART_ARC
(10,5),-2.11312 # DEPENDENCYPART_ARC
(10,6),-0.882609 # DEPENDENCYPART_ARC
(10,7),-0.455091 # DEPENDENCYPART_ARC
(10,8),-1.0415 # DEPENDENCYPART_ARC
(10,9),-0.645868 # DEPENDENCYPART_ARC
(10,11),1.96946 # DEPENDENCYPART_ARC
(10,12),0.48672 # DEPENDENCYPART_ARC
(10,13),0.78324 # DEPENDENCYPART_ARC
(10,14),-0.752511 # DEPENDENCYPART_ARC
(10,15),0.486911 # DEPENDENCYPART_ARC
(10,16),-1.15578 # DEPENDENCYPART_ARC
(10,17),-1.43723 # DEPENDENCYPART_ARC
(10,18),-0.56877 # DEPENDENCYPART_ARC
(10,19),-1.71548 # DEPENDENCYPART_ARC
(10,20),-0.892943 # DEPENDENCYPART_ARC
(10,21),-2.20654 # DEPENDENCYPART_ARC
(10,22),-1.90786 # DEPENDENCYPART_ARC
(10,23),-5.10532 # DEPENDENCYPART_ARC
(10,24),-1.83492 # DEPENDENCYPART_ARC
(10,25),-1.14621 # DEPENDENCYPART_ARC
(11,1),-2.08162 # DEPENDENCYPART_ARC
(11,2),-1.46236 # DEPENDENCYPART_ARC
(11,3),-1.65139 # DEPENDENCYPART_ARC
(11,5),-1.52814 # DEPENDENCYPART_ARC
(11,6),-1.40261 # DEPENDENCYPART_ARC
(11,7),-0.968244 # DEPENDENCYPART_ARC
(11,8),-0.893362 # DEPENDENCYPART_ARC
(11,9),-1.13643 # DEPENDENCYPART_ARC
(11,10),0.232386 # DEPENDENCYPART_ARC
(11,12),1.95098 # DEPENDENCYPART_ARC
(11,13),0.532675 # DEPENDENCYPART_ARC
(11,14),0.014205 # DEPENDENCYPART_ARC
(11,16),-0.310228 # DEPENDENCYPART_ARC
(11,17),-0.19807 # DEPENDENCYPART_ARC
(11,18),-0.165093 # DEPENDENCYPART_ARC
(11,21),-0.610957 # DEPENDENCYPART_ARC
(11,22),-0.663005 # DEPENDENCYPART_ARC
(11,23),-0.42276 # DEPENDENCYPART_ARC
(11,24),-0.760414 # DEPENDENCYPART_ARC
(11,25),-0.511407 # DEPENDENCYPART_ARC
(12,3),-1.809 # DEPENDENCYPART_ARC
(12,16),-1.16357 # DEPENDENCYPART_ARC
(12,22),-1.53267 # DEPENDENCYPART_ARC
(12,25),-1.50885 # DEPENDENCYPART_ARC
(13,1),-1.77296 # DEPENDENCYPART_ARC
(13,2),-1.1343 # DEPENDENCYPART_ARC
(13,3),-2.53045 # DEPENDENCYPART_ARC
(13,4),-2.51552 # DEPENDENCYPART_ARC
(13,5),-0.995366 # DEPENDENCYPART_ARC
(13,6),-1.51806 # DEPENDENCYPART_ARC
(13,7),-0.976966 # DEPENDENCYPART_ARC
(13,8),-0.27998 # DEPENDENCYPART_ARC
(13,9),-2.0261 # DEPENDENCYPART_ARC
(13,10),-0.217277 # DEPENDENCYPART_ARC
(13,11),0.52911 # DEPENDENCYPART_ARC
(13,12),0.287798 # DEPENDENCYPART_ARC
(13,14),0.919699 # DEPENDENCYPART_ARC
(13,15),-0.770002 # DEPENDENCYPART_ARC
(13,16),-0.193135 # DEPENDENCYPART_ARC
(13,17),0.334142 # DEPENDENCYPART_ARC
(13,18),0.693159 # DEPENDENCYPART_ARC
(13,19),0.0345016 # DEPENDENCYPART_ARC
(13,20),-2.00078 # DEPENDENCYPART_ARC
(13,21),1.08582 # DEPENDENCYPART_ARC
(13,22),-1.03438 # DEPENDENCYPART_ARC
(13,23),-1.11074 # DEPENDENCYPART_ARC
(13,24),-1.41189 # DEPENDENCYPART_ARC
(13,25),-1.53675 # DEPENDENCYPART_ARC
(14,1),-1.74897 # DEPENDENCYPART_ARC
(14,2),-1.8389 # DEPENDENCYPART_ARC
(14,3),-1.75934 # DEPENDENCYPART_ARC
(14,4),-2.01545 # DEPENDENCYPART_ARC
(14,5),-2.06777 # DEPENDENCYPART_ARC
(14,6),-1.19186 # DEPENDENCYPART_ARC
(14,7),-1.03768 # DEPENDENCYPART_ARC
(14,8),-1.97385 # DEPENDENCYPART_ARC
(14,9),-1.7435 # DEPENDENCYPART_ARC
(14,10),-0.901919 # DEPENDENCYPART_ARC
(14,11),-1.00297 # DEPENDENCYPART_ARC
(14,12),-0.515071 # DEPENDENCYPART_ARC
(14,13),-0.137031 # DEPENDENCYPART_ARC
(14,15),3.11819 # DEPENDENCYPART_ARC
(14,16),-0.614435 # DEPENDENCYPART_ARC
(14,17),-0.233474 # DEPENDENCYPART_ARC
(14,18),-0.801795 # DEPENDENCYPART_ARC
(14,19),-0.811502 # DEPENDENCYPART_ARC
(14,20),-0.370092 # DEPENDENCYPART_ARC
(14,21),-1.8764 # DEPENDENCYPART_ARC
(14,22),-1.70194 # DEPENDENCYPART_ARC
(14,23),-4.28044 # DEPENDENCYPART_ARC
(14,24),-1.2772 # DEPENDENCYPART_ARC
(14,25),-1.7008 # DEPENDENCYPART_ARC
(15,1),-2.5934 # DEPENDENCYPART_ARC
(15,3),-2.09051 # DEPENDENCYPART_ARC
(15,6),-1.74398 # DEPENDENCYPART_ARC
(15,7),-1.82192 # DEPENDENCYPART_ARC
(15,9),-2.93732 # DEPENDENCYPART_ARC
(15,10),-1.9309 # DEPENDENCYPART_ARC
(15,12),-1.32486 # DEPENDENCYPART_ARC
(15,13),-2.17039 # DEPENDENCYPART_ARC
(15,14),0.132677 # DEPENDENCYPART_ARC
(15,16),-0.0284447 # DEPENDENCYPART_ARC
(15,17),-0.550597 # DEPENDENCYPART_ARC
(15,18),-0.340995 # DEPENDENCYPART_ARC
(15,21),-0.756981 # DEPENDENCYPART_ARC
(15,23),-1.51624 # DEPENDENCYPART_ARC
(15,25),-1.10251 # DEPENDENCYPART_ARC
(16,1),-2.96871 # DEPENDENCYPART_ARC
(16,2),-2.21781 # DEPENDENCYPART_ARC
(16,3),-1.95311 # DEPENDENCYPART_ARC
(16,9),-2.5286 # DEPENDENCYPART_ARC
(16,10),-2.28612 # DEPENDENCYPART_ARC
(16,11),-1.74523 # DEPENDENCYPART_ARC
(16,12),-1.50983 # DEPENDENCYPART_ARC
(16,13),-1.86989 # DEPENDENCYPART_ARC
(16,14),-0.995404 # DEPENDENCYPART_ARC
(16,17),1.55027 # DEPENDENCYPART_ARC
(16,18),-0.0653674 # DEPENDENCYPART_ARC
(16,21),-0.959523 # DEPENDENCYPART_ARC
(16,23),-1.236 # DEPENDENCYPART_ARC
(16,25),-1.13218 # DEPENDENCYPART_ARC
(17,1),-0.947935 # DEPENDENCYPART_ARC
(17,2),-1.02946 # DEPENDENCYPART_ARC
(17,3),-2.53983 # DEPENDENCYPART_ARC
(17,4),-1.45245 # DEPENDENCYPART_ARC
(17,5),-1.16599 # DEPENDENCYPART_ARC
(17,6),-1.24122 # DEPENDENCYPART_ARC
(17,7),-0.53756 # DEPENDENCYPART_ARC
(17,8),-1.40113 # DEPENDENCYPART_ARC
(17,9),-2.8401 # DEPENDENCYPART_ARC
(17,10),-0.195608 # DEPENDENCYPART_ARC
(17,11),-0.736262 # DEPENDENCYPART_ARC
(17,12),-1.66946 # DEPENDENCYPART_ARC
(17,13),-1.93624 # DEPENDENCYPART_ARC
(17,14),0.772095 # DEPENDENCYPART_ARC
(17,15),1.01334 # DEPENDENCYPART_ARC
(17,16),3.11532 # DEPENDENCYPART_ARC
(17,18),2.92038 # DEPENDENCYPART_ARC
(17,19),1.2913 # DEPENDENCYPART_ARC
(17,20),-0.801617 # DEPENDENCYPART_ARC
(17,21),1.2378 # DEPENDENCYPART_ARC
(17,22),-0.367872 # DEPENDENCYPART_ARC
(17,23),-0.414239 # DEPENDENCYPART_ARC
(17,24),-0.720135 # DEPENDENCYPART_ARC
(17,25),-0.847819 # DEPENDENCYPART_ARC
(18,1),-2.35001 # DEPENDENCYPART_ARC
(18,2),-2.52049 # DEPENDENCYPART_ARC
(18,3),-2.36945 # DEPENDENCYPART_ARC
(18,4),-2.63628 # DEPENDENCYPART_ARC
(18,5),-2.64746 # DEPENDENCYPART_ARC
(18,6),-1.49484 # DEPENDENCYPART_ARC
(18,7),-2.00719 # DEPENDENCYPART_ARC
(18,8),-2.63644 # DEPENDENCYPART_ARC
(18,9),-2.50745 # DEPENDENCYPART_ARC
(18,10),-1.87963 # DEPENDENCYPART_ARC
(18,11),-2.20152 # DEPENDENCYPART_ARC
(18,12),-2.06212 # DEPENDENCYPART_ARC
(18,13),-2.24694 # DEPENDENCYPART_ARC
(18,14),-1.43157 # DEPENDENCYPART_ARC
(18,15),-1.59902 # DEPENDENCYPART_ARC
(18,16),-0.848918 # DEPENDENCYPART_ARC
(18,17),-0.710474 # DEPENDENCYPART_ARC
(18,19),3.96836 # DEPENDENCYPART_ARC
(18,20),0.349062 # DEPENDENCYPART_ARC
(18,21),-0.586163 # DEPENDENCYPART_ARC
(18,22),-1.41917 # DEPENDENCYPART_ARC
(18,23),-1.83415 # DEPENDENCYPART_ARC
(18,24),-1.15155 # DEPENDENCYPART_ARC
(18,25),-1.23936 # DEPENDENCYPART_ARC
(19,1),-2.95016 # DEPENDENCYPART_ARC
(19,2),-2.13455 # DEPENDENCYPART_ARC
(19,3),-3.69667 # DEPENDENCYPART_ARC
(19,4),-1.76982 # DEPENDENCYPART_ARC
(19,5),-2.53446 # DEPENDENCYPART_ARC
(19,6),-2.33271 # DEPENDENCYPART_ARC
(19,7),-2.14088 # DEPENDENCYPART_ARC
(19,8),-3.46302 # DEPENDENCYPART_ARC
(19,9),-4.31606 # DEPENDENCYPART_ARC
(19,10),-2.09323 # DEPENDENCYPART_ARC
(19,11),-1.94628 # DEPENDENCYPART_ARC
(19,12),-3.11833 # DEPENDENCYPART_ARC
(19,13),-3.78178 # DEPENDENCYPART_ARC
(19,14),-1.0297 # DEPENDENCYPART_ARC
(19,16),-0.284039 # DEPENDENCYPART_ARC
(19,17),-1.01129 # DEPENDENCYPART_ARC
(19,18),0.49495 # DEPENDENCYPART_ARC
(19,20),-0.885065 # DEPENDENCYPART_ARC
(19,21),0.391169 # DEPENDENCYPART_ARC
(19,22),-0.993573 # DEPENDENCYPART_ARC
(19,23),-1.43893 # DEPENDENCYPART_ARC
(19,24),-1.05594 # DEPENDENCYPART_ARC
(19,25),-1.5764 # DEPENDENCYPART_ARC
(20,1),-2.17468 # DEPENDENCYPART_ARC
(20,2),-1.55555 # DEPENDENCYPART_ARC
(20,3),-1.60073 # DEPENDENCYPART_ARC
(20,4),-1.59846 # DEPENDENCYPART_ARC
(20,5),-1.72749 # DEPENDENCYPART_ARC
(20,6),-1.31714 # DEPENDENCYPART_ARC
(20,7),-1.42407 # DEPENDENCYPART_ARC
(20,8),-2.1049 # DEPENDENCYPART_ARC
(20,9),-2.54616 # DEPENDENCYPART_ARC
(20,10),-1.8785 # DEPENDENCYPART_ARC
(20,11),-1.3542 # DEPENDENCYPART_ARC
(20,12),-1.40396 # DEPENDENCYPART_ARC
(20,13),-2.31797 # DEPENDENCYPART_ARC
(20,14),-1.07265 # DEPENDENCYPART_ARC
(20,17),-1.14149 # DEPENDENCYPART_ARC
(20,18),-0.303036 # DEPENDENCYPART_ARC
(20,19),0.242593 # DEPENDENCYPART_ARC
(20,21),0.0684522 # DEPENDENCYPART_ARC
(20,23),-1.06935 # DEPENDENCYPART_ARC
(20,24),-0.748 # DEPENDENCYPART_ARC
(20,25),-0.808679 # DEPENDENCYPART_ARC
(21,1),0.736609 # DEPENDENCYPART_ARC
(21,2),-0.493746 # DEPENDENCYPART_ARC
(21,3),-2.11836 # DEPENDENCYPART_ARC
(21,4),-0.234243 # DEPENDENCYPART_ARC
(21,5),-0.711502 # DEPENDENCYPART_ARC
(21,6),-0.512317 # DEPENDENCYPART_ARC
(21,7),-0.292587 # DEPENDENCYPART_ARC
(21,8),-0.714838 # DEPENDENCYPART_ARC
(21,9),-0.417985 # DEPENDENCYPART_ARC
(21,10),0.0904877 # DEPENDENCYPART_ARC
(21,11),-0.416905 # DEPENDENCYPART_ARC
(21,12),-1.68839 # DEPENDENCYPART_ARC
(21,13),0.439837 # DEPENDENCYPART_ARC
(21,14),1.27147 # DEPENDENCYPART_ARC
(21,15),-0.0157444 # DEPENDENCYPART_ARC
(21,16),-0.609241 # DEPENDENCYPART_ARC
(21,17),1.34256 # DEPENDENCYPART_ARC
(21,18),0.26624 # DEPENDENCYPART_ARC
(21,19),1.04086 # DEPENDENCYPART_ARC
(21,20),4.20916 # DEPENDENCYPART_ARC
(21,22),-0.10874 # DEPENDENCYPART_ARC
(21,23),2.79821 # DEPENDENCYPART_ARC
(21,24),0.393999 # DEPENDENCYPART_ARC
(21,25),0.00506479 # DEPENDENCYPART_ARC
(22,1),-2.91114 # DEPENDENCYPART_ARC
(22,3),-1.9995 # DEPENDENCYPART_ARC
(22,10),-2.43997 # DEPENDENCYPART_ARC
(22,12),-1.92252 # DEPENDENCYPART_ARC
(22,14),-2.01194 # DEPENDENCYPART_ARC
(22,18),-1.55789 # DEPENDENCYPART_ARC
(22,25),-0.175928 # DEPENDENCYPART_ARC
(23,1),-2.01384 # DEPENDENCYPART_ARC
(23,2),-1.9262 # DEPENDENCYPART_ARC
(23,3),-2.83256 # DEPENDENCYPART_ARC
(23,4),-2.88113 # DEPENDENCYPART_ARC
(23,5),-1.43502 # DEPENDENCYPART_ARC
(23,6),-1.70089 # DEPENDENCYPART_ARC
(23,7),-1.54349 # DEPENDENCYPART_ARC
(23,8),-2.24287 # DEPENDENCYPART_ARC
(23,9),-3.36404 # DEPENDENCYPART_ARC
(23,10),-1.25423 # DEPENDENCYPART_ARC
(23,11),-1.75744 # DEPENDENCYPART_ARC
(23,12),-2.51252 # DEPENDENCYPART_ARC
(23,13),-2.83789 # DEPENDENCYPART_ARC
(23,14),-0.72128 # DEPENDENCYPART_ARC
(23,15),-0.946958 # DEPENDENCYPART_ARC
(23,16),-1.14227 # DEPENDENCYPART_ARC
(23,17),-2.70547 # DEPENDENCYPART_ARC
(23,18),-0.343923 # DEPENDENCYPART_ARC
(23,19),-1.50173 # DEPENDENCYPART_ARC
(23,20),0.179246 # DEPENDENCYPART_ARC
(23,21),-0.107083 # DEPENDENCYPART_ARC
(23,22),3.56927 # DEPENDENCYPART_ARC
(23,24),3.35046 # DEPENDENCYPART_ARC
(23,25),0.257933 # DEPENDENCYPART_ARC
(24,1),-2.48852 # DEPENDENCYPART_ARC
(24,2),-1.76021 # DEPENDENCYPART_ARC
(24,3),-2.11811 # DEPENDENCYPART_ARC
(24,4),-2.47207 # DEPENDENCYPART_ARC
(24,5),-1.54142 # DEPENDENCYPART_ARC
(24,6),-2.29901 # DEPENDENCYPART_ARC
(24,7),-2.35606 # DEPENDENCYPART_ARC
(24,8),-2.30178 # DEPENDENCYPART_ARC
(24,9),-2.19263 # DEPENDENCYPART_ARC
(24,10),-1.91542 # DEPENDENCYPART_ARC
(24,11),-1.50676 # DEPENDENCYPART_ARC
(24,12),-1.86207 # DEPENDENCYPART_ARC
(24,13),-2.06114 # DEPENDENCYPART_ARC
(24,14),-0.953786 # DEPENDENCYPART_ARC
(24,15),-0.784973 # DEPENDENCYPART_ARC
(24,16),-1.65278 # DEPENDENCYPART_ARC
(24,17),-1.97053 # DEPENDENCYPART_ARC
(24,18),-0.992166 # DEPENDENCYPART_ARC
(24,19),-1.69316 # DEPENDENCYPART_ARC
(24,20),0.168623 # DEPENDENCYPART_ARC
(24,21),-1.44992 # DEPENDENCYPART_ARC
(24,22),0.256039 # DEPENDENCYPART_ARC
(24,23),0.353013 # DEPENDENCYPART_ARC
(24,25),2.59339 # DEPENDENCYPART_ARC
(25,3),-1.96651 # DEPENDENCYPART_ARC
