# _root_ Poi hanno raggiunto i loro amici , che già si stavano allontanando dalla zona , e sono spariti .
#goldHeads=3,3,0,6,6,3,6,12,12,12,12,6,12,13,14,3,18,3,18,
#predictedHeads=3,3,0,6,6,3,6,12,12,11,12,3,12,13,14,12,18,12,18,
(5,1),-1.04485 # DEPENDENCYPART_ARC
(5,2),-2.74485 # DEPENDENCYPART_ARC
(5,3),-1.94728 # DEPENDENCYPART_ARC
(5,4),0.796967 # DEPENDENCYPART_ARC
(5,6),1.31057 # DEPENDENCYPART_ARC
(5,7),0.00937352 # DEPENDENCYPART_ARC
(5,8),-1.35534 # DEPENDENCYPART_ARC
(5,9),-0.764806 # DEPENDENCYPART_ARC
(5,10),-1.70993 # DEPENDENCYPART_ARC
(5,11),-0.598685 # DEPENDENCYPART_ARC
(5,12),-0.995373 # DEPENDENCYPART_ARC
(5,13),-0.662766 # DEPENDENCYPART_ARC
(5,14),-1.35923 # DEPENDENCYPART_ARC
(5,15),-0.923537 # DEPENDENCYPART_ARC
(5,16),-0.656098 # DEPENDENCYPART_ARC
(5,17),-1.04667 # DEPENDENCYPART_ARC
(5,18),-0.717951 # DEPENDENCYPART_ARC
(5,19),-1.44641 # DEPENDENCYPART_ARC
(6,1),0.294967 # DEPENDENCYPART_ARC
(6,2),-1.98703 # DEPENDENCYPART_ARC
(6,3),-0.904785 # DEPENDENCYPART_ARC
(6,4),3.90576 # DEPENDENCYPART_ARC
(6,5),4.01465 # DEPENDENCYPART_ARC
(6,7),2.48405 # DEPENDENCYPART_ARC
(6,8),-0.128824 # DEPENDENCYPART_ARC
(6,9),0.341703 # DEPENDENCYPART_ARC
(6,10),-0.655243 # DEPENDENCYPART_ARC
(6,11),1.49626 # DEPENDENCYPART_ARC
(6,12),0.454009 # DEPENDENCYPART_ARC
(6,13),-0.00391114 # DEPENDENCYPART_ARC
(6,14),-0.144102 # DEPENDENCYPART_ARC
(6,15),0.65903 # DEPENDENCYPART_ARC
(6,16),0.275754 # DEPENDENCYPART_ARC
(6,17),-0.502425 # DEPENDENCYPART_ARC
(6,18),0.151633 # DEPENDENCYPART_ARC
(6,19),-1.07643 # DEPENDENCYPART_ARC
(7,1),-2.17667 # DEPENDENCYPART_ARC
(7,2),-2.69191 # DEPENDENCYPART_ARC
(7,3),-2.51692 # DEPENDENCYPART_ARC
(7,4),-1.18884 # DEPENDENCYPART_ARC
(7,5),-1.40481 # DEPENDENCYPART_ARC
(7,6),-0.776782 # DEPENDENCYPART_ARC
(7,8),-0.197491 # DEPENDENCYPART_ARC
(7,9),-0.998435 # DEPENDENCYPART_ARC
(7,10),-1.16749 # DEPENDENCYPART_ARC
(7,11),-0.983767 # DEPENDENCYPART_ARC
(7,12),-1.27326 # DEPENDENCYPART_ARC
(7,13),-1.7255 # DEPENDENCYPART_ARC
(7,14),-1.76342 # DEPENDENCYPART_ARC
(7,15),-0.82633 # DEPENDENCYPART_ARC
(7,16),-1.6483 # DEPENDENCYPART_ARC
(7,17),-1.52414 # DEPENDENCYPART_ARC
(7,18),-1.75812 # DEPENDENCYPART_ARC
(7,19),-0.904135 # DEPENDENCYPART_ARC
(8,1),-1.47468 # DEPENDENCYPART_ARC
(8,2),-2.91877 # DEPENDENCYPART_ARC
(8,3),-2.70926 # DEPENDENCYPART_ARC
(8,4),-1.32037 # DEPENDENCYPART_ARC
(8,5),-1.49211 # DEPENDENCYPART_ARC
(8,6),-2.12179 # DEPENDENCYPART_ARC
(8,7),0.383557 # DEPENDENCYPART_ARC
(8,9),0.0341648 # DEPENDENCYPART_ARC
(8,10),-1.0053 # DEPENDENCYPART_ARC
(8,11),-0.827256 # DEPENDENCYPART_ARC
(8,12),-0.0865582 # DEPENDENCYPART_ARC
(8,13),-2.52583 # DEPENDENCYPART_ARC
(8,14),-1.38985 # DEPENDENCYPART_ARC
(8,15),-0.672977 # DEPENDENCYPART_ARC
(8,16),-0.803792 # DEPENDENCYPART_ARC
(8,17),-1.78441 # DEPENDENCYPART_ARC
(8,18),-1.99178 # DEPENDENCYPART_ARC
(8,19),-1.55831 # DEPENDENCYPART_ARC
(9,1),-2.5622 # DEPENDENCYPART_ARC
(9,2),-3.5051 # DEPENDENCYPART_ARC
(9,3),-3.44725 # DEPENDENCYPART_ARC
(9,4),-2.0111 # DEPENDENCYPART_ARC
(9,5),-2.57992 # DEPENDENCYPART_ARC
(9,6),-2.63997 # DEPENDENCYPART_ARC
(9,7),-1.7132 # DEPENDENCYPART_ARC
(9,8),-1.004 # DEPENDENCYPART_ARC
(9,10),0.174326 # DEPENDENCYPART_ARC
(9,11),0.0400316 # DEPENDENCYPART_ARC
(9,12),-0.19704 # DEPENDENCYPART_ARC
(9,13),-0.909693 # DEPENDENCYPART_ARC
(9,14),-1.01484 # DEPENDENCYPART_ARC
(9,15),-0.58737 # DEPENDENCYPART_ARC
(9,16),-0.723277 # DEPENDENCYPART_ARC
(9,17),-0.900497 # DEPENDENCYPART_ARC
(9,18),-0.91943 # DEPENDENCYPART_ARC
(9,19),-1.30074 # DEPENDENCYPART_ARC
(10,1),-1.68921 # DEPENDENCYPART_ARC
(10,2),-3.09114 # DEPENDENCYPART_ARC
(10,3),-3.02261 # DEPENDENCYPART_ARC
(10,4),-1.99639 # DEPENDENCYPART_ARC
(10,5),-1.97021 # DEPENDENCYPART_ARC
(10,6),-2.80219 # DEPENDENCYPART_ARC
(10,7),-1.148 # DEPENDENCYPART_ARC
(10,8),-0.143046 # DEPENDENCYPART_ARC
(10,9),0.428641 # DEPENDENCYPART_ARC
(10,11),-1.49724 # DEPENDENCYPART_ARC
(10,12),-0.597476 # DEPENDENCYPART_ARC
(10,13),-2.99868 # DEPENDENCYPART_ARC
(10,14),-1.61552 # DEPENDENCYPART_ARC
(10,15),-1.06106 # DEPENDENCYPART_ARC
(10,16),-0.979539 # DEPENDENCYPART_ARC
(10,17),-3.16076 # DEPENDENCYPART_ARC
(10,18),-3.05658 # DEPENDENCYPART_ARC
(10,19),-1.58595 # DEPENDENCYPART_ARC
(11,1),-0.594358 # DEPENDENCYPART_ARC
(11,2),-1.33759 # DEPENDENCYPART_ARC
(11,3),-2.04502 # DEPENDENCYPART_ARC
(11,4),-0.4731 # DEPENDENCYPART_ARC
(11,5),-0.638688 # DEPENDENCYPART_ARC
(11,6),-0.0147967 # DEPENDENCYPART_ARC
(11,7),-1.96623 # DEPENDENCYPART_ARC
(11,8),1.16251 # DEPENDENCYPART_ARC
(11,9),0.745852 # DEPENDENCYPART_ARC
(11,10),2.34173 # DEPENDENCYPART_ARC
(11,12),2.12305 # DEPENDENCYPART_ARC
(11,13),0.863027 # DEPENDENCYPART_ARC
(11,14),-0.164009 # DEPENDENCYPART_ARC
(11,15),0.865958 # DEPENDENCYPART_ARC
(11,16),0.875908 # DEPENDENCYPART_ARC
(11,17),0.700866 # DEPENDENCYPART_ARC
(11,18),0.341621 # DEPENDENCYPART_ARC
(11,19),-0.774996 # DEPENDENCYPART_ARC
(12,1),0.244162 # DEPENDENCYPART_ARC
(12,2),0.0857266 # DEPENDENCYPART_ARC
(12,3),-2.51433 # DEPENDENCYPART_ARC
(12,4),-0.497962 # DEPENDENCYPART_ARC
(12,5),-0.229217 # DEPENDENCYPART_ARC
(12,6),-0.0712365 # DEPENDENCYPART_ARC
(12,7),-2.06086 # DEPENDENCYPART_ARC
(12,8),1.42424 # DEPENDENCYPART_ARC
(12,9),1.40691 # DEPENDENCYPART_ARC
(12,10),1.63971 # DEPENDENCYPART_ARC
(12,11),3.63018 # DEPENDENCYPART_ARC
(12,13),3.03116 # DEPENDENCYPART_ARC
(12,14),2.15173 # DEPENDENCYPART_ARC
(12,15),1.37183 # DEPENDENCYPART_ARC
(12,16),1.87471 # DEPENDENCYPART_ARC
(12,17),1.54589 # DEPENDENCYPART_ARC
(12,18),0.97387 # DEPENDENCYPART_ARC
(12,19),-0.0183063 # DEPENDENCYPART_ARC
(13,1),-1.78537 # DEPENDENCYPART_ARC
(13,2),-3.34267 # DEPENDENCYPART_ARC
(13,3),-3.38891 # DEPENDENCYPART_ARC
(13,4),-2.29312 # DEPENDENCYPART_ARC
(13,5),-2.40953 # DEPENDENCYPART_ARC
(13,6),-2.78185 # DEPENDENCYPART_ARC
(13,7),-2.06922 # DEPENDENCYPART_ARC
(13,8),-1.80133 # DEPENDENCYPART_ARC
(13,9),-1.17277 # DEPENDENCYPART_ARC
(13,10),-1.09934 # DEPENDENCYPART_ARC
(13,11),-1.9765 # DEPENDENCYPART_ARC
(13,12),-0.535002 # DEPENDENCYPART_ARC
(13,14),4.9292 # DEPENDENCYPART_ARC
(13,15),0.709138 # DEPENDENCYPART_ARC
(13,16),0.386797 # DEPENDENCYPART_ARC
(13,17),-1.53724 # DEPENDENCYPART_ARC
(13,18),-1.44936 # DEPENDENCYPART_ARC
(13,19),-0.39657 # DEPENDENCYPART_ARC
(14,1),-1.81248 # DEPENDENCYPART_ARC
(14,2),-3.41679 # DEPENDENCYPART_ARC
(14,3),-2.81986 # DEPENDENCYPART_ARC
(14,4),-1.93851 # DEPENDENCYPART_ARC
(14,5),-1.42487 # DEPENDENCYPART_ARC
(14,6),-3.47563 # DEPENDENCYPART_ARC
(14,7),-3.09484 # DEPENDENCYPART_ARC
(14,8),-1.68106 # DEPENDENCYPART_ARC
(14,9),-1.11878 # DEPENDENCYPART_ARC
(14,10),-0.641396 # DEPENDENCYPART_ARC
(14,11),-2.27291 # DEPENDENCYPART_ARC
(14,12),-1.37234 # DEPENDENCYPART_ARC
(14,13),0.573627 # DEPENDENCYPART_ARC
(14,15),1.69855 # DEPENDENCYPART_ARC
(14,16),0.295948 # DEPENDENCYPART_ARC
(14,17),-1.13966 # DEPENDENCYPART_ARC
(14,18),-1.79065 # DEPENDENCYPART_ARC
(14,19),-0.823765 # DEPENDENCYPART_ARC
(15,1),-2.76814 # DEPENDENCYPART_ARC
(15,2),-3.09262 # DEPENDENCYPART_ARC
(15,3),-3.03792 # DEPENDENCYPART_ARC
(15,4),-2.28089 # DEPENDENCYPART_ARC
(15,5),-2.67037 # DEPENDENCYPART_ARC
(15,6),-2.74125 # DEPENDENCYPART_ARC
(15,7),-2.36432 # DEPENDENCYPART_ARC
(15,8),-2.24373 # DEPENDENCYPART_ARC
(15,9),-2.30074 # DEPENDENCYPART_ARC
(15,10),-2.13879 # DEPENDENCYPART_ARC
(15,11),-2.70164 # DEPENDENCYPART_ARC
(15,12),-2.3041 # DEPENDENCYPART_ARC
(15,13),-1.1715 # DEPENDENCYPART_ARC
(15,14),-0.898736 # DEPENDENCYPART_ARC
(15,16),-1.15944 # DEPENDENCYPART_ARC
(15,17),-1.33657 # DEPENDENCYPART_ARC
(15,18),-1.70839 # DEPENDENCYPART_ARC
(15,19),-1.2112 # DEPENDENCYPART_ARC
(16,1),-2.45476 # DEPENDENCYPART_ARC
(16,2),-3.27371 # DEPENDENCYPART_ARC
(16,3),-3.03133 # DEPENDENCYPART_ARC
(16,4),-2.30069 # DEPENDENCYPART_ARC
(16,5),-2.83121 # DEPENDENCYPART_ARC
(16,6),-2.98844 # DEPENDENCYPART_ARC
(16,7),-2.46826 # DEPENDENCYPART_ARC
(16,8),-1.6838 # DEPENDENCYPART_ARC
(16,9),-1.99606 # DEPENDENCYPART_ARC
(16,10),-1.73312 # DEPENDENCYPART_ARC
(16,11),-2.82204 # DEPENDENCYPART_ARC
(16,12),-2.65542 # DEPENDENCYPART_ARC
(16,13),-1.45134 # DEPENDENCYPART_ARC
(16,14),-1.8086 # DEPENDENCYPART_ARC
(16,15),-0.39049 # DEPENDENCYPART_ARC
(16,17),-0.215943 # DEPENDENCYPART_ARC
(16,18),-0.578785 # DEPENDENCYPART_ARC
(16,19),-1.17625 # DEPENDENCYPART_ARC
(17,1),-2.37818 # DEPENDENCYPART_ARC
(17,2),-3.06663 # DEPENDENCYPART_ARC
(17,3),-4.37513 # DEPENDENCYPART_ARC
(17,4),-2.5278 # DEPENDENCYPART_ARC
(17,5),-2.45427 # DEPENDENCYPART_ARC
(17,6),-2.49517 # DEPENDENCYPART_ARC
(17,7),-3.8062 # DEPENDENCYPART_ARC
(17,8),-1.5361 # DEPENDENCYPART_ARC
(17,9),-1.69331 # DEPENDENCYPART_ARC
(17,10),-2.22765 # DEPENDENCYPART_ARC
(17,11),-3.1221 # DEPENDENCYPART_ARC
(17,12),-0.921222 # DEPENDENCYPART_ARC
(17,13),-1.99902 # DEPENDENCYPART_ARC
(17,14),-1.96931 # DEPENDENCYPART_ARC
(17,15),-2.15877 # DEPENDENCYPART_ARC
(17,16),-0.0506003 # DEPENDENCYPART_ARC
(17,18),1.51775 # DEPENDENCYPART_ARC
(17,19),0.180194 # DEPENDENCYPART_ARC
(18,1),0.482927 # DEPENDENCYPART_ARC
(18,2),0.072691 # DEPENDENCYPART_ARC
(18,3),-1.32451 # DEPENDENCYPART_ARC
(18,4),-0.0310864 # DEPENDENCYPART_ARC
(18,5),-0.526665 # DEPENDENCYPART_ARC
(18,6),-0.725683 # DEPENDENCYPART_ARC
(18,7),-1.98274 # DEPENDENCYPART_ARC
(18,8),1.20901 # DEPENDENCYPART_ARC
(18,9),0.625814 # DEPENDENCYPART_ARC
(18,10),0.81844 # DEPENDENCYPART_ARC
(18,11),0.569947 # DEPENDENCYPART_ARC
(18,12),0.295895 # DEPENDENCYPART_ARC
(18,13),0.224125 # DEPENDENCYPART_ARC
(18,14),-0.936523 # DEPENDENCYPART_ARC
(18,15),-0.612476 # DEPENDENCYPART_ARC
(18,16),1.07473 # DEPENDENCYPART_ARC
(18,17),4.82424 # DEPENDENCYPART_ARC
(18,19),2.27672 # DEPENDENCYPART_ARC
(19,1),-2.68292 # DEPENDENCYPART_ARC
(19,2),-3.17279 # DEPENDENCYPART_ARC
(19,3),-3.25498 # DEPENDENCYPART_ARC
(19,4),-2.40071 # DEPENDENCYPART_ARC
(19,5),-2.86963 # DEPENDENCYPART_ARC
(19,6),-2.82131 # DEPENDENCYPART_ARC
(19,7),-2.48859 # DEPENDENCYPART_ARC
(19,8),-2.58672 # DEPENDENCYPART_ARC
(19,9),-2.53508 # DEPENDENCYPART_ARC
(19,10),-2.44107 # DEPENDENCYPART_ARC
(19,11),-3.08578 # DEPENDENCYPART_ARC
(19,12),-2.9252 # DEPENDENCYPART_ARC
(19,13),-1.99375 # DEPENDENCYPART_ARC
(19,14),-2.41843 # DEPENDENCYPART_ARC
(19,15),-2.01944 # DEPENDENCYPART_ARC
(19,16),-1.63253 # DEPENDENCYPART_ARC
(19,17),-1.75579 # DEPENDENCYPART_ARC
(19,18),-0.890646 # DEPENDENCYPART_ARC
