# _root_ A casa c' è soltanto la madre , che conferma : " Sì , Gabriella ieri sera è uscita con il suo ragazzo .
#goldHeads=4,1,4,0,7,7,4,7,10,7,10,13,19,13,19,19,16,19,10,19,23,23,20,23,
#predictedHeads=4,1,4,0,4,7,4,7,10,7,10,13,19,13,19,19,19,19,7,19,23,23,20,23,
(3,24),-3.37251 # DEPENDENCYPART_ARC
(4,1),2.05428 # DEPENDENCYPART_ARC
(4,2),1.65847 # DEPENDENCYPART_ARC
(4,3),2.36796 # DEPENDENCYPART_ARC
(4,5),1.65237 # DEPENDENCYPART_ARC
(4,6),-0.890467 # DEPENDENCYPART_ARC
(4,7),1.7713 # DEPENDENCYPART_ARC
(4,8),0.84568 # DEPENDENCYPART_ARC
(4,9),0.1645 # DEPENDENCYPART_ARC
(4,10),0.948423 # DEPENDENCYPART_ARC
(4,11),-0.438625 # DEPENDENCYPART_ARC
(4,12),-1.15764 # DEPENDENCYPART_ARC
(4,13),-0.394977 # DEPENDENCYPART_ARC
(4,14),-0.360064 # DEPENDENCYPART_ARC
(4,15),-1.32976 # DEPENDENCYPART_ARC
(4,16),-0.507307 # DEPENDENCYPART_ARC
(4,17),-1.56921 # DEPENDENCYPART_ARC
(4,18),0.201316 # DEPENDENCYPART_ARC
(4,19),-1.18003 # DEPENDENCYPART_ARC
(4,20),-0.870464 # DEPENDENCYPART_ARC
(4,21),-2.08915 # DEPENDENCYPART_ARC
(4,22),-1.52776 # DEPENDENCYPART_ARC
(4,23),-2.66853 # DEPENDENCYPART_ARC
(4,24),-2.62583 # DEPENDENCYPART_ARC
(5,1),-0.386802 # DEPENDENCYPART_ARC
(5,2),-0.881255 # DEPENDENCYPART_ARC
(5,3),0.315811 # DEPENDENCYPART_ARC
(5,4),0.210978 # DEPENDENCYPART_ARC
(5,6),0.472434 # DEPENDENCYPART_ARC
(5,7),0.127286 # DEPENDENCYPART_ARC
(5,8),0.298718 # DEPENDENCYPART_ARC
(5,9),-0.650796 # DEPENDENCYPART_ARC
(5,10),-0.310631 # DEPENDENCYPART_ARC
(5,11),-0.530868 # DEPENDENCYPART_ARC
(5,12),-1.05214 # DEPENDENCYPART_ARC
(5,13),-1.09901 # DEPENDENCYPART_ARC
(5,14),-0.513511 # DEPENDENCYPART_ARC
(5,15),-1.66198 # DEPENDENCYPART_ARC
(5,16),-1.20227 # DEPENDENCYPART_ARC
(5,17),-1.71284 # DEPENDENCYPART_ARC
(5,18),-1.2518 # DEPENDENCYPART_ARC
(5,19),-1.39935 # DEPENDENCYPART_ARC
(5,20),-1.84624 # DEPENDENCYPART_ARC
(5,21),-1.12504 # DEPENDENCYPART_ARC
(5,22),-1.58538 # DEPENDENCYPART_ARC
(5,23),-2.04071 # DEPENDENCYPART_ARC
(5,24),-2.17491 # DEPENDENCYPART_ARC
(6,1),-1.35984 # DEPENDENCYPART_ARC
(6,2),-1.6614 # DEPENDENCYPART_ARC
(6,3),-1.04096 # DEPENDENCYPART_ARC
(6,4),-1.11722 # DEPENDENCYPART_ARC
(6,5),-0.0343435 # DEPENDENCYPART_ARC
(6,7),1.13852 # DEPENDENCYPART_ARC
(6,8),-0.0403739 # DEPENDENCYPART_ARC
(6,9),-1.05137 # DEPENDENCYPART_ARC
(6,10),-0.154992 # DEPENDENCYPART_ARC
(6,11),-0.692555 # DEPENDENCYPART_ARC
(6,12),-0.569071 # DEPENDENCYPART_ARC
(6,13),-1.18711 # DEPENDENCYPART_ARC
(6,14),-0.620687 # DEPENDENCYPART_ARC
(6,15),-0.905397 # DEPENDENCYPART_ARC
(6,16),-1.24008 # DEPENDENCYPART_ARC
(6,17),-1.03333 # DEPENDENCYPART_ARC
(6,18),-0.297117 # DEPENDENCYPART_ARC
(6,19),-0.410908 # DEPENDENCYPART_ARC
(6,20),-1.36725 # DEPENDENCYPART_ARC
(6,21),-2.10517 # DEPENDENCYPART_ARC
(6,22),-2.61696 # DEPENDENCYPART_ARC
(6,23),-1.43981 # DEPENDENCYPART_ARC
(6,24),-1.25186 # DEPENDENCYPART_ARC
(7,1),-0.24438 # DEPENDENCYPART_ARC
(7,2),-0.661664 # DEPENDENCYPART_ARC
(7,3),-0.0492863 # DEPENDENCYPART_ARC
(7,4),-0.702794 # DEPENDENCYPART_ARC
(7,5),1.4555 # DEPENDENCYPART_ARC
(7,6),3.61535 # DEPENDENCYPART_ARC
(7,8),2.2118 # DEPENDENCYPART_ARC
(7,9),-0.183626 # DEPENDENCYPART_ARC
(7,10),1.18467 # DEPENDENCYPART_ARC
(7,11),0.184234 # DEPENDENCYPART_ARC
(7,12),-0.788625 # DEPENDENCYPART_ARC
(7,13),-0.134316 # DEPENDENCYPART_ARC
(7,14),0.627142 # DEPENDENCYPART_ARC
(7,15),-0.0679368 # DEPENDENCYPART_ARC
(7,16),-0.564251 # DEPENDENCYPART_ARC
(7,17),-0.142099 # DEPENDENCYPART_ARC
(7,18),-0.197479 # DEPENDENCYPART_ARC
(7,19),0.318738 # DEPENDENCYPART_ARC
(7,20),-0.496711 # DEPENDENCYPART_ARC
(7,21),-1.06233 # DEPENDENCYPART_ARC
(7,22),-1.91426 # DEPENDENCYPART_ARC
(7,23),-0.576986 # DEPENDENCYPART_ARC
(7,24),-1.63962 # DEPENDENCYPART_ARC
(8,1),-1.90219 # DEPENDENCYPART_ARC
(8,2),-2.44178 # DEPENDENCYPART_ARC
(8,3),-2.03242 # DEPENDENCYPART_ARC
(8,4),-2.50811 # DEPENDENCYPART_ARC
(8,5),-1.52362 # DEPENDENCYPART_ARC
(8,6),-0.761329 # DEPENDENCYPART_ARC
(8,7),-0.790354 # DEPENDENCYPART_ARC
(8,9),-0.322893 # DEPENDENCYPART_ARC
(8,10),-0.754497 # DEPENDENCYPART_ARC
(8,11),-0.308776 # DEPENDENCYPART_ARC
(8,12),-1.12975 # DEPENDENCYPART_ARC
(8,13),-1.81869 # DEPENDENCYPART_ARC
(8,14),-0.671909 # DEPENDENCYPART_ARC
(8,15),-1.80731 # DEPENDENCYPART_ARC
(8,16),-1.91162 # DEPENDENCYPART_ARC
(8,17),-1.85306 # DEPENDENCYPART_ARC
(8,18),-1.5469 # DEPENDENCYPART_ARC
(8,19),-1.7736 # DEPENDENCYPART_ARC
(8,20),-2.12982 # DEPENDENCYPART_ARC
(8,21),-1.98174 # DEPENDENCYPART_ARC
(8,22),-2.19292 # DEPENDENCYPART_ARC
(8,23),-2.1954 # DEPENDENCYPART_ARC
(8,24),-1.22861 # DEPENDENCYPART_ARC
(9,1),-1.62456 # DEPENDENCYPART_ARC
(9,2),-2.497 # DEPENDENCYPART_ARC
(9,3),-1.62397 # DEPENDENCYPART_ARC
(9,4),-2.84349 # DEPENDENCYPART_ARC
(9,5),-1.12399 # DEPENDENCYPART_ARC
(9,6),0.100098 # DEPENDENCYPART_ARC
(9,7),-1.64185 # DEPENDENCYPART_ARC
(9,8),0.092039 # DEPENDENCYPART_ARC
(9,10),0.771435 # DEPENDENCYPART_ARC
(9,11),-0.254906 # DEPENDENCYPART_ARC
(9,12),-1.02358 # DEPENDENCYPART_ARC
(9,13),-1.20625 # DEPENDENCYPART_ARC
(9,14),-0.648225 # DEPENDENCYPART_ARC
(9,15),-0.857388 # DEPENDENCYPART_ARC
(9,16),-1.46419 # DEPENDENCYPART_ARC
(9,17),-1.03213 # DEPENDENCYPART_ARC
(9,18),-1.97228 # DEPENDENCYPART_ARC
(9,19),-2.22413 # DEPENDENCYPART_ARC
(9,20),-2.25862 # DEPENDENCYPART_ARC
(9,21),-1.71972 # DEPENDENCYPART_ARC
(9,22),-0.971301 # DEPENDENCYPART_ARC
(9,23),-1.49209 # DEPENDENCYPART_ARC
(9,24),-1.95124 # DEPENDENCYPART_ARC
(10,1),-0.674355 # DEPENDENCYPART_ARC
(10,2),-0.244308 # DEPENDENCYPART_ARC
(10,3),-0.0846873 # DEPENDENCYPART_ARC
(10,4),-0.779969 # DEPENDENCYPART_ARC
(10,5),-0.173124 # DEPENDENCYPART_ARC
(10,6),-0.946235 # DEPENDENCYPART_ARC
(10,7),0.680488 # DEPENDENCYPART_ARC
(10,8),-1.11973 # DEPENDENCYPART_ARC
(10,9),3.72736 # DEPENDENCYPART_ARC
(10,11),1.97763 # DEPENDENCYPART_ARC
(10,12),-0.0821364 # DEPENDENCYPART_ARC
(10,13),0.543389 # DEPENDENCYPART_ARC
(10,14),-0.0507216 # DEPENDENCYPART_ARC
(10,15),0.183472 # DEPENDENCYPART_ARC
(10,16),-0.133055 # DEPENDENCYPART_ARC
(10,17),-0.372117 # DEPENDENCYPART_ARC
(10,18),0.650734 # DEPENDENCYPART_ARC
(10,19),-0.456099 # DEPENDENCYPART_ARC
(10,20),-0.24704 # DEPENDENCYPART_ARC
(10,21),-2.16946 # DEPENDENCYPART_ARC
(10,22),-1.56754 # DEPENDENCYPART_ARC
(10,23),-1.26096 # DEPENDENCYPART_ARC
(10,24),-1.40653 # DEPENDENCYPART_ARC
(11,1),-1.96426 # DEPENDENCYPART_ARC
(11,2),-2.44783 # DEPENDENCYPART_ARC
(11,3),-2.18897 # DEPENDENCYPART_ARC
(11,4),-2.74874 # DEPENDENCYPART_ARC
(11,5),-2.08384 # DEPENDENCYPART_ARC
(11,6),-1.68956 # DEPENDENCYPART_ARC
(11,7),-2.13261 # DEPENDENCYPART_ARC
(11,8),-1.52062 # DEPENDENCYPART_ARC
(11,9),-1.20973 # DEPENDENCYPART_ARC
(11,10),-0.697185 # DEPENDENCYPART_ARC
(11,12),0.0513566 # DEPENDENCYPART_ARC
(11,13),-1.36579 # DEPENDENCYPART_ARC
(11,14),-0.408244 # DEPENDENCYPART_ARC
(11,15),-1.54197 # DEPENDENCYPART_ARC
(11,16),-1.78458 # DEPENDENCYPART_ARC
(11,17),-1.72201 # DEPENDENCYPART_ARC
(11,18),-1.53077 # DEPENDENCYPART_ARC
(11,19),-1.75961 # DEPENDENCYPART_ARC
(11,20),-2.16423 # DEPENDENCYPART_ARC
(11,21),-2.02843 # DEPENDENCYPART_ARC
(11,22),-2.30311 # DEPENDENCYPART_ARC
(11,23),-2.18631 # DEPENDENCYPART_ARC
(11,24),-1.23349 # DEPENDENCYPART_ARC
(12,1),-2.66413 # DEPENDENCYPART_ARC
(12,2),-3.0632 # DEPENDENCYPART_ARC
(12,3),-2.75904 # DEPENDENCYPART_ARC
(12,4),-3.34917 # DEPENDENCYPART_ARC
(12,5),-2.6609 # DEPENDENCYPART_ARC
(12,6),-2.38714 # DEPENDENCYPART_ARC
(12,7),-2.83012 # DEPENDENCYPART_ARC
(12,8),-2.2174 # DEPENDENCYPART_ARC
(12,9),-2.0581 # DEPENDENCYPART_ARC
(12,10),-2.05856 # DEPENDENCYPART_ARC
(12,11),-0.50104 # DEPENDENCYPART_ARC
(12,13),-0.33418 # DEPENDENCYPART_ARC
(12,14),0.73418 # DEPENDENCYPART_ARC
(12,15),-1.08559 # DEPENDENCYPART_ARC
(12,16),-1.4079 # DEPENDENCYPART_ARC
(12,17),-1.31744 # DEPENDENCYPART_ARC
(12,18),-1.19421 # DEPENDENCYPART_ARC
(12,19),-1.43637 # DEPENDENCYPART_ARC
(12,20),-1.8705 # DEPENDENCYPART_ARC
(12,21),-1.74672 # DEPENDENCYPART_ARC
(12,22),-1.95184 # DEPENDENCYPART_ARC
(12,23),-1.86037 # DEPENDENCYPART_ARC
(12,24),-0.522689 # DEPENDENCYPART_ARC
(13,1),-0.305707 # DEPENDENCYPART_ARC
(13,2),-1.40859 # DEPENDENCYPART_ARC
(13,3),-0.227146 # DEPENDENCYPART_ARC
(13,4),-1.38168 # DEPENDENCYPART_ARC
(13,5),-0.177919 # DEPENDENCYPART_ARC
(13,6),-0.109582 # DEPENDENCYPART_ARC
(13,7),-1.14353 # DEPENDENCYPART_ARC
(13,8),-0.461733 # DEPENDENCYPART_ARC
(13,9),-0.29653 # DEPENDENCYPART_ARC
(13,10),-0.569583 # DEPENDENCYPART_ARC
(13,11),0.741614 # DEPENDENCYPART_ARC
(13,12),2.20705 # DEPENDENCYPART_ARC
(13,14),2.49256 # DEPENDENCYPART_ARC
(13,15),0.492357 # DEPENDENCYPART_ARC
(13,16),0.197438 # DEPENDENCYPART_ARC
(13,17),-0.113501 # DEPENDENCYPART_ARC
(13,18),0.233519 # DEPENDENCYPART_ARC
(13,19),-0.069205 # DEPENDENCYPART_ARC
(13,20),-0.743508 # DEPENDENCYPART_ARC
(13,21),-0.317811 # DEPENDENCYPART_ARC
(13,22),-0.684568 # DEPENDENCYPART_ARC
(13,23),-0.958417 # DEPENDENCYPART_ARC
(13,24),-0.894169 # DEPENDENCYPART_ARC
(14,1),-2.37151 # DEPENDENCYPART_ARC
(14,2),-2.89479 # DEPENDENCYPART_ARC
(14,3),-2.80627 # DEPENDENCYPART_ARC
(14,4),-3.21231 # DEPENDENCYPART_ARC
(14,5),-2.64174 # DEPENDENCYPART_ARC
(14,6),-2.34784 # DEPENDENCYPART_ARC
(14,7),-2.75995 # DEPENDENCYPART_ARC
(14,8),-2.4254 # DEPENDENCYPART_ARC
(14,9),-2.30966 # DEPENDENCYPART_ARC
(14,10),-2.82268 # DEPENDENCYPART_ARC
(14,11),-1.79709 # DEPENDENCYPART_ARC
(14,12),-1.54498 # DEPENDENCYPART_ARC
(14,13),-0.794068 # DEPENDENCYPART_ARC
(14,15),-0.483545 # DEPENDENCYPART_ARC
(14,16),-1.58252 # DEPENDENCYPART_ARC
(14,17),-1.64541 # DEPENDENCYPART_ARC
(14,18),-1.55245 # DEPENDENCYPART_ARC
(14,19),-1.84078 # DEPENDENCYPART_ARC
(14,20),-2.28716 # DEPENDENCYPART_ARC
(14,21),-2.21518 # DEPENDENCYPART_ARC
(14,22),-2.49515 # DEPENDENCYPART_ARC
(14,23),-2.46337 # DEPENDENCYPART_ARC
(14,24),-1.259 # DEPENDENCYPART_ARC
(15,1),-1.86651 # DEPENDENCYPART_ARC
(15,2),-3.37309 # DEPENDENCYPART_ARC
(15,3),-1.79582 # DEPENDENCYPART_ARC
(15,4),-3.21625 # DEPENDENCYPART_ARC
(15,5),-1.31165 # DEPENDENCYPART_ARC
(15,6),-1.34029 # DEPENDENCYPART_ARC
(15,7),-4.17022 # DEPENDENCYPART_ARC
(15,8),-2.62844 # DEPENDENCYPART_ARC
(15,9),-1.31773 # DEPENDENCYPART_ARC
(15,10),-2.74021 # DEPENDENCYPART_ARC
(15,11),-2.00106 # DEPENDENCYPART_ARC
(15,12),-0.592433 # DEPENDENCYPART_ARC
(15,13),0.402615 # DEPENDENCYPART_ARC
(15,14),0.150107 # DEPENDENCYPART_ARC
(15,16),0.838897 # DEPENDENCYPART_ARC
(15,17),0.954067 # DEPENDENCYPART_ARC
(15,18),0.237157 # DEPENDENCYPART_ARC
(15,19),0.502312 # DEPENDENCYPART_ARC
(15,20),-0.127073 # DEPENDENCYPART_ARC
(15,21),-0.845723 # DEPENDENCYPART_ARC
(15,22),-1.12639 # DEPENDENCYPART_ARC
(15,23),-1.04031 # DEPENDENCYPART_ARC
(15,24),-1.12501 # DEPENDENCYPART_ARC
(16,1),-1.32546 # DEPENDENCYPART_ARC
(16,2),-2.28609 # DEPENDENCYPART_ARC
(16,3),-1.06347 # DEPENDENCYPART_ARC
(16,4),-2.17721 # DEPENDENCYPART_ARC
(16,5),-1.15769 # DEPENDENCYPART_ARC
(16,6),-1.01543 # DEPENDENCYPART_ARC
(16,7),-2.06414 # DEPENDENCYPART_ARC
(16,8),-1.43991 # DEPENDENCYPART_ARC
(16,9),-1.31505 # DEPENDENCYPART_ARC
(16,10),-1.88679 # DEPENDENCYPART_ARC
(16,11),-0.877068 # DEPENDENCYPART_ARC
(16,12),-0.379754 # DEPENDENCYPART_ARC
(16,13),-0.170679 # DEPENDENCYPART_ARC
(16,14),-0.126272 # DEPENDENCYPART_ARC
(16,15),-0.0151685 # DEPENDENCYPART_ARC
(16,17),1.64734 # DEPENDENCYPART_ARC
(16,18),0.484497 # DEPENDENCYPART_ARC
(16,19),0.255031 # DEPENDENCYPART_ARC
(16,20),-0.556971 # DEPENDENCYPART_ARC
(16,21),-0.354047 # DEPENDENCYPART_ARC
(16,22),-0.887474 # DEPENDENCYPART_ARC
(16,23),-0.725005 # DEPENDENCYPART_ARC
(16,24),-0.710122 # DEPENDENCYPART_ARC
(17,1),-1.62242 # DEPENDENCYPART_ARC
(17,2),-2.99 # DEPENDENCYPART_ARC
(17,3),-2.38209 # DEPENDENCYPART_ARC
(17,4),-2.17955 # DEPENDENCYPART_ARC
(17,5),-1.90327 # DEPENDENCYPART_ARC
(17,6),-1.82046 # DEPENDENCYPART_ARC
(17,7),-3.48647 # DEPENDENCYPART_ARC
(17,8),-3.09491 # DEPENDENCYPART_ARC
(17,9),-1.5373 # DEPENDENCYPART_ARC
(17,10),-2.01292 # DEPENDENCYPART_ARC
(17,11),-2.67307 # DEPENDENCYPART_ARC
(17,12),-1.37987 # DEPENDENCYPART_ARC
(17,13),-0.883533 # DEPENDENCYPART_ARC
(17,14),-1.8803 # DEPENDENCYPART_ARC
(17,15),-0.894767 # DEPENDENCYPART_ARC
(17,16),0.493384 # DEPENDENCYPART_ARC
(17,18),0.207437 # DEPENDENCYPART_ARC
(17,19),-0.0615495 # DEPENDENCYPART_ARC
(17,20),-0.421164 # DEPENDENCYPART_ARC
(17,21),-1.66258 # DEPENDENCYPART_ARC
(17,22),-2.05606 # DEPENDENCYPART_ARC
(17,23),-1.1517 # DEPENDENCYPART_ARC
(17,24),-1.26928 # DEPENDENCYPART_ARC
(18,1),-1.38537 # DEPENDENCYPART_ARC
(18,2),-2.15627 # DEPENDENCYPART_ARC
(18,3),-1.63549 # DEPENDENCYPART_ARC
(18,4),-3.39747 # DEPENDENCYPART_ARC
(18,5),-1.08151 # DEPENDENCYPART_ARC
(18,6),-2.06905 # DEPENDENCYPART_ARC
(18,7),-1.45563 # DEPENDENCYPART_ARC
(18,8),-3.13427 # DEPENDENCYPART_ARC
(18,9),-0.285275 # DEPENDENCYPART_ARC
(18,10),-2.04664 # DEPENDENCYPART_ARC
(18,11),-2.20717 # DEPENDENCYPART_ARC
(18,12),-1.72497 # DEPENDENCYPART_ARC
(18,13),0.119551 # DEPENDENCYPART_ARC
(18,14),-2.21236 # DEPENDENCYPART_ARC
(18,15),0.493616 # DEPENDENCYPART_ARC
(18,16),0.611519 # DEPENDENCYPART_ARC
(18,17),1.03504 # DEPENDENCYPART_ARC
(18,19),1.54237 # DEPENDENCYPART_ARC
(18,20),1.1329 # DEPENDENCYPART_ARC
(18,21),-1.85852 # DEPENDENCYPART_ARC
(18,22),-0.733854 # DEPENDENCYPART_ARC
(18,23),-0.18361 # DEPENDENCYPART_ARC
(18,24),-0.440547 # DEPENDENCYPART_ARC
(19,1),-0.448675 # DEPENDENCYPART_ARC
(19,2),-0.397784 # DEPENDENCYPART_ARC
(19,3),-0.33929 # DEPENDENCYPART_ARC
(19,4),-0.40835 # DEPENDENCYPART_ARC
(19,5),-0.0382565 # DEPENDENCYPART_ARC
(19,6),-0.567553 # DEPENDENCYPART_ARC
(19,7),0.460263 # DEPENDENCYPART_ARC
(19,8),-2.02819 # DEPENDENCYPART_ARC
(19,9),1.43027 # DEPENDENCYPART_ARC
(19,10),0.0860753 # DEPENDENCYPART_ARC
(19,11),-1.15669 # DEPENDENCYPART_ARC
(19,12),-0.638077 # DEPENDENCYPART_ARC
(19,13),1.12486 # DEPENDENCYPART_ARC
(19,14),-1.17303 # DEPENDENCYPART_ARC
(19,15),2.11961 # DEPENDENCYPART_ARC
(19,16),2.10511 # DEPENDENCYPART_ARC
(19,17),2.34424 # DEPENDENCYPART_ARC
(19,18),5.02728 # DEPENDENCYPART_ARC
(19,20),2.83926 # DEPENDENCYPART_ARC
(19,21),-1.14038 # DEPENDENCYPART_ARC
(19,22),-0.64224 # DEPENDENCYPART_ARC
(19,23),0.261755 # DEPENDENCYPART_ARC
(19,24),-0.162882 # DEPENDENCYPART_ARC
(20,1),-2.18322 # DEPENDENCYPART_ARC
(20,2),-2.5032 # DEPENDENCYPART_ARC
(20,3),-2.17326 # DEPENDENCYPART_ARC
(20,4),-2.84659 # DEPENDENCYPART_ARC
(20,5),-2.07121 # DEPENDENCYPART_ARC
(20,6),-2.27311 # DEPENDENCYPART_ARC
(20,7),-2.36954 # DEPENDENCYPART_ARC
(20,8),-2.34978 # DEPENDENCYPART_ARC
(20,9),-2.23304 # DEPENDENCYPART_ARC
(20,10),-2.63757 # DEPENDENCYPART_ARC
(20,11),-2.04019 # DEPENDENCYPART_ARC
(20,12),-1.98654 # DEPENDENCYPART_ARC
(20,13),-1.41655 # DEPENDENCYPART_ARC
(20,14),-2.00123 # DEPENDENCYPART_ARC
(20,15),-1.9295 # DEPENDENCYPART_ARC
(20,16),-1.15208 # DEPENDENCYPART_ARC
(20,17),-1.4506 # DEPENDENCYPART_ARC
(20,18),-1.33426 # DEPENDENCYPART_ARC
(20,19),-0.41579 # DEPENDENCYPART_ARC
(20,21),0.515353 # DEPENDENCYPART_ARC
(20,22),1.00816 # DEPENDENCYPART_ARC
(20,23),2.37883 # DEPENDENCYPART_ARC
(20,24),-0.00544203 # DEPENDENCYPART_ARC
(21,1),-3.11527 # DEPENDENCYPART_ARC
(21,2),-3.53551 # DEPENDENCYPART_ARC
(21,3),-2.84827 # DEPENDENCYPART_ARC
(21,4),-3.75618 # DEPENDENCYPART_ARC
(21,5),-2.88845 # DEPENDENCYPART_ARC
(21,6),-2.72136 # DEPENDENCYPART_ARC
(21,7),-3.61091 # DEPENDENCYPART_ARC
(21,8),-2.56811 # DEPENDENCYPART_ARC
(21,9),-2.70838 # DEPENDENCYPART_ARC
(21,10),-3.65969 # DEPENDENCYPART_ARC
(21,11),-2.34786 # DEPENDENCYPART_ARC
(21,12),-1.89592 # DEPENDENCYPART_ARC
(21,13),-2.54194 # DEPENDENCYPART_ARC
(21,14),-2.29352 # DEPENDENCYPART_ARC
(21,15),-3.00538 # DEPENDENCYPART_ARC
(21,16),-2.26061 # DEPENDENCYPART_ARC
(21,17),-2.94143 # DEPENDENCYPART_ARC
(21,18),-2.91551 # DEPENDENCYPART_ARC
(21,19),-2.50894 # DEPENDENCYPART_ARC
(21,20),-0.492114 # DEPENDENCYPART_ARC
(21,22),0.231408 # DEPENDENCYPART_ARC
(21,23),0.50231 # DEPENDENCYPART_ARC
(21,24),-0.0231036 # DEPENDENCYPART_ARC
(22,1),-1.87976 # DEPENDENCYPART_ARC
