# _root_ Un orecchino d' oro a forma di croce all' orecchio sinistro , qualche dente in meno , Ante è un omone con il quale nessuno si augurerebbe di scontrar- si anche solo per scherzo .
#goldHeads=2,18,2,3,2,5,6,7,2,9,10,11,14,18,14,15,16,19,0,21,19,27,24,22,27,27,21,27,28,29,32,33,29,33,34,
#predictedHeads=2,19,2,3,2,5,6,7,8,9,10,11,14,19,14,15,16,19,0,21,19,21,24,22,27,27,24,27,28,29,32,33,29,33,34,
(3,18),-4.27367 # DEPENDENCYPART_ARC
(3,19),-2.91678 # DEPENDENCYPART_ARC
(3,20),-1.8732 # DEPENDENCYPART_ARC
(3,21),-6.69838 # DEPENDENCYPART_ARC
(3,22),-2.82156 # DEPENDENCYPART_ARC
(3,23),-2.06238 # DEPENDENCYPART_ARC
(3,24),-2.8676 # DEPENDENCYPART_ARC
(3,25),-1.62902 # DEPENDENCYPART_ARC
(3,26),-2.90107 # DEPENDENCYPART_ARC
(3,27),-3.67259 # DEPENDENCYPART_ARC
(3,28),-2.82555 # DEPENDENCYPART_ARC
(3,29),-3.45766 # DEPENDENCYPART_ARC
(3,30),-3.48369 # DEPENDENCYPART_ARC
(3,31),-4.13495 # DEPENDENCYPART_ARC
(3,32),-2.13357 # DEPENDENCYPART_ARC
(3,33),-2.49164 # DEPENDENCYPART_ARC
(3,34),-8.83875 # DEPENDENCYPART_ARC
(3,35),-3.40519 # DEPENDENCYPART_ARC
(4,1),0.285345 # DEPENDENCYPART_ARC
(4,2),-1.80407 # DEPENDENCYPART_ARC
(4,3),0.399545 # DEPENDENCYPART_ARC
(4,5),1.09625 # DEPENDENCYPART_ARC
(4,6),0.238736 # DEPENDENCYPART_ARC
(4,7),0.424929 # DEPENDENCYPART_ARC
(4,8),-0.197869 # DEPENDENCYPART_ARC
(4,9),-0.577906 # DEPENDENCYPART_ARC
(4,10),-0.369701 # DEPENDENCYPART_ARC
(4,11),-0.161395 # DEPENDENCYPART_ARC
(4,12),-0.46873 # DEPENDENCYPART_ARC
(4,13),-0.567773 # DEPENDENCYPART_ARC
(4,14),-0.631736 # DEPENDENCYPART_ARC
(4,15),-1.00159 # DEPENDENCYPART_ARC
(4,16),-1.93842 # DEPENDENCYPART_ARC
(4,17),-0.533905 # DEPENDENCYPART_ARC
(4,18),-0.55731 # DEPENDENCYPART_ARC
(4,19),-0.381803 # DEPENDENCYPART_ARC
(4,20),-1.52614 # DEPENDENCYPART_ARC
(4,21),-1.78671 # DEPENDENCYPART_ARC
(4,22),-1.43953 # DEPENDENCYPART_ARC
(4,23),-1.90744 # DEPENDENCYPART_ARC
(4,24),-2.37711 # DEPENDENCYPART_ARC
(4,25),-1.71365 # DEPENDENCYPART_ARC
(4,26),-3.52738 # DEPENDENCYPART_ARC
(4,27),-1.62899 # DEPENDENCYPART_ARC
(4,28),-4.22817 # DEPENDENCYPART_ARC
(4,29),-1.50686 # DEPENDENCYPART_ARC
(4,30),-3.83775 # DEPENDENCYPART_ARC
(4,31),-3.7185 # DEPENDENCYPART_ARC
(4,32),-2.98717 # DEPENDENCYPART_ARC
(4,33),-2.80105 # DEPENDENCYPART_ARC
(4,34),-2.59464 # DEPENDENCYPART_ARC
(4,35),-5.92146 # DEPENDENCYPART_ARC
(5,1),-1.10526 # DEPENDENCYPART_ARC
(5,2),-1.30997 # DEPENDENCYPART_ARC
(5,3),-0.260509 # DEPENDENCYPART_ARC
(5,4),-0.157154 # DEPENDENCYPART_ARC
(5,6),3.86353 # DEPENDENCYPART_ARC
(5,7),-0.487621 # DEPENDENCYPART_ARC
(5,8),0.366606 # DEPENDENCYPART_ARC
(5,9),-0.782411 # DEPENDENCYPART_ARC
(5,10),-1.047 # DEPENDENCYPART_ARC
(5,11),-0.840265 # DEPENDENCYPART_ARC
(5,12),-0.757707 # DEPENDENCYPART_ARC
(5,13),-1.03119 # DEPENDENCYPART_ARC
(5,14),-3.49337 # DEPENDENCYPART_ARC
(5,15),-2.25046 # DEPENDENCYPART_ARC
(5,16),-1.37646 # DEPENDENCYPART_ARC
(5,17),-1.28478 # DEPENDENCYPART_ARC
(5,18),-4.90372 # DEPENDENCYPART_ARC
(5,19),-3.14853 # DEPENDENCYPART_ARC
(5,20),-2.0999 # DEPENDENCYPART_ARC
(5,21),-7.74071 # DEPENDENCYPART_ARC
(5,22),-3.42705 # DEPENDENCYPART_ARC
(5,23),-2.22657 # DEPENDENCYPART_ARC
(5,24),-2.89269 # DEPENDENCYPART_ARC
(5,25),-1.68711 # DEPENDENCYPART_ARC
(5,26),-3.12442 # DEPENDENCYPART_ARC
(5,27),-4.17086 # DEPENDENCYPART_ARC
(5,28),-3.7157 # DEPENDENCYPART_ARC
(5,29),-4.35206 # DEPENDENCYPART_ARC
(5,30),-3.62374 # DEPENDENCYPART_ARC
(5,31),-3.36317 # DEPENDENCYPART_ARC
(5,32),-2.68489 # DEPENDENCYPART_ARC
(5,33),-3.05303 # DEPENDENCYPART_ARC
(5,34),-10.3223 # DEPENDENCYPART_ARC
(5,35),-3.63925 # DEPENDENCYPART_ARC
(6,1),-0.881675 # DEPENDENCYPART_ARC
(6,2),-3.05305 # DEPENDENCYPART_ARC
(6,3),-0.793261 # DEPENDENCYPART_ARC
(6,4),-1.79767 # DEPENDENCYPART_ARC
(6,5),0.421078 # DEPENDENCYPART_ARC
(6,7),2.15822 # DEPENDENCYPART_ARC
(6,8),0.753354 # DEPENDENCYPART_ARC
(6,9),0.315857 # DEPENDENCYPART_ARC
(6,10),0.00755873 # DEPENDENCYPART_ARC
(6,11),-0.422441 # DEPENDENCYPART_ARC
(6,12),-0.102944 # DEPENDENCYPART_ARC
(6,13),-0.0323507 # DEPENDENCYPART_ARC
(6,14),-0.479319 # DEPENDENCYPART_ARC
(6,15),-0.502506 # DEPENDENCYPART_ARC
(6,16),-1.33282 # DEPENDENCYPART_ARC
(6,17),-0.223584 # DEPENDENCYPART_ARC
(6,18),-0.534478 # DEPENDENCYPART_ARC
(6,19),0.0484488 # DEPENDENCYPART_ARC
(6,20),-1.31557 # DEPENDENCYPART_ARC
(6,21),-1.76446 # DEPENDENCYPART_ARC
(6,22),-1.12933 # DEPENDENCYPART_ARC
(6,23),-1.61996 # DEPENDENCYPART_ARC
(6,24),-1.85548 # DEPENDENCYPART_ARC
(6,25),-1.45106 # DEPENDENCYPART_ARC
(6,26),-2.91266 # DEPENDENCYPART_ARC
(6,27),-0.99812 # DEPENDENCYPART_ARC
(6,28),-3.21884 # DEPENDENCYPART_ARC
(6,29),-0.971638 # DEPENDENCYPART_ARC
(6,30),-3.49897 # DEPENDENCYPART_ARC
(6,31),-3.49556 # DEPENDENCYPART_ARC
(6,32),-2.39451 # DEPENDENCYPART_ARC
(6,33),-2.60201 # DEPENDENCYPART_ARC
(6,34),-2.7626 # DEPENDENCYPART_ARC
(6,35),-4.95978 # DEPENDENCYPART_ARC
(7,1),-1.74746 # DEPENDENCYPART_ARC
(7,2),-2.01969 # DEPENDENCYPART_ARC
(7,3),-1.09722 # DEPENDENCYPART_ARC
(7,4),-1.48714 # DEPENDENCYPART_ARC
(7,5),-0.493159 # DEPENDENCYPART_ARC
(7,6),-0.380713 # DEPENDENCYPART_ARC
(7,8),3.80366 # DEPENDENCYPART_ARC
(7,9),-0.484736 # DEPENDENCYPART_ARC
(7,10),0.648307 # DEPENDENCYPART_ARC
(7,11),-0.500857 # DEPENDENCYPART_ARC
(7,12),-0.456895 # DEPENDENCYPART_ARC
(7,13),-0.999737 # DEPENDENCYPART_ARC
(7,14),-1.66206 # DEPENDENCYPART_ARC
(7,15),-2.19635 # DEPENDENCYPART_ARC
(7,16),-1.18784 # DEPENDENCYPART_ARC
(7,17),-0.364813 # DEPENDENCYPART_ARC
(7,18),-2.76259 # DEPENDENCYPART_ARC
(7,19),-2.88575 # DEPENDENCYPART_ARC
(7,20),-2.06306 # DEPENDENCYPART_ARC
(7,21),-5.3221 # DEPENDENCYPART_ARC
(7,22),-3.09796 # DEPENDENCYPART_ARC
(7,23),-2.14209 # DEPENDENCYPART_ARC
(7,24),-2.94309 # DEPENDENCYPART_ARC
(7,25),-1.68754 # DEPENDENCYPART_ARC
(7,26),-3.18313 # DEPENDENCYPART_ARC
(7,27),-3.51853 # DEPENDENCYPART_ARC
(7,28),-2.19473 # DEPENDENCYPART_ARC
(7,29),-3.5049 # DEPENDENCYPART_ARC
(7,30),-3.70754 # DEPENDENCYPART_ARC
(7,31),-3.29658 # DEPENDENCYPART_ARC
(7,32),-2.71981 # DEPENDENCYPART_ARC
(7,33),-3.16622 # DEPENDENCYPART_ARC
(7,34),-7.66661 # DEPENDENCYPART_ARC
(7,35),-3.10809 # DEPENDENCYPART_ARC
(8,1),-1.97772 # DEPENDENCYPART_ARC
(8,2),-3.81841 # DEPENDENCYPART_ARC
(8,3),-1.58012 # DEPENDENCYPART_ARC
(8,4),-2.89816 # DEPENDENCYPART_ARC
(8,5),-1.0732 # DEPENDENCYPART_ARC
(8,6),-1.62366 # DEPENDENCYPART_ARC
(8,7),0.369096 # DEPENDENCYPART_ARC
(8,9),1.44995 # DEPENDENCYPART_ARC
(8,10),0.572287 # DEPENDENCYPART_ARC
(8,11),0.0866576 # DEPENDENCYPART_ARC
(8,12),-0.128805 # DEPENDENCYPART_ARC
(8,13),0.102143 # DEPENDENCYPART_ARC
(8,14),-0.26979 # DEPENDENCYPART_ARC
(8,15),-0.264747 # DEPENDENCYPART_ARC
(8,16),-1.16419 # DEPENDENCYPART_ARC
(8,17),-0.00239759 # DEPENDENCYPART_ARC
(8,18),-0.215925 # DEPENDENCYPART_ARC
(8,19),-0.238726 # DEPENDENCYPART_ARC
(8,20),-1.32173 # DEPENDENCYPART_ARC
(8,21),-1.55072 # DEPENDENCYPART_ARC
(8,22),-0.841364 # DEPENDENCYPART_ARC
(8,23),-1.6299 # DEPENDENCYPART_ARC
(8,24),-1.76799 # DEPENDENCYPART_ARC
(8,25),-1.2466 # DEPENDENCYPART_ARC
(8,26),-2.86558 # DEPENDENCYPART_ARC
(8,27),-1.20784 # DEPENDENCYPART_ARC
(8,28),-2.91524 # DEPENDENCYPART_ARC
(8,29),-1.35822 # DEPENDENCYPART_ARC
(8,30),-3.34183 # DEPENDENCYPART_ARC
(8,31),-3.06674 # DEPENDENCYPART_ARC
(8,32),-2.37222 # DEPENDENCYPART_ARC
(8,33),-2.38287 # DEPENDENCYPART_ARC
(8,34),-2.52587 # DEPENDENCYPART_ARC
(8,35),-4.46792 # DEPENDENCYPART_ARC
(9,1),-1.41957 # DEPENDENCYPART_ARC
(9,2),-2.57186 # DEPENDENCYPART_ARC
(9,3),-1.29078 # DEPENDENCYPART_ARC
(9,4),-2.32722 # DEPENDENCYPART_ARC
(9,5),-0.827231 # DEPENDENCYPART_ARC
(9,6),-2.21116 # DEPENDENCYPART_ARC
(9,7),-0.426209 # DEPENDENCYPART_ARC
(9,8),-1.10254 # DEPENDENCYPART_ARC
(9,10),3.5575 # DEPENDENCYPART_ARC
(9,11),-0.0727393 # DEPENDENCYPART_ARC
(9,12),-0.0977607 # DEPENDENCYPART_ARC
(9,13),-0.420546 # DEPENDENCYPART_ARC
(9,14),-0.603111 # DEPENDENCYPART_ARC
(9,15),-1.70965 # DEPENDENCYPART_ARC
(9,16),-0.833707 # DEPENDENCYPART_ARC
(9,17),-0.398483 # DEPENDENCYPART_ARC
(9,18),-1.81187 # DEPENDENCYPART_ARC
(9,19),-2.90595 # DEPENDENCYPART_ARC
(9,20),-2.24517 # DEPENDENCYPART_ARC
(9,21),-4.49542 # DEPENDENCYPART_ARC
(9,22),-2.66586 # DEPENDENCYPART_ARC
(9,23),-2.35983 # DEPENDENCYPART_ARC
(9,24),-2.08452 # DEPENDENCYPART_ARC
(9,25),-1.19881 # DEPENDENCYPART_ARC
(9,26),-2.78685 # DEPENDENCYPART_ARC
(9,27),-3.86049 # DEPENDENCYPART_ARC
(9,28),-2.68106 # DEPENDENCYPART_ARC
(9,29),-3.09679 # DEPENDENCYPART_ARC
(9,30),-3.45735 # DEPENDENCYPART_ARC
(9,31),-3.07654 # DEPENDENCYPART_ARC
(9,32),-2.11769 # DEPENDENCYPART_ARC
(9,33),-2.71152 # DEPENDENCYPART_ARC
(9,34),-6.60375 # DEPENDENCYPART_ARC
(9,35),-2.79134 # DEPENDENCYPART_ARC
(10,1),-1.87835 # DEPENDENCYPART_ARC
(10,2),-3.41558 # DEPENDENCYPART_ARC
(10,3),-2.06165 # DEPENDENCYPART_ARC
(10,4),-2.9457 # DEPENDENCYPART_ARC
(10,5),-1.65264 # DEPENDENCYPART_ARC
(10,6),-2.93861 # DEPENDENCYPART_ARC
(10,7),-0.969877 # DEPENDENCYPART_ARC
(10,8),-2.03523 # DEPENDENCYPART_ARC
(10,9),0.669405 # DEPENDENCYPART_ARC
(10,11),2.72652 # DEPENDENCYPART_ARC
(10,12),0.0644381 # DEPENDENCYPART_ARC
(10,13),0.329882 # DEPENDENCYPART_ARC
(10,14),-0.00823083 # DEPENDENCYPART_ARC
(10,15),-0.226194 # DEPENDENCYPART_ARC
(10,16),-1.00665 # DEPENDENCYPART_ARC
(10,17),0.0202557 # DEPENDENCYPART_ARC
(10,18),-0.0612995 # DEPENDENCYPART_ARC
(10,19),-0.113387 # DEPENDENCYPART_ARC
(10,20),-1.0859 # DEPENDENCYPART_ARC
(10,21),-1.45761 # DEPENDENCYPART_ARC
(10,22),-0.841018 # DEPENDENCYPART_ARC
(10,23),-1.38984 # DEPENDENCYPART_ARC
(10,24),-1.87914 # DEPENDENCYPART_ARC
(10,25),-0.997564 # DEPENDENCYPART_ARC
(10,26),-2.94788 # DEPENDENCYPART_ARC
(10,27),-1.34389 # DEPENDENCYPART_ARC
(10,28),-2.57089 # DEPENDENCYPART_ARC
(10,29),-1.27327 # DEPENDENCYPART_ARC
(10,30),-3.33947 # DEPENDENCYPART_ARC
(10,31),-3.00801 # DEPENDENCYPART_ARC
(10,32),-2.20265 # DEPENDENCYPART_ARC
(10,33),-2.18153 # DEPENDENCYPART_ARC
(10,34),-2.43261 # DEPENDENCYPART_ARC
(10,35),-3.97098 # DEPENDENCYPART_ARC
(11,1),-1.01184 # DEPENDENCYPART_ARC
(11,2),-1.82946 # DEPENDENCYPART_ARC
(11,3),-0.649963 # DEPENDENCYPART_ARC
(11,4),-1.65618 # DEPENDENCYPART_ARC
(11,5),-0.322047 # DEPENDENCYPART_ARC
(11,6),-1.83571 # DEPENDENCYPART_ARC
(11,7),-0.146742 # DEPENDENCYPART_ARC
(11,8),-1.32873 # DEPENDENCYPART_ARC
(11,9),0.16374 # DEPENDENCYPART_ARC
(11,10),0.450886 # DEPENDENCYPART_ARC
(11,12),1.80801 # DEPENDENCYPART_ARC
(11,13),-0.0455571 # DEPENDENCYPART_ARC
(11,14),-0.269697 # DEPENDENCYPART_ARC
(11,15),-0.314702 # DEPENDENCYPART_ARC
(11,16),-1.03407 # DEPENDENCYPART_ARC
(11,17),0.0571901 # DEPENDENCYPART_ARC
(11,18),-0.540869 # DEPENDENCYPART_ARC
(11,19),-1.73083 # DEPENDENCYPART_ARC
(11,20),-1.43857 # DEPENDENCYPART_ARC
(11,21),-1.23819 # DEPENDENCYPART_ARC
(11,22),-1.28117 # DEPENDENCYPART_ARC
(11,23),-1.49239 # DEPENDENCYPART_ARC
(11,24),-2.03122 # DEPENDENCYPART_ARC
(11,25),-0.515069 # DEPENDENCYPART_ARC
(11,26),-3.08445 # DEPENDENCYPART_ARC
(11,27),-2.476 # DEPENDENCYPART_ARC
(11,28),-1.46422 # DEPENDENCYPART_ARC
(11,29),-2.61688 # DEPENDENCYPART_ARC
(11,30),-3.35535 # DEPENDENCYPART_ARC
(11,31),-1.13234 # DEPENDENCYPART_ARC
(11,32),-2.12342 # DEPENDENCYPART_ARC
(11,33),-1.9182 # DEPENDENCYPART_ARC
(11,34),-1.7125 # DEPENDENCYPART_ARC
(11,35),-2.49141 # DEPENDENCYPART_ARC
(12,1),-1.62745 # DEPENDENCYPART_ARC
(12,17),-0.718104 # DEPENDENCYPART_ARC
(12,20),-1.36681 # DEPENDENCYPART_ARC
(12,23),-1.45475 # DEPENDENCYPART_ARC
(12,35),-2.0092 # DEPENDENCYPART_ARC
(13,2),-2.82237 # DEPENDENCYPART_ARC
(13,4),-2.65326 # DEPENDENCYPART_ARC
(13,6),-2.64001 # DEPENDENCYPART_ARC
(13,8),-2.48033 # DEPENDENCYPART_ARC
(13,10),-1.94453 # DEPENDENCYPART_ARC
(13,12),0.182824 # DEPENDENCYPART_ARC
(13,14),0.805878 # DEPENDENCYPART_ARC
(13,16),-0.688593 # DEPENDENCYPART_ARC
(13,17),-0.361092 # DEPENDENCYPART_ARC
(13,19),-0.655909 # DEPENDENCYPART_ARC
(13,21),-1.1946 # DEPENDENCYPART_ARC
(13,23),-1.45399 # DEPENDENCYPART_ARC
(13,27),-1.22926 # DEPENDENCYPART_ARC
(13,29),-1.50808 # DEPENDENCYPART_ARC
(13,32),-1.86664 # DEPENDENCYPART_ARC
(13,34),-1.55777 # DEPENDENCYPART_ARC
(13,35),-1.52784 # DEPENDENCYPART_ARC
(14,1),-1.60407 # DEPENDENCYPART_ARC
(14,2),-2.67771 # DEPENDENCYPART_ARC
(14,3),-1.54947 # DEPENDENCYPART_ARC
(14,4),-2.2556 # DEPENDENCYPART_ARC
(14,5),-1.28808 # DEPENDENCYPART_ARC
(14,6),-2.68545 # DEPENDENCYPART_ARC
(14,7),-1.097 # DEPENDENCYPART_ARC
(14,8),-2.52443 # DEPENDENCYPART_ARC
(14,9),-0.177297 # DEPENDENCYPART_ARC
(14,10),-1.33719 # DEPENDENCYPART_ARC
(14,11),0.473651 # DEPENDENCYPART_ARC
(14,12),-0.725228 # DEPENDENCYPART_ARC
(14,13),3.20876 # DEPENDENCYPART_ARC
(14,15),1.22066 # DEPENDENCYPART_ARC
(14,16),0.0494345 # DEPENDENCYPART_ARC
(14,17),0.813433 # DEPENDENCYPART_ARC
(14,18),0.584499 # DEPENDENCYPART_ARC
(14,19),0.070592 # DEPENDENCYPART_ARC
(14,20),-0.645742 # DEPENDENCYPART_ARC
(14,21),-0.445537 # DEPENDENCYPART_ARC
(14,22),-0.227635 # DEPENDENCYPART_ARC
(14,23),-0.908075 # DEPENDENCYPART_ARC
(14,24),-1.21191 # DEPENDENCYPART_ARC
(14,25),-0.403076 # DEPENDENCYPART_ARC
(14,26),-2.41612 # DEPENDENCYPART_ARC
(14,27),-0.623962 # DEPENDENCYPART_ARC
(14,28),-1.55513 # DEPENDENCYPART_ARC
(14,29),-0.681952 # DEPENDENCYPART_ARC
(14,30),-2.7799 # DEPENDENCYPART_ARC
(14,31),-1.81628 # DEPENDENCYPART_ARC
(14,32),-1.39761 # DEPENDENCYPART_ARC
(14,33),-1.65642 # DEPENDENCYPART_ARC
(14,34),-1.92486 # DEPENDENCYPART_ARC
(14,35),-3.02912 # DEPENDENCYPART_ARC
(15,1),-1.90356 # DEPENDENCYPART_ARC
(15,2),-2.25006 # DEPENDENCYPART_ARC
(15,3),-1.66413 # DEPENDENCYPART_ARC
(15,4),-2.27567 # DEPENDENCYPART_ARC
(15,5),-1.38402 # DEPENDENCYPART_ARC
(15,6),-2.07523 # DEPENDENCYPART_ARC
(15,7),-1.50539 # DEPENDENCYPART_ARC
(15,8),-1.9736 # DEPENDENCYPART_ARC
(15,9),-1.2255 # DEPENDENCYPART_ARC
(15,10),-1.73802 # DEPENDENCYPART_ARC
(15,11),-1.77551 # DEPENDENCYPART_ARC
(15,12),-1.03413 # DEPENDENCYPART_ARC
(15,13),-0.470825 # DEPENDENCYPART_ARC
(15,14),-0.05558 # DEPENDENCYPART_ARC
(15,16),1.82672 # DEPENDENCYPART_ARC
(15,17),0.347434 # DEPENDENCYPART_ARC
(15,18),1.43814 # DEPENDENCYPART_ARC
(15,19),-0.323679 # DEPENDENCYPART_ARC
(15,20),-1.02836 # DEPENDENCYPART_ARC
(15,21),-1.65359 # DEPENDENCYPART_ARC
(15,22),-1.04695 # DEPENDENCYPART_ARC
(15,23),-1.25239 # DEPENDENCYPART_ARC
(15,24),-0.827184 # DEPENDENCYPART_ARC
(15,25),-0.703618 # DEPENDENCYPART_ARC
(15,26),-1.16315 # DEPENDENCYPART_ARC
(15,27),-1.69632 # DEPENDENCYPART_ARC
(15,28),-1.4545 # DEPENDENCYPART_ARC
(15,29),-1.48258 # DEPENDENCYPART_ARC
(15,30),-1.77098 # DEPENDENCYPART_ARC
(15,31),-1.67987 # DEPENDENCYPART_ARC
(15,32),-1.48999 # DEPENDENCYPART_ARC
(15,33),-1.3921 # DEPENDENCYPART_ARC
(15,34),-4.67997 # DEPENDENCYPART_ARC
(15,35),-1.54326 # DEPENDENCYPART_ARC
(16,1),-1.82779 # DEPENDENCYPART_ARC
(16,2),-3.01325 # DEPENDENCYPART_ARC
(16,3),-1.91025 # DEPENDENCYPART_ARC
(16,4),-2.83838 # DEPENDENCYPART_ARC
(16,5),-1.99584 # DEPENDENCYPART_ARC
(16,6),-2.78785 # DEPENDENCYPART_ARC
(16,7),-1.68797 # DEPENDENCYPART_ARC
(16,8),-2.6884 # DEPENDENCYPART_ARC
(16,9),-1.68866 # DEPENDENCYPART_ARC
(16,10),-2.53791 # DEPENDENCYPART_ARC
(16,11),-2.01272 # DEPENDENCYPART_ARC
(16,12),-1.61975 # DEPENDENCYPART_ARC
(16,13),-1.14018 # DEPENDENCYPART_ARC
(16,14),-1.65322 # DEPENDENCYPART_ARC
(16,15),0.273608 # DEPENDENCYPART_ARC
(16,17),1.72209 # DEPENDENCYPART_ARC
(16,18),-0.326202 # DEPENDENCYPART_ARC
(16,19),-0.458949 # DEPENDENCYPART_ARC
(16,20),-1.05346 # DEPENDENCYPART_ARC
(16,21),-1.44647 # DEPENDENCYPART_ARC
(16,22),-1.38495 # DEPENDENCYPART_ARC
(16,23),-1.29834 # DEPENDENCYPART_ARC
(16,25),-1.42878 # DEPENDENCYPART_ARC
(16,26),-1.64733 # DEPENDENCYPART_ARC
(16,27),-1.50673 # DEPENDENCYPART_ARC
(16,28),-1.49786 # DEPENDENCYPART_ARC
(16,29),-1.7285 # DEPENDENCYPART_ARC
(16,30),-1.87663 # DEPENDENCYPART_ARC
(16,31),-1.60829 # DEPENDENCYPART_ARC
(16,32),-1.66943 # DEPENDENCYPART_ARC
(16,33),-1.78601 # DEPENDENCYPART_ARC
(16,34),-2.25245 # DEPENDENCYPART_ARC
