# _root_ Ogni medico è subito al_corrente_della diagnosi fatta dal suo collega ; il paziente , sempre preceduto dal suo dossier , è indirizzato da un servizio all' altro .
#goldHeads=2,3,0,3,3,5,6,7,10,8,10,13,22,13,16,13,16,19,17,19,22,0,22,25,23,22,26,27,
#predictedHeads=2,3,0,3,3,5,6,7,10,8,10,13,10,13,16,13,16,19,17,19,22,16,22,25,23,25,26,27,
(3,17),-0.572823 # DEPENDENCYPART_ARC
(3,18),-1.44708 # DEPENDENCYPART_ARC
(3,19),-1.31267 # DEPENDENCYPART_ARC
(3,20),0.214318 # DEPENDENCYPART_ARC
(3,21),0.632178 # DEPENDENCYPART_ARC
(3,22),-1.33816 # DEPENDENCYPART_ARC
(3,23),-1.35225 # DEPENDENCYPART_ARC
(3,24),-2.31039 # DEPENDENCYPART_ARC
(3,25),-2.23507 # DEPENDENCYPART_ARC
(3,26),-2.02533 # DEPENDENCYPART_ARC
(3,27),-1.33754 # DEPENDENCYPART_ARC
(3,28),-3.61428 # DEPENDENCYPART_ARC
(4,1),-0.289113 # DEPENDENCYPART_ARC
(4,2),-0.732151 # DEPENDENCYPART_ARC
(4,3),0.188195 # DEPENDENCYPART_ARC
(4,5),0.443622 # DEPENDENCYPART_ARC
(4,6),0.543288 # DEPENDENCYPART_ARC
(4,7),-0.0617523 # DEPENDENCYPART_ARC
(4,8),-0.581141 # DEPENDENCYPART_ARC
(4,9),-0.718697 # DEPENDENCYPART_ARC
(4,10),-0.578533 # DEPENDENCYPART_ARC
(4,11),-0.651222 # DEPENDENCYPART_ARC
(4,12),-0.710759 # DEPENDENCYPART_ARC
(4,13),-1.06544 # DEPENDENCYPART_ARC
(4,14),-0.63029 # DEPENDENCYPART_ARC
(4,15),-1.11048 # DEPENDENCYPART_ARC
(4,16),-1.61548 # DEPENDENCYPART_ARC
(4,17),-1.33607 # DEPENDENCYPART_ARC
(4,18),-1.32258 # DEPENDENCYPART_ARC
(4,19),-1.28993 # DEPENDENCYPART_ARC
(4,20),-1.33326 # DEPENDENCYPART_ARC
(4,21),-2.4247 # DEPENDENCYPART_ARC
(4,22),-2.07504 # DEPENDENCYPART_ARC
(4,23),-1.62778 # DEPENDENCYPART_ARC
(4,24),-1.13545 # DEPENDENCYPART_ARC
(4,25),-1.88378 # DEPENDENCYPART_ARC
(4,26),-1.52491 # DEPENDENCYPART_ARC
(4,27),-1.3578 # DEPENDENCYPART_ARC
(4,28),-2.54494 # DEPENDENCYPART_ARC
(5,1),-0.67975 # DEPENDENCYPART_ARC
(5,2),-1.61093 # DEPENDENCYPART_ARC
(5,3),-1.09596 # DEPENDENCYPART_ARC
(5,4),0.906271 # DEPENDENCYPART_ARC
(5,6),4.29694 # DEPENDENCYPART_ARC
(5,7),0.458459 # DEPENDENCYPART_ARC
(5,8),0.195121 # DEPENDENCYPART_ARC
(5,9),-1.50715 # DEPENDENCYPART_ARC
(5,10),-1.08169 # DEPENDENCYPART_ARC
(5,11),-0.346033 # DEPENDENCYPART_ARC
(5,12),-1.55243 # DEPENDENCYPART_ARC
(5,13),-2.90912 # DEPENDENCYPART_ARC
(5,14),0.0614036 # DEPENDENCYPART_ARC
(5,15),-0.765556 # DEPENDENCYPART_ARC
(5,16),-2.51305 # DEPENDENCYPART_ARC
(5,17),-1.17491 # DEPENDENCYPART_ARC
(5,18),-2.41872 # DEPENDENCYPART_ARC
(5,19),-3.95612 # DEPENDENCYPART_ARC
(5,20),-0.474759 # DEPENDENCYPART_ARC
(5,21),-3.81702 # DEPENDENCYPART_ARC
(5,22),-3.35932 # DEPENDENCYPART_ARC
(5,23),-2.215 # DEPENDENCYPART_ARC
(5,24),-2.33105 # DEPENDENCYPART_ARC
(5,25),-6.75223 # DEPENDENCYPART_ARC
(5,26),-2.38357 # DEPENDENCYPART_ARC
(5,27),-2.69954 # DEPENDENCYPART_ARC
(5,28),-2.02347 # DEPENDENCYPART_ARC
(6,1),0.341981 # DEPENDENCYPART_ARC
(6,2),-2.96737 # DEPENDENCYPART_ARC
(6,3),-1.37195 # DEPENDENCYPART_ARC
(6,4),0.12703 # DEPENDENCYPART_ARC
(6,5),1.40892 # DEPENDENCYPART_ARC
(6,7),2.56165 # DEPENDENCYPART_ARC
(6,8),0.237216 # DEPENDENCYPART_ARC
(6,9),-0.861703 # DEPENDENCYPART_ARC
(6,10),-0.236807 # DEPENDENCYPART_ARC
(6,11),-0.534147 # DEPENDENCYPART_ARC
(6,12),-0.912106 # DEPENDENCYPART_ARC
(6,13),-0.674239 # DEPENDENCYPART_ARC
(6,14),0.228186 # DEPENDENCYPART_ARC
(6,15),-0.948584 # DEPENDENCYPART_ARC
(6,16),-0.484545 # DEPENDENCYPART_ARC
(6,17),-1.03992 # DEPENDENCYPART_ARC
(6,18),-2.20518 # DEPENDENCYPART_ARC
(6,19),-1.26682 # DEPENDENCYPART_ARC
(6,20),-0.330369 # DEPENDENCYPART_ARC
(6,21),-1.66461 # DEPENDENCYPART_ARC
(6,22),-2.35737 # DEPENDENCYPART_ARC
(6,23),-0.91564 # DEPENDENCYPART_ARC
(6,24),-1.24503 # DEPENDENCYPART_ARC
(6,25),-2.43114 # DEPENDENCYPART_ARC
(6,26),-2.39457 # DEPENDENCYPART_ARC
(6,27),-1.30796 # DEPENDENCYPART_ARC
(6,28),-3.93528 # DEPENDENCYPART_ARC
(7,1),-1.34973 # DEPENDENCYPART_ARC
(7,2),-0.205188 # DEPENDENCYPART_ARC
(7,3),1.00677 # DEPENDENCYPART_ARC
(7,4),0.837679 # DEPENDENCYPART_ARC
(7,5),0.839408 # DEPENDENCYPART_ARC
(7,6),0.947119 # DEPENDENCYPART_ARC
(7,8),2.51684 # DEPENDENCYPART_ARC
(7,9),0.248782 # DEPENDENCYPART_ARC
(7,10),0.577099 # DEPENDENCYPART_ARC
(7,11),0.0421756 # DEPENDENCYPART_ARC
(7,12),-1.79473 # DEPENDENCYPART_ARC
(7,13),-0.219333 # DEPENDENCYPART_ARC
(7,14),0.608531 # DEPENDENCYPART_ARC
(7,15),-0.496448 # DEPENDENCYPART_ARC
(7,16),-0.31062 # DEPENDENCYPART_ARC
(7,17),-0.189136 # DEPENDENCYPART_ARC
(7,18),-1.98485 # DEPENDENCYPART_ARC
(7,19),-1.77366 # DEPENDENCYPART_ARC
(7,20),0.567407 # DEPENDENCYPART_ARC
(7,21),-0.85452 # DEPENDENCYPART_ARC
(7,22),-0.933989 # DEPENDENCYPART_ARC
(7,23),-0.994693 # DEPENDENCYPART_ARC
(7,24),-2.47259 # DEPENDENCYPART_ARC
(7,25),-2.34902 # DEPENDENCYPART_ARC
(7,26),-1.59213 # DEPENDENCYPART_ARC
(7,27),-1.82834 # DEPENDENCYPART_ARC
(7,28),-2.66286 # DEPENDENCYPART_ARC
(8,1),-1.79692 # DEPENDENCYPART_ARC
(8,2),-3.01184 # DEPENDENCYPART_ARC
(8,3),-3.26079 # DEPENDENCYPART_ARC
(8,4),-1.96336 # DEPENDENCYPART_ARC
(8,5),-1.82043 # DEPENDENCYPART_ARC
(8,6),-2.74522 # DEPENDENCYPART_ARC
(8,7),-1.63311 # DEPENDENCYPART_ARC
(8,9),1.73553 # DEPENDENCYPART_ARC
(8,10),2.88797 # DEPENDENCYPART_ARC
(8,11),0.410518 # DEPENDENCYPART_ARC
(8,12),-0.639866 # DEPENDENCYPART_ARC
(8,13),-0.156819 # DEPENDENCYPART_ARC
(8,14),1.03089 # DEPENDENCYPART_ARC
(8,15),-0.22994 # DEPENDENCYPART_ARC
(8,16),-0.731803 # DEPENDENCYPART_ARC
(8,17),-0.134059 # DEPENDENCYPART_ARC
(8,18),-0.741552 # DEPENDENCYPART_ARC
(8,19),-2.55713 # DEPENDENCYPART_ARC
(8,20),0.417105 # DEPENDENCYPART_ARC
(8,21),-2.16745 # DEPENDENCYPART_ARC
(8,22),-1.83747 # DEPENDENCYPART_ARC
(8,23),-1.42726 # DEPENDENCYPART_ARC
(8,24),-1.62395 # DEPENDENCYPART_ARC
(8,25),-4.95516 # DEPENDENCYPART_ARC
(8,26),-1.24294 # DEPENDENCYPART_ARC
(8,27),-1.28116 # DEPENDENCYPART_ARC
(8,28),-1.2102 # DEPENDENCYPART_ARC
(9,1),-1.92565 # DEPENDENCYPART_ARC
(9,2),-2.88028 # DEPENDENCYPART_ARC
(9,3),-2.65589 # DEPENDENCYPART_ARC
(9,4),-2.031 # DEPENDENCYPART_ARC
(9,5),-2.18919 # DEPENDENCYPART_ARC
(9,6),-2.56812 # DEPENDENCYPART_ARC
(9,7),-2.22476 # DEPENDENCYPART_ARC
(9,8),-0.130174 # DEPENDENCYPART_ARC
(9,10),1.39055 # DEPENDENCYPART_ARC
(9,11),-0.604917 # DEPENDENCYPART_ARC
(9,12),-1.22 # DEPENDENCYPART_ARC
(9,13),-0.477059 # DEPENDENCYPART_ARC
(9,14),-1.08987 # DEPENDENCYPART_ARC
(9,15),-1.54634 # DEPENDENCYPART_ARC
(9,16),-0.683957 # DEPENDENCYPART_ARC
(9,17),-1.215 # DEPENDENCYPART_ARC
(9,18),-1.21972 # DEPENDENCYPART_ARC
(9,19),-1.01767 # DEPENDENCYPART_ARC
(9,20),-1.43806 # DEPENDENCYPART_ARC
(9,21),-2.79397 # DEPENDENCYPART_ARC
(9,22),-1.749 # DEPENDENCYPART_ARC
(9,23),-2.15023 # DEPENDENCYPART_ARC
(9,24),-2.15362 # DEPENDENCYPART_ARC
(9,25),-1.84329 # DEPENDENCYPART_ARC
(9,26),-2.0973 # DEPENDENCYPART_ARC
(9,27),-1.93879 # DEPENDENCYPART_ARC
(9,28),-2.74596 # DEPENDENCYPART_ARC
(10,1),0.154791 # DEPENDENCYPART_ARC
(10,2),-2.04656 # DEPENDENCYPART_ARC
(10,3),-2.10366 # DEPENDENCYPART_ARC
(10,4),-0.653569 # DEPENDENCYPART_ARC
(10,5),-0.463055 # DEPENDENCYPART_ARC
(10,6),-0.406797 # DEPENDENCYPART_ARC
(10,7),-0.518716 # DEPENDENCYPART_ARC
(10,8),0.435346 # DEPENDENCYPART_ARC
(10,9),3.58862 # DEPENDENCYPART_ARC
(10,11),1.60797 # DEPENDENCYPART_ARC
(10,12),-0.281516 # DEPENDENCYPART_ARC
(10,13),1.18056 # DEPENDENCYPART_ARC
(10,14),1.09421 # DEPENDENCYPART_ARC
(10,15),-0.592534 # DEPENDENCYPART_ARC
(10,16),1.65412 # DEPENDENCYPART_ARC
(10,17),-1.17995 # DEPENDENCYPART_ARC
(10,18),-1.31177 # DEPENDENCYPART_ARC
(10,19),-0.315705 # DEPENDENCYPART_ARC
(10,20),0.904349 # DEPENDENCYPART_ARC
(10,21),-1.09831 # DEPENDENCYPART_ARC
(10,22),-0.758416 # DEPENDENCYPART_ARC
(10,23),-1.04508 # DEPENDENCYPART_ARC
(10,24),-1.10901 # DEPENDENCYPART_ARC
(10,25),-1.19899 # DEPENDENCYPART_ARC
(10,26),-2.43699 # DEPENDENCYPART_ARC
(10,27),-1.16664 # DEPENDENCYPART_ARC
(10,28),-2.45704 # DEPENDENCYPART_ARC
(11,1),-2.01779 # DEPENDENCYPART_ARC
(11,2),-2.36917 # DEPENDENCYPART_ARC
(11,3),-2.68032 # DEPENDENCYPART_ARC
(11,4),-2.00839 # DEPENDENCYPART_ARC
(11,5),-1.71379 # DEPENDENCYPART_ARC
(11,6),-2.12794 # DEPENDENCYPART_ARC
(11,7),-2.31321 # DEPENDENCYPART_ARC
(11,8),-1.03448 # DEPENDENCYPART_ARC
(11,9),-1.2096 # DEPENDENCYPART_ARC
(11,10),-0.586727 # DEPENDENCYPART_ARC
(11,12),-0.548024 # DEPENDENCYPART_ARC
(11,13),-1.07195 # DEPENDENCYPART_ARC
(11,14),-0.310366 # DEPENDENCYPART_ARC
(11,15),-1.7908 # DEPENDENCYPART_ARC
(11,16),-1.48977 # DEPENDENCYPART_ARC
(11,17),-2.03265 # DEPENDENCYPART_ARC
(11,18),-2.19459 # DEPENDENCYPART_ARC
(11,19),-2.1196 # DEPENDENCYPART_ARC
(11,20),-0.883501 # DEPENDENCYPART_ARC
(11,21),-1.88809 # DEPENDENCYPART_ARC
(11,22),-2.07808 # DEPENDENCYPART_ARC
(11,23),-2.4131 # DEPENDENCYPART_ARC
(11,24),-2.28865 # DEPENDENCYPART_ARC
(11,25),-2.39503 # DEPENDENCYPART_ARC
(11,26),-2.50642 # DEPENDENCYPART_ARC
(11,27),-2.42285 # DEPENDENCYPART_ARC
(11,28),-1.52193 # DEPENDENCYPART_ARC
(12,1),-2.30403 # DEPENDENCYPART_ARC
(12,2),-2.98614 # DEPENDENCYPART_ARC
(12,3),-3.56289 # DEPENDENCYPART_ARC
(12,4),-2.5825 # DEPENDENCYPART_ARC
(12,5),-2.83062 # DEPENDENCYPART_ARC
(12,6),-3.29655 # DEPENDENCYPART_ARC
(12,7),-3.57797 # DEPENDENCYPART_ARC
(12,8),-2.27985 # DEPENDENCYPART_ARC
(12,9),-1.83057 # DEPENDENCYPART_ARC
(12,10),-2.07298 # DEPENDENCYPART_ARC
(12,11),0.0824351 # DEPENDENCYPART_ARC
(12,13),1.20251 # DEPENDENCYPART_ARC
(12,14),-0.0866066 # DEPENDENCYPART_ARC
(12,15),-0.537385 # DEPENDENCYPART_ARC
(12,16),-0.526434 # DEPENDENCYPART_ARC
(12,17),-1.04483 # DEPENDENCYPART_ARC
(12,18),-1.66599 # DEPENDENCYPART_ARC
(12,19),-0.401632 # DEPENDENCYPART_ARC
(12,20),-0.659532 # DEPENDENCYPART_ARC
(12,21),-0.906961 # DEPENDENCYPART_ARC
(12,22),-1.05804 # DEPENDENCYPART_ARC
(12,23),-1.13094 # DEPENDENCYPART_ARC
(12,24),-1.81279 # DEPENDENCYPART_ARC
(12,25),-1.02459 # DEPENDENCYPART_ARC
(12,26),-1.40191 # DEPENDENCYPART_ARC
(12,27),-1.87055 # DEPENDENCYPART_ARC
(12,28),-1.10536 # DEPENDENCYPART_ARC
(13,1),-0.156535 # DEPENDENCYPART_ARC
(13,2),-2.51349 # DEPENDENCYPART_ARC
(13,3),-2.44051 # DEPENDENCYPART_ARC
(13,4),-0.893501 # DEPENDENCYPART_ARC
(13,5),-0.928328 # DEPENDENCYPART_ARC
(13,6),-1.22367 # DEPENDENCYPART_ARC
(13,7),-1.34106 # DEPENDENCYPART_ARC
(13,8),-0.391191 # DEPENDENCYPART_ARC
(13,9),0.579512 # DEPENDENCYPART_ARC
(13,10),-1.17069 # DEPENDENCYPART_ARC
(13,11),-0.359469 # DEPENDENCYPART_ARC
(13,12),3.37018 # DEPENDENCYPART_ARC
(13,14),2.32609 # DEPENDENCYPART_ARC
(13,15),0.393681 # DEPENDENCYPART_ARC
(13,16),2.32872 # DEPENDENCYPART_ARC
(13,17),-0.12266 # DEPENDENCYPART_ARC
(13,18),-0.296818 # DEPENDENCYPART_ARC
(13,19),0.00860692 # DEPENDENCYPART_ARC
(13,20),0.761576 # DEPENDENCYPART_ARC
(13,21),-0.575626 # DEPENDENCYPART_ARC
(13,22),-0.0901082 # DEPENDENCYPART_ARC
(13,23),-0.31902 # DEPENDENCYPART_ARC
(13,24),-0.700449 # DEPENDENCYPART_ARC
(13,25),-0.443164 # DEPENDENCYPART_ARC
(13,26),-1.85233 # DEPENDENCYPART_ARC
(13,27),-0.582359 # DEPENDENCYPART_ARC
(13,28),-2.1344 # DEPENDENCYPART_ARC
(14,1),-2.24539 # DEPENDENCYPART_ARC
(14,2),-2.70402 # DEPENDENCYPART_ARC
(14,3),-3.03916 # DEPENDENCYPART_ARC
(14,4),-2.45359 # DEPENDENCYPART_ARC
(14,5),-2.0739 # DEPENDENCYPART_ARC
(14,6),-2.62909 # DEPENDENCYPART_ARC
(14,7),-2.76968 # DEPENDENCYPART_ARC
(14,8),-1.85513 # DEPENDENCYPART_ARC
(14,9),-2.27059 # DEPENDENCYPART_ARC
(14,10),-2.27753 # DEPENDENCYPART_ARC
(14,11),-1.51604 # DEPENDENCYPART_ARC
(14,12),-0.78182 # DEPENDENCYPART_ARC
(14,13),-0.886596 # DEPENDENCYPART_ARC
(14,15),-0.728828 # DEPENDENCYPART_ARC
(14,16),-1.09223 # DEPENDENCYPART_ARC
(14,17),-1.76766 # DEPENDENCYPART_ARC
(14,18),-1.91026 # DEPENDENCYPART_ARC
(14,19),-1.96731 # DEPENDENCYPART_ARC
(14,20),-0.780522 # DEPENDENCYPART_ARC
(14,21),-1.87317 # DEPENDENCYPART_ARC
(14,22),-1.95719 # DEPENDENCYPART_ARC
(14,23),-2.3772 # DEPENDENCYPART_ARC
(14,24),-2.20281 # DEPENDENCYPART_ARC
(14,25),-2.40954 # DEPENDENCYPART_ARC
(14,26),-2.45964 # DEPENDENCYPART_ARC
(14,27),-2.48646 # DEPENDENCYPART_ARC
(14,28),-1.47638 # DEPENDENCYPART_ARC
(15,1),-1.92665 # DEPENDENCYPART_ARC
(15,2),-2.60344 # DEPENDENCYPART_ARC
(15,3),-2.7732 # DEPENDENCYPART_ARC
(15,4),-1.68158 # DEPENDENCYPART_ARC
(15,5),-1.75055 # DEPENDENCYPART_ARC
(15,6),-2.5153 # DEPENDENCYPART_ARC
(15,7),-2.61036 # DEPENDENCYPART_ARC
(15,8),-1.38935 # DEPENDENCYPART_ARC
(15,9),-1.86259 # DEPENDENCYPART_ARC
(15,10),-2.2246 # DEPENDENCYPART_ARC
(15,11),-1.32389 # DEPENDENCYPART_ARC
(15,12),-0.643619 # DEPENDENCYPART_ARC
(15,13),-1.52919 # DEPENDENCYPART_ARC
(15,14),0.272956 # DEPENDENCYPART_ARC
(15,16),0.890131 # DEPENDENCYPART_ARC
(15,17),-0.463692 # DEPENDENCYPART_ARC
(15,18),-0.349091 # DEPENDENCYPART_ARC
(15,19),-0.445682 # DEPENDENCYPART_ARC
(15,20),-0.193378 # DEPENDENCYPART_ARC
(15,21),-0.739422 # DEPENDENCYPART_ARC
(15,22),-0.812079 # DEPENDENCYPART_ARC
(15,23),-1.30952 # DEPENDENCYPART_ARC
(15,24),-0.828033 # DEPENDENCYPART_ARC
(15,25),-1.36801 # DEPENDENCYPART_ARC
(15,26),-1.40343 # DEPENDENCYPART_ARC
(15,27),-1.32278 # DEPENDENCYPART_ARC
(15,28),-1.37633 # DEPENDENCYPART_ARC
(16,1),-1.73307 # DEPENDENCYPART_ARC
(16,2),-0.436118 # DEPENDENCYPART_ARC
(16,3),-0.679958 # DEPENDENCYPART_ARC
(16,4),-0.61786 # DEPENDENCYPART_ARC
(16,5),-0.727139 # DEPENDENCYPART_ARC
(16,6),-0.639194 # DEPENDENCYPART_ARC
(16,7),-0.632024 # DEPENDENCYPART_ARC
(16,8),-0.54959 # DEPENDENCYPART_ARC
(16,9),-0.872872 # DEPENDENCYPART_ARC
(16,10),-0.595269 # DEPENDENCYPART_ARC
(16,11),-1.5091 # DEPENDENCYPART_ARC
(16,12),-0.211963 # DEPENDENCYPART_ARC
(16,13),0.736687 # DEPENDENCYPART_ARC
(16,14),-1.03404 # DEPENDENCYPART_ARC
(16,15),2.22921 # DEPENDENCYPART_ARC
(16,17),2.76341 # DEPENDENCYPART_ARC
(16,18),0.921528 # DEPENDENCYPART_ARC
(16,19),1.01167 # DEPENDENCYPART_ARC
(16,20),1.27594 # DEPENDENCYPART_ARC
(16,21),0.616043 # DEPENDENCYPART_ARC
(16,22),0.528052 # DEPENDENCYPART_ARC
(16,23),0.169355 # DEPENDENCYPART_ARC
(16,24),-1.9451 # DEPENDENCYPART_ARC
(16,25),-0.425518 # DEPENDENCYPART_ARC
(16,26),0.152599 # DEPENDENCYPART_ARC
(16,27),-0.763027 # DEPENDENCYPART_ARC
(16,28),-0.937283 # DEPENDENCYPART_ARC
(17,1),-1.60825 # DEPENDENCYPART_ARC
(17,2),-2.89266 # DEPENDENCYPART_ARC
(17,3),-3.09242 # DEPENDENCYPART_ARC
(17,4),-2.17403 # DEPENDENCYPART_ARC
(17,5),-2.22832 # DEPENDENCYPART_ARC
(17,6),-3.28232 # DEPENDENCYPART_ARC
(17,7),-3.38067 # DEPENDENCYPART_ARC
(17,8),-2.01153 # DEPENDENCYPART_ARC
(17,9),-2.34814 # DEPENDENCYPART_ARC
(17,10),-2.69093 # DEPENDENCYPART_ARC
(17,11),-1.82879 # DEPENDENCYPART_ARC
(17,12),-1.40886 # DEPENDENCYPART_ARC
(17,13),-2.38318 # DEPENDENCYPART_ARC
(17,14),-1.43255 # DEPENDENCYPART_ARC
(17,15),-0.466439 # DEPENDENCYPART_ARC
(17,16),-0.976013 # DEPENDENCYPART_ARC
(17,18),1.78215 # DEPENDENCYPART_ARC
(17,19),2.93448 # DEPENDENCYPART_ARC
(17,20),0.881107 # DEPENDENCYPART_ARC
(17,21),-0.395533 # DEPENDENCYPART_ARC
(17,22),-0.061618 # DEPENDENCYPART_ARC
(17,23),-0.369879 # DEPENDENCYPART_ARC
(17,24),-1.22284 # DEPENDENCYPART_ARC
(17,25),-1.84193 # DEPENDENCYPART_ARC
(17,26),-0.255402 # DEPENDENCYPART_ARC
(17,27),0.000346319 # DEPENDENCYPART_ARC
(17,28),-0.592195 # DEPENDENCYPART_ARC
(18,1),-2.2105 # DEPENDENCYPART_ARC
(18,2),-3.51447 # DEPENDENCYPART_ARC
(18,3),-2.98846 # DEPENDENCYPART_ARC
(18,4),-3.03625 # DEPENDENCYPART_ARC
(18,5),-3.16432 # DEPENDENCYPART_ARC
(18,6),-3.6811 # DEPENDENCYPART_ARC
(18,7),-3.9462 # DEPENDENCYPART_ARC
(18,8),-2.73596 # DEPENDENCYPART_ARC
(18,9),-2.91527 # DEPENDENCYPART_ARC
(18,10),-3.12877 # DEPENDENCYPART_ARC
(18,11),-2.44926 # DEPENDENCYPART_ARC
(18,12),-2.29311 # DEPENDENCYPART_ARC
(18,13),-2.75003 # DEPENDENCYPART_ARC
(18,14),-2.40651 # DEPENDENCYPART_ARC
(18,15),-1.4687 # DEPENDENCYPART_ARC
(18,16),-2.28293 # DEPENDENCYPART_ARC
(18,17),-0.147569 # DEPENDENCYPART_ARC
(18,19),1.20964 # DEPENDENCYPART_ARC
(18,20),-0.505705 # DEPENDENCYPART_ARC
