# _root_ Conseguenza , con tutta probabilità , di un pasto consumato subito prima_di gettar- si in mare .
#goldHeads=0,1,1,5,3,5,1,9,7,9,12,10,12,13,13,15,16,
#predictedHeads=0,1,1,5,3,5,5,9,7,9,10,10,12,13,13,15,16,
(3,16),-2.16119 # DEPENDENCYPART_ARC
(3,17),-0.997638 # DEPENDENCYPART_ARC
(4,1),-1.74444 # DEPENDENCYPART_ARC
(4,2),-0.996847 # DEPENDENCYPART_ARC
(4,3),-0.0464831 # DEPENDENCYPART_ARC
(4,5),1.26035 # DEPENDENCYPART_ARC
(4,6),0.0713295 # DEPENDENCYPART_ARC
(4,7),-0.081037 # DEPENDENCYPART_ARC
(4,8),-0.79197 # DEPENDENCYPART_ARC
(4,9),-0.533501 # DEPENDENCYPART_ARC
(4,10),-0.271735 # DEPENDENCYPART_ARC
(4,11),-1.02535 # DEPENDENCYPART_ARC
(4,12),-0.671229 # DEPENDENCYPART_ARC
(4,13),-1.04344 # DEPENDENCYPART_ARC
(4,14),-1.32643 # DEPENDENCYPART_ARC
(4,15),-0.824514 # DEPENDENCYPART_ARC
(4,16),-1.02768 # DEPENDENCYPART_ARC
(4,17),-0.857116 # DEPENDENCYPART_ARC
(5,1),-1.91099 # DEPENDENCYPART_ARC
(5,2),-1.1816 # DEPENDENCYPART_ARC
(5,3),0.965739 # DEPENDENCYPART_ARC
(5,4),4.01952 # DEPENDENCYPART_ARC
(5,6),1.99925 # DEPENDENCYPART_ARC
(5,7),0.758741 # DEPENDENCYPART_ARC
(5,8),-0.541244 # DEPENDENCYPART_ARC
(5,9),-0.364829 # DEPENDENCYPART_ARC
(5,10),0.238832 # DEPENDENCYPART_ARC
(5,11),-1.04322 # DEPENDENCYPART_ARC
(5,12),-1.14659 # DEPENDENCYPART_ARC
(5,13),-1.14781 # DEPENDENCYPART_ARC
(5,14),-1.5298 # DEPENDENCYPART_ARC
(5,15),-1.22732 # DEPENDENCYPART_ARC
(5,16),-1.33358 # DEPENDENCYPART_ARC
(5,17),-1.5003 # DEPENDENCYPART_ARC
(6,1),-2.32674 # DEPENDENCYPART_ARC
(6,2),-1.87281 # DEPENDENCYPART_ARC
(6,3),-1.22754 # DEPENDENCYPART_ARC
(6,4),-1.05713 # DEPENDENCYPART_ARC
(6,5),-0.799896 # DEPENDENCYPART_ARC
(6,7),-0.979109 # DEPENDENCYPART_ARC
(6,8),-1.41232 # DEPENDENCYPART_ARC
(6,9),-1.59564 # DEPENDENCYPART_ARC
(6,10),-1.49585 # DEPENDENCYPART_ARC
(6,11),-2.19059 # DEPENDENCYPART_ARC
(6,12),-2.20382 # DEPENDENCYPART_ARC
(6,13),-1.91147 # DEPENDENCYPART_ARC
(6,14),-2.30462 # DEPENDENCYPART_ARC
(6,15),-2.48511 # DEPENDENCYPART_ARC
(6,16),-2.34701 # DEPENDENCYPART_ARC
(6,17),-1.36521 # DEPENDENCYPART_ARC
(7,1),-1.77256 # DEPENDENCYPART_ARC
(7,2),-1.85756 # DEPENDENCYPART_ARC
(7,3),-0.963992 # DEPENDENCYPART_ARC
(7,4),-0.911836 # DEPENDENCYPART_ARC
(7,5),-0.897677 # DEPENDENCYPART_ARC
(7,6),-0.176659 # DEPENDENCYPART_ARC
(7,8),0.633114 # DEPENDENCYPART_ARC
(7,9),3.32548 # DEPENDENCYPART_ARC
(7,10),0.541539 # DEPENDENCYPART_ARC
(7,11),-0.317695 # DEPENDENCYPART_ARC
(7,12),-0.325485 # DEPENDENCYPART_ARC
(7,13),0.456776 # DEPENDENCYPART_ARC
(7,14),-0.61497 # DEPENDENCYPART_ARC
(7,15),-1.06985 # DEPENDENCYPART_ARC
(7,16),-1.22122 # DEPENDENCYPART_ARC
(7,17),-0.672146 # DEPENDENCYPART_ARC
(8,1),-3.39862 # DEPENDENCYPART_ARC
(8,2),-2.46941 # DEPENDENCYPART_ARC
(8,3),-2.36351 # DEPENDENCYPART_ARC
(8,4),-2.31793 # DEPENDENCYPART_ARC
(8,5),-2.89374 # DEPENDENCYPART_ARC
(8,6),-1.53126 # DEPENDENCYPART_ARC
(8,7),-0.763813 # DEPENDENCYPART_ARC
(8,9),0.998872 # DEPENDENCYPART_ARC
(8,10),-0.355865 # DEPENDENCYPART_ARC
(8,11),-0.946629 # DEPENDENCYPART_ARC
(8,12),-0.659921 # DEPENDENCYPART_ARC
(8,13),-1.00394 # DEPENDENCYPART_ARC
(8,14),-2.04117 # DEPENDENCYPART_ARC
(8,15),-0.955044 # DEPENDENCYPART_ARC
(8,16),-1.03909 # DEPENDENCYPART_ARC
(8,17),-0.850846 # DEPENDENCYPART_ARC
(9,1),-2.91244 # DEPENDENCYPART_ARC
(9,2),-2.32602 # DEPENDENCYPART_ARC
(9,3),-0.182365 # DEPENDENCYPART_ARC
(9,4),0.998839 # DEPENDENCYPART_ARC
(9,5),-1.75054 # DEPENDENCYPART_ARC
(9,6),-1.44138 # DEPENDENCYPART_ARC
(9,7),1.00254 # DEPENDENCYPART_ARC
(9,8),3.62346 # DEPENDENCYPART_ARC
(9,10),2.39401 # DEPENDENCYPART_ARC
(9,11),-0.0706909 # DEPENDENCYPART_ARC
(9,12),0.155228 # DEPENDENCYPART_ARC
(9,13),-0.498893 # DEPENDENCYPART_ARC
(9,14),-1.67499 # DEPENDENCYPART_ARC
(9,15),-0.220368 # DEPENDENCYPART_ARC
(9,16),-0.313146 # DEPENDENCYPART_ARC
(9,17),-0.772103 # DEPENDENCYPART_ARC
(10,1),-1.75275 # DEPENDENCYPART_ARC
(10,2),-2.0939 # DEPENDENCYPART_ARC
(10,3),0.930495 # DEPENDENCYPART_ARC
(10,4),-1.338 # DEPENDENCYPART_ARC
(10,5),-0.991693 # DEPENDENCYPART_ARC
(10,6),-1.67786 # DEPENDENCYPART_ARC
(10,7),0.592355 # DEPENDENCYPART_ARC
(10,8),0.889598 # DEPENDENCYPART_ARC
(10,9),1.34414 # DEPENDENCYPART_ARC
(10,11),1.73058 # DEPENDENCYPART_ARC
(10,12),2.31819 # DEPENDENCYPART_ARC
(10,13),0.507032 # DEPENDENCYPART_ARC
(10,14),-0.651473 # DEPENDENCYPART_ARC
(10,15),0.484147 # DEPENDENCYPART_ARC
(10,16),-0.670657 # DEPENDENCYPART_ARC
(10,17),-0.340532 # DEPENDENCYPART_ARC
(11,1),-2.20978 # DEPENDENCYPART_ARC
(11,2),-1.76372 # DEPENDENCYPART_ARC
(11,3),-1.08238 # DEPENDENCYPART_ARC
(11,4),-1.28461 # DEPENDENCYPART_ARC
(11,5),-2.00346 # DEPENDENCYPART_ARC
(11,6),-1.50026 # DEPENDENCYPART_ARC
(11,7),-0.601906 # DEPENDENCYPART_ARC
(11,8),-0.390195 # DEPENDENCYPART_ARC
(11,9),-1.13781 # DEPENDENCYPART_ARC
(11,10),-0.177258 # DEPENDENCYPART_ARC
(11,12),0.577399 # DEPENDENCYPART_ARC
(11,13),0.260867 # DEPENDENCYPART_ARC
(11,14),-0.469482 # DEPENDENCYPART_ARC
(11,15),-0.516101 # DEPENDENCYPART_ARC
(11,16),-0.298195 # DEPENDENCYPART_ARC
(11,17),-0.551031 # DEPENDENCYPART_ARC
(12,1),-2.17935 # DEPENDENCYPART_ARC
(12,2),-1.96086 # DEPENDENCYPART_ARC
(12,3),-1.34448 # DEPENDENCYPART_ARC
(12,4),-1.59569 # DEPENDENCYPART_ARC
(12,5),-1.84569 # DEPENDENCYPART_ARC
(12,6),-1.78781 # DEPENDENCYPART_ARC
(12,7),-1.06984 # DEPENDENCYPART_ARC
(12,8),-1.32488 # DEPENDENCYPART_ARC
(12,9),-1.27273 # DEPENDENCYPART_ARC
(12,10),-1.00399 # DEPENDENCYPART_ARC
(12,11),0.368832 # DEPENDENCYPART_ARC
(12,13),3.20674 # DEPENDENCYPART_ARC
(12,14),1.29787 # DEPENDENCYPART_ARC
(12,15),0.282666 # DEPENDENCYPART_ARC
(12,16),0.523322 # DEPENDENCYPART_ARC
(12,17),-0.0892983 # DEPENDENCYPART_ARC
(13,1),-1.96468 # DEPENDENCYPART_ARC
(13,2),-3.5366 # DEPENDENCYPART_ARC
(13,3),-1.12834 # DEPENDENCYPART_ARC
(13,4),-1.77989 # DEPENDENCYPART_ARC
(13,5),-1.21333 # DEPENDENCYPART_ARC
(13,6),-3.12483 # DEPENDENCYPART_ARC
(13,7),-1.46059 # DEPENDENCYPART_ARC
(13,8),-1.21299 # DEPENDENCYPART_ARC
(13,9),-0.376038 # DEPENDENCYPART_ARC
(13,10),-1.09843 # DEPENDENCYPART_ARC
(13,11),-0.134826 # DEPENDENCYPART_ARC
(13,12),0.618083 # DEPENDENCYPART_ARC
(13,14),3.62769 # DEPENDENCYPART_ARC
(13,15),2.34606 # DEPENDENCYPART_ARC
(13,16),1.15756 # DEPENDENCYPART_ARC
(13,17),-0.413716 # DEPENDENCYPART_ARC
(14,1),-2.40362 # DEPENDENCYPART_ARC
(14,2),-2.05783 # DEPENDENCYPART_ARC
(14,3),-1.88394 # DEPENDENCYPART_ARC
(14,4),-1.08995 # DEPENDENCYPART_ARC
(14,5),-2.18875 # DEPENDENCYPART_ARC
(14,6),-1.96856 # DEPENDENCYPART_ARC
(14,7),-1.5103 # DEPENDENCYPART_ARC
(14,8),-1.57236 # DEPENDENCYPART_ARC
(14,9),-2.55846 # DEPENDENCYPART_ARC
(14,10),-2.9368 # DEPENDENCYPART_ARC
(14,11),-0.843314 # DEPENDENCYPART_ARC
(14,12),-0.651411 # DEPENDENCYPART_ARC
(14,13),-0.377596 # DEPENDENCYPART_ARC
(14,15),0.0558997 # DEPENDENCYPART_ARC
(14,16),-0.100717 # DEPENDENCYPART_ARC
(14,17),-0.275253 # DEPENDENCYPART_ARC
(15,1),-1.9503 # DEPENDENCYPART_ARC
(15,2),-1.68283 # DEPENDENCYPART_ARC
(15,3),-1.3493 # DEPENDENCYPART_ARC
(15,4),-1.38192 # DEPENDENCYPART_ARC
(15,5),-1.69925 # DEPENDENCYPART_ARC
(15,6),-1.62182 # DEPENDENCYPART_ARC
(15,7),-1.20278 # DEPENDENCYPART_ARC
(15,8),-1.31596 # DEPENDENCYPART_ARC
(15,9),-1.5748 # DEPENDENCYPART_ARC
(15,10),-1.84255 # DEPENDENCYPART_ARC
(15,11),-0.415105 # DEPENDENCYPART_ARC
(15,12),-0.445313 # DEPENDENCYPART_ARC
(15,13),-0.703838 # DEPENDENCYPART_ARC
(15,14),0.363955 # DEPENDENCYPART_ARC
(15,16),4.19301 # DEPENDENCYPART_ARC
(15,17),-0.0515234 # DEPENDENCYPART_ARC
(16,1),-4.46474 # DEPENDENCYPART_ARC
(16,2),-3.62482 # DEPENDENCYPART_ARC
(16,3),-1.86796 # DEPENDENCYPART_ARC
(16,4),-1.36443 # DEPENDENCYPART_ARC
(16,5),-3.73666 # DEPENDENCYPART_ARC
(16,6),-3.33495 # DEPENDENCYPART_ARC
(16,7),-1.7964 # DEPENDENCYPART_ARC
(16,8),-1.29972 # DEPENDENCYPART_ARC
(16,9),-2.82268 # DEPENDENCYPART_ARC
(16,10),-1.73639 # DEPENDENCYPART_ARC
(16,11),-1.27169 # DEPENDENCYPART_ARC
(16,12),-1.08223 # DEPENDENCYPART_ARC
(16,13),-1.87115 # DEPENDENCYPART_ARC
(16,14),0.101468 # DEPENDENCYPART_ARC
(16,15),0.754976 # DEPENDENCYPART_ARC
(16,17),2.69655 # DEPENDENCYPART_ARC
(17,1),-2.83099 # DEPENDENCYPART_ARC
(17,2),-2.4348 # DEPENDENCYPART_ARC
(17,3),-2.28738 # DEPENDENCYPART_ARC
(17,4),-2.23213 # DEPENDENCYPART_ARC
(17,5),-2.73249 # DEPENDENCYPART_ARC
(17,6),-2.39361 # DEPENDENCYPART_ARC
(17,7),-2.08542 # DEPENDENCYPART_ARC
(17,8),-2.1878 # DEPENDENCYPART_ARC
(17,9),-2.60548 # DEPENDENCYPART_ARC
(17,10),-2.81077 # DEPENDENCYPART_ARC
(17,11),-2.24546 # DEPENDENCYPART_ARC
(17,12),-1.80036 # DEPENDENCYPART_ARC
(17,13),-2.54087 # DEPENDENCYPART_ARC
(17,14),-1.53993 # DEPENDENCYPART_ARC
(17,15),-1.09691 # DEPENDENCYPART_ARC
(17,16),-0.816094 # DEPENDENCYPART_ARC
