# _root_ In armeria , pronti per le grandi feste ci sono solo spade , elmi e corazze .
#goldHeads=10,1,2,10,4,8,8,5,10,0,12,10,12,12,12,12,16,
#predictedHeads=10,1,2,1,4,8,8,5,10,0,12,10,12,12,12,12,16,
(6,14),-1.33256 # DEPENDENCYPART_ARC
(6,16),-1.1203 # DEPENDENCYPART_ARC
(6,17),-1.06558 # DEPENDENCYPART_ARC
(7,1),-0.830797 # DEPENDENCYPART_ARC
(7,2),-2.10024 # DEPENDENCYPART_ARC
(7,3),-0.931348 # DEPENDENCYPART_ARC
(7,4),-0.873276 # DEPENDENCYPART_ARC
(7,5),0.221769 # DEPENDENCYPART_ARC
(7,6),1.26681 # DEPENDENCYPART_ARC
(7,8),0.660209 # DEPENDENCYPART_ARC
(7,9),-0.371659 # DEPENDENCYPART_ARC
(7,10),-0.123282 # DEPENDENCYPART_ARC
(7,11),-0.975839 # DEPENDENCYPART_ARC
(7,12),-1.01046 # DEPENDENCYPART_ARC
(7,13),-1.0297 # DEPENDENCYPART_ARC
(7,14),-0.949358 # DEPENDENCYPART_ARC
(7,15),-0.470411 # DEPENDENCYPART_ARC
(7,16),-1.42956 # DEPENDENCYPART_ARC
(7,17),-1.55588 # DEPENDENCYPART_ARC
(8,1),-0.838639 # DEPENDENCYPART_ARC
(8,2),-1.70545 # DEPENDENCYPART_ARC
(8,3),-1.72463 # DEPENDENCYPART_ARC
(8,4),0.181669 # DEPENDENCYPART_ARC
(8,5),0.435694 # DEPENDENCYPART_ARC
(8,6),3.12959 # DEPENDENCYPART_ARC
(8,7),3.46273 # DEPENDENCYPART_ARC
(8,9),0.69835 # DEPENDENCYPART_ARC
(8,10),0.490361 # DEPENDENCYPART_ARC
(8,11),-0.430857 # DEPENDENCYPART_ARC
(8,12),0.370787 # DEPENDENCYPART_ARC
(8,13),0.295732 # DEPENDENCYPART_ARC
(8,14),0.01415 # DEPENDENCYPART_ARC
(8,15),0.746596 # DEPENDENCYPART_ARC
(8,16),0.593575 # DEPENDENCYPART_ARC
(8,17),-0.948145 # DEPENDENCYPART_ARC
(9,1),-1.68446 # DEPENDENCYPART_ARC
(9,2),-2.56003 # DEPENDENCYPART_ARC
(9,3),-1.84978 # DEPENDENCYPART_ARC
(9,4),-2.00169 # DEPENDENCYPART_ARC
(9,5),-1.13058 # DEPENDENCYPART_ARC
(9,6),-0.841281 # DEPENDENCYPART_ARC
(9,7),-1.14848 # DEPENDENCYPART_ARC
(9,8),-0.752754 # DEPENDENCYPART_ARC
(9,10),-0.179507 # DEPENDENCYPART_ARC
(9,11),-1.02875 # DEPENDENCYPART_ARC
(9,12),-1.33522 # DEPENDENCYPART_ARC
(9,13),-0.897789 # DEPENDENCYPART_ARC
(9,14),-1.73944 # DEPENDENCYPART_ARC
(9,15),-1.2375 # DEPENDENCYPART_ARC
(9,16),-2.09586 # DEPENDENCYPART_ARC
(9,17),-1.70617 # DEPENDENCYPART_ARC
(10,1),1.06759 # DEPENDENCYPART_ARC
(10,2),-0.708017 # DEPENDENCYPART_ARC
(10,3),-1.71098 # DEPENDENCYPART_ARC
(10,4),-0.0985605 # DEPENDENCYPART_ARC
(10,5),0.842003 # DEPENDENCYPART_ARC
(10,6),0.0675078 # DEPENDENCYPART_ARC
(10,7),0.112131 # DEPENDENCYPART_ARC
(10,8),1.61187 # DEPENDENCYPART_ARC
(10,9),2.00949 # DEPENDENCYPART_ARC
(10,11),1.27856 # DEPENDENCYPART_ARC
(10,12),2.35111 # DEPENDENCYPART_ARC
(10,13),0.858546 # DEPENDENCYPART_ARC
(10,14),0.532094 # DEPENDENCYPART_ARC
(10,15),0.227921 # DEPENDENCYPART_ARC
(10,16),-0.416729 # DEPENDENCYPART_ARC
(10,17),-0.557439 # DEPENDENCYPART_ARC
(11,1),-0.786376 # DEPENDENCYPART_ARC
(11,2),-1.54973 # DEPENDENCYPART_ARC
(11,3),-1.01088 # DEPENDENCYPART_ARC
(11,4),-1.1536 # DEPENDENCYPART_ARC
(11,5),-0.544567 # DEPENDENCYPART_ARC
(11,6),-0.331286 # DEPENDENCYPART_ARC
(11,7),-0.847655 # DEPENDENCYPART_ARC
(11,8),-0.782949 # DEPENDENCYPART_ARC
(11,9),0.444707 # DEPENDENCYPART_ARC
(11,10),0.362846 # DEPENDENCYPART_ARC
(11,12),0.597985 # DEPENDENCYPART_ARC
(11,13),0.461856 # DEPENDENCYPART_ARC
(11,14),-0.766005 # DEPENDENCYPART_ARC
(11,15),-0.515634 # DEPENDENCYPART_ARC
(11,16),-1.0808 # DEPENDENCYPART_ARC
(11,17),-0.532126 # DEPENDENCYPART_ARC
(12,1),-1.02611 # DEPENDENCYPART_ARC
(12,2),-1.5101 # DEPENDENCYPART_ARC
(12,3),-2.08124 # DEPENDENCYPART_ARC
(12,4),-0.950739 # DEPENDENCYPART_ARC
(12,5),-0.250114 # DEPENDENCYPART_ARC
(12,6),0.615723 # DEPENDENCYPART_ARC
(12,7),0.659836 # DEPENDENCYPART_ARC
(12,8),0.519046 # DEPENDENCYPART_ARC
(12,9),0.229922 # DEPENDENCYPART_ARC
(12,10),-0.804548 # DEPENDENCYPART_ARC
(12,11),2.30209 # DEPENDENCYPART_ARC
(12,13),2.16611 # DEPENDENCYPART_ARC
(12,14),1.75149 # DEPENDENCYPART_ARC
(12,15),1.68222 # DEPENDENCYPART_ARC
(12,16),2.16323 # DEPENDENCYPART_ARC
(12,17),0.16377 # DEPENDENCYPART_ARC
(13,3),-1.99902 # DEPENDENCYPART_ARC
(13,6),-1.68257 # DEPENDENCYPART_ARC
(13,17),-0.987352 # DEPENDENCYPART_ARC
(14,1),-1.76954 # DEPENDENCYPART_ARC
(14,2),-3.17329 # DEPENDENCYPART_ARC
(14,3),-2.81756 # DEPENDENCYPART_ARC
(14,4),-1.22164 # DEPENDENCYPART_ARC
(14,5),-0.984485 # DEPENDENCYPART_ARC
(14,6),-0.725525 # DEPENDENCYPART_ARC
(14,7),-0.62939 # DEPENDENCYPART_ARC
(14,8),-1.39076 # DEPENDENCYPART_ARC
(14,9),-1.0016 # DEPENDENCYPART_ARC
(14,10),-2.69518 # DEPENDENCYPART_ARC
(14,11),0.0659543 # DEPENDENCYPART_ARC
(14,12),-0.450925 # DEPENDENCYPART_ARC
(14,13),0.474607 # DEPENDENCYPART_ARC
(14,15),1.63109 # DEPENDENCYPART_ARC
(14,16),1.86773 # DEPENDENCYPART_ARC
(14,17),0.236457 # DEPENDENCYPART_ARC
(15,1),-2.45928 # DEPENDENCYPART_ARC
(15,2),-3.14761 # DEPENDENCYPART_ARC
(15,3),-2.2705 # DEPENDENCYPART_ARC
(15,4),-2.67967 # DEPENDENCYPART_ARC
(15,5),-2.22089 # DEPENDENCYPART_ARC
(15,7),-2.51885 # DEPENDENCYPART_ARC
(15,8),-2.74345 # DEPENDENCYPART_ARC
(15,9),-1.94857 # DEPENDENCYPART_ARC
(15,10),-2.63351 # DEPENDENCYPART_ARC
(15,11),-1.42202 # DEPENDENCYPART_ARC
(15,12),-1.91895 # DEPENDENCYPART_ARC
(15,13),-1.03663 # DEPENDENCYPART_ARC
(15,14),-0.716711 # DEPENDENCYPART_ARC
(15,16),0.0488026 # DEPENDENCYPART_ARC
(15,17),-0.741123 # DEPENDENCYPART_ARC
(16,1),-2.71127 # DEPENDENCYPART_ARC
(16,2),-3.43852 # DEPENDENCYPART_ARC
(16,3),-3.64787 # DEPENDENCYPART_ARC
(16,4),-2.35757 # DEPENDENCYPART_ARC
(16,5),-2.12039 # DEPENDENCYPART_ARC
(16,6),-1.80135 # DEPENDENCYPART_ARC
(16,7),-1.17275 # DEPENDENCYPART_ARC
(16,8),-1.84494 # DEPENDENCYPART_ARC
(16,9),-2.18989 # DEPENDENCYPART_ARC
(16,10),-3.81074 # DEPENDENCYPART_ARC
(16,11),-1.18302 # DEPENDENCYPART_ARC
(16,12),-1.64885 # DEPENDENCYPART_ARC
(16,13),-2.1413 # DEPENDENCYPART_ARC
(16,14),-0.999467 # DEPENDENCYPART_ARC
(16,15),-0.0874132 # DEPENDENCYPART_ARC
(16,17),2.38161 # DEPENDENCYPART_ARC
(17,3),-2.00858 # DEPENDENCYPART_ARC
(17,6),-1.83445 # DEPENDENCYPART_ARC
(17,13),-1.42785 # DEPENDENCYPART_ARC
