# _root_ E la famosa " frontiera " era popolata più da miti contadini , vaccari e bottegai , che da personaggi alla Gary Cooper .
#goldHeads=8,5,5,5,8,5,8,0,10,8,12,10,12,12,12,12,16,10,18,19,20,23,21,23,
#predictedHeads=8,5,5,5,8,5,8,0,8,8,12,10,12,12,14,14,16,8,10,19,20,21,22,23,
(11,9),-0.196846 # DEPENDENCYPART_ARC
(11,10),0.213572 # DEPENDENCYPART_ARC
(11,12),1.4847 # DEPENDENCYPART_ARC
(11,13),-0.33094 # DEPENDENCYPART_ARC
(11,14),-0.230868 # DEPENDENCYPART_ARC
(11,15),-0.348215 # DEPENDENCYPART_ARC
(11,16),-0.541063 # DEPENDENCYPART_ARC
(11,17),-1.02962 # DEPENDENCYPART_ARC
(11,18),-0.90657 # DEPENDENCYPART_ARC
(11,19),-1.21345 # DEPENDENCYPART_ARC
(11,20),-1.11949 # DEPENDENCYPART_ARC
(11,21),-0.97208 # DEPENDENCYPART_ARC
(11,22),-1.20043 # DEPENDENCYPART_ARC
(11,23),-1.08299 # DEPENDENCYPART_ARC
(11,24),-2.09119 # DEPENDENCYPART_ARC
(12,1),-1.27671 # DEPENDENCYPART_ARC
(12,2),-1.78324 # DEPENDENCYPART_ARC
(12,3),-1.07058 # DEPENDENCYPART_ARC
(12,4),-0.823417 # DEPENDENCYPART_ARC
(12,5),-2.65166 # DEPENDENCYPART_ARC
(12,6),-0.782493 # DEPENDENCYPART_ARC
(12,7),-2.35797 # DEPENDENCYPART_ARC
(12,8),-1.87326 # DEPENDENCYPART_ARC
(12,9),0.722387 # DEPENDENCYPART_ARC
(12,10),0.458144 # DEPENDENCYPART_ARC
(12,11),3.7324 # DEPENDENCYPART_ARC
(12,13),2.01628 # DEPENDENCYPART_ARC
(12,14),1.67396 # DEPENDENCYPART_ARC
(12,15),1.40741 # DEPENDENCYPART_ARC
(12,16),1.78803 # DEPENDENCYPART_ARC
(12,17),0.790559 # DEPENDENCYPART_ARC
(12,18),-0.455308 # DEPENDENCYPART_ARC
(12,19),-0.302565 # DEPENDENCYPART_ARC
(12,20),1.0967 # DEPENDENCYPART_ARC
(12,21),-0.264223 # DEPENDENCYPART_ARC
(12,22),0.138937 # DEPENDENCYPART_ARC
(12,23),0.371102 # DEPENDENCYPART_ARC
(12,24),-1.40483 # DEPENDENCYPART_ARC
(13,2),-1.90062 # DEPENDENCYPART_ARC
(13,4),-2.14829 # DEPENDENCYPART_ARC
(13,6),-2.0356 # DEPENDENCYPART_ARC
(13,17),-1.2835 # DEPENDENCYPART_ARC
(13,24),-1.46045 # DEPENDENCYPART_ARC
(14,1),-1.51046 # DEPENDENCYPART_ARC
(14,2),-2.81128 # DEPENDENCYPART_ARC
(14,3),-2.33826 # DEPENDENCYPART_ARC
(14,4),-1.30738 # DEPENDENCYPART_ARC
(14,5),-3.50308 # DEPENDENCYPART_ARC
(14,6),-1.32702 # DEPENDENCYPART_ARC
(14,7),-3.07 # DEPENDENCYPART_ARC
(14,8),-2.60781 # DEPENDENCYPART_ARC
(14,9),-0.456557 # DEPENDENCYPART_ARC
(14,10),-0.732532 # DEPENDENCYPART_ARC
(14,11),0.665459 # DEPENDENCYPART_ARC
(14,12),0.121356 # DEPENDENCYPART_ARC
(14,13),0.474607 # DEPENDENCYPART_ARC
(14,15),1.67021 # DEPENDENCYPART_ARC
(14,16),1.90963 # DEPENDENCYPART_ARC
(14,17),0.777899 # DEPENDENCYPART_ARC
(14,18),-0.627116 # DEPENDENCYPART_ARC
(14,19),0.0555512 # DEPENDENCYPART_ARC
(14,20),1.22976 # DEPENDENCYPART_ARC
(14,21),0.188659 # DEPENDENCYPART_ARC
(14,22),0.433102 # DEPENDENCYPART_ARC
(14,23),0.38772 # DEPENDENCYPART_ARC
(14,24),-1.28537 # DEPENDENCYPART_ARC
(15,1),-2.02682 # DEPENDENCYPART_ARC
(15,3),-2.57398 # DEPENDENCYPART_ARC
(15,4),-2.43511 # DEPENDENCYPART_ARC
(15,5),-2.98381 # DEPENDENCYPART_ARC
(15,6),-2.33233 # DEPENDENCYPART_ARC
(15,7),-2.89316 # DEPENDENCYPART_ARC
(15,8),-2.7624 # DEPENDENCYPART_ARC
(15,9),-1.89902 # DEPENDENCYPART_ARC
(15,10),-1.76308 # DEPENDENCYPART_ARC
(15,11),-2.08676 # DEPENDENCYPART_ARC
(15,12),-1.92168 # DEPENDENCYPART_ARC
(15,13),-1.03663 # DEPENDENCYPART_ARC
(15,14),-0.716711 # DEPENDENCYPART_ARC
(15,16),0.0488026 # DEPENDENCYPART_ARC
(15,17),-0.168759 # DEPENDENCYPART_ARC
(15,18),-0.938568 # DEPENDENCYPART_ARC
(15,19),-1.87867 # DEPENDENCYPART_ARC
(15,20),-1.59231 # DEPENDENCYPART_ARC
(15,21),-1.96614 # DEPENDENCYPART_ARC
(15,22),-1.76276 # DEPENDENCYPART_ARC
(15,23),-1.73352 # DEPENDENCYPART_ARC
(15,24),-1.55018 # DEPENDENCYPART_ARC
(16,1),-2.63858 # DEPENDENCYPART_ARC
(16,2),-4.24235 # DEPENDENCYPART_ARC
(16,3),-2.69079 # DEPENDENCYPART_ARC
(16,4),-2.2853 # DEPENDENCYPART_ARC
(16,5),-4.50128 # DEPENDENCYPART_ARC
(16,6),-2.33426 # DEPENDENCYPART_ARC
(16,7),-3.97425 # DEPENDENCYPART_ARC
(16,8),-3.57686 # DEPENDENCYPART_ARC
(16,9),-1.64421 # DEPENDENCYPART_ARC
(16,10),-2.08245 # DEPENDENCYPART_ARC
(16,11),-0.189516 # DEPENDENCYPART_ARC
(16,12),-1.48388 # DEPENDENCYPART_ARC
(16,13),-2.16488 # DEPENDENCYPART_ARC
(16,14),-0.439705 # DEPENDENCYPART_ARC
(16,15),-0.11099 # DEPENDENCYPART_ARC
(16,17),1.63666 # DEPENDENCYPART_ARC
(16,18),-0.426739 # DEPENDENCYPART_ARC
(16,19),-0.0964114 # DEPENDENCYPART_ARC
(16,20),0.576863 # DEPENDENCYPART_ARC
(16,21),-0.265541 # DEPENDENCYPART_ARC
(16,22),-0.457517 # DEPENDENCYPART_ARC
(16,23),-0.136008 # DEPENDENCYPART_ARC
(16,24),-1.0024 # DEPENDENCYPART_ARC
(17,2),-1.67909 # DEPENDENCYPART_ARC
(17,4),-1.97044 # DEPENDENCYPART_ARC
(17,6),-2.0286 # DEPENDENCYPART_ARC
(17,13),-1.29597 # DEPENDENCYPART_ARC
(17,24),-0.872873 # DEPENDENCYPART_ARC
(18,1),-2.22124 # DEPENDENCYPART_ARC
(18,3),-2.8165 # DEPENDENCYPART_ARC
(18,4),-2.19837 # DEPENDENCYPART_ARC
(18,5),-3.05546 # DEPENDENCYPART_ARC
(18,6),-2.20164 # DEPENDENCYPART_ARC
(18,7),-3.20933 # DEPENDENCYPART_ARC
(18,8),-3.07876 # DEPENDENCYPART_ARC
(18,9),-2.30522 # DEPENDENCYPART_ARC
(18,10),-2.28893 # DEPENDENCYPART_ARC
(18,11),-2.50268 # DEPENDENCYPART_ARC
(18,12),-2.69266 # DEPENDENCYPART_ARC
(18,13),-1.87395 # DEPENDENCYPART_ARC
(18,14),-2.35137 # DEPENDENCYPART_ARC
(18,15),-1.32425 # DEPENDENCYPART_ARC
(18,16),-1.76228 # DEPENDENCYPART_ARC
(18,17),-0.00149925 # DEPENDENCYPART_ARC
(18,19),-0.0947757 # DEPENDENCYPART_ARC
(18,20),0.330079 # DEPENDENCYPART_ARC
(18,21),-0.551327 # DEPENDENCYPART_ARC
(18,22),-0.197326 # DEPENDENCYPART_ARC
(18,23),-0.322398 # DEPENDENCYPART_ARC
(18,24),-0.246676 # DEPENDENCYPART_ARC
(19,1),-2.85743 # DEPENDENCYPART_ARC
(19,2),-3.06988 # DEPENDENCYPART_ARC
(19,3),-3.5677 # DEPENDENCYPART_ARC
(19,4),-3.18873 # DEPENDENCYPART_ARC
(19,5),-3.47757 # DEPENDENCYPART_ARC
(19,6),-3.04676 # DEPENDENCYPART_ARC
(19,7),-3.76539 # DEPENDENCYPART_ARC
(19,8),-3.79848 # DEPENDENCYPART_ARC
(19,9),-2.55295 # DEPENDENCYPART_ARC
(19,10),-2.45526 # DEPENDENCYPART_ARC
(19,11),-3.30905 # DEPENDENCYPART_ARC
(19,12),-3.09307 # DEPENDENCYPART_ARC
(19,13),-2.8366 # DEPENDENCYPART_ARC
(19,14),-2.92838 # DEPENDENCYPART_ARC
(19,15),-1.93796 # DEPENDENCYPART_ARC
(19,16),-2.38717 # DEPENDENCYPART_ARC
(19,17),-1.88249 # DEPENDENCYPART_ARC
(19,18),-0.592897 # DEPENDENCYPART_ARC
(19,20),3.31266 # DEPENDENCYPART_ARC
(19,21),-0.0835192 # DEPENDENCYPART_ARC
(19,22),0.0366254 # DEPENDENCYPART_ARC
(19,23),-0.684777 # DEPENDENCYPART_ARC
(19,24),-0.956682 # DEPENDENCYPART_ARC
(20,1),-2.18747 # DEPENDENCYPART_ARC
(20,2),-4.83814 # DEPENDENCYPART_ARC
(20,3),-2.86287 # DEPENDENCYPART_ARC
(20,4),-2.57622 # DEPENDENCYPART_ARC
(20,5),-4.6563 # DEPENDENCYPART_ARC
(20,6),-2.56742 # DEPENDENCYPART_ARC
(20,7),-3.95248 # DEPENDENCYPART_ARC
(20,8),-3.53785 # DEPENDENCYPART_ARC
(20,9),-2.08482 # DEPENDENCYPART_ARC
(20,10),-2.46769 # DEPENDENCYPART_ARC
(20,11),-0.914757 # DEPENDENCYPART_ARC
(20,12),-2.28388 # DEPENDENCYPART_ARC
(20,13),-3.02598 # DEPENDENCYPART_ARC
(20,14),-1.94585 # DEPENDENCYPART_ARC
(20,15),-1.67899 # DEPENDENCYPART_ARC
(20,16),-1.33534 # DEPENDENCYPART_ARC
(20,17),-2.2579 # DEPENDENCYPART_ARC
(20,18),-0.775213 # DEPENDENCYPART_ARC
(20,19),0.398246 # DEPENDENCYPART_ARC
(20,21),1.63011 # DEPENDENCYPART_ARC
(20,22),0.15693 # DEPENDENCYPART_ARC
(20,23),0.487427 # DEPENDENCYPART_ARC
(20,24),-0.79705 # DEPENDENCYPART_ARC
(21,1),-2.04571 # DEPENDENCYPART_ARC
(21,2),-2.12923 # DEPENDENCYPART_ARC
(21,3),-2.69857 # DEPENDENCYPART_ARC
(21,4),-2.43673 # DEPENDENCYPART_ARC
(21,5),-3.07902 # DEPENDENCYPART_ARC
(21,6),-2.41816 # DEPENDENCYPART_ARC
(21,7),-3.31076 # DEPENDENCYPART_ARC
(21,8),-3.47033 # DEPENDENCYPART_ARC
(21,9),-2.02079 # DEPENDENCYPART_ARC
(21,10),-1.89265 # DEPENDENCYPART_ARC
(21,11),-2.72289 # DEPENDENCYPART_ARC
(21,12),-3.13362 # DEPENDENCYPART_ARC
(21,13),-2.16479 # DEPENDENCYPART_ARC
(21,14),-3.04714 # DEPENDENCYPART_ARC
(21,15),-1.42031 # DEPENDENCYPART_ARC
(21,16),-2.79832 # DEPENDENCYPART_ARC
(21,17),-1.81699 # DEPENDENCYPART_ARC
(21,18),-0.979231 # DEPENDENCYPART_ARC
(21,19),-0.686475 # DEPENDENCYPART_ARC
(21,20),-1.31345 # DEPENDENCYPART_ARC
(21,22),3.21866 # DEPENDENCYPART_ARC
(21,23),1.50854 # DEPENDENCYPART_ARC
(21,24),-0.351579 # DEPENDENCYPART_ARC
(22,1),-2.78804 # DEPENDENCYPART_ARC
(22,2),-4.46185 # DEPENDENCYPART_ARC
(22,3),-2.6785 # DEPENDENCYPART_ARC
(22,4),-2.79232 # DEPENDENCYPART_ARC
(22,5),-5.56638 # DEPENDENCYPART_ARC
(22,6),-2.82238 # DEPENDENCYPART_ARC
(22,7),-4.09647 # DEPENDENCYPART_ARC
(22,8),-2.69865 # DEPENDENCYPART_ARC
(22,9),-2.495 # DEPENDENCYPART_ARC
(22,10),-2.9504 # DEPENDENCYPART_ARC
(22,11),-2.55269 # DEPENDENCYPART_ARC
(22,12),-4.56756 # DEPENDENCYPART_ARC
(22,13),-3.25282 # DEPENDENCYPART_ARC
(22,14),-4.31795 # DEPENDENCYPART_ARC
(22,15),-2.23685 # DEPENDENCYPART_ARC
(22,16),-4.05978 # DEPENDENCYPART_ARC
(22,17),-2.91511 # DEPENDENCYPART_ARC
(22,18),-1.94495 # DEPENDENCYPART_ARC
(22,19),-1.2112 # DEPENDENCYPART_ARC
(22,20),-1.96152 # DEPENDENCYPART_ARC
(22,21),0.277029 # DEPENDENCYPART_ARC
(22,23),2.85559 # DEPENDENCYPART_ARC
(22,24),-0.149429 # DEPENDENCYPART_ARC
(23,1),-1.8104 # DEPENDENCYPART_ARC
(23,2),-3.73478 # DEPENDENCYPART_ARC
(23,3),-1.14514 # DEPENDENCYPART_ARC
(23,4),-1.58444 # DEPENDENCYPART_ARC
(23,5),-4.1341 # DEPENDENCYPART_ARC
(23,6),-1.66549 # DEPENDENCYPART_ARC
(23,7),-2.8248 # DEPENDENCYPART_ARC
(23,8),-1.52438 # DEPENDENCYPART_ARC
(23,9),-1.26231 # DEPENDENCYPART_ARC
(23,10),-1.7679 # DEPENDENCYPART_ARC
(23,11),-0.511472 # DEPENDENCYPART_ARC
(23,12),-3.13648 # DEPENDENCYPART_ARC
(23,13),-2.23246 # DEPENDENCYPART_ARC
(23,14),-2.82776 # DEPENDENCYPART_ARC
(23,15),-1.13813 # DEPENDENCYPART_ARC
(23,16),-2.53345 # DEPENDENCYPART_ARC
(23,17),-2.0845 # DEPENDENCYPART_ARC
(23,18),-1.07546 # DEPENDENCYPART_ARC
(23,19),-0.304016 # DEPENDENCYPART_ARC
(23,20),-0.629614 # DEPENDENCYPART_ARC
(23,21),0.632895 # DEPENDENCYPART_ARC
(23,22),4.09209 # DEPENDENCYPART_ARC
(23,24),2.40152 # DEPENDENCYPART_ARC
(24,2),-1.49603 # DEPENDENCYPART_ARC
(24,4),-1.73453 # DEPENDENCYPART_ARC
(24,6),-1.6894 # DEPENDENCYPART_ARC
(24,13),-1.46163 # DEPENDENCYPART_ARC
(24,17),-1.23203 # DEPENDENCYPART_ARC
