# _root_ Gabriella e Paolo , che si frequentano da circa quattro mesi , erano usciti di casa verso le 23 di sabato e si erano intrattenuti fino_all' alba nella discoteca .
#goldHeads=14,1,1,3,7,7,1,7,11,11,8,11,14,0,14,15,14,19,17,19,20,14,25,25,14,25,26,25,28,29,
#predictedHeads=0,1,1,3,7,7,0,7,8,11,8,11,14,0,14,15,14,19,17,19,20,14,25,25,14,25,26,25,28,29,
(3,8),-0.743881 # DEPENDENCYPART_ARC
(3,9),-0.891036 # DEPENDENCYPART_ARC
(3,10),-0.952244 # DEPENDENCYPART_ARC
(3,11),-0.931321 # DEPENDENCYPART_ARC
(3,12),0.0182348 # DEPENDENCYPART_ARC
(3,13),-0.917304 # DEPENDENCYPART_ARC
(3,14),-0.301612 # DEPENDENCYPART_ARC
(3,15),-1.23952 # DEPENDENCYPART_ARC
(3,16),-1.57779 # DEPENDENCYPART_ARC
(3,17),-1.30444 # DEPENDENCYPART_ARC
(3,18),-1.19126 # DEPENDENCYPART_ARC
(3,19),-1.57503 # DEPENDENCYPART_ARC
(3,20),-1.8627 # DEPENDENCYPART_ARC
(3,21),-1.83375 # DEPENDENCYPART_ARC
(3,22),-1.28588 # DEPENDENCYPART_ARC
(3,23),-2.06063 # DEPENDENCYPART_ARC
(3,24),-2.1233 # DEPENDENCYPART_ARC
(3,25),-1.19035 # DEPENDENCYPART_ARC
(3,26),-2.35854 # DEPENDENCYPART_ARC
(3,27),-2.62804 # DEPENDENCYPART_ARC
(3,28),-2.17146 # DEPENDENCYPART_ARC
(3,29),-2.49264 # DEPENDENCYPART_ARC
(3,30),-4.36394 # DEPENDENCYPART_ARC
(4,1),-1.33981 # DEPENDENCYPART_ARC
(4,2),-0.824344 # DEPENDENCYPART_ARC
(4,3),-0.308987 # DEPENDENCYPART_ARC
(4,5),-0.0433789 # DEPENDENCYPART_ARC
(4,6),-0.737222 # DEPENDENCYPART_ARC
(4,7),-0.683917 # DEPENDENCYPART_ARC
(4,8),-1.3272 # DEPENDENCYPART_ARC
(4,9),-1.52811 # DEPENDENCYPART_ARC
(4,10),-1.22032 # DEPENDENCYPART_ARC
(4,11),-1.54531 # DEPENDENCYPART_ARC
(4,12),-0.310966 # DEPENDENCYPART_ARC
(4,13),-1.37531 # DEPENDENCYPART_ARC
(4,14),-1.39172 # DEPENDENCYPART_ARC
(4,15),-1.86717 # DEPENDENCYPART_ARC
(4,16),-1.83393 # DEPENDENCYPART_ARC
(4,17),-1.90338 # DEPENDENCYPART_ARC
(4,18),-1.67196 # DEPENDENCYPART_ARC
(4,19),-1.69667 # DEPENDENCYPART_ARC
(4,20),-1.93364 # DEPENDENCYPART_ARC
(4,21),-1.91614 # DEPENDENCYPART_ARC
(4,22),-1.67367 # DEPENDENCYPART_ARC
(4,23),-2.13291 # DEPENDENCYPART_ARC
(4,24),-1.82562 # DEPENDENCYPART_ARC
(4,25),-1.81784 # DEPENDENCYPART_ARC
(4,26),-2.23664 # DEPENDENCYPART_ARC
(4,27),-2.1082 # DEPENDENCYPART_ARC
(4,28),-2.37116 # DEPENDENCYPART_ARC
(4,29),-2.23772 # DEPENDENCYPART_ARC
(4,30),-1.60285 # DEPENDENCYPART_ARC
(5,1),-1.62943 # DEPENDENCYPART_ARC
(5,2),-0.930412 # DEPENDENCYPART_ARC
(5,3),-1.16741 # DEPENDENCYPART_ARC
(5,4),0.0497045 # DEPENDENCYPART_ARC
(5,6),-0.39093 # DEPENDENCYPART_ARC
(5,7),0.126459 # DEPENDENCYPART_ARC
(5,8),-1.17367 # DEPENDENCYPART_ARC
(5,9),-1.43727 # DEPENDENCYPART_ARC
(5,10),-1.0044 # DEPENDENCYPART_ARC
(5,11),-1.22189 # DEPENDENCYPART_ARC
(5,12),-0.730864 # DEPENDENCYPART_ARC
(5,13),-2.1116 # DEPENDENCYPART_ARC
(5,14),-1.5201 # DEPENDENCYPART_ARC
(5,15),-1.92187 # DEPENDENCYPART_ARC
(5,16),-1.94821 # DEPENDENCYPART_ARC
(5,17),-2.58215 # DEPENDENCYPART_ARC
(5,18),-2.0172 # DEPENDENCYPART_ARC
(5,19),-1.48709 # DEPENDENCYPART_ARC
(5,20),-2.45074 # DEPENDENCYPART_ARC
(5,21),-2.17284 # DEPENDENCYPART_ARC
(5,22),-1.1991 # DEPENDENCYPART_ARC
(5,23),-2.42792 # DEPENDENCYPART_ARC
(5,24),-2.96155 # DEPENDENCYPART_ARC
(5,25),-2.20205 # DEPENDENCYPART_ARC
(5,26),-3.99315 # DEPENDENCYPART_ARC
(5,27),-2.84606 # DEPENDENCYPART_ARC
(5,28),-4.57947 # DEPENDENCYPART_ARC
(5,29),-2.95807 # DEPENDENCYPART_ARC
(5,30),-2.79835 # DEPENDENCYPART_ARC
(6,1),-2.84743 # DEPENDENCYPART_ARC
(6,2),-2.37877 # DEPENDENCYPART_ARC
(6,3),-2.44908 # DEPENDENCYPART_ARC
(6,4),-1.95664 # DEPENDENCYPART_ARC
(6,5),-0.525704 # DEPENDENCYPART_ARC
(6,7),-0.689565 # DEPENDENCYPART_ARC
(6,8),-1.0814 # DEPENDENCYPART_ARC
(6,9),-1.41765 # DEPENDENCYPART_ARC
(6,10),-1.10362 # DEPENDENCYPART_ARC
(6,11),-0.938647 # DEPENDENCYPART_ARC
(6,12),-0.813681 # DEPENDENCYPART_ARC
(6,13),-3.81682 # DEPENDENCYPART_ARC
(6,14),-2.84611 # DEPENDENCYPART_ARC
(6,15),-2.09578 # DEPENDENCYPART_ARC
(6,16),-2.24342 # DEPENDENCYPART_ARC
(6,17),-2.60899 # DEPENDENCYPART_ARC
(6,18),-2.22366 # DEPENDENCYPART_ARC
(6,19),-1.69247 # DEPENDENCYPART_ARC
(6,20),-2.47296 # DEPENDENCYPART_ARC
(6,21),-2.22228 # DEPENDENCYPART_ARC
(6,22),-1.55301 # DEPENDENCYPART_ARC
(6,23),-2.41639 # DEPENDENCYPART_ARC
(6,24),-4.95089 # DEPENDENCYPART_ARC
(6,25),-3.81186 # DEPENDENCYPART_ARC
(6,26),-4.28 # DEPENDENCYPART_ARC
(6,27),-2.98367 # DEPENDENCYPART_ARC
(6,28),-5.23386 # DEPENDENCYPART_ARC
(6,29),-2.84932 # DEPENDENCYPART_ARC
(6,30),-2.67426 # DEPENDENCYPART_ARC
(7,1),-0.276372 # DEPENDENCYPART_ARC
(7,2),-0.566358 # DEPENDENCYPART_ARC
(7,3),-0.0207272 # DEPENDENCYPART_ARC
(7,4),-1.32656 # DEPENDENCYPART_ARC
(7,5),2.74297 # DEPENDENCYPART_ARC
(7,6),3.638 # DEPENDENCYPART_ARC
(7,8),2.4509 # DEPENDENCYPART_ARC
(7,9),0.563277 # DEPENDENCYPART_ARC
(7,10),0.110936 # DEPENDENCYPART_ARC
(7,11),1.30307 # DEPENDENCYPART_ARC
(7,12),0.574833 # DEPENDENCYPART_ARC
(7,13),0.308181 # DEPENDENCYPART_ARC
(7,14),-0.277591 # DEPENDENCYPART_ARC
(7,15),-0.587474 # DEPENDENCYPART_ARC
(7,16),-1.33541 # DEPENDENCYPART_ARC
(7,17),0.192407 # DEPENDENCYPART_ARC
(7,18),-1.67973 # DEPENDENCYPART_ARC
(7,19),-0.818503 # DEPENDENCYPART_ARC
(7,20),-0.976459 # DEPENDENCYPART_ARC
(7,21),-1.22663 # DEPENDENCYPART_ARC
(7,22),0.787019 # DEPENDENCYPART_ARC
(7,23),-1.4461 # DEPENDENCYPART_ARC
(7,24),-0.249628 # DEPENDENCYPART_ARC
(7,25),-0.840826 # DEPENDENCYPART_ARC
(7,26),-1.03708 # DEPENDENCYPART_ARC
(7,27),-2.52585 # DEPENDENCYPART_ARC
(7,28),-1.26837 # DEPENDENCYPART_ARC
(7,29),-2.91389 # DEPENDENCYPART_ARC
(7,30),-2.93019 # DEPENDENCYPART_ARC
(8,1),-2.10171 # DEPENDENCYPART_ARC
(8,2),-1.43775 # DEPENDENCYPART_ARC
(8,3),-1.90277 # DEPENDENCYPART_ARC
(8,4),-1.80324 # DEPENDENCYPART_ARC
(8,5),-1.27828 # DEPENDENCYPART_ARC
(8,6),-0.981929 # DEPENDENCYPART_ARC
(8,7),-0.342593 # DEPENDENCYPART_ARC
(8,9),2.0992 # DEPENDENCYPART_ARC
(8,10),1.1681 # DEPENDENCYPART_ARC
(8,11),2.00817 # DEPENDENCYPART_ARC
(8,12),0.410157 # DEPENDENCYPART_ARC
(8,13),0.818958 # DEPENDENCYPART_ARC
(8,14),0.484773 # DEPENDENCYPART_ARC
(8,15),-0.537145 # DEPENDENCYPART_ARC
(8,16),-0.612973 # DEPENDENCYPART_ARC
(8,17),-0.593029 # DEPENDENCYPART_ARC
(8,18),-0.670974 # DEPENDENCYPART_ARC
(8,19),-0.348675 # DEPENDENCYPART_ARC
(8,20),-0.943476 # DEPENDENCYPART_ARC
(8,21),-2.1398 # DEPENDENCYPART_ARC
(8,22),-0.0282985 # DEPENDENCYPART_ARC
(8,23),-0.814825 # DEPENDENCYPART_ARC
(8,24),-1.24718 # DEPENDENCYPART_ARC
(8,25),-1.18537 # DEPENDENCYPART_ARC
(8,26),-1.04368 # DEPENDENCYPART_ARC
(8,27),-4.20483 # DEPENDENCYPART_ARC
(8,28),-1.48192 # DEPENDENCYPART_ARC
(8,29),-5.01257 # DEPENDENCYPART_ARC
(8,30),-1.7981 # DEPENDENCYPART_ARC
(9,1),-3.09649 # DEPENDENCYPART_ARC
(9,2),-2.26718 # DEPENDENCYPART_ARC
(9,3),-2.9702 # DEPENDENCYPART_ARC
(9,4),-2.40106 # DEPENDENCYPART_ARC
(9,5),-2.2505 # DEPENDENCYPART_ARC
(9,6),-1.8935 # DEPENDENCYPART_ARC
(9,7),-1.92128 # DEPENDENCYPART_ARC
(9,8),-0.284454 # DEPENDENCYPART_ARC
(9,10),0.0825195 # DEPENDENCYPART_ARC
(9,11),-0.0749206 # DEPENDENCYPART_ARC
(9,12),0.0494376 # DEPENDENCYPART_ARC
(9,13),-0.462052 # DEPENDENCYPART_ARC
(9,14),-0.627469 # DEPENDENCYPART_ARC
(9,15),-1.2094 # DEPENDENCYPART_ARC
(9,16),-1.50298 # DEPENDENCYPART_ARC
(9,17),-1.47509 # DEPENDENCYPART_ARC
(9,18),-1.33924 # DEPENDENCYPART_ARC
(9,19),-1.51796 # DEPENDENCYPART_ARC
(9,20),-1.49439 # DEPENDENCYPART_ARC
(9,21),-1.66183 # DEPENDENCYPART_ARC
(9,22),-1.1312 # DEPENDENCYPART_ARC
(9,23),-1.64186 # DEPENDENCYPART_ARC
(9,24),-1.50649 # DEPENDENCYPART_ARC
(9,25),-1.52791 # DEPENDENCYPART_ARC
(9,26),-1.67406 # DEPENDENCYPART_ARC
(9,27),-1.90385 # DEPENDENCYPART_ARC
(9,28),-1.8306 # DEPENDENCYPART_ARC
(9,29),-1.94468 # DEPENDENCYPART_ARC
(9,30),-2.56165 # DEPENDENCYPART_ARC
(10,1),-1.4388 # DEPENDENCYPART_ARC
(10,2),-0.660604 # DEPENDENCYPART_ARC
(10,3),-1.31696 # DEPENDENCYPART_ARC
(10,4),-0.828376 # DEPENDENCYPART_ARC
(10,5),-0.595924 # DEPENDENCYPART_ARC
(10,6),-0.481733 # DEPENDENCYPART_ARC
(10,7),-0.775815 # DEPENDENCYPART_ARC
(10,8),0.530762 # DEPENDENCYPART_ARC
(10,9),1.34554 # DEPENDENCYPART_ARC
(10,11),0.850463 # DEPENDENCYPART_ARC
(10,12),0.145179 # DEPENDENCYPART_ARC
(10,13),-0.453376 # DEPENDENCYPART_ARC
(10,14),-0.794877 # DEPENDENCYPART_ARC
(10,15),-0.647302 # DEPENDENCYPART_ARC
(10,16),-0.96824 # DEPENDENCYPART_ARC
(10,17),-1.01124 # DEPENDENCYPART_ARC
(10,18),-1.01061 # DEPENDENCYPART_ARC
(10,19),-0.885541 # DEPENDENCYPART_ARC
(10,20),-0.994899 # DEPENDENCYPART_ARC
(10,21),-1.08726 # DEPENDENCYPART_ARC
(10,22),-0.418829 # DEPENDENCYPART_ARC
(10,23),-1.16948 # DEPENDENCYPART_ARC
(10,24),-1.70258 # DEPENDENCYPART_ARC
(10,25),-1.76074 # DEPENDENCYPART_ARC
(10,26),-1.42416 # DEPENDENCYPART_ARC
(10,27),-1.22459 # DEPENDENCYPART_ARC
(10,28),-1.30634 # DEPENDENCYPART_ARC
(10,29),-1.29642 # DEPENDENCYPART_ARC
(10,30),-1.64939 # DEPENDENCYPART_ARC
(11,1),-1.28123 # DEPENDENCYPART_ARC
(11,2),-1.10418 # DEPENDENCYPART_ARC
(11,3),-1.19932 # DEPENDENCYPART_ARC
(11,4),-1.85843 # DEPENDENCYPART_ARC
(11,5),-0.740083 # DEPENDENCYPART_ARC
(11,6),-0.386403 # DEPENDENCYPART_ARC
(11,7),-1.6555 # DEPENDENCYPART_ARC
(11,8),0.78292 # DEPENDENCYPART_ARC
(11,9),1.97188 # DEPENDENCYPART_ARC
(11,10),2.38105 # DEPENDENCYPART_ARC
(11,12),1.96334 # DEPENDENCYPART_ARC
(11,13),-0.566646 # DEPENDENCYPART_ARC
(11,14),0.497987 # DEPENDENCYPART_ARC
(11,15),0.0524991 # DEPENDENCYPART_ARC
(11,16),-0.685067 # DEPENDENCYPART_ARC
(11,17),-0.462869 # DEPENDENCYPART_ARC
(11,18),-0.486413 # DEPENDENCYPART_ARC
(11,19),-0.893657 # DEPENDENCYPART_ARC
(11,20),-0.812112 # DEPENDENCYPART_ARC
(11,21),-1.03984 # DEPENDENCYPART_ARC
(11,22),-0.617676 # DEPENDENCYPART_ARC
(11,23),-2.11394 # DEPENDENCYPART_ARC
(11,24),-2.55535 # DEPENDENCYPART_ARC
(11,25),-1.15277 # DEPENDENCYPART_ARC
(11,26),-1.66659 # DEPENDENCYPART_ARC
(11,27),-1.84343 # DEPENDENCYPART_ARC
(11,28),-1.05359 # DEPENDENCYPART_ARC
(11,29),-1.89236 # DEPENDENCYPART_ARC
(11,30),-3.14041 # DEPENDENCYPART_ARC
(12,1),-2.95135 # DEPENDENCYPART_ARC
(12,2),-2.39928 # DEPENDENCYPART_ARC
(12,3),-2.85928 # DEPENDENCYPART_ARC
(12,4),-2.48472 # DEPENDENCYPART_ARC
(12,5),-2.37255 # DEPENDENCYPART_ARC
(12,6),-2.35435 # DEPENDENCYPART_ARC
(12,7),-2.87313 # DEPENDENCYPART_ARC
(12,8),-1.78613 # DEPENDENCYPART_ARC
(12,9),-1.76261 # DEPENDENCYPART_ARC
(12,10),-1.44574 # DEPENDENCYPART_ARC
(12,11),-1.00484 # DEPENDENCYPART_ARC
(12,13),-1.17382 # DEPENDENCYPART_ARC
(12,14),-2.10613 # DEPENDENCYPART_ARC
(12,15),-2.64183 # DEPENDENCYPART_ARC
(12,16),-2.73466 # DEPENDENCYPART_ARC
(12,17),-2.87231 # DEPENDENCYPART_ARC
(12,18),-2.80327 # DEPENDENCYPART_ARC
(12,19),-2.72511 # DEPENDENCYPART_ARC
(12,20),-3.04778 # DEPENDENCYPART_ARC
(12,21),-3.0826 # DEPENDENCYPART_ARC
(12,22),-2.79309 # DEPENDENCYPART_ARC
(12,23),-3.12304 # DEPENDENCYPART_ARC
(12,24),-2.96868 # DEPENDENCYPART_ARC
(12,25),-3.09366 # DEPENDENCYPART_ARC
(12,26),-3.1965 # DEPENDENCYPART_ARC
(12,27),-3.27288 # DEPENDENCYPART_ARC
(12,28),-3.24287 # DEPENDENCYPART_ARC
(12,29),-3.25225 # DEPENDENCYPART_ARC
(12,30),-2.40126 # DEPENDENCYPART_ARC
(13,1),-1.23745 # DEPENDENCYPART_ARC
(13,2),-1.97742 # DEPENDENCYPART_ARC
(13,3),-1.14716 # DEPENDENCYPART_ARC
(13,4),-3.00732 # DEPENDENCYPART_ARC
(13,5),-0.213759 # DEPENDENCYPART_ARC
(13,6),-0.570564 # DEPENDENCYPART_ARC
(13,7),-1.30613 # DEPENDENCYPART_ARC
(13,8),-0.321829 # DEPENDENCYPART_ARC
(13,9),-0.876644 # DEPENDENCYPART_ARC
(13,10),-0.585376 # DEPENDENCYPART_ARC
(13,11),0.766466 # DEPENDENCYPART_ARC
(13,12),-0.106401 # DEPENDENCYPART_ARC
(13,14),1.91198 # DEPENDENCYPART_ARC
(13,15),0.16936 # DEPENDENCYPART_ARC
(13,16),-0.216527 # DEPENDENCYPART_ARC
(13,17),0.183388 # DEPENDENCYPART_ARC
(13,18),-1.73817 # DEPENDENCYPART_ARC
(13,19),-0.904747 # DEPENDENCYPART_ARC
(13,20),-0.891165 # DEPENDENCYPART_ARC
(13,21),-0.931536 # DEPENDENCYPART_ARC
(13,22),0.104641 # DEPENDENCYPART_ARC
(13,23),-0.984582 # DEPENDENCYPART_ARC
(13,24),0.0497135 # DEPENDENCYPART_ARC
(13,25),-0.349897 # DEPENDENCYPART_ARC
(13,26),-0.615981 # DEPENDENCYPART_ARC
(13,27),-2.04634 # DEPENDENCYPART_ARC
(13,28),-0.978548 # DEPENDENCYPART_ARC
(13,29),-2.22781 # DEPENDENCYPART_ARC
(13,30),-2.39469 # DEPENDENCYPART_ARC
(14,1),-0.792791 # DEPENDENCYPART_ARC
(14,2),-0.682331 # DEPENDENCYPART_ARC
(14,3),-0.851756 # DEPENDENCYPART_ARC
(14,4),-2.08064 # DEPENDENCYPART_ARC
(14,5),1.41917 # DEPENDENCYPART_ARC
(14,6),1.33531 # DEPENDENCYPART_ARC
(14,7),-0.143822 # DEPENDENCYPART_ARC
(14,8),0.777485 # DEPENDENCYPART_ARC
(14,9),0.545943 # DEPENDENCYPART_ARC
(14,10),0.197354 # DEPENDENCYPART_ARC
(14,11),1.43482 # DEPENDENCYPART_ARC
(14,12),-0.609419 # DEPENDENCYPART_ARC
(14,13),3.66058 # DEPENDENCYPART_ARC
(14,15),2.31944 # DEPENDENCYPART_ARC
(14,16),1.41542 # DEPENDENCYPART_ARC
(14,17),1.91748 # DEPENDENCYPART_ARC
(14,18),-0.582456 # DEPENDENCYPART_ARC
(14,19),0.419101 # DEPENDENCYPART_ARC
(14,20),0.490317 # DEPENDENCYPART_ARC
(14,21),-0.1389 # DEPENDENCYPART_ARC
(14,22),1.63727 # DEPENDENCYPART_ARC
(14,23),-0.598231 # DEPENDENCYPART_ARC
(14,24),0.581681 # DEPENDENCYPART_ARC
(14,25),1.22515 # DEPENDENCYPART_ARC
(14,26),1.21041 # DEPENDENCYPART_ARC
(14,27),-1.69317 # DEPENDENCYPART_ARC
(14,28),0.793768 # DEPENDENCYPART_ARC
(14,29),-1.99681 # DEPENDENCYPART_ARC
(14,30),-1.216 # DEPENDENCYPART_ARC
(15,1),-2.37648 # DEPENDENCYPART_ARC
(15,2),-1.44072 # DEPENDENCYPART_ARC
(15,3),-2.18916 # DEPENDENCYPART_ARC
(15,4),-2.40691 # DEPENDENCYPART_ARC
(15,5),-2.0495 # DEPENDENCYPART_ARC
(15,6),-1.99793 # DEPENDENCYPART_ARC
(15,7),-2.55165 # DEPENDENCYPART_ARC
(15,8),-1.47865 # DEPENDENCYPART_ARC
(15,9),-1.48486 # DEPENDENCYPART_ARC
(15,10),-1.71495 # DEPENDENCYPART_ARC
(15,11),-1.63353 # DEPENDENCYPART_ARC
(15,12),-1.49696 # DEPENDENCYPART_ARC
(15,13),-1.23725 # DEPENDENCYPART_ARC
(15,14),-0.359433 # DEPENDENCYPART_ARC
(15,16),4.10734 # DEPENDENCYPART_ARC
(15,17),-0.429791 # DEPENDENCYPART_ARC
(15,18),-1.05038 # DEPENDENCYPART_ARC
(15,19),-0.421781 # DEPENDENCYPART_ARC
(15,20),-0.00768323 # DEPENDENCYPART_ARC
(15,21),-0.164976 # DEPENDENCYPART_ARC
(15,22),-0.16843 # DEPENDENCYPART_ARC
(15,23),-0.963187 # DEPENDENCYPART_ARC
(15,24),-1.19784 # DEPENDENCYPART_ARC
(15,25),-1.27214 # DEPENDENCYPART_ARC
(15,26),-1.42189 # DEPENDENCYPART_ARC
(15,27),-2.93024 # DEPENDENCYPART_ARC
(15,28),-1.92394 # DEPENDENCYPART_ARC
(15,29),-3.42354 # DEPENDENCYPART_ARC
(15,30),-1.66328 # DEPENDENCYPART_ARC
(16,1),-3.75065 # DEPENDENCYPART_ARC
(16,2),-2.71073 # DEPENDENCYPART_ARC
(16,3),-3.47516 # DEPENDENCYPART_ARC
(16,4),-3.54296 # DEPENDENCYPART_ARC
(16,5),-2.24304 # DEPENDENCYPART_ARC
(16,6),-1.46208 # DEPENDENCYPART_ARC
(16,7),-2.98735 # DEPENDENCYPART_ARC
(16,8),-1.95426 # DEPENDENCYPART_ARC
(16,9),-1.24511 # DEPENDENCYPART_ARC
(16,10),-1.69597 # DEPENDENCYPART_ARC
(16,11),-2.99374 # DEPENDENCYPART_ARC
(16,12),-2.70558 # DEPENDENCYPART_ARC
(16,13),-2.20724 # DEPENDENCYPART_ARC
(16,14),-0.797743 # DEPENDENCYPART_ARC
(16,15),0.576869 # DEPENDENCYPART_ARC
(16,17),1.41396 # DEPENDENCYPART_ARC
(16,18),-0.147509 # DEPENDENCYPART_ARC
(16,19),0.180394 # DEPENDENCYPART_ARC
(16,20),0.874439 # DEPENDENCYPART_ARC
(16,21),0.309148 # DEPENDENCYPART_ARC
(16,22),0.179863 # DEPENDENCYPART_ARC
(16,23),-1.3903 # DEPENDENCYPART_ARC
(16,24),-0.193039 # DEPENDENCYPART_ARC
(16,25),-0.902302 # DEPENDENCYPART_ARC
(16,26),-0.602565 # DEPENDENCYPART_ARC
(16,27),-0.846919 # DEPENDENCYPART_ARC
(16,28),0.0754085 # DEPENDENCYPART_ARC
(16,29),-1.07184 # DEPENDENCYPART_ARC
(16,30),-2.49005 # DEPENDENCYPART_ARC
(17,1),-2.14109 # DEPENDENCYPART_ARC
(17,2),-1.53515 # DEPENDENCYPART_ARC
(17,3),-2.13974 # DEPENDENCYPART_ARC
(17,4),-1.93202 # DEPENDENCYPART_ARC
(17,5),-1.76771 # DEPENDENCYPART_ARC
(17,6),-1.82816 # DEPENDENCYPART_ARC
(17,7),-2.23677 # DEPENDENCYPART_ARC
(17,8),-1.17513 # DEPENDENCYPART_ARC
(17,9),-1.2996 # DEPENDENCYPART_ARC
(17,10),-1.57882 # DEPENDENCYPART_ARC
(17,11),-1.69552 # DEPENDENCYPART_ARC
