# _root_ " Certo , anche_se per loro è più semplice : gli Stati_Uniti sono un paese enorme , uno può andare dove vuole .
#goldHeads=2,7,2,7,7,5,0,9,7,9,12,13,0,15,13,15,13,20,20,13,20,21,22,
#predictedHeads=2,7,2,13,7,5,4,9,7,9,12,13,0,15,13,15,16,20,20,22,22,13,22,
(4,9),-0.230277 # DEPENDENCYPART_ARC
(4,10),0.248377 # DEPENDENCYPART_ARC
(4,12),-0.876805 # DEPENDENCYPART_ARC
(4,13),0.604974 # DEPENDENCYPART_ARC
(4,15),-0.948188 # DEPENDENCYPART_ARC
(4,16),-0.685492 # DEPENDENCYPART_ARC
(4,17),0.29142 # DEPENDENCYPART_ARC
(4,19),-0.18727 # DEPENDENCYPART_ARC
(4,20),-0.195331 # DEPENDENCYPART_ARC
(4,21),-1.17627 # DEPENDENCYPART_ARC
(4,22),-0.562699 # DEPENDENCYPART_ARC
(4,23),-0.775847 # DEPENDENCYPART_ARC
(5,1),-1.90636 # DEPENDENCYPART_ARC
(5,2),-0.769868 # DEPENDENCYPART_ARC
(5,3),-1.25976 # DEPENDENCYPART_ARC
(5,4),0.111507 # DEPENDENCYPART_ARC
(5,6),3.37656 # DEPENDENCYPART_ARC
(5,7),0.531551 # DEPENDENCYPART_ARC
(5,8),-0.808812 # DEPENDENCYPART_ARC
(5,9),-0.491133 # DEPENDENCYPART_ARC
(5,10),-0.746996 # DEPENDENCYPART_ARC
(5,11),-1.14964 # DEPENDENCYPART_ARC
(5,12),-1.7079 # DEPENDENCYPART_ARC
(5,13),-1.23979 # DEPENDENCYPART_ARC
(5,14),-1.49511 # DEPENDENCYPART_ARC
(5,15),-3.09941 # DEPENDENCYPART_ARC
(5,16),-1.24854 # DEPENDENCYPART_ARC
(5,17),-0.742682 # DEPENDENCYPART_ARC
(5,18),-1.27916 # DEPENDENCYPART_ARC
(5,19),-2.58031 # DEPENDENCYPART_ARC
(5,20),-2.63851 # DEPENDENCYPART_ARC
(5,21),-1.88015 # DEPENDENCYPART_ARC
(5,22),-2.55781 # DEPENDENCYPART_ARC
(5,23),-1.71618 # DEPENDENCYPART_ARC
(6,1),-2.08786 # DEPENDENCYPART_ARC
(6,2),-1.97891 # DEPENDENCYPART_ARC
(6,3),-1.87559 # DEPENDENCYPART_ARC
(6,4),-1.36757 # DEPENDENCYPART_ARC
(6,5),-0.478999 # DEPENDENCYPART_ARC
(6,7),-0.327332 # DEPENDENCYPART_ARC
(6,8),-1.587 # DEPENDENCYPART_ARC
(6,9),-1.88644 # DEPENDENCYPART_ARC
(6,10),-1.57254 # DEPENDENCYPART_ARC
(6,12),-1.36522 # DEPENDENCYPART_ARC
(6,13),-2.32986 # DEPENDENCYPART_ARC
(6,15),-1.9754 # DEPENDENCYPART_ARC
(6,16),-2.61156 # DEPENDENCYPART_ARC
(6,17),-1.83756 # DEPENDENCYPART_ARC
(6,18),-2.01286 # DEPENDENCYPART_ARC
(6,19),-3.31807 # DEPENDENCYPART_ARC
(6,20),-3.06446 # DEPENDENCYPART_ARC
(6,21),-2.74019 # DEPENDENCYPART_ARC
(6,22),-3.58289 # DEPENDENCYPART_ARC
(6,23),-2.62416 # DEPENDENCYPART_ARC
(7,1),-1.11103 # DEPENDENCYPART_ARC
(7,2),-0.00257813 # DEPENDENCYPART_ARC
(7,3),-1.55614 # DEPENDENCYPART_ARC
(7,4),0.52154 # DEPENDENCYPART_ARC
(7,5),2.28766 # DEPENDENCYPART_ARC
(7,6),1.40529 # DEPENDENCYPART_ARC
(7,8),1.31069 # DEPENDENCYPART_ARC
(7,9),2.26989 # DEPENDENCYPART_ARC
(7,10),0.341894 # DEPENDENCYPART_ARC
(7,11),-0.792518 # DEPENDENCYPART_ARC
(7,12),0.935522 # DEPENDENCYPART_ARC
(7,13),0.250445 # DEPENDENCYPART_ARC
(7,14),-1.73782 # DEPENDENCYPART_ARC
(7,15),-0.138088 # DEPENDENCYPART_ARC
(7,16),-0.772162 # DEPENDENCYPART_ARC
(7,17),1.06642 # DEPENDENCYPART_ARC
(7,18),-0.742439 # DEPENDENCYPART_ARC
(7,19),-0.861182 # DEPENDENCYPART_ARC
(7,20),-0.362745 # DEPENDENCYPART_ARC
(7,21),-0.980871 # DEPENDENCYPART_ARC
(7,22),-0.690606 # DEPENDENCYPART_ARC
(7,23),-1.49079 # DEPENDENCYPART_ARC
(8,1),-0.92296 # DEPENDENCYPART_ARC
(8,2),-1.08246 # DEPENDENCYPART_ARC
(8,3),-1.13525 # DEPENDENCYPART_ARC
(8,4),-0.724574 # DEPENDENCYPART_ARC
(8,5),-0.11654 # DEPENDENCYPART_ARC
(8,6),-0.365952 # DEPENDENCYPART_ARC
(8,7),-0.0267226 # DEPENDENCYPART_ARC
(8,9),0.384086 # DEPENDENCYPART_ARC
(8,10),0.185449 # DEPENDENCYPART_ARC
(8,11),-0.438616 # DEPENDENCYPART_ARC
(8,12),-0.693247 # DEPENDENCYPART_ARC
(8,13),-0.408206 # DEPENDENCYPART_ARC
(8,14),-0.940918 # DEPENDENCYPART_ARC
(8,15),-1.55019 # DEPENDENCYPART_ARC
(8,16),-1.50449 # DEPENDENCYPART_ARC
(8,17),-0.913629 # DEPENDENCYPART_ARC
(8,18),-1.32872 # DEPENDENCYPART_ARC
(8,19),-1.25952 # DEPENDENCYPART_ARC
(8,20),-1.54253 # DEPENDENCYPART_ARC
(8,21),-1.35902 # DEPENDENCYPART_ARC
(8,22),-1.68943 # DEPENDENCYPART_ARC
(8,23),-1.6046 # DEPENDENCYPART_ARC
(9,1),-0.521241 # DEPENDENCYPART_ARC
(9,2),-0.52375 # DEPENDENCYPART_ARC
(9,3),-1.03398 # DEPENDENCYPART_ARC
(9,4),-0.375113 # DEPENDENCYPART_ARC
(9,5),0.283008 # DEPENDENCYPART_ARC
(9,6),-0.0129274 # DEPENDENCYPART_ARC
(9,7),-0.740714 # DEPENDENCYPART_ARC
(9,8),3.17541 # DEPENDENCYPART_ARC
(9,10),2.13351 # DEPENDENCYPART_ARC
(9,11),-0.544715 # DEPENDENCYPART_ARC
(9,12),0.139804 # DEPENDENCYPART_ARC
(9,13),-0.651375 # DEPENDENCYPART_ARC
(9,14),-0.978641 # DEPENDENCYPART_ARC
(9,15),-0.565609 # DEPENDENCYPART_ARC
(9,16),-0.61324 # DEPENDENCYPART_ARC
(9,17),0.149184 # DEPENDENCYPART_ARC
(9,18),-1.03208 # DEPENDENCYPART_ARC
(9,19),-1.08121 # DEPENDENCYPART_ARC
(9,20),-2.05035 # DEPENDENCYPART_ARC
(9,21),-1.15608 # DEPENDENCYPART_ARC
(9,22),-1.29385 # DEPENDENCYPART_ARC
(9,23),-0.938158 # DEPENDENCYPART_ARC
(10,1),-1.82525 # DEPENDENCYPART_ARC
(10,3),-1.58016 # DEPENDENCYPART_ARC
(10,11),-0.0394564 # DEPENDENCYPART_ARC
(10,14),-1.28683 # DEPENDENCYPART_ARC
(10,17),-1.09706 # DEPENDENCYPART_ARC
(10,23),-1.45874 # DEPENDENCYPART_ARC
(11,1),-2.32348 # DEPENDENCYPART_ARC
(11,3),-2.80738 # DEPENDENCYPART_ARC
(11,5),-2.8266 # DEPENDENCYPART_ARC
(11,7),-4.37238 # DEPENDENCYPART_ARC
(11,10),-0.314921 # DEPENDENCYPART_ARC
(11,13),0.155246 # DEPENDENCYPART_ARC
(11,15),-0.667455 # DEPENDENCYPART_ARC
(11,17),-0.327772 # DEPENDENCYPART_ARC
(11,19),-0.845182 # DEPENDENCYPART_ARC
(11,20),-0.774919 # DEPENDENCYPART_ARC
(11,22),-1.21978 # DEPENDENCYPART_ARC
(11,23),-0.732602 # DEPENDENCYPART_ARC
(12,1),-1.7804 # DEPENDENCYPART_ARC
(12,2),-1.61565 # DEPENDENCYPART_ARC
(12,3),-2.60449 # DEPENDENCYPART_ARC
(12,4),-1.15473 # DEPENDENCYPART_ARC
(12,5),-0.459729 # DEPENDENCYPART_ARC
(12,6),-1.25732 # DEPENDENCYPART_ARC
(12,7),-2.72385 # DEPENDENCYPART_ARC
(12,8),0.0147973 # DEPENDENCYPART_ARC
(12,9),-0.646157 # DEPENDENCYPART_ARC
(12,10),-0.677505 # DEPENDENCYPART_ARC
(12,11),2.88435 # DEPENDENCYPART_ARC
(12,13),-0.606286 # DEPENDENCYPART_ARC
(12,14),-1.14709 # DEPENDENCYPART_ARC
(12,15),-0.409704 # DEPENDENCYPART_ARC
(12,16),-0.77723 # DEPENDENCYPART_ARC
(12,17),-1.1218 # DEPENDENCYPART_ARC
(12,18),-0.669539 # DEPENDENCYPART_ARC
(12,19),-1.64444 # DEPENDENCYPART_ARC
(12,20),-1.91039 # DEPENDENCYPART_ARC
(12,21),-2.20357 # DEPENDENCYPART_ARC
(12,22),-2.94725 # DEPENDENCYPART_ARC
(12,23),-2.39471 # DEPENDENCYPART_ARC
(13,1),-1.38813 # DEPENDENCYPART_ARC
(13,2),-0.450574 # DEPENDENCYPART_ARC
(13,3),-1.99708 # DEPENDENCYPART_ARC
(13,4),0.170991 # DEPENDENCYPART_ARC
(13,5),1.43125 # DEPENDENCYPART_ARC
(13,6),-0.384674 # DEPENDENCYPART_ARC
(13,7),-0.366299 # DEPENDENCYPART_ARC
(13,8),0.407569 # DEPENDENCYPART_ARC
(13,9),-0.7859 # DEPENDENCYPART_ARC
(13,10),-0.496038 # DEPENDENCYPART_ARC
(13,11),1.0111 # DEPENDENCYPART_ARC
(13,12),2.44743 # DEPENDENCYPART_ARC
(13,14),-0.19926 # DEPENDENCYPART_ARC
(13,15),2.50165 # DEPENDENCYPART_ARC
(13,16),-0.144934 # DEPENDENCYPART_ARC
(13,17),1.11233 # DEPENDENCYPART_ARC
(13,18),-0.217059 # DEPENDENCYPART_ARC
(13,19),0.187095 # DEPENDENCYPART_ARC
(13,20),0.166293 # DEPENDENCYPART_ARC
(13,21),-0.45106 # DEPENDENCYPART_ARC
(13,22),0.141114 # DEPENDENCYPART_ARC
(13,23),-0.40893 # DEPENDENCYPART_ARC
(14,1),-1.17251 # DEPENDENCYPART_ARC
(14,3),-1.68656 # DEPENDENCYPART_ARC
(14,5),-1.56841 # DEPENDENCYPART_ARC
(14,10),-0.956134 # DEPENDENCYPART_ARC
(14,17),0.110825 # DEPENDENCYPART_ARC
(14,23),-0.612731 # DEPENDENCYPART_ARC
(15,1),-1.75405 # DEPENDENCYPART_ARC
(15,2),-1.58452 # DEPENDENCYPART_ARC
(15,3),-2.57375 # DEPENDENCYPART_ARC
(15,4),-1.33351 # DEPENDENCYPART_ARC
(15,5),-0.632662 # DEPENDENCYPART_ARC
(15,6),-0.83599 # DEPENDENCYPART_ARC
(15,7),-2.18259 # DEPENDENCYPART_ARC
(15,8),-0.609672 # DEPENDENCYPART_ARC
(15,9),-1.48962 # DEPENDENCYPART_ARC
(15,10),-1.79267 # DEPENDENCYPART_ARC
(15,11),0.435716 # DEPENDENCYPART_ARC
(15,12),-1.24477 # DEPENDENCYPART_ARC
(15,13),-0.642765 # DEPENDENCYPART_ARC
(15,14),3.53655 # DEPENDENCYPART_ARC
(15,16),3.35508 # DEPENDENCYPART_ARC
(15,17),0.770912 # DEPENDENCYPART_ARC
(15,18),0.773473 # DEPENDENCYPART_ARC
(15,19),1.1132 # DEPENDENCYPART_ARC
(15,20),0.148611 # DEPENDENCYPART_ARC
(15,21),-0.54623 # DEPENDENCYPART_ARC
(15,22),-0.890885 # DEPENDENCYPART_ARC
(15,23),-0.516267 # DEPENDENCYPART_ARC
(16,1),-1.23862 # DEPENDENCYPART_ARC
(16,2),-1.92041 # DEPENDENCYPART_ARC
(16,3),-1.71917 # DEPENDENCYPART_ARC
(16,4),-1.28538 # DEPENDENCYPART_ARC
(16,5),-1.2314 # DEPENDENCYPART_ARC
(16,6),-1.31913 # DEPENDENCYPART_ARC
(16,7),-2.97898 # DEPENDENCYPART_ARC
(16,8),-0.625502 # DEPENDENCYPART_ARC
(16,9),-1.3338 # DEPENDENCYPART_ARC
(16,10),-1.31008 # DEPENDENCYPART_ARC
(16,11),-1.05938 # DEPENDENCYPART_ARC
(16,12),-1.24312 # DEPENDENCYPART_ARC
(16,13),-2.29763 # DEPENDENCYPART_ARC
(16,14),0.350362 # DEPENDENCYPART_ARC
(16,15),0.164054 # DEPENDENCYPART_ARC
(16,17),2.02961 # DEPENDENCYPART_ARC
(16,18),-0.376517 # DEPENDENCYPART_ARC
(16,19),-0.213224 # DEPENDENCYPART_ARC
(16,20),-1.60149 # DEPENDENCYPART_ARC
(16,21),-1.09374 # DEPENDENCYPART_ARC
(16,22),-0.815652 # DEPENDENCYPART_ARC
(16,23),-0.433838 # DEPENDENCYPART_ARC
(17,1),-2.02435 # DEPENDENCYPART_ARC
(17,3),-1.78771 # DEPENDENCYPART_ARC
(17,10),-1.57525 # DEPENDENCYPART_ARC
(17,11),-1.34157 # DEPENDENCYPART_ARC
(17,14),-0.590502 # DEPENDENCYPART_ARC
(17,23),-1.04899 # DEPENDENCYPART_ARC
(18,1),-1.60548 # DEPENDENCYPART_ARC
(18,2),-1.8486 # DEPENDENCYPART_ARC
(18,3),-1.86441 # DEPENDENCYPART_ARC
(18,4),-1.48218 # DEPENDENCYPART_ARC
(18,5),-1.66472 # DEPENDENCYPART_ARC
(18,6),-1.51828 # DEPENDENCYPART_ARC
(18,7),-3.02238 # DEPENDENCYPART_ARC
(18,8),-1.59547 # DEPENDENCYPART_ARC
(18,9),-1.67033 # DEPENDENCYPART_ARC
(18,10),-1.54603 # DEPENDENCYPART_ARC
(18,11),-0.834607 # DEPENDENCYPART_ARC
(18,12),-2.06767 # DEPENDENCYPART_ARC
(18,13),-2.66183 # DEPENDENCYPART_ARC
(18,14),-0.0919388 # DEPENDENCYPART_ARC
(18,15),-0.933558 # DEPENDENCYPART_ARC
(18,16),-0.450813 # DEPENDENCYPART_ARC
(18,17),0.615381 # DEPENDENCYPART_ARC
(18,19),1.67554 # DEPENDENCYPART_ARC
(18,20),-0.0879251 # DEPENDENCYPART_ARC
(18,21),-0.738509 # DEPENDENCYPART_ARC
(18,22),-0.0351778 # DEPENDENCYPART_ARC
(18,23),-0.694369 # DEPENDENCYPART_ARC
(19,1),-2.74819 # DEPENDENCYPART_ARC
(19,2),-2.51741 # DEPENDENCYPART_ARC
(19,3),-3.41571 # DEPENDENCYPART_ARC
(19,4),-1.77561 # DEPENDENCYPART_ARC
(19,5),-0.568218 # DEPENDENCYPART_ARC
(19,6),-2.42326 # DEPENDENCYPART_ARC
(19,7),-2.85591 # DEPENDENCYPART_ARC
(19,8),-2.59987 # DEPENDENCYPART_ARC
(19,9),-2.19248 # DEPENDENCYPART_ARC
(19,10),-2.49799 # DEPENDENCYPART_ARC
(19,11),-2.04159 # DEPENDENCYPART_ARC
(19,12),-0.746817 # DEPENDENCYPART_ARC
(19,13),-1.55242 # DEPENDENCYPART_ARC
(19,14),-1.66109 # DEPENDENCYPART_ARC
(19,15),-1.0539 # DEPENDENCYPART_ARC
(19,16),-1.34188 # DEPENDENCYPART_ARC
(19,17),-1.60329 # DEPENDENCYPART_ARC
(19,18),1.13461 # DEPENDENCYPART_ARC
(19,20),0.700263 # DEPENDENCYPART_ARC
(19,21),-0.987443 # DEPENDENCYPART_ARC
(19,22),-0.653886 # DEPENDENCYPART_ARC
(19,23),-1.24536 # DEPENDENCYPART_ARC
(20,1),-2.51424 # DEPENDENCYPART_ARC
(20,2),-1.57341 # DEPENDENCYPART_ARC
(20,3),-3.09154 # DEPENDENCYPART_ARC
(20,4),-1.24931 # DEPENDENCYPART_ARC
(20,5),0.166555 # DEPENDENCYPART_ARC
(20,6),-1.75295 # DEPENDENCYPART_ARC
(20,7),-1.84298 # DEPENDENCYPART_ARC
(20,8),-1.49052 # DEPENDENCYPART_ARC
(20,9),-1.28589 # DEPENDENCYPART_ARC
(20,10),-2.16416 # DEPENDENCYPART_ARC
(20,11),-0.829186 # DEPENDENCYPART_ARC
(20,12),0.489915 # DEPENDENCYPART_ARC
(20,13),-0.8279 # DEPENDENCYPART_ARC
(20,14),-0.642939 # DEPENDENCYPART_ARC
(20,15),0.0642367 # DEPENDENCYPART_ARC
(20,16),-0.528016 # DEPENDENCYPART_ARC
(20,17),-1.82071 # DEPENDENCYPART_ARC
(20,18),1.36104 # DEPENDENCYPART_ARC
(20,19),3.11776 # DEPENDENCYPART_ARC
(20,21),1.27526 # DEPENDENCYPART_ARC
(20,22),1.0911 # DEPENDENCYPART_ARC
(20,23),0.607469 # DEPENDENCYPART_ARC
(21,1),-1.87363 # DEPENDENCYPART_ARC
(21,2),-2.12508 # DEPENDENCYPART_ARC
(21,3),-2.2762 # DEPENDENCYPART_ARC
(21,4),-1.94894 # DEPENDENCYPART_ARC
(21,5),-1.90631 # DEPENDENCYPART_ARC
(21,6),-2.3081 # DEPENDENCYPART_ARC
(21,7),-3.1922 # DEPENDENCYPART_ARC
(21,8),-1.69673 # DEPENDENCYPART_ARC
(21,9),-2.30509 # DEPENDENCYPART_ARC
(21,10),-2.02688 # DEPENDENCYPART_ARC
(21,11),-1.77924 # DEPENDENCYPART_ARC
(21,12),-2.56397 # DEPENDENCYPART_ARC
(21,13),-2.83485 # DEPENDENCYPART_ARC
(21,14),-1.52689 # DEPENDENCYPART_ARC
(21,15),-2.37466 # DEPENDENCYPART_ARC
(21,16),-1.92475 # DEPENDENCYPART_ARC
(21,17),-1.63545 # DEPENDENCYPART_ARC
(21,18),-1.32547 # DEPENDENCYPART_ARC
(21,19),-1.46977 # DEPENDENCYPART_ARC
(21,20),-0.627652 # DEPENDENCYPART_ARC
(21,22),0.345055 # DEPENDENCYPART_ARC
(21,23),-0.403337 # DEPENDENCYPART_ARC
(22,1),-2.1347 # DEPENDENCYPART_ARC
(22,2),-1.22286 # DEPENDENCYPART_ARC
(22,3),-2.40431 # DEPENDENCYPART_ARC
(22,4),-0.91601 # DEPENDENCYPART_ARC
(22,5),0.513204 # DEPENDENCYPART_ARC
(22,6),-1.34732 # DEPENDENCYPART_ARC
(22,7),-1.48779 # DEPENDENCYPART_ARC
(22,8),-1.23131 # DEPENDENCYPART_ARC
(22,9),-1.13564 # DEPENDENCYPART_ARC
(22,10),-1.6315 # DEPENDENCYPART_ARC
(22,11),-1.24664 # DEPENDENCYPART_ARC
(22,12),1.068 # DEPENDENCYPART_ARC
(22,13),-1.23018 # DEPENDENCYPART_ARC
(22,14),-0.989197 # DEPENDENCYPART_ARC
(22,15),0.760554 # DEPENDENCYPART_ARC
(22,16),-0.71201 # DEPENDENCYPART_ARC
(22,17),-1.53733 # DEPENDENCYPART_ARC
(22,18),1.07015 # DEPENDENCYPART_ARC
(22,19),0.586007 # DEPENDENCYPART_ARC
(22,20),1.83949 # DEPENDENCYPART_ARC
(22,21),3.10887 # DEPENDENCYPART_ARC
(22,23),1.94081 # DEPENDENCYPART_ARC
(23,1),-1.80924 # DEPENDENCYPART_ARC
(23,3),-1.55688 # DEPENDENCYPART_ARC
(23,10),-1.46393 # DEPENDENCYPART_ARC
(23,11),-1.27416 # DEPENDENCYPART_ARC
(23,14),-1.20506 # DEPENDENCYPART_ARC
(23,17),-1.29464 # DEPENDENCYPART_ARC
