# _root_ E in fondo , fino_a quella sublime malattia raccontata nel " documentario fiction " di Caro diario , amavo più il guru ( nelle sue supposte antipatie e idiosincrasie ) che il suo cinema .
#goldHeads=19,19,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,22,27,27,24,27,27,29,22,34,34,31,34,
#predictedHeads=9,9,2,3,19,8,8,5,8,9,12,10,12,13,12,17,15,17,0,19,22,19,24,19,27,27,24,27,27,29,19,34,34,27,34,
(4,17),-2.6727 # DEPENDENCYPART_ARC
(4,18),-1.62329 # DEPENDENCYPART_ARC
(4,19),-2.58611 # DEPENDENCYPART_ARC
(4,20),-2.8308 # DEPENDENCYPART_ARC
(4,21),-2.66625 # DEPENDENCYPART_ARC
(4,22),-2.84685 # DEPENDENCYPART_ARC
(4,23),-2.33977 # DEPENDENCYPART_ARC
(4,24),-3.09374 # DEPENDENCYPART_ARC
(4,25),-3.11428 # DEPENDENCYPART_ARC
(4,26),-3.11788 # DEPENDENCYPART_ARC
(4,27),-2.94342 # DEPENDENCYPART_ARC
(4,28),-2.97277 # DEPENDENCYPART_ARC
(4,29),-3.08355 # DEPENDENCYPART_ARC
(4,30),-2.68834 # DEPENDENCYPART_ARC
(4,31),-2.94972 # DEPENDENCYPART_ARC
(4,32),-3.02273 # DEPENDENCYPART_ARC
(4,33),-3.23717 # DEPENDENCYPART_ARC
(4,34),-3.1262 # DEPENDENCYPART_ARC
(4,35),-2.96981 # DEPENDENCYPART_ARC
(5,1),-0.731734 # DEPENDENCYPART_ARC
(5,2),-0.459706 # DEPENDENCYPART_ARC
(5,3),-0.802029 # DEPENDENCYPART_ARC
(5,4),0.173152 # DEPENDENCYPART_ARC
(5,6),1.45249 # DEPENDENCYPART_ARC
(5,7),0.71434 # DEPENDENCYPART_ARC
(5,8),1.72037 # DEPENDENCYPART_ARC
(5,9),-0.177372 # DEPENDENCYPART_ARC
(5,10),-0.604766 # DEPENDENCYPART_ARC
(5,11),-0.839199 # DEPENDENCYPART_ARC
(5,12),-1.26849 # DEPENDENCYPART_ARC
(5,13),-1.87718 # DEPENDENCYPART_ARC
(5,14),-0.923321 # DEPENDENCYPART_ARC
(5,15),-1.15152 # DEPENDENCYPART_ARC
(5,16),-0.953332 # DEPENDENCYPART_ARC
(5,17),-2.95417 # DEPENDENCYPART_ARC
(5,18),-0.589902 # DEPENDENCYPART_ARC
(5,19),-1.7731 # DEPENDENCYPART_ARC
(5,20),-1.50776 # DEPENDENCYPART_ARC
(5,21),-1.39095 # DEPENDENCYPART_ARC
(5,22),-4.73463 # DEPENDENCYPART_ARC
(5,23),-1.36028 # DEPENDENCYPART_ARC
(5,24),-1.68675 # DEPENDENCYPART_ARC
(5,25),-1.41213 # DEPENDENCYPART_ARC
(5,26),-1.60008 # DEPENDENCYPART_ARC
(5,27),-6.15724 # DEPENDENCYPART_ARC
(5,28),-1.54845 # DEPENDENCYPART_ARC
(5,29),-7.25333 # DEPENDENCYPART_ARC
(5,30),-2.64565 # DEPENDENCYPART_ARC
(5,31),-3.74867 # DEPENDENCYPART_ARC
(5,32),-1.8701 # DEPENDENCYPART_ARC
(5,33),-1.96539 # DEPENDENCYPART_ARC
(5,34),-8.40432 # DEPENDENCYPART_ARC
(5,35),-2.6913 # DEPENDENCYPART_ARC
(6,1),-1.74191 # DEPENDENCYPART_ARC
(6,2),-1.47996 # DEPENDENCYPART_ARC
(6,3),-1.90869 # DEPENDENCYPART_ARC
(6,4),-0.991721 # DEPENDENCYPART_ARC
(6,5),-0.0521063 # DEPENDENCYPART_ARC
(6,7),2.27242 # DEPENDENCYPART_ARC
(6,8),1.13946 # DEPENDENCYPART_ARC
(6,9),1.91529 # DEPENDENCYPART_ARC
(6,10),0.417904 # DEPENDENCYPART_ARC
(6,11),0.14863 # DEPENDENCYPART_ARC
(6,12),-0.0666069 # DEPENDENCYPART_ARC
(6,13),0.452004 # DEPENDENCYPART_ARC
(6,14),0.0263623 # DEPENDENCYPART_ARC
(6,15),0.0482934 # DEPENDENCYPART_ARC
(6,16),-0.271999 # DEPENDENCYPART_ARC
(6,17),-0.0267713 # DEPENDENCYPART_ARC
(6,18),-0.442695 # DEPENDENCYPART_ARC
(6,19),-0.230567 # DEPENDENCYPART_ARC
(6,20),-0.537704 # DEPENDENCYPART_ARC
(6,21),-0.71303 # DEPENDENCYPART_ARC
(6,22),-0.141426 # DEPENDENCYPART_ARC
(6,23),-0.634619 # DEPENDENCYPART_ARC
(6,24),-0.375398 # DEPENDENCYPART_ARC
(6,25),-0.174745 # DEPENDENCYPART_ARC
(6,26),-0.131981 # DEPENDENCYPART_ARC
(6,27),-0.821853 # DEPENDENCYPART_ARC
(6,28),-0.352907 # DEPENDENCYPART_ARC
(6,29),-0.723777 # DEPENDENCYPART_ARC
(6,30),-1.17558 # DEPENDENCYPART_ARC
(6,31),-0.47362 # DEPENDENCYPART_ARC
(6,32),-0.916993 # DEPENDENCYPART_ARC
(6,33),-0.630307 # DEPENDENCYPART_ARC
(6,34),-0.370749 # DEPENDENCYPART_ARC
(6,35),-1.23307 # DEPENDENCYPART_ARC
(7,1),-1.49026 # DEPENDENCYPART_ARC
(7,2),-0.585247 # DEPENDENCYPART_ARC
(7,3),-1.71323 # DEPENDENCYPART_ARC
(7,4),-1.08267 # DEPENDENCYPART_ARC
(7,5),0.178179 # DEPENDENCYPART_ARC
(7,6),0.635216 # DEPENDENCYPART_ARC
(7,8),0.919863 # DEPENDENCYPART_ARC
(7,9),0.128533 # DEPENDENCYPART_ARC
(7,10),-0.124351 # DEPENDENCYPART_ARC
(7,11),-0.736428 # DEPENDENCYPART_ARC
(7,12),-0.765287 # DEPENDENCYPART_ARC
(7,13),-0.729363 # DEPENDENCYPART_ARC
(7,14),-1.20149 # DEPENDENCYPART_ARC
(7,15),-0.999278 # DEPENDENCYPART_ARC
(7,16),-1.04975 # DEPENDENCYPART_ARC
(7,17),-0.79543 # DEPENDENCYPART_ARC
(7,18),-0.994056 # DEPENDENCYPART_ARC
(7,19),-2.28632 # DEPENDENCYPART_ARC
(7,20),-1.54048 # DEPENDENCYPART_ARC
(7,21),-1.5207 # DEPENDENCYPART_ARC
(7,22),-1.08766 # DEPENDENCYPART_ARC
(7,23),-2.27827 # DEPENDENCYPART_ARC
(7,24),-1.60037 # DEPENDENCYPART_ARC
(7,25),-2.52332 # DEPENDENCYPART_ARC
(7,26),-2.55657 # DEPENDENCYPART_ARC
(7,27),-1.66567 # DEPENDENCYPART_ARC
(7,28),-1.21659 # DEPENDENCYPART_ARC
(7,29),-1.88185 # DEPENDENCYPART_ARC
(7,30),-2.91489 # DEPENDENCYPART_ARC
(7,31),-2.04703 # DEPENDENCYPART_ARC
(7,32),-1.90694 # DEPENDENCYPART_ARC
(7,33),-1.46834 # DEPENDENCYPART_ARC
(7,34),-1.65998 # DEPENDENCYPART_ARC
(7,35),-3.47913 # DEPENDENCYPART_ARC
(8,1),-0.345035 # DEPENDENCYPART_ARC
(8,2),-0.329696 # DEPENDENCYPART_ARC
(8,3),-1.55973 # DEPENDENCYPART_ARC
(8,4),-1.29624 # DEPENDENCYPART_ARC
(8,5),0.851508 # DEPENDENCYPART_ARC
(8,6),3.25265 # DEPENDENCYPART_ARC
(8,7),3.27511 # DEPENDENCYPART_ARC
(8,9),3.26061 # DEPENDENCYPART_ARC
(8,10),0.618773 # DEPENDENCYPART_ARC
(8,11),0.266345 # DEPENDENCYPART_ARC
(8,12),0.605256 # DEPENDENCYPART_ARC
(8,13),0.780783 # DEPENDENCYPART_ARC
(8,14),-0.682059 # DEPENDENCYPART_ARC
(8,15),0.287999 # DEPENDENCYPART_ARC
(8,16),-1.0005 # DEPENDENCYPART_ARC
(8,17),0.281166 # DEPENDENCYPART_ARC
(8,18),0.532319 # DEPENDENCYPART_ARC
(8,19),-1.40296 # DEPENDENCYPART_ARC
(8,20),-0.959584 # DEPENDENCYPART_ARC
(8,21),-0.883292 # DEPENDENCYPART_ARC
(8,22),-0.208502 # DEPENDENCYPART_ARC
(8,23),-2.95345 # DEPENDENCYPART_ARC
(8,24),-0.599828 # DEPENDENCYPART_ARC
(8,25),-1.21614 # DEPENDENCYPART_ARC
(8,26),-1.06314 # DEPENDENCYPART_ARC
(8,27),-1.06714 # DEPENDENCYPART_ARC
(8,28),0.446964 # DEPENDENCYPART_ARC
(8,29),-0.628764 # DEPENDENCYPART_ARC
(8,30),-3.67901 # DEPENDENCYPART_ARC
(8,31),-2.48919 # DEPENDENCYPART_ARC
(8,32),-1.47929 # DEPENDENCYPART_ARC
(8,33),-2.71346 # DEPENDENCYPART_ARC
(8,34),-0.637037 # DEPENDENCYPART_ARC
(8,35),-4.11056 # DEPENDENCYPART_ARC
(9,1),0.123748 # DEPENDENCYPART_ARC
(9,2),0.677599 # DEPENDENCYPART_ARC
(9,3),-1.3094 # DEPENDENCYPART_ARC
(9,4),-1.8593 # DEPENDENCYPART_ARC
(9,5),1.61047 # DEPENDENCYPART_ARC
(9,6),-0.451166 # DEPENDENCYPART_ARC
(9,7),-0.0633613 # DEPENDENCYPART_ARC
(9,8),1.14046 # DEPENDENCYPART_ARC
(9,10),2.17818 # DEPENDENCYPART_ARC
(9,11),-0.744146 # DEPENDENCYPART_ARC
(9,12),-0.741902 # DEPENDENCYPART_ARC
(9,13),-0.345771 # DEPENDENCYPART_ARC
(9,14),-1.53066 # DEPENDENCYPART_ARC
(9,15),-0.785079 # DEPENDENCYPART_ARC
(9,16),-1.96994 # DEPENDENCYPART_ARC
(9,17),-1.68404 # DEPENDENCYPART_ARC
(9,18),0.0326772 # DEPENDENCYPART_ARC
(9,19),-0.708666 # DEPENDENCYPART_ARC
(9,20),-1.62871 # DEPENDENCYPART_ARC
(9,21),-2.6997 # DEPENDENCYPART_ARC
(9,22),-2.26361 # DEPENDENCYPART_ARC
(9,23),-2.314 # DEPENDENCYPART_ARC
(9,24),-1.21223 # DEPENDENCYPART_ARC
(9,25),-2.34385 # DEPENDENCYPART_ARC
(9,26),-2.41325 # DEPENDENCYPART_ARC
(9,27),-2.40452 # DEPENDENCYPART_ARC
(9,28),-0.498334 # DEPENDENCYPART_ARC
(9,29),-3.29786 # DEPENDENCYPART_ARC
(9,30),-2.99314 # DEPENDENCYPART_ARC
(9,31),-2.55553 # DEPENDENCYPART_ARC
(9,32),-3.05647 # DEPENDENCYPART_ARC
(9,33),-4.05331 # DEPENDENCYPART_ARC
(9,34),-4.90581 # DEPENDENCYPART_ARC
(9,35),-3.56237 # DEPENDENCYPART_ARC
(10,1),-1.31711 # DEPENDENCYPART_ARC
(10,2),-1.34343 # DEPENDENCYPART_ARC
(10,3),-2.04455 # DEPENDENCYPART_ARC
(10,4),-1.48977 # DEPENDENCYPART_ARC
(10,5),-0.868306 # DEPENDENCYPART_ARC
(10,6),-0.646609 # DEPENDENCYPART_ARC
(10,7),-1.2357 # DEPENDENCYPART_ARC
(10,8),-1.61164 # DEPENDENCYPART_ARC
(10,9),-0.576819 # DEPENDENCYPART_ARC
(10,11),1.26138 # DEPENDENCYPART_ARC
(10,12),2.86405 # DEPENDENCYPART_ARC
(10,13),0.979282 # DEPENDENCYPART_ARC
(10,14),0.443318 # DEPENDENCYPART_ARC
(10,15),0.0594059 # DEPENDENCYPART_ARC
(10,16),-0.233596 # DEPENDENCYPART_ARC
(10,17),-0.547113 # DEPENDENCYPART_ARC
(10,18),1.06058 # DEPENDENCYPART_ARC
(10,19),-0.835025 # DEPENDENCYPART_ARC
(10,20),-0.39874 # DEPENDENCYPART_ARC
(10,21),-1.00582 # DEPENDENCYPART_ARC
(10,22),-3.39275 # DEPENDENCYPART_ARC
(10,23),-0.0227814 # DEPENDENCYPART_ARC
(10,24),-0.487781 # DEPENDENCYPART_ARC
(10,25),-2.10704 # DEPENDENCYPART_ARC
(10,26),-2.12964 # DEPENDENCYPART_ARC
(10,27),-4.83819 # DEPENDENCYPART_ARC
(10,28),-0.819625 # DEPENDENCYPART_ARC
(10,29),-5.78304 # DEPENDENCYPART_ARC
(10,30),-0.895585 # DEPENDENCYPART_ARC
(10,31),-2.958 # DEPENDENCYPART_ARC
(10,32),-1.4578 # DEPENDENCYPART_ARC
(10,33),-1.61958 # DEPENDENCYPART_ARC
(10,34),-7.0169 # DEPENDENCYPART_ARC
(10,35),-1.30319 # DEPENDENCYPART_ARC
(11,1),-2.40833 # DEPENDENCYPART_ARC
(11,2),-2.28927 # DEPENDENCYPART_ARC
(11,3),-2.83446 # DEPENDENCYPART_ARC
(11,4),-2.30064 # DEPENDENCYPART_ARC
(11,5),-2.16267 # DEPENDENCYPART_ARC
(11,6),-2.21398 # DEPENDENCYPART_ARC
(11,7),-2.42929 # DEPENDENCYPART_ARC
(11,8),-2.10907 # DEPENDENCYPART_ARC
(11,9),-1.81049 # DEPENDENCYPART_ARC
(11,10),-0.412115 # DEPENDENCYPART_ARC
(11,12),-0.42249 # DEPENDENCYPART_ARC
(11,13),-1.18245 # DEPENDENCYPART_ARC
(11,14),-0.595256 # DEPENDENCYPART_ARC
(11,15),-1.90175 # DEPENDENCYPART_ARC
(11,16),-1.86591 # DEPENDENCYPART_ARC
(11,17),-1.97939 # DEPENDENCYPART_ARC
(11,18),-0.164189 # DEPENDENCYPART_ARC
(11,19),-1.7861 # DEPENDENCYPART_ARC
(11,20),-2.36348 # DEPENDENCYPART_ARC
(11,21),-2.10057 # DEPENDENCYPART_ARC
(11,22),-2.32105 # DEPENDENCYPART_ARC
(11,23),-1.43887 # DEPENDENCYPART_ARC
(11,24),-2.47516 # DEPENDENCYPART_ARC
(11,25),-2.4279 # DEPENDENCYPART_ARC
(11,26),-2.54834 # DEPENDENCYPART_ARC
(11,27),-2.35924 # DEPENDENCYPART_ARC
(11,28),-2.07814 # DEPENDENCYPART_ARC
(11,29),-2.45333 # DEPENDENCYPART_ARC
(11,30),-1.64978 # DEPENDENCYPART_ARC
(11,31),-2.18997 # DEPENDENCYPART_ARC
(11,32),-2.44942 # DEPENDENCYPART_ARC
(11,33),-2.7125 # DEPENDENCYPART_ARC
(11,34),-2.58289 # DEPENDENCYPART_ARC
(11,35),-1.92495 # DEPENDENCYPART_ARC
(12,1),-0.795248 # DEPENDENCYPART_ARC
(12,2),-1.53882 # DEPENDENCYPART_ARC
(12,3),-2.19116 # DEPENDENCYPART_ARC
(12,4),-1.7454 # DEPENDENCYPART_ARC
(12,5),-0.619035 # DEPENDENCYPART_ARC
(12,6),0.674568 # DEPENDENCYPART_ARC
(12,7),-0.0444819 # DEPENDENCYPART_ARC
(12,8),-2.11304 # DEPENDENCYPART_ARC
(12,9),-0.0773106 # DEPENDENCYPART_ARC
(12,10),1.03175 # DEPENDENCYPART_ARC
(12,11),2.39815 # DEPENDENCYPART_ARC
(12,13),3.4296 # DEPENDENCYPART_ARC
(12,14),0.621146 # DEPENDENCYPART_ARC
(12,15),1.90777 # DEPENDENCYPART_ARC
(12,16),1.41957 # DEPENDENCYPART_ARC
(12,17),1.02636 # DEPENDENCYPART_ARC
(12,18),1.21168 # DEPENDENCYPART_ARC
(12,19),0.0498182 # DEPENDENCYPART_ARC
(12,20),-0.237146 # DEPENDENCYPART_ARC
(12,21),-0.176942 # DEPENDENCYPART_ARC
(12,22),0.118035 # DEPENDENCYPART_ARC
(12,23),-1.99138 # DEPENDENCYPART_ARC
(12,24),0.131422 # DEPENDENCYPART_ARC
(12,25),-1.35648 # DEPENDENCYPART_ARC
(12,26),-1.10747 # DEPENDENCYPART_ARC
(12,27),-0.993851 # DEPENDENCYPART_ARC
(12,28),1.05454 # DEPENDENCYPART_ARC
(12,29),-0.457751 # DEPENDENCYPART_ARC
(12,30),-2.35265 # DEPENDENCYPART_ARC
(12,31),-1.65413 # DEPENDENCYPART_ARC
(12,32),-0.642837 # DEPENDENCYPART_ARC
(12,33),-0.984961 # DEPENDENCYPART_ARC
(12,34),-0.650606 # DEPENDENCYPART_ARC
(12,35),-3.02154 # DEPENDENCYPART_ARC
(13,1),-2.04087 # DEPENDENCYPART_ARC
(13,2),-2.54444 # DEPENDENCYPART_ARC
(13,3),-3.60598 # DEPENDENCYPART_ARC
(13,4),-3.03295 # DEPENDENCYPART_ARC
(13,5),-1.58937 # DEPENDENCYPART_ARC
(13,6),-0.205176 # DEPENDENCYPART_ARC
(13,7),-1.37583 # DEPENDENCYPART_ARC
(13,8),-2.93615 # DEPENDENCYPART_ARC
(13,9),-1.10803 # DEPENDENCYPART_ARC
(13,10),-0.531514 # DEPENDENCYPART_ARC
(13,11),0.0720568 # DEPENDENCYPART_ARC
(13,12),-0.117586 # DEPENDENCYPART_ARC
(13,14),1.93738 # DEPENDENCYPART_ARC
(13,15),0.676847 # DEPENDENCYPART_ARC
(13,16),-0.0464534 # DEPENDENCYPART_ARC
(13,17),0.797871 # DEPENDENCYPART_ARC
(13,18),0.464428 # DEPENDENCYPART_ARC
(13,19),-0.747243 # DEPENDENCYPART_ARC
(13,20),-1.25529 # DEPENDENCYPART_ARC
(13,21),-0.900995 # DEPENDENCYPART_ARC
(13,22),-0.654072 # DEPENDENCYPART_ARC
(13,23),-1.94414 # DEPENDENCYPART_ARC
(13,24),-1.51576 # DEPENDENCYPART_ARC
(13,25),-1.77172 # DEPENDENCYPART_ARC
(13,26),-1.6267 # DEPENDENCYPART_ARC
(13,27),-1.00816 # DEPENDENCYPART_ARC
(13,28),0.302636 # DEPENDENCYPART_ARC
(13,29),-0.770848 # DEPENDENCYPART_ARC
(13,30),-2.45232 # DEPENDENCYPART_ARC
(13,31),-2.2938 # DEPENDENCYPART_ARC
(13,32),-1.44563 # DEPENDENCYPART_ARC
(13,33),-2.53825 # DEPENDENCYPART_ARC
(13,34),-1.26159 # DEPENDENCYPART_ARC
(13,35),-3.19433 # DEPENDENCYPART_ARC
(14,1),-1.86242 # DEPENDENCYPART_ARC
(14,2),-1.88106 # DEPENDENCYPART_ARC
(14,3),-2.53395 # DEPENDENCYPART_ARC
(14,4),-1.9468 # DEPENDENCYPART_ARC
(14,5),-1.77175 # DEPENDENCYPART_ARC
(14,6),-1.91315 # DEPENDENCYPART_ARC
(14,7),-2.15317 # DEPENDENCYPART_ARC
(14,8),-2.20752 # DEPENDENCYPART_ARC
(14,9),-2.35821 # DEPENDENCYPART_ARC
(14,10),-1.30512 # DEPENDENCYPART_ARC
(14,11),-1.24529 # DEPENDENCYPART_ARC
(14,12),-1.39219 # DEPENDENCYPART_ARC
(14,13),-0.527217 # DEPENDENCYPART_ARC
(14,15),-0.398991 # DEPENDENCYPART_ARC
(14,16),-0.638111 # DEPENDENCYPART_ARC
(14,17),-0.95747 # DEPENDENCYPART_ARC
(14,18),0.631465 # DEPENDENCYPART_ARC
(14,19),-1.01639 # DEPENDENCYPART_ARC
(14,20),-1.61472 # DEPENDENCYPART_ARC
(14,21),-1.43352 # DEPENDENCYPART_ARC
(14,22),-1.62529 # DEPENDENCYPART_ARC
(14,23),-0.615425 # DEPENDENCYPART_ARC
(14,24),-1.8221 # DEPENDENCYPART_ARC
(14,25),-1.79828 # DEPENDENCYPART_ARC
(14,26),-1.83527 # DEPENDENCYPART_ARC
