# _root_ 2 ) Quattro edifici in Roma del valore totale , alla sua morte , di circa 5 milioni .
#goldHeads=0,1,4,0,4,5,4,7,8,9,8,13,11,13,8,18,18,15,18,
#predictedHeads=4,1,4,0,4,5,6,7,8,9,7,13,11,13,13,18,18,15,18,
(15,9),-2.06182 # DEPENDENCYPART_ARC
(15,10),-1.78471 # DEPENDENCYPART_ARC
(15,11),-1.08578 # DEPENDENCYPART_ARC
(15,12),-1.47371 # DEPENDENCYPART_ARC
(15,13),-1.07291 # DEPENDENCYPART_ARC
(15,14),0.00523257 # DEPENDENCYPART_ARC
(15,16),1.38718 # DEPENDENCYPART_ARC
(15,17),0.808955 # DEPENDENCYPART_ARC
(15,18),1.77917 # DEPENDENCYPART_ARC
(15,19),-0.136425 # DEPENDENCYPART_ARC
(16,1),-2.46996 # DEPENDENCYPART_ARC
(16,2),-2.38897 # DEPENDENCYPART_ARC
(16,3),-2.34245 # DEPENDENCYPART_ARC
(16,4),-3.14759 # DEPENDENCYPART_ARC
(16,5),-2.3232 # DEPENDENCYPART_ARC
(16,6),-3.06132 # DEPENDENCYPART_ARC
(16,7),-2.10053 # DEPENDENCYPART_ARC
(16,8),-2.97363 # DEPENDENCYPART_ARC
(16,9),-2.40854 # DEPENDENCYPART_ARC
(16,10),-2.28271 # DEPENDENCYPART_ARC
(16,11),-1.67295 # DEPENDENCYPART_ARC
(16,12),-2.13672 # DEPENDENCYPART_ARC
(16,13),-2.20746 # DEPENDENCYPART_ARC
(16,14),-1.28008 # DEPENDENCYPART_ARC
(16,15),-0.0801357 # DEPENDENCYPART_ARC
(16,17),0.25861 # DEPENDENCYPART_ARC
(16,18),0.10117 # DEPENDENCYPART_ARC
(16,19),-0.258192 # DEPENDENCYPART_ARC
(17,1),-1.11754 # DEPENDENCYPART_ARC
(17,2),-1.24093 # DEPENDENCYPART_ARC
(17,3),-1.2574 # DEPENDENCYPART_ARC
(17,4),-1.75451 # DEPENDENCYPART_ARC
(17,5),-1.18191 # DEPENDENCYPART_ARC
(17,6),-1.81128 # DEPENDENCYPART_ARC
(17,7),-1.01636 # DEPENDENCYPART_ARC
(17,8),-1.63689 # DEPENDENCYPART_ARC
(17,9),-0.931131 # DEPENDENCYPART_ARC
(17,10),-0.984052 # DEPENDENCYPART_ARC
(17,11),-0.716297 # DEPENDENCYPART_ARC
(17,12),-0.660561 # DEPENDENCYPART_ARC
(17,13),-1.16915 # DEPENDENCYPART_ARC
(17,14),-0.329189 # DEPENDENCYPART_ARC
(17,15),0.443912 # DEPENDENCYPART_ARC
(17,16),1.18488 # DEPENDENCYPART_ARC
(17,18),0.845366 # DEPENDENCYPART_ARC
(17,19),-0.0459714 # DEPENDENCYPART_ARC
(18,1),-0.268713 # DEPENDENCYPART_ARC
(18,2),-2.01473 # DEPENDENCYPART_ARC
(18,3),-0.639096 # DEPENDENCYPART_ARC
(18,4),-0.54113 # DEPENDENCYPART_ARC
(18,5),-1.54506 # DEPENDENCYPART_ARC
(18,6),-0.83909 # DEPENDENCYPART_ARC
(18,7),-1.08116 # DEPENDENCYPART_ARC
(18,8),-1.10932 # DEPENDENCYPART_ARC
(18,9),-1.48709 # DEPENDENCYPART_ARC
(18,10),-2.00803 # DEPENDENCYPART_ARC
(18,11),-0.759289 # DEPENDENCYPART_ARC
(18,12),-0.245948 # DEPENDENCYPART_ARC
(18,13),-1.66714 # DEPENDENCYPART_ARC
(18,14),-1.36986 # DEPENDENCYPART_ARC
(18,15),0.930737 # DEPENDENCYPART_ARC
(18,16),1.99671 # DEPENDENCYPART_ARC
(18,17),2.36082 # DEPENDENCYPART_ARC
(18,19),2.81383 # DEPENDENCYPART_ARC
(19,1),-2.43718 # DEPENDENCYPART_ARC
(19,2),-2.35189 # DEPENDENCYPART_ARC
(19,3),-2.40277 # DEPENDENCYPART_ARC
(19,4),-2.73368 # DEPENDENCYPART_ARC
(19,5),-2.21097 # DEPENDENCYPART_ARC
(19,6),-2.60633 # DEPENDENCYPART_ARC
(19,7),-2.07944 # DEPENDENCYPART_ARC
(19,8),-2.69485 # DEPENDENCYPART_ARC
(19,9),-2.5485 # DEPENDENCYPART_ARC
(19,10),-2.21242 # DEPENDENCYPART_ARC
(19,11),-1.95892 # DEPENDENCYPART_ARC
(19,12),-2.3728 # DEPENDENCYPART_ARC
(19,13),-2.4817 # DEPENDENCYPART_ARC
(19,14),-1.97373 # DEPENDENCYPART_ARC
(19,15),-1.59567 # DEPENDENCYPART_ARC
(19,16),-1.56602 # DEPENDENCYPART_ARC
(19,17),-1.27233 # DEPENDENCYPART_ARC
(19,18),-0.814207 # DEPENDENCYPART_ARC
