# _root_ Mare in tempesta vien fuori tutto da una attenta lettura di William Turner : mare , spruzzi d' acqua , fluire d' onde tra gli scogli intarsiati dal soffio furente del vento e della pioggia .
#goldHeads=4,1,2,0,6,4,4,10,10,7,10,13,11,13,0,15,15,17,18,15,15,21,22,23,26,24,26,27,28,29,29,31,31,31,34,35,
#predictedHeads=4,1,2,0,4,4,4,10,10,7,10,13,11,13,13,15,15,17,18,15,17,21,22,21,26,24,26,27,28,29,29,31,31,31,34,35,
(4,8),-1.42212 # DEPENDENCYPART_ARC
(4,9),0.523141 # DEPENDENCYPART_ARC
(4,10),1.10238 # DEPENDENCYPART_ARC
(4,11),-0.221578 # DEPENDENCYPART_ARC
(4,12),0.0656167 # DEPENDENCYPART_ARC
(4,13),0.2593 # DEPENDENCYPART_ARC
(4,14),-0.91549 # DEPENDENCYPART_ARC
(4,15),-0.395593 # DEPENDENCYPART_ARC
(4,16),0.196706 # DEPENDENCYPART_ARC
(4,17),-0.622224 # DEPENDENCYPART_ARC
(4,18),-0.606565 # DEPENDENCYPART_ARC
(4,19),-1.07303 # DEPENDENCYPART_ARC
(4,20),0.304618 # DEPENDENCYPART_ARC
(4,21),0.252644 # DEPENDENCYPART_ARC
(4,22),-1.54149 # DEPENDENCYPART_ARC
(4,23),-1.79245 # DEPENDENCYPART_ARC
(4,24),-1.46698 # DEPENDENCYPART_ARC
(4,25),-1.68605 # DEPENDENCYPART_ARC
(4,26),-1.96991 # DEPENDENCYPART_ARC
(4,27),-0.845151 # DEPENDENCYPART_ARC
(4,28),-1.96142 # DEPENDENCYPART_ARC
(4,29),-2.88379 # DEPENDENCYPART_ARC
(4,30),-2.55172 # DEPENDENCYPART_ARC
(4,31),-6.11226 # DEPENDENCYPART_ARC
(4,32),-3.11681 # DEPENDENCYPART_ARC
(4,33),-0.202867 # DEPENDENCYPART_ARC
(4,34),-6.66042 # DEPENDENCYPART_ARC
(4,35),-3.70292 # DEPENDENCYPART_ARC
(4,36),-4.55899 # DEPENDENCYPART_ARC
(5,1),-1.47657 # DEPENDENCYPART_ARC
(5,2),-0.201941 # DEPENDENCYPART_ARC
(5,3),-0.886856 # DEPENDENCYPART_ARC
(5,4),0.034183 # DEPENDENCYPART_ARC
(5,6),1.07129 # DEPENDENCYPART_ARC
(5,7),0.496391 # DEPENDENCYPART_ARC
(5,8),0.215334 # DEPENDENCYPART_ARC
(5,9),0.127083 # DEPENDENCYPART_ARC
(5,10),0.207782 # DEPENDENCYPART_ARC
(5,11),0.0405076 # DEPENDENCYPART_ARC
(5,12),-0.0878703 # DEPENDENCYPART_ARC
(5,13),-0.199696 # DEPENDENCYPART_ARC
(5,14),0.195745 # DEPENDENCYPART_ARC
(5,15),-0.368593 # DEPENDENCYPART_ARC
(5,16),0.38633 # DEPENDENCYPART_ARC
(5,17),-0.643346 # DEPENDENCYPART_ARC
(5,18),-0.315252 # DEPENDENCYPART_ARC
(5,19),-0.545717 # DEPENDENCYPART_ARC
(5,20),0.105925 # DEPENDENCYPART_ARC
(5,21),-1.10123 # DEPENDENCYPART_ARC
(5,22),-0.547081 # DEPENDENCYPART_ARC
(5,23),-1.02072 # DEPENDENCYPART_ARC
(5,24),-0.774598 # DEPENDENCYPART_ARC
(5,25),-0.616665 # DEPENDENCYPART_ARC
(5,26),-1.28945 # DEPENDENCYPART_ARC
(5,27),-1.45878 # DEPENDENCYPART_ARC
(5,28),-0.821045 # DEPENDENCYPART_ARC
(5,29),-1.48435 # DEPENDENCYPART_ARC
(5,30),-1.24543 # DEPENDENCYPART_ARC
(5,31),-0.845818 # DEPENDENCYPART_ARC
(5,32),-1.38785 # DEPENDENCYPART_ARC
(5,33),-1.53846 # DEPENDENCYPART_ARC
(5,34),-0.96855 # DEPENDENCYPART_ARC
(5,35),-1.38779 # DEPENDENCYPART_ARC
(5,36),-2.2124 # DEPENDENCYPART_ARC
(6,1),-0.886811 # DEPENDENCYPART_ARC
(6,2),-0.656873 # DEPENDENCYPART_ARC
(6,3),-0.869248 # DEPENDENCYPART_ARC
(6,4),-0.90586 # DEPENDENCYPART_ARC
(6,5),0.93938 # DEPENDENCYPART_ARC
(6,7),1.07954 # DEPENDENCYPART_ARC
(6,8),-0.659407 # DEPENDENCYPART_ARC
(6,9),0.103417 # DEPENDENCYPART_ARC
(6,10),-0.212461 # DEPENDENCYPART_ARC
(6,11),-0.279309 # DEPENDENCYPART_ARC
(6,12),-0.565035 # DEPENDENCYPART_ARC
(6,13),-0.487944 # DEPENDENCYPART_ARC
(6,14),-0.451567 # DEPENDENCYPART_ARC
(6,15),-0.252954 # DEPENDENCYPART_ARC
(6,16),0.00417966 # DEPENDENCYPART_ARC
(6,17),-0.683011 # DEPENDENCYPART_ARC
(6,18),-1.71341 # DEPENDENCYPART_ARC
(6,19),-0.390813 # DEPENDENCYPART_ARC
(6,20),-0.071533 # DEPENDENCYPART_ARC
(6,21),-1.68339 # DEPENDENCYPART_ARC
(6,22),-2.27079 # DEPENDENCYPART_ARC
(6,23),-1.17493 # DEPENDENCYPART_ARC
(6,24),-2.44656 # DEPENDENCYPART_ARC
(6,25),-1.62925 # DEPENDENCYPART_ARC
(6,26),-1.17735 # DEPENDENCYPART_ARC
(6,27),-2.20576 # DEPENDENCYPART_ARC
(6,28),-2.32918 # DEPENDENCYPART_ARC
(6,29),-1.06986 # DEPENDENCYPART_ARC
(6,30),-1.22646 # DEPENDENCYPART_ARC
(6,31),-2.6873 # DEPENDENCYPART_ARC
(6,32),-1.2408 # DEPENDENCYPART_ARC
(6,33),-0.813936 # DEPENDENCYPART_ARC
(6,34),-3.11249 # DEPENDENCYPART_ARC
(6,35),-1.3183 # DEPENDENCYPART_ARC
(6,36),-2.10172 # DEPENDENCYPART_ARC
(7,1),-1.98806 # DEPENDENCYPART_ARC
(7,2),-1.36771 # DEPENDENCYPART_ARC
(7,3),-1.70828 # DEPENDENCYPART_ARC
(7,4),-1.75772 # DEPENDENCYPART_ARC
(7,5),-0.258563 # DEPENDENCYPART_ARC
(7,6),0.123462 # DEPENDENCYPART_ARC
(7,8),0.938974 # DEPENDENCYPART_ARC
(7,9),1.60441 # DEPENDENCYPART_ARC
(7,10),2.29616 # DEPENDENCYPART_ARC
(7,11),0.306893 # DEPENDENCYPART_ARC
(7,12),0.976019 # DEPENDENCYPART_ARC
(7,13),-0.275047 # DEPENDENCYPART_ARC
(7,14),-0.318042 # DEPENDENCYPART_ARC
(7,15),-1.25747 # DEPENDENCYPART_ARC
(7,16),0.0180507 # DEPENDENCYPART_ARC
(7,17),-2.29225 # DEPENDENCYPART_ARC
(7,18),-0.899377 # DEPENDENCYPART_ARC
(7,19),-3.16358 # DEPENDENCYPART_ARC
(7,20),-0.482762 # DEPENDENCYPART_ARC
(7,21),-1.40514 # DEPENDENCYPART_ARC
(7,22),-1.33664 # DEPENDENCYPART_ARC
(7,23),-5.18817 # DEPENDENCYPART_ARC
(7,24),-1.28852 # DEPENDENCYPART_ARC
(7,25),-0.985727 # DEPENDENCYPART_ARC
(7,26),-6.58594 # DEPENDENCYPART_ARC
(7,27),-2.4768 # DEPENDENCYPART_ARC
(7,28),-1.84347 # DEPENDENCYPART_ARC
(7,29),-7.79309 # DEPENDENCYPART_ARC
(7,30),-0.677078 # DEPENDENCYPART_ARC
(7,31),-1.87389 # DEPENDENCYPART_ARC
(7,32),-8.9541 # DEPENDENCYPART_ARC
(7,33),-1.03339 # DEPENDENCYPART_ARC
(7,34),-0.44541 # DEPENDENCYPART_ARC
(7,35),-10.0399 # DEPENDENCYPART_ARC
(7,36),-2.81881 # DEPENDENCYPART_ARC
(8,1),-2.82291 # DEPENDENCYPART_ARC
(8,2),-2.30546 # DEPENDENCYPART_ARC
(8,3),-2.58412 # DEPENDENCYPART_ARC
(8,4),-2.93233 # DEPENDENCYPART_ARC
(8,5),-1.77538 # DEPENDENCYPART_ARC
(8,6),-1.46045 # DEPENDENCYPART_ARC
(8,7),-0.465026 # DEPENDENCYPART_ARC
(8,9),0.289611 # DEPENDENCYPART_ARC
(8,10),0.277265 # DEPENDENCYPART_ARC
(8,11),0.0605138 # DEPENDENCYPART_ARC
(8,12),-0.177382 # DEPENDENCYPART_ARC
(8,13),-0.182618 # DEPENDENCYPART_ARC
(8,14),-0.351738 # DEPENDENCYPART_ARC
(8,15),-0.801943 # DEPENDENCYPART_ARC
(8,16),-0.312451 # DEPENDENCYPART_ARC
(8,17),-0.888723 # DEPENDENCYPART_ARC
(8,18),-0.651851 # DEPENDENCYPART_ARC
(8,19),-0.498649 # DEPENDENCYPART_ARC
(8,20),-0.425563 # DEPENDENCYPART_ARC
(8,21),-1.41325 # DEPENDENCYPART_ARC
(8,22),-1.12636 # DEPENDENCYPART_ARC
(8,23),-0.836122 # DEPENDENCYPART_ARC
(8,24),-1.18219 # DEPENDENCYPART_ARC
(8,25),-1.82029 # DEPENDENCYPART_ARC
(8,26),-1.08808 # DEPENDENCYPART_ARC
(8,27),-2.42687 # DEPENDENCYPART_ARC
(8,28),-1.86243 # DEPENDENCYPART_ARC
(8,29),-1.30913 # DEPENDENCYPART_ARC
(8,30),-1.80679 # DEPENDENCYPART_ARC
(8,31),-1.83576 # DEPENDENCYPART_ARC
(8,32),-1.34827 # DEPENDENCYPART_ARC
(8,33),-1.27498 # DEPENDENCYPART_ARC
(8,34),-1.6244 # DEPENDENCYPART_ARC
(8,35),-0.907062 # DEPENDENCYPART_ARC
(8,36),-1.71689 # DEPENDENCYPART_ARC
(9,1),-1.58635 # DEPENDENCYPART_ARC
(9,2),-0.520534 # DEPENDENCYPART_ARC
(9,3),-1.3935 # DEPENDENCYPART_ARC
(9,4),-1.61236 # DEPENDENCYPART_ARC
(9,5),-0.346002 # DEPENDENCYPART_ARC
(9,6),-0.235618 # DEPENDENCYPART_ARC
(9,7),0.360399 # DEPENDENCYPART_ARC
(9,8),1.45678 # DEPENDENCYPART_ARC
(9,10),0.882017 # DEPENDENCYPART_ARC
(9,11),0.444774 # DEPENDENCYPART_ARC
(9,12),0.110598 # DEPENDENCYPART_ARC
(9,13),0.112399 # DEPENDENCYPART_ARC
(9,14),-0.303792 # DEPENDENCYPART_ARC
(9,15),-0.553593 # DEPENDENCYPART_ARC
(9,16),-0.539727 # DEPENDENCYPART_ARC
(9,17),-0.638583 # DEPENDENCYPART_ARC
(9,18),-0.687934 # DEPENDENCYPART_ARC
(9,19),-0.620825 # DEPENDENCYPART_ARC
(9,20),-0.774078 # DEPENDENCYPART_ARC
(9,21),-1.72045 # DEPENDENCYPART_ARC
(9,22),-1.27259 # DEPENDENCYPART_ARC
(9,23),-1.01811 # DEPENDENCYPART_ARC
(9,24),-1.19865 # DEPENDENCYPART_ARC
(9,25),-1.28188 # DEPENDENCYPART_ARC
(9,26),-0.974773 # DEPENDENCYPART_ARC
(9,27),-1.98204 # DEPENDENCYPART_ARC
(9,28),-1.42988 # DEPENDENCYPART_ARC
(9,29),-1.37226 # DEPENDENCYPART_ARC
(9,30),-1.80509 # DEPENDENCYPART_ARC
(9,31),-1.98497 # DEPENDENCYPART_ARC
(9,32),-1.33353 # DEPENDENCYPART_ARC
(9,33),-1.59745 # DEPENDENCYPART_ARC
(9,34),-2.0541 # DEPENDENCYPART_ARC
(9,35),-1.5426 # DEPENDENCYPART_ARC
(9,36),-3.14471 # DEPENDENCYPART_ARC
(10,1),-2.20964 # DEPENDENCYPART_ARC
(10,2),-0.506738 # DEPENDENCYPART_ARC
(10,3),-1.46422 # DEPENDENCYPART_ARC
(10,4),-1.34011 # DEPENDENCYPART_ARC
(10,5),0.346673 # DEPENDENCYPART_ARC
(10,6),-0.124921 # DEPENDENCYPART_ARC
(10,7),0.528626 # DEPENDENCYPART_ARC
(10,8),3.20547 # DEPENDENCYPART_ARC
(10,9),4.23089 # DEPENDENCYPART_ARC
(10,11),2.81992 # DEPENDENCYPART_ARC
(10,12),1.26304 # DEPENDENCYPART_ARC
(10,13),1.31822 # DEPENDENCYPART_ARC
(10,14),0.142805 # DEPENDENCYPART_ARC
(10,15),1.27534 # DEPENDENCYPART_ARC
(10,16),1.19516 # DEPENDENCYPART_ARC
(10,17),0.864575 # DEPENDENCYPART_ARC
(10,18),0.291071 # DEPENDENCYPART_ARC
(10,19),0.910809 # DEPENDENCYPART_ARC
(10,20),0.588968 # DEPENDENCYPART_ARC
(10,21),0.389074 # DEPENDENCYPART_ARC
(10,22),-0.7834 # DEPENDENCYPART_ARC
(10,23),-0.158946 # DEPENDENCYPART_ARC
(10,24),-0.551431 # DEPENDENCYPART_ARC
(10,25),-0.967654 # DEPENDENCYPART_ARC
(10,26),-0.866856 # DEPENDENCYPART_ARC
(10,27),-1.05613 # DEPENDENCYPART_ARC
(10,28),-1.22887 # DEPENDENCYPART_ARC
(10,29),-0.733381 # DEPENDENCYPART_ARC
(10,30),-0.52795 # DEPENDENCYPART_ARC
(10,31),-2.32987 # DEPENDENCYPART_ARC
(10,32),-1.04771 # DEPENDENCYPART_ARC
(10,33),-0.740206 # DEPENDENCYPART_ARC
(10,34),-2.70875 # DEPENDENCYPART_ARC
(10,35),-0.903066 # DEPENDENCYPART_ARC
(10,36),-5.27306 # DEPENDENCYPART_ARC
(11,1),-2.46581 # DEPENDENCYPART_ARC
(11,2),-1.92275 # DEPENDENCYPART_ARC
(11,3),-2.31409 # DEPENDENCYPART_ARC
(11,4),-2.54006 # DEPENDENCYPART_ARC
(11,5),-1.55006 # DEPENDENCYPART_ARC
(11,6),-1.7864 # DEPENDENCYPART_ARC
(11,7),-1.22431 # DEPENDENCYPART_ARC
(11,8),-1.24747 # DEPENDENCYPART_ARC
(11,9),-1.31813 # DEPENDENCYPART_ARC
(11,10),-0.618816 # DEPENDENCYPART_ARC
(11,12),3.7695 # DEPENDENCYPART_ARC
(11,13),2.15859 # DEPENDENCYPART_ARC
(11,14),-0.435245 # DEPENDENCYPART_ARC
(11,15),-0.189278 # DEPENDENCYPART_ARC
(11,16),-0.01281 # DEPENDENCYPART_ARC
(11,17),-1.9221 # DEPENDENCYPART_ARC
(11,18),-1.28364 # DEPENDENCYPART_ARC
(11,19),-1.91647 # DEPENDENCYPART_ARC
(11,20),-0.0068758 # DEPENDENCYPART_ARC
(11,21),-1.61066 # DEPENDENCYPART_ARC
(11,22),-1.84329 # DEPENDENCYPART_ARC
(11,23),-4.58735 # DEPENDENCYPART_ARC
(11,24),-2.39095 # DEPENDENCYPART_ARC
(11,25),-1.57083 # DEPENDENCYPART_ARC
(11,26),-6.55173 # DEPENDENCYPART_ARC
(11,27),-3.03403 # DEPENDENCYPART_ARC
(11,28),-2.6097 # DEPENDENCYPART_ARC
(11,29),-7.013 # DEPENDENCYPART_ARC
(11,30),-1.57413 # DEPENDENCYPART_ARC
(11,31),-2.87247 # DEPENDENCYPART_ARC
(11,32),-8.34367 # DEPENDENCYPART_ARC
(11,33),-0.442027 # DEPENDENCYPART_ARC
(11,34),-0.708693 # DEPENDENCYPART_ARC
(11,35),-9.07819 # DEPENDENCYPART_ARC
(11,36),-2.77445 # DEPENDENCYPART_ARC
(12,1),-4.54019 # DEPENDENCYPART_ARC
(12,2),-2.27318 # DEPENDENCYPART_ARC
(12,3),-3.80368 # DEPENDENCYPART_ARC
(12,4),-3.76629 # DEPENDENCYPART_ARC
(12,5),-1.74839 # DEPENDENCYPART_ARC
(12,6),-2.26793 # DEPENDENCYPART_ARC
(12,7),-1.52104 # DEPENDENCYPART_ARC
(12,8),-0.0285273 # DEPENDENCYPART_ARC
(12,9),-0.620332 # DEPENDENCYPART_ARC
(12,10),-2.5904 # DEPENDENCYPART_ARC
(12,11),0.265515 # DEPENDENCYPART_ARC
(12,13),2.47456 # DEPENDENCYPART_ARC
(12,14),-0.433127 # DEPENDENCYPART_ARC
(12,15),0.748313 # DEPENDENCYPART_ARC
(12,16),-0.18767 # DEPENDENCYPART_ARC
(12,17),-0.103038 # DEPENDENCYPART_ARC
(12,18),-0.44051 # DEPENDENCYPART_ARC
(12,19),0.147144 # DEPENDENCYPART_ARC
(12,20),-0.552913 # DEPENDENCYPART_ARC
(12,21),-0.466451 # DEPENDENCYPART_ARC
(12,22),-1.43799 # DEPENDENCYPART_ARC
(12,23),-1.33774 # DEPENDENCYPART_ARC
(12,24),-1.62758 # DEPENDENCYPART_ARC
(12,25),-1.61952 # DEPENDENCYPART_ARC
(12,26),-1.76257 # DEPENDENCYPART_ARC
(12,27),-1.5199 # DEPENDENCYPART_ARC
(12,28),-2.41999 # DEPENDENCYPART_ARC
(12,29),-1.49272 # DEPENDENCYPART_ARC
(12,30),-1.58172 # DEPENDENCYPART_ARC
(12,31),-3.20228 # DEPENDENCYPART_ARC
(12,32),-1.83775 # DEPENDENCYPART_ARC
(12,33),-1.80063 # DEPENDENCYPART_ARC
(12,34),-3.63181 # DEPENDENCYPART_ARC
(12,35),-1.6383 # DEPENDENCYPART_ARC
(12,36),-6.21015 # DEPENDENCYPART_ARC
(13,1),-2.54672 # DEPENDENCYPART_ARC
(13,2),-0.902244 # DEPENDENCYPART_ARC
(13,3),-1.80215 # DEPENDENCYPART_ARC
(13,4),-2.26035 # DEPENDENCYPART_ARC
(13,5),-0.278934 # DEPENDENCYPART_ARC
(13,6),-0.647475 # DEPENDENCYPART_ARC
(13,7),-0.338932 # DEPENDENCYPART_ARC
(13,8),0.932631 # DEPENDENCYPART_ARC
(13,9),1.01608 # DEPENDENCYPART_ARC
(13,10),-1.21834 # DEPENDENCYPART_ARC
(13,11),0.863992 # DEPENDENCYPART_ARC
(13,12),4.45639 # DEPENDENCYPART_ARC
(13,14),1.85859 # DEPENDENCYPART_ARC
(13,15),1.46382 # DEPENDENCYPART_ARC
(13,16),1.19568 # DEPENDENCYPART_ARC
(13,17),0.600734 # DEPENDENCYPART_ARC
(13,18),-0.215016 # DEPENDENCYPART_ARC
(13,19),0.901824 # DEPENDENCYPART_ARC
(13,20),0.686577 # DEPENDENCYPART_ARC
(13,21),0.23758 # DEPENDENCYPART_ARC
(13,22),-1.11339 # DEPENDENCYPART_ARC
(13,23),-0.360368 # DEPENDENCYPART_ARC
(13,24),-1.33782 # DEPENDENCYPART_ARC
(13,25),-0.970395 # DEPENDENCYPART_ARC
(13,26),-0.992741 # DEPENDENCYPART_ARC
(13,27),-0.777766 # DEPENDENCYPART_ARC
(13,28),-2.17544 # DEPENDENCYPART_ARC
(13,29),-0.568876 # DEPENDENCYPART_ARC
(13,30),-1.33305 # DEPENDENCYPART_ARC
(13,31),-2.6874 # DEPENDENCYPART_ARC
(13,32),-0.974156 # DEPENDENCYPART_ARC
(13,33),-0.716875 # DEPENDENCYPART_ARC
(13,34),-3.13401 # DEPENDENCYPART_ARC
(13,35),-0.992096 # DEPENDENCYPART_ARC
(13,36),-4.45676 # DEPENDENCYPART_ARC
(14,1),-2.22623 # DEPENDENCYPART_ARC
(14,2),-1.741 # DEPENDENCYPART_ARC
(14,3),-2.32009 # DEPENDENCYPART_ARC
(14,4),-2.47284 # DEPENDENCYPART_ARC
(14,5),-1.85116 # DEPENDENCYPART_ARC
(14,6),-1.76091 # DEPENDENCYPART_ARC
(14,7),-1.43111 # DEPENDENCYPART_ARC
(14,8),-1.46132 # DEPENDENCYPART_ARC
(14,9),-1.81087 # DEPENDENCYPART_ARC
(14,10),-1.74326 # DEPENDENCYPART_ARC
(14,11),-0.825773 # DEPENDENCYPART_ARC
(14,12),-1.23054 # DEPENDENCYPART_ARC
