# _root_ E in due giorni ti insegnano come vincere paure , stress , insicurezze .
#goldHeads=6,6,4,2,6,0,6,7,8,9,9,9,9,13,
#predictedHeads=6,6,4,2,6,0,6,7,8,9,9,9,9,13,
(5,1),-1.01413 # DEPENDENCYPART_ARC
(5,2),-0.448885 # DEPENDENCYPART_ARC
(5,3),-0.415461 # DEPENDENCYPART_ARC
(5,4),-0.684089 # DEPENDENCYPART_ARC
(5,6),-0.0462769 # DEPENDENCYPART_ARC
(5,7),-1.06567 # DEPENDENCYPART_ARC
(5,8),-1.19446 # DEPENDENCYPART_ARC
(5,9),-1.72668 # DEPENDENCYPART_ARC
(5,10),-1.63869 # DEPENDENCYPART_ARC
(5,11),-1.69813 # DEPENDENCYPART_ARC
(5,12),-1.59886 # DEPENDENCYPART_ARC
(5,13),-1.89319 # DEPENDENCYPART_ARC
(5,14),-1.85388 # DEPENDENCYPART_ARC
(6,1),0.823984 # DEPENDENCYPART_ARC
(6,2),1.67558 # DEPENDENCYPART_ARC
(6,3),0.574363 # DEPENDENCYPART_ARC
(6,4),1.54482 # DEPENDENCYPART_ARC
(6,5),3.12037 # DEPENDENCYPART_ARC
(6,7),2.58166 # DEPENDENCYPART_ARC
(6,8),1.78039 # DEPENDENCYPART_ARC
(6,9),1.26978 # DEPENDENCYPART_ARC
(6,10),0.891859 # DEPENDENCYPART_ARC
(6,11),0.439938 # DEPENDENCYPART_ARC
(6,12),0.803179 # DEPENDENCYPART_ARC
(6,13),-0.233357 # DEPENDENCYPART_ARC
(6,14),-0.275206 # DEPENDENCYPART_ARC
(7,1),-1.18944 # DEPENDENCYPART_ARC
(7,2),-1.33798 # DEPENDENCYPART_ARC
(7,3),-1.29156 # DEPENDENCYPART_ARC
(7,4),-1.31462 # DEPENDENCYPART_ARC
(7,5),-0.474582 # DEPENDENCYPART_ARC
(7,6),-0.315355 # DEPENDENCYPART_ARC
(7,8),2.72611 # DEPENDENCYPART_ARC
(7,9),0.626577 # DEPENDENCYPART_ARC
(7,10),0.840489 # DEPENDENCYPART_ARC
(7,11),0.176361 # DEPENDENCYPART_ARC
(7,12),0.422005 # DEPENDENCYPART_ARC
(7,13),0.0652333 # DEPENDENCYPART_ARC
(7,14),-0.0854662 # DEPENDENCYPART_ARC
(8,1),-0.191888 # DEPENDENCYPART_ARC
(8,2),0.207576 # DEPENDENCYPART_ARC
(8,3),-0.888881 # DEPENDENCYPART_ARC
(8,4),-0.827715 # DEPENDENCYPART_ARC
(8,5),1.19027 # DEPENDENCYPART_ARC
(8,6),1.04409 # DEPENDENCYPART_ARC
(8,7),1.24322 # DEPENDENCYPART_ARC
(8,9),2.51959 # DEPENDENCYPART_ARC
(8,10),0.110089 # DEPENDENCYPART_ARC
(8,11),0.040236 # DEPENDENCYPART_ARC
(8,12),-0.38877 # DEPENDENCYPART_ARC
(8,13),-0.431922 # DEPENDENCYPART_ARC
(8,14),-1.15604 # DEPENDENCYPART_ARC
(9,1),-1.35668 # DEPENDENCYPART_ARC
(9,2),-0.844032 # DEPENDENCYPART_ARC
(9,3),-0.542882 # DEPENDENCYPART_ARC
(9,4),-0.765425 # DEPENDENCYPART_ARC
(9,5),-1.10014 # DEPENDENCYPART_ARC
(9,6),-1.56451 # DEPENDENCYPART_ARC
(9,7),0.412695 # DEPENDENCYPART_ARC
(9,8),0.381286 # DEPENDENCYPART_ARC
(9,10),2.23159 # DEPENDENCYPART_ARC
(9,11),1.85965 # DEPENDENCYPART_ARC
(9,12),1.69801 # DEPENDENCYPART_ARC
(9,13),1.7768 # DEPENDENCYPART_ARC
(9,14),0.0457933 # DEPENDENCYPART_ARC
(10,1),-2.26216 # DEPENDENCYPART_ARC
(10,2),-2.13769 # DEPENDENCYPART_ARC
(10,3),-2.28511 # DEPENDENCYPART_ARC
(10,4),-2.57887 # DEPENDENCYPART_ARC
(10,5),-2.16095 # DEPENDENCYPART_ARC
(10,6),-2.72303 # DEPENDENCYPART_ARC
(10,7),-1.71454 # DEPENDENCYPART_ARC
(10,8),-1.70138 # DEPENDENCYPART_ARC
(10,9),-0.914072 # DEPENDENCYPART_ARC
(10,11),-0.895565 # DEPENDENCYPART_ARC
(10,12),-0.77542 # DEPENDENCYPART_ARC
(10,13),-2.09058 # DEPENDENCYPART_ARC
(10,14),-1.05901 # DEPENDENCYPART_ARC
(11,1),-1.49663 # DEPENDENCYPART_ARC
(11,2),-1.47646 # DEPENDENCYPART_ARC
(11,3),-0.990619 # DEPENDENCYPART_ARC
(11,4),-1.0545 # DEPENDENCYPART_ARC
(11,5),-1.89278 # DEPENDENCYPART_ARC
(11,6),-2.41126 # DEPENDENCYPART_ARC
(11,7),-0.624648 # DEPENDENCYPART_ARC
(11,8),-1.58259 # DEPENDENCYPART_ARC
(11,9),-0.289396 # DEPENDENCYPART_ARC
(11,10),0.645815 # DEPENDENCYPART_ARC
(11,12),1.4916 # DEPENDENCYPART_ARC
(11,13),1.37377 # DEPENDENCYPART_ARC
(11,14),0.656689 # DEPENDENCYPART_ARC
(12,1),-2.36001 # DEPENDENCYPART_ARC
(12,2),-2.18253 # DEPENDENCYPART_ARC
(12,3),-2.38827 # DEPENDENCYPART_ARC
(12,4),-2.69005 # DEPENDENCYPART_ARC
(12,5),-2.26344 # DEPENDENCYPART_ARC
(12,6),-2.90593 # DEPENDENCYPART_ARC
(12,7),-2.16277 # DEPENDENCYPART_ARC
(12,8),-2.64718 # DEPENDENCYPART_ARC
(12,9),-1.99256 # DEPENDENCYPART_ARC
(12,10),-1.26657 # DEPENDENCYPART_ARC
(12,11),-0.922866 # DEPENDENCYPART_ARC
(12,13),-0.998552 # DEPENDENCYPART_ARC
(12,14),-0.817812 # DEPENDENCYPART_ARC
(13,1),-1.58476 # DEPENDENCYPART_ARC
(13,2),-2.00082 # DEPENDENCYPART_ARC
(13,3),-1.2392 # DEPENDENCYPART_ARC
(13,4),-1.94726 # DEPENDENCYPART_ARC
(13,5),-1.84645 # DEPENDENCYPART_ARC
(13,6),-2.56888 # DEPENDENCYPART_ARC
(13,7),-1.01071 # DEPENDENCYPART_ARC
(13,8),-2.08951 # DEPENDENCYPART_ARC
(13,9),-1.00666 # DEPENDENCYPART_ARC
(13,10),-1.19305 # DEPENDENCYPART_ARC
(13,11),-0.567135 # DEPENDENCYPART_ARC
(13,12),0.619277 # DEPENDENCYPART_ARC
(13,14),2.7315 # DEPENDENCYPART_ARC
(14,1),-2.1412 # DEPENDENCYPART_ARC
(14,2),-2.16443 # DEPENDENCYPART_ARC
(14,3),-2.44305 # DEPENDENCYPART_ARC
(14,4),-2.64422 # DEPENDENCYPART_ARC
(14,5),-2.28467 # DEPENDENCYPART_ARC
(14,6),-2.92359 # DEPENDENCYPART_ARC
(14,7),-2.03231 # DEPENDENCYPART_ARC
(14,8),-2.7376 # DEPENDENCYPART_ARC
(14,9),-2.35252 # DEPENDENCYPART_ARC
(14,10),-1.86646 # DEPENDENCYPART_ARC
(14,11),-1.90772 # DEPENDENCYPART_ARC
(14,12),-1.15232 # DEPENDENCYPART_ARC
(14,13),-0.830718 # DEPENDENCYPART_ARC
