# _root_ Come padre Pietro Turati , bresciano , accoltellato nel febbraio 1991 nel villaggio somalo in cui dirigeva un lebbrosario .
#goldHeads=0,1,4,2,4,4,6,2,8,9,10,8,12,13,17,15,13,19,17,19,
#predictedHeads=4,1,4,17,4,4,6,4,8,9,10,8,12,13,17,15,0,19,17,19,
(6,3),-1.13787 # DEPENDENCYPART_ARC
(6,4),-0.79877 # DEPENDENCYPART_ARC
(6,5),0.805433 # DEPENDENCYPART_ARC
(6,7),2.3821 # DEPENDENCYPART_ARC
(6,8),0.647777 # DEPENDENCYPART_ARC
(6,9),0.417827 # DEPENDENCYPART_ARC
(6,10),-0.194424 # DEPENDENCYPART_ARC
(6,11),-0.482505 # DEPENDENCYPART_ARC
(6,12),-0.0771079 # DEPENDENCYPART_ARC
(6,13),-0.357076 # DEPENDENCYPART_ARC
(6,14),-0.215728 # DEPENDENCYPART_ARC
(6,15),-0.365555 # DEPENDENCYPART_ARC
(6,16),-1.63862 # DEPENDENCYPART_ARC
(6,17),-2.09504 # DEPENDENCYPART_ARC
(6,18),-0.975207 # DEPENDENCYPART_ARC
(6,19),-0.707483 # DEPENDENCYPART_ARC
(6,20),-0.863231 # DEPENDENCYPART_ARC
(7,1),-1.75518 # DEPENDENCYPART_ARC
(7,2),-2.18358 # DEPENDENCYPART_ARC
(7,3),-2.06672 # DEPENDENCYPART_ARC
(7,4),-1.75447 # DEPENDENCYPART_ARC
(7,5),-1.07155 # DEPENDENCYPART_ARC
(7,6),-0.513533 # DEPENDENCYPART_ARC
(7,8),-0.679402 # DEPENDENCYPART_ARC
(7,9),-1.99702 # DEPENDENCYPART_ARC
(7,10),-1.94466 # DEPENDENCYPART_ARC
(7,11),-1.92687 # DEPENDENCYPART_ARC
(7,12),-2.30356 # DEPENDENCYPART_ARC
(7,13),-2.32732 # DEPENDENCYPART_ARC
(7,14),-2.52414 # DEPENDENCYPART_ARC
(7,15),-2.44805 # DEPENDENCYPART_ARC
(7,16),-2.46532 # DEPENDENCYPART_ARC
(7,17),-2.23683 # DEPENDENCYPART_ARC
(7,18),-2.42935 # DEPENDENCYPART_ARC
(7,19),-2.61437 # DEPENDENCYPART_ARC
(7,20),-1.64747 # DEPENDENCYPART_ARC
(8,1),-0.152058 # DEPENDENCYPART_ARC
(8,2),-0.218036 # DEPENDENCYPART_ARC
(8,3),-0.183434 # DEPENDENCYPART_ARC
(8,4),-0.00919094 # DEPENDENCYPART_ARC
(8,5),-1.63678 # DEPENDENCYPART_ARC
(8,6),-0.105982 # DEPENDENCYPART_ARC
(8,7),-0.104026 # DEPENDENCYPART_ARC
(8,9),3.06047 # DEPENDENCYPART_ARC
(8,10),1.00654 # DEPENDENCYPART_ARC
(8,11),0.044709 # DEPENDENCYPART_ARC
(8,12),1.64293 # DEPENDENCYPART_ARC
(8,13),-0.157347 # DEPENDENCYPART_ARC
(8,14),-0.427955 # DEPENDENCYPART_ARC
(8,15),0.704965 # DEPENDENCYPART_ARC
(8,16),-1.34466 # DEPENDENCYPART_ARC
(8,17),-1.27756 # DEPENDENCYPART_ARC
(8,18),-2.41017 # DEPENDENCYPART_ARC
(8,19),-0.587986 # DEPENDENCYPART_ARC
(8,20),-1.23646 # DEPENDENCYPART_ARC
(9,1),-1.429 # DEPENDENCYPART_ARC
(9,2),-2.4802 # DEPENDENCYPART_ARC
(9,3),-2.45052 # DEPENDENCYPART_ARC
(9,4),-2.26298 # DEPENDENCYPART_ARC
(9,5),-1.47962 # DEPENDENCYPART_ARC
(9,6),-1.28206 # DEPENDENCYPART_ARC
(9,7),-0.76681 # DEPENDENCYPART_ARC
(9,8),-0.620411 # DEPENDENCYPART_ARC
(9,10),3.58266 # DEPENDENCYPART_ARC
(9,11),0.730997 # DEPENDENCYPART_ARC
(9,12),0.546733 # DEPENDENCYPART_ARC
(9,13),0.277778 # DEPENDENCYPART_ARC
(9,14),-0.623875 # DEPENDENCYPART_ARC
(9,15),-1.01466 # DEPENDENCYPART_ARC
(9,16),-0.103768 # DEPENDENCYPART_ARC
(9,17),-1.94158 # DEPENDENCYPART_ARC
(9,18),-1.7106 # DEPENDENCYPART_ARC
(9,19),-3.18678 # DEPENDENCYPART_ARC
(9,20),-0.862842 # DEPENDENCYPART_ARC
(10,1),-2.72133 # DEPENDENCYPART_ARC
(10,2),-3.23593 # DEPENDENCYPART_ARC
(10,3),-3.32301 # DEPENDENCYPART_ARC
(10,4),-3.63439 # DEPENDENCYPART_ARC
(10,5),-3.19247 # DEPENDENCYPART_ARC
(10,6),-1.39524 # DEPENDENCYPART_ARC
(10,7),-2.69533 # DEPENDENCYPART_ARC
(10,8),-0.567295 # DEPENDENCYPART_ARC
(10,9),0.486822 # DEPENDENCYPART_ARC
(10,11),1.94708 # DEPENDENCYPART_ARC
(10,12),0.860256 # DEPENDENCYPART_ARC
(10,13),0.857513 # DEPENDENCYPART_ARC
(10,14),1.47747 # DEPENDENCYPART_ARC
(10,15),0.535992 # DEPENDENCYPART_ARC
(10,16),-0.843272 # DEPENDENCYPART_ARC
(10,17),0.549054 # DEPENDENCYPART_ARC
(10,18),-0.597587 # DEPENDENCYPART_ARC
(10,19),-0.930293 # DEPENDENCYPART_ARC
(10,20),-0.971937 # DEPENDENCYPART_ARC
(11,1),-1.19435 # DEPENDENCYPART_ARC
(11,2),-1.6035 # DEPENDENCYPART_ARC
(11,3),-1.57984 # DEPENDENCYPART_ARC
(11,4),-1.48448 # DEPENDENCYPART_ARC
(11,5),-0.938062 # DEPENDENCYPART_ARC
(11,6),-0.696497 # DEPENDENCYPART_ARC
(11,7),-0.741253 # DEPENDENCYPART_ARC
(11,8),-0.822473 # DEPENDENCYPART_ARC
(11,9),0.367481 # DEPENDENCYPART_ARC
(11,10),0.484435 # DEPENDENCYPART_ARC
(11,12),0.51857 # DEPENDENCYPART_ARC
(11,13),0.101113 # DEPENDENCYPART_ARC
(11,14),-0.284146 # DEPENDENCYPART_ARC
(11,15),-0.770389 # DEPENDENCYPART_ARC
(11,16),-0.7345 # DEPENDENCYPART_ARC
(11,17),-0.850554 # DEPENDENCYPART_ARC
(11,18),-1.04 # DEPENDENCYPART_ARC
(11,19),-0.923617 # DEPENDENCYPART_ARC
(11,20),-0.725914 # DEPENDENCYPART_ARC
(12,1),-1.56397 # DEPENDENCYPART_ARC
(12,2),-2.53642 # DEPENDENCYPART_ARC
(12,3),-2.48605 # DEPENDENCYPART_ARC
(12,4),-2.43615 # DEPENDENCYPART_ARC
(12,5),-1.61205 # DEPENDENCYPART_ARC
(12,6),-1.76169 # DEPENDENCYPART_ARC
(12,7),-1.49266 # DEPENDENCYPART_ARC
(12,8),-2.33195 # DEPENDENCYPART_ARC
(12,9),-0.562712 # DEPENDENCYPART_ARC
(12,10),-1.18767 # DEPENDENCYPART_ARC
(12,11),0.172074 # DEPENDENCYPART_ARC
(12,13),3.48085 # DEPENDENCYPART_ARC
(12,14),0.537941 # DEPENDENCYPART_ARC
(12,15),-0.324877 # DEPENDENCYPART_ARC
(12,16),0.498584 # DEPENDENCYPART_ARC
(12,17),-1.20157 # DEPENDENCYPART_ARC
(12,18),-1.3199 # DEPENDENCYPART_ARC
(12,19),-1.94823 # DEPENDENCYPART_ARC
(12,20),-0.316791 # DEPENDENCYPART_ARC
(13,1),-2.86824 # DEPENDENCYPART_ARC
(13,2),-3.09006 # DEPENDENCYPART_ARC
(13,3),-3.19267 # DEPENDENCYPART_ARC
(13,4),-3.4888 # DEPENDENCYPART_ARC
(13,5),-3.38619 # DEPENDENCYPART_ARC
(13,6),-1.76936 # DEPENDENCYPART_ARC
(13,7),-3.24425 # DEPENDENCYPART_ARC
(13,8),-1.48246 # DEPENDENCYPART_ARC
(13,9),-0.958591 # DEPENDENCYPART_ARC
(13,10),-1.72668 # DEPENDENCYPART_ARC
(13,11),-0.256312 # DEPENDENCYPART_ARC
(13,12),0.753586 # DEPENDENCYPART_ARC
(13,14),3.01082 # DEPENDENCYPART_ARC
(13,15),1.03568 # DEPENDENCYPART_ARC
(13,16),-0.614574 # DEPENDENCYPART_ARC
(13,17),0.87323 # DEPENDENCYPART_ARC
(13,18),-0.550328 # DEPENDENCYPART_ARC
(13,19),-0.448554 # DEPENDENCYPART_ARC
(13,20),-0.287124 # DEPENDENCYPART_ARC
(14,1),-1.36129 # DEPENDENCYPART_ARC
(14,2),-2.102 # DEPENDENCYPART_ARC
(14,3),-2.13072 # DEPENDENCYPART_ARC
(14,4),-1.95522 # DEPENDENCYPART_ARC
(14,5),-1.63557 # DEPENDENCYPART_ARC
(14,6),-1.72449 # DEPENDENCYPART_ARC
(14,7),-1.5674 # DEPENDENCYPART_ARC
(14,8),-2.42838 # DEPENDENCYPART_ARC
(14,9),-0.478153 # DEPENDENCYPART_ARC
(14,10),-1.18247 # DEPENDENCYPART_ARC
(14,11),-0.0584348 # DEPENDENCYPART_ARC
(14,12),0.308646 # DEPENDENCYPART_ARC
(14,13),0.51321 # DEPENDENCYPART_ARC
(14,15),0.457973 # DEPENDENCYPART_ARC
(14,16),-1.20391 # DEPENDENCYPART_ARC
(14,17),-1.25978 # DEPENDENCYPART_ARC
(14,18),-0.995982 # DEPENDENCYPART_ARC
(14,19),-0.538373 # DEPENDENCYPART_ARC
(14,20),-0.592342 # DEPENDENCYPART_ARC
(15,1),-1.80399 # DEPENDENCYPART_ARC
(15,2),-1.98466 # DEPENDENCYPART_ARC
(15,3),-1.99449 # DEPENDENCYPART_ARC
(15,4),-2.04002 # DEPENDENCYPART_ARC
(15,5),-1.8554 # DEPENDENCYPART_ARC
(15,6),-2.00617 # DEPENDENCYPART_ARC
(15,7),-1.79169 # DEPENDENCYPART_ARC
(15,8),-2.0462 # DEPENDENCYPART_ARC
(15,9),-1.10994 # DEPENDENCYPART_ARC
(15,10),-1.5111 # DEPENDENCYPART_ARC
(15,11),-1.26561 # DEPENDENCYPART_ARC
(15,12),-0.452964 # DEPENDENCYPART_ARC
(15,13),-0.855258 # DEPENDENCYPART_ARC
(15,14),-0.0357179 # DEPENDENCYPART_ARC
(15,16),3.83726 # DEPENDENCYPART_ARC
(15,17),0.643064 # DEPENDENCYPART_ARC
(15,18),-0.647628 # DEPENDENCYPART_ARC
(15,19),-0.516433 # DEPENDENCYPART_ARC
(15,20),-0.554156 # DEPENDENCYPART_ARC
(16,1),-2.42663 # DEPENDENCYPART_ARC
(16,2),-2.53494 # DEPENDENCYPART_ARC
(16,3),-2.4049 # DEPENDENCYPART_ARC
(16,4),-2.45888 # DEPENDENCYPART_ARC
(16,5),-2.58295 # DEPENDENCYPART_ARC
(16,6),-3.11255 # DEPENDENCYPART_ARC
(16,7),-2.35697 # DEPENDENCYPART_ARC
(16,8),-3.3769 # DEPENDENCYPART_ARC
(16,9),-2.48218 # DEPENDENCYPART_ARC
(16,10),-2.96121 # DEPENDENCYPART_ARC
(16,11),-1.78578 # DEPENDENCYPART_ARC
(16,12),-2.14055 # DEPENDENCYPART_ARC
(16,13),-2.39973 # DEPENDENCYPART_ARC
(16,14),-1.86466 # DEPENDENCYPART_ARC
(16,15),-0.0512716 # DEPENDENCYPART_ARC
(16,17),-0.416736 # DEPENDENCYPART_ARC
(16,18),-1.25383 # DEPENDENCYPART_ARC
(16,19),-0.91718 # DEPENDENCYPART_ARC
(16,20),-1.12531 # DEPENDENCYPART_ARC
(17,1),-0.514259 # DEPENDENCYPART_ARC
(17,2),1.02301 # DEPENDENCYPART_ARC
(17,3),0.738382 # DEPENDENCYPART_ARC
(17,4),0.625449 # DEPENDENCYPART_ARC
(17,5),-2.33106 # DEPENDENCYPART_ARC
(17,6),-0.587492 # DEPENDENCYPART_ARC
(17,7),-2.06139 # DEPENDENCYPART_ARC
(17,8),0.00422537 # DEPENDENCYPART_ARC
(17,9),0.646617 # DEPENDENCYPART_ARC
(17,10),0.516307 # DEPENDENCYPART_ARC
(17,11),-0.229732 # DEPENDENCYPART_ARC
(17,12),0.890838 # DEPENDENCYPART_ARC
(17,13),0.607533 # DEPENDENCYPART_ARC
(17,14),0.221871 # DEPENDENCYPART_ARC
(17,15),2.03138 # DEPENDENCYPART_ARC
(17,16),2.62715 # DEPENDENCYPART_ARC
(17,18),0.0937482 # DEPENDENCYPART_ARC
(17,19),2.69683 # DEPENDENCYPART_ARC
(17,20),0.298972 # DEPENDENCYPART_ARC
(18,1),-2.59854 # DEPENDENCYPART_ARC
(18,2),-3.02696 # DEPENDENCYPART_ARC
(18,3),-3.03891 # DEPENDENCYPART_ARC
(18,4),-3.06295 # DEPENDENCYPART_ARC
(18,5),-2.24627 # DEPENDENCYPART_ARC
(18,6),-2.37141 # DEPENDENCYPART_ARC
(18,7),-2.32732 # DEPENDENCYPART_ARC
(18,8),-3.54784 # DEPENDENCYPART_ARC
(18,9),-2.48937 # DEPENDENCYPART_ARC
(18,10),-2.65205 # DEPENDENCYPART_ARC
(18,11),-2.12882 # DEPENDENCYPART_ARC
(18,12),-2.30887 # DEPENDENCYPART_ARC
(18,13),-2.40246 # DEPENDENCYPART_ARC
(18,14),-1.974 # DEPENDENCYPART_ARC
(18,15),-1.39119 # DEPENDENCYPART_ARC
(18,16),-1.29983 # DEPENDENCYPART_ARC
(18,17),-1.0151 # DEPENDENCYPART_ARC
(18,19),1.09303 # DEPENDENCYPART_ARC
(18,20),-0.0956518 # DEPENDENCYPART_ARC
(19,1),-2.04234 # DEPENDENCYPART_ARC
(19,2),-1.52653 # DEPENDENCYPART_ARC
(19,3),-1.97899 # DEPENDENCYPART_ARC
(19,4),-2.79517 # DEPENDENCYPART_ARC
(19,5),-2.84114 # DEPENDENCYPART_ARC
(19,6),-1.21939 # DEPENDENCYPART_ARC
(19,7),-2.60202 # DEPENDENCYPART_ARC
(19,8),-0.86913 # DEPENDENCYPART_ARC
(19,9),-0.803356 # DEPENDENCYPART_ARC
(19,10),-1.52163 # DEPENDENCYPART_ARC
(19,11),-1.14776 # DEPENDENCYPART_ARC
(19,12),-0.466868 # DEPENDENCYPART_ARC
(19,13),-1.45843 # DEPENDENCYPART_ARC
(19,14),-0.667329 # DEPENDENCYPART_ARC
(19,15),0.0754641 # DEPENDENCYPART_ARC
(19,16),0.422375 # DEPENDENCYPART_ARC
(19,17),-0.243638 # DEPENDENCYPART_ARC
(19,18),3.54006 # DEPENDENCYPART_ARC
(19,20),2.74324 # DEPENDENCYPART_ARC
(20,1),-2.21082 # DEPENDENCYPART_ARC
(20,2),-2.7906 # DEPENDENCYPART_ARC
(20,3),-2.77085 # DEPENDENCYPART_ARC
(20,4),-2.84187 # DEPENDENCYPART_ARC
(20,5),-2.44568 # DEPENDENCYPART_ARC
(20,6),-2.7412 # DEPENDENCYPART_ARC
(20,7),-2.33926 # DEPENDENCYPART_ARC
(20,8),-2.96303 # DEPENDENCYPART_ARC
(20,9),-2.24804 # DEPENDENCYPART_ARC
(20,10),-2.6609 # DEPENDENCYPART_ARC
(20,11),-2.32993 # DEPENDENCYPART_ARC
(20,12),-2.0603 # DEPENDENCYPART_ARC
(20,13),-2.51361 # DEPENDENCYPART_ARC
(20,14),-2.43866 # DEPENDENCYPART_ARC
(20,15),-1.81124 # DEPENDENCYPART_ARC
(20,16),-1.97825 # DEPENDENCYPART_ARC
(20,17),-2.21949 # DEPENDENCYPART_ARC
(20,18),-0.836759 # DEPENDENCYPART_ARC
(20,19),-0.861767 # DEPENDENCYPART_ARC
