# _root_ DAL NOSTRO INVIATO GOTEBORG ­ Piccola marcia antica , semplice e puntuale come la gente per_bene , come la gente che sa esaltar- la .
#goldHeads=3,1,0,0,4,7,0,7,8,7,10,10,10,15,13,15,16,12,20,18,22,20,22,23,24,
#predictedHeads=0,3,1,3,4,7,0,7,8,7,10,10,12,15,13,15,16,15,20,18,23,20,22,23,24,
(4,17),-0.675949 # DEPENDENCYPART_ARC
(4,18),-0.6909 # DEPENDENCYPART_ARC
(4,19),-0.795926 # DEPENDENCYPART_ARC
(4,20),-0.782637 # DEPENDENCYPART_ARC
(4,21),-2.62799 # DEPENDENCYPART_ARC
(4,22),-1.31913 # DEPENDENCYPART_ARC
(4,23),-2.03049 # DEPENDENCYPART_ARC
(4,24),-1.40527 # DEPENDENCYPART_ARC
(4,25),-3.6645 # DEPENDENCYPART_ARC
(5,1),-1.19055 # DEPENDENCYPART_ARC
(5,2),-1.38111 # DEPENDENCYPART_ARC
(5,3),-1.25857 # DEPENDENCYPART_ARC
(5,4),-0.389827 # DEPENDENCYPART_ARC
(5,6),-0.365898 # DEPENDENCYPART_ARC
(5,7),-0.944041 # DEPENDENCYPART_ARC
(5,8),-1.49539 # DEPENDENCYPART_ARC
(5,9),-0.430075 # DEPENDENCYPART_ARC
(5,10),-1.79461 # DEPENDENCYPART_ARC
(5,11),-1.48955 # DEPENDENCYPART_ARC
(5,12),-1.97292 # DEPENDENCYPART_ARC
(5,13),-1.85903 # DEPENDENCYPART_ARC
(5,14),-1.74826 # DEPENDENCYPART_ARC
(5,15),-1.85819 # DEPENDENCYPART_ARC
(5,16),-1.97219 # DEPENDENCYPART_ARC
(5,17),-0.718699 # DEPENDENCYPART_ARC
(5,18),-2.09549 # DEPENDENCYPART_ARC
(5,19),-1.7738 # DEPENDENCYPART_ARC
(5,20),-2.04595 # DEPENDENCYPART_ARC
(5,21),-2.02 # DEPENDENCYPART_ARC
(5,22),-1.84814 # DEPENDENCYPART_ARC
(5,23),-2.06171 # DEPENDENCYPART_ARC
(5,24),-2.46472 # DEPENDENCYPART_ARC
(5,25),-1.49686 # DEPENDENCYPART_ARC
(6,1),-1.5441 # DEPENDENCYPART_ARC
(6,2),-1.88677 # DEPENDENCYPART_ARC
(6,3),-1.48418 # DEPENDENCYPART_ARC
(6,4),-1.26582 # DEPENDENCYPART_ARC
(6,5),0.570533 # DEPENDENCYPART_ARC
(6,7),0.474947 # DEPENDENCYPART_ARC
(6,8),0.557451 # DEPENDENCYPART_ARC
(6,9),0.109317 # DEPENDENCYPART_ARC
(6,10),-0.0182376 # DEPENDENCYPART_ARC
(6,11),0.284777 # DEPENDENCYPART_ARC
(6,12),0.333975 # DEPENDENCYPART_ARC
(6,13),-0.0142778 # DEPENDENCYPART_ARC
(6,14),-1.05801 # DEPENDENCYPART_ARC
(6,15),-1.32193 # DEPENDENCYPART_ARC
(6,16),-1.13598 # DEPENDENCYPART_ARC
(6,17),-0.488777 # DEPENDENCYPART_ARC
(6,18),-0.602818 # DEPENDENCYPART_ARC
(6,19),-1.18407 # DEPENDENCYPART_ARC
(6,20),-1.40968 # DEPENDENCYPART_ARC
(6,21),-2.25439 # DEPENDENCYPART_ARC
(6,22),-1.61787 # DEPENDENCYPART_ARC
(6,23),-2.32151 # DEPENDENCYPART_ARC
(6,24),-1.59451 # DEPENDENCYPART_ARC
(6,25),-2.11119 # DEPENDENCYPART_ARC
(7,1),-0.703449 # DEPENDENCYPART_ARC
(7,2),1.10713 # DEPENDENCYPART_ARC
(7,3),-1.63594 # DEPENDENCYPART_ARC
(7,4),-1.15796 # DEPENDENCYPART_ARC
(7,5),-0.110588 # DEPENDENCYPART_ARC
(7,6),3.59424 # DEPENDENCYPART_ARC
(7,8),3.54132 # DEPENDENCYPART_ARC
(7,9),1.0598 # DEPENDENCYPART_ARC
(7,10),1.68858 # DEPENDENCYPART_ARC
(7,11),1.07248 # DEPENDENCYPART_ARC
(7,12),0.905495 # DEPENDENCYPART_ARC
(7,13),1.52475 # DEPENDENCYPART_ARC
(7,14),0.103188 # DEPENDENCYPART_ARC
(7,15),0.390557 # DEPENDENCYPART_ARC
(7,16),-0.224354 # DEPENDENCYPART_ARC
(7,17),0.37764 # DEPENDENCYPART_ARC
(7,18),0.565593 # DEPENDENCYPART_ARC
(7,19),0.023797 # DEPENDENCYPART_ARC
(7,20),0.127536 # DEPENDENCYPART_ARC
(7,21),-1.52339 # DEPENDENCYPART_ARC
(7,22),0.329668 # DEPENDENCYPART_ARC
(7,23),-0.667525 # DEPENDENCYPART_ARC
(7,24),-0.478645 # DEPENDENCYPART_ARC
(7,25),-1.94412 # DEPENDENCYPART_ARC
(8,1),-0.839732 # DEPENDENCYPART_ARC
(8,2),-1.20015 # DEPENDENCYPART_ARC
(8,3),-1.01642 # DEPENDENCYPART_ARC
(8,4),-0.999282 # DEPENDENCYPART_ARC
(8,5),-0.12395 # DEPENDENCYPART_ARC
(8,6),0.713016 # DEPENDENCYPART_ARC
(8,7),0.828468 # DEPENDENCYPART_ARC
(8,9),2.47725 # DEPENDENCYPART_ARC
(8,10),1.47522 # DEPENDENCYPART_ARC
(8,11),1.33317 # DEPENDENCYPART_ARC
(8,12),1.75516 # DEPENDENCYPART_ARC
(8,13),0.488306 # DEPENDENCYPART_ARC
(8,14),-0.256774 # DEPENDENCYPART_ARC
(8,15),-0.273215 # DEPENDENCYPART_ARC
(8,16),-0.484051 # DEPENDENCYPART_ARC
(8,17),0.988099 # DEPENDENCYPART_ARC
(8,18),0.188334 # DEPENDENCYPART_ARC
(8,19),-0.398528 # DEPENDENCYPART_ARC
(8,20),-0.409665 # DEPENDENCYPART_ARC
(8,21),-1.47144 # DEPENDENCYPART_ARC
(8,22),-0.905496 # DEPENDENCYPART_ARC
(8,23),-1.66187 # DEPENDENCYPART_ARC
(8,24),-0.824145 # DEPENDENCYPART_ARC
(8,25),-0.647504 # DEPENDENCYPART_ARC
(9,1),-1.81491 # DEPENDENCYPART_ARC
(9,2),-2.27505 # DEPENDENCYPART_ARC
(9,3),-2.25821 # DEPENDENCYPART_ARC
(9,4),-2.15228 # DEPENDENCYPART_ARC
(9,5),-1.74125 # DEPENDENCYPART_ARC
(9,6),-1.68027 # DEPENDENCYPART_ARC
(9,7),-1.50448 # DEPENDENCYPART_ARC
(9,8),-0.486797 # DEPENDENCYPART_ARC
(9,10),-0.579553 # DEPENDENCYPART_ARC
(9,11),-1.57533 # DEPENDENCYPART_ARC
(9,12),-1.6632 # DEPENDENCYPART_ARC
(9,13),-1.8245 # DEPENDENCYPART_ARC
(9,14),-1.77997 # DEPENDENCYPART_ARC
(9,15),-1.95145 # DEPENDENCYPART_ARC
(9,16),-2.118 # DEPENDENCYPART_ARC
(9,17),-0.674544 # DEPENDENCYPART_ARC
(9,18),-2.1771 # DEPENDENCYPART_ARC
(9,19),-1.89358 # DEPENDENCYPART_ARC
(9,20),-2.10723 # DEPENDENCYPART_ARC
(9,21),-2.19993 # DEPENDENCYPART_ARC
(9,22),-1.98172 # DEPENDENCYPART_ARC
(9,23),-2.1251 # DEPENDENCYPART_ARC
(9,24),-2.52377 # DEPENDENCYPART_ARC
(9,25),-1.49303 # DEPENDENCYPART_ARC
(10,1),-1.84738 # DEPENDENCYPART_ARC
(10,2),-1.84499 # DEPENDENCYPART_ARC
(10,3),-1.91958 # DEPENDENCYPART_ARC
(10,4),-1.52224 # DEPENDENCYPART_ARC
(10,5),-0.904888 # DEPENDENCYPART_ARC
(10,6),-0.86974 # DEPENDENCYPART_ARC
(10,7),-1.29609 # DEPENDENCYPART_ARC
(10,8),-0.105957 # DEPENDENCYPART_ARC
(10,9),0.699405 # DEPENDENCYPART_ARC
(10,11),1.90751 # DEPENDENCYPART_ARC
(10,12),2.11509 # DEPENDENCYPART_ARC
(10,13),1.04399 # DEPENDENCYPART_ARC
(10,14),-0.364423 # DEPENDENCYPART_ARC
(10,15),-0.339136 # DEPENDENCYPART_ARC
(10,16),-0.347079 # DEPENDENCYPART_ARC
(10,17),0.228361 # DEPENDENCYPART_ARC
(10,18),0.138127 # DEPENDENCYPART_ARC
(10,19),-0.625538 # DEPENDENCYPART_ARC
(10,20),-0.56598 # DEPENDENCYPART_ARC
(10,21),-1.70044 # DEPENDENCYPART_ARC
(10,22),-0.589493 # DEPENDENCYPART_ARC
(10,23),-1.63241 # DEPENDENCYPART_ARC
(10,24),-1.26344 # DEPENDENCYPART_ARC
(10,25),-1.04206 # DEPENDENCYPART_ARC
(11,1),-1.85649 # DEPENDENCYPART_ARC
(11,2),-2.28419 # DEPENDENCYPART_ARC
(11,3),-2.54575 # DEPENDENCYPART_ARC
(11,4),-2.36486 # DEPENDENCYPART_ARC
(11,5),-1.69405 # DEPENDENCYPART_ARC
(11,6),-2.0164 # DEPENDENCYPART_ARC
(11,7),-1.95029 # DEPENDENCYPART_ARC
(11,8),-1.57199 # DEPENDENCYPART_ARC
(11,9),-0.830425 # DEPENDENCYPART_ARC
(11,10),-0.350225 # DEPENDENCYPART_ARC
(11,12),-0.00305766 # DEPENDENCYPART_ARC
(11,13),-1.20748 # DEPENDENCYPART_ARC
(11,14),-1.37271 # DEPENDENCYPART_ARC
(11,15),-1.25081 # DEPENDENCYPART_ARC
(11,16),-1.84405 # DEPENDENCYPART_ARC
(11,17),-0.455115 # DEPENDENCYPART_ARC
(11,18),-1.58437 # DEPENDENCYPART_ARC
(11,19),-1.73671 # DEPENDENCYPART_ARC
(11,20),-1.5344 # DEPENDENCYPART_ARC
(11,21),-1.98278 # DEPENDENCYPART_ARC
(11,22),-1.9639 # DEPENDENCYPART_ARC
(11,23),-2.40328 # DEPENDENCYPART_ARC
(11,24),-2.34028 # DEPENDENCYPART_ARC
(11,25),-1.62468 # DEPENDENCYPART_ARC
(12,1),-2.90208 # DEPENDENCYPART_ARC
(12,2),-2.8181 # DEPENDENCYPART_ARC
(12,3),-2.96515 # DEPENDENCYPART_ARC
(12,4),-2.56925 # DEPENDENCYPART_ARC
(12,5),-2.21364 # DEPENDENCYPART_ARC
(12,6),-2.11317 # DEPENDENCYPART_ARC
(12,7),-2.6865 # DEPENDENCYPART_ARC
(12,8),-1.839 # DEPENDENCYPART_ARC
(12,9),-1.80919 # DEPENDENCYPART_ARC
(12,10),-0.853364 # DEPENDENCYPART_ARC
(12,11),0.0853766 # DEPENDENCYPART_ARC
(12,13),1.60814 # DEPENDENCYPART_ARC
(12,14),-0.0383517 # DEPENDENCYPART_ARC
(12,15),0.211765 # DEPENDENCYPART_ARC
(12,16),-0.144748 # DEPENDENCYPART_ARC
(12,17),0.400633 # DEPENDENCYPART_ARC
(12,18),0.0599078 # DEPENDENCYPART_ARC
(12,19),-0.486829 # DEPENDENCYPART_ARC
(12,20),-0.251549 # DEPENDENCYPART_ARC
(12,21),-1.58641 # DEPENDENCYPART_ARC
(12,22),-0.402042 # DEPENDENCYPART_ARC
(12,23),-1.50702 # DEPENDENCYPART_ARC
(12,24),-1.22033 # DEPENDENCYPART_ARC
(12,25),-0.726798 # DEPENDENCYPART_ARC
(13,1),-1.50731 # DEPENDENCYPART_ARC
(13,2),-2.09415 # DEPENDENCYPART_ARC
(13,3),-1.8388 # DEPENDENCYPART_ARC
(13,4),-1.74431 # DEPENDENCYPART_ARC
(13,5),-1.54029 # DEPENDENCYPART_ARC
(13,6),-1.88885 # DEPENDENCYPART_ARC
(13,7),-1.65522 # DEPENDENCYPART_ARC
(13,8),-1.70047 # DEPENDENCYPART_ARC
(13,9),-1.36865 # DEPENDENCYPART_ARC
(13,10),-1.28255 # DEPENDENCYPART_ARC
(13,11),-0.148779 # DEPENDENCYPART_ARC
(13,12),-0.0743964 # DEPENDENCYPART_ARC
(13,14),1.44332 # DEPENDENCYPART_ARC
(13,15),3.49513 # DEPENDENCYPART_ARC
(13,16),0.478987 # DEPENDENCYPART_ARC
(13,17),1.00422 # DEPENDENCYPART_ARC
(13,18),0.348883 # DEPENDENCYPART_ARC
(13,19),-0.197862 # DEPENDENCYPART_ARC
(13,20),0.543423 # DEPENDENCYPART_ARC
(13,21),-0.182407 # DEPENDENCYPART_ARC
(13,22),-0.0763384 # DEPENDENCYPART_ARC
(13,23),0.0268371 # DEPENDENCYPART_ARC
(13,24),-0.492051 # DEPENDENCYPART_ARC
(13,25),-0.53227 # DEPENDENCYPART_ARC
(14,1),-2.79124 # DEPENDENCYPART_ARC
(14,2),-2.74235 # DEPENDENCYPART_ARC
(14,3),-3.05109 # DEPENDENCYPART_ARC
(14,4),-3.06429 # DEPENDENCYPART_ARC
(14,5),-2.06592 # DEPENDENCYPART_ARC
(14,6),-2.39541 # DEPENDENCYPART_ARC
(14,7),-2.65382 # DEPENDENCYPART_ARC
(14,8),-2.28001 # DEPENDENCYPART_ARC
(14,9),-1.99035 # DEPENDENCYPART_ARC
(14,10),-2.11244 # DEPENDENCYPART_ARC
(14,11),-1.91137 # DEPENDENCYPART_ARC
(14,12),-1.40638 # DEPENDENCYPART_ARC
(14,13),-0.451932 # DEPENDENCYPART_ARC
(14,15),0.870896 # DEPENDENCYPART_ARC
(14,16),-0.736628 # DEPENDENCYPART_ARC
(14,17),-0.48281 # DEPENDENCYPART_ARC
(14,18),-0.755326 # DEPENDENCYPART_ARC
(14,19),-1.42121 # DEPENDENCYPART_ARC
(14,20),-0.837098 # DEPENDENCYPART_ARC
(14,21),-1.74134 # DEPENDENCYPART_ARC
(14,22),-0.746516 # DEPENDENCYPART_ARC
(14,23),-1.25767 # DEPENDENCYPART_ARC
(14,24),-2.02678 # DEPENDENCYPART_ARC
(14,25),-1.20055 # DEPENDENCYPART_ARC
(15,1),-1.57636 # DEPENDENCYPART_ARC
(15,2),-0.386546 # DEPENDENCYPART_ARC
(15,3),-2.646 # DEPENDENCYPART_ARC
(15,4),-2.66039 # DEPENDENCYPART_ARC
(15,5),-2.31406 # DEPENDENCYPART_ARC
(15,6),0.245338 # DEPENDENCYPART_ARC
(15,7),-2.262 # DEPENDENCYPART_ARC
(15,8),-0.211236 # DEPENDENCYPART_ARC
(15,9),-2.41786 # DEPENDENCYPART_ARC
(15,10),0.0598461 # DEPENDENCYPART_ARC
(15,11),-0.6304 # DEPENDENCYPART_ARC
(15,12),-0.145514 # DEPENDENCYPART_ARC
(15,13),0.574466 # DEPENDENCYPART_ARC
(15,14),3.37719 # DEPENDENCYPART_ARC
(15,16),1.0366 # DEPENDENCYPART_ARC
(15,17),0.391247 # DEPENDENCYPART_ARC
(15,18),0.753799 # DEPENDENCYPART_ARC
(15,19),0.0508229 # DEPENDENCYPART_ARC
(15,20),0.452292 # DEPENDENCYPART_ARC
(15,21),-1.12145 # DEPENDENCYPART_ARC
(15,22),0.817696 # DEPENDENCYPART_ARC
(15,23),-0.180736 # DEPENDENCYPART_ARC
(15,24),-0.424897 # DEPENDENCYPART_ARC
(15,25),-1.08458 # DEPENDENCYPART_ARC
(16,1),-1.38478 # DEPENDENCYPART_ARC
(16,2),-1.70788 # DEPENDENCYPART_ARC
(16,3),-2.15594 # DEPENDENCYPART_ARC
(16,4),-2.15613 # DEPENDENCYPART_ARC
(16,5),-1.30207 # DEPENDENCYPART_ARC
(16,6),-1.56698 # DEPENDENCYPART_ARC
(16,7),-2.01449 # DEPENDENCYPART_ARC
(16,8),-1.51689 # DEPENDENCYPART_ARC
(16,9),-1.31038 # DEPENDENCYPART_ARC
(16,10),-1.40149 # DEPENDENCYPART_ARC
(16,11),-0.909784 # DEPENDENCYPART_ARC
(16,12),-1.14991 # DEPENDENCYPART_ARC
(16,13),-0.104709 # DEPENDENCYPART_ARC
(16,14),0.292878 # DEPENDENCYPART_ARC
(16,15),-0.282423 # DEPENDENCYPART_ARC
(16,17),2.12985 # DEPENDENCYPART_ARC
(16,18),-0.267601 # DEPENDENCYPART_ARC
(16,19),-0.185071 # DEPENDENCYPART_ARC
(16,20),-0.406749 # DEPENDENCYPART_ARC
(16,21),-0.561853 # DEPENDENCYPART_ARC
(16,22),-0.445744 # DEPENDENCYPART_ARC
(16,23),-0.5981 # DEPENDENCYPART_ARC
(16,24),-1.12686 # DEPENDENCYPART_ARC
(16,25),-0.853121 # DEPENDENCYPART_ARC
(17,1),-2.19555 # DEPENDENCYPART_ARC
(17,2),-2.66755 # DEPENDENCYPART_ARC
(17,3),-2.75633 # DEPENDENCYPART_ARC
(17,4),-2.63 # DEPENDENCYPART_ARC
(17,5),-2.29582 # DEPENDENCYPART_ARC
(17,6),-2.62226 # DEPENDENCYPART_ARC
(17,7),-2.58474 # DEPENDENCYPART_ARC
(17,8),-2.5423 # DEPENDENCYPART_ARC
(17,9),-2.25197 # DEPENDENCYPART_ARC
(17,10),-2.40137 # DEPENDENCYPART_ARC
(17,11),-1.98569 # DEPENDENCYPART_ARC
(17,12),-2.26828 # DEPENDENCYPART_ARC
(17,13),-1.60906 # DEPENDENCYPART_ARC
(17,14),-1.3034 # DEPENDENCYPART_ARC
(17,15),-1.67206 # DEPENDENCYPART_ARC
(17,16),-0.587868 # DEPENDENCYPART_ARC
(17,18),-0.82884 # DEPENDENCYPART_ARC
(17,19),-1.27183 # DEPENDENCYPART_ARC
(17,20),-1.43337 # DEPENDENCYPART_ARC
(17,21),-1.70939 # DEPENDENCYPART_ARC
(17,22),-1.44954 # DEPENDENCYPART_ARC
(17,23),-1.71956 # DEPENDENCYPART_ARC
(17,24),-2.11134 # DEPENDENCYPART_ARC
(17,25),-1.03639 # DEPENDENCYPART_ARC
(18,1),-1.84499 # DEPENDENCYPART_ARC
(18,2),-2.27628 # DEPENDENCYPART_ARC
(18,3),-2.20916 # DEPENDENCYPART_ARC
(18,4),-2.16431 # DEPENDENCYPART_ARC
(18,5),-1.81369 # DEPENDENCYPART_ARC
(18,6),-2.19547 # DEPENDENCYPART_ARC
(18,7),-2.14988 # DEPENDENCYPART_ARC
(18,8),-2.14721 # DEPENDENCYPART_ARC
(18,9),-1.93389 # DEPENDENCYPART_ARC
(18,10),-2.11902 # DEPENDENCYPART_ARC
(18,11),-0.898825 # DEPENDENCYPART_ARC
(18,12),-2.0325 # DEPENDENCYPART_ARC
(18,13),-1.10177 # DEPENDENCYPART_ARC
(18,14),-1.30943 # DEPENDENCYPART_ARC
(18,15),-1.20299 # DEPENDENCYPART_ARC
(18,16),-0.346696 # DEPENDENCYPART_ARC
(18,17),0.146842 # DEPENDENCYPART_ARC
(18,19),1.00678 # DEPENDENCYPART_ARC
(18,20),3.37864 # DEPENDENCYPART_ARC
(18,21),0.613844 # DEPENDENCYPART_ARC
(18,22),0.491769 # DEPENDENCYPART_ARC
(18,23),0.427826 # DEPENDENCYPART_ARC
(18,24),-0.0665451 # DEPENDENCYPART_ARC
(18,25),-0.432492 # DEPENDENCYPART_ARC
(19,1),-3.02287 # DEPENDENCYPART_ARC
(19,2),-2.86527 # DEPENDENCYPART_ARC
(19,3),-3.12303 # DEPENDENCYPART_ARC
(19,4),-3.25328 # DEPENDENCYPART_ARC
(19,5),-2.29197 # DEPENDENCYPART_ARC
(19,6),-2.47034 # DEPENDENCYPART_ARC
(19,7),-2.8817 # DEPENDENCYPART_ARC
(19,8),-2.55886 # DEPENDENCYPART_ARC
(19,9),-2.28824 # DEPENDENCYPART_ARC
(19,10),-2.50818 # DEPENDENCYPART_ARC
(19,11),-2.50307 # DEPENDENCYPART_ARC
(19,12),-2.39976 # DEPENDENCYPART_ARC
(19,13),-2.25337 # DEPENDENCYPART_ARC
(19,14),-1.88532 # DEPENDENCYPART_ARC
(19,15),-2.4201 # DEPENDENCYPART_ARC
(19,16),-1.7864 # DEPENDENCYPART_ARC
(19,17),-1.14367 # DEPENDENCYPART_ARC
(19,18),-0.486567 # DEPENDENCYPART_ARC
(19,20),0.812189 # DEPENDENCYPART_ARC
(19,21),-1.11399 # DEPENDENCYPART_ARC
(19,22),-0.415902 # DEPENDENCYPART_ARC
(19,23),-1.04398 # DEPENDENCYPART_ARC
(19,24),-1.91273 # DEPENDENCYPART_ARC
(19,25),-0.944861 # DEPENDENCYPART_ARC
(20,1),-1.43496 # DEPENDENCYPART_ARC
(20,2),-1.00267 # DEPENDENCYPART_ARC
(20,3),-2.65407 # DEPENDENCYPART_ARC
(20,4),-2.62772 # DEPENDENCYPART_ARC
(20,5),-2.5369 # DEPENDENCYPART_ARC
(20,6),-0.45096 # DEPENDENCYPART_ARC
(20,7),-2.27105 # DEPENDENCYPART_ARC
(20,8),-0.856552 # DEPENDENCYPART_ARC
(20,9),-2.78731 # DEPENDENCYPART_ARC
(20,10),-0.89844 # DEPENDENCYPART_ARC
(20,11),-0.997233 # DEPENDENCYPART_ARC
(20,12),-1.56734 # DEPENDENCYPART_ARC
(20,13),-0.490795 # DEPENDENCYPART_ARC
(20,14),-0.0153303 # DEPENDENCYPART_ARC
(20,15),-1.43307 # DEPENDENCYPART_ARC
(20,16),-0.297634 # DEPENDENCYPART_ARC
(20,17),-1.50233 # DEPENDENCYPART_ARC
(20,18),0.894803 # DEPENDENCYPART_ARC
(20,19),3.48882 # DEPENDENCYPART_ARC
(20,21),0.533235 # DEPENDENCYPART_ARC
(20,22),2.15719 # DEPENDENCYPART_ARC
(20,23),1.05627 # DEPENDENCYPART_ARC
(20,24),0.0793994 # DEPENDENCYPART_ARC
(20,25),-0.12913 # DEPENDENCYPART_ARC
(21,1),-2.39368 # DEPENDENCYPART_ARC
(21,2),-2.51966 # DEPENDENCYPART_ARC
